PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-14,17:02:39.41,1,1,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.63579,-1.660147,-0.877958,2034.541935,217.761306,1:15,6.13375,1.12195,5.99088,-22.14363,10.93442,7.675,2.74927,0.9478,84.03371,-5.799916,0.503018,0.413944,,,,,,,,,,,,-4.17193,6.39107,-1.05685,50,5.9906,1.70942,-133.11826,-4.59318,-7.4993,28.10131,-20.6857,DAV_WIL,BRY_BUL,WilsonField,D1,A10,20250214-WilsonField-1,679d2480-eb1f-11ef-a927-6300b6c42f7e,91.05692,,,7.60208,,,,,,,3f646d9a-11a6-4dbc-9e44-d01e82a33515,2025-02-14,22:02:39.41,2025-02-14T17:02:39.4194432-05:00,2025-02-14T22:02:39.4194432Z,,v3,471280,471248,14 February 2025 17:30-bryant@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,f78a9d8a-bcea-4066-9ea7-d77b5de7a5f7,54.50824,-134.06658,14.05065,6.13383,-3.89511,-10.34285,-1.11881,1.96249,-3.74965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-14,17:02:52.11,1,2,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.72825,-2.017517,-1.883782,2057.263341,207.067703,1:00,6.09999,1.12024,5.96356,-17.20198,16.0658,7.6467,2.79396,0.0101,83.54952,-5.284191,-0.510043,0.415129,,,,,,,,,,,,-4.48032,9.16788,-0.97508,50,5.93028,4.04978,-133.09944,-5.21268,-8.00246,29.72,-15.79892,DAV_WIL,BRY_BUL,WilsonField,D1,A10,20250214-WilsonField-1,6f1d00e0-eb1f-11ef-a927-6300b6c42f7e,90.79687,,,8.17873,,,,,,,3f646d9a-11a6-4dbc-9e44-d01e82a33515,2025-02-14,22:02:52.11,2025-02-14T17:02:52.1184768-05:00,2025-02-14T22:02:52.1184768Z,,v3,471280,471248,14 February 2025 17:30-bryant@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,5b2e1a6b-81bc-43c0-8809-4a6ffe4afc2e,54.53564,-134.10838,14.86,6.09813,-4.67633,-7.89946,-1.11718,4.32145,-4.00123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-14,17:03:09.38,1,3,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,0,2,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.24613,0.941598,1.103618,2388.594593,116.634572,10:00,5.95389,1.33275,5.56919,-35.96967,7.71441,-12.11568,3.83624,1.35416,72.91481,-5.747493,-1.058299,0.4757,,,,,,,,,,,,6.38768,4.10969,-1.42023,50,6.0122,-1.75191,-117.66481,0.7428,8.77893,26.42466,-26.52589,DAV_WIL,BRY_BUL,WilsonField,D1,A10,20250214-WilsonField-1,7966f9c0-eb1f-11ef-a927-6300b6c42f7e,79.23578,,,8.33132,,,,,,,3f646d9a-11a6-4dbc-9e44-d01e82a33515,2025-02-14,22:03:09.38,2025-02-14T17:03:09.3838336-05:00,2025-02-14T22:03:09.3838336Z,,v3,471280,471248,14 February 2025 17:30-bryant@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,ae92620d-8fe3-4077-bf99-cd350ff40e35,54.92455,-118.76559,13.21233,5.95824,1.8478,-13.26295,-1.33963,-2.11761,4.38947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-14,17:03:25.03,1,4,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,1,2,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.45577,0.455476,0.900428,2364.357363,100.795312,9:15,5.9892,1.31571,5.69018,-39.82782,4.44453,-14.71394,3.09479,0.92883,72.47238,-6.925243,-1.732941,0.478892,,,,,,,,,,,,7.693,2.63248,-1.38244,50,6.00321,-1.23336,-116.61907,-0.3803,10.38823,25.90989,-28.61927,DAV_WIL,BRY_BUL,WilsonField,D1,A10,20250214-WilsonField-1,82d47550-eb1f-11ef-a927-6300b6c42f7e,78.70761,,,7.98339,,,,,,,3f646d9a-11a6-4dbc-9e44-d01e82a33515,2025-02-14,22:03:25.03,2025-02-14T17:03:25.0358272-05:00,2025-02-14T22:03:25.0358272Z,,v3,471280,471248,14 February 2025 17:30-bryant@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,17ff564f-1bdf-42a9-a805-1b0d5fed7c95,54.80601,-117.68201,12.95494,5.99473,0.79379,-14.30963,-1.3231,-1.65953,5.19412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-14,17:03:42.85,1,5,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.5539,-2.029816,0.149011,2212.734375,197.475042,12:30,6.11061,1.17449,6.06757,-13.3343,18.96584,5.58878,3.12017,1.77813,83.95283,-4.632429,1.155454,0.409047,,,,,,,,,,,,-2.78181,10.7256,-1.1887,50,5.94588,-0.60959,-135.57597,-5.13411,-5.08094,34.8051,-12.58395,DAV_WIL,BRY_BUL,WilsonField,D1,A10,20250214-WilsonField-1,8d5d4bf0-eb1f-11ef-a927-6300b6c42f7e,92.14694,,,9.60106,,,,,,,3f646d9a-11a6-4dbc-9e44-d01e82a33515,2025-02-14,22:03:42.85,2025-02-14T17:03:42.8577280-05:00,2025-02-14T22:03:42.8577280Z,,v3,471280,471248,14 February 2025 17:30-bryant@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,0bddbb39-1145-45f0-b648-526af8df51a1,54.42609,-136.70751,17.40255,6.10615,-4.725,-6.29198,-1.17157,-0.4444,-2.54047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-14,17:03:58.33,1,6,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,3,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,79.56783,0.145208,-0.062743,2217.083662,39.046479,7:15,6.15324,1.03454,5.40311,-53.92944,-8.55123,-8.18524,1.79518,0.29364,72.67068,-9.648475,-1.52325,0.484836,,,,,,,,,,,,4.07622,-3.82721,-1.02313,50,6.12867,0.45925,-115.46309,-1.62045,5.43616,23.92807,-37.27811,DAV_WIL,BRY_BUL,WilsonField,D1,A10,20250214-WilsonField-1,9692eea0-eb1f-11ef-a927-6300b6c42f7e,77.74263,,,6.89715,,,,,,,3f646d9a-11a6-4dbc-9e44-d01e82a33515,2025-02-14,22:03:58.33,2025-02-14T17:03:58.3370752-05:00,2025-02-14T22:03:58.3370752Z,,v3,471280,471248,14 February 2025 17:30-bryant@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,9ea59b03-c8e5-45f2-9410-708afd10d5c4,55.09753,-116.5147,11.96404,6.16388,0.01787,-18.63906,-1.03807,0.22034,2.71808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-14,17:04:26.31,2,1,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Noriega, Gavin",1000156051,Right,BRY_BUL,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.03665,-0.744719,-1.054621,2280.526369,8.237144,6:15,6.04117,1.13394,5.73536,-52.15475,-7.71496,-1.34043,1.00128,0.04002,73.0243,-10.264681,-1.295385,0.479797,,,,,,,,,,,,0.34315,-3.27142,-1.04524,50,5.94709,2.18967,-116.14769,-3.26095,0.46133,24.97531,-36.572,DAV_WIL,BRY_BUL,WilsonField,D1,A10,20250214-WilsonField-1,a74d0190-eb1f-11ef-a927-6300b6c42f7e,78.55915,,,7.01235,,,,,,,3f646d9a-11a6-4dbc-9e44-d01e82a33515,2025-02-14,22:04:26.31,2025-02-14T17:04:26.3109632-05:00,2025-02-14T22:04:26.3109632Z,,v3,471280,471248,14 February 2025 17:30-bryant@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,ec9c2e8c-9096-4cb6-9808-6638b46a662d,54.76557,-117.16796,12.48765,6.04979,-1.76695,-18.286,-1.13431,2.17083,0.23067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-14,17:04:42.20,2,2,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Noriega, Gavin",1000156051,Right,BRY_BUL,Undefined,1,Top,1,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.29154,1.242509,-0.744109,2234.577173,16.20104,6:30,6.1169,1.15168,5.39098,-53.36786,-7.46083,-2.63799,2.83439,0.2344,71.9193,-8.487026,-1.213999,0.487653,,,,,,,,,,,,1.07827,-3.6241,-1.08333,50,6.19057,1.6007,-114.96344,0.61137,1.42068,24.39479,-36.94907,DAV_WIL,BRY_BUL,WilsonField,D1,A10,20250214-WilsonField-1,b0c5a0b0-eb1f-11ef-a927-6300b6c42f7e,77.29354,,,7.37225,,,,,,,3f646d9a-11a6-4dbc-9e44-d01e82a33515,2025-02-14,22:04:42.20,2025-02-14T17:04:42.2070272-05:00,2025-02-14T22:04:42.2070272Z,,v3,471280,471248,14 February 2025 17:30-bryant@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,33c3bcc2-c5b9-4e5d-a37a-f527afd1f2cb,55.10856,-116.0424,12.1974,6.12739,2.24559,-18.47453,-1.15273,1.53786,0.71034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-14,17:04:54.76,2,3,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Noriega, Gavin",1000156051,Right,BRY_BUL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.74083,-2.020652,-1.133531,2115.831057,200.981533,12:45,6.1668,1.18511,5.94708,-18.83473,13.24772,4.64843,2.72186,0.52095,84.84938,-5.583208,-0.298103,0.407667,,,,,,,,,,,,-2.72185,7.74701,-1.0974,50,5.99537,2.47988,-135.93727,-5.40435,-5.0358,32.9284,-17.84108,DAV_WIL,BRY_BUL,WilsonField,D1,A10,20250214-WilsonField-1,b8346610-eb1f-11ef-a927-6300b6c42f7e,92.45897,,,8.89145,,,,,,,3f646d9a-11a6-4dbc-9e44-d01e82a33515,2025-02-14,22:04:54.76,2025-02-14T17:04:54.7652096-05:00,2025-02-14T22:04:54.7652096Z,,v3,471280,471248,14 February 2025 17:30-bryant@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,01602a75-df1b-428f-93e6-54744d5a815d,54.54972,-137.03493,16.4642,6.16561,-4.80962,-8.92054,-1.18286,2.64775,-2.5179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-14,17:05:08.62,2,4,"Perkins, Wilson",1000217662,Right,DAV_WIL,"Noriega, Gavin",1000156051,Right,BRY_BUL,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.62148,-1.235702,-1.452016,2184.688695,202.595,12:45,6.17869,0.92837,6.01741,-20.16517,11.79709,4.45776,3.35307,-0.04546,84.95339,-5.040525,-0.650045,0.406902,,,,,,,,,,,,-2.70662,6.75678,-0.81682,50,6.07086,3.24256,-135.84894,-3.59105,-5.01844,31.93561,-19.64614,DAV_WIL,BRY_BUL,WilsonField,D1,A10,20250214-WilsonField-1,c073c1e0-eb1f-11ef-a927-6300b6c42f7e,92.63264,,,8.66808,,,,,,,3f646d9a-11a6-4dbc-9e44-d01e82a33515,2025-02-14,22:05:08.62,2025-02-14T17:05:08.6290944-05:00,2025-02-14T22:05:08.6290944Z,,v3,471280,471248,14 February 2025 17:30-bryant@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,35eb804a-611d-43d8-b0b0-f19f7fd106d7,54.47916,-136.89786,15.96781,6.17821,-2.94578,-9.82307,-0.92603,3.40739,-2.50922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
