PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,16:04:57.94,1,1,"Donegan, Joshua",10071168,Right,LON_DIR,"Knott, Preston",824030,Left,NOR_CAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.22273,-2.622229,-3.716942,2261.125967,192.740046,12:30,5.81773,2.01523,6.45315,-13.62717,20.35241,4.33748,2.26634,-1.04285,81.91481,-5.278497,-2.933048,0.419547,82.57928,24.697505,46.24489,3145.935728,67.17599,35.23015,87.10495,246.41102,175.49738,61.127791,3.09929,-3.40878,11.81442,-1.75376,50,5.62544,8.32425,-130.7317,-6.31774,-5.85,29.71152,-11.8987,LON_DIR,NOR_CAT,BlairField,D1,BW,20250215-BlairField-1,a8f3aaa0-ebf9-11ef-a7d8-8d6a09be56ad,89.84082,36.88696,,8.30791,,,,2.07741,1.97069,1.17123,7c4a5a42-dc3a-4784-b7c8-51cb36a65be4,2025-02-16,00:04:57.94,2025-02-15T16:04:57.9480000-08:00,2025-02-16T00:04:57.9480000Z,LineDrive,v3,471255,471395,15 February 2025 19:00-nwestern@longbeach,"Stewart, Conner",822680,Right,LON_DIR,daadd42d-444d-4a3f-9f5e-042227651f37,54.04608,-131.64805,14.85576,5.81463,-5.95077,-5.94935,-2.01327,8.50467,-2.925,,2.07695,76.11746,-20.56108,5.02423,-1.53801,0.54187,-0.1694,0.0314,-0.00238,1.97091,50.59694,-20.50355,1.7786,-0.10428,-0.10503,0.05455,-0.01102,0.0008,1.17098,79.4898,-2.09118,-1.04497,0.31722,0.0086,-0.03417,0.00895,-0.00077,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
2,2025-02-15,16:05:19.83,1,2,"Donegan, Joshua",10071168,Right,LON_DIR,"Knott, Preston",824030,Left,NOR_CAT,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.23755,0.019175,-3.587992,1282.49101,74.812376,8:30,5.62076,2.26344,5.69215,-44.06813,-1.34272,-9.66894,1.96633,-1.89061,74.93373,-8.017056,-5.3118,0.470451,,,,,,,,,,,,3.99028,-0.41598,-1.9551,50,5.59429,7.75339,-117.85628,-1.42273,5.60902,22.52436,-32.75881,LON_DIR,NOR_CAT,BlairField,D1,BW,20250215-BlairField-1,b615f0d0-ebf9-11ef-a7d8-8d6a09be56ad,80.11974,,,6.30382,,,,,,,7c4a5a42-dc3a-4784-b7c8-51cb36a65be4,2025-02-16,00:05:19.83,2025-02-15T16:05:19.8310000-08:00,2025-02-16T00:05:19.8310000Z,,v3,471255,471395,15 February 2025 19:00-nwestern@longbeach,"Stewart, Conner",822680,Right,LON_DIR,e6f9b819-e37a-411b-a8fe-b79ce738c272,54.81036,-118.77206,11.26218,5.62506,-0.09084,-16.37941,-2.26569,7.52534,2.80451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-15,16:05:38.07,1,3,"Donegan, Joshua",10071168,Right,LON_DIR,"Knott, Preston",824030,Left,NOR_CAT,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.04569,-2.545333,-2.719709,2306.6586,198.045529,12:30,5.82895,1.86626,6.38082,-15.00241,18.82521,5.78685,2.23297,-0.1554,82.51903,-5.428265,-1.673153,0.418608,75.38767,69.510494,-130.937406,5052.36181,,,,,18.64553,,,-3.7761,10.86024,-1.67285,50,5.63817,5.98252,-130.70308,-6.2023,-6.54331,27.10709,-13.35522,LON_DIR,NOR_CAT,BlairField,D1,BW,20250215-BlairField-1,c0e85390-ebf9-11ef-a7d8-8d6a09be56ad,90.04239,46.30747,,7.52667,,,,1.85351,2.25833,0.14639,7c4a5a42-dc3a-4784-b7c8-51cb36a65be4,2025-02-16,00:05:38.07,2025-02-15T16:05:38.0730000-08:00,2025-02-16T00:05:38.0730000Z,,v3,471255,471395,15 February 2025 19:00-nwestern@longbeach,"Stewart, Conner",822680,Right,LON_DIR,7f6686ea-6c87-4361-9a73-16b73edd9fd6,54.11906,-131.55458,13.55355,5.82641,-5.78278,-6.67761,-1.86401,6.18806,-3.27166,12.232524,1.85351,-25.35934,-7.05837,3.64705,-1.04406,-0.10243,0.79836,-0.96085,0.44809,2.25833,103.57349,-34.68694,5.34844,-1.05466,0.01881,0.34022,-0.41257,0.19196,0.14639,-29.23712,2.14179,0.76282,-0.36657,-0.03204,0.3251,-0.39718,0.18592,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2025-02-15,16:06:00.38,1,4,"Donegan, Joshua",10071168,Right,LON_DIR,"Knott, Preston",824030,Left,NOR_CAT,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.99893,-1.539598,-1.372055,1553.605726,255.428975,2:30,5.55023,2.26484,6.33597,-32.45462,5.30063,16.15024,1.42736,2.34714,78.61285,-7.563573,1.55552,0.442242,,,,,,,,,,,,-8.77701,3.51362,-2.17218,50,5.42277,2.35703,-123.63162,-4.3241,-13.66597,23.26485,-26.70327,LON_DIR,NOR_CAT,BlairField,D1,BW,20250215-BlairField-1,ce31d0d0-ebf9-11ef-a7d8-8d6a09be56ad,85.23035,,,6.38608,,,,,,,7c4a5a42-dc3a-4784-b7c8-51cb36a65be4,2025-02-16,00:06:00.38,2025-02-15T16:06:00.3850000-08:00,2025-02-16T00:06:00.3850000Z,,v3,471255,471395,15 February 2025 19:00-nwestern@longbeach,"Stewart, Conner",822680,Right,LON_DIR,97694bf0-2193-4fbc-a9da-82f183e3bc56,54.16528,-124.41297,11.63242,5.55294,-3.42728,-13.35163,-2.25905,2.816,-6.83299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-15,16:06:21.87,1,5,"Donegan, Joshua",10071168,Right,LON_DIR,"Knott, Preston",824030,Left,NOR_CAT,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.27912,-1.723328,-2.815044,2272.758462,199.183478,12:45,5.82326,1.83489,6.05055,-19.4945,14.34044,4.64705,2.60099,-0.38591,83.28441,-5.382662,-1.979848,0.418653,75.28281,79.222762,17.749625,,,,,,21.29278,,,-3.12807,8.14843,-1.61832,50,5.67845,6.25987,-131.12681,-4.55732,-5.49385,25.45992,-17.863,LON_DIR,NOR_CAT,BlairField,D1,BW,20250215-BlairField-1,db0310d0-ebf9-11ef-a7d8-8d6a09be56ad,90.03269,73.51963,,6.99471,,,,,,,7c4a5a42-dc3a-4784-b7c8-51cb36a65be4,2025-02-16,00:06:21.87,2025-02-15T16:06:21.8790000-08:00,2025-02-16T00:06:21.8790000Z,,v3,471255,471395,15 February 2025 19:00-nwestern@longbeach,"Stewart, Conner",822680,Right,LON_DIR,15eb55ee-e3a2-498c-bf7e-cdd3f51234ad,54.45042,-131.98808,12.72996,5.82239,-3.95304,-8.9315,-1.83323,6.44572,-2.74692,261.355193,4.45476,19.66372,-3.89261,0.83922,-0.1433,0.01562,0.00434,-0.00624,0.00277,10.43631,108.46707,-35.42538,5.48694,-0.99341,0.12906,0.00807,-0.0241,0.01116,2.76704,6.29427,12.80054,-6.17026,1.9983,-0.57645,0.1535,-0.03162,0.00248,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
6,2025-02-15,16:06:56.28,2,1,"Donegan, Joshua",10071168,Right,LON_DIR,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.78375,-3.909092,-3.918723,2273.335086,197.445689,12:30,5.90637,1.58457,6.58793,-16.34111,17.29135,5.1267,0.94857,-1.58471,83.115,-7.010567,-2.989702,0.417398,,,,,,,,,,,,-3.69658,10.41024,-1.31822,50,5.63084,8.72758,-130.14814,-9.34269,-6.40775,24.59764,-14.12876,LON_DIR,NOR_CAT,BlairField,D1,BW,20250215-BlairField-1,ef791a50-ebf9-11ef-a7d8-8d6a09be56ad,90.30331,,,6.66875,,,,,,,7c4a5a42-dc3a-4784-b7c8-51cb36a65be4,2025-02-16,00:06:56.28,2025-02-15T16:06:56.2880000-08:00,2025-02-16T00:06:56.2880000Z,,v3,471255,471395,15 February 2025 19:00-nwestern@longbeach,"Stewart, Conner",822680,Right,LON_DIR,429dd4da-548c-4cc6-acc6-58957204af6d,53.9137,-130.88573,12.29882,5.90464,-8.91903,-7.06438,-1.5828,8.91972,-3.20387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-15,16:07:13.95,2,2,"Donegan, Joshua",10071168,Right,LON_DIR,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.10536,-1.414596,-3.212593,2292.880985,191.237926,12:15,5.9392,1.67806,6.04311,-17.04241,18.0534,3.36319,3.20697,-1.01917,81.35439,-4.662489,-2.608875,0.426382,,,,,,,,,,,,-2.6263,10.02284,-1.42926,50,5.8195,7.11332,-129.23121,-3.67462,-4.43809,27.1186,-15.23692,LON_DIR,NOR_CAT,BlairField,D1,BW,20250215-BlairField-1,fa13a430-ebf9-11ef-a7d8-8d6a09be56ad,88.40064,,,7.75097,,,,,,,7c4a5a42-dc3a-4784-b7c8-51cb36a65be4,2025-02-16,00:07:13.95,2025-02-15T16:07:13.9540000-08:00,2025-02-16T00:07:13.9540000Z,,v3,471255,471395,15 February 2025 19:00-nwestern@longbeach,"Stewart, Conner",822680,Right,LON_DIR,26ac4719-a5d1-4d10-8bbe-eba118fb6125,54.45466,-130.16265,13.5593,5.93672,-3.15128,-7.61846,-1.67619,7.26575,-2.21905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-15,16:07:32.11,2,3,"Donegan, Joshua",10071168,Right,LON_DIR,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.70572,-1.998292,-3.485366,2423.355022,192.231286,12:30,5.95911,1.5518,6.04085,-12.56953,22.17312,4.55733,3.05727,-1.29948,81.6649,-4.447115,-2.667861,0.424232,,,,,,,,,,,,-3.3328,12.3041,-1.28214,50,5.79601,7.72488,-129.99764,-4.83616,-5.68669,27.98931,-11.17987,LON_DIR,NOR_CAT,BlairField,D1,BW,20250215-BlairField-1,04d7fd30-ebfa-11ef-a7d8-8d6a09be56ad,88.84874,,,8.04082,,,,,,,7c4a5a42-dc3a-4784-b7c8-51cb36a65be4,2025-02-16,00:07:32.11,2025-02-15T16:07:32.1120000-08:00,2025-02-16T00:07:32.1120000Z,,v3,471255,471395,15 February 2025 19:00-nwestern@longbeach,"Stewart, Conner",822680,Right,LON_DIR,4c301e88-c61c-4381-93fd-c93e58f37b0c,54.45654,-130.95365,13.99466,5.95468,-4.4543,-5.58994,-1.54931,7.91911,-2.84334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-15,16:07:50.79,2,4,"Donegan, Joshua",10071168,Right,LON_DIR,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.64614,-1.585005,-1.895359,2398.472493,192.296541,12:30,5.94046,1.69705,5.93639,-13.19335,21.75521,4.48303,3.3694,0.31165,81.33384,-4.15241,-1.090833,0.425487,,,,,,,,,,,,-2.85169,11.95406,-1.54827,50,5.80644,4.11083,-130.04038,-3.92264,-4.85059,28.9667,-11.84075,LON_DIR,NOR_CAT,BlairField,D1,BW,20250215-BlairField-1,0ffbb440-ebfa-11ef-a7d8-8d6a09be56ad,88.58665,,,8.3123,,,,,,,7c4a5a42-dc3a-4784-b7c8-51cb36a65be4,2025-02-16,00:07:50.79,2025-02-15T16:07:50.7980000-08:00,2025-02-16T00:07:50.7980000Z,,v3,471255,471395,15 February 2025 19:00-nwestern@longbeach,"Stewart, Conner",822680,Right,LON_DIR,7894bccf-8c4c-4b1f-ab60-627d28e6b6c8,54.56057,-131.05232,14.48335,5.93625,-3.50899,-5.92038,-1.69484,4.28029,-2.4253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-15,16:08:09.15,2,5,"Donegan, Joshua",10071168,Right,LON_DIR,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,2,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,80.6721,-0.191973,-1.446108,2913.363722,73.986834,8:30,5.67784,1.91896,5.88267,-43.91758,-0.96803,-8.005,1.83971,-0.09134,74.23429,-8.252664,-2.884188,0.471684,,,,,,,,,,,,3.70244,-0.05579,-1.79754,50,5.63692,3.26126,-117.21512,-1.81808,5.14095,22.56183,-32.25154,LON_DIR,NOR_CAT,BlairField,D1,BW,20250215-BlairField-1,1afa3010-ebfa-11ef-a7d8-8d6a09be56ad,79.91043,,,6.43781,,,,,,,7c4a5a42-dc3a-4784-b7c8-51cb36a65be4,2025-02-16,00:08:09.15,2025-02-15T16:08:09.1530000-08:00,2025-02-16T00:08:09.1530000Z,,v3,471255,471395,15 February 2025 19:00-nwestern@longbeach,"Stewart, Conner",822680,Right,LON_DIR,102ae458-01ff-4042-b2af-210a412905de,54.61808,-118.10067,11.28092,5.68344,-0.55221,-16.12577,-1.92158,3.05948,2.57048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
