PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,10:07:01.73,1,1,"Nichols, Luke",816361,Left,LOU_BUL,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.09733,-2.238488,1.705287,1900.813836,120.57305,10:00,5.87431,-0.87884,5.94113,-26.62072,10.00934,-15.05729,1.57749,-0.5513,80.24055,-7.175042,-1.002277,0.435602,,,,,,,,,,,,8.20748,6.07666,0.75149,50,5.68073,-3.15939,-126.50057,-5.81352,13.35329,24.82741,-22.28756,LOU_BUL,MAI_BLA,JCLoveFieldatPatPattersonPark,D1,CUSA,20250215-JCLoveFieldatPatPattersonPark-1,e4898e10-ebb6-11ef-99e6-9b38f027614e,86.52947,,,6.85679,,,,,,,ac03a91a-f32b-4bc3-9256-06d9f46149bb,2025-02-15,16:07:01.73,2025-02-15T10:07:01.7361920-06:00,2025-02-15T16:07:01.7361920Z,,v3,3374,471344,15 February 2025 13:00-maine@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,7278a4c6-6124-4a1d-b7c4-1251f321cf9e,54.5585,-127.39209,12.41371,5.87512,-5.0132,-11.14378,0.87355,-3.63889,6.67665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-15,10:07:17.63,1,2,"Nichols, Luke",816361,Left,LOU_BUL,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,0,1,FourSeamFastBall,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,89.31674,-1.74311,2.604448,1995.520611,135.45657,10:30,5.86224,-0.88068,6.02051,-21.54781,13.6791,-12.25257,2.44991,0.51225,80.94968,-5.813875,0.401546,0.427178,89.62664,19.823283,-27.822688,1144.122577,97.17731,30.45668,-51.541,275.50859,268.54294,-28.279745,3.093038,7.11611,7.93536,0.68331,50,5.71396,-5.3804,-129.50521,-4.61015,11.96001,29.663,-18.83717,LOU_BUL,MAI_BLA,JCLoveFieldatPatPattersonPark,D1,CUSA,20250215-JCLoveFieldatPatPattersonPark-1,ee0142d0-ebb6-11ef-99e6-9b38f027614e,88.23595,33.39209,,8.36706,,,,1.60359,2.61094,-0.43137,ac03a91a-f32b-4bc3-9256-06d9f46149bb,2025-02-15,16:07:17.63,2025-02-15T10:07:17.6327168-06:00,2025-02-15T16:07:17.6327168Z,LineDrive,v3,3374,471344,15 February 2025 13:00-maine@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,afac74e4-ecb2-423b-9420-2cabcc9c196c,54.47685,-130.5266,14.8315,5.86153,-3.96153,-9.41858,0.87566,-5.79222,5.98001,,1.60328,109.3785,-14.86221,2.70803,-0.79204,0.28849,-0.08935,0.01609,-0.00116,2.6112,44.56832,-17.8146,1.3776,-0.07982,-0.08231,0.0429,-0.00815,0.00052,-0.43107,-57.72928,6.88804,-1.14749,0.45438,-0.21796,0.07533,-0.01392,0.001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-02-15,10:07:45.22,2,1,"Nichols, Luke",816361,Left,LOU_BUL,"Rasmussen, Brody",1000396940,Right,MAI_BLA,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.49218,-2.83537,3.215833,1518.239591,107.377699,9:30,5.79719,-0.95037,6.13226,-33.22281,4.75555,-11.39048,0.40168,1.07587,78.75195,-8.962797,1.161389,0.443547,,,,,,,,,,,,6.82048,3.58725,0.71057,50,5.5629,-6.5316,-123.98031,-7.21354,10.61885,24.72381,-26.58902,LOU_BUL,MAI_BLA,JCLoveFieldatPatPattersonPark,D1,CUSA,20250215-JCLoveFieldatPatPattersonPark-1,fe7720d0-ebb6-11ef-99e6-9b38f027614e,84.97961,,,6.74023,,,,,,,ac03a91a-f32b-4bc3-9256-06d9f46149bb,2025-02-15,16:07:45.22,2025-02-15T10:07:45.2257792-06:00,2025-02-15T16:07:45.2257792Z,,v3,3374,471344,15 February 2025 13:00-maine@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,a112b8c9-a7ce-456b-a4f0-f1008f858d0a,54.36768,-124.84826,12.3619,5.79976,-6.28012,-13.29451,0.94641,-6.90438,5.30942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-15,10:08:01.26,2,2,"Nichols, Luke",816361,Left,LOU_BUL,"Rasmussen, Brody",1000396940,Right,MAI_BLA,Undefined,1,Top,1,1,0,TwoSeamFastBall,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,88.1758,-2.8055,1.673742,1959.038467,131.597659,10:30,5.79815,-0.92401,6.11061,-21.95485,13.92335,-14.32339,1.37127,-0.56955,80.41592,-6.936498,-0.909255,0.431109,92.48593,17.957202,3.147655,1804.654908,109.42379,28.62896,11.23741,280.21799,273.17868,9.867955,3.200757,7.91008,8.38371,0.80301,50,5.57117,-3.16056,-127.91582,-6.93352,13.02506,27.90655,-18.3691,LOU_BUL,MAI_BLA,JCLoveFieldatPatPattersonPark,D1,CUSA,20250215-JCLoveFieldatPatPattersonPark-1,080c96c0-ebb7-11ef-99e6-9b38f027614e,87.4314,32.68394,,7.75988,,,,1.55561,1.40589,0.57792,ac03a91a-f32b-4bc3-9256-06d9f46149bb,2025-02-15,16:08:01.26,2025-02-15T10:08:01.2699136-06:00,2025-02-15T16:08:01.2699136Z,LineDrive,v3,3374,471344,15 February 2025 13:00-maine@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,e0c1b564-8054-4326-a1df-0b1d2c8568cf,54.38761,-128.86948,13.95327,5.79739,-6.30578,-9.18455,0.91862,-3.60567,6.51253,217.157486,1.55561,128.84202,-22.38027,4.59903,-0.84833,0.11115,-0.00605,-0.00071,0.00011,1.40594,41.82073,-14.84992,0.7951,-0.2839,0.1443,-0.04581,0.00814,-0.0006,0.57799,7.08541,5.21194,-1.51592,0.21509,0.04163,-0.02855,0.00586,-0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-02-15,10:08:32.14,3,1,"Nichols, Luke",816361,Left,LOU_BUL,"Reynolds, Drew",1000120249,Left,MAI_BLA,Undefined,1,Top,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.89609,-0.671669,1.844,2374.515342,334.697767,5:15,5.67276,-1.2245,5.5661,-43.87329,-1.52843,1.21378,1.38886,0.59984,76.01083,-8.616786,2.060839,0.468351,,,,,,,,,,,,-0.21657,-0.34114,1.06462,50,5.58535,-3.83631,-117.72027,-2.88025,-0.31029,17.95612,-32.66282,LOU_BUL,MAI_BLA,JCLoveFieldatPatPattersonPark,D1,CUSA,20250215-JCLoveFieldatPatPattersonPark-1,1a6d54d0-ebb7-11ef-99e6-9b38f027614e,80.47897,,,4.88526,,,,,,,ac03a91a-f32b-4bc3-9256-06d9f46149bb,2025-02-15,16:08:32.14,2025-02-15T10:08:32.1470000-06:00,2025-02-15T16:08:32.1470000Z,,v3,3374,471344,15 February 2025 13:00-maine@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,4dbd2d50-93ec-4f95-80df-bb3d9135ad06,54.93625,-118.47081,8.97806,5.67721,-1.51499,-16.33141,1.2247,-3.82334,-0.15514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-15,10:08:47.78,3,2,"Nichols, Luke",816361,Left,LOU_BUL,"Reynolds, Drew",1000120249,Left,MAI_BLA,Undefined,1,Top,2,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.48119,-0.788164,1.257466,2458.615197,261.449412,2:45,5.68353,-1.21055,5.43199,-40.29187,1.83059,4.86433,1.58753,0.37262,76.14579,-8.094258,2.124213,0.46712,,,,,,,,,,,,-2.16933,1.44744,1.09569,50,5.58549,-2.79482,-118.50305,-3.03777,-3.13599,19.12118,-30.08161,LOU_BUL,MAI_BLA,JCLoveFieldatPatPattersonPark,D1,CUSA,20250215-JCLoveFieldatPatPattersonPark-1,23c1ca20-ebb7-11ef-99e6-9b38f027614e,80.69116,,,5.3354,,,,,,,ac03a91a-f32b-4bc3-9256-06d9f46149bb,2025-02-15,16:08:47.78,2025-02-15T10:08:47.7820416-06:00,2025-02-15T16:08:47.7820416Z,,v3,3374,471344,15 February 2025 13:00-maine@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,29b978a9-a129-47b0-b3f1-0a4fa0ffe864,55.06876,-119.31813,9.56059,5.68765,-1.75549,-15.0408,1.21197,-2.66114,-1.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-15,10:09:04.85,3,3,"Nichols, Luke",816361,Left,LOU_BUL,"Reynolds, Drew",1000120249,Left,MAI_BLA,Undefined,1,Top,2,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.23966,-1.317413,2.048862,2385.040302,277.851264,3:15,5.6525,-1.14406,5.73513,-41.62014,0.29224,5.68461,0.95637,1.2384,76.13378,-8.878796,3.067233,0.465953,,,,,,,,,,,,-2.45343,0.74366,0.96973,50,5.51661,-4.43936,-118.15772,-4.09936,-3.52556,19.04001,-31.10543,LOU_BUL,MAI_BLA,JCLoveFieldatPatPattersonPark,D1,CUSA,20250215-JCLoveFieldatPatPattersonPark-1,2df30ae0-ebb7-11ef-99e6-9b38f027614e,80.89314,,,5.10588,,,,,,,ac03a91a-f32b-4bc3-9256-06d9f46149bb,2025-02-15,16:09:04.85,2025-02-15T10:09:04.8550912-06:00,2025-02-15T16:09:04.8550912Z,,v3,3374,471344,15 February 2025 13:00-maine@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,68fb72da-a9df-44b3-96ef-594df9fabebc,54.76685,-118.92337,9.52,5.65631,-2.84853,-15.55271,1.1454,-4.29759,-1.76278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-15,10:11:58.21,1,1,"Leys, Caleb",1000119536,Left,MAI_BLA,"Ruddell, Zeb",803293,Left,LOU_BUL,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.49047,-0.816375,3.009326,2307.849109,127.58708,10:15,5.99909,-2.50049,7.06856,-18.09434,12.13516,-14.40524,3.74894,-0.96614,85.46492,-4.317372,0.369087,0.395719,,,,,,,,,,,,8.53934,7.04441,2.32268,50,5.94389,-6.64047,-137.22404,-2.41627,16.10217,33.50639,-18.89075,LOU_BUL,MAI_BLA,JCLoveFieldatPatPattersonPark,D1,CUSA,20250215-JCLoveFieldatPatPattersonPark-1,9535d390-ebb7-11ef-99e6-9b38f027614e,95.2505,,,9.02555,,,,,,,ac03a91a-f32b-4bc3-9256-06d9f46149bb,2025-02-15,16:11:58.21,2025-02-15T10:11:58.2121472-06:00,2025-02-15T16:11:58.2121472Z,,v3,3374,471344,15 February 2025 13:00-maine@latech,"O'Neill, Dean",1000116135,Right,MAI_BLA,3688880a-9841-448b-a0ed-222f2710f6e5,53.42722,-138.05834,16.7532,5.9982,-1.94589,-9.44538,2.49302,-7.04141,8.05109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-15,10:12:13.11,1,2,"Leys, Caleb",1000119536,Left,MAI_BLA,"Ruddell, Zeb",803293,Left,LOU_BUL,Undefined,1,Bottom,0,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,93.14375,-2.508337,3.729117,2288.584535,131.86478,10:30,5.87485,-2.37894,6.94508,-17.2254,14.14292,-14.54434,2.15028,-0.19233,84.29846,-5.840377,1.072158,0.403104,72.94937,-29.823706,-10.231004,,,,,4.09877,4.09877,-6.471666,0.038603,8.89225,8.64111,2.15086,50,5.71223,-8.24164,-135.04977,-6.35652,16.22665,32.6848,-16.40567,LOU_BUL,MAI_BLA,JCLoveFieldatPatPattersonPark,D1,CUSA,20250215-JCLoveFieldatPatPattersonPark-1,9e17d800-ebb7-11ef-99e6-9b38f027614e,93.50551,2.05974,,8.8453,,,,0.53673,2.05974,0.17621,ac03a91a-f32b-4bc3-9256-06d9f46149bb,2025-02-15,16:12:13.11,2025-02-15T10:12:13.1117056-06:00,2025-02-15T16:12:13.1117056Z,GroundBall,v3,3374,471344,15 February 2025 13:00-maine@latech,"O'Neill, Dean",1000116135,Right,MAI_BLA,b2578fa3-324d-42ae-b006-cd2b9a39e871,53.55234,-135.90679,16.3424,5.87326,-5.92635,-8.20283,2.37254,-8.66712,8.11333,,0.53517,91.5972,,,,,,,,2.06065,-53.35695,,,,,,,,0.17649,-16.53211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2025-02-15,10:12:45.73,2,1,"Leys, Caleb",1000119536,Left,MAI_BLA,"Ballard, Michael",1000299399,Right,LOU_BUL,Undefined,1,Bottom,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.28513,-2.444985,3.939218,2278.102445,128.570065,10:15,6.03842,-2.32989,7.03902,-17.32706,13.10839,-15.11946,2.36674,-0.0056,85.52584,-5.792234,1.173077,0.397065,,,,,,,,,,,,9.20292,8.05209,2.09455,50,5.88397,-8.82124,-136.71549,-6.28394,17.26301,32.64633,-17.06976,LOU_BUL,MAI_BLA,JCLoveFieldatPatPattersonPark,D1,CUSA,20250215-JCLoveFieldatPatPattersonPark-1,b19095c0-ebb7-11ef-99e6-9b38f027614e,94.92765,,,8.75929,,,,,,,ac03a91a-f32b-4bc3-9256-06d9f46149bb,2025-02-15,16:12:45.73,2025-02-15T10:12:45.7323008-06:00,2025-02-15T16:12:45.7323008Z,,v3,3374,471344,15 February 2025 13:00-maine@latech,"O'Neill, Dean",1000116135,Right,MAI_BLA,5d4997a3-3ca1-4cf1-a871-1a11f3169f7a,53.45782,-137.5387,16.32317,6.037,-5.8535,-8.53488,2.32248,-9.25655,8.6315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
