PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,13:05:41.72,1,1,"Martinez, Jack",822956,Right,ARI_SUN,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.4888,-1.177004,-1.744777,2012.878626,219.247849,1:15,5.77553,0.43013,6.59713,-14.64883,16.14662,12.30835,3.4758,-0.1432,85.34,-4.027165,0.493349,0.399406,,,,,,,,,,,,-6.96343,9.14938,-0.31533,50,5.68868,3.66152,-137.20136,-3.18632,-13.10727,33.89933,-14.95211,ARI_SUN,OSU_BUC,PhoenixMunicipal,D1,BIG12,20250215-PhoenixMunicipal-1,3bf83400-ebd8-11ef-a7d1-fbe6b40f6684,94.37123,,,9.1488,,,,,,,2c79bd21-d974-4597-b8ea-f8555ae9667d,2025-02-15,20:05:41.72,2025-02-15T13:05:41.7229824-07:00,2025-02-15T20:05:41.7229824Z,,v3,5035,4144,,"Briggs, Brody",806486,Right,ARI_SUN,fc83df80-71f7-4f8a-8700-7d5f83791701,53.89931,-138.16143,16.94967,5.77292,-2.76286,-7.47605,-0.42428,4.03273,-6.55364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-15,13:05:57.70,1,2,"Martinez, Jack",822956,Right,ARI_SUN,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.69127,-0.958826,-2.364842,2034.316762,244.263335,2:15,5.42781,0.48701,6.75879,-33.60722,9.34973,16.32308,1.75063,-0.31389,72.51158,-7.312988,0.614587,0.471724,,,,,,,,,,,,-9.32394,5.70024,-0.3374,50,5.35244,4.22327,-115.75367,-2.80804,-12.51323,23.79552,-24.52401,ARI_SUN,OSU_BUC,PhoenixMunicipal,D1,BIG12,20250215-PhoenixMunicipal-1,4582ad70-ebd8-11ef-a7d1-fbe6b40f6684,79.90354,,,7.17969,,,,,,,2c79bd21-d974-4597-b8ea-f8555ae9667d,2025-02-15,20:05:57.70,2025-02-15T13:05:57.7006080-07:00,2025-02-15T20:05:57.7006080Z,,v3,5035,4144,,"Briggs, Brody",806486,Right,ARI_SUN,a1120974-5d72-41df-bd9a-1a12f732d56f,53.73905,-116.51978,11.89776,5.43014,-2.01849,-12.26201,-0.47985,4.62614,-6.25662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-15,13:06:14.48,1,3,"Martinez, Jack",822956,Right,ARI_SUN,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.61774,-1.558189,-3.056339,2096.263952,241.093128,2:00,5.42273,0.59177,6.9562,-31.58828,10.19556,15.79895,1.3702,-0.87529,73.23632,-7.559592,-0.163855,0.465238,,,,,,,,,,,,-9.37394,6.36693,-0.40657,50,5.31532,5.72565,-117.03602,-3.96822,-12.83372,24.75569,-23.45719,ARI_SUN,OSU_BUC,PhoenixMunicipal,D1,BIG12,20250215-PhoenixMunicipal-1,4f8982d0-ebd8-11ef-a7d1-fbe6b40f6684,81.01749,,,7.38142,,,,,,,2c79bd21-d974-4597-b8ea-f8555ae9667d,2025-02-15,20:06:14.48,2025-02-15T13:06:14.4846848-07:00,2025-02-15T20:06:14.4846848Z,,v3,5035,4144,,"Briggs, Brody",806486,Right,ARI_SUN,b60fd993-0994-4d65-aca6-37f9d0a9153e,53.54201,-117.78285,12.37785,5.42435,-3.26056,-11.7286,-0.58514,6.11282,-6.41686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-15,13:06:32.84,1,4,"Martinez, Jack",822956,Right,ARI_SUN,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.64904,-1.964088,-2.921473,2159.075339,211.931136,1:00,5.70351,-0.01478,6.46925,-11.37619,18.40859,10.78607,2.9486,-1.80137,86.82947,-4.216448,-0.967786,0.392797,,,,,,,,,,,,-6.70142,10.66453,0.21598,50,5.55989,6.70824,-140.14378,-5.08281,-13.07635,37.24209,-11.36459,ARI_SUN,OSU_BUC,PhoenixMunicipal,D1,BIG12,20250215-PhoenixMunicipal-1,5a7030e0-ebd8-11ef-a7d1-fbe6b40f6684,95.95902,,,9.81956,,,,,,,2c79bd21-d974-4597-b8ea-f8555ae9667d,2025-02-15,20:06:32.84,2025-02-15T13:06:32.8421888-07:00,2025-02-15T20:06:32.8421888Z,,v3,5035,4144,,"Briggs, Brody",806486,Right,ARI_SUN,ec77cdf4-5aa8-4655-944d-4d4a96ef7e22,54.03027,-141.21073,18.62104,5.70084,-4.75723,-5.6823,0.01843,7.08286,-6.53817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-15,13:06:49.78,1,5,"Martinez, Jack",822956,Right,ARI_SUN,"Lipsey, Trey",701733,Left,OSU_BUC,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.96395,-0.231882,-0.892647,2020.702258,250.237136,2:15,5.37205,0.7176,6.82641,-35.41061,7.21237,15.93009,2.20963,1.23079,72.55769,-6.934352,2.020586,0.469887,,,,,,,,,,,,-8.64178,4.385,-0.66464,50,5.34472,1.25839,-116.21811,-1.39634,-11.65141,24.66712,-26.26192,ARI_SUN,OSU_BUC,PhoenixMunicipal,D1,BIG12,20250215-PhoenixMunicipal-1,649abae0-ebd8-11ef-a7d1-fbe6b40f6684,80.21601,,,7.40626,,,,,,,2c79bd21-d974-4597-b8ea-f8555ae9667d,2025-02-15,20:06:49.78,2025-02-15T13:06:49.7800000-07:00,2025-02-15T20:06:49.7800000Z,,v3,5035,4144,,"Briggs, Brody",806486,Right,ARI_SUN,f6b85273-db8c-4e6e-a084-eaf6b6a5a9b4,53.67021,-116.99451,12.33356,5.37567,-0.56974,-13.13096,-0.71002,1.62512,-5.82571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1426,2.364901,1.299251,1.065649,-1.36211,1.86164,-1.33261,-1.28718,4.84246,-2.42617,77.38856,7.54945,-47.38686,-1.21681,79.41202,-5.27647,4.91997,18.27233,-14.80134,-2.51158,-47.49374,5.02148,High,High,High,,,High,High,High
6,2025-02-15,13:07:18.36,2,1,"Martinez, Jack",822956,Right,ARI_SUN,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.27317,1.197644,0.332562,2541.092514,48.022727,7:30,5.34368,0.68293,6.00852,-58.50932,-10.49524,-13.3819,1.57764,-0.12412,70.01506,-9.537764,-2.081392,0.498719,,,,,,,,,,,,6.99618,-5.31666,-0.70174,50,5.40582,-0.16927,-110.87245,0.50767,8.6391,21.29968,-38.73921,ARI_SUN,OSU_BUC,PhoenixMunicipal,D1,BIG12,20250215-PhoenixMunicipal-1,759be8f0-ebd8-11ef-a7d1-fbe6b40f6684,75.57854,,,6.25811,,,,,,,2c79bd21-d974-4597-b8ea-f8555ae9667d,2025-02-15,20:07:18.36,2025-02-15T13:07:18.3605760-07:00,2025-02-15T20:07:18.3605760Z,,v3,5035,4144,,"Briggs, Brody",806486,Right,ARI_SUN,7f5fcc6e-c2d1-40e1-8248-fe6bb102c266,54.49421,-111.73249,10.64984,5.35374,2.07189,-19.3696,-0.68786,-0.51811,4.31955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-15,13:07:33.14,2,2,"Martinez, Jack",822956,Right,ARI_SUN,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.79266,-2.787803,-3.123705,2117.985001,204.122152,12:45,5.56101,0.25512,6.74355,-11.6089,18.37052,7.73717,2.0408,-1.95683,86.33598,-5.085537,-1.715587,0.394079,,,,,,,,,,,,-5.05248,10.88182,-0.0521,50,5.37232,7.25043,-138.81069,-7.00369,-9.71187,35.37128,-11.25709,ARI_SUN,OSU_BUC,PhoenixMunicipal,D1,BIG12,20250215-PhoenixMunicipal-1,7e5ef3b0-ebd8-11ef-a7d1-fbe6b40f6684,95.64693,,,9.45668,,,,,,,2c79bd21-d974-4597-b8ea-f8555ae9667d,2025-02-15,20:07:33.14,2025-02-15T13:07:33.1427840-07:00,2025-02-15T20:07:33.1427840Z,,v3,5035,4144,,"Briggs, Brody",806486,Right,ARI_SUN,0f0fe2dc-05ec-4c9b-a08d-1ad081dc0e60,53.7521,-139.76352,17.68564,5.5569,-6.70045,-5.62854,-0.25093,7.51204,-4.85594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-15,13:07:47.52,2,3,"Martinez, Jack",822956,Right,ARI_SUN,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,1,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.57458,-0.222108,-0.664914,2581.262736,94.645854,9:15,5.46066,0.50729,6.13048,-40.48022,2.43024,-12.42646,1.882,-1.14287,73.60222,-7.725662,-2.907945,0.471469,,,,,,,,,,,,6.1852,1.78721,-0.45043,50,5.42314,1.82601,-117.04635,-1.70553,8.5059,23.88396,-29.71626,ARI_SUN,OSU_BUC,PhoenixMunicipal,D1,BIG12,20250215-PhoenixMunicipal-1,87063910-ebd8-11ef-a7d1-fbe6b40f6684,79.94684,,,6.97236,,,,,,,2c79bd21-d974-4597-b8ea-f8555ae9667d,2025-02-15,20:07:47.52,2025-02-15T13:07:47.5243008-07:00,2025-02-15T20:07:47.5243008Z,,v3,5035,4144,,"Briggs, Brody",806486,Right,ARI_SUN,fad26d8a-5c7e-4e86-ad6e-a6f1738bdd63,54.36766,-117.93423,11.94198,5.46601,-0.60084,-14.85813,-0.51243,1.5098,4.25295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-15,13:08:02.97,2,4,"Martinez, Jack",822956,Right,ARI_SUN,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.47215,-1.489977,-2.431223,2111.01363,241.454503,2:00,5.43644,0.46023,6.90531,-29.74222,10.99264,17.70151,1.59932,-0.28033,74.36295,-7.134874,0.808441,0.459362,,,,,,,,,,,,-10.24434,6.69363,-0.31308,50,5.33206,4.45496,-118.41642,-3.82286,-14.42792,24.32809,-22.74688,ARI_SUN,OSU_BUC,PhoenixMunicipal,D1,BIG12,20250215-PhoenixMunicipal-1,9025e2c0-ebd8-11ef-a7d1-fbe6b40f6684,82.05397,,,7.10919,,,,,,,2c79bd21-d974-4597-b8ea-f8555ae9667d,2025-02-15,20:08:02.97,2025-02-15T13:08:02.9760512-07:00,2025-02-15T20:08:02.9760512Z,,v3,5035,4144,,"Briggs, Brody",806486,Right,ARI_SUN,10df0f8d-1cb9-49a2-98ad-33209237b2e5,53.59526,-119.15276,12.16405,5.43735,-3.13438,-11.37344,-0.45453,4.89165,-7.21396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-15,13:08:23.57,2,5,"Martinez, Jack",822956,Right,ARI_SUN,"Graveline, Matthew",805343,Right,OSU_BUC,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.8741,2.440306,0.678129,2555.239027,73.714406,8:30,5.4793,0.59747,6.04414,-43.86892,-2.29532,-12.38949,4.08439,0.19287,74.66863,-5.677682,-1.551915,0.464066,,,,,,,,,,,,6.52713,-1.43181,-0.64394,50,5.64632,-0.92467,-118.88349,3.63503,9.30524,23.61169,-34.21527,ARI_SUN,OSU_BUC,PhoenixMunicipal,D1,BIG12,20250215-PhoenixMunicipal-1,9c7f33a0-ebd8-11ef-a7d1-fbe6b40f6684,81.22208,,,7.20547,,,,,,,2c79bd21-d974-4597-b8ea-f8555ae9667d,2025-02-15,20:08:23.57,2025-02-15T13:08:23.5710976-07:00,2025-02-15T20:08:23.5710976Z,,v3,5035,4144,,"Briggs, Brody",806486,Right,ARI_SUN,6622dd9e-e353-4640-9130-b021a04e231f,54.45529,-119.7651,11.80584,5.48674,4.91255,-17.10764,-0.60293,-1.27211,4.65262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
