PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,12:04:48.38,1,1,"Cummiskey, Connor",1000112361,Right,CIT_BUL,"Batusich, Ty",1000297118,Left,MIA_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.84851,-2.317605,-1.502954,2270.58798,196.463946,12:30,5.38566,1.71549,5.04047,-20.16836,16.66505,4.5517,1.51677,0.6767,80.7586,-6.070405,-0.698833,0.43681,,,,,,,,,,,,-2.70536,9.32508,-1.57594,50,5.14897,3.16425,-128.67427,-5.91864,-4.50738,28.25942,-16.63763,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-1,f7314690-ebbe-11ef-90bf-9d5786b67427,86.2903,,,8.08991,,,,,,,9bc1f4b4-1275-4b7b-b53a-283c57d0a768,2025-02-15,17:04:48.38,2025-02-15T12:04:48.3896320-05:00,2025-02-15T17:04:48.3896320Z,,v3,471271,471355,,"Daniels, Phillips",1000097151,Right,CIT_BUL,f8f4722b-6923-4c84-9d59-61086548bf3c,55.45522,-129.86682,14.12971,5.38393,-5.21653,-8.31881,-1.71348,3.35447,-2.25369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-15,12:05:03.04,1,2,"Cummiskey, Connor",1000112361,Right,CIT_BUL,"Batusich, Ty",1000297118,Left,MIA_RED,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.18407,0.183432,-0.094368,2202.902252,198.063981,12:30,5.32414,1.72959,4.94337,-20.57497,16.1943,4.86303,3.78291,2.04566,80.51235,-3.663162,0.763133,0.436429,,,,,,,,,,,,-2.4148,8.30056,-1.72461,50,5.32574,-0.02222,-129.19686,-0.31822,-4.04021,29.4612,-18.28632,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-1,ffed2560-ebbe-11ef-90bf-9d5786b67427,86.36552,,,8.67172,,,,,,,9bc1f4b4-1275-4b7b-b53a-283c57d0a768,2025-02-15,17:05:03.04,2025-02-15T12:05:03.0400000-05:00,2025-02-15T17:05:03.0400000Z,,v3,471271,471355,,"Daniels, Phillips",1000097151,Right,CIT_BUL,7e417780-89cc-4bec-abe5-c301cbebf9de,55.55007,-130.45633,14.7306,5.32263,0.46351,-9.14316,-1.72735,0.1505,-2.02011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-15,12:05:20.28,1,3,"Cummiskey, Connor",1000112361,Right,CIT_BUL,"Batusich, Ty",1000297118,Left,MIA_RED,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.07954,-2.378381,-2.65635,2259.179848,191.775046,12:30,5.36712,1.45619,5.34629,-18.4669,17.77698,3.44855,1.59365,-0.74983,81.01093,-5.845655,-2.044573,0.4333,73.13405,-35.663635,87.422832,,,,,3.6949,3.6949,55.125489,0.026391,-2.52441,9.9993,-1.21943,50,5.13993,5.83122,-128.99829,-5.97001,-4.22837,28.32765,-15.42533,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-1,0a31c710-ebbf-11ef-90bf-9d5786b67427,86.98922,1.6541,,8.06861,,,,2.00903,1.6541,0.72865,9bc1f4b4-1275-4b7b-b53a-283c57d0a768,2025-02-15,17:05:20.28,2025-02-15T12:05:20.2892288-05:00,2025-02-15T17:05:20.2892288Z,GroundBall,v3,471271,471355,,"Daniels, Phillips",1000097151,Right,CIT_BUL,417786ee-222e-49ca-bc19-24ca361fadd8,55.1504,-130.12439,14.16383,5.36507,-5.35681,-7.71266,-1.45458,5.99931,-2.11419,,2.00899,3.9272,,,,,,,,1.65469,-62.6755,,,,,,,,0.72783,87.25077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2025-02-15,12:05:42.03,1,4,"Cummiskey, Connor",1000112361,Right,CIT_BUL,"Batusich, Ty",1000297118,Left,MIA_RED,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.26762,-2.002724,-2.70518,2232.889168,201.714843,12:45,5.38401,1.51128,5.28746,-16.80454,19.85529,7.34634,2.10019,-0.41861,79.98479,-5.211571,-1.40343,0.435779,65.96547,43.004932,-150.727405,4442.412715,-99.47793,40.37715,-46.94823,159.90688,78.56543,-156.508586,3.028874,-4.59319,11.01008,-1.27038,50,5.18992,5.76161,-129.07629,-5.03709,-7.59347,31.89582,-13.97214,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-1,172d4b60-ebbf-11ef-90bf-9d5786b67427,86.49434,44.0233,,9.28283,,,,1.89866,2.10667,0.4054,9bc1f4b4-1275-4b7b-b53a-283c57d0a768,2025-02-15,17:05:42.03,2025-02-15T12:05:42.0325888-05:00,2025-02-15T17:05:42.0325888Z,Popup,v3,471271,471355,,"Daniels, Phillips",1000097151,Right,CIT_BUL,7770f2ff-9087-42fb-8028-5b5a6d10958e,55.20688,-130.3566,15.94791,5.38085,-4.47624,-6.98607,-1.50777,6.06642,-3.79674,19.750958,1.89798,-61.69005,1.26304,2.42704,-1.36177,0.63837,-0.17723,0.02423,-0.00123,2.10691,65.97673,-30.83628,4.52328,-0.52849,-0.2373,0.16646,-0.03931,0.00334,0.40491,-34.57496,5.43979,-0.10336,-0.54759,0.42361,-0.151,0.02584,-0.00172,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2025-02-15,12:06:00.57,1,5,"Cummiskey, Connor",1000112361,Right,CIT_BUL,"Batusich, Ty",1000297118,Left,MIA_RED,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.14907,-1.335856,-0.88294,2396.528488,154.519204,11:15,5.23983,1.62898,4.80617,-36.3877,5.33544,-1.82169,0.94155,0.6406,76.17294,-7.948171,-1.203892,0.4649,,,,,,,,,,,,0.61272,3.48177,-1.53947,50,5.07583,1.9597,-121.80715,-4.23422,0.90644,27.35095,-27.02328,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-1,223a9440-ebbf-11ef-90bf-9d5786b67427,81.07639,,,7.97612,,,,,,,9bc1f4b4-1275-4b7b-b53a-283c57d0a768,2025-02-15,17:06:00.57,2025-02-15T12:06:00.5743104-05:00,2025-02-15T17:06:00.5743104Z,,v3,471271,471355,,"Daniels, Phillips",1000097151,Right,CIT_BUL,08a84300-a343-4102-822b-a065b73a994c,55.68904,-123.07796,13.67548,5.2434,-2.97864,-13.51164,-1.62954,1.91759,0.45322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-15,12:06:18.46,1,6,"Cummiskey, Connor",1000112361,Right,CIT_BUL,"Batusich, Ty",1000297118,Left,MIA_RED,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.11812,-0.161952,-0.937079,2307.028072,213.593458,1:00,5.33131,1.53209,5.02245,-22.12863,13.08528,7.85493,3.33441,1.30232,82.10286,-4.281296,0.450163,0.427099,,,,,,,,,,,,-4.15843,6.89012,-1.44895,50,5.29868,1.77302,-131.97008,-1.19752,-7.23946,31.45029,-20.17892,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-1,2cdc7120-ebbf-11ef-90bf-9d5786b67427,88.25226,,,9.01526,,,,,,,9bc1f4b4-1275-4b7b-b53a-283c57d0a768,2025-02-15,17:06:18.46,2025-02-15T12:06:18.4623104-05:00,2025-02-15T17:06:18.4623104Z,,v3,471271,471355,,"Daniels, Phillips",1000097151,Right,CIT_BUL,f759832f-356f-4308-923c-1756ce311e14,55.47103,-133.26752,15.72514,5.33091,-0.36506,-10.08946,-1.52825,2.07167,-3.61973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-15,12:06:51.84,2,1,"Cummiskey, Connor",1000112361,Right,CIT_BUL,"Baker, Dillon",1000034148,Right,MIA_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.71551,-1.773386,-0.785589,2198.649579,195.766723,12:30,5.50265,1.35813,5.3054,-15.66977,20.30489,5.36418,2.53148,1.06767,80.86814,-4.767746,0.166703,0.431688,,,,,,,,,,,,-2.91788,11.07859,-1.29082,50,5.33089,1.53102,-129.93934,-4.49532,-4.92225,30.61154,-13.48524,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-1,40c11010-ebbf-11ef-90bf-9d5786b67427,87.31414,,,8.84737,,,,,,,9bc1f4b4-1275-4b7b-b53a-283c57d0a768,2025-02-15,17:06:51.84,2025-02-15T12:06:51.8412288-05:00,2025-02-15T17:06:51.8412288Z,,v3,471271,471355,,"Daniels, Phillips",1000097151,Right,CIT_BUL,44bdff71-ad18-4039-a236-3057991d9b4e,55.18812,-131.15588,15.30577,5.49889,-3.95941,-6.74262,-1.35555,1.72663,-2.46113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-15,12:07:43.71,2,2,"Cummiskey, Connor",1000112361,Right,CIT_BUL,"Baker, Dillon",1000034148,Right,MIA_RED,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.54152,-1.157429,-1.337113,2213.528828,186.993574,12:15,5.54576,1.34199,5.2572,-18.17981,18.0078,2.04839,2.94288,0.2562,80.68079,-4.597172,-0.973898,0.432963,,,,,,,,,,,,-1.45236,9.74938,-1.22109,50,5.42698,2.93304,-129.70218,-3.2158,-2.43885,30.72779,-15.80247,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-1,5fb23490-ebbf-11ef-90bf-9d5786b67427,87.05686,,,8.86073,,,,,,,9bc1f4b4-1275-4b7b-b53a-283c57d0a768,2025-02-15,17:07:43.71,2025-02-15T12:07:43.7142016-05:00,2025-02-15T17:07:43.7142016Z,,v3,471271,471355,,"Daniels, Phillips",1000097151,Right,CIT_BUL,0ee759f7-ff10-46aa-95c1-32c7bfbaeaf5,55.23758,-130.93713,15.36389,5.54345,-2.5807,-7.90124,-1.34094,3.03106,-1.21943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-15,12:08:31.93,2,3,"Cummiskey, Connor",1000112361,Right,CIT_BUL,"Baker, Dillon",1000034148,Right,MIA_RED,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.21258,0.492268,-1.717254,2249.203233,199.004437,12:45,5.46569,1.32518,5.27602,-22.99096,13.31465,4.15142,4.01234,0.05779,80.56848,-3.801921,-0.98119,0.433669,,,,,,,,,,,,-2.59587,6.86937,-1.17154,50,5.49426,3.683,-129.2658,0.30085,-4.34704,29.53476,-20.67054,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-1,7c694790-ebbf-11ef-90bf-9d5786b67427,86.91524,,,8.64409,,,,,,,9bc1f4b4-1275-4b7b-b53a-283c57d0a768,2025-02-15,17:08:31.93,2025-02-15T12:08:31.9318528-05:00,2025-02-15T17:08:31.9318528Z,,v3,471271,471355,,"Daniels, Phillips",1000097151,Right,CIT_BUL,8593664f-78ee-47f7-9445-6f9a413b3226,55.2183,-130.45263,14.76738,5.46548,1.13148,-10.33527,-1.32305,3.85768,-2.17352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-15,12:08:51.38,2,4,"Cummiskey, Connor",1000112361,Right,CIT_BUL,"Baker, Dillon",1000034148,Right,MIA_RED,Undefined,1,Top,0,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.8203,0.273252,-0.112783,2318.682978,97.565123,9:15,5.32701,1.41967,4.77593,-40.84624,1.73122,-0.27965,2.18219,1.28945,74.84388,-7.172791,-0.162009,0.469636,,,,,,,,,,,,0.09906,1.08563,-1.40812,50,5.31875,0.25098,-121.24825,-0.98193,0.14313,30.19044,-30.6054,CIT_BUL,MIA_RED,RileyPark,D1,SOCON,20250215-RileyPark-1,88058a00-ebbf-11ef-90bf-9d5786b67427,80.25884,,,8.97642,,,,,,,9bc1f4b4-1275-4b7b-b53a-283c57d0a768,2025-02-15,17:08:51.38,2025-02-15T12:08:51.3883648-05:00,2025-02-15T17:08:51.3883648Z,,v3,471271,471355,,"Daniels, Phillips",1000097151,Right,CIT_BUL,f86d4810-1f06-4ce1-a859-dd2dacec0317,55.72111,-122.66451,15.09522,5.33114,0.4538,-15.3027,-1.41974,0.24427,0.07156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
