PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,14:08:11.73,1,1,"Cash, Steven",822948,Left,JAC_GAM,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.89916,-0.498036,3.074398,2048.895752,147.986229,11:00,5.57266,-2.93658,6.11864,-23.14741,14.37906,-8.25851,3.18258,-0.77964,78.63345,-4.859164,1.588753,0.4409,,,,,,,,,,,,5.09146,7.91575,2.705,50,5.52229,-6.36916,-124.68543,-1.768,8.03012,24.63204,-19.68949,JAC_GAM,OAK_GOL,RudyAbbottField,D1,CUSA,20250215-RudyAbbottField-1,33f0d1c0-ebd0-11ef-b394-a53f2522247d,85.48972,,,7.2657,,,,,,,a1ad9059-20f9-4fa6-b74b-3161e593b206,2025-02-15,19:08:11.73,2025-02-15T14:08:11.7373440-05:00,2025-02-15T19:08:11.7373440Z,,v3,471325,471397,15 February 2025 14:00-oakland@jksonvilst,"Buchan, Zander",702994,Right,JAC_GAM,6d7ae741-88da-45a6-afba-f59afc238848,54.38052,-125.54783,12.31602,5.57212,-1.07864,-9.84475,2.93291,-6.65031,4.01506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-15,14:08:23.90,1,2,"Cash, Steven",822948,Left,JAC_GAM,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.62463,-1.028067,4.856463,1582.425456,88.643821,9:00,5.1819,-3.19806,5.85513,-44.77093,0.84209,-11.30225,0.49222,0.38328,73.12836,-9.161117,2.835583,0.486089,,,,,,,,,,,,6.91618,0.8813,2.80983,50,5.07092,-9.18997,-112.6981,-3.4078,9.11018,15.83033,-31.01315,JAC_GAM,OAK_GOL,RudyAbbottField,D1,CUSA,20250215-RudyAbbottField-1,3b2b19a0-ebd0-11ef-b394-a53f2522247d,77.54225,,,4.49627,,,,,,,a1ad9059-20f9-4fa6-b74b-3161e593b206,2025-02-15,19:08:23.90,2025-02-15T14:08:23.9043072-05:00,2025-02-15T19:08:23.9043072Z,,v3,471325,471397,15 February 2025 14:00-oakland@jksonvilst,"Buchan, Zander",702994,Right,JAC_GAM,45d3f2c6-32b5-4f28-8435-1664f56f30b4,54.65031,-113.34943,7.91516,5.18488,-2.13178,-15.50658,3.19566,-9.5648,4.55509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-15,14:08:37.54,1,3,"Cash, Steven",822948,Left,JAC_GAM,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.93567,-0.304454,4.745182,1658.075353,107.339326,9:30,5.21582,-3.32749,5.76934,-39.64888,6.5889,-16.5408,1.62743,-0.27969,71.74861,-7.597012,1.793833,0.489407,,,,,,,,,,,,9.71843,3.8574,2.94446,50,5.16637,-8.7628,-112.9247,-1.83052,12.60619,19.69035,-27.17047,JAC_GAM,OAK_GOL,RudyAbbottField,D1,CUSA,20250215-RudyAbbottField-1,43678f40-ebd0-11ef-b394-a53f2522247d,77.0166,,,6.18706,,,,,,,a1ad9059-20f9-4fa6-b74b-3161e593b206,2025-02-15,19:08:37.54,2025-02-15T14:08:37.5449088-05:00,2025-02-15T19:08:37.5449088Z,,v3,471325,471397,15 February 2025 14:00-oakland@jksonvilst,"Buchan, Zander",702994,Right,JAC_GAM,f3ce4d9c-9a3b-41da-8d7b-913fbb80bec3,54.73241,-113.74688,9.84517,5.21912,-0.696,-13.58523,3.32135,-9.28917,6.30309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-15,14:08:52.29,1,4,"Cash, Steven",822948,Left,JAC_GAM,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.1277,-2.009088,3.957583,2170.856089,141.482829,10:45,5.52746,-3.12946,5.90567,-22.11352,14.25954,-10.55623,1.81448,-0.32961,80.91917,-6.120709,2.068269,0.434072,92.41895,7.150845,50.129901,2668.137013,63.45671,7.26605,89.85123,169.84598,157.87478,57.219662,1.520695,6.3502,8.09993,2.81723,50,5.35281,-8.32532,-126.43921,-5.14474,10.45073,21.76589,-18.84376,JAC_GAM,OAK_GOL,RudyAbbottField,D1,CUSA,20250215-RudyAbbottField-1,4c2a24d0-ebd0-11ef-b394-a53f2522247d,86.8346,7.80018,,6.20853,,,,0.10336,1.77244,0.17049,a1ad9059-20f9-4fa6-b74b-3161e593b206,2025-02-15,19:08:52.29,2025-02-15T14:08:52.2955264-05:00,2025-02-15T19:08:52.2955264Z,GroundBall,v3,471325,471397,15 February 2025 14:00-oakland@jksonvilst,"Buchan, Zander",702994,Right,JAC_GAM,f15e9a33-099e-477a-8dcc-9b328c4587c9,54.59632,-127.22798,10.88294,5.52688,-4.46186,-9.42188,3.12579,-8.70404,5.22536,,0.10336,86.21679,-23.38387,5.70513,-1.29235,0.26779,-0.05203,0.00823,-0.0007,1.77244,16.87325,-11.50757,-0.62976,0.39109,-0.12343,0.03229,-0.00571,0.00052,0.17049,103.22356,-7.0711,0.46514,0.15618,-0.08664,0.02613,-0.00508,0.0005,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-02-15,14:09:11.11,1,5,"Cash, Steven",822948,Left,JAC_GAM,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.17046,-0.611928,2.410276,2132.276863,146.722661,11:00,5.57782,-2.96465,6.0526,-21.81375,14.53461,-8.82666,3.19303,-1.4677,80.10778,-4.715166,0.822844,0.433924,,,,,,,,,,,,5.16351,7.98189,2.78173,50,5.51836,-4.9733,-126.63907,-2.01217,8.4369,24.37224,-19.13206,JAC_GAM,OAK_GOL,RudyAbbottField,D1,CUSA,20250215-RudyAbbottField-1,574613b0-ebd0-11ef-b394-a53f2522247d,86.86413,,,7.06268,,,,,,,a1ad9059-20f9-4fa6-b74b-3161e593b206,2025-02-15,19:09:11.11,2025-02-15T14:09:11.1105536-05:00,2025-02-15T19:09:11.1105536Z,,v3,471325,471397,15 February 2025 14:00-oakland@jksonvilst,"Buchan, Zander",702994,Right,JAC_GAM,265602a5-10b9-4a97-8cde-ff26b758feeb,54.44709,-127.49205,12.18612,5.57707,-1.34258,-9.56603,2.96095,-5.26858,4.21845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-15,14:09:23.33,1,6,"Cash, Steven",822948,Left,JAC_GAM,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,77.8663,0.373929,4.98759,1711.233521,105.684732,9:30,5.22582,-3.1976,6.06554,-41.57766,5.06453,-12.07237,2.1084,0.42395,70.46502,-7.353766,2.824504,0.491542,97.82808,13.866835,-32.057564,1733.098504,90.06816,20.26983,-63.14829,259.09714,259.09714,-40.006862,2.45151,7.83449,2.95299,2.81639,50,5.23284,-9.39341,-112.62701,-0.48777,9.91952,23.18072,-28.43519,JAC_GAM,OAK_GOL,RudyAbbottField,D1,CUSA,20250215-RudyAbbottField-1,5e978d10-ebd0-11ef-b394-a53f2522247d,76.682,21.34618,,7.40128,,,,1.82356,2.24188,-0.46556,a1ad9059-20f9-4fa6-b74b-3161e593b206,2025-02-15,19:09:23.33,2025-02-15T14:09:23.3353216-05:00,2025-02-15T19:09:23.3353216Z,LineDrive,v3,471325,471397,15 February 2025 14:00-oakland@jksonvilst,"Buchan, Zander",702994,Right,JAC_GAM,4d504936-86bc-4d2a-9e4c-493a51deec82,54.43392,-113.53593,11.59036,5.23011,0.62717,-14.2176,3.19233,-9.78235,4.95976,,1.82356,118.05817,-22.46515,4.46726,-0.96684,0.18495,-0.0311,0.00373,-0.00022,2.24189,34.38748,-16.68293,1.26981,-0.2149,0.04264,-0.00625,0.00084,-7E-05,-0.46556,-73.93604,1.80534,0.71979,-0.314,0.08805,-0.01703,0.00202,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-02-15,14:10:17.26,2,1,"Cash, Steven",822948,Left,JAC_GAM,"Orr, Aidan",1000315303,Left,OAK_GOL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.53576,-2.215532,3.944998,2128.350008,147.738694,11:00,5.48553,-3.16685,5.9264,-22.15915,14.22702,-8.2789,1.57723,-0.19039,80.53289,-6.354423,2.46284,0.43415,,,,,,,,,,,,5.32,8.23008,2.85577,50,5.29525,-8.41986,-126.89433,-5.61454,8.72006,24.68492,-18.68411,JAC_GAM,OAK_GOL,RudyAbbottField,D1,CUSA,20250215-RudyAbbottField-1,7eb104f0-ebd0-11ef-b394-a53f2522247d,86.81895,,,7.00287,,,,,,,a1ad9059-20f9-4fa6-b74b-3161e593b206,2025-02-15,19:10:17.26,2025-02-15T14:10:17.2602880-05:00,2025-02-15T19:10:17.2602880Z,,v3,471325,471397,15 February 2025 14:00-oakland@jksonvilst,"Buchan, Zander",702994,Right,JAC_GAM,03388780-c870-416a-9a7c-d4e3038229b8,54.57496,-127.7812,12.34246,5.48491,-4.94326,-9.34206,3.1639,-8.73315,4.36003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-15,14:10:36.44,2,2,"Cash, Steven",822948,Left,JAC_GAM,"Orr, Aidan",1000315303,Left,OAK_GOL,Undefined,1,Top,0,0,1,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.95021,-1.431776,5.212617,2270.562191,147.515076,11:00,5.39838,-3.15781,6.60336,-21.94647,13.7843,-8.14382,2.25216,0.95196,80.55474,-5.567474,3.740968,0.430222,,,,,,,,,,,,5.51662,7.91453,2.80463,50,5.29095,-11.20153,-126.07212,-3.76321,9.00545,22.20226,-19.25414,JAC_GAM,OAK_GOL,RudyAbbottField,D1,CUSA,20250215-RudyAbbottField-1,8a49c4f0-ebd0-11ef-b394-a53f2522247d,87.61161,,,6.39547,,,,,,,a1ad9059-20f9-4fa6-b74b-3161e593b206,2025-02-15,19:10:36.44,2025-02-15T14:10:36.4473344-05:00,2025-02-15T19:10:36.4473344Z,,v3,471325,471397,15 February 2025 14:00-oakland@jksonvilst,"Buchan, Zander",702994,Right,JAC_GAM,b3d884e8-b523-42b7-bf39-7c1ac771378d,53.8975,-126.75664,11.10113,5.39782,-3.16959,-9.62707,3.15427,-11.47918,4.50272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-15,14:10:54.42,2,3,"Cash, Steven",822948,Left,JAC_GAM,"Orr, Aidan",1000315303,Left,OAK_GOL,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.22262,-0.540425,3.328657,2505.819585,285.196177,3:30,5.29472,-3.11357,5.64248,-46.75377,-0.85969,7.97028,0.89357,0.65927,72.69715,-9.032038,4.750327,0.487584,,,,,,,,,,,,-3.22,0.03217,2.82525,50,5.21842,-6.89656,-113.55535,-2.5862,-4.22855,19.67915,-32.13181,JAC_GAM,OAK_GOL,RudyAbbottField,D1,CUSA,20250215-RudyAbbottField-1,94e44ed0-ebd0-11ef-b394-a53f2522247d,77.30443,,,5.52546,,,,,,,a1ad9059-20f9-4fa6-b74b-3161e593b206,2025-02-15,19:10:54.42,2025-02-15T14:10:54.4278016-05:00,2025-02-15T19:10:54.4278016Z,,v3,471325,471397,15 February 2025 14:00-oakland@jksonvilst,"Buchan, Zander",702994,Right,JAC_GAM,78a925d3-3087-4a70-bc41-b81561bd98f5,54.86065,-114.3946,9.83958,5.29949,-1.21588,-16.06591,3.11553,-6.71622,-2.11427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-15,14:11:11.57,2,4,"Cash, Steven",822948,Left,JAC_GAM,"Orr, Aidan",1000315303,Left,OAK_GOL,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.81863,1.179839,1.271726,2449.850666,302.960371,4:00,5.36444,-3.28361,5.69298,-51.03452,-3.58874,7.66697,2.21157,-1.45929,71.02953,-8.140518,2.643736,0.495759,,,,,,,,,,,,-3.57331,-1.74067,3.1718,50,5.43144,-2.76014,-111.65081,0.66279,-4.5295,19.31371,-34.38049,JAC_GAM,OAK_GOL,RudyAbbottField,D1,CUSA,20250215-RudyAbbottField-1,9f1b0dd0-ebd0-11ef-b394-a53f2522247d,76.02983,,,5.7891,,,,,,,a1ad9059-20f9-4fa6-b74b-3161e593b206,2025-02-15,19:11:11.57,2025-02-15T14:11:11.5735040-05:00,2025-02-15T19:11:11.5735040Z,,v3,471325,471397,15 February 2025 14:00-oakland@jksonvilst,"Buchan, Zander",702994,Right,JAC_GAM,61bc365b-ccac-4b3f-8b23-002638efb1e7,54.80976,-112.47974,9.65685,5.37133,2.13838,-17.19025,3.28609,-2.56574,-2.26475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
