PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,13:03:47.06,1,1,"Shores, Chase",702274,Right,LSU_TIG,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,97.93395,-2.551555,-4.661597,2311.85093,225.88201,1:30,5.93352,3.28108,6.01698,-18.69485,10.58276,9.91461,2.00259,-0.22048,89.23713,-6.059085,-2.88617,0.389439,,,,,,,,,,,,-6.40382,6.46406,-2.91999,50,5.72248,11.09259,-141.6776,-6.97969,-12.97931,33.22267,-19.07267,LSU_TIG,FOR_MAS,LSU,D1,SEC,20250216-LSU-1,c03ea5d0-ec98-11ef-88b5-abcf4d601849,96.78659,,,8.69682,,,,,,,a16a3b53-ea18-4c34-9890-6d9de9d17412,2025-02-16,19:03:47.06,2025-02-16T13:03:47.0670336-06:00,2025-02-16T19:03:47.0670336Z,,v3,5323,471321,16 February 2025 14:00-iupufw@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,5bba20ed-4552-474c-9181-50cd67479ffd,54.48298,-142.72496,16.61133,5.93304,-6.37841,-9.53633,-3.27614,11.50177,-6.48966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
2,2025-02-16,13:04:04.10,1,2,"Shores, Chase",702274,Right,LSU_TIG,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,97.66158,-1.354304,-4.677937,2242.026783,227.612055,1:30,5.89761,3.22825,6.06399,-20.18765,9.043,8.89792,2.95744,-0.36943,89.2795,-5.131283,-3.08374,0.389126,,,,,,,,,,,,-5.843,5.31465,-2.86907,50,5.78137,11.16688,-141.4493,-4.06336,-11.85398,31.85462,-21.39195,LSU_TIG,FOR_MAS,LSU,D1,SEC,20250216-LSU-1,ca6203e0-ec98-11ef-88b5-abcf4d601849,96.86424,,,8.38207,,,,,,,a16a3b53-ea18-4c34-9890-6d9de9d17412,2025-02-16,19:04:04.10,2025-02-16T13:04:04.1004032-06:00,2025-02-16T19:04:04.1004032Z,,v3,5323,471321,16 February 2025 14:00-iupufw@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,55871318-8b11-4bda-b474-193bbecd6962,54.43653,-142.44491,15.92731,5.89791,-3.39476,-10.69597,-3.22387,11.53738,-5.92699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-16,13:04:18.97,1,3,"Shores, Chase",702274,Right,LSU_TIG,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,98.6764,-1.350488,-5.817946,2336.510231,219.744262,1:15,5.83471,3.34013,6.13826,-17.79993,11.02575,8.36434,3.09653,-1.35849,89.59711,-4.709744,-4.322683,0.386422,,,,,,,,,,,,-5.97977,6.37134,-2.89877,50,5.72189,14.13785,-142.57421,-3.97228,-12.25072,34.21752,-19.12112,LSU_TIG,FOR_MAS,LSU,D1,SEC,20250216-LSU-1,d33cb550-ec98-11ef-88b5-abcf4d601849,97.54226,,,9.07929,,,,,,,a16a3b53-ea18-4c34-9890-6d9de9d17412,2025-02-16,19:04:18.97,2025-02-16T13:04:18.9717504-06:00,2025-02-16T19:04:18.9717504Z,,v3,5323,471321,16 February 2025 14:00-iupufw@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,f7275774-fc2c-4d63-b566-08c501639808,54.36075,-143.61697,17.10876,5.83407,-3.38957,-9.56056,-3.3353,14.51118,-6.12536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-16,13:04:38.16,1,4,"Shores, Chase",702274,Right,LSU_TIG,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,97.95599,-2.939439,-4.374136,2234.587399,230.314276,1:45,5.76605,3.31023,6.18117,-19.80076,9.50174,10.19938,1.39116,0.1129,88.67018,-6.665255,-2.540223,0.389604,,,,,,,,,,,,-6.60595,6.13906,-2.98404,50,5.5332,10.36923,-141.64955,-7.96611,-13.27055,35.75488,-19.84139,LSU_TIG,FOR_MAS,LSU,D1,SEC,20250216-LSU-1,deb0d650-ec98-11ef-88b5-abcf4d601849,96.74546,,,9.28581,,,,,,,a16a3b53-ea18-4c34-9890-6d9de9d17412,2025-02-16,19:04:38.16,2025-02-16T13:04:38.1677568-06:00,2025-02-16T19:04:38.1677568Z,,v3,5323,471321,16 February 2025 14:00-iupufw@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,88ee098e-fba1-4450-b71c-fe57454c3c7c,54.31796,-142.73531,17.87744,5.76595,-7.36358,-9.9207,-3.30504,10.77222,-6.63528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-16,13:04:56.64,1,5,"Shores, Chase",702274,Right,LSU_TIG,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,97.42099,-1.971458,-2.822155,2246.138368,224.357941,1:30,5.92997,3.31647,6.02869,-19.84418,9.79772,8.56949,2.44751,1.41477,88.20983,-5.704887,-1.281796,0.391854,,,,,,,,,,,,-5.22882,5.95374,-3.09993,50,5.76489,6.55598,-141.16736,-5.55283,-10.44418,35.18482,-20.28188,LSU_TIG,FOR_MAS,LSU,D1,SEC,20250216-LSU-1,e9b51e80-ec98-11ef-88b5-abcf4d601849,96.18998,,,9.21116,,,,,,,a16a3b53-ea18-4c34-9890-6d9de9d17412,2025-02-16,19:04:56.64,2025-02-16T13:04:56.6458880-06:00,2025-02-16T19:04:56.6458880Z,,v3,5323,471321,16 February 2025 14:00-iupufw@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,ab13c2bf-dff2-400b-a9dd-66b7f9d927a9,54.46933,-142.27694,17.59241,5.92992,-4.91322,-10.14094,-3.31187,6.88535,-5.22209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-16,13:05:14.69,1,6,"Shores, Chase",702274,Right,LSU_TIG,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,97.62155,-2.173533,-4.637095,2239.778421,225.739193,1:30,5.77888,3.24344,6.02981,-21.48076,7.99339,7.19926,1.96829,-0.46052,88.91737,-6.180762,-3.347642,0.390744,87.13685,-13.36621,23.647472,,,,,9.48483,5.57284,21.058473,0.062272,-5.08477,5.03819,-2.88409,50,5.59666,11.13745,-141.28187,-6.14385,-10.22502,33.72121,-22.04275,LSU_TIG,FOR_MAS,LSU,D1,SEC,20250216-LSU-1,f473ab20-ec98-11ef-88b5-abcf4d601849,96.46333,1.84271,,8.70417,,,,1.74742,1.84271,0.29744,a16a3b53-ea18-4c34-9890-6d9de9d17412,2025-02-16,19:05:14.69,2025-02-16T13:05:14.6988032-06:00,2025-02-16T19:05:14.6988032Z,GroundBall,v3,5323,471321,16 February 2025 14:00-iupufw@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,940f5836-4ee6-497d-b899-b198a9b11630,54.47173,-142.34518,16.86061,5.77943,-5.44879,-11.02137,-3.24037,11.45988,-5.11251,180,1.74561,114.07889,,,,,,,,1.84318,-29.59108,,,,,,,,0.29665,49.95244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2025-02-16,13:05:51.17,2,1,"Shores, Chase",702274,Right,LSU_TIG,"Karczewski, Camden",1000133231,Right,FOR_MAS,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.01276,-1.647275,-2.639188,2628.908911,74.197502,8:30,5.69975,2.8846,5.82255,-39.9177,-1.82571,-10.71024,0.8397,-0.4634,79.06021,-8.933858,-4.558853,0.44421,,,,,,,,,,,,4.71744,-0.10331,-2.66214,50,5.54115,6.18489,-124.78244,-4.98841,7.39498,26.46602,-32.33599,LSU_TIG,FOR_MAS,LSU,D1,SEC,20250216-LSU-1,0a3b61f0-ec99-11ef-88b5-abcf4d601849,84.85277,,,6.95255,,,,,,,a16a3b53-ea18-4c34-9890-6d9de9d17412,2025-02-16,19:05:51.17,2025-02-16T13:05:51.1789056-06:00,2025-02-16T19:05:51.1789056Z,,v3,5323,471321,16 February 2025 14:00-iupufw@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,8bf5d5bb-56e6-43d1-b63e-aa22865106d1,54.67999,-125.77113,13.23301,5.70494,-3.78042,-16.168,-2.88803,5.90863,3.69749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-16,13:06:10.52,2,2,"Shores, Chase",702274,Right,LSU_TIG,"Karczewski, Camden",1000133231,Right,FOR_MAS,Undefined,1,Top,1,0,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,96.56891,-1.76201,-3.45721,2311.025034,269.623655,3:00,5.7867,2.67402,6.50072,-28.70273,1.20587,13.76296,1.774,0.6437,86.87692,-7.140146,-0.960125,0.393613,96.58041,-9.416027,-8.229154,,,,,12.74778,10.96465,-10.348359,0.082052,-8.39083,1.54921,-2.43743,50,5.65096,7.86774,-139.93354,-5.30297,-16.28441,37.82532,-29.16741,LSU_TIG,FOR_MAS,LSU,D1,SEC,20250216-LSU-1,15b7e760-ec99-11ef-88b5-abcf4d601849,95.76013,1.90385,,9.69199,,,,1.17836,1.90385,-0.64672,a16a3b53-ea18-4c34-9890-6d9de9d17412,2025-02-16,19:06:10.52,2025-02-16T13:06:10.5299456-06:00,2025-02-16T19:06:10.5299456Z,GroundBall,v3,5323,471321,16 February 2025 14:00-iupufw@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,eecb5302-0720-43b5-82ab-f6addbaedaec,53.99965,-141.01054,18.91266,5.79012,-4.47249,-14.5837,-2.66805,8.33141,-8.1422,180,1.17612,138.47358,,,,,,,,1.90422,-23.20286,,,,,,,,-0.64639,-20.02628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-02-16,13:06:48.90,3,1,"Shores, Chase",702274,Right,LSU_TIG,"Osterhouse, Justin",1000095739,Left,FOR_MAS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.22445,-0.649526,-3.828028,2304.195546,227.202123,1:30,5.8411,3.31697,6.30223,-18.88068,11.72981,11.5526,3.66789,0.74742,86.3525,-4.237001,-1.744981,0.398205,,,,,,,,,,,,-7.06205,6.58555,-3.04032,50,5.78415,8.72105,-138.03286,-2.15583,-13.53913,32.53164,-19.54843,LSU_TIG,FOR_MAS,LSU,D1,SEC,20250216-LSU-1,2c9ddf70-ec99-11ef-88b5-abcf4d601849,94.65587,,,8.87195,,,,,,,a16a3b53-ea18-4c34-9890-6d9de9d17412,2025-02-16,19:06:48.90,2025-02-16T13:06:48.9090048-06:00,2025-02-16T19:06:48.9090048Z,,v3,5323,471321,16 February 2025 14:00-iupufw@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,73e48bce-bb70-45fa-b79e-9c3b21d696c9,54.19629,-139.01833,16.26582,5.84049,-1.56365,-9.77422,-3.31071,9.13118,-6.76956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-16,13:07:07.16,3,2,"Shores, Chase",702274,Right,LSU_TIG,"Osterhouse, Justin",1000095739,Left,FOR_MAS,Undefined,1,Top,1,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,95.53885,-1.730436,-4.661965,2197.725006,242.540098,2:00,5.8299,3.10019,6.17475,-21.44367,9.12205,15.5891,2.43893,0.08403,86.92124,-5.758215,-1.860448,0.397914,96.08032,-16.724631,39.539887,,,,,9.29787,2.73974,32.177892,0.059615,-9.46741,5.52398,-2.75471,50,5.68758,10.61185,-138.35968,-4.91363,-18.26501,32.24098,-21.51691,LSU_TIG,FOR_MAS,LSU,D1,SEC,20250216-LSU-1,377f0f40-ec99-11ef-88b5-abcf4d601849,94.7252,2.42173,,8.61761,,,,1.6544,2.42173,-0.1792,a16a3b53-ea18-4c34-9890-6d9de9d17412,2025-02-16,19:07:07.16,2025-02-16T13:07:07.1655936-06:00,2025-02-16T19:07:07.1655936Z,GroundBall,v3,5323,471321,16 February 2025 14:00-iupufw@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,97c9d906-7ddf-4183-9ba5-fa577c874123,54.32755,-139.36445,16.12049,5.83026,-4.24306,-10.75846,-3.09429,11.18107,-9.13251,,1.65266,104.25749,,,,,,,,2.42241,-40.62287,,,,,,,,-0.18063,86.06522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
