PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,15:00:22.59,1,1,"Hart, Zach",1000296564,Right,YOU_HAR,"Rector, Caden",10164065,Right,CHO_UNI,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.50815,-3.035162,-4.041114,1921.630962,221.581422,1:30,5.67022,2.16771,6.85575,-21.38174,13.41493,11.06205,1.11182,-0.60077,81.45407,-7.068889,-2.024829,0.424561,,,,,,,,,,,,-6.84941,8.15115,-1.91339,50,5.46797,8.59509,-127.05427,-7.31312,-11.38043,22.01862,-18.63073,YOU_HAR,CHO_UNI,TheZellB.MillerField,D2,CC,20250216-TheZellB.MillerField-1,a82452d0-eca0-11ef-bbf0-e309b283f4f7,88.77978,,,6.05408,,,,,,,897f8b1d-279a-41c8-932e-e838d188b892,2025-02-16,20:00:22.59,2025-02-16T15:00:22.5951744-05:00,2025-02-16T20:00:22.5951744Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,8cb9b31a-f259-488a-9178-ba665602f47b,53.64685,-127.68471,11.00931,5.66972,-6.77969,-9.31537,-2.16415,8.92094,-5.69021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-16,15:00:34.72,1,2,"Hart, Zach",1000296564,Right,YOU_HAR,"Rector, Caden",10164065,Right,CHO_UNI,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.783,-3.089319,-4.300523,2051.29287,222.673999,1:30,5.60209,2.51019,6.99691,-17.50619,15.63292,13.50292,1.32372,-0.28202,82.82664,-6.443121,-1.83442,0.414326,,,,,,,,,,,,-8.34103,9.46056,-2.25014,50,5.40575,9.32238,-130.25819,-7.47261,-14.44878,25.25067,-15.78597,YOU_HAR,CHO_UNI,TheZellB.MillerField,D2,CC,20250216-TheZellB.MillerField-1,af5ee8d0-eca0-11ef-bbf0-e309b283f4f7,90.97295,,,6.95636,,,,,,,897f8b1d-279a-41c8-932e-e838d188b892,2025-02-16,20:00:34.72,2025-02-16T15:00:34.7208192-05:00,2025-02-16T20:00:34.7208192Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,23874f75-a125-47e0-978a-ad1aa00eabda,53.50516,-130.9359,12.62534,5.60062,-7.04892,-7.89299,-2.50555,9.71018,-7.22439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-16,15:00:48.07,1,3,"Hart, Zach",1000296564,Right,YOU_HAR,"Rector, Caden",10164065,Right,CHO_UNI,Undefined,1,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.01487,-4.099568,-5.162279,1871.801549,217.989802,1:15,5.60718,2.32806,6.81936,-19.8717,15.07123,10.93607,0.18945,-1.483,81.21256,-7.864473,-3.175831,0.425453,,,,,,,,,,,,-7.16654,9.40449,-1.99853,50,5.33405,11.1174,-127.33419,-9.67097,-11.84631,24.48128,-16.62838,YOU_HAR,CHO_UNI,TheZellB.MillerField,D2,CC,20250216-TheZellB.MillerField-1,b755c9f0-eca0-11ef-bbf0-e309b283f4f7,88.59374,,,6.80231,,,,,,,897f8b1d-279a-41c8-932e-e838d188b892,2025-02-16,20:00:48.07,2025-02-16T15:00:48.0724480-05:00,2025-02-16T20:00:48.0724480Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,1a5e6319-47f6-4f87-afde-0e524874a303,53.6822,-128.04017,12.24064,5.60602,-9.19145,-8.31419,-2.32405,11.45902,-5.92316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-16,15:01:06.88,1,4,"Hart, Zach",1000296564,Right,YOU_HAR,"Rector, Caden",10164065,Right,CHO_UNI,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.01076,-2.09051,-5.127249,1988.487668,219.406643,1:15,5.70017,2.28832,6.74405,-21.53552,12.73288,9.58489,1.98707,-1.60989,81.68692,-6.173588,-3.389389,0.421326,,,,,,,,,,,,-6.44028,7.62804,-1.9538,50,5.5537,11.2124,-128.94745,-5.30751,-10.87642,26.05116,-19.29172,YOU_HAR,CHO_UNI,TheZellB.MillerField,D2,CC,20250216-TheZellB.MillerField-1,c28b3440-eca0-11ef-bbf0-e309b283f4f7,89.46143,,,7.32383,,,,,,,897f8b1d-279a-41c8-932e-e838d188b892,2025-02-16,20:01:06.88,2025-02-16T15:01:06.8847616-05:00,2025-02-16T20:01:06.8847616Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,10fcbe4b-ec93-4b7a-8948-b7d26d1d2944,53.75596,-129.70404,13.02558,5.6997,-4.74723,-9.64586,-2.28402,11.52828,-5.43821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-16,15:01:36.73,2,1,"Hart, Zach",1000296564,Right,YOU_HAR,"Santana, Geomar",1000099475,Right,CHO_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.4316,-1.862191,-3.334482,1878.153086,214.620594,1:15,5.83282,2.61543,6.67419,-21.03111,15.62946,9.92146,2.37311,0.38822,78.52031,-5.890473,-1.530848,0.435784,,,,,,,,,,,,-6.21307,9.17126,-2.39545,50,5.69929,6.93313,-125.36805,-4.61595,-9.80625,27.30784,-17.69879,YOU_HAR,CHO_UNI,TheZellB.MillerField,D2,CC,20250216-TheZellB.MillerField-1,d453d100-eca0-11ef-bbf0-e309b283f4f7,86.49346,,,7.91129,,,,,,,897f8b1d-279a-41c8-932e-e838d188b892,2025-02-16,20:01:36.73,2025-02-16T15:01:36.7321088-05:00,2025-02-16T20:01:36.7321088Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,2a7953d5-08d1-4b35-b334-6a41e44dd795,53.82387,-126.19822,13.65392,5.83144,-4.0779,-8.8494,-2.61075,7.23124,-4.90313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-16,15:01:51.13,2,2,"Hart, Zach",1000296564,Right,YOU_HAR,"Santana, Geomar",1000099475,Right,CHO_UNI,Undefined,1,Top,0,0,1,Curveball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.68408,-1.195382,-4.671111,1855.552666,259.956639,2:45,5.47521,2.70378,6.5381,-37.62077,4.68591,18.38844,1.2399,-0.05782,73.66942,-8.223446,-1.338469,0.46814,,,,,,,,,,,,-11.10674,3.21016,-2.38702,50,5.37602,8.92408,-116.94462,-3.50394,-15.26958,23.54643,-27.76073,YOU_HAR,CHO_UNI,TheZellB.MillerField,D2,CC,20250216-TheZellB.MillerField-1,dcefa4b0-eca0-11ef-bbf0-e309b283f4f7,80.51529,,,7.01466,,,,,,,897f8b1d-279a-41c8-932e-e838d188b892,2025-02-16,20:01:51.13,2025-02-16T15:01:51.1329792-05:00,2025-02-16T20:01:51.1329792Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,4769fd2c-2eeb-4964-be52-e0ff18ece857,53.96365,-117.73998,11.77322,5.47854,-2.56622,-13.88036,-2.69718,9.43986,-7.63479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-16,15:02:05.92,2,3,"Hart, Zach",1000296564,Right,YOU_HAR,"Santana, Geomar",1000099475,Right,CHO_UNI,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.23345,-1.6553,-5.54616,1765.339188,257.906322,2:30,5.46821,2.79877,6.47548,-37.46943,3.81347,12.30946,0.8181,-1.28454,75.46103,-8.583457,-3.324156,0.462441,,,,,,,,,,,,-7.83087,2.77417,-2.41239,50,5.33455,11.00362,-117.70263,-4.50167,-11.10815,20.00529,-28.23887,YOU_HAR,CHO_UNI,TheZellB.MillerField,D2,CC,20250216-TheZellB.MillerField-1,e5c4b0d0-eca0-11ef-bbf0-e309b283f4f7,81.50755,,,5.77243,,,,,,,897f8b1d-279a-41c8-932e-e838d188b892,2025-02-16,20:02:05.92,2025-02-16T15:02:05.9220480-05:00,2025-02-16T20:02:05.9220480Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,7a6e390b-a57d-4497-adab-6069270cc867,54.02696,-118.38509,10.00264,5.47169,-3.53833,-14.11944,-2.79423,11.38257,-5.55407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-16,15:02:22.93,2,4,"Hart, Zach",1000296564,Right,YOU_HAR,"Santana, Geomar",1000099475,Right,CHO_UNI,Undefined,1,Top,0,1,2,Curveball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.53766,-0.096364,-2.768457,2166.018676,36.973418,7:15,5.56687,2.74102,6.37139,-46.00085,-0.50717,-1.39591,1.6447,0.07536,71.72205,-8.599528,-3.021207,0.485453,,,,,,,,,,,,-0.0163,0.08882,-2.54034,50,5.53825,5.49621,-112.71162,-1.49437,-0.02103,20.07658,-32.05953,YOU_HAR,CHO_UNI,TheZellB.MillerField,D2,CC,20250216-TheZellB.MillerField-1,efe4da90-eca0-11ef-bbf0-e309b283f4f7,77.6439,,,5.81561,,,,,,,897f8b1d-279a-41c8-932e-e838d188b892,2025-02-16,20:02:22.93,2025-02-16T15:02:22.9372928-05:00,2025-02-16T20:02:22.9372928Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,b27a90f6-cad8-4a7d-a903-e57ae29efa44,54.13144,-113.44514,10.03829,5.57145,-0.32304,-16.02976,-2.74116,5.49698,-0.01052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-16,15:02:42.31,2,5,"Hart, Zach",1000296564,Right,YOU_HAR,"Santana, Geomar",1000099475,Right,CHO_UNI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.12262,-2.602015,-4.830714,2013.842973,215.147163,1:15,5.76584,2.53086,6.65707,-19.40855,15.47339,10.16567,1.75711,-1.05332,81.30381,-6.284881,-2.989174,0.425081,,,,,,,,,,,,-6.59166,9.14749,-2.20919,50,5.58205,10.42128,-127.72682,-6.33558,-10.98594,24.11977,-16.9284,YOU_HAR,CHO_UNI,TheZellB.MillerField,D2,CC,20250216-TheZellB.MillerField-1,fb724ff0-eca0-11ef-bbf0-e309b283f4f7,88.67119,,,6.81882,,,,,,,897f8b1d-279a-41c8-932e-e838d188b892,2025-02-16,20:02:42.31,2025-02-16T15:02:42.3188992-05:00,2025-02-16T20:02:42.3188992Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,d0925027-2e0a-477c-9134-148b02eb12a0,53.84406,-128.45067,12.05989,5.76456,-5.82754,-8.4642,-2.52689,10.75097,-5.49297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-16,15:03:21.98,3,1,"Hart, Zach",1000296564,Right,YOU_HAR,"Dunlap, Jackson",1000313594,Right,CHO_UNI,Undefined,1,Top,1,0,0,Curveball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.89414,0.750119,-3.518901,2191.053377,121.149002,10:00,5.63422,2.72113,6.53784,-42.88526,3.08193,-2.88433,2.74981,-0.75093,71.04484,-7.227702,-4.041343,0.487973,,,,,,,,,,,,0.58181,1.83579,-2.47586,50,5.66807,6.96318,-111.69488,0.29969,0.73834,19.26974,-29.84448,YOU_HAR,CHO_UNI,TheZellB.MillerField,D2,CC,20250216-TheZellB.MillerField-1,131667e0-eca1-11ef-bbf0-e309b283f4f7,77.24293,,,5.84931,,,,,,,897f8b1d-279a-41c8-932e-e838d188b892,2025-02-16,20:03:21.98,2025-02-16T15:03:21.9816960-05:00,2025-02-16T20:03:21.9816960Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,e60547b5-33d9-47ef-aeaf-b04972c2c3ed,53.96322,-112.37654,9.63487,5.6388,1.35542,-14.92224,-2.72172,6.93706,0.36917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
