PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-17,13:04:56.62,1,1,"Hibbard, Jack",10126298,Right,ASU_RED,"Robbins, Hayden",1000100866,Right,MOR_EAG,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.54312,-1.570822,-2.623316,2139.447794,202.885084,12:45,5.57052,1.31901,5.92129,-16.86497,19.53745,7.65426,2.7055,-0.47927,79.24187,-4.831891,-1.250817,0.434247,102.87271,20.612117,4.614448,1937.390335,109.1507,38.2968,13.64157,334.83174,328.10191,10.082353,3.901115,-4.83264,10.95249,-1.11326,50,5.43534,5.55083,-128.2024,-3.97641,-7.86318,32.0273,-14.3533,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250217-KellField-1,140e63c0-ed62-11ef-ac0d-a1380fafa415,86.79961,49.7373,,9.30125,,,,1.27743,2.73629,0.47292,fbf1073c-94b1-4ae5-b5ac-0b48f8fe0327,2025-02-17,19:04:56.62,2025-02-17T13:04:56.6204928-06:00,2025-02-17T19:04:56.6204928Z,LineDrive,v3,471233,471366,,"Butler, Zac",1000361232,Right,ASU_RED,1dc31b09-a56f-49a9-927c-9caa0f995d74,54.57612,-129.34054,16.01365,5.56759,-3.46634,-7.17665,-1.31549,5.83026,-3.93159,214.185736,1.27666,140.78576,-30.01056,7.94635,-2.0558,0.53267,-0.11945,0.01727,-0.00107,2.73711,53.09309,-15.27368,-0.53717,0.75327,-0.32028,0.08233,-0.011,0.00057,0.47277,11.3665,5.68762,-3.2584,1.09751,-0.26813,0.04641,-0.00483,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-02-17,13:05:29.56,2,1,"Hibbard, Jack",10126298,Right,ASU_RED,"Olson, Griffin",1000266816,Left,MOR_EAG,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.3302,-2.287795,-2.636467,2333.731425,202.290233,12:45,5.5571,1.33305,6.02526,-16.74351,18.66536,7.12044,2.03952,-0.51715,80.54404,-5.507018,-1.357026,0.42828,,,,,,,,,,,,-4.50422,10.70505,-1.13043,50,5.3688,5.65758,-129.39121,-5.63177,-7.5217,30.77043,-14.29743,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250217-KellField-1,27adbc50-ed62-11ef-ac0d-a1380fafa415,88.00894,,,8.78617,,,,,,,fbf1073c-94b1-4ae5-b5ac-0b48f8fe0327,2025-02-17,19:05:29.56,2025-02-17T13:05:29.5600640-06:00,2025-02-17T19:05:29.5600640Z,,v3,471233,471366,,"Butler, Zac",1000361232,Right,ASU_RED,2e3b21d1-1cb3-47b3-9718-05b43627b75e,54.47235,-130.45044,15.38522,5.5542,-5.1396,-7.14872,-1.32965,5.91651,-3.76085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-17,13:05:39.89,2,2,"Hibbard, Jack",10126298,Right,ASU_RED,"Olson, Griffin",1000266816,Left,MOR_EAG,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.34476,-1.695569,-2.004881,1653.697906,238.923347,2:00,5.4471,1.40791,6.03179,-33.41285,9.0678,12.57135,1.09107,0.5981,73.96512,-7.91814,0.259556,0.469102,,,,,,,,,,,,-7.12591,5.62693,-1.25807,50,5.2965,3.65762,-117.99276,-4.5045,-9.92341,25.00661,-24.33809,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250217-KellField-1,2ddd4af0-ed62-11ef-ac0d-a1380fafa415,80.35025,,,7.37965,,,,,,,fbf1073c-94b1-4ae5-b5ac-0b48f8fe0327,2025-02-17,19:05:39.89,2025-02-17T13:05:39.8996480-06:00,2025-02-17T19:05:39.8996480Z,,v3,471233,471366,,"Butler, Zac",1000361232,Right,ASU_RED,970cb923-ecf4-4a3f-a543-277d6744925d,54.46789,-118.93589,12.50331,5.44908,-3.58658,-12.16905,-1.40307,4.03188,-4.9617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-17,13:05:53.41,2,3,"Hibbard, Jack",10126298,Right,ASU_RED,"Olson, Griffin",1000266816,Left,MOR_EAG,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.37821,-0.635935,-1.022404,1800.179935,231.288818,1:45,5.41082,1.50647,6.15702,-31.06852,12.3352,13.4367,2.23413,1.68151,72.66295,-6.486402,1.402814,0.474171,,,,,,,,,,,,-7.24433,7.04512,-1.43535,50,5.3468,1.57534,-116.63581,-2.17854,-9.82138,25.1772,-22.62274,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250217-KellField-1,35ef0710-ed62-11ef-ac0d-a1380fafa415,79.49124,,,7.71526,,,,,,,fbf1073c-94b1-4ae5-b5ac-0b48f8fe0327,2025-02-17,19:05:53.41,2025-02-17T13:05:53.4119936-06:00,2025-02-17T19:05:53.4119936Z,,v3,471233,471366,,"Butler, Zac",1000361232,Right,ASU_RED,6c4aa45a-257a-4b43-99ae-120ec80177ea,54.34039,-117.569,12.5886,5.41201,-1.34003,-11.31137,-1.50049,1.93937,-4.91069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-17,13:06:05.77,2,4,"Hibbard, Jack",10126298,Right,ASU_RED,"Olson, Griffin",1000266816,Left,MOR_EAG,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,90.9704,-2.633126,-4.696969,2302.20454,204.498383,12:45,5.60383,1.11586,5.8982,-15.11221,19.56245,8.30217,1.88993,-2.56275,81.47971,-5.55858,-3.214933,0.423816,,,,,,,,,,,,-5.87111,11.3076,-0.742,50,5.3828,10.43419,-131.34894,-6.47199,-10.03984,33.30782,-12.83748,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250217-KellField-1,3d4d9fd0-ed62-11ef-ac0d-a1380fafa415,88.93582,,,9.49069,,,,,,,fbf1073c-94b1-4ae5-b5ac-0b48f8fe0327,2025-02-17,19:06:05.77,2025-02-17T13:06:05.7742848-06:00,2025-02-17T19:06:05.7742848Z,,v3,471233,471366,,"Butler, Zac",1000361232,Right,ASU_RED,ac9d3473-894f-4acc-83ce-1c14550c8d0c,54.60003,-132.5103,16.65391,5.60065,-6.02438,-6.41874,-1.11191,10.78425,-5.01992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-17,13:06:33.88,3,1,"Hibbard, Jack",10126298,Right,ASU_RED,"Thomas, Hunter",1000101169,Right,MOR_EAG,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,73.45452,1.153781,-0.168767,2373.891912,32.989395,7:00,5.62432,1.31462,4.9487,-64.2846,-10.88792,-8.08705,1.35772,0.48121,68.16196,-10.371515,-1.599658,0.525931,,,,,,,,,,,,3.9891,-5.33429,-1.29113,50,5.68222,0.62083,-106.71188,-0.0549,4.61256,17.88669,-38.34203,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250217-KellField-1,4e12fd60-ed62-11ef-ac0d-a1380fafa415,71.66807,,,5.29256,,,,,,,fbf1073c-94b1-4ae5-b5ac-0b48f8fe0327,2025-02-17,19:06:33.88,2025-02-17T13:06:33.8864640-06:00,2025-02-17T19:06:33.8864640Z,,v3,471233,471366,,"Butler, Zac",1000361232,Right,ASU_RED,d983d5aa-a55d-4bbd-9003-3e340336be12,55.55668,-107.63925,8.94335,5.63353,1.933,-19.17101,-1.31711,0.38168,2.30628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-17,13:06:48.11,3,2,"Hibbard, Jack",10126298,Right,ASU_RED,"Thomas, Hunter",1000101169,Right,MOR_EAG,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.63753,0.165747,-1.288317,2349.072265,35.040631,7:15,5.71116,1.30463,5.00191,-64.16507,-12.69646,-9.91331,0.52058,-0.7379,69.72497,-11.294817,-3.04513,0.516348,,,,,,,,,,,,4.6461,-6.08536,-1.17222,50,5.67383,2.81247,-108.48699,-1.89825,5.5672,18.01372,-39.46585,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250217-KellField-1,5688f990-ed62-11ef-ac0d-a1380fafa415,72.99811,,,4.91256,,,,,,,fbf1073c-94b1-4ae5-b5ac-0b48f8fe0327,2025-02-17,19:06:48.11,2025-02-17T13:06:48.1119232-06:00,2025-02-17T19:06:48.1119232Z,,v3,471233,471366,,"Butler, Zac",1000361232,Right,ASU_RED,cb917cf7-1be0-4ce6-aa33-a6e264938129,55.50466,-109.39719,9.00686,5.71937,0.09589,-19.73293,-1.30722,2.53117,2.7836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-17,13:07:14.65,3,3,"Hibbard, Jack",10126298,Right,ASU_RED,"Thomas, Hunter",1000101169,Right,MOR_EAG,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.25295,-3.339712,-2.823117,2285.107954,207.769544,1:00,5.67427,1.31881,5.40384,-16.54804,19.44765,9.60079,1.15851,-0.5286,81.36849,-6.460854,-1.11801,0.431814,,,,,,,,,,,,-5.67237,11.12178,-1.07421,50,5.36498,5.947,-129.18773,-8.07034,-9.55487,27.7334,-13.43976,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250217-KellField-1,66561470-ed62-11ef-ac0d-a1380fafa415,87.28863,,,7.88446,,,,,,,fbf1073c-94b1-4ae5-b5ac-0b48f8fe0327,2025-02-17,19:07:14.65,2025-02-17T13:07:14.6562560-06:00,2025-02-17T19:07:14.6562560Z,,v3,471233,471366,,"Butler, Zac",1000361232,Right,ASU_RED,391c47e3-2b02-4df2-83b6-f93495a58c5f,55.09652,-130.27723,13.8667,5.67166,-7.54236,-6.71988,-1.31521,6.32236,-4.77744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-17,13:07:29.15,3,4,"Hibbard, Jack",10126298,Right,ASU_RED,"Thomas, Hunter",1000101169,Right,MOR_EAG,Undefined,1,Top,1,2,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Double,0,1,,88.08616,-0.727822,-1.728299,2331.975038,206.269621,1:00,5.67044,1.37387,5.67708,-18.60237,17.98643,8.25843,3.44138,0.45036,79.80595,-4.262727,-0.252838,0.435357,101.30708,14.549565,-21.939932,1092.375684,99.30072,22.89788,-47.32154,255.22416,250.6505,-30.373584,2.437278,-4.74441,9.73756,-1.23352,50,5.5977,3.50486,-127.78126,-2.18948,-7.77455,28.51806,-16.21735,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250217-KellField-1,6ef71840-ed62-11ef-ac0d-a1380fafa415,86.57824,24.05392,,8.28021,,,,2.29414,3.49809,-0.45192,fbf1073c-94b1-4ae5-b5ac-0b48f8fe0327,2025-02-17,19:07:29.15,2025-02-17T13:07:29.1594240-06:00,2025-02-17T19:07:29.1594240Z,LineDrive,v3,471233,471366,,"Butler, Zac",1000361232,Right,ASU_RED,e00bb456-e475-4fec-b61a-651ff0b83b86,54.82245,-128.85304,14.25903,5.66853,-1.57999,-8.10867,-1.37073,3.79704,-3.88728,113.60885,2.29413,133.40505,-28.7823,6.97486,-1.57195,0.30328,-0.0492,0.00548,-0.00028,3.4981,37.32493,-17.87864,0.82075,0.05762,-0.04837,0.01244,-0.00135,5E-05,-0.45194,-53.73246,-2.71002,2.69365,-1.01674,0.2785,-0.05625,0.00733,-0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-02-17,13:08:14.31,4,1,"Hibbard, Jack",10126298,Right,ASU_RED,"Kearns, Aubrey",10004985,Left,MOR_EAG,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.32991,-2.361839,-2.22252,1757.770182,230.947113,1:45,5.64551,1.50589,5.87021,-33.21258,11.35662,12.21249,0.68101,0.45809,72.87646,-8.504071,-0.029546,0.480495,,,,,,,,,,,,-6.94957,6.90288,-1.3333,50,5.4347,4.0212,-115.09394,-5.74778,-9.30058,21.81698,-22.93597,ASU_RED,MOR_EAG,KellField,D1,SBELT,20250217-KellField-1,89f4e280-ed62-11ef-ac0d-a1380fafa415,78.44502,,,6.45345,,,,,,,fbf1073c-94b1-4ae5-b5ac-0b48f8fe0327,2025-02-17,19:08:14.31,2025-02-17T13:08:14.3199232-06:00,2025-02-17T19:08:14.3199232Z,,v3,471233,471366,,"Butler, Zac",1000361232,Right,ASU_RED,440946ca-0821-4411-9980-be6664d62d29,54.6312,-115.9685,10.90849,5.64668,-4.82836,-11.46799,-1.50197,4.39402,-4.65029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
