PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-17,11:02:28.36,1,1,"Rico, Joey",1000325837,Right,WES_COL,"Hata, Noah",10111377,Left,HAW_PAC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.19851,-2.254705,-1.436739,2103.220753,206.408569,1:00,6.42917,0.55284,5.08239,-16.75599,19.51497,9.10378,2.90574,-0.04309,81.44615,-5.399457,0.17252,0.433462,74.35803,32.310584,-150.613563,3057.086214,,,,,34.07848,,,-4.93988,10.6891,-0.42437,50,6.20302,2.82299,-129.29864,-5.65179,-8.3591,27.06857,-14.08636,WES_COL,HAW_PAC,RussellCarrField,D2,Team,20250217-RussellCarrField-1,bbca4260-ed61-11ef-8fec-d71f3fd2b447,86.95672,20.73874,,7.75236,,,,0.82267,2.8156,0.08277,fe43546c-4cbb-4921-8da8-c5574c847643,2025-02-17,19:02:28.36,2025-02-17T11:02:28.3628544-08:00,2025-02-17T19:02:28.3628544Z,,v3,,,,"Hofstadler, Shane",1000136813,Right,WES_COL,d49da51b-a17e-4e06-97e1-904344091a07,55.41656,-130.42766,13.53429,6.4265,-5.06425,-7.04318,-0.54939,3.17165,-4.17955,,0.82656,-80.44856,5.48125,,,,,,,2.83428,57.6584,-31.67927,,,,,,,0.07211,-44.86669,12.60781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2025-02-17,11:02:47.08,1,2,"Rico, Joey",1000325837,Right,WES_COL,"Hata, Noah",10111377,Left,HAW_PAC,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.34179,-1.971741,-0.667808,2180.664848,203.197935,12:45,6.45109,0.69383,5.01106,-15.77682,20.21714,8.19426,3.27444,0.74633,82.06334,-4.927673,0.779033,0.431803,,,,,,,,,,,,-4.22858,10.8602,-0.63668,50,6.24972,1.12648,-129.62808,-4.98873,-7.24291,25.40741,-13.57209,WES_COL,HAW_PAC,RussellCarrField,D2,Team,20250217-RussellCarrField-1,c6ee4790-ed61-11ef-8fec-d71f3fd2b447,87.29075,,,7.27845,,,,,,,fe43546c-4cbb-4921-8da8-c5574c847643,2025-02-17,19:02:47.08,2025-02-17T11:02:47.0895616-08:00,2025-02-17T19:02:47.0895616Z,,v3,,,,"Hofstadler, Shane",1000136813,Right,WES_COL,c231ab22-96e6-40e7-a914-e4eef86a756e,55.4877,-130.69926,12.7037,6.44799,-4.41653,-6.78605,-0.69061,1.43184,-3.62146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-17,11:03:02.69,1,3,"Rico, Joey",1000325837,Right,WES_COL,"Hata, Noah",10111377,Left,HAW_PAC,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.53766,-2.103898,0.236035,2149.46549,204.530604,12:45,6.42707,0.58553,4.7488,-17.01296,19.31166,8.29063,3.01298,1.50028,82.00445,-5.267258,1.692901,0.433782,,,,,,,,,,,,-4.00559,10.38997,-0.61698,50,6.20136,-0.93507,-129.80669,-5.37398,-6.85491,26.40765,-14.3933,WES_COL,HAW_PAC,RussellCarrField,D2,Team,20250217-RussellCarrField-1,d04be4a0-ed61-11ef-8fec-d71f3fd2b447,86.8925,,,7.53321,,,,,,,fe43546c-4cbb-4921-8da8-c5574c847643,2025-02-17,19:03:02.69,2025-02-17T11:03:02.6904064-08:00,2025-02-17T19:03:02.6904064Z,,v3,,,,"Hofstadler, Shane",1000136813,Right,WES_COL,b4b7f4b6-5c3e-472d-b4e9-41975aec8c86,55.74962,-130.97116,13.20383,6.42433,-4.73929,-7.19665,-0.58242,-0.6328,-3.42745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-17,11:03:17.53,1,4,"Rico, Joey",1000325837,Right,WES_COL,"Hata, Noah",10111377,Left,HAW_PAC,Undefined,1,Top,0,1,2,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,81.55655,1.087678,0.681741,856.620581,280.715434,3:15,6.34809,0.99914,4.62878,-43.5316,0.45217,4.80236,3.75453,2.04739,74.80682,-6.752315,1.524195,0.477329,,,,,,,,,,,,-2.15457,0.34843,-1.07375,50,6.41976,-1.62269,-118.27775,0.54478,-3.05722,22.20954,-31.67966,WES_COL,HAW_PAC,RussellCarrField,D2,Team,20250217-RussellCarrField-1,d925f9d0-ed61-11ef-8fec-d71f3fd2b447,78.96537,,,6.74974,,,,,,,fe43546c-4cbb-4921-8da8-c5574c847643,2025-02-17,19:03:17.53,2025-02-17T11:03:17.5310848-08:00,2025-02-17T19:03:17.5310848Z,,v3,,,,"Hofstadler, Shane",1000136813,Right,WES_COL,d53e50db-cccc-41c5-8cee-1bd80520ae5a,55.87053,-119.375,11.10477,6.35418,2.10989,-15.83983,-0.99731,-1.47165,-1.52861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-17,11:03:34.64,1,5,"Rico, Joey",1000325837,Right,WES_COL,"Hata, Noah",10111377,Left,HAW_PAC,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.91843,-3.155074,-1.320072,2180.418086,198.774749,12:45,6.41545,0.42839,5.09731,-15.98162,19.48973,6.25579,2.10663,-0.2945,82.72989,-6.138052,-0.21385,0.428657,,,,,,,,,,,,-3.48024,10.87319,-0.30895,50,6.10525,2.71914,-130.36986,-7.73175,-6.0297,25.69297,-13.33569,WES_COL,HAW_PAC,RussellCarrField,D2,Team,20250217-RussellCarrField-1,e366caf0-ed61-11ef-8fec-d71f3fd2b447,87.9314,,,7.18855,,,,,,,fe43546c-4cbb-4921-8da8-c5574c847643,2025-02-17,19:03:34.64,2025-02-17T11:03:34.6409472-08:00,2025-02-17T19:03:34.6409472Z,,v3,,,,"Hofstadler, Shane",1000136813,Right,WES_COL,5678f046-149f-4d54-9e4f-1f903a3afe56,55.40319,-131.43039,12.84649,6.41304,-7.18129,-6.66784,-0.42633,2.96803,-3.01485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-17,11:03:52.21,1,6,"Rico, Joey",1000325837,Right,WES_COL,"Hata, Noah",10111377,Left,HAW_PAC,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.91481,-3.343385,-1.741943,2087.354182,207.284213,1:00,6.37157,1.01394,5.00908,-17.58068,18.47769,8.8878,1.74564,0.10986,81.77163,-6.627444,-0.172921,0.43219,78.51989,35.042586,-50.724542,4848.407142,58.85599,53.94247,-92.92978,233.47164,94.99334,-67.077269,3.72569,-4.92815,10.51264,-0.85434,50,6.03679,3.53836,-130.10211,-8.20989,-8.39807,28.76652,-14.25938,WES_COL,HAW_PAC,RussellCarrField,D2,Team,20250217-RussellCarrField-1,edc78020-ed61-11ef-8fec-d71f3fd2b447,87.21274,55.68453,,8.14318,,,,0.81607,1.70933,-0.10968,fe43546c-4cbb-4921-8da8-c5574c847643,2025-02-17,19:03:52.21,2025-02-17T11:03:52.2171392-08:00,2025-02-17T19:03:52.2171392Z,FlyBall,v3,,,,"Hofstadler, Shane",1000136813,Right,WES_COL,dbd1a7d8-d38e-4581-83dc-dbbef4bb62ec,55.48908,-131.31017,14.38326,6.369,-7.61106,-7.12969,-1.01034,3.89104,-4.19904,,0.81565,59.70136,-17.70646,4.17198,-1.07419,0.28337,-0.05742,0.00659,-0.00029,1.70972,66.11157,-23.84741,2.85971,-0.52736,0.0665,-0.00817,0.00183,-0.0002,-0.11011,-72.974,7.07775,-1.29644,0.10126,0.05891,-0.02675,0.00484,-0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2025-02-17,11:04:10.78,1,7,"Rico, Joey",1000325837,Right,WES_COL,"Hata, Noah",10111377,Left,HAW_PAC,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.89991,-3.946098,-0.984616,2202.733585,190.803038,12:15,6.36412,0.46393,5.20913,-15.74753,20.86611,3.74036,1.33445,-0.1504,80.93586,-6.914989,-0.321704,0.435505,96.03898,-11.762873,9.295169,,,,,7.52749,7.52749,9.009358,0.044097,-2.16579,11.9682,-0.37586,50,5.98748,2.04178,-128.63803,-9.37128,-3.60929,28.0424,-12.22901,WES_COL,HAW_PAC,RussellCarrField,D2,Team,20250217-RussellCarrField-1,f8d51720-ed61-11ef-8fec-d71f3fd2b447,86.54891,1.26735,,7.96404,,,,1.4284,1.26735,0.19573,fe43546c-4cbb-4921-8da8-c5574c847643,2025-02-17,19:04:10.78,2025-02-17T11:04:10.7810816-08:00,2025-02-17T19:04:10.7810816Z,GroundBall,v3,,,,"Hofstadler, Shane",1000136813,Right,WES_COL,b3295846-77b1-40ca-8737-f3e812388bd1,55.28935,-129.78596,14.0212,6.36085,-8.87068,-6.1145,-0.46246,2.18952,-1.80465,180,1.42756,136.20628,,,,,,,,1.26752,-28.74025,,,,,,,,0.1956,22.29284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-02-17,11:04:43.14,2,1,"Rico, Joey",1000325837,Right,WES_COL,"Rivera, Bronson",1000108913,Left,HAW_PAC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.28278,-1.783708,-1.701381,2195.991578,203.671708,12:45,6.39511,0.7532,5.20782,-15.31107,20.9347,8.63044,3.44045,-0.1281,80.9575,-4.698522,-0.172773,0.433311,74.64152,50.232449,-167.333647,3460.99242,,,,,28.67681,,,-4.84736,11.3743,-0.60271,50,6.2193,3.45157,-129.38428,-4.50886,-8.15594,28.8658,-13.03626,WES_COL,HAW_PAC,RussellCarrField,D2,Team,20250217-RussellCarrField-1,0c1c8bb0-ed62-11ef-8fec-d71f3fd2b447,86.98697,34.84731,,8.32528,,,,2.16793,3.44969,0.0991,fe43546c-4cbb-4921-8da8-c5574c847643,2025-02-17,19:04:43.14,2025-02-17T11:04:43.1470080-08:00,2025-02-17T19:04:43.1470080Z,,v3,,,,"Hofstadler, Shane",1000136813,Right,WES_COL,8d92fa04-c0d8-4f87-aacf-43c4c8769bb6,55.291,-130.55937,14.4329,6.39205,-3.97816,-6.51813,-0.74998,3.78359,-4.07797,353.324736,2.17163,-68.43803,2.68199,,,,,,,3.46845,83.58193,-29.79598,,,,,,,0.10216,-15.44802,-0.70985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2025-02-17,11:05:05.59,2,2,"Rico, Joey",1000325837,Right,WES_COL,"Rivera, Bronson",1000108913,Left,HAW_PAC,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.07721,-3.021278,-0.476716,2281.124414,194.125906,12:30,6.38058,0.52891,5.18414,-16.15564,20.14375,4.76709,2.18898,0.47764,81.31761,-6.060732,0.36787,0.433632,,,,,,,,,,,,-2.50351,11.24264,-0.48837,50,6.0879,0.85318,-129.05785,-7.32824,-4.21724,27.16342,-13.23542,WES_COL,HAW_PAC,RussellCarrField,D2,Team,20250217-RussellCarrField-1,19950830-ed62-11ef-8fec-d71f3fd2b447,86.92267,,,7.7596,,,,,,,fe43546c-4cbb-4921-8da8-c5574c847643,2025-02-17,19:05:05.59,2025-02-17T11:05:05.5936000-08:00,2025-02-17T19:05:05.5936000Z,,v3,,,,"Hofstadler, Shane",1000136813,Right,WES_COL,249f00c1-0c06-42af-a1a3-5250dfbe245f,55.31323,-130.17134,13.58171,6.37719,-6.78568,-6.61771,-0.52688,1.02606,-2.10862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-17,11:05:22.34,2,3,"Rico, Joey",1000325837,Right,WES_COL,"Rivera, Bronson",1000108913,Left,HAW_PAC,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.38053,-1.255902,0.066598,2257.104785,199.423062,12:45,6.40675,0.68863,5.03333,-16.43899,19.7321,6.54351,3.85173,1.29676,81.48192,-4.349723,1.222372,0.432865,,,,,,,,,,,,-3.21662,10.47607,-0.70046,50,6.27426,-0.45977,-129.62345,-3.38581,-5.46705,27.35856,-14.36867,WES_COL,HAW_PAC,RussellCarrField,D2,Team,20250217-RussellCarrField-1,238e4900-ed62-11ef-8fec-d71f3fd2b447,87.07676,,,7.89861,,,,,,,fe43546c-4cbb-4921-8da8-c5574c847643,2025-02-17,19:05:22.34,2025-02-17T11:05:22.3470592-08:00,2025-02-17T19:05:22.3470592Z,,v3,,,,"Hofstadler, Shane",1000136813,Right,WES_COL,cec5eeb3-d8f7-4b4c-a07a-6151e4b05c7b,55.46411,-130.77163,13.67928,6.4037,-2.78279,-7.18433,-0.68598,-0.23033,-2.73352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
