PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-17,10:34:26.18,1,1,"Stein, Nathan",1000160056,Left,WAS_HUS,"DeCarlo, Samuel",1000189730,Right,STJ_HAW,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.73853,1.237291,1.335929,2116.065968,203.369346,12:45,4.84288,-2.38604,5.71012,-36.1201,9.63658,3.49563,2.98606,-0.84992,71.46474,-5.478424,1.960827,0.486854,,,,,,,,,,,,-1.36193,4.99528,2.27206,50,4.92439,-2.79924,-114.19134,1.34828,-1.78277,22.72552,-25.63531,WAS_HUS,STJ_HAW,SpringsBrooksStadium,D1,BIG10,20250217-SpringsBrooksStadium-1,abd7f270-ed44-11ef-90df-551c0d61c946,77.42043,,,7.2738,,,,,,,d7466aa7-172b-4872-bce6-89f8bb2e2a45,2025-02-17,15:34:26.18,2025-02-17T10:34:26.1815808-05:00,2025-02-17T15:34:26.1815808Z,,v3,471486,471426,,"Duda, Aidan",10915287,Right,WAS_HUS,7b2b82cb-e8c5-4d60-8c58-0b865fe00b9f,54.78399,-115.13948,11.36276,4.84582,2.41782,-12.81765,2.3873,-2.72486,-0.89138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-17,10:34:41.10,1,2,"Stein, Nathan",1000160056,Left,WAS_HUS,"DeCarlo, Samuel",1000189730,Right,STJ_HAW,Undefined,1,Top,0,1,0,Sinker,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.91156,1.078564,4.392866,1743.103926,98.930539,9:15,4.87875,-2.13118,5.80838,-34.59785,5.18374,-23.3658,3.00164,0.01467,76.01424,-5.368478,0.218938,0.453955,91.26521,55.751692,-12.542898,5337.800403,109.23774,149.32667,-12.92736,197.29397,101.19727,-4.308067,6.152635,13.50268,2.66169,1.78497,50,4.94691,-8.48729,-122.8188,1.17257,20.1924,29.08011,-28.19367,WAS_HUS,STJ_HAW,SpringsBrooksStadium,D1,BIG10,20250217-SpringsBrooksStadium-1,b4b14450-ed44-11ef-90df-551c0d61c946,83.03127,151.40278,,8.89731,,,,2.07279,3.82649,-0.1298,d7466aa7-172b-4872-bce6-89f8bb2e2a45,2025-02-17,15:34:41.10,2025-02-17T10:34:41.1070976-05:00,2025-02-17T15:34:41.1070976Z,FlyBall,v3,471486,471426,,"Duda, Aidan",10915287,Right,WAS_HUS,d1e9dfad-95f2-4ea9-80b4-7c7896e726f6,54.68942,-123.92415,14.54006,4.88197,2.24423,-14.09684,2.12217,-9.25481,10.0962,188.56486,2.08999,73.22946,-22.49506,5.73699,-0.63744,-0.09249,0.04307,-0.00564,0.00026,3.80547,110.96291,-26.13463,3.11506,-0.73169,0.1469,-0.01635,0.00046,3E-05,-0.13242,-16.30378,9.00387,-2.89273,0.5698,-0.0544,-0.00219,0.00097,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2025-02-17,10:35:18.03,2,1,"Stein, Nathan",1000160056,Left,WAS_HUS,"Bower, Colton",805281,Right,STJ_HAW,Undefined,1,Top,1,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.67969,1.383597,3.741158,1796.390604,94.487845,9:15,4.9013,-2.36496,5.67849,-35.97112,2.91417,-19.76131,3.19647,-0.51935,77.37739,-5.269462,0.216676,0.448812,,,,,,,,,,,,11.12918,1.47036,2.06181,50,4.99579,-7.26701,-124.06191,1.74016,17.15291,27.38895,-29.90787,WAS_HUS,STJ_HAW,SpringsBrooksStadium,D1,BIG10,20250217-SpringsBrooksStadium-1,cab23390-ed44-11ef-90df-551c0d61c946,83.98273,,,8.3023,,,,,,,d7466aa7-172b-4872-bce6-89f8bb2e2a45,2025-02-17,15:35:18.03,2025-02-17T10:35:18.0349952-05:00,2025-02-17T15:35:18.0349952Z,,v3,471486,471426,,"Duda, Aidan",10915287,Right,WAS_HUS,02fa25c8-7584-432a-8345-a76f9709e027,54.81819,-125.1211,13.69448,4.90613,2.89676,-14.95393,2.35567,-7.93035,8.57645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-17,10:35:30.37,2,2,"Stein, Nathan",1000160056,Left,WAS_HUS,"Bower, Colton",805281,Right,STJ_HAW,Undefined,1,Top,1,0,1,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.39459,1.5463,3.520806,1770.495925,99.318173,9:15,4.81215,-2.27131,5.79275,-34.32368,4.88973,-20.95903,3.39326,-0.73877,76.60484,-4.846068,-0.226267,0.450701,,,,,,,,,,,,11.72509,2.43492,1.9936,50,4.91948,-6.70775,-123.59569,2.17625,17.81783,28.67521,-28.47384,WAS_HUS,STJ_HAW,SpringsBrooksStadium,D1,BIG10,20250217-SpringsBrooksStadium-1,d2105720-ed44-11ef-90df-551c0d61c946,83.63067,,,8.78975,,,,,,,d7466aa7-172b-4872-bce6-89f8bb2e2a45,2025-02-17,15:35:30.37,2025-02-17T10:35:30.3711232-05:00,2025-02-17T15:35:30.3711232Z,,v3,471486,471426,,"Duda, Aidan",10915287,Right,WAS_HUS,f81c12fc-59af-42cd-ad6f-8af3ac32451b,54.70224,-124.68187,14.33761,4.81662,3.2548,-14.23692,2.26046,-7.38267,8.90892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-17,10:35:47.86,2,3,"Stein, Nathan",1000160056,Left,WAS_HUS,"Bower, Colton",805281,Right,STJ_HAW,Undefined,1,Top,1,0,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.11284,1.296305,3.5731,1927.463698,98.512216,9:15,4.81222,-2.22763,5.75856,-32.84958,5.15122,-24.43718,3.28389,-0.93398,77.58239,-4.837812,-0.793901,0.443678,78.96344,70.851336,103.480895,6578.528213,,,,,12.49518,,,13.61611,2.59858,1.94608,50,4.90029,-6.8033,-126.00787,1.72282,21.33261,31.70274,-28.10282,WAS_HUS,STJ_HAW,SpringsBrooksStadium,D1,BIG10,20250217-SpringsBrooksStadium-1,dc804e90-ed44-11ef-90df-551c0d61c946,84.95452,34.59963,,9.53045,,,,0.89732,3.17943,0.89614,d7466aa7-172b-4872-bce6-89f8bb2e2a45,2025-02-17,15:35:47.86,2025-02-17T10:35:47.8687744-05:00,2025-02-17T15:35:47.8687744Z,,v3,471486,471426,,"Duda, Aidan",10915287,Right,WAS_HUS,6b3eb571-6030-4722-99d8-ba9109500b4d,54.73662,-127.19399,15.85137,4.81616,2.77425,-14.05141,2.21555,-7.60143,10.6663,341.759337,0.90465,-9.16617,-8.85548,,,,,,,3.18854,109.02302,-32.79648,,,,,,,0.8977,36.87711,-4.87376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2025-02-17,10:36:10.86,2,4,"Stein, Nathan",1000160056,Left,WAS_HUS,"Bower, Colton",805281,Right,STJ_HAW,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.357,2.546123,1.598181,2161.963937,199.87968,12:45,4.98979,-1.97945,5.43677,-39.50986,6.5789,1.76079,4.08399,-0.33579,71.10614,-4.776295,1.911073,0.488617,,,,,,,,,,,,-0.34169,2.98063,1.83681,50,5.18858,-3.27566,-114.79359,3.80011,-0.44713,25.07612,-28.27358,WAS_HUS,STJ_HAW,SpringsBrooksStadium,D1,BIG10,20250217-SpringsBrooksStadium-1,ea37a8d0-ed44-11ef-90df-551c0d61c946,77.14102,,,8.25086,,,,,,,d7466aa7-172b-4872-bce6-89f8bb2e2a45,2025-02-17,15:36:10.86,2025-02-17T10:36:10.8647936-05:00,2025-02-17T15:36:10.8647936Z,,v3,471486,471426,,"Duda, Aidan",10915287,Right,WAS_HUS,2835b2fb-12cf-4d47-893f-a765a0a5928c,55.05528,-115.89263,12.53806,4.99488,5.03929,-14.13679,1.97995,-3.25606,-0.22356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-17,10:36:31.52,2,5,"Stein, Nathan",1000160056,Left,WAS_HUS,"Bower, Colton",805281,Right,STJ_HAW,Undefined,1,Top,1,1,2,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.50792,2.143679,2.784278,1881.733549,102.697366,9:30,4.79997,-2.30407,5.83301,-33.09675,6.67977,-22.13033,4.0377,-1.55829,75.24432,-4.086864,-1.177676,0.453926,,,,,,,,,,,,12.16296,3.09189,2.08911,50,4.95637,-5.03364,-123.53347,3.5307,18.10537,33.01411,-27.57156,WAS_HUS,STJ_HAW,SpringsBrooksStadium,D1,BIG10,20250217-SpringsBrooksStadium-1,f684ebc0-ed44-11ef-90df-551c0d61c946,83.03659,,,10.2636,,,,,,,d7466aa7-172b-4872-bce6-89f8bb2e2a45,2025-02-17,15:36:31.52,2025-02-17T10:36:31.5237888-05:00,2025-02-17T15:36:31.5237888Z,,v3,471486,471426,,"Duda, Aidan",10915287,Right,WAS_HUS,62505ba8-69cb-40b0-8fbc-c72b709f984d,54.6575,-124.77197,16.50706,4.80452,4.56502,-13.78578,2.29068,-5.71285,9.05268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-17,10:36:58.31,2,6,"Stein, Nathan",1000160056,Left,WAS_HUS,"Bower, Colton",805281,Right,STJ_HAW,Undefined,1,Top,1,2,2,Undefined,,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_HUS,STJ_HAW,SpringsBrooksStadium,D1,BIG10,20250217-SpringsBrooksStadium-1,9cf96c50-edff-11ef-a839-592e195494a5,,,,,,,,,,,d7466aa7-172b-4872-bce6-89f8bb2e2a45,2025-02-17,15:36:58.31,2025-02-17T10:36:58.3180800-05:00,2025-02-17T15:36:58.3180800Z,,v3,471486,471426,,"Duda, Aidan",10915287,Right,WAS_HUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-02-17,10:37:26.31,3,1,"Stein, Nathan",1000160056,Left,WAS_HUS,"Taggart, Casen",814470,Left,STJ_HAW,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.95746,-0.741952,5.528888,2179.343923,224.25035,1:30,5.0428,-1.93656,5.73744,-37.82203,7.04055,5.34504,1.19683,3.67312,72.73834,-7.698,6.477401,0.482074,,,,,,,,,,,,-0.96059,4.31036,1.47185,50,4.95801,-11.38411,-115.43985,-2.70234,-1.27999,24.00441,-26.43042,WAS_HUS,STJ_HAW,SpringsBrooksStadium,D1,BIG10,20250217-SpringsBrooksStadium-1,1736d310-ed45-11ef-90df-551c0d61c946,78.18811,,,7.21912,,,,,,,d7466aa7-172b-4872-bce6-89f8bb2e2a45,2025-02-17,15:37:26.31,2025-02-17T10:37:26.3180800-05:00,2025-02-17T15:37:26.3180800Z,,v3,471486,471426,,"Duda, Aidan",10915287,Right,WAS_HUS,ef81e7e5-717f-4d01-8037-6d7306c1219c,54.75648,-116.42471,12.00221,5.04663,-1.61795,-13.21521,1.93784,-11.33159,-0.63999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-17,10:37:43.37,3,2,"Stein, Nathan",1000160056,Left,WAS_HUS,"Taggart, Casen",814470,Left,STJ_HAW,Undefined,1,Top,2,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.78165,3.690954,0.557855,2113.99019,261.385899,2:45,5.10302,-1.94373,5.27024,-48.12999,3.10571,7.36107,4.56408,-0.80629,67.47479,-5.187067,1.861809,0.515179,,,,,,,,,,,,-3.4263,0.89728,1.88728,50,5.40624,-1.36617,-109.43888,5.47027,-4.05096,23.8361,-31.11317,WAS_HUS,STJ_HAW,SpringsBrooksStadium,D1,BIG10,20250217-SpringsBrooksStadium-1,215e76e0-ed45-11ef-90df-551c0d61c946,73.16382,,,8.30686,,,,,,,d7466aa7-172b-4872-bce6-89f8bb2e2a45,2025-02-17,15:37:43.37,2025-02-17T10:37:43.3757696-05:00,2025-02-17T15:37:43.3757696Z,,v3,471486,471426,,"Duda, Aidan",10915287,Right,WAS_HUS,8ba79516-b6ac-438b-a4f5-113e9d7e710f,55.22086,-110.57015,11.91805,5.11158,6.94691,-15.55658,1.94756,-1.17391,-2.02548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
