PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,16:00:44.41,1,1,"van' TKlooster, Keon",1000369997,Right,NIC_COL,"Babin, Kael",10017988,Right,UNO_MAV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.39046,-3.096809,-2.759973,1937.921742,185.752346,12:15,6.10716,1.93717,6.57713,-16.12154,19.76304,1.87047,1.91938,-0.43845,79.75401,-6.205902,-2.420502,0.431147,,,,,,,,,,,,-1.77937,11.63367,-1.74847,50,5.88715,6.03824,-126.727,-7.239,-2.88201,26.87051,-13.33132,NIC_COL,UNO_MAV,BenMeyerDiamond,D1,SLAND,20250218-BenMeyerDiamond-1,cd83a130-ee43-11ef-ae1b-772abf6ed280,87.42364,,,7.63645,,,,,,,8fddfa89-27fb-4f56-82e2-22639b9f1a00,2025-02-18,22:00:44.41,2025-02-18T16:00:44.4176384-06:00,2025-02-18T22:00:44.4176384Z,,v3,471383,471375,,"Collura, Jaden",1000236652,Right,NIC_COL,0b191b97-780a-4c49-aacd-c04b05851fb0,53.91921,-127.5553,13.43526,6.10396,-6.82806,-6.66566,-1.93597,6.12708,-1.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-18,16:01:02.79,1,2,"van' TKlooster, Keon",1000369997,Right,NIC_COL,"Babin, Kael",10017988,Right,UNO_MAV,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.63921,-3.271155,-2.617973,1928.99802,181.797214,12:00,6.02836,2.00209,6.51345,-18.32225,17.32387,0.50772,1.49343,-0.35957,80.34659,-6.758958,-2.525904,0.429712,,,,,,,,,,,,-1.00067,10.36453,-1.81975,50,5.79176,5.79398,-127.13114,-7.74946,-1.63659,26.23147,-15.22319,NIC_COL,UNO_MAV,BenMeyerDiamond,D1,SLAND,20250218-BenMeyerDiamond-1,d874fda0-ee43-11ef-ae1b-772abf6ed280,87.71556,,,7.29262,,,,,,,8fddfa89-27fb-4f56-82e2-22639b9f1a00,2025-02-18,22:01:02.79,2025-02-18T16:01:02.7999232-06:00,2025-02-18T22:01:02.7999232Z,,v3,471383,471375,,"Collura, Jaden",1000236652,Right,NIC_COL,a0faa1c4-446c-4e40-a25d-922f33ed2e9c,53.98455,-127.95065,13.11574,6.02644,-7.27387,-7.61159,-2.00157,5.84511,-0.8183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-18,16:01:18.16,1,3,"van' TKlooster, Keon",1000369997,Right,NIC_COL,"Babin, Kael",10017988,Right,UNO_MAV,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.06141,-1.053961,-2.784793,2109.439202,188.192019,12:15,5.94382,1.93165,6.73236,-16.0806,18.89485,2.55866,3.63942,-0.40187,80.3546,-4.172991,-2.31918,0.42565,,,,,,,,,,,,-2.13673,10.6093,-1.74893,50,5.86749,6.12554,-127.91006,-2.71932,-3.53247,26.90521,-14.63468,NIC_COL,UNO_MAV,BenMeyerDiamond,D1,SLAND,20250218-BenMeyerDiamond-1,e193e400-ee43-11ef-ae1b-772abf6ed280,88.55259,,,7.70681,,,,,,,8fddfa89-27fb-4f56-82e2-22639b9f1a00,2025-02-18,22:01:18.16,2025-02-18T16:01:18.1660160-06:00,2025-02-18T22:01:18.1660160Z,,v3,471383,471375,,"Collura, Jaden",1000236652,Right,NIC_COL,5fe07a7c-2628-4534-a8c3-95b520f73c2f,53.76392,-128.69934,13.45261,5.94097,-2.29,-7.31734,-1.93014,6.22916,-1.76623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-18,16:02:00.34,1,4,"van' TKlooster, Keon",1000369997,Right,NIC_COL,"Babin, Kael",10017988,Right,UNO_MAV,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.6693,-2.587854,-3.352688,2882.589616,40.601768,7:15,5.84276,2.135,6.02455,-67.48189,-16.49654,-15.61206,-2.18322,-2.27465,69.08015,-14.735105,-6.174679,0.513918,,,,,,,,,,,,7.14882,-7.65855,-1.86334,50,5.60199,6.83303,-108.21223,-6.85135,8.27486,23.07425,-41.0389,NIC_COL,UNO_MAV,BenMeyerDiamond,D1,SLAND,20250218-BenMeyerDiamond-1,fab8cf90-ee43-11ef-ae1b-772abf6ed280,73.34325,,,5.58914,,,,,,,8fddfa89-27fb-4f56-82e2-22639b9f1a00,2025-02-18,22:02:00.34,2025-02-18T16:02:00.3494912-06:00,2025-02-18T22:02:00.3494912Z,,v3,471383,471375,,"Collura, Jaden",1000236652,Right,NIC_COL,4adba161-2cde-4053-a1ef-7bbbcf8481fc,54.47962,-109.16325,11.53712,5.84951,-5.15991,-20.51945,-2.13794,6.49198,4.13743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-18,16:02:20.71,1,5,"van' TKlooster, Keon",1000369997,Right,NIC_COL,"Babin, Kael",10017988,Right,UNO_MAV,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,89.20425,-3.089625,-3.205399,2148.14567,201.655947,12:45,5.98853,1.88091,6.55018,-16.13367,18.19977,6.79146,1.80374,-0.49549,81.73655,-6.184981,-1.973844,0.421726,89.89129,-2.696117,0.943893,,,,,28.55299,28.55299,1.876262,0.210347,-4.47012,10.76363,-1.66214,50,5.76754,6.99005,-129.38996,-7.40058,-7.5824,26.85247,-13.91627,NIC_COL,UNO_MAV,BenMeyerDiamond,D1,SLAND,20250218-BenMeyerDiamond-1,06dda2f0-ee44-11ef-ae1b-772abf6ed280,89.37664,1.91685,,7.4677,,,,1.59216,1.91685,0.4549,8fddfa89-27fb-4f56-82e2-22639b9f1a00,2025-02-18,22:02:20.71,2025-02-18T16:02:20.7128064-06:00,2025-02-18T22:02:20.7128064Z,GroundBall,v3,471383,471375,,"Collura, Jaden",1000236652,Right,NIC_COL,4ce8284e-cf55-4a97-b613-cc400ecc9630,53.94838,-130.2068,13.42624,5.98622,-6.97725,-6.95813,-1.87828,7.2207,-3.7912,215.420375,1.59338,131.5994,-16.68913,,,,,,,1.91723,-6.22568,-13.74263,,,,,,,0.45484,2.17355,0.51716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-18,16:02:54.36,2,1,"van' TKlooster, Keon",1000369997,Right,NIC_COL,"Zipay, Henry",1000112074,Left,UNO_MAV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.59492,-4.402864,-2.434122,2204.679615,194.262181,12:30,5.97457,2.01659,6.60663,-16.31733,18.43824,4.40555,0.5702,0.15274,81.40606,-7.518718,-1.633361,0.42431,,,,,,,,,,,,-3.01528,11.29784,-1.85264,50,5.66713,5.30005,-128.43596,-10.30681,-5.04227,26.32155,-13.28137,NIC_COL,UNO_MAV,BenMeyerDiamond,D1,SLAND,20250218-BenMeyerDiamond-1,1af2c7c0-ee44-11ef-ae1b-772abf6ed280,88.83228,,,7.18885,,,,,,,8fddfa89-27fb-4f56-82e2-22639b9f1a00,2025-02-18,22:02:54.36,2025-02-18T16:02:54.3641600-06:00,2025-02-18T22:02:54.3641600Z,,v3,471383,471375,,"Collura, Jaden",1000236652,Right,NIC_COL,519831c0-4a1d-4d24-be88-a2e244c19255,53.89295,-129.23132,13.16077,5.9725,-9.90549,-6.64069,-2.0151,5.45241,-2.52114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-18,16:03:48.36,2,2,"van' TKlooster, Keon",1000369997,Right,NIC_COL,"Zipay, Henry",1000112074,Left,UNO_MAV,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.06296,-1.52236,-2.098334,2462.01101,98.58588,9:15,5.62635,2.62978,6.17958,-40.16132,3.94386,-17.54662,0.87248,-0.771,73.31717,-8.905582,-5.26441,0.477987,,,,,,,,,,,,8.64934,2.79347,-2.46207,50,5.49059,4.80821,-114.91764,-4.23383,11.57762,21.10098,-28.43483,NIC_COL,UNO_MAV,BenMeyerDiamond,D1,SLAND,20250218-BenMeyerDiamond-1,3b1e4100-ee44-11ef-ae1b-772abf6ed280,78.85662,,,5.74579,,,,,,,8fddfa89-27fb-4f56-82e2-22639b9f1a00,2025-02-18,22:03:48.36,2025-02-18T16:03:48.3648000-06:00,2025-02-18T22:03:48.3648000Z,,v3,471383,471375,,"Collura, Jaden",1000236652,Right,NIC_COL,79761b46-5dca-4e32-9e38-602fe098f10c,54.3218,-115.70848,10.55049,5.6293,-3.16813,-14.21741,-2.63414,4.3743,5.78881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-18,16:04:07.13,2,3,"van' TKlooster, Keon",1000369997,Right,NIC_COL,"Zipay, Henry",1000112074,Left,UNO_MAV,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.30932,-2.867885,-1.487909,2152.686541,192.277486,12:30,6.01124,2.00323,6.67143,-16.4117,19.26769,3.93992,2.0168,0.97002,79.82294,-6.034344,-0.770385,0.429913,,,,,,,,,,,,-2.49232,11.3193,-1.90498,50,5.81201,3.14563,-126.78086,-6.73187,-4.04799,26.42622,-13.78938,NIC_COL,UNO_MAV,BenMeyerDiamond,D1,SLAND,20250218-BenMeyerDiamond-1,465001d0-ee44-11ef-ae1b-772abf6ed280,87.67465,,,7.48638,,,,,,,8fddfa89-27fb-4f56-82e2-22639b9f1a00,2025-02-18,22:04:07.13,2025-02-18T16:04:07.1399424-06:00,2025-02-18T22:04:07.1399424Z,,v3,471383,471375,,"Collura, Jaden",1000236652,Right,NIC_COL,c238696a-0aa5-4c34-be7b-09e379db020b,53.82512,-127.57568,13.21311,6.00824,-6.31714,-6.89469,-2.00142,3.26739,-2.02399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-18,16:04:39.00,2,4,"van' TKlooster, Keon",1000369997,Right,NIC_COL,"Zipay, Henry",1000112074,Left,UNO_MAV,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,Bunt,Sacrifice,2,0,,86.98213,-1.155268,-1.681092,2084.948893,192.450013,12:30,6.02033,2.05908,6.61364,-21.53686,13.97713,2.86614,3.16692,0.75782,80.47882,-5.230353,-1.159745,0.428915,,,,,,,,,,,,-1.94008,7.97587,-1.946,50,5.93265,3.6135,-126.59356,-3.13963,-3.18164,23.28467,-19.09409,NIC_COL,UNO_MAV,BenMeyerDiamond,D1,SLAND,20250218-BenMeyerDiamond-1,5949f2a0-ee44-11ef-ae1b-772abf6ed280,87.87859,,,6.50331,,,,,,,8fddfa89-27fb-4f56-82e2-22639b9f1a00,2025-02-18,22:04:39.00,2025-02-18T16:04:39.0082048-06:00,2025-02-18T22:04:39.0082048Z,,v3,471383,471375,,"Collura, Jaden",1000236652,Right,NIC_COL,c5d02bc0-f728-45e8-b941-9c39f38c55e8,53.88634,-127.30638,11.64234,6.01982,-2.5551,-9.54705,-2.05811,3.7109,-1.59082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-18,16:05:29.48,3,1,"van' TKlooster, Keon",1000369997,Right,NIC_COL,"Trout, Jackson",1000298780,Right,UNO_MAV,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.05306,0.899452,-1.209687,2411.942337,95.050226,9:15,5.5877,2.71222,6.45498,-42.14676,2.77851,-15.69611,2.90199,0.29278,71.65189,-6.956777,-4.056491,0.48241,,,,,,,,,,,,7.84441,1.64169,-2.62031,50,5.6329,2.93593,-113.49113,0.5962,10.19687,21.42009,-30.04001,NIC_COL,UNO_MAV,BenMeyerDiamond,D1,SLAND,20250218-BenMeyerDiamond-1,7768fa10-ee44-11ef-ae1b-772abf6ed280,78.13354,,,6.40117,,,,,,,8fddfa89-27fb-4f56-82e2-22639b9f1a00,2025-02-18,22:05:29.48,2025-02-18T16:05:29.4811648-06:00,2025-02-18T22:05:29.4811648Z,,v3,471383,471375,,"Collura, Jaden",1000236652,Right,NIC_COL,1c377e5e-54fb-4561-8c9c-64aa6e317dbb,54.04381,-114.2518,10.71004,5.59279,1.66298,-15.02001,-2.71814,2.57381,5.09844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
