PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,16:06:30.50,1,1,"Ossiander, Josh",10120691,Right,WCC,"Ritzer, Alex",1000133769,Left,USC_UPS,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.93955,-0.516025,-3.925182,2106.109162,254.218461,2:30,5.13666,2.1531,5.70605,-31.4958,4.04398,10.4804,2.03007,-0.63652,81.70131,-6.308072,-2.055521,0.429071,,,,,,,,,,,,-6.38311,2.52004,-1.83031,50,5.07366,8.40148,-128.97232,-2.29745,-10.79539,25.79596,-27.91203,WCC,USC_UPS,HennonStadium,D1,SOCON,20250218-HennonStadium-1,3a24bf70-ee3c-11ef-b4ca-574b02ea3b70,87.84672,,,7.23824,,,,,,,2be3b233-6b4d-4aab-a9a3-1d4c0acfb0ec,2025-02-18,21:06:30.50,2025-02-18T16:06:30.5025536-05:00,2025-02-18T21:06:30.5025536Z,,v3,471488,471513,18 February 2025 16:00-uscupstate@wcarolina,"Spyke, Jack",1000147967,Right,WCC,dd1492c3-0d38-4edc-a3a1-4f933ddf44bd,54.79477,-129.92779,12.89798,5.13961,-1.2636,-13.95602,-2.1489,8.80134,-5.39769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-18,16:06:42.32,1,2,"Ossiander, Josh",10120691,Right,WCC,"Ritzer, Alex",1000133769,Left,USC_UPS,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.34668,-0.533105,-3.06698,2096.293568,238.058284,2:00,5.13464,2.24779,5.60337,-24.47647,10.10398,14.47572,2.59653,0.58823,82.68387,-5.075381,-0.486383,0.42324,,,,,,,,,,,,-8.14512,5.59,-1.99454,50,5.07317,6.37763,-131.07188,-2.08809,-14.20391,27.07488,-22.42588,WCC,USC_UPS,HennonStadium,D1,SOCON,20250218-HennonStadium-1,411fdb70-ee3c-11ef-b4ca-574b02ea3b70,89.05685,,,7.6628,,,,,,,2be3b233-6b4d-4aab-a9a3-1d4c0acfb0ec,2025-02-18,21:06:42.32,2025-02-18T16:06:42.3280640-05:00,2025-02-18T21:06:42.3280640Z,,v3,471488,471513,18 February 2025 16:00-uscupstate@wcarolina,"Spyke, Jack",1000147967,Right,WCC,bcae8bae-9d2b-4c20-b68f-cc6c951ce062,54.89647,-132.07945,13.53744,5.13534,-1.25353,-11.21294,-2.24172,6.90622,-7.10196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-18,16:06:56.73,1,3,"Ossiander, Josh",10120691,Right,WCC,"Ritzer, Alex",1000133769,Left,USC_UPS,Undefined,1,Top,0,0,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,90.42202,-0.430401,-2.562782,2193.410624,237.483939,2:00,5.16479,2.05098,5.69339,-24.72686,9.57843,13.39048,2.70269,0.77684,82.9505,-5.019786,-0.170133,0.421553,,,,,,,,,,,,-7.50776,5.29835,-1.84412,50,5.11313,5.29536,-131.29598,-1.85484,-13.16007,26.71387,-22.88677,WCC,USC_UPS,HennonStadium,D1,SOCON,20250218-HennonStadium-1,49c488c0-ee3c-11ef-b4ca-574b02ea3b70,89.41334,,,7.47152,,,,,,,2be3b233-6b4d-4aab-a9a3-1d4c0acfb0ec,2025-02-18,21:06:56.73,2025-02-18T16:06:56.7344128-05:00,2025-02-18T21:06:56.7344128Z,,v3,471488,471513,18 February 2025 16:00-uscupstate@wcarolina,"Spyke, Jack",1000147967,Right,WCC,6a196a58-5878-4545-b3d6-91587e9ab0b5,54.80741,-132.27049,13.35694,5.16557,-1.01993,-11.44339,-2.04605,5.77544,-6.58004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-18,16:07:34.00,2,1,"Ossiander, Josh",10120691,Right,WCC,"Sheahan, Vance",10033608,Right,USC_UPS,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.75563,-0.323628,-4.469253,2138.693124,239.139896,2:00,5.25054,1.84635,5.91299,-25.72257,8.86989,13.1032,2.80571,-1.21821,82.42514,-5.103656,-2.126241,0.423314,,,,,,,,,,,,-7.84827,4.9539,-1.49458,50,5.20981,9.61256,-130.12007,-1.60902,-13.54485,25.60682,-23.62444,WCC,USC_UPS,HennonStadium,D1,SOCON,20250218-HennonStadium-1,5fe953b0-ee3c-11ef-b4ca-574b02ea3b70,89.04142,,,7.33049,,,,,,,2be3b233-6b4d-4aab-a9a3-1d4c0acfb0ec,2025-02-18,21:07:34.00,2025-02-18T16:07:34.0044288-05:00,2025-02-18T21:07:34.0044288Z,,v3,471488,471513,18 February 2025 16:00-uscupstate@wcarolina,"Spyke, Jack",1000147967,Right,WCC,eb904f3a-31e1-4e7c-98c8-a36c834a9012,54.58722,-131.0197,12.80341,5.25176,-0.77904,-11.81222,-1.84065,10.08842,-6.77242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-18,16:07:49.52,2,2,"Ossiander, Josh",10120691,Right,WCC,"Sheahan, Vance",10033608,Right,USC_UPS,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.74363,0.4873,-2.695478,2087.155817,358.780718,6:00,5.20068,1.99176,5.29564,-47.7618,-4.21457,0.12331,1.67857,-0.53063,73.90729,-8.2159,-2.673595,0.474954,,,,,,,,,,,,-0.95331,-1.78406,-1.74648,50,5.21044,5.56633,-118.34285,-0.73047,-1.32759,26.37923,-34.65854,WCC,USC_UPS,HennonStadium,D1,SOCON,20250218-HennonStadium-1,69319400-ee3c-11ef-b4ca-574b02ea3b70,79.36019,,,7.83634,,,,,,,2be3b233-6b4d-4aab-a9a3-1d4c0acfb0ec,2025-02-18,21:07:49.52,2025-02-18T16:07:49.5200256-05:00,2025-02-18T21:07:49.5200256Z,,v3,471488,471513,18 February 2025 16:00-uscupstate@wcarolina,"Spyke, Jack",1000147967,Right,WCC,24b0e307-420c-4aaa-b8bc-0f7c8338b2a7,55.2026,-119.49691,13.18962,5.20923,0.7858,-17.32927,-1.99127,5.62441,-0.6638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-18,16:08:06.58,2,3,"Ossiander, Josh",10120691,Right,WCC,"Sheahan, Vance",10033608,Right,USC_UPS,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.96635,1.254581,-3.616869,2207.703976,9.207438,6:15,5.25409,1.78057,5.30164,-50.32062,-7.20118,-1.40634,2.24105,-1.73666,74.50371,-7.883499,-3.865924,0.472615,,,,,,,,,,,,-0.42831,-3.52929,-1.45044,50,5.33178,7.55866,-118.63966,0.75155,-0.6033,25.18251,-37.14527,WCC,USC_UPS,HennonStadium,D1,SOCON,20250218-HennonStadium-1,73595ee0-ee3c-11ef-b4ca-574b02ea3b70,79.7529,,,7.46264,,,,,,,2be3b233-6b4d-4aab-a9a3-1d4c0acfb0ec,2025-02-18,21:08:06.58,2025-02-18T16:08:06.5843200-05:00,2025-02-18T21:08:06.5843200Z,,v3,471488,471513,18 February 2025 16:00-uscupstate@wcarolina,"Spyke, Jack",1000147967,Right,WCC,40494b56-81af-44f1-92c1-9a98f6a21476,55.19823,-119.73795,12.59125,5.26367,2.37158,-18.57264,-1.78068,7.58497,-0.30165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
7,2025-02-18,16:08:22.76,2,4,"Ossiander, Josh",10120691,Right,WCC,"Sheahan, Vance",10033608,Right,USC_UPS,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,1,,89.1029,-0.676779,-4.09134,2077.937304,244.362919,2:15,5.0902,2.00028,5.86078,-26.97092,8.50603,15.27643,2.21223,-0.53418,81.13059,-5.697986,-1.35885,0.428691,97.98219,13.736263,11.144093,2864.194413,106.66099,21.54604,26.89667,287.49063,287.49063,18.207008,2.758158,-9.02524,4.88614,-1.67702,50,5.01946,8.59326,-129.11727,-2.44181,-15.17389,27.90545,-23.95915,WCC,USC_UPS,HennonStadium,D1,SOCON,20250218-HennonStadium-1,7d06c9a0-ee3c-11ef-b4ca-574b02ea3b70,87.92449,23.76254,,7.97231,,,,0.97833,2.23074,0.53315,2be3b233-6b4d-4aab-a9a3-1d4c0acfb0ec,2025-02-18,21:08:22.76,2025-02-18T16:08:22.7612672-05:00,2025-02-18T21:08:22.7612672Z,LineDrive,v3,471488,471513,18 February 2025 16:00-uscupstate@wcarolina,"Spyke, Jack",1000147967,Right,WCC,2eae329d-7735-4e9b-9892-4e96b1461e21,54.63961,-130.11614,13.95272,5.09151,-1.58419,-11.97957,-1.99433,9.13641,-7.58695,233.149026,0.97843,136.96017,-21.32577,4.19336,-0.66945,-0.02014,0.05675,-0.01687,0.00181,2.23065,34.12787,-14.22243,0.58804,-0.11366,0.12252,-0.06352,0.01682,-0.00177,0.53314,26.98122,5.42624,-2.55531,0.81011,-0.19607,0.03704,-0.00459,0.00027,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,High,High,,,
8,2025-02-18,16:09:06.62,3,1,"Ossiander, Josh",10120691,Right,WCC,"Waters, Wylie",1000272678,Right,USC_UPS,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.21205,2.431749,-1.338724,1963.655035,358.276927,6:00,5.08035,2.19583,5.6523,-45.10727,-0.96307,0.07283,3.59144,0.95307,72.90428,-5.86792,-1.325716,0.478199,,,,,,,,,,,,-0.43488,-0.72532,-2.0824,50,5.25826,2.71508,-116.30622,3.41839,-0.59167,23.18369,-33.16086,WCC,USC_UPS,HennonStadium,D1,SOCON,20250218-HennonStadium-1,97261ac0-ee3c-11ef-b4ca-574b02ea3b70,78.82173,,,7.30777,,,,,,,2be3b233-6b4d-4aab-a9a3-1d4c0acfb0ec,2025-02-18,21:09:06.62,2025-02-18T16:09:06.6250752-05:00,2025-02-18T21:09:06.6250752Z,,v3,471488,471513,18 February 2025 16:00-uscupstate@wcarolina,"Spyke, Jack",1000147967,Right,WCC,fc8c94a3-48dd-4174-837e-123f42a5723b,54.84628,-117.26826,11.59184,5.08786,4.79445,-16.58043,-2.19558,2.73963,-0.29584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-18,16:09:22.17,3,2,"Ossiander, Josh",10120691,Right,WCC,"Waters, Wylie",1000272678,Right,USC_UPS,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.76871,-0.297703,-3.415967,2149.045363,232.986207,1:45,5.17891,2.04421,5.96642,-23.99281,10.5354,12.56446,2.90299,-0.07979,82.22513,-4.781988,-1.162548,0.42292,,,,,,,,,,,,-7.34394,5.81516,-1.78,50,5.14188,7.24322,-130.26971,-1.46811,-12.66328,26.48435,-22.14683,WCC,USC_UPS,HennonStadium,D1,SOCON,20250218-HennonStadium-1,a06d49a0-ee3c-11ef-b4ca-574b02ea3b70,89.12424,,,7.54358,,,,,,,2be3b233-6b4d-4aab-a9a3-1d4c0acfb0ec,2025-02-18,21:09:22.17,2025-02-18T16:09:22.1747712-05:00,2025-02-18T21:09:22.1747712Z,,v3,471488,471513,18 February 2025 16:00-uscupstate@wcarolina,"Spyke, Jack",1000147967,Right,WCC,5d106522-0d2a-455a-b709-758a11a02666,54.53325,-131.1881,13.24218,5.17947,-0.70013,-11.07341,-2.03879,7.68234,-6.33164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-18,16:09:42.35,3,3,"Ossiander, Josh",10120691,Right,WCC,"Waters, Wylie",1000272678,Right,USC_UPS,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.95935,-0.470974,-3.121489,2263.719941,234.731428,1:45,5.19498,1.92141,5.98514,-25.56088,8.84642,10.98694,2.62771,-0.05909,82.3179,-5.238542,-1.1492,0.422179,88.6078,41.763064,41.187181,5431.396158,76.63015,90.07286,78.91653,299.51005,133.4601,51.834353,5.52202,-6.52855,4.99595,-1.68094,50,5.14356,6.66454,-130.57702,-1.92764,-11.28073,27.28854,-23.54152,WCC,USC_UPS,HennonStadium,D1,SOCON,20250218-HennonStadium-1,ac737170-ee3c-11ef-b4ca-574b02ea3b70,89.28069,109.55635,,7.64145,,,,0.47133,3.0766,-0.08709,2be3b233-6b4d-4aab-a9a3-1d4c0acfb0ec,2025-02-18,21:09:42.35,2025-02-18T16:09:42.3582208-05:00,2025-02-18T21:09:42.3582208Z,FlyBall,v3,471488,471513,18 February 2025 16:00-uscupstate@wcarolina,"Spyke, Jack",1000147967,Right,WCC,74c26be2-82ee-4050-a259-7ad3882ba190,54.51541,-131.51728,13.64427,5.196,-1.11649,-11.77076,-1.91727,7.05323,-5.64036,,0.47773,72.82111,-19.71672,4.53139,-0.42641,-0.10277,0.04033,-0.0051,0.00023,3.07195,86.63604,-20.4236,1.70528,-0.37191,0.06172,-0.00141,-0.00093,8E-05,-0.08449,63.78433,-8.58467,1.49047,-0.07089,-0.04928,0.01456,-0.00167,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
