PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,18:32:27.20,1,1,"Vera, Jordan",701355,Right,FGCU,"Pena, Carlos",695557,Left,IND_SYC,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.69966,-2.336964,-3.365694,2070.357258,236.216816,1:45,5.75724,2.13279,5.62407,-23.57706,12.75288,17.14611,1.60678,0.41734,80.4295,-6.738427,-0.307144,0.433814,,,,,,,,,,,,-9.72634,7.5528,-1.85701,50,5.54278,6.80394,-128.40391,-6.04003,-16.07998,29.01236,-19.68744,FGCU,IND_SYC,SwansonStadium,D1,ASUN,20250218-SwansonStadium-1,9d6fa9f0-ee50-11ef-9ab9-e5b2d3a62acc,86.88612,,,8.27016,,,,,,,436cc4a3-1351-47cf-b2c0-c8eda3007594,2025-02-18,23:32:27.20,2025-02-18T18:32:27.2030208-05:00,2025-02-18T23:32:27.2030208Z,,v3,4964,471319,18 February 2025 18:30-indianast@flgulfcst,"Moise, Mac",1000051534,Right,FGCU,b5f3413e-984a-41c8-a03f-ed6f08093e31,54.87327,-129.50032,14.50618,5.75698,-5.29602,-9.84372,-2.12563,7.41162,-8.03999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-18,18:32:40.80,1,2,"Vera, Jordan",701355,Right,FGCU,"Pena, Carlos",695557,Left,IND_SYC,Undefined,1,Top,0,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.11382,-1.337675,-3.383058,1506.421083,244.835631,2:15,5.79717,2.2722,5.60219,-33.00466,9.34091,16.75068,1.79562,0.50624,74.67018,-7.441097,-0.395051,0.468355,,,,,,,,,,,,-9.62414,5.53697,-1.99387,50,5.66114,6.37434,-118.96622,-3.85679,-13.65943,24.88179,-24.31551,FGCU,IND_SYC,SwansonStadium,D1,ASUN,20250218-SwansonStadium-1,a58c6290-ee50-11ef-9ab9-e5b2d3a62acc,80.47831,,,7.44364,,,,,,,436cc4a3-1351-47cf-b2c0-c8eda3007594,2025-02-18,23:32:40.80,2025-02-18T18:32:40.8049664-05:00,2025-02-18T23:32:40.8049664Z,,v3,4964,471319,18 February 2025 18:30-indianast@flgulfcst,"Moise, Mac",1000051534,Right,FGCU,5c6988c3-2b6c-4a8e-8b8a-4c0e5a74d190,54.89696,-119.98605,12.4409,5.79879,-2.86017,-12.15775,-2.26661,6.9342,-6.82971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-18,18:33:14.73,1,3,"Vera, Jordan",701355,Right,FGCU,"Pena, Carlos",695557,Left,IND_SYC,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.00554,-0.02945,0.144828,2009.880551,224.084222,1:30,5.77984,2.3054,5.53258,-20.77056,15.35989,13.65611,4.02143,3.57878,80.40177,-3.946099,2.578999,0.432621,,,,,,,,,,,,-6.79666,8.11981,-2.32706,50,5.7638,-0.94543,-129.07438,-0.74233,-11.32996,29.84329,-18.63844,FGCU,IND_SYC,SwansonStadium,D1,ASUN,20250218-SwansonStadium-1,b9c89760-ee50-11ef-9ab9-e5b2d3a62acc,87.12569,,,8.60377,,,,,,,436cc4a3-1351-47cf-b2c0-c8eda3007594,2025-02-18,23:33:14.73,2025-02-18T18:33:14.7382272-05:00,2025-02-18T23:33:14.7382272Z,,v3,4964,471319,18 February 2025 18:30-indianast@flgulfcst,"Moise, Mac",1000051534,Right,FGCU,f082adc9-52aa-43b9-9925-2d86e076996e,54.96214,-130.21662,14.92165,5.77856,-0.02895,-9.31922,-2.29918,-0.51177,-5.66498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-18,18:33:28.43,1,4,"Vera, Jordan",701355,Right,FGCU,"Pena, Carlos",695557,Left,IND_SYC,Undefined,1,Top,0,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.31944,-0.919807,-2.266511,1532.894772,245.908494,2:15,5.88625,2.30368,5.71959,-37.36868,6.38433,11.08087,1.91468,1.11479,73.5409,-7.806168,-0.282774,0.476075,48.95241,-50.531555,73.702949,,,,,4.02053,4.02053,8.655662,0.039264,-6.35681,3.89945,-2.12145,50,5.78613,4.19435,-116.56711,-3.06616,-8.70759,22.82051,-26.83255,FGCU,IND_SYC,SwansonStadium,D1,ASUN,20250218-SwansonStadium-1,c1f15df0-ee50-11ef-9ab9-e5b2d3a62acc,79.17333,2.19069,,6.77855,,,,3.46856,2.19069,-1.12629,436cc4a3-1351-47cf-b2c0-c8eda3007594,2025-02-18,23:33:28.43,2025-02-18T18:33:28.4305408-05:00,2025-02-18T23:33:28.4305408Z,GroundBall,v3,4964,471319,18 February 2025 18:30-indianast@flgulfcst,"Moise, Mac",1000051534,Right,FGCU,4e9b14c3-6c68-4b9f-a67f-3b22906deb1f,54.77964,-117.4991,11.41025,5.88897,-1.97032,-13.41627,-2.30001,4.54996,-4.35379,,3.46802,12.89192,,,,,,,,2.19302,-55.79382,,,,,,,,-1.12813,44.09536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2025-02-18,18:33:56.18,1,5,"Vera, Jordan",701355,Right,FGCU,"Pena, Carlos",695557,Left,IND_SYC,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.17136,-0.123558,-1.299408,1569.596542,260.954752,2:45,5.83565,2.33785,5.50224,-41.57801,3.93555,15.14032,2.25522,2.38404,72.25215,-7.754524,1.402016,0.485559,,,,,,,,,,,,-8.01512,2.48756,-2.23478,50,5.79703,2.00521,-114.88159,-1.62954,-10.63012,22.79249,-28.8749,FGCU,IND_SYC,SwansonStadium,D1,ASUN,20250218-SwansonStadium-1,d2834f70-ee50-11ef-9ab9-e5b2d3a62acc,77.62692,,,6.9192,,,,,,,436cc4a3-1351-47cf-b2c0-c8eda3007594,2025-02-18,23:33:56.18,2025-02-18T18:33:56.1863680-05:00,2025-02-18T23:33:56.1863680Z,,v3,4964,471319,18 February 2025 18:30-indianast@flgulfcst,"Moise, Mac",1000051534,Right,FGCU,11056fb6-5e86-4dd2-acb4-4c20dedefa41,54.99539,-115.86843,11.39625,5.84052,-0.37935,-14.43745,-2.33156,2.46546,-5.31506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-18,18:34:09.38,1,6,"Vera, Jordan",701355,Right,FGCU,"Pena, Carlos",695557,Left,IND_SYC,Undefined,1,Top,0,3,2,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.17086,-2.914092,-3.153525,2090.743098,251.807712,2:30,5.61112,2.2961,5.70167,-28.30789,7.43418,18.92237,0.53034,0.93157,81.33416,-8.136854,0.231538,0.43029,,,,,,,,,,,,-10.63071,4.99477,-2.04368,50,5.3486,6.31112,-129.14768,-7.5763,-17.82703,28.68116,-23.79818,FGCU,IND_SYC,SwansonStadium,D1,ASUN,20250218-SwansonStadium-1,da562dd0-ee50-11ef-9ab9-e5b2d3a62acc,87.59775,,,7.83671,,,,,,,436cc4a3-1351-47cf-b2c0-c8eda3007594,2025-02-18,23:34:09.38,2025-02-18T18:34:09.3892608-05:00,2025-02-18T23:34:09.3892608Z,,v3,4964,471319,18 February 2025 18:30-indianast@flgulfcst,"Moise, Mac",1000051534,Right,FGCU,528448d4-b4b0-43b4-8cd9-236a17db21b2,54.79766,-130.20879,14.34058,5.61261,-6.69585,-11.89909,-2.28938,6.97066,-8.91351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-18,18:34:23.78,1,7,"Vera, Jordan",701355,Right,FGCU,"Pena, Carlos",695557,Left,IND_SYC,Undefined,1,Top,0,3,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.89976,-2.595097,-3.689579,2205.00154,232.068215,1:45,5.71526,2.17137,5.74565,-20.53631,14.62698,17.19717,1.58114,0.16464,81.6163,-6.455991,-0.617276,0.426792,,,,,,,,,,,,-9.86489,8.58422,-1.87513,50,5.4867,7.64308,-130.12667,-6.57193,-16.787,29.23516,-17.56634,FGCU,IND_SYC,SwansonStadium,D1,ASUN,20250218-SwansonStadium-1,e2ed6da0-ee50-11ef-9ab9-e5b2d3a62acc,88.31576,,,8.28346,,,,,,,436cc4a3-1351-47cf-b2c0-c8eda3007594,2025-02-18,23:34:23.78,2025-02-18T18:34:23.7870000-05:00,2025-02-18T23:34:23.7870000Z,,v3,4964,471319,18 February 2025 18:30-indianast@flgulfcst,"Moise, Mac",1000051534,Right,FGCU,5e44576f-9b3a-4155-a7ae-f5e213136646,54.75198,-131.18994,14.61758,5.7141,-5.93305,-8.78317,-2.16421,8.25361,-8.3935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.92044,2.401566,1.547366,0.854199,0.27806,1.4513,-0.15302,2.18419,5.10056,-4.89841,73.93383,5.98972,-50.84328,2.2188,88.8824,-5.74892,5.12663,12.30044,-13.20216,-4.98581,-61.5858,9.20418,High,High,High,,,Medium,Medium,High
8,2025-02-18,18:34:47.53,2,1,"Vera, Jordan",701355,Right,FGCU,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,1,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.81375,-1.580983,-2.815221,2157.855597,235.414202,1:45,5.69881,2.28056,5.61757,-23.35596,12.59926,16.54946,2.27486,1.03024,80.97284,-5.935226,0.137961,0.431571,,,,,,,,,,,,-9.16658,7.19146,-2.05096,50,5.54886,5.60458,-128.76603,-4.34806,-15.34378,27.49393,-20.13637,FGCU,IND_SYC,SwansonStadium,D1,ASUN,20250218-SwansonStadium-1,f11738c0-ee50-11ef-9ab9-e5b2d3a62acc,87.33773,,,7.84091,,,,,,,436cc4a3-1351-47cf-b2c0-c8eda3007594,2025-02-18,23:34:47.53,2025-02-18T18:34:47.5313664-05:00,2025-02-18T23:34:47.5313664Z,,v3,4964,471319,18 February 2025 18:30-indianast@flgulfcst,"Moise, Mac",1000051534,Right,FGCU,650dceea-919f-4c1d-a184-63587adbd735,54.87986,-129.80379,13.74697,5.69864,-3.58801,-10.06819,-2.27344,6.18374,-7.67189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-18,18:35:10.81,2,2,"Vera, Jordan",701355,Right,FGCU,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,1,0,1,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.76175,-0.676876,-2.471307,2064.449849,250.871199,2:15,5.6753,2.24826,5.5376,-28.10289,8.25717,20.11111,2.70013,1.61294,80.30273,-5.89144,1.114462,0.433994,,,,,,,,,,,,-10.85855,4.76725,-2.04728,50,5.59819,4.64613,-128.64731,-2.52509,-17.98584,29.58671,-24.27769,FGCU,IND_SYC,SwansonStadium,D1,ASUN,20250218-SwansonStadium-1,fef7ecf0-ee50-11ef-9ab9-e5b2d3a62acc,86.85015,,,8.45902,,,,,,,436cc4a3-1351-47cf-b2c0-c8eda3007594,2025-02-18,23:35:10.81,2025-02-18T18:35:10.8155904-05:00,2025-02-18T23:35:10.8155904Z,,v3,4964,471319,18 February 2025 18:30-indianast@flgulfcst,"Moise, Mac",1000051534,Right,FGCU,a3bb6abc-9676-450a-891c-01758c957a2b,54.95899,-129.78278,14.79335,5.67722,-1.59336,-12.13885,-2.23883,5.33639,-8.99292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-18,18:35:26.37,2,3,"Vera, Jordan",701355,Right,FGCU,"Beck, Carter",10289624,Left,IND_SYC,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.20488,-1.932455,-3.875564,1414.985301,269.815749,3:00,5.72689,2.19819,5.67952,-40.51313,1.41461,16.58135,0.5446,-0.03825,75.50724,-9.334047,-0.911336,0.466039,,,,,,,,,,,,-9.61406,1.62784,-1.88214,50,5.53798,7.42379,-119.11223,-5.39025,-13.7692,23.5421,-29.84265,FGCU,IND_SYC,SwansonStadium,D1,ASUN,20250218-SwansonStadium-1,083a12c0-ee51-11ef-9ab9-e5b2d3a62acc,80.87831,,,6.69764,,,,,,,436cc4a3-1351-47cf-b2c0-c8eda3007594,2025-02-18,23:35:26.37,2025-02-18T18:35:26.3764480-05:00,2025-02-18T23:35:26.3764480Z,,v3,4964,471319,18 February 2025 18:30-indianast@flgulfcst,"Moise, Mac",1000051534,Right,FGCU,860f76e7-fb09-4dfa-990f-3b92d2c4a070,54.82088,-120.06128,11.77105,5.73102,-4.18721,-14.92133,-2.1926,7.97886,-6.8846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
