PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,14:02:27.33,1,1,"Manning, Grant",1000127618,Right,VIR_TEC,"Palmese, Jamie",10148893,Right,ETS_BUC,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.35388,0.691999,-0.544301,2195.895223,57.479165,8:00,6.59806,2.16264,5.56732,-43.3268,0.99071,-1.40874,3.63399,1.53677,71.99554,-7.341314,-0.795894,0.479136,,,,,,,,,,,,0.48524,0.89634,-2.11483,50,6.63058,1.17838,-117.61477,-0.07874,0.65434,30.04978,-30.96536,VIR_TEC,ETS_BUC,VATech,D1,ACC,20250218-VATech-1,e6f137e0-ee2a-11ef-a56d-99a1243679ed,78.66748,,,9.35833,,,,,,,a24dd5a8-8a9b-4fa1-846d-5adaa3419026,2025-02-18,19:02:27.33,2025-02-18T14:02:27.3306624-05:00,2025-02-18T19:02:27.3306624Z,,v3,2293,4844,,"McCann, David",806154,Right,VIR_TEC,2181f820-ad2b-43bf-815a-076168313965,54.92292,-118.86589,15.02489,6.60702,1.2105,-15.48268,-2.16333,1.15114,0.32717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-18,14:02:42.81,1,2,"Manning, Grant",1000127618,Right,VIR_TEC,"Palmese, Jamie",10148893,Right,ETS_BUC,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.7922,-3.329511,-1.870776,2119.506037,192.056332,12:30,6.6823,1.75465,5.94553,-16.28036,18.03761,3.58929,2.23217,0.31789,82.17177,-6.438881,-1.226202,0.421631,105.07439,12.856944,-39.898141,3424.93056,80.53325,14.98221,-74.92902,199.39985,195.76884,-46.073799,1.69002,-2.43362,10.66725,-1.60768,50,6.40779,4.14153,-131.48837,-8.12035,-4.20743,31.12417,-13.73161,VIR_TEC,ETS_BUC,VATech,D1,ACC,20250218-VATech-1,f023a640-ee2a-11ef-a56d-99a1243679ed,89.39682,15.02743,,8.62043,,,,1.75856,2.40937,-0.45373,a24dd5a8-8a9b-4fa1-846d-5adaa3419026,2025-02-18,19:02:42.81,2025-02-18T14:02:42.8199424-05:00,2025-02-18T19:02:42.8199424Z,LineDrive,v3,2293,4844,,"McCann, David",806154,Right,VIR_TEC,aa8b4794-010f-44e6-9459-ecec09a27a69,54.55213,-132.56151,15.56209,6.67961,-7.6469,-6.8658,-1.75298,4.28659,-2.10372,,1.75855,115.26655,-27.82426,6.27763,-1.54812,0.35549,-0.07408,0.01144,-0.00089,2.40937,34.2921,-25.74207,3.83982,-0.93859,0.22793,-0.0484,0.00793,-0.00068,-0.45373,-96.37029,6.71538,0.46804,-0.37571,0.13985,-0.03327,0.00521,-0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-02-18,14:03:12.35,1,3,"Manning, Grant",1000127618,Right,VIR_TEC,"Palmese, Jamie",10148893,Right,ETS_BUC,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.51408,-1.711309,-2.216539,2224.495618,253.027161,2:30,6.607,2.08412,5.89382,-37.16211,2.34839,4.24142,1.91962,0.37858,77.97274,-8.503036,-1.454364,0.452405,,,,,,,,,,,,-2.69705,1.95209,-1.90799,50,6.44756,4.53504,-121.40836,-4.86862,-4.08683,20.37833,-29.21604,VIR_TEC,ETS_BUC,VATech,D1,ACC,20250218-VATech-1,01cc37e0-ee2b-11ef-a56d-99a1243679ed,83.31566,,,5.54134,,,,,,,a24dd5a8-8a9b-4fa1-846d-5adaa3419026,2025-02-18,19:03:12.35,2025-02-18T14:03:12.3551744-05:00,2025-02-18T19:03:12.3551744Z,,v3,2293,4844,,"McCann, David",806154,Right,VIR_TEC,1bf4a9ce-97e6-4342-8891-fecdce268ab0,54.60756,-122.17929,10.18916,6.61083,-3.76335,-14.60802,-2.08248,4.68965,-2.04342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-18,14:03:29.37,1,4,"Manning, Grant",1000127618,Right,VIR_TEC,"Palmese, Jamie",10148893,Right,ETS_BUC,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.43195,-2.003522,-2.698295,2254.206429,180.314451,12:00,6.55656,1.99935,5.80476,-37.85014,2.39685,0.00646,1.53625,-0.51141,77.07731,-8.923815,-2.697138,0.456602,95.04364,-40.915558,-64.450631,,,,,2.9549,2.9549,-23.745097,0.017638,-0.73882,2.1089,-1.77773,50,6.36907,5.70583,-121.07364,-5.50421,-1.0988,23.20994,-29.03761,VIR_TEC,ETS_BUC,VATech,D1,ACC,20250218-VATech-1,0bea17b0-ee2b-11ef-a56d-99a1243679ed,82.54981,1.61232,,6.35464,,,,1.90244,1.61232,0.48853,a24dd5a8-8a9b-4fa1-846d-5adaa3419026,2025-02-18,19:03:29.37,2025-02-18T14:03:29.3792256-05:00,2025-02-18T19:03:29.3792256Z,GroundBall,v3,2293,4844,,"McCann, David",806154,Right,VIR_TEC,93ca1fed-54be-4083-b7d5-ed70cc2a13b0,54.69619,-121.97058,11.60497,6.56009,-4.38206,-14.5188,-1.99906,5.74829,-0.5494,,1.90227,45.48919,,,,,,,,1.61264,-91.41349,,,,,,,,0.48887,-95.15898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2025-02-18,14:03:55.01,1,5,"Manning, Grant",1000127618,Right,VIR_TEC,"Palmese, Jamie",10148893,Right,ETS_BUC,Undefined,1,Top,0,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.47386,-1.058791,-1.282332,2085.304992,28.939748,7:00,6.79543,1.68868,5.54512,-51.08837,-5.40339,-3.91382,1.54822,0.16393,72.12682,-10.368969,-1.982567,0.486472,,,,,,,,,,,,1.54953,-1.92965,-1.57491,50,6.66987,2.73178,-115.18868,-3.86502,2.03679,25.71909,-34.7105,VIR_TEC,ETS_BUC,VATech,D1,ACC,20250218-VATech-1,1b381780-ee2b-11ef-a56d-99a1243679ed,77.48118,,,7.34704,,,,,,,a24dd5a8-8a9b-4fa1-846d-5adaa3419026,2025-02-18,19:03:55.01,2025-02-18T14:03:55.0142464-05:00,2025-02-18T19:03:55.0142464Z,,v3,2293,4844,,"McCann, David",806154,Right,VIR_TEC,83b260bf-b283-45d6-bc3a-e7726e53fd65,54.95415,-116.28957,12.85955,6.80351,-2.37926,-17.35525,-1.68998,2.6446,1.0184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-18,14:04:16.16,1,6,"Manning, Grant",1000127618,Right,VIR_TEC,"Palmese, Jamie",10148893,Right,ETS_BUC,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.61186,-2.595954,-3.239862,2234.586808,268.254332,3:00,6.48899,1.98156,5.99729,-38.93746,1.36921,0.23795,0.83316,-1.00404,76.52956,-9.741189,-3.197087,0.456941,,,,,,,,,,,,-1.11902,1.90193,-1.7264,50,6.26292,6.84669,-121.11476,-6.77159,-1.6454,25.8821,-29.37744,VIR_TEC,ETS_BUC,VATech,D1,ACC,20250218-VATech-1,27d06d30-ee2b-11ef-a56d-99a1243679ed,82.4887,,,7.0823,,,,,,,a24dd5a8-8a9b-4fa1-846d-5adaa3419026,2025-02-18,19:04:16.16,2025-02-18T14:04:16.1632256-05:00,2025-02-18T19:04:16.1632256Z,,v3,2293,4844,,"McCann, David",806154,Right,VIR_TEC,485b1c13-ac6c-453b-9cb4-fd8d356bb07f,54.5018,-122.073,12.94105,6.49349,-5.68394,-14.68872,-1.98101,6.90761,-0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-18,14:04:40.29,1,7,"Manning, Grant",1000127618,Right,VIR_TEC,"Palmese, Jamie",10148893,Right,ETS_BUC,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,92.475,-4.13099,-2.539495,2130.312836,186.354529,12:15,6.58654,1.9143,6.02131,-12.22532,20.87237,2.18984,1.7311,-0.25692,83.57648,-6.510764,-2.146177,0.414067,,,,,,,,,,,,-1.91677,12.35261,-1.71648,50,6.25547,5.83392,-133.72348,-9.95771,-3.42717,32.21576,-10.08761,VIR_TEC,ETS_BUC,VATech,D1,ACC,20250218-VATech-1,362c6be0-ee2b-11ef-a56d-99a1243679ed,91.02988,,,8.89852,,,,,,,a24dd5a8-8a9b-4fa1-846d-5adaa3419026,2025-02-18,19:04:40.29,2025-02-18T14:04:40.2940000-05:00,2025-02-18T19:04:40.2940000Z,,v3,2293,4844,,"McCann, David",806154,Right,VIR_TEC,ea5acc2c-3d03-4bab-b14b-6a75de6179a4,54.47456,-134.79715,16.10788,6.58173,-9.62152,-5.04381,-1.91282,5.94814,-1.71358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.08576,2.801344,1.067213,1.734131,-1.47738,1.39638,0.36483,-4.29425,3.7066,3.51557,69.96411,11.29685,-54.84417,-4.13835,48.05582,-3.06345,4.05588,31.43888,-15.69555,3.31332,-38.83311,3.04429,High,High,High,,,High,High,High
8,2025-02-18,14:05:11.59,2,1,"Manning, Grant",1000127618,Right,VIR_TEC,"Miller, Cody",1000230177,Right,ETS_BUC,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.54802,-4.5037,-4.035084,2212.882781,278.521494,3:15,6.48493,1.89698,6.10584,-39.66667,1.29843,1.68866,-1.00443,-1.69995,75.82745,-11.762127,-3.730748,0.460658,,,,,,,,,,,,-2.31256,2.58288,-1.58743,50,6.11644,8.44379,-120.57563,-10.76361,-3.31872,28.94843,-28.46742,VIR_TEC,ETS_BUC,VATech,D1,ACC,20250218-VATech-1,48cf14f0-ee2b-11ef-a56d-99a1243679ed,81.82308,,,7.72057,,,,,,,a24dd5a8-8a9b-4fa1-846d-5adaa3419026,2025-02-18,19:05:11.59,2025-02-18T14:05:11.5926016-05:00,2025-02-18T19:05:11.5926016Z,,v3,2293,4844,,"McCann, David",806154,Right,VIR_TEC,75d6b8ea-d81e-43f4-9da1-7771dd81e84e,54.39435,-121.62607,14.47422,6.48827,-9.73062,-14.23371,-1.89601,8.56421,-1.65936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-18,14:05:33.72,2,2,"Manning, Grant",1000127618,Right,VIR_TEC,"Miller, Cody",1000230177,Right,ETS_BUC,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.41776,-2.812239,-3.040725,2105.355233,188.833857,12:15,6.58137,1.78246,6.08978,-16.74324,16.41698,2.39303,2.57891,-0.83355,84.00693,-5.977543,-2.610547,0.414458,72.96152,8.239251,-5.604214,1257.518456,,,,93.60839,93.04227,-5.591355,0.948967,-2.0561,9.55815,-1.54909,50,6.35518,6.94574,-132.59908,-7.02106,-3.67497,27.32051,-15.09042,VIR_TEC,ETS_BUC,VATech,D1,ACC,20250218-VATech-1,56004f40-ee2b-11ef-a56d-99a1243679ed,90.94403,5.65143,,7.41083,,,,2.08669,2.71122,0.80285,a24dd5a8-8a9b-4fa1-846d-5adaa3419026,2025-02-18,19:05:33.72,2025-02-18T14:05:33.7281536-05:00,2025-02-18T19:05:33.7281536Z,GroundBall,v3,2293,4844,,"McCann, David",806154,Right,VIR_TEC,0ec338ab-8f59-4c37-9d63-cde091e78ae7,54.41059,-133.50474,13.66026,6.57963,-6.52082,-7.54521,-1.78136,7.06757,-1.83749,20.269192,2.08669,105.39932,-10.8599,1.20073,-0.27271,0.04595,-0.00795,0.00173,-0.00022,2.71122,15.33528,-20.6444,1.78913,-0.30578,0.06915,-0.01107,0.00177,-0.00023,0.80285,-10.34232,-0.03319,-0.09516,0.00486,-0.00245,0.00045,-3E-05,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-02-18,14:09:07.81,3,1,"Manning, Grant",1000127618,Right,VIR_TEC,"Yakubinis, JD",1000076539,Right,ETS_BUC,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.54707,-2.453011,-2.965307,1468.809087,223.370394,1:30,6.69231,1.67959,6.53608,-33.78585,13.20698,10.94524,1.62241,-0.13066,69.97423,-8.797804,-0.976964,0.493386,,,,,,,,,,,,-6.60528,8.16934,-1.47799,50,6.50761,5.38034,-110.99581,-5.62111,-8.17459,21.34722,-22.06382,VIR_TEC,ETS_BUC,VATech,D1,ACC,20250218-VATech-1,d5b02530-ee2b-11ef-a56d-99a1243679ed,76.39538,,,6.57284,,,,,,,a24dd5a8-8a9b-4fa1-846d-5adaa3419026,2025-02-18,19:09:07.81,2025-02-18T14:09:07.8180352-05:00,2025-02-18T19:09:07.8180352Z,,v3,2293,4844,,"McCann, David",806154,Right,VIR_TEC,b3303037-868e-4210-911c-11893e6131e3,53.96103,-111.75502,10.67361,6.69357,-4.83642,-11.03191,-1.67451,5.67107,-4.0873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
