PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,15:07:55.35,1,1,"Calder, Ethan",822753,Left,BAY_BEA,"Yukumoto, Ty",1000127057,Right,GON_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.22268,-2.010306,2.546925,2074.355244,160.258076,11:15,5.94743,-1.55886,6.29488,-16.57812,20.62096,-6.95658,2.71081,0.20999,78.56277,-5.205341,1.290675,0.438973,,,,,,,,,,,,4.3217,11.63768,1.3744,50,5.79096,-5.28868,-125.09233,-4.7968,6.82427,26.04671,-13.79739,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250221-Baylor-1,ec00d460-f097-11ef-9695-95160fec123c,85.86511,,,7.65991,,,,,,,2d34a2e2-7581-47fc-b919-ff6602b8c521,2025-02-21,21:07:55.35,2025-02-21T15:07:55.3565696-06:00,2025-02-21T21:07:55.3565696Z,,v3,3033,471307,,"Castle, Cortlan",1000127061,Right,BAY_BEA,8002762d-2a9c-4405-8680-773a7b79536c,54.2051,-125.96487,13.02335,5.94391,-4.3346,-6.89869,1.5554,-5.51729,3.41213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,15:08:10.03,1,2,"Calder, Ethan",822753,Left,BAY_BEA,"Yukumoto, Ty",1000127057,Right,GON_BUL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.08801,-1.046579,2.948704,2207.502801,162.050132,11:30,5.99211,-1.4137,6.30004,-16.8958,19.58159,-5.95185,3.6184,0.80971,79.21728,-4.302554,1.874605,0.434694,,,,,,,,,,,,3.91205,10.80071,1.19935,50,5.90654,-6.26659,-126.3402,-2.7281,6.29781,26.69893,-14.78651,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250221-Baylor-1,f4b6e6d0-f097-11ef-9695-95160fec123c,86.71034,,,7.87073,,,,,,,2d34a2e2-7581-47fc-b919-ff6602b8c521,2025-02-21,21:08:10.03,2025-02-21T15:08:10.0328960-06:00,2025-02-21T21:08:10.0328960Z,,v3,3033,471307,,"Castle, Cortlan",1000127061,Right,BAY_BEA,4e92bb5f-57d7-4b6e-ac87-ed158d67f402,54.19903,-127.22447,13.34947,5.98879,-2.23837,-7.39325,1.41035,-6.47518,3.1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-21,15:08:24.11,1,3,"Calder, Ethan",822753,Left,BAY_BEA,"Yukumoto, Ty",1000127057,Right,GON_BUL,Undefined,1,Top,0,1,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.24731,0.581878,1.329796,2404.426886,280.765161,3:15,5.74038,-2.21073,5.49776,-52.04208,-1.64728,17.2558,1.94801,0.4714,69.0245,-8.904359,4.406098,0.510933,,,,,,,,,,,,-8.40524,-0.6248,2.08201,50,5.75574,-3.16397,-109.23616,-0.54591,-10.06777,20.80271,-32.92245,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250221-Baylor-1,fd095570-f097-11ef-9695-95160fec123c,73.77175,,,6.22281,,,,,,,2d34a2e2-7581-47fc-b919-ff6602b8c521,2025-02-21,21:08:24.11,2025-02-21T15:08:24.1105408-06:00,2025-02-21T21:08:24.1105408Z,,v3,3033,471307,,"Castle, Cortlan",1000127061,Right,BAY_BEA,609f039b-d287-4c87-8b85-904b8ba54d39,55.00736,-110.18562,10.40136,5.74637,0.95672,-16.46123,2.21593,-2.70446,-5.03388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-21,15:08:44.66,1,4,"Calder, Ethan",822753,Left,BAY_BEA,"Yukumoto, Ty",1000127057,Right,GON_BUL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.69252,-0.355389,5.174126,1481.573452,108.280416,9:30,5.69677,-2.01559,6.00015,-39.00604,6.4217,-14.81788,2.11559,1.55729,71.80037,-7.580151,2.522208,0.485101,,,,,,,,,,,,9.04481,3.90579,1.61487,50,5.6476,-9.74795,-113.84827,-1.89313,11.81843,21.76786,-27.07052,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250221-Baylor-1,09514130-f098-11ef-9695-95160fec123c,77.70022,,,6.89215,,,,,,,2d34a2e2-7581-47fc-b919-ff6602b8c521,2025-02-21,21:08:44.66,2025-02-21T15:08:44.6611456-06:00,2025-02-21T21:08:44.6611456Z,,v3,3033,471307,,"Castle, Cortlan",1000127061,Right,BAY_BEA,2f80b9ff-bf6d-416e-a069-3c1d5f9ffd73,54.50078,-114.70559,10.88393,5.70117,-0.82697,-13.53526,2.00796,-10.21342,5.90921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-21,15:09:01.34,1,5,"Calder, Ethan",822753,Left,BAY_BEA,"Yukumoto, Ty",1000127057,Right,GON_BUL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.55583,-1.862518,3.572651,2136.547703,144.963637,10:45,5.76327,-1.73101,6.48557,-19.5469,15.96958,-10.44682,2.4203,0.68303,80.55584,-5.575065,1.681353,0.42893,91.44549,-9.644764,-6.558196,,,,,14.43941,13.10005,-8.795997,0.105511,6.42079,9.18957,1.48412,50,5.62327,-7.54508,-127.11421,-4.66947,10.56971,24.56712,-17.04644,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250221-Baylor-1,133461f0-f098-11ef-9695-95160fec123c,87.8755,2.35508,,6.99999,,,,0.67624,2.35508,-0.66286,2d34a2e2-7581-47fc-b919-ff6602b8c521,2025-02-21,21:09:01.34,2025-02-21T15:09:01.3489152-06:00,2025-02-21T21:09:01.3489152Z,GroundBall,v3,3033,471307,,"Castle, Cortlan",1000127061,Right,BAY_BEA,858ce300-97ac-4558-a330-50ba63784d3d,54.01789,-127.88838,12.28356,5.76196,-4.13229,-8.52322,1.72713,-7.87816,5.28486,186.836987,0.67655,131.31957,-23.61463,,,,,,,2.35487,-22.44474,1.21146,,,,,,,-0.66293,-15.09319,4.26287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-21,15:09:34.73,2,1,"Calder, Ethan",822753,Left,BAY_BEA,"Hankins, Josh",1000119154,Right,GON_BUL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.04281,-1.508836,1.578493,2163.105318,162.058194,11:30,5.97128,-1.5961,6.246,-13.62241,23.73045,-7.2852,3.44353,-0.74689,78.34331,-4.175133,0.263056,0.439879,,,,,,,,,,,,4.20012,13.06489,1.48187,50,5.8517,-3.1517,-124.93189,-3.57688,6.6172,25.91115,-11.59057,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250221-Baylor-1,27202cd0-f098-11ef-9695-95160fec123c,85.68821,,,7.6995,,,,,,,2d34a2e2-7581-47fc-b919-ff6602b8c521,2025-02-21,21:09:34.73,2025-02-21T15:09:34.7378176-06:00,2025-02-21T21:09:34.7378176Z,,v3,3033,471307,,"Castle, Cortlan",1000127061,Right,BAY_BEA,dedcfde3-3b03-47c5-8f7f-153a7ce26c95,54.25384,-125.81105,12.95558,5.96639,-3.18362,-5.79528,1.59261,-3.37622,3.3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-21,15:09:48.06,2,2,"Calder, Ethan",822753,Left,BAY_BEA,"Hankins, Josh",1000119154,Right,GON_BUL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.45995,-1.129212,2.587368,2168.945947,156.658097,11:15,5.70793,-1.84765,6.22572,-14.85056,22.13852,-9.03658,3.42724,-0.21166,78.82006,-4.011845,0.957862,0.437732,72.96157,19.085204,175.438741,1422.750915,-109.65395,15.35402,8.7163,160.52896,60.38392,175.632946,1.851268,5.30296,12.04556,1.65767,50,5.6151,-5.29072,-125.45863,-2.80088,8.45019,25.43187,-12.97965,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250221-Baylor-1,2f0b2710-f098-11ef-9695-95160fec123c,86.10852,17.8165,,7.63989,,,,1.73485,3.46683,0.22905,2d34a2e2-7581-47fc-b919-ff6602b8c521,2025-02-21,21:09:48.06,2025-02-21T15:09:48.0693760-06:00,2025-02-21T21:09:48.0693760Z,LineDrive,v3,3033,471307,,"Castle, Cortlan",1000127061,Right,BAY_BEA,e0bf865f-c7da-40a7-ae2e-0352a95d20ac,54.27175,-126.32159,12.71594,5.70266,-2.36045,-6.48983,1.84206,-5.57745,4.2251,355.671145,1.73484,-100.80756,8.31569,-0.88623,0.18335,0.01475,-0.02726,0.01065,-0.00161,3.46683,34.98959,-22.80324,2.06692,-0.40125,0.09546,-0.02111,0.00501,-0.00066,0.22905,8.04217,-0.95284,0.09342,-0.02014,-0.00248,0.00354,-0.00135,0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-02-21,15:10:05.72,2,3,"Calder, Ethan",822753,Left,BAY_BEA,"Hankins, Josh",1000119154,Right,GON_BUL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,80.70134,-0.674418,3.239084,1447.174361,112.168891,9:45,5.72514,-2.11255,5.95377,-35.2499,8.05847,-16.05458,2.16112,-0.44309,73.26771,-7.234102,0.356463,0.47365,89.26116,-14.105393,-31.783754,,,,,10.8087,3.92447,-22.355428,0.070245,9.28855,4.76839,1.86389,50,5.65169,-6.01648,-116.99466,-2.45732,12.72685,24.43055,-25.64055,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250221-Baylor-1,39958450-f098-11ef-9695-95160fec123c,79.57871,2.24531,,7.43363,,,,2.40089,2.24531,0.5953,2d34a2e2-7581-47fc-b919-ff6602b8c521,2025-02-21,21:10:05.72,2025-02-21T15:10:05.7249792-06:00,2025-02-21T21:10:05.7249792Z,GroundBall,v3,3033,471307,,"Castle, Cortlan",1000127061,Right,BAY_BEA,afac399d-7d21-4640-9b87-ae1e7205b35a,54.54875,-117.94069,12.21528,5.72762,-1.46443,-12.82028,2.10641,-6.50931,6.36342,,2.39863,108.12861,,,,,,,,2.24597,-31.96412,,,,,,,,0.5967,-67.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-02-21,15:10:38.27,3,1,"Calder, Ethan",822753,Left,BAY_BEA,"Eisenstat, Tommy",1000213648,Left,GON_BUL,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.53934,0.225293,2.88204,2420.620842,289.931795,3:45,5.72692,-2.2706,5.41368,-52.74869,-3.80067,14.80765,1.54254,1.66581,70.34814,-9.338286,5.513085,0.503546,,,,,,,,,,,,-6.54138,-1.43421,2.00365,50,5.71058,-6.16326,-110.9686,-1.33444,-8.09494,21.25863,-33.9489,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250221-Baylor-1,4d028240-f098-11ef-9695-95160fec123c,74.85405,,,6.19121,,,,,,,2d34a2e2-7581-47fc-b919-ff6602b8c521,2025-02-21,21:10:38.27,2025-02-21T15:10:38.2725120-06:00,2025-02-21T21:10:38.2725120Z,,v3,3033,471307,,"Castle, Cortlan",1000127061,Right,BAY_BEA,1983c607-3570-4021-87bc-631b0d79e40b,55.08946,-111.93936,10.62932,5.73612,0.21581,-16.97445,2.27666,-5.79361,-4.04747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-21,15:10:54.78,3,2,"Calder, Ethan",822753,Left,BAY_BEA,"Eisenstat, Tommy",1000213648,Left,GON_BUL,Undefined,1,Top,2,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.73341,-1.527713,3.363571,2097.426864,149.905972,11:00,5.79185,-1.70101,6.39347,-18.84021,17.87647,-9.64351,2.8139,0.59271,78.86738,-5.140304,1.620529,0.436117,64.11991,49.278222,-142.99341,4457.6016,-96.56853,53.20413,-52.6736,161.69403,67.356,-156.567734,3.484501,6.05256,10.15938,1.46338,50,5.67307,-7.02849,-125.81412,-3.85191,9.63998,27.0372,-15.99312,BAY_BEA,GON_BUL,Baylor,D1,BIG12,20250221-Baylor-1,56cebfa0-f098-11ef-9695-95160fec123c,86.42734,57.15921,,7.86603,,,,1.96251,2.94248,-0.59622,2d34a2e2-7581-47fc-b919-ff6602b8c521,2025-02-21,21:10:54.78,2025-02-21T15:10:54.7881472-06:00,2025-02-21T21:10:54.7881472Z,Popup,v3,3033,471307,,"Castle, Cortlan",1000127061,Right,BAY_BEA,da7c30f6-ac38-48ff-8c51-d5bdb0b224be,54.10876,-126.69401,13.5186,5.78995,-3.33144,-7.99656,1.69722,-7.34221,4.81999,31.642013,1.96198,-48.97498,-0.8933,1.56795,-0.63327,0.22902,-0.04678,0.00424,-0.0001,2.94306,71.25413,-27.10776,2.92162,-0.27343,-0.14926,0.08052,-0.01541,0.00107,-0.5974,-36.88869,6.72687,-0.22176,-0.54845,0.39128,-0.11995,0.01735,-0.00097,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
