PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,15:01:24.63,1,1,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Hamacher, Benjamin",1000051629,Right,GEO_COL1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.33787,-1.057574,2.039898,1840.086704,141.896659,10:45,6.022,-1.77445,6.44828,-21.33958,15.52761,-11.21768,3.27129,-0.83421,78.5943,-5.128011,0.00601,0.43701,,,,,,,,,,,,6.41024,8.78186,1.63421,50,5.93723,-4.02798,-125.38288,-2.88752,10.15214,26.5657,-18.26595,NOR_GEO3,GEO_COL1,BobSteinStadium,D2,NCAAPB,20250221-BobSteinStadium-1,f6bcb800-f08e-11ef-a131-df145fe2ce0c,86.25073,,,7.74357,,,,,,,564e41ad-f49d-47f8-8f6b-d7c1032006be,2025-02-21,20:01:24.63,2025-02-21T15:01:24.6393344-05:00,2025-02-21T20:01:24.6393344Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,4b382c8d-375a-4f74-b421-c90ec835b07c,54.04963,-126.23798,13.28285,6.02072,-2.29957,-9.13297,1.76913,-4.35476,5.07607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,15:01:39.97,1,2,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Hamacher, Benjamin",1000051629,Right,GEO_COL1,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.76335,-0.711101,3.183817,1988.868745,147.15427,11:00,5.94765,-1.74895,6.26293,-17.86946,18.25473,-10.98079,3.80183,0.27459,79.44521,-4.150921,1.203437,0.432584,,,,,,,,,,,,6.59307,10.01717,1.51756,50,5.88585,-6.62523,-127.2535,-2.04328,10.71938,28.17954,-15.88756,NOR_GEO3,GEO_COL1,BobSteinStadium,D2,NCAAPB,20250221-BobSteinStadium-1,ffe5fea0-f08e-11ef-a131-df145fe2ce0c,87.13323,,,8.31814,,,,,,,564e41ad-f49d-47f8-8f6b-d7c1032006be,2025-02-21,20:01:39.97,2025-02-21T15:01:39.9752192-05:00,2025-02-21T20:01:39.9752192Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,cc779d3e-553d-442e-a839-74cba5ae0e27,54.23377,-128.18762,14.08977,5.94485,-1.51663,-7.94378,1.74307,-6.98056,5.35969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-21,15:01:56.14,1,3,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Hamacher, Benjamin",1000051629,Right,GEO_COL1,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.85467,-1.157871,3.647291,1932.583578,136.402812,10:30,5.89975,-1.6864,6.28028,-22.23812,14.48733,-12.63394,2.97702,0.62713,79.08947,-5.372914,1.368743,0.436169,,,,,,,,,,,,7.57276,8.21788,1.42253,50,5.80324,-7.52389,-125.94544,-3.18427,12.11659,26.50086,-19.02528,NOR_GEO3,GEO_COL1,BobSteinStadium,D2,NCAAPB,20250221-BobSteinStadium-1,09869820-f08f-11ef-a131-df145fe2ce0c,86.41703,,,7.7652,,,,,,,564e41ad-f49d-47f8-8f6b-d7c1032006be,2025-02-21,20:01:56.14,2025-02-21T15:01:56.1443328-05:00,2025-02-21T20:01:56.1443328Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,b4be2b95-f512-4edd-bcdf-321bdcabeeda,54.21833,-126.82994,13.25043,5.89892,-2.54928,-9.51264,1.6804,-7.92829,6.05829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-21,15:02:11.24,1,4,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Hamacher, Benjamin",1000051629,Right,GEO_COL1,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,79.41214,-1.3313,2.967745,1688.661693,105.803942,9:30,5.90271,-1.90177,6.00514,-38.96034,5.84949,-14.94461,1.42065,-0.39499,72.0404,-8.560781,0.278586,0.48179,84.95574,1.104867,-18.327872,2100.76984,,,,45.12739,41.77077,-18.281201,0.363442,8.67115,3.89347,1.67658,50,5.77671,-5.4136,-115.09559,-3.85827,11.44884,24.49098,-27.03339,NOR_GEO3,GEO_COL1,BobSteinStadium,D2,NCAAPB,20250221-BobSteinStadium-1,12a44600-f08f-11ef-a131-df145fe2ce0c,78.23413,1.62895,,7.37174,,,,1.99276,1.55271,0.36544,564e41ad-f49d-47f8-8f6b-d7c1032006be,2025-02-21,20:02:11.24,2025-02-21T15:02:11.2471552-05:00,2025-02-21T20:02:11.2471552Z,GroundBall,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,3277b38e-f25f-46c3-a3e2-c04afda9ee66,54.49459,-116.04805,12.24549,5.90632,-2.80695,-13.51669,1.89577,-5.85884,5.72442,72.097912,1.99738,118.08963,-15.67699,,,,,,,1.55656,2.26156,-18.03549,,,,,,,0.36766,-39.25621,-1.95357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-02-21,15:02:40.23,2,1,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Smith, Braeden",10002465,Left,GEO_COL1,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.0665,0.011156,3.482194,1920.471249,144.668238,10:45,6.08047,-1.74533,6.3586,-17.67643,18.84202,-12.48146,4.61772,0.42338,78.87584,-3.40207,1.228421,0.434938,,,,,,,,,,,,7.46402,10.13528,1.49793,50,6.07262,-7.18031,-126.26356,-0.41267,11.96804,27.33075,-15.9228,NOR_GEO3,GEO_COL1,BobSteinStadium,D2,NCAAPB,20250221-BobSteinStadium-1,23cf4330-f08f-11ef-a131-df145fe2ce0c,86.66159,,,8.19066,,,,,,,564e41ad-f49d-47f8-8f6b-d7c1032006be,2025-02-21,20:02:40.23,2025-02-21T15:02:40.2306560-05:00,2025-02-21T20:02:40.2306560Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,04caa2fd-4f32-4257-ab1f-6853c2257465,54.13871,-127.15626,13.66537,6.07761,0.10741,-7.9614,1.73884,-7.57121,5.98402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-21,15:02:55.63,2,2,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Smith, Braeden",10002465,Left,GEO_COL1,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.50585,-2.289716,4.196459,2007.468381,128.161825,10:15,5.85277,-1.76302,6.33939,-21.61174,14.74788,-17.13682,1.93687,0.67949,79.33819,-6.398097,1.103628,0.433991,,,,,,,,,,,,10.15658,8.74623,1.46461,50,5.67537,-8.61436,-126.70631,-5.68572,16.3569,28.15066,-18.08847,NOR_GEO3,GEO_COL1,BobSteinStadium,D2,NCAAPB,20250221-BobSteinStadium-1,2d0ef800-f08f-11ef-a131-df145fe2ce0c,86.85068,,,8.16767,,,,,,,564e41ad-f49d-47f8-8f6b-d7c1032006be,2025-02-21,20:02:55.63,2025-02-21T15:02:55.6380160-05:00,2025-02-21T20:02:55.6380160Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,64359508-17e4-4a10-80bb-a72fa611fbbd,54.15962,-127.62712,14.07533,5.85167,-5.09404,-9.04424,1.75514,-9.14939,8.17845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-21,15:03:10.71,2,3,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Smith, Braeden",10002465,Left,GEO_COL1,Undefined,1,Top,1,1,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,77.41452,0.038724,2.354993,2203.36274,315.088052,4:30,5.86593,-1.97648,6.07934,-46.36837,0.52217,1.10945,2.03776,0.29613,70.4306,-8.54068,2.554894,0.492849,76.10301,-32.048723,29.975036,,,,,3.97951,1.74191,20.299429,0.029042,0.18063,0.71634,1.79376,50,5.8445,-4.65858,-112.31351,-1.31194,0.2274,23.09201,-31.27231,NOR_GEO3,GEO_COL1,BobSteinStadium,D2,NCAAPB,20250221-BobSteinStadium-1,361af2a0-f08f-11ef-a131-df145fe2ce0c,76.47864,1.72376,,6.98392,,,,1.34725,1.72376,0.00494,564e41ad-f49d-47f8-8f6b-d7c1032006be,2025-02-21,20:03:10.71,2025-02-21T15:03:10.7132928-05:00,2025-02-21T20:03:10.7132928Z,GroundBall,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,fcbfd864-6008-4c5c-801d-28c844c2d987,54.42047,-113.21873,11.54601,5.87191,-0.08606,-15.63616,1.97655,-4.66749,0.1137,,1.34644,82.12588,,,,,,,,1.72434,-59.35412,,,,,,,,0.00448,47.3677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2025-02-21,15:03:41.37,3,1,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Phillips, Carson",1000364893,Right,GEO_COL1,Undefined,1,Top,2,0,0,ChangeUp,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.3626,0.122854,1.095445,1958.645316,338.614054,5:15,5.90736,-2.01516,5.94437,-53.41901,-4.59579,2.5161,1.56975,-0.78923,69.03595,-9.723695,1.548648,0.502904,,,,,,,,,,,,-0.90008,-1.78984,1.92653,50,5.88798,-2.21085,-110.73446,-1.42527,-1.0911,24.14685,-34.34369,NOR_GEO3,GEO_COL1,BobSteinStadium,D2,NCAAPB,20250221-BobSteinStadium-1,4866f030-f08f-11ef-a131-df145fe2ce0c,74.94963,,,7.32665,,,,,,,564e41ad-f49d-47f8-8f6b-d7c1032006be,2025-02-21,20:03:41.37,2025-02-21T15:03:41.3776896-05:00,2025-02-21T20:03:41.3776896Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,1d76cebd-2c1e-4b8e-9988-a022d006900d,54.55376,-111.72304,12.07343,5.91755,-0.01922,-17.17184,2.01613,-2.16618,-0.54555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-21,15:03:57.67,3,2,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Phillips, Carson",1000364893,Right,GEO_COL1,Undefined,1,Top,2,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.94482,-3.33265,3.902918,1968.074345,140.340867,10:45,5.94087,-1.67531,6.51486,-17.7832,19.18367,-14.72501,1.39021,0.68461,78.14789,-6.780395,1.236131,0.4376,,,,,,,,,,,,9.02107,11.57461,1.40875,50,5.69991,-8.01369,-125.75253,-7.76339,14.16113,30.18138,-14.00439,NOR_GEO3,GEO_COL1,BobSteinStadium,D2,NCAAPB,20250221-BobSteinStadium-1,52145af0-f08f-11ef-a131-df145fe2ce0c,86.13438,,,8.79693,,,,,,,564e41ad-f49d-47f8-8f6b-d7c1032006be,2025-02-21,20:03:57.67,2025-02-21T15:03:57.6726528-05:00,2025-02-21T20:03:57.6726528Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,304b1fe9-4c9b-4b5a-8e0f-946ebb153a2f,53.98335,-126.70495,15.09069,5.93793,-7.32146,-7.0022,1.66869,-8.46057,7.08056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-21,15:04:14.36,3,3,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Phillips, Carson",1000364893,Right,GEO_COL1,Undefined,1,Top,2,2,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.0404,-2.240856,3.665776,1974.475492,140.228233,10:45,5.98392,-1.63193,6.3795,-17.27048,19.81056,-15.28922,2.47785,0.47108,77.94999,-5.604165,0.903264,0.438276,,,,,,,,,,,,9.22729,11.50048,1.37413,50,5.81398,-7.47078,-125.9827,-5.35418,14.50145,30.87748,-14.10011,NOR_GEO3,GEO_COL1,BobSteinStadium,D2,NCAAPB,20250221-BobSteinStadium-1,5c00ca80-f08f-11ef-a131-df145fe2ce0c,86.00164,,,9.09041,,,,,,,564e41ad-f49d-47f8-8f6b-d7c1032006be,2025-02-21,20:04:14.36,2025-02-21T15:04:14.3657984-05:00,2025-02-21T20:04:14.3657984Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,5f7ae11d-450a-4dd1-bdd7-3c78f3cfdc27,54.11846,-126.98809,15.43874,5.98084,-4.89507,-7.05006,1.62508,-7.94296,7.25072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
