PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,14:07:58.14,1,1,"Havard, Peyton",1000052282,Right,LAM_CAR,"Myers, Luke",10012823,Left,ALB_GRE,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.10326,-2.299807,-1.530295,2020.06198,203.212298,12:45,5.78234,0.60762,6.05153,-14.67883,19.33899,7.75394,2.42828,-0.16314,81.99013,-5.147212,-0.134797,0.419783,,,,,,,,,,,,-4.45484,11.03304,-0.49252,50,5.59541,3.18708,-132.01658,-5.68091,-7.73404,32.37047,-13.01965,LAM_CAR,ALB_GRE,LamarUniversity,D1,SLAND,20250221-LamarUniversity-1,8bd97a90-f08f-11ef-a91a-4b78ac7f9b7d,89.79035,,,9.11313,,,,,,,13e79261-3fc7-4dda-9912-335d176fa166,2025-02-21,20:07:58.14,2025-02-21T14:07:58.1450000-06:00,2025-02-21T20:07:58.1450000Z,,v3,471334,albany,,"Skinner, Zak",1000125749,Right,LAM_CAR,8115c0fb-f09f-4b73-9b28-2b40fb2c533a,54.44311,-133.10157,16.18524,5.7785,-5.24451,-6.50983,-0.60369,3.44631,-3.86702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,14:08:09.84,1,2,"Havard, Peyton",1000052282,Right,LAM_CAR,"Myers, Luke",10012823,Left,ALB_GRE,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.39447,-1.426025,-1.450937,2021.263061,204.974561,12:45,5.76487,0.41872,6.12597,-15.9545,17.59206,7.63863,3.11642,-0.28626,82.5168,-4.501458,-0.074229,0.416865,76.20424,15.731441,173.936381,2209.941282,-109.83203,10.39725,6.07546,147.01389,43.56067,177.862254,1.627407,-4.30567,9.80406,-0.31106,50,5.64709,3.01115,-132.52994,-3.72289,-7.57026,31.34847,-14.93649,LAM_CAR,ALB_GRE,LamarUniversity,D1,SLAND,20250221-LamarUniversity-1,92da8a00-f08f-11ef-a91a-4b78ac7f9b7d,90.41885,13.77643,,8.87768,,,,1.83319,3.03801,0.25218,13e79261-3fc7-4dda-9912-335d176fa166,2025-02-21,20:08:09.84,2025-02-21T14:08:09.8480000-06:00,2025-02-21T20:08:09.8480000Z,LineDrive,v3,471334,albany,,"Skinner, Zak",1000125749,Right,LAM_CAR,5e507989-ef97-458e-9b82-83fb2c4a52b2,54.36623,-133.55872,15.67423,5.76122,-3.23271,-7.46824,-0.41396,3.25959,-3.78513,302.868069,1.68511,-105.69992,8.88854,,,,,,,3.35206,27.62941,-18.34657,,,,,,,0.44178,9.72208,-4.12955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2025-02-21,14:08:25.46,1,3,"Havard, Peyton",1000052282,Right,LAM_CAR,"Myers, Luke",10012823,Left,ALB_GRE,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.91036,0.479049,-1.990469,2360.177042,74.856152,8:30,5.44566,1.18017,5.67668,-45.20211,-2.53264,-14.92713,2.12569,-1.9201,74.24402,-7.816474,-4.657821,0.470143,,,,,,,,,,,,6.9041,-0.98079,-1.00287,50,5.45799,4.73061,-118.75121,-0.55704,9.68129,26.55938,-33.54935,LAM_CAR,ALB_GRE,LamarUniversity,D1,SLAND,20250221-LamarUniversity-1,9c17cdd0-f08f-11ef-a91a-4b78ac7f9b7d,80.17229,,,7.66634,,,,,,,13e79261-3fc7-4dda-9912-335d176fa166,2025-02-21,20:08:25.46,2025-02-21T14:08:25.4620000-06:00,2025-02-21T20:08:25.4620000Z,,v3,471334,albany,,"Skinner, Zak",1000125749,Right,LAM_CAR,528bd351-4a8f-48b8-baf3-08ff090846fe,54.82148,-119.82472,13.27969,5.4531,0.79898,-16.77468,-1.18617,4.33931,4.84065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-21,14:08:39.49,1,4,"Havard, Peyton",1000052282,Right,LAM_CAR,"Myers, Luke",10012823,Left,ALB_GRE,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.92672,-0.263921,-3.298714,2349.981799,80.07502,8:45,5.48044,1.07788,5.65767,-42.41105,-0.75244,-12.53414,1.69965,-3.04631,75.40137,-8.028306,-5.53292,0.464541,,,,,,,,,,,,5.27063,0.16413,-0.79049,50,5.43159,7.4367,-120.10514,-2.02263,7.58029,26.60413,-31.938,LAM_CAR,ALB_GRE,LamarUniversity,D1,SLAND,20250221-LamarUniversity-1,a46dbee0-f08f-11ef-a91a-4b78ac7f9b7d,81.13918,,,7.52535,,,,,,,13e79261-3fc7-4dda-9912-335d176fa166,2025-02-21,20:08:39.49,2025-02-21T14:08:39.4930000-06:00,2025-02-21T20:08:39.4930000Z,,v3,471334,albany,,"Skinner, Zak",1000125749,Right,LAM_CAR,1af36f17-fb20-449e-8540-94a76bc5d6d9,54.83983,-121.17246,13.30207,5.48703,-0.74133,-15.969,-1.08274,7.13259,3.79014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-21,14:08:53.93,1,5,"Havard, Peyton",1000052282,Right,LAM_CAR,"Myers, Luke",10012823,Left,ALB_GRE,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.94437,-1.88374,-1.068425,2180.746664,212.033776,1:00,5.80099,0.68561,5.86367,-15.30099,19.14529,11.16701,2.77503,0.62354,81.61982,-4.842567,0.934842,0.422418,85.47354,22.989275,-20.17651,2397.092285,103.2308,41.80031,-37.99065,301.56308,291.51016,-19.43247,4.041926,-6.06642,10.78816,-0.60557,50,5.63963,1.96804,-131.79529,-4.75712,-10.46039,33.14705,-13.57199,LAM_CAR,ALB_GRE,LamarUniversity,D1,SLAND,20250221-LamarUniversity-1,ad068550-f08f-11ef-a91a-4b78ac7f9b7d,89.23017,50.31236,,9.32455,,,,1.59335,2.84969,-0.64088,13e79261-3fc7-4dda-9912-335d176fa166,2025-02-21,20:08:53.93,2025-02-21T14:08:53.9370000-06:00,2025-02-21T20:08:53.9370000Z,LineDrive,v3,471334,albany,,"Skinner, Zak",1000125749,Right,LAM_CAR,84d58c80-a7ac-4347-8e0e-81b848fb1d11,54.63236,-132.95525,16.57352,5.7978,-4.28218,-6.78599,-0.68085,2.33409,-5.23019,178.484843,1.59278,108.34149,-19.8548,4.97678,-1.17829,0.28734,-0.06234,0.00883,-0.00054,2.851,48.91961,-12.0068,-1.03077,0.74769,-0.32097,0.08798,-0.01288,0.00075,-0.64062,-39.81181,6.95295,-1.39807,0.29919,-0.08474,0.02242,-0.00355,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-21,14:09:22.44,2,1,"Havard, Peyton",1000052282,Right,LAM_CAR,"Filippi, Luke",1000220811,Right,ALB_GRE,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.22386,1.180431,0.085253,2516.802146,77.744813,8:30,5.37185,1.27131,5.57646,-45.80565,-2.53351,-18.43454,2.65738,-0.18527,73.82734,-7.220484,-3.207048,0.473452,,,,,,,,,,,,9.31697,-1.18598,-1.26645,50,5.4437,0.57459,-117.86854,0.84255,12.94932,24.92269,-33.82239,LAM_CAR,ALB_GRE,LamarUniversity,D1,SLAND,20250221-LamarUniversity-1,be25c2b0-f08f-11ef-a91a-4b78ac7f9b7d,79.61202,,,7.39652,,,,,,,13e79261-3fc7-4dda-9912-335d176fa166,2025-02-21,20:09:22.44,2025-02-21T14:09:22.4460000-06:00,2025-02-21T20:09:22.4460000Z,,v3,471334,albany,,"Skinner, Zak",1000125749,Right,LAM_CAR,7a10553e-5490-4b1f-98d9-f1e7342713ef,54.92285,-118.90489,12.46135,5.37942,2.24898,-16.91119,-1.27914,0.03612,6.47466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-21,14:09:33.48,2,2,"Havard, Peyton",1000052282,Right,LAM_CAR,"Filippi, Luke",1000220811,Right,ALB_GRE,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.79996,2.592995,-0.609015,2403.952436,67.601148,8:15,5.36306,1.1788,5.28532,-47.10436,-2.9039,-10.64528,3.87449,-0.28023,73.31423,-6.009511,-2.497286,0.478503,,,,,,,,,,,,5.08618,-1.7202,-1.11541,50,5.56544,1.69734,-117.08583,3.6001,6.99823,23.92893,-34.54092,LAM_CAR,ALB_GRE,LamarUniversity,D1,SLAND,20250221-LamarUniversity-1,c499ad50-f08f-11ef-a91a-4b78ac7f9b7d,78.77156,,,7.48573,,,,,,,13e79261-3fc7-4dda-9912-335d176fa166,2025-02-21,20:09:33.48,2025-02-21T14:09:33.4820000-06:00,2025-02-21T20:09:33.4820000Z,,v3,471334,albany,,"Skinner, Zak",1000125749,Right,LAM_CAR,de6bc231-e716-4859-964a-b32728270206,55.21232,-118.14627,11.96447,5.37198,5.13083,-17.27046,-1.18376,1.3872,3.49912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-21,14:09:45.35,2,3,"Havard, Peyton",1000052282,Right,LAM_CAR,"Filippi, Luke",1000220811,Right,ALB_GRE,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.46481,-0.942519,-0.979215,2130.590612,213.578877,1:00,5.78164,0.58826,5.88076,-16.23859,17.70859,10.92623,3.55293,0.58931,82.17279,-4.069156,0.981394,0.419347,71.69677,44.90342,161.29517,4645.02114,-107.19046,54.22895,24.70193,178.10482,63.60455,171.013216,3.371048,-5.92453,9.73422,-0.5156,50,5.69641,1.78904,-132.63991,-2.65165,-10.36343,33.1634,-15.14654,LAM_CAR,ALB_GRE,LamarUniversity,D1,SLAND,20250221-LamarUniversity-1,cbb0b5c0-f08f-11ef-a91a-4b78ac7f9b7d,89.88369,55.04884,,9.29202,,,,1.42458,3.5881,-0.58236,13e79261-3fc7-4dda-9912-335d176fa166,2025-02-21,20:09:45.35,2025-02-21T14:09:45.3530000-06:00,2025-02-21T20:09:45.3530000Z,FlyBall,v3,471334,albany,,"Skinner, Zak",1000125749,Right,LAM_CAR,cff90103-3cf2-4c0f-acda-db4213962325,54.61586,-133.78901,16.5817,5.7792,-2.12682,-7.57327,-0.58381,2.14813,-5.18171,336.649951,1.42339,-70.50497,2.50616,2.46408,-1.4948,0.69509,-0.1892,0.02617,-0.00143,3.5884,74.21722,-32.38747,4.9413,-0.72698,-0.10993,0.10513,-0.02415,0.00191,-0.5817,23.86115,-6.59702,0.65025,0.34126,-0.32335,0.115,-0.01917,0.00124,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-02-21,14:10:00.90,2,4,"Havard, Peyton",1000052282,Right,LAM_CAR,"Filippi, Luke",1000220811,Right,ALB_GRE,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.36282,-1.922547,-2.411711,1532.075097,258.019483,2:30,5.5948,0.98467,6.0247,-33.87636,5.42327,18.06462,0.98893,0.25509,76.29019,-8.246928,0.842676,0.451196,,,,,,,,,,,,-10.22642,3.92677,-0.8058,50,5.42611,4.48041,-123.5757,-5.24117,-15.32225,31.75038,-26.29055,LAM_CAR,ALB_GRE,LamarUniversity,D1,SLAND,20250221-LamarUniversity-1,d4fe7450-f08f-11ef-a91a-4b78ac7f9b7d,83.53886,,,9.07263,,,,,,,13e79261-3fc7-4dda-9912-335d176fa166,2025-02-21,20:10:00.90,2025-02-21T14:10:00.9040000-06:00,2025-02-21T20:10:00.9040000Z,,v3,471334,albany,,"Skinner, Zak",1000125749,Right,LAM_CAR,d57ba73c-7dc8-46fe-9341-e1444d0d5bac,54.47224,-124.71947,15.87519,5.59786,-4.2941,-13.14528,-0.97714,5.03237,-7.66113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-21,14:10:14.17,2,5,"Havard, Peyton",1000052282,Right,LAM_CAR,"Filippi, Luke",1000220811,Right,ALB_GRE,Undefined,1,Top,1,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.15087,0.833525,-1.42787,2458.057062,79.629027,8:45,5.29089,1.02974,5.77307,-45.12124,-1.32961,-16.57965,2.30673,-1.68088,72.67466,-7.507697,-4.396795,0.476285,,,,,,,,,,,,8.01091,-0.59323,-0.90126,50,5.33255,3.57319,-117.5792,0.23129,10.86851,28.70006,-32.97888,LAM_CAR,ALB_GRE,LamarUniversity,D1,SLAND,20250221-LamarUniversity-1,dceb4350-f08f-11ef-a91a-4b78ac7f9b7d,79.13839,,,8.47622,,,,,,,13e79261-3fc7-4dda-9912-335d176fa166,2025-02-21,20:10:14.17,2025-02-21T14:10:14.1730000-06:00,2025-02-21T20:10:14.1730000Z,,v3,471334,albany,,"Skinner, Zak",1000125749,Right,LAM_CAR,0cec2643-a82a-41cc-9095-c20519242dc5,54.7254,-118.72702,14.35003,5.29692,1.55025,-16.48944,-1.03547,3.13851,5.43426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.22944,3.04083,1.84957,1.19126,4.75199,2.73048,1.4299,-1.69287,6.69811,-2.65559,65.64195,8.74371,-59.14331,-1.6154,61.54043,-4.26925,6.73954,17.38838,-13.18563,-2.73573,-52.43854,4.27437,High,High,High,,,High,Medium,High
