PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,16:03:08.67,1,1,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Haskell, Logan",1000119429,Right,BIN_BEA,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.82347,-1.556683,-1.587273,1761.443012,240.013361,2:00,5.73321,0.77095,6.13681,-20.21348,13.5993,21.17619,2.60911,1.06824,81.61071,-5.428784,2.23217,0.418516,,,,,,,,,,,,-11.44438,7.97532,-0.66012,50,5.60412,2.75353,-132.99827,-4.22096,-19.85216,36.90033,-18.33955,ELO_PHO,BIN_BEA,LathamPark,D1,CAA,20250221-LathamPark-1,40f969b0-f097-11ef-8267-a7847330cbdd,90.06215,,,10.21276,,,,,,,7c280ca8-05b5-435f-ba9a-eb1da53a0d9a,2025-02-21,21:03:08.67,2025-02-21T16:03:08.6706688-05:00,2025-02-21T21:03:08.6706688Z,,v3,471503,471242,21 February 2025 16:00-sunybing@elon,"Duffey, Alex",824545,Right,ELO_PHO,7cac3cf7-7244-40d7-9798-2ea276bf5fa8,54.35938,-134.20232,18.45016,5.73209,-3.62255,-9.16978,-0.76054,3.4013,-9.92608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,16:03:24.43,1,2,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Haskell, Logan",1000119429,Right,BIN_BEA,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.90485,-0.969717,-0.53707,1746.861406,239.574707,2:00,5.6738,0.87907,5.89934,-21.00458,12.6545,19.42174,3.02303,1.99893,82.57559,-4.94527,2.950387,0.417563,,,,,,,,,,,,-10.05957,7.15835,-0.84671,50,5.58397,0.37822,-133.27634,-2.93495,-17.73155,33.98852,-19.55632,ELO_PHO,BIN_BEA,LathamPark,D1,CAA,20250221-LathamPark-1,4a6b2b00-f097-11ef-8267-a7847330cbdd,90.26758,,,9.32925,,,,,,,7c280ca8-05b5-435f-ba9a-eb1da53a0d9a,2025-02-21,21:03:24.43,2025-02-21T16:03:24.4370432-05:00,2025-02-21T21:03:24.4370432Z,,v3,471503,471242,21 February 2025 16:00-sunybing@elon,"Duffey, Alex",824545,Right,ELO_PHO,31959f56-240f-4f62-8c61-70cb52ab9632,54.59814,-134.44386,16.99426,5.67324,-2.26318,-9.77816,-0.87016,0.9873,-8.86577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-21,16:03:41.85,1,3,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Haskell, Logan",1000119429,Right,BIN_BEA,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.30167,-2.817781,-2.962068,1929.549177,221.025322,1:15,5.65237,0.75507,5.98428,-15.09639,18.13552,14.71859,1.77696,-0.76635,83.22434,-5.726259,-0.319376,0.414905,,,,,,,,,,,,-8.50607,10.56615,-0.52912,50,5.42119,6.27236,-133.63389,-7.00775,-15.15967,32.67542,-13.34292,ELO_PHO,BIN_BEA,LathamPark,D1,CAA,20250221-LathamPark-1,54c92110-f097-11ef-8267-a7847330cbdd,90.84586,,,9.07733,,,,,,,7c280ca8-05b5-435f-ba9a-eb1da53a0d9a,2025-02-21,21:03:41.85,2025-02-21T16:03:41.8571264-05:00,2025-02-21T21:03:41.8571264Z,,v3,471503,471242,21 February 2025 16:00-sunybing@elon,"Duffey, Alex",824545,Right,ELO_PHO,7e8e87a9-8f36-4415-af62-a11f3d3cb77b,54.51444,-134.73322,16.33771,5.64941,-6.55884,-6.67146,-0.74873,6.78239,-7.57984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-21,16:03:59.16,1,4,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Haskell, Logan",1000119429,Right,BIN_BEA,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.18885,-2.08905,-0.900201,1863.247711,228.35107,1:30,5.71056,0.86316,5.74648,-15.76127,17.83481,18.66261,2.45102,1.58018,82.99114,-5.108768,2.440766,0.417173,,,,,,,,,,,,-9.76859,10.10953,-0.79982,50,5.5275,1.25378,-133.61431,-5.34048,-17.3569,33.39062,-14.2114,ELO_PHO,BIN_BEA,LathamPark,D1,CAA,20250221-LathamPark-1,5f1e6490-f097-11ef-8267-a7847330cbdd,90.35214,,,9.19771,,,,,,,7c280ca8-05b5-435f-ba9a-eb1da53a0d9a,2025-02-21,21:03:59.16,2025-02-21T16:03:59.1684096-05:00,2025-02-21T21:03:59.1684096Z,,v3,471503,471242,21 February 2025 16:00-sunybing@elon,"Duffey, Alex",824545,Right,ELO_PHO,2323b902-86ed-4ff1-bd04-354b26054af9,54.75175,-134.79656,16.69531,5.70768,-4.8373,-7.1057,-0.85509,1.86833,-8.67845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-21,16:04:21.03,1,5,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Haskell, Logan",1000119429,Right,BIN_BEA,Undefined,1,Top,0,2,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.13896,-2.01955,-2.177545,1817.62413,249.847174,2:15,5.68026,0.71794,6.4256,-23.6545,9.37233,22.04312,1.85059,0.55232,82.5252,-6.508496,1.821212,0.413623,,,,,,,,,,,,-12.26343,5.97343,-0.57195,50,5.52566,4.16303,-133.57209,-5.44058,-21.58744,35.64552,-21.65894,ELO_PHO,BIN_BEA,LathamPark,D1,CAA,20250221-LathamPark-1,6c1e2ea0-f097-11ef-8267-a7847330cbdd,91.1275,,,9.61376,,,,,,,7c280ca8-05b5-435f-ba9a-eb1da53a0d9a,2025-02-21,21:04:21.03,2025-02-21T16:04:21.0310000-05:00,2025-02-21T21:04:21.0310000Z,,v3,471503,471242,21 February 2025 16:00-sunybing@elon,"Duffey, Alex",824545,Right,ELO_PHO,172df87c-8b62-46b6-b17a-9508c7651e81,54.07314,-134.65467,17.82276,5.68091,-4.78279,-10.82947,-0.70834,4.81866,-10.79372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.88311,2.25634,1.166643,1.089697,0.87284,1.78826,-0.56981,-1.69077,6.30748,-0.52425,70.88305,7.42715,-53.91863,-1.6198,72.23607,-5.23066,6.3424,15.07167,-12.91605,-0.61858,-55.54177,6.08183,High,High,High,,,High,High,High
6,2025-02-21,16:04:49.08,2,1,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Bolton, Matthew",10106000,Left,BIN_BEA,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.55229,-1.829205,-0.938926,1790.526207,239.985339,2:00,5.64471,1.06209,6.35648,-21.63308,12.07485,18.53891,2.15756,1.74274,81.51406,-5.965168,2.420155,0.417866,,,,,,,,,,,,-9.88886,7.3437,-1.0016,50,5.50216,1.37498,-132.66035,-4.87637,-17.07615,36.57365,-19.49291,ELO_PHO,BIN_BEA,LathamPark,D1,CAA,20250221-LathamPark-1,7cd868a0-f097-11ef-8267-a7847330cbdd,90.20211,,,10.03822,,,,,,,7c280ca8-05b5-435f-ba9a-eb1da53a0d9a,2025-02-21,21:04:49.08,2025-02-21T16:04:49.0836992-05:00,2025-02-21T21:04:49.0836992Z,,v3,471503,471242,21 February 2025 16:00-sunybing@elon,"Duffey, Alex",824545,Right,ELO_PHO,e815b291-225a-4e6e-a864-c971813918fa,54.13869,-133.79649,18.28682,5.64424,-4.27083,-9.74645,-1.05255,1.90544,-8.53808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-21,16:05:04.39,2,2,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Bolton, Matthew",10106000,Left,BIN_BEA,Undefined,1,Top,1,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.95685,-2.679766,-1.72611,1783.736529,242.746459,2:00,5.5289,0.82824,6.06774,-23.36218,10.55721,18.20324,1.09916,0.74728,82.6128,-7.056935,1.55478,0.419175,,,,,,,,,,,,-9.99997,6.61961,-0.70436,50,5.30856,3.22323,-131.92628,-6.93373,-17.42106,31.08102,-20.64194,ELO_PHO,BIN_BEA,LathamPark,D1,CAA,20250221-LathamPark-1,85eec380-f097-11ef-8267-a7847330cbdd,89.92052,,,8.34405,,,,,,,7c280ca8-05b5-435f-ba9a-eb1da53a0d9a,2025-02-21,21:05:04.39,2025-02-21T16:05:04.3911168-05:00,2025-02-21T21:05:04.3911168Z,,v3,471503,471242,21 February 2025 16:00-sunybing@elon,"Duffey, Alex",824545,Right,ELO_PHO,725cbc1c-ecca-4d03-a1bb-93f8392f473a,54.43335,-132.96664,15.54051,5.52908,-6.24279,-10.32097,-0.82201,3.80636,-8.71053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-21,16:05:20.29,2,3,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Bolton, Matthew",10106000,Left,BIN_BEA,Undefined,1,Top,1,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.1611,-2.121748,-2.70699,1842.048998,223.637781,1:30,5.7118,0.77802,6.00896,-15.48371,17.80422,15.81087,2.45268,-0.41421,82.98343,-5.107555,0.1341,0.415255,,,,,,,,,,,,-8.9491,10.16611,-0.57365,50,5.53649,5.61316,-133.50703,-5.38105,-15.90664,32.81682,-14.10422,ELO_PHO,BIN_BEA,LathamPark,D1,CAA,20250221-LathamPark-1,8f708a60-f097-11ef-8267-a7847330cbdd,90.76938,,,9.17767,,,,,,,7c280ca8-05b5-435f-ba9a-eb1da53a0d9a,2025-02-21,21:05:20.29,2025-02-21T16:05:20.2946048-05:00,2025-02-21T21:05:20.2946048Z,,v3,471503,471242,21 February 2025 16:00-sunybing@elon,"Duffey, Alex",824545,Right,ELO_PHO,704e7a66-9612-47f4-bd2b-119f5720b559,54.48873,-134.60586,16.40841,5.70876,-4.90879,-7.05211,-0.77052,6.14577,-7.95332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-21,16:05:36.63,2,4,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Bolton, Matthew",10106000,Left,BIN_BEA,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.94316,-3.11645,-3.162028,2006.721306,217.918527,1:15,5.68381,0.70887,5.89998,-11.55225,20.89655,15.28761,1.82064,-0.95566,84.00902,-5.398927,-0.422879,0.409988,,,,,,,,,,,,-8.88898,12.10717,-0.46307,50,5.42615,6.80885,-135.82273,-7.67969,-16.24229,35.80523,-10.05132,ELO_PHO,BIN_BEA,LathamPark,D1,CAA,20250221-LathamPark-1,993aa4e0-f097-11ef-8267-a7847330cbdd,91.93556,,,9.93413,,,,,,,7c280ca8-05b5-435f-ba9a-eb1da53a0d9a,2025-02-21,21:05:36.63,2025-02-21T16:05:36.6356992-05:00,2025-02-21T21:05:36.6356992Z,,v3,471503,471242,21 February 2025 16:00-sunybing@elon,"Duffey, Alex",824545,Right,ELO_PHO,442e2b49-8841-4cbd-921c-5108d1f06a29,54.59756,-137.02936,17.90262,5.67925,-7.34095,-5.02566,-0.70175,7.35621,-8.12115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-21,16:05:56.62,2,5,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Bolton, Matthew",10106000,Left,BIN_BEA,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.19379,-1.300036,-1.238365,2048.704474,210.104711,1:00,5.77755,0.77458,5.97203,-8.9878,22.47726,12.31808,3.8228,0.65281,84.82359,-3.130867,0.975123,0.403725,,,,,,,,,,,,-6.74638,12.32595,-0.68331,50,5.66977,2.41809,-137.93978,-3.28883,-12.668,37.95121,-9.02906,ELO_PHO,BIN_BEA,LathamPark,D1,CAA,20250221-LathamPark-1,a5196e90-f097-11ef-8267-a7847330cbdd,93.36166,,,10.3702,,,,,,,7c280ca8-05b5-435f-ba9a-eb1da53a0d9a,2025-02-21,21:05:56.62,2025-02-21T16:05:56.6289408-05:00,2025-02-21T21:05:56.6289408Z,,v3,471503,471242,21 February 2025 16:00-sunybing@elon,"Duffey, Alex",824545,Right,ELO_PHO,a0810f30-dafd-4400-952c-9e939b38f7b8,54.52483,-139.17913,18.9756,5.77236,-2.99398,-4.51453,-0.76903,2.83178,-6.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
