PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,14:02:21.39,1,1,"Kohn, Pico",1000091445,Left,MSU_BDG,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,92.2833,-2.55615,4.200468,2408.298622,138.779297,10:45,6.31478,-2.94135,6.40748,-15.75717,16.83631,-13.75186,2.64343,-0.21811,83.62822,-5.594131,1.717106,0.410901,82.60843,68.6031,-89.760564,5941.174942,,,,,31.15781,,,8.44709,9.89552,2.64615,50,6.12389,-9.24939,-133.62607,-6.39821,15.13893,31.16108,-14.43921,MSU_BDG,MIS_BEA,MSST,D1,SEC,20250221-MSST-1,c32be1f0-f08e-11ef-a237-cdbe41d4c5d1,91.7313,81.24914,,8.65508,,,,1.40165,2.00928,0.48556,ea4b4486-1312-4d7d-a562-a51377d9d38f,2025-02-21,20:02:21.39,2025-02-21T14:02:21.3932544-06:00,2025-02-21T20:02:21.3932544Z,,v3,5080,471451,21 February 2025 17:00-missourist@missst,"Highfill, Ross",1000090858,Right,MSU_BDG,1751391a-037a-452e-8904-e98f8633e7ff,54.09111,-134.57672,15.58054,6.31236,-5.9577,-7.21961,2.93538,-9.71125,7.56947,158.673444,1.40165,0.18376,-8.33463,2.67589,0.74564,-3.98293,5.93829,-4.24123,1.18862,2.00928,112.80824,-28.26523,3.53213,-0.99662,1.07169,-1.41549,1.01011,-0.28632,0.48556,-44.20081,11.94158,-3.1452,-0.40478,3.05099,-4.57909,3.26689,-0.91404,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
2,2025-02-21,14:02:40.52,1,2,"Kohn, Pico",1000091445,Left,MSU_BDG,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,0,0,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.83212,-1.585213,5.511023,2284.334223,126.79948,10:15,6.17672,-3.06185,6.37917,-17.64288,14.68068,-18.10603,3.24096,0.51507,83.95493,-4.966518,2.252283,0.409196,,,,,,,,,,,,11.02819,8.44587,2.6711,50,6.0536,-12.18327,-134.23584,-4.22906,19.95474,31.31847,-16.89182,MSU_BDG,MIS_BEA,MSST,D1,SEC,20250221-MSST-1,ce95c9c0-f08e-11ef-a237-cdbe41d4c5d1,92.11346,,,8.87719,,,,,,,ea4b4486-1312-4d7d-a562-a51377d9d38f,2025-02-21,20:02:40.52,2025-02-21T14:02:40.5222400-06:00,2025-02-21T20:02:40.5222400Z,,v3,5080,471451,21 February 2025 17:00-missourist@missst,"Highfill, Ross",1000090858,Right,MSU_BDG,c883997e-feeb-4356-9982-59105011e4a0,54.11894,-135.19341,15.65924,6.17501,-3.71259,-8.44591,3.05293,-12.79339,9.97737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-21,14:02:57.27,1,3,"Kohn, Pico",1000091445,Left,MSU_BDG,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,0,0,2,Curveball,Curveball,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,82.01858,0.256344,4.18724,2592.465502,350.069988,5:45,5.93464,-3.27064,5.3113,-48.39046,-5.63693,1.22413,2.14336,0.76862,75.26766,-8.50045,4.403903,0.470606,,,,,,,,,,,,0.59693,-2.54725,2.88932,50,5.92249,-8.74596,-118.77647,-1.22052,0.84936,23.59379,-35.79849,MSU_BDG,MIS_BEA,MSST,D1,SEC,20250221-MSST-1,d89aca60-f08e-11ef-a237-cdbe41d4c5d1,80.09344,,,6.75092,,,,,,,ea4b4486-1312-4d7d-a562-a51377d9d38f,2025-02-21,20:02:57.27,2025-02-21T14:02:57.2784128-06:00,2025-02-21T20:02:57.2784128Z,,v3,5080,471451,21 February 2025 17:00-missourist@missst,"Highfill, Ross",1000090858,Right,MSU_BDG,15078c9a-caa1-42ea-bd82-210685a43592,55.18994,-119.80297,11.7969,5.94171,0.33696,-17.89925,3.27063,-8.78292,0.42468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-21,14:03:17.53,1,4,"Kohn, Pico",1000091445,Left,MSU_BDG,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,0,0,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.46352,-2.470776,5.061373,2519.637929,349.159563,5:45,6.03817,-3.21554,5.84942,-44.61341,-2.86484,0.80902,0.01405,1.56734,75.86222,-10.573574,5.205934,0.465042,,,,,,,,,,,,1.10953,-0.3863,2.80252,50,5.81005,-10.59014,-119.22423,-6.64413,1.58427,24.62686,-32.72565,MSU_BDG,MIS_BEA,MSST,D1,SEC,20250221-MSST-1,e4a0cb20-f08e-11ef-a237-cdbe41d4c5d1,81.05167,,,6.60131,,,,,,,ea4b4486-1312-4d7d-a562-a51377d9d38f,2025-02-21,20:03:17.53,2025-02-21T14:03:17.5332352-06:00,2025-02-21T20:03:17.5332352Z,,v3,5080,471451,21 February 2025 17:00-missourist@missst,"Highfill, Ross",1000090858,Right,MSU_BDG,914fa5e5-1883-4eca-90ac-c037b160b446,54.65161,-120.18122,12.31343,6.04353,-5.37242,-16.36282,3.21525,-10.65171,0.79214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-21,14:03:38.86,1,5,"Kohn, Pico",1000091445,Left,MSU_BDG,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.51644,-2.128265,5.689652,2296.222811,141.964102,10:45,6.28796,-2.88714,6.52757,-13.19375,18.05324,-13.21583,3.22545,1.24843,84.94598,-4.717804,3.307695,0.402323,,,,,,,,,,,,8.64422,10.41615,2.49522,50,6.13305,-13.02354,-136.49377,-5.39451,16.06916,34.14303,-12.811,MSU_BDG,MIS_BEA,MSST,D1,SEC,20250221-MSST-1,f15f9490-f08e-11ef-a237-cdbe41d4c5d1,93.6869,,,9.57046,,,,,,,ea4b4486-1312-4d7d-a562-a51377d9d38f,2025-02-21,20:03:38.86,2025-02-21T14:03:38.8626944-06:00,2025-02-21T20:03:38.8626944Z,,v3,5080,471451,21 February 2025 17:00-missourist@missst,"Highfill, Ross",1000090858,Right,MSU_BDG,531b1345-fa8c-4d97-828a-25e6d596d0f4,53.96766,-137.48268,17.07152,6.28392,-5.02346,-6.4055,2.87916,-13.48896,8.03458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-21,14:03:53.37,1,6,"Kohn, Pico",1000091445,Left,MSU_BDG,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,93.21207,-2.51953,4.474567,2256.26483,141.404123,10:45,6.22505,-2.96154,6.42446,-14.57725,17.49044,-13.03528,2.68576,0.07357,84.12027,-5.350689,2.121664,0.407573,78.07843,52.558142,-64.835852,5268.603441,,,,,63.04247,,,8.20095,10.25497,2.64752,50,6.03804,-10.01098,-134.87528,-6.32231,14.91529,32.8032,-13.52308,MSU_BDG,MIS_BEA,MSST,D1,SEC,20250221-MSST-1,f9fb6840-f08e-11ef-a237-cdbe41d4c5d1,92.48026,76.58487,,9.0918,,,,1.35111,3.9496,-0.80518,ea4b4486-1312-4d7d-a562-a51377d9d38f,2025-02-21,20:03:53.37,2025-02-21T14:03:53.3719552-06:00,2025-02-21T20:03:53.3719552Z,,v3,5080,471451,21 February 2025 17:00-missourist@missst,"Highfill, Ross",1000090858,Right,MSU_BDG,ca059ec0-cd07-41bd-b483-41b176cb42cd,54.07338,-135.86236,16.4016,6.22217,-5.91539,-6.76154,2.95552,-10.45979,7.45764,,1.35111,29.60302,-13.00953,3.67773,0.10272,-1.61414,1.57206,-0.67234,0.10197,3.9496,90.92154,-23.35727,2.29681,-0.81475,0.87498,-0.75419,0.3233,-0.05098,-0.80518,-63.01252,9.75997,-2.14848,0.20827,0.27907,-0.29478,0.12395,-0.01774,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
7,2025-02-21,14:04:11.81,1,7,"Kohn, Pico",1000091445,Left,MSU_BDG,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,0,2,2,Curveball,Slider,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,81.12768,0.707445,2.566281,2447.734623,326.457942,5:00,5.96889,-3.41354,5.6518,-46.78121,-3.70744,3.37807,2.73097,-0.73691,74.24164,-7.847919,3.169546,0.472365,74.11455,65.853103,-177.96877,4348.012207,-109.94294,95.22971,-3.53431,178.32575,52.74907,-177.97135,4.580867,-0.96646,-1.73386,3.19368,50,5.99891,-5.40739,-117.70996,-0.13348,-1.34768,23.61555,-34.59186,MSU_BDG,MIS_BEA,MSST,D1,SEC,20250221-MSST-1,05022170-f08f-11ef-a237-cdbe41d4c5d1,79.79513,98.199,,6.88604,,,,2.39141,3.20727,0.87605,ea4b4486-1312-4d7d-a562-a51377d9d38f,2025-02-21,20:04:11.81,2025-02-21T14:04:11.8146560-06:00,2025-02-21T20:04:11.8146560Z,Popup,v3,5080,471451,21 February 2025 17:00-missourist@missst,"Highfill, Ross",1000090858,Right,MSU_BDG,6bb444dd-8152-42a4-96df-cd9486e3b848,54.84909,-118.67882,11.80778,5.97528,1.2857,-17.29593,3.4144,-5.3521,-0.67384,359.639706,2.38783,-44.354,-3.92167,3.19688,-1.16503,0.29346,-0.04084,0.00226,0,3.2094,99.13553,-32.22381,4.03957,-0.26237,-0.20137,0.07751,-0.01148,0.00063,0.87591,-1.57278,-0.29323,0.17144,-0.05423,0.01182,-0.00134,3E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-02-21,14:04:32.97,1,8,"Kohn, Pico",1000091445,Left,MSU_BDG,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.67066,-1.059107,3.504144,2579.435267,282.95869,3:30,6.04301,-3.30573,5.77918,-42.91707,-1.26303,11.60383,1.47917,0.92578,75.50089,-8.903988,5.577856,0.464515,,,,,,,,,,,,-4.80736,0.11957,3.00921,50,5.92981,-7.79429,-119.75637,-3.66999,-6.88868,25.99487,-32.0027,MSU_BDG,MIS_BEA,MSST,D1,SEC,20250221-MSST-1,11a329b0-f08f-11ef-a237-cdbe41d4c5d1,81.14362,,,7.16977,,,,,,,ea4b4486-1312-4d7d-a562-a51377d9d38f,2025-02-21,20:04:32.97,2025-02-21T14:04:32.9719808-06:00,2025-02-21T20:04:32.9719808Z,,v3,5080,471451,21 February 2025 17:00-missourist@missst,"Highfill, Ross",1000090858,Right,MSU_BDG,1137de0a-2556-47fa-8a8d-16cb8146e33a,54.71988,-120.77654,12.99743,6.04919,-2.41404,-16.00135,3.3098,-7.52394,-3.44434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-21,14:04:50.78,1,9,"Kohn, Pico",1000091445,Left,MSU_BDG,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,0,3,2,Curveball,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.1213,-0.513296,3.213075,2446.919131,313.675236,4:30,5.95386,-3.29602,5.633,-47.37152,-2.84689,4.57075,1.52656,0.08585,73.1374,-9.159288,4.028991,0.480255,,,,,,,,,,,,-1.31244,-0.84685,3.0194,50,5.87987,-6.69581,-116.09497,-2.63596,-1.76887,24.26684,-33.31541,MSU_BDG,MIS_BEA,MSST,D1,SEC,20250221-MSST-1,1c426e80-f08f-11ef-a237-cdbe41d4c5d1,78.48427,,,6.9839,,,,,,,ea4b4486-1312-4d7d-a562-a51377d9d38f,2025-02-21,20:04:50.78,2025-02-21T14:04:50.7860000-06:00,2025-02-21T20:04:50.7860000Z,,v3,5080,471451,21 February 2025 17:00-missourist@missst,"Highfill, Ross",1000090858,Right,MSU_BDG,5b9e230a-897a-4f03-95b9-a9983a334f61,54.86639,-117.10775,12.13342,5.96087,-1.24553,-16.65771,3.29731,-6.62199,-0.88444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.41706,2.189804,1.334579,0.855225,0.28766,1.34201,-0.16557,0.9217,5.3343,-4.23876,75.05942,6.79636,-49.73424,0.96227,92.68212,-7.05136,5.3631,13.27668,-13.5548,-4.33472,-62.02891,10.42872,High,High,High,,,High,Medium,High
10,2025-02-21,14:05:16.99,2,1,"Kohn, Pico",1000091445,Left,MSU_BDG,"Gollert, Taeg",823760,Right,MIS_BEA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,93.5329,-1.158694,4.099413,2379.420497,143.58093,10:45,6.2417,-3.02783,6.31046,-12.74284,19.2891,-13.35859,4.10954,-0.35827,83.97333,-3.66778,1.691882,0.407346,81.39625,68.847857,130.957584,4605.23809,,,,,33.6218,,,8.26197,10.72839,2.73306,50,6.15034,-9.13414,-135.42889,-3.04374,15.09018,34.14525,-12.57908,MSU_BDG,MIS_BEA,MSST,D1,SEC,20250221-MSST-1,2bd98540-f08f-11ef-a237-cdbe41d4c5d1,92.53179,68.47191,,9.55957,,,,0.61257,4.24856,0.4563,ea4b4486-1312-4d7d-a562-a51377d9d38f,2025-02-21,20:05:16.99,2025-02-21T14:05:16.9945600-06:00,2025-02-21T20:05:16.9945600Z,,v3,5080,471451,21 February 2025 17:00-missourist@missst,"Highfill, Ross",1000090858,Right,MSU_BDG,07e47ad5-f752-466e-8a60-606821b889ca,54.18672,-136.48039,17.07263,6.23811,-2.65636,-6.28954,3.0215,-9.59884,7.54509,350.255602,0.61257,-28.23771,-7.69164,4.50069,-1.52585,0.45203,-0.12412,0.02947,-0.00422,4.24856,111.33775,-38.00905,6.37976,-1.33319,0.24502,-0.04223,0.0058,-0.00041,0.4563,32.53238,-0.11101,-1.32913,0.57576,-0.19258,0.05655,-0.01409,0.00206,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
