PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,16:37:24.08,1,1,"Gutierrez, Diego",822622,Right,CAL_MAT,"McChesney, Crew",814469,Left,BYU_COU,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.29162,-0.626542,-1.865065,2429.795809,236.579474,2:00,5.77304,2.13572,5.93248,-23.42615,11.94103,15.84977,3.23923,1.72552,79.88761,-5.085341,0.981715,0.428027,,,,,,,,,,,,-8.68737,6.76118,-1.995,50,5.71018,3.53037,-130.64012,-2.17579,-14.50417,36.21227,-20.88579,CAL_MAT,BYU_COU,Matador Field,D1,BW,20250221-Matador Field-1,2fa257d0-f0b5-11ef-baec-b9ec0e904b0c,88.06079,,,10.40401,,,,,,,118eff96-75a9-4d20-9baa-de9957c73bca,2025-02-22,00:37:24.08,2025-02-21T16:37:24.0866304-08:00,2025-02-22T00:37:24.0866304Z,,v3,471256,471246,21 February 2025 20:00-byu@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,ef0c7e27-edf8-4ebf-aa58-a27f5c0c7921,54.56003,-131.89806,18.10614,5.77316,-1.45026,-10.4429,-2.12639,4.03422,-7.25209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,16:38:10.36,1,2,"Gutierrez, Diego",822622,Right,CAL_MAT,"McChesney, Crew",814469,Left,BYU_COU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.73342,-3.350113,-2.976537,2407.629563,216.493271,1:15,5.81395,2.09856,5.78098,-16.78379,17.99997,12.348,1.29045,0.35558,81.69459,-6.555103,-0.767854,0.424482,30.40194,-26.481477,41.312155,,,,,7.8145,5.14239,13.251616,0.083424,-7.30024,10.66182,-1.86047,50,5.52712,6.28569,-131.21774,-8.18941,-12.51058,32.19146,-13.90269,CAL_MAT,BYU_COU,Matador Field,D1,BW,20250221-Matador Field-1,4b4bf270-f0b5-11ef-baec-b9ec0e904b0c,88.79628,1.68046,,9.03882,,,,,,,118eff96-75a9-4d20-9baa-de9957c73bca,2025-02-22,00:38:10.36,2025-02-21T16:38:10.3617024-08:00,2025-02-22T00:38:10.3617024Z,GroundBall,v3,471256,471246,21 February 2025 20:00-byu@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,7c928341-7999-46e8-aa7a-8c47c248dcb2,54.71767,-132.37006,16.09573,5.81136,-7.69175,-6.95135,-2.09348,6.73351,-6.25529,,5.06744,30.37136,,,,,,,,1.68396,-20.1436,,,,,,,,-0.4402,26.69331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2025-02-21,16:38:43.41,2,1,"Gutierrez, Diego",822622,Right,CAL_MAT,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.26279,-0.412759,-2.646303,2213.191048,240.166437,2:00,5.77808,2.19897,5.85274,-22.45934,12.61237,19.66076,3.52252,1.37671,80.78142,-4.667041,0.877243,0.426236,,,,,,,,,,,,-10.84607,6.95587,-1.99495,50,5.73165,5.16103,-130.73466,-1.66637,-18.3726,33.01905,-20.39124,CAL_MAT,BYU_COU,Matador Field,D1,BW,20250221-Matador Field-1,5ebb3a50-f0b5-11ef-baec-b9ec0e904b0c,88.43092,,,9.48137,,,,,,,118eff96-75a9-4d20-9baa-de9957c73bca,2025-02-22,00:38:43.41,2025-02-21T16:38:43.4145792-08:00,2025-02-22T00:38:43.4145792Z,,v3,471256,471246,21 February 2025 20:00-byu@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,c98dead1-3316-41b8-8f92-4ee60939530f,54.64383,-131.90231,16.50952,5.77783,-0.94527,-10.19562,-2.18895,5.81074,-9.1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-21,16:38:59.22,2,2,"Gutierrez, Diego",822622,Right,CAL_MAT,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.82231,1.223156,-2.528655,1766.490856,279.767223,3:15,5.51139,2.44117,5.67305,-49.37668,-1.00992,15.75961,2.53834,1.39541,69.66895,-7.860153,0.28896,0.500547,,,,,,,,,,,,-8.77756,-0.38291,-2.23771,50,5.58386,4.31809,-111.35931,0.79692,-10.87273,22.52755,-32.64836,CAL_MAT,BYU_COU,Matador Field,D1,BW,20250221-Matador Field-1,684899f0-f0b5-11ef-baec-b9ec0e904b0c,75.30248,,,7.15337,,,,,,,118eff96-75a9-4d20-9baa-de9957c73bca,2025-02-22,00:38:59.22,2025-02-21T16:38:59.2284160-08:00,2025-02-22T00:38:59.2284160Z,,v3,471256,471246,21 February 2025 20:00-byu@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,71ed8582-a85a-4125-86da-626b5ddf5243,54.82696,-112.33155,11.26377,5.51906,2.20594,-16.32418,-2.43419,4.78733,-5.43637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-21,16:39:14.45,2,3,"Gutierrez, Diego",822622,Right,CAL_MAT,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.20755,-0.365238,-2.957041,1847.943293,266.175206,2:45,5.45605,2.38007,5.77598,-44.65097,2.91402,19.00477,1.39481,1.20975,70.36335,-8.589209,0.448756,0.496381,,,,,,,,,,,,-10.62272,2.06587,-2.14738,50,5.39893,5.07868,-111.96152,-2.10395,-13.34042,22.22136,-29.57966,CAL_MAT,BYU_COU,Matador Field,D1,BW,20250221-Matador Field-1,714f1650-f0b5-11ef-baec-b9ec0e904b0c,75.93448,,,6.8442,,,,,,,118eff96-75a9-4d20-9baa-de9957c73bca,2025-02-22,00:39:14.45,2025-02-21T16:39:14.4544256-08:00,2025-02-22T00:39:14.4544256Z,,v3,471256,471246,21 February 2025 20:00-byu@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,3ee88d0f-ded0-4a52-9aa1-84fa8a38e4fa,54.72489,-112.89539,11.11068,5.46123,-0.86084,-14.78983,-2.3726,5.63932,-6.67021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-21,16:39:32.59,2,4,"Gutierrez, Diego",822622,Right,CAL_MAT,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,1,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.47269,-2.041857,-3.939434,2222.546401,224.824827,1:30,5.73949,2.24651,6.11122,-22.0567,13.36922,11.94465,2.0081,-0.40655,80.31838,-6.227543,-1.792748,0.428383,,,,,,,,,,,,-7.52504,7.97662,-1.95001,50,5.57098,8.42034,-129.43771,-5.29286,-12.50201,32.23536,-18.92175,CAL_MAT,BYU_COU,Matador Field,D1,BW,20250221-Matador Field-1,7c1eb9f0-f0b5-11ef-baec-b9ec0e904b0c,87.98777,,,9.15431,,,,,,,118eff96-75a9-4d20-9baa-de9957c73bca,2025-02-22,00:39:32.59,2025-02-21T16:39:32.5994496-08:00,2025-02-22T00:39:32.5994496Z,,v3,471256,471246,21 February 2025 20:00-byu@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,7751825b-7189-40f5-9eaf-93ad4b980f1b,54.38712,-130.52572,16.11768,5.73885,-4.65422,-9.46088,-2.24133,8.84231,-6.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-21,16:39:49.42,2,5,"Gutierrez, Diego",822622,Right,CAL_MAT,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.60763,1.817284,-1.570089,1482.962065,275.024714,3:15,5.53329,2.44452,5.69705,-48.34467,0.35921,15.79985,3.19931,2.29763,69.20424,-7.107141,1.256332,0.502289,,,,,,,,,,,,-8.48185,0.14563,-2.32248,50,5.65628,2.43826,-111.03918,1.98815,-10.41762,22.89636,-31.99518,CAL_MAT,BYU_COU,Matador Field,D1,BW,20250221-Matador Field-1,863a9df0-f0b5-11ef-baec-b9ec0e904b0c,75.04141,,,7.40339,,,,,,,118eff96-75a9-4d20-9baa-de9957c73bca,2025-02-22,00:39:49.42,2025-02-21T16:39:49.4204416-08:00,2025-02-22T00:39:49.4204416Z,,v3,471256,471246,21 February 2025 20:00-byu@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,41840db7-630e-46c9-951a-cda1e28efa76,54.8017,-112.02492,11.44818,5.54104,3.36562,-15.99759,-2.43711,2.88677,-5.20881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-21,16:40:05.31,2,6,"Gutierrez, Diego",822622,Right,CAL_MAT,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,1,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.99833,0.592784,-3.377408,1625.752275,262.936807,2:45,5.508,2.28835,5.85601,-43.42235,3.27327,12.94198,2.44122,0.22516,70.60815,-7.446648,-1.058923,0.491824,97.29077,36.424876,40.138059,3458.904737,83.18808,68.30167,71.96998,367.00092,272.83589,49.081492,4.907726,-7.75591,1.90984,-2.02169,50,5.53079,6.19439,-113.01668,-0.16339,-9.8801,23.49424,-29.74112,CAL_MAT,BYU_COU,Matador Field,D1,BW,20250221-Matador Field-1,8fc45410-f0b5-11ef-baec-b9ec0e904b0c,76.63811,90.99017,,7.39018,,,,,,,118eff96-75a9-4d20-9baa-de9957c73bca,2025-02-22,00:40:05.31,2025-02-21T16:40:05.3134336-08:00,2025-02-22T00:40:05.3134336Z,FlyBall,v3,471256,471246,21 February 2025 20:00-byu@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,c9d6c9c5-1581-40bf-a53b-f32457718290,54.64436,-113.97808,11.74712,5.51258,1.05363,-14.87056,-2.28344,6.59868,-4.94005,225.112863,3.02604,87.78897,-17.11288,3.77808,-0.7168,0.12675,-0.02539,0.00381,-0.00024,1.30898,84.68274,-24.20312,2.73133,-0.44677,0.01599,0.01326,-0.0026,0.00015,-3.36837,73.97398,-6.05644,1.04877,-0.23902,0.06982,-0.01818,0.00279,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
9,2025-02-21,16:40:30.38,2,7,"Gutierrez, Diego",822622,Right,CAL_MAT,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,1,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.82524,-0.569535,-3.162295,2440.733414,128.680429,10:15,5.6291,2.59539,5.71098,-35.0927,5.7115,-5.6654,2.17327,-0.82591,76.61075,-7.003122,-4.173333,0.459752,,,,,,,,,,,,2.09992,3.36918,-2.32664,50,5.55925,6.86043,-120.24852,-2.35586,3.09393,21.95217,-27.21008,CAL_MAT,BYU_COU,Matador Field,D1,BW,20250221-Matador Field-1,9ea53a30-f0b5-11ef-baec-b9ec0e904b0c,81.98426,,,6.21449,,,,,,,118eff96-75a9-4d20-9baa-de9957c73bca,2025-02-22,00:40:30.38,2025-02-21T16:40:30.3813120-08:00,2025-02-22T00:40:30.3813120Z,,v3,471256,471246,21 February 2025 20:00-byu@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,abb3340b-610b-4671-a14b-dd263fe5df57,54.7915,-121.12009,10.97608,5.63133,-1.27554,-13.60504,-2.59658,6.7376,1.54697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-21,16:40:52.37,2,8,"Gutierrez, Diego",822622,Right,CAL_MAT,"Robinson, Ryder",806209,Left,BYU_COU,Undefined,1,Top,1,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.13992,1.063319,-2.000648,1905.689068,242.919627,2:00,5.49661,2.38392,5.68634,-40.0901,7.3004,11.32666,3.14761,1.46226,70.56044,-6.342516,0.023876,0.495469,,,,,,,,,,,,-6.29713,3.87693,-2.22264,50,5.56118,3.48163,-111.95079,0.83366,-7.98168,20.44548,-27.26001,CAL_MAT,BYU_COU,Matador Field,D1,BW,20250221-Matador Field-1,abb57f00-f0b5-11ef-baec-b9ec0e904b0c,76.07419,,,6.57948,,,,,,,118eff96-75a9-4d20-9baa-de9957c73bca,2025-02-22,00:40:52.37,2025-02-21T16:40:52.3791360-08:00,2025-02-22T00:40:52.3791360Z,,v3,471256,471246,21 February 2025 20:00-byu@calstnorth,"Liera, Jesus",10913975,Right,CAL_MAT,48413752-d2e5-4d96-a28d-7a9c78a3705a,54.81286,-112.82633,10.22274,5.50048,2.00103,-13.63,-2.37905,3.82343,-3.99084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
