PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,16:05:44.92,1,1,"Gainous, Garrett",1000069414,Right,TRO_TRJ,"Lipoma, Reese",1000100796,Right,NOR_DEM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.70239,-0.410923,-2.843917,2009.754254,221.152234,1:15,5.99816,1.49499,6.62764,-17.3621,14.94591,12.17512,4.17458,-0.09664,83.73401,-3.744511,-0.631507,0.409097,,,,,,,,,,,,-7.16284,8.27894,-1.30651,50,5.96281,6.13373,-133.23857,-1.41654,-12.87676,28.6129,-17.29083,TRO_TRJ,NOR_DEM,RiddlePaceField,D1,SBELT,20250221-RiddlePaceField-1,ffe46840-f09f-11ef-8747-d93649eecdc0,92.13563,,,7.96838,,,,,,,46b7b508-cfc0-47af-99e7-c4cd544c361b,2025-02-21,22:05:44.92,2025-02-21T16:05:44.9290000-06:00,2025-02-21T22:05:44.9290000Z,,v3,471470,471394,,"Bryan, Brooks",804871,Right,TRO_TRJ,6deb1a90-6a00-4f57-aab2-5f34ec3f3099,53.87193,-134.06748,14.30645,5.99659,-0.91562,-8.64541,-1.4896,6.50677,-6.43838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,16:06:00.25,1,2,"Gainous, Garrett",1000069414,Right,TRO_TRJ,"Lipoma, Reese",1000100796,Right,NOR_DEM,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.8244,-1.15003,-2.117993,2030.436092,226.647383,1:30,6.0188,1.61275,6.49696,-19.6347,13.52418,13.19331,3.32605,0.7671,82.87263,-4.890474,0.276314,0.414449,,,,,,,,,,,,-7.49185,7.73264,-1.46961,50,5.92945,4.35261,-131.96418,-3.20651,-13.17644,28.77142,-18.5741,TRO_TRJ,NOR_DEM,RiddlePaceField,D1,SBELT,20250221-RiddlePaceField-1,08fa9c10-f0a0-11ef-8747-d93649eecdc0,90.94591,,,7.95177,,,,,,,46b7b508-cfc0-47af-99e7-c4cd544c361b,2025-02-21,22:06:00.25,2025-02-21T16:06:00.2570000-06:00,2025-02-21T22:06:00.2570000Z,,v3,471470,471394,,"Bryan, Brooks",804871,Right,TRO_TRJ,67e84d22-fb06-4585-80f2-adeb10314443,54.00274,-132.83401,14.38571,6.0179,-2.64497,-9.28705,-1.60722,4.75097,-6.58822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-21,16:06:15.69,1,3,"Gainous, Garrett",1000069414,Right,TRO_TRJ,"Lipoma, Reese",1000100796,Right,NOR_DEM,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.51641,-1.22002,-3.073672,2031.125424,224.467667,1:30,6.00327,1.63011,6.47481,-17.79922,15.83091,14.4143,3.39784,0.00594,82.10038,-4.6414,-0.462193,0.417384,84.70224,55.135142,50.930353,4812.649821,46.7631,113.79255,99.56511,221.49212,89.30157,71.723155,5.195974,-8.47768,8.99217,-1.41953,50,5.90921,6.48172,-131.36166,-3.2789,-14.69195,29.95679,-16.59053,TRO_TRJ,NOR_DEM,RiddlePaceField,D1,SBELT,20250221-RiddlePaceField-1,1242b550-f0a0-11ef-8747-d93649eecdc0,90.30643,116.65428,,8.41603,,,,1.03263,3.8385,0.31522,46b7b508-cfc0-47af-99e7-c4cd544c361b,2025-02-21,22:06:15.69,2025-02-21T16:06:15.6990000-06:00,2025-02-21T22:06:15.6990000Z,FlyBall,v3,471470,471394,,"Bryan, Brooks",804871,Right,TRO_TRJ,62477906-08ef-4cdd-adbf-fae2a67a7156,54.02509,-132.27639,14.9784,6.0016,-2.77231,-8.29527,-1.6243,6.93033,-7.34597,,1.0863,43.63903,-14.18549,-1.72267,4.84539,-2.48297,0.61257,-0.07443,0.00357,3.86004,101.5556,-27.29677,1.58283,0.62149,-0.30796,0.04976,-0.00248,-6E-05,0.3173,55.15139,-3.00671,0.2013,-0.58709,0.45234,-0.14731,0.02194,-0.00123,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2025-02-21,16:06:37.92,1,4,"Gainous, Garrett",1000069414,Right,TRO_TRJ,"Lipoma, Reese",1000100796,Right,NOR_DEM,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,78.5535,1.836527,-0.926841,2066.564204,58.805872,8:00,5.72755,1.66687,6.05541,-50.56574,-4.77992,-10.61997,3.21453,-0.07614,70.93604,-7.527376,-2.839519,0.487009,91.09134,3.73591,23.963452,1886.267265,,,,88.77098,82.55472,26.484946,0.733356,5.15614,-2.60532,-1.58921,50,5.84358,2.23584,-113.95574,2.07741,6.64439,24.84983,-35.53136,TRO_TRJ,NOR_DEM,RiddlePaceField,D1,SBELT,20250221-RiddlePaceField-1,1f826e90-f0a0-11ef-8747-d93649eecdc0,77.39579,4.01542,,7.61746,,,,0.70207,2.98713,0.23427,46b7b508-cfc0-47af-99e7-c4cd544c361b,2025-02-21,22:06:37.92,2025-02-21T16:06:37.9210000-06:00,2025-02-21T22:06:37.9210000Z,GroundBall,v3,471470,471394,,"Bryan, Brooks",804871,Right,TRO_TRJ,ca13a4fb-fe68-4559-af24-b0d69d4349bc,54.44478,-114.9209,12.42492,5.7361,3.45744,-17.76568,-1.67104,1.97777,3.32219,276.955833,0.76367,120.68191,-18.34894,,,,,,,3.01888,8.11714,-16.73657,,,,,,,0.2216,54.38696,-0.94272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-02-21,16:07:10.41,2,1,"Gainous, Garrett",1000069414,Right,TRO_TRJ,"Stephenson, Sam",699456,Right,NOR_DEM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.13158,-0.38853,-3.081128,1928.883469,219.196039,1:15,5.97463,1.63513,6.93934,-18.97836,15.8506,11.96721,4.03894,-0.17483,79.93,-4.06478,-0.894298,0.424758,,,,,,,,,,,,-7.25052,8.89107,-1.44614,50,5.94333,6.44582,-127.99133,-1.31231,-11.93114,28.39014,-17.54327,TRO_TRJ,NOR_DEM,RiddlePaceField,D1,SBELT,20250221-RiddlePaceField-1,32cbb7e0-f0a0-11ef-8747-d93649eecdc0,88.73864,,,8.20158,,,,,,,46b7b508-cfc0-47af-99e7-c4cd544c361b,2025-02-21,22:07:10.41,2025-02-21T16:07:10.4120000-06:00,2025-02-21T22:07:10.4120000Z,,v3,471470,471394,,"Bryan, Brooks",804871,Right,TRO_TRJ,90d9f97e-e2fa-445d-a78a-e352894c505f,53.5589,-128.77832,14.19507,5.97297,-0.826,-8.77164,-1.6294,6.77656,-5.96557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-21,16:07:29.19,2,2,"Gainous, Garrett",1000069414,Right,TRO_TRJ,"Stephenson, Sam",699456,Right,NOR_DEM,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.94224,-1.981983,-3.174314,2075.532377,199.834366,12:45,5.85796,1.67576,6.63311,-12.8665,20.3319,6.91855,2.9676,-0.65698,82.37126,-4.515259,-1.918173,0.414696,,,,,,,,,,,,-4.57028,11.59764,-1.46317,50,5.71768,7.03475,-131.88248,-4.83112,-7.97666,30.41029,-11.93233,TRO_TRJ,NOR_DEM,RiddlePaceField,D1,SBELT,20250221-RiddlePaceField-1,3e067960-f0a0-11ef-8747-d93649eecdc0,90.89167,,,8.57098,,,,,,,46b7b508-cfc0-47af-99e7-c4cd544c361b,2025-02-21,22:07:29.19,2025-02-21T16:07:29.1920000-06:00,2025-02-21T22:07:29.1920000Z,,v3,471470,471394,,"Bryan, Brooks",804871,Right,TRO_TRJ,edd756df-6cb1-4296-b1e6-c2905fe8c0d0,53.86403,-132.77048,15.20514,5.85366,-4.48269,-5.96616,-1.67198,7.26768,-3.98833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-21,16:08:03.48,2,3,"Gainous, Garrett",1000069414,Right,TRO_TRJ,"Stephenson, Sam",699456,Right,NOR_DEM,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.64953,-1.671145,-3.28553,2004.425404,209.334474,1:00,6.12648,1.51449,6.34828,-14.15828,19.80788,10.43493,3.40529,-0.64372,81.61634,-4.442444,-1.40102,0.419464,,,,,,,,,,,,-6.42996,11.16127,-1.28003,50,5.99788,7.10019,-131.33658,-4.1635,-11.06702,31.60611,-12.9637,TRO_TRJ,NOR_DEM,RiddlePaceField,D1,SBELT,20250221-RiddlePaceField-1,5279ead0-f0a0-11ef-8747-d93649eecdc0,89.85862,,,9.03319,,,,,,,46b7b508-cfc0-47af-99e7-c4cd544c361b,2025-02-21,22:08:03.48,2025-02-21T16:08:03.4840000-06:00,2025-02-21T22:08:03.4840000Z,,v3,471470,471394,,"Bryan, Brooks",804871,Right,TRO_TRJ,071b80d9-b14b-45e3-9324-684da0061f67,54.14821,-132.33108,15.80305,6.12247,-3.75559,-6.48185,-1.50892,7.44842,-5.53351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-21,16:08:20.80,2,4,"Gainous, Garrett",1000069414,Right,TRO_TRJ,"Stephenson, Sam",699456,Right,NOR_DEM,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.33137,-1.164239,-3.859726,2032.186222,209.123898,1:00,5.99848,1.47847,6.78652,-14.37851,18.29765,9.57713,3.73488,-1.25229,82.81757,-3.976816,-2.117638,0.411421,,,,,,,,,,,,-6.18445,10.3343,-1.23026,50,5.9166,8.561,-132.47252,-3.01255,-10.90986,30.22366,-13.94356,TRO_TRJ,NOR_DEM,RiddlePaceField,D1,SBELT,20250221-RiddlePaceField-1,5cc93ae0-f0a0-11ef-8747-d93649eecdc0,91.61515,,,8.5138,,,,,,,46b7b508-cfc0-47af-99e7-c4cd544c361b,2025-02-21,22:08:20.80,2025-02-21T16:08:20.8010000-06:00,2025-02-21T22:08:20.8010000Z,,v3,471470,471394,,"Bryan, Brooks",804871,Right,TRO_TRJ,e163705c-3f74-455c-a035-67e6a65b3e7e,53.71157,-133.31663,15.11183,5.9953,-2.62313,-6.97178,-1.47361,8.8657,-5.45493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-21,16:09:11.65,2,5,"Gainous, Garrett",1000069414,Right,TRO_TRJ,"Stephenson, Sam",699456,Right,NOR_DEM,Undefined,1,Top,0,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.42078,-1.087075,-4.578811,1556.858901,262.782607,2:45,5.91915,2.134,6.34476,-42.55585,3.6437,16.69143,1.36874,-0.69931,70.96031,-8.982396,-1.563654,0.489204,61.58651,20.005402,47.423337,4615.376574,61.38869,11.54979,91.27666,143.20958,127.62613,58.928646,2.012969,-10.05154,2.66492,-1.80815,50,5.82001,8.41485,-112.20643,-3.33933,-12.75161,21.23665,-28.79325,TRO_TRJ,NOR_DEM,RiddlePaceField,D1,SBELT,20250221-RiddlePaceField-1,7b1cbfd0-f0a0-11ef-8747-d93649eecdc0,77.04845,15.4688,,6.46047,,,,1.12215,1.44137,0.98337,46b7b508-cfc0-47af-99e7-c4cd544c361b,2025-02-21,22:09:11.65,2025-02-21T16:09:11.6510000-06:00,2025-02-21T22:09:11.6510000Z,LineDrive,v3,471470,471394,,"Bryan, Brooks",804871,Right,TRO_TRJ,d08de5f3-eb7e-43f7-a2a7-e77caf51c14f,54.15677,-112.99042,10.61832,5.92366,-2.27638,-14.39663,-2.12749,8.88559,-6.3758,,1.12207,57.43214,-14.13116,2.97331,-1.30569,0.92067,-0.53848,0.1696,-0.02108,1.4414,30.89873,-18.40949,1.63104,-0.00042,-0.27408,0.19553,-0.06173,0.00731,0.98335,62.50227,0.27422,-1.16399,0.31079,0.05522,-0.08529,0.02996,-0.00377,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
10,2025-02-21,16:09:32.58,2,6,"Gainous, Garrett",1000069414,Right,TRO_TRJ,"Stephenson, Sam",699456,Right,NOR_DEM,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.19879,-2.728361,-2.832179,2163.114798,217.016053,1:15,6.10571,1.49649,6.5194,-15.94828,17.1078,12.05603,2.26831,-0.09964,82.97727,-5.800633,-0.645274,0.413806,87.71069,32.777214,39.653578,5012.689154,77.63828,58.63855,77.9243,297.99244,194.54912,52.740756,4.128889,-7.17241,10.11737,-1.30407,50,5.90827,6.06911,-132.29111,-6.72265,-12.63107,29.87041,-14.35673,TRO_TRJ,NOR_DEM,RiddlePaceField,D1,SBELT,20250221-RiddlePaceField-1,87841a70-f0a0-11ef-8747-d93649eecdc0,91.08715,67.34579,,8.22151,,,,1.12878,2.28065,0.0238,46b7b508-cfc0-47af-99e7-c4cd544c361b,2025-02-21,22:09:32.58,2025-02-21T16:09:32.5880000-06:00,2025-02-21T22:09:32.5880000Z,FlyBall,v3,471470,471394,,"Bryan, Brooks",804871,Right,TRO_TRJ,9196904c-a0f0-4d66-aeae-7364b5c725bc,53.98069,-133.18689,14.93521,6.10342,-6.29211,-7.17837,-1.49175,6.4479,-6.31554,222.471253,1.12819,83.29422,-23.43918,7.01012,-1.81629,0.44367,-0.08985,0.01162,-0.00066,2.28155,69.61756,-20.28903,0.64741,0.33828,-0.18068,0.04228,-0.00469,0.00018,0.02345,69.03076,-5.51469,1.19813,-0.26736,0.07465,-0.01818,0.00255,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
