PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,15:59:49.97,1,1,"Irwin, Matthew",1000116016,Right,EAS_TEX,"Roberts, Hayden",10118801,Left,BEL_UNI1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.57619,-2.301936,-1.712051,1983.823272,193.693147,12:30,6.29706,0.16854,6.33604,-16.16064,20.65666,4.73425,2.82883,-1.01371,78.90708,-5.420205,-0.855635,0.436714,,,,,,,,,,,,-2.94768,11.76961,-0.04596,50,6.12139,3.5701,-125.65907,-5.44091,-4.69429,26.41219,-13.43049,EAS_TEX,BEL_UNI1,TIGERBALLPARK,D3,Team,20250221-TIGERBALLPARK-1,8bf3c610-f09f-11ef-a4dd-b91d1eeb8562,86.30917,,,7.66911,,,,,,,8ed4d07d-2cf3-4a2c-8389-4beaef5f2085,2025-02-21,21:59:49.97,2025-02-21T15:59:49.9790336-06:00,2025-02-21T21:59:49.9790336Z,,v3,,,,"Chavez, Nicolas",1000313670,Right,EAS_TEX,751c51f6-3543-44ad-830e-9351dae4742c,54.15963,-126.53036,13.20609,6.29357,-4.99786,-6.71525,-0.16629,3.72495,-2.34715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,16:00:02.99,1,2,"Irwin, Matthew",1000116016,Right,EAS_TEX,"Roberts, Hayden",10118801,Left,BEL_UNI1,Undefined,1,Top,0,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.65865,-1.078968,-1.252311,2124.447753,190.395417,12:15,6.39945,0.44685,6.11754,-17.16757,19.98411,3.43347,3.97093,-0.42501,78.58752,-4.384989,-0.633627,0.438693,,,,,,,,,,,,-2.14059,10.99733,-0.35262,50,6.3077,2.60998,-125.7827,-2.811,-3.40145,27.45295,-14.699,EAS_TEX,BEL_UNI1,TIGERBALLPARK,D3,Team,20250221-TIGERBALLPARK-1,9399a100-f09f-11ef-a4dd-b91d1eeb8562,85.91985,,,8.07113,,,,,,,8ed4d07d-2cf3-4a2c-8389-4beaef5f2085,2025-02-21,22:00:02.99,2025-02-21T16:00:02.9943808-06:00,2025-02-21T22:00:02.9943808Z,,v3,,,,"Chavez, Nicolas",1000313670,Right,EAS_TEX,599f756b-464b-4da2-a181-b66de30268f2,54.37736,-126.73449,13.72648,6.39633,-2.30138,-7.3495,-0.44515,2.7279,-1.70073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-21,16:00:18.12,1,3,"Irwin, Matthew",1000116016,Right,EAS_TEX,"Roberts, Hayden",10118801,Left,BEL_UNI1,Undefined,1,Top,0,1,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.66019,-1.346297,-1.689258,2157.828894,187.235402,12:15,6.28226,0.35264,6.20241,-16.30757,21.61352,2.57906,3.67984,-0.99215,77.69181,-4.505265,-1.223989,0.443212,,,,,,,,,,,,-1.83709,11.95772,-0.22694,50,6.17265,3.5634,-124.31099,-3.31092,-2.85124,26.81704,-13.61522,EAS_TEX,BEL_UNI1,TIGERBALLPARK,D3,Team,20250221-TIGERBALLPARK-1,9c9d5e40-f09f-11ef-a4dd-b91d1eeb8562,85.04376,,,7.96839,,,,,,,8ed4d07d-2cf3-4a2c-8389-4beaef5f2085,2025-02-21,22:00:18.12,2025-02-21T16:00:18.1232128-06:00,2025-02-21T22:00:18.1232128Z,,v3,,,,"Chavez, Nicolas",1000313670,Right,EAS_TEX,193a9797-f031-4269-bba4-168d08edcb10,54.29233,-125.23353,13.40852,6.27849,-2.84254,-6.80761,-0.35121,3.66149,-1.42562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-21,16:00:34.65,1,4,"Irwin, Matthew",1000116016,Right,EAS_TEX,"Roberts, Hayden",10118801,Left,BEL_UNI1,Undefined,1,Top,0,2,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.14012,-0.740954,-0.658436,2119.5737,185.472168,12:15,6.20991,0.39793,6.47528,-16.78064,20.25403,1.82087,4.13103,-0.05499,78.18023,-3.998649,-0.328045,0.438001,,,,,,,,,,,,-1.14339,11.16481,-0.35231,50,6.14991,1.36773,-125.14254,-2.00571,-1.79953,27.02789,-14.60204,EAS_TEX,BEL_UNI1,TIGERBALLPARK,D3,Team,20250221-TIGERBALLPARK-1,a6936ac0-f09f-11ef-a4dd-b91d1eeb8562,86.05552,,,7.95989,,,,,,,8ed4d07d-2cf3-4a2c-8389-4beaef5f2085,2025-02-21,22:00:34.65,2025-02-21T16:00:34.6568192-06:00,2025-02-21T22:00:34.6568192Z,,v3,,,,"Chavez, Nicolas",1000313670,Right,EAS_TEX,d334ebb1-221b-4904-b93e-fb9d8356976b,54.01951,-126.00767,13.51395,6.20664,-1.53831,-7.30102,-0.39701,1.42533,-0.89976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-21,16:00:49.62,1,5,"Irwin, Matthew",1000116016,Right,EAS_TEX,"Roberts, Hayden",10118801,Left,BEL_UNI1,Undefined,1,Top,0,3,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.08839,-1.702053,-1.723653,2125.154931,186.201303,12:15,6.22476,0.33322,6.25948,-18.09592,20.34096,2.06425,3.14622,-1.08453,77.09693,-5.189048,-1.350809,0.446216,,,,,,,,,,,,-1.59854,11.46406,-0.20639,50,6.0895,3.63432,-123.45181,-4.11749,-2.44119,26.96985,-14.66677,EAS_TEX,BEL_UNI1,TIGERBALLPARK,D3,Team,20250221-TIGERBALLPARK-1,af7a7840-f09f-11ef-a4dd-b91d1eeb8562,84.47123,,,7.99146,,,,,,,8ed4d07d-2cf3-4a2c-8389-4beaef5f2085,2025-02-21,22:00:49.62,2025-02-21T16:00:49.6261632-06:00,2025-02-21T22:00:49.6261632Z,,v3,,,,"Chavez, Nicolas",1000313670,Right,EAS_TEX,92dca505-a5f0-498c-ac89-fc16f986fd19,54.23541,-124.37365,13.48492,6.22168,-3.61617,-7.33339,-0.33204,3.71776,-1.2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-21,16:01:06.34,1,6,"Irwin, Matthew",1000116016,Right,EAS_TEX,"Roberts, Hayden",10118801,Left,BEL_UNI1,Undefined,1,Top,0,3,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.40887,-2.192339,-0.936773,2179.32694,185.475329,12:15,6.28797,0.32413,6.54746,-14.11702,22.85663,2.06307,3.09988,-0.36306,78.01954,-4.976317,-0.561955,0.43764,71.46723,13.190294,-175.63125,1669.194999,-109.44949,8.66246,-10.99008,143.07563,41.45824,-173.854801,1.7053,-1.34473,12.91993,-0.25998,50,6.12898,1.96374,-125.31756,-5.04697,-2.11242,28.20293,-11.87841,EAS_TEX,BEL_UNI1,TIGERBALLPARK,D3,Team,20250221-TIGERBALLPARK-1,ba30a070-f09f-11ef-a4dd-b91d1eeb8562,86.12652,12.13042,,8.38933,,,,2.27891,3.14115,0.30491,8ed4d07d-2cf3-4a2c-8389-4beaef5f2085,2025-02-21,22:01:06.34,2025-02-21T16:01:06.3420928-06:00,2025-02-21T22:01:06.3420928Z,LineDrive,v3,,,,"Chavez, Nicolas",1000313670,Right,EAS_TEX,1b7831c7-b69d-4767-a0dd-371d38701813,53.94185,-126.20156,14.10147,6.28134,-4.67465,-5.93921,-0.32257,2.02995,-1.05621,223.959695,1.95548,-99.08759,8.60739,,,,,,,3.32098,22.48489,-14.38379,,,,,,,0.35632,-8.2029,-0.59337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2025-02-21,16:01:25.55,1,7,"Irwin, Matthew",1000116016,Right,EAS_TEX,"Roberts, Hayden",10118801,Left,BEL_UNI1,Undefined,1,Top,0,3,2,Undefined,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,86.80579,-3.113243,-1.578111,2159.071807,181.656982,12:00,6.20496,0.30162,6.38852,-15.71906,20.92773,0.56945,2.02758,-1.10283,79.07685,-6.148296,-1.474995,0.435702,,,,,,,,,,,,-0.76232,12.20552,-0.18844,50,5.97341,3.4471,-125.91897,-7.22189,-1.21673,26.97725,-12.69318,EAS_TEX,BEL_UNI1,TIGERBALLPARK,D3,Team,20250221-TIGERBALLPARK-1,c4e2f810-f09f-11ef-a4dd-b91d1eeb8562,86.50969,,,7.72894,,,,,,,8ed4d07d-2cf3-4a2c-8389-4beaef5f2085,2025-02-21,22:01:25.55,2025-02-21T16:01:25.5526912-06:00,2025-02-21T22:01:25.5526912Z,,v3,,,,"Chavez, Nicolas",1000313670,Right,EAS_TEX,095285f4-7954-448a-92bb-31b35e2f444d,54.10765,-126.79595,13.48863,6.20148,-6.80926,-6.34659,-0.30114,3.48666,-0.60837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-21,16:01:53.26,2,1,"Irwin, Matthew",1000116016,Right,EAS_TEX,"Pearson, Tristan",1000316169,Right,BEL_UNI1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.20228,-3.435171,-1.199309,2068.121297,195.111958,12:30,6.34322,0.37873,6.18012,-18.95698,20.47477,5.15217,1.58682,-0.29957,76.49902,-7.056773,-0.269338,0.451954,,,,,,,,,,,,-3.03823,12.07083,-0.29073,50,6.07388,2.35697,-122.0377,-7.81238,-4.5358,26.27467,-14.15344,EAS_TEX,BEL_UNI1,TIGERBALLPARK,D3,Team,20250221-TIGERBALLPARK-1,d5607730-f09f-11ef-a4dd-b91d1eeb8562,83.39881,,,7.70327,,,,,,,8ed4d07d-2cf3-4a2c-8389-4beaef5f2085,2025-02-21,22:01:53.26,2025-02-21T16:01:53.2610560-06:00,2025-02-21T22:01:53.2610560Z,,v3,,,,"Chavez, Nicolas",1000313670,Right,EAS_TEX,6837fe07-ac6f-4e63-9d89-d9b3cb0308ee,54.31586,-122.96339,13.13734,6.34033,-7.31373,-7.07673,-0.37658,2.51677,-2.2679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-21,16:02:09.08,2,2,"Irwin, Matthew",1000116016,Right,EAS_TEX,"Pearson, Tristan",1000316169,Right,BEL_UNI1,Undefined,1,Top,0,0,1,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,70.22954,1.409155,-0.607811,2236.468839,18.622891,6:30,6.18062,0.5464,5.67138,-63.60255,-6.17453,-2.71256,2.19452,-0.24634,64.52907,-10.204414,-1.093867,0.545423,36.59649,9.322031,-73.2618,3218.804851,,,,33.70932,32.54021,-68.754454,0.644007,1.20937,-3.1463,-0.49331,50,6.25887,1.17238,-101.98994,0.64905,1.26332,18.06843,-35.46066,EAS_TEX,BEL_UNI1,TIGERBALLPARK,D3,Team,20250221-TIGERBALLPARK-1,dee5e790-f09f-11ef-a4dd-b91d1eeb8562,69.10681,3.56093,,5.70046,,,,4.01134,2.64757,0.19734,8ed4d07d-2cf3-4a2c-8389-4beaef5f2085,2025-02-21,22:02:09.08,2025-02-21T16:02:09.0881024-06:00,2025-02-21T22:02:09.0881024Z,GroundBall,v3,,,,"Chavez, Nicolas",1000313670,Right,EAS_TEX,0f5dc3cf-7adb-498e-a238-f4d0cf477fe0,54.82948,-102.84197,9.03421,6.18884,2.32122,-17.73033,-0.54719,1.11281,0.63166,,4.01134,15.25413,-4.20702,0.55549,-0.13531,-0.00428,-0.00031,0.00552,-0.00077,2.64757,8.69441,-21.07587,2.09496,-0.4274,0.07513,-0.00563,0.00817,-0.00242,0.19734,-50.72178,2.12951,0.72701,-0.21763,0.09013,-0.00631,0.00326,-0.00289,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,High,,,
10,2025-02-21,16:02:30.12,2,3,"Irwin, Matthew",1000116016,Right,EAS_TEX,"Pearson, Tristan",1000316169,Right,BEL_UNI1,Undefined,1,Top,0,0,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,1,0,,78.52759,-4.8458,-2.267889,1499.843101,234.007115,1:45,5.87562,0.99195,6.4921,-31.29596,13.52694,16.5067,-1.1949,0.28453,72.15034,-10.66904,0.734625,0.481861,,,,,,,,,,,,-9.53323,8.9913,-0.84057,50,5.5212,3.97791,-113.7219,-10.45924,-12.383,22.43703,-20.49499,EAS_TEX,BEL_UNI1,TIGERBALLPARK,D3,Team,20250221-TIGERBALLPARK-1,eb6adc50-f09f-11ef-a4dd-b91d1eeb8562,78.22271,,,6.37725,,,,,,,8ed4d07d-2cf3-4a2c-8389-4beaef5f2085,2025-02-21,22:02:30.12,2025-02-21T16:02:30.1200000-06:00,2025-02-21T22:02:30.1200000Z,,v3,,,,"Chavez, Nicolas",1000313670,Right,EAS_TEX,9f9bea62-ed87-42c3-97b5-1c09e6a99f53,54.00846,-114.51003,11.21851,5.87595,-9.73933,-10.2475,-0.98794,4.41288,-6.1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.35256,,,0.929517,,,,0.54941,5.72716,0.67074,64.62519,6.73231,60.15252,0.6041,77.44513,-9.31974,5.73549,12.39897,-12.20333,0.69045,68.00397,-4.37577,High,High,High,,,High,High,High
