PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,18:07:25.83,1,1,"McKinney, Collin",803289,Right,ARI_WIL,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.95691,-2.212585,-1.147724,2306.800374,203.934702,12:45,5.91635,0.60309,6.47483,-13.08142,17.85347,7.49087,2.79296,0.17321,85.93561,-4.745363,0.211549,0.400309,,,,,,,,,,,,-4.16008,10.1806,-0.52483,50,5.75392,2.40782,-136.47521,-5.58378,-7.85747,29.62495,-12.94519,ARI_WIL,SAN_TOR,UArizona,D1,BIG12,20250221-UArizona-1,6149d7a0-f0b9-11ef-a23d-a3cf1ec8c734,94.15829,,,8.0213,,,,,,,74591aa3-de38-415b-bafe-83d2bf79e221,2025-02-22,01:07:25.83,2025-02-21T18:07:25.8308608-07:00,2025-02-22T01:07:25.8308608Z,,v3,232,5320,21 February 2025 20:00-sandiego@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,7880e641-537f-470f-a818-903592f61904,54.02089,-137.34526,14.81248,5.91233,-5.2036,-6.4726,-0.59893,2.63858,-3.92873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,18:07:45.71,1,2,"McKinney, Collin",803289,Right,ARI_WIL,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,0,0,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Error,0,0,,78.36265,1.032206,0.718043,2341.014477,24.992343,6:45,6.03886,0.48069,5.40446,-56.6255,-10.43595,-5.50953,2.28742,0.6944,72.3691,-9.225433,-0.264437,0.489151,108.82009,7.459861,1.074148,3210.570612,109.9992,5.55014,-0.41066,151.79695,150.01748,-0.562088,1.104565,2.99146,-5.21492,-0.54057,50,6.09039,-1.21541,-113.88156,0.09832,3.9324,20.72102,-39.02924,ARI_WIL,SAN_TOR,UArizona,D1,BIG12,20250221-UArizona-1,6d399140-f0b9-11ef-a23d-a3cf1ec8c734,77.0568,7.01071,,5.99355,,,,2.12315,2.19042,-0.40684,74591aa3-de38-415b-bafe-83d2bf79e221,2025-02-22,01:07:45.71,2025-02-21T18:07:45.7171456-07:00,2025-02-22T01:07:45.7171456Z,LineDrive,v3,232,5320,21 February 2025 20:00-sandiego@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,4cb27ca2-408d-4d08-a27c-8f1a49871d9e,55.09919,-114.80562,10.36051,6.0472,1.83884,-19.51462,-0.48246,-1.39077,1.9662,44.064456,2.3195,155.76087,-18.64698,,,,,,,2.34036,18.83761,-19.08064,,,,,,,-0.34984,2.24371,-3.00525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-02-21,18:08:36.56,2,1,"McKinney, Collin",803289,Right,ARI_WIL,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.74595,-0.822088,-0.545265,2207.998903,191.403291,12:30,5.99632,0.98753,6.23455,-12.43434,20.41005,3.90051,4.20165,0.80955,83.4458,-3.253163,0.159261,0.412479,,,,,,,,,,,,-2.16414,11.10548,-0.94864,50,5.92845,1.10228,-133.28485,-2.19857,-3.87812,29.67154,-12.27315,ARI_WIL,SAN_TOR,UArizona,D1,BIG12,20250221-UArizona-1,8b7b14d0-f0b9-11ef-a23d-a3cf1ec8c734,91.38024,,,8.30015,,,,,,,74591aa3-de38-415b-bafe-83d2bf79e221,2025-02-22,01:08:36.56,2025-02-21T18:08:36.5660672-07:00,2025-02-22T01:08:36.5660672Z,,v3,232,5320,21 February 2025 20:00-sandiego@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,6621ff74-0806-4c90-98f7-c2fab3c2ca33,54.26232,-134.23036,14.83577,5.99227,-1.80747,-6.13658,-0.98573,1.22586,-1.93906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-21,18:08:58.03,2,2,"McKinney, Collin",803289,Right,ARI_WIL,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.67502,0.39099,0.396441,2245.09865,28.944684,7:00,5.99019,0.99685,5.88518,-45.45939,-3.79028,-2.77827,2.565,1.13348,75.38253,-7.944781,-0.103093,0.464599,,,,,,,,,,,,1.52347,-1.6228,-1.02727,50,5.99572,-0.71364,-118.75967,-0.71375,2.18335,21.99789,-34.4998,ARI_WIL,SAN_TOR,UArizona,D1,BIG12,20250221-UArizona-1,984d6640-f0b9-11ef-a23d-a3cf1ec8c734,81.12893,,,6.29248,,,,,,,74591aa3-de38-415b-bafe-83d2bf79e221,2025-02-22,01:08:58.03,2025-02-21T18:08:58.0374528-07:00,2025-02-22T01:08:58.0374528Z,,v3,232,5320,21 February 2025 20:00-sandiego@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,fae90a5b-96f4-4835-933b-28490c9523a0,54.61557,-119.61155,10.99894,5.99748,0.62228,-17.2499,-0.998,-0.79819,1.09167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-21,18:09:19.35,2,3,"McKinney, Collin",803289,Right,ARI_WIL,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.90017,-1.570159,-0.423434,2338.908569,196.53876,12:30,5.98514,0.92235,6.33289,-11.13686,21.57139,6.0789,3.61088,1.03902,83.4127,-3.772449,0.676618,0.411623,77.84961,61.705549,-66.165721,3966.17607,,,,,68.17499,,,-3.2939,12.0306,-0.89426,50,5.86522,0.73683,-133.49494,-3.89377,-5.90031,30.7108,-10.62371,ARI_WIL,SAN_TOR,UArizona,D1,BIG12,20250221-UArizona-1,a4ff1050-f0b9-11ef-a23d-a3cf1ec8c734,91.57024,100.76391,,8.48748,,,,1.32897,2.62768,-0.98082,74591aa3-de38-415b-bafe-83d2bf79e221,2025-02-22,01:09:19.35,2025-02-21T18:09:19.3503744-07:00,2025-02-22T01:09:19.3503744Z,,v3,232,5320,21 February 2025 20:00-sandiego@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,08cf00c2-4481-4d24-bd17-22651b1b0d1d,54.16549,-134.4498,15.3554,5.98115,-3.56346,-5.31185,-0.92002,0.92029,-2.95015,,1.32897,21.86997,-10.52379,3.22347,-0.75804,0.09013,0.06452,-0.04942,0.01107,2.62768,100.53745,-26.47221,3.09554,-0.60136,0.10499,-0.02118,0.00475,-0.00072,-0.98082,-49.50572,4.65058,-0.75936,0.0948,-0.01497,0.00828,-0.00441,0.00099,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
6,2025-02-21,18:09:49.40,2,4,"McKinney, Collin",803289,Right,ARI_WIL,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,0,1,2,ChangeUp,Splitter,InPlay,Undefined,FlyBall,Out,1,0,,84.76386,-0.719302,-2.333667,1074.528671,252.958307,2:30,6.03325,0.99585,6.15534,-33.27033,5.29,13.2406,2.59558,-0.05802,77.61478,-6.904862,0.055525,0.446932,94.41685,20.777986,11.795921,2591.716979,108.17116,37.3829,19.97387,333.93976,327.86409,7.016662,3.949933,-7.56646,3.28528,-0.82538,50,5.96139,4.51603,-123.13084,-2.59396,-11.5841,25.08029,-27.14434,ARI_WIL,SAN_TOR,UArizona,D1,BIG12,20250221-UArizona-1,b6ea9e60-f0b9-11ef-a23d-a3cf1ec8c734,84.33591,48.11412,,7.14908,,,,1.63833,2.36177,-0.00938,74591aa3-de38-415b-bafe-83d2bf79e221,2025-02-22,01:09:49.40,2025-02-21T18:09:49.4054400-07:00,2025-02-22T01:09:49.4054400Z,LineDrive,v3,232,5320,21 February 2025 20:00-sandiego@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,761e9242-cbab-4ea5-aeeb-08fd2eee7968,54.3455,-124.01281,12.54014,6.03583,-1.63941,-13.57217,-0.99136,4.9234,-5.79205,165.866833,1.63795,126.74931,-21.34354,4.94065,-1.06391,0.20732,-0.03234,0.00318,-0.00013,2.36229,49.10678,-13.55024,0.09577,0.08909,-0.02078,-6E-05,0.00108,-0.00014,-0.00943,26.4674,-7.124,1.31568,-0.24087,0.04637,-0.00781,0.00075,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-02-21,18:10:38.75,3,1,"McKinney, Collin",803289,Right,ARI_WIL,"Fitz, Jonathan",812192,Right,SAN_TOR,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.0879,0.575681,0.367494,2247.792746,6.827293,6:15,6.11599,0.6697,6.05668,-57.25039,-11.07012,-1.47591,1.87802,0.88687,71.91735,-9.883718,0.100854,0.489102,,,,,,,,,,,,0.85807,-5.51481,-0.69745,50,6.12976,-0.66878,-112.24914,-0.6423,1.10431,18.66345,-39.27138,ARI_WIL,SAN_TOR,UArizona,D1,BIG12,20250221-UArizona-1,d4583020-f0b9-11ef-a23d-a3cf1ec8c734,77.06454,,,5.17055,,,,,,,74591aa3-de38-415b-bafe-83d2bf79e221,2025-02-22,01:10:38.75,2025-02-21T18:10:38.7572736-07:00,2025-02-22T01:10:38.7572736Z,,v3,232,5320,21 February 2025 20:00-sandiego@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,a1c11cab-338e-4f3d-a120-1a2e2979e345,54.44798,-112.98628,9.33173,6.12449,0.90877,-19.63569,-0.67018,-0.7124,0.55216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-21,18:10:59.94,3,2,"McKinney, Collin",803289,Right,ARI_WIL,"Fitz, Jonathan",812192,Right,SAN_TOR,Undefined,1,Top,1,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.3782,-0.547825,-1.548691,2227.517787,88.587588,9:00,6.03391,0.84016,5.71211,-40.30042,1.17595,-4.92386,2.16498,-1.01332,75.70011,-7.934379,-2.430338,0.463523,,,,,,,,,,,,2.0637,1.16473,-0.70746,50,5.96317,3.43092,-119.62314,-2.5121,2.98589,23.39523,-30.48886,ARI_WIL,SAN_TOR,UArizona,D1,BIG12,20250221-UArizona-1,e0fd08f0-f0b9-11ef-a23d-a3cf1ec8c734,81.31722,,,6.67808,,,,,,,74591aa3-de38-415b-bafe-83d2bf79e221,2025-02-22,01:10:59.94,2025-02-21T18:10:59.9498240-07:00,2025-02-22T01:10:59.9498240Z,,v3,232,5320,21 February 2025 20:00-sandiego@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,22c3a49f-7bef-4cdc-a979-4d60fee7a8e5,54.78721,-120.55576,11.69762,6.03909,-1.2967,-15.24443,-0.84186,3.31189,1.49294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-21,18:11:18.43,3,3,"McKinney, Collin",803289,Right,ARI_WIL,"Fitz, Jonathan",812192,Right,SAN_TOR,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.09434,-2.43847,-0.856415,2191.550081,193.836947,12:30,5.96415,0.61099,6.35811,-15.80851,16.71607,3.85059,2.40091,0.14361,83.87425,-5.471796,-0.159057,0.410466,69.38278,23.923044,148.743637,3957.683396,,,,,45.70665,,,-2.25791,9.75292,-0.55067,50,5.77987,1.84091,-133.71544,-6.12313,-4.06571,30.30111,-14.61251,ARI_WIL,SAN_TOR,UArizona,D1,BIG12,20250221-UArizona-1,ebfda7a0-f0b9-11ef-a23d-a3cf1ec8c734,91.82836,18.26277,,8.22009,,,,0.95533,2.05489,-0.22792,74591aa3-de38-415b-bafe-83d2bf79e221,2025-02-22,01:11:18.43,2025-02-21T18:11:18.4392192-07:00,2025-02-22T01:11:18.4392192Z,,v3,232,5320,21 February 2025 20:00-sandiego@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,0cc41b2d-65a4-44e0-9fa2-820fdeba3129,54.14017,-134.65038,15.15055,5.96184,-5.67227,-7.30625,-0.6094,1.96635,-2.03286,291.063645,0.95533,-79.51772,3.81572,0.26563,-0.03654,0.01976,-0.00395,-0.00194,0.00126,2.05489,41.26513,-21.0272,2.29199,-0.34844,0.09063,-0.01417,0.00133,-0.00018,-0.22792,48.26462,-9.99675,0.29078,-0.07594,-0.00397,0.00724,-0.00174,0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2025-02-21,18:11:48.34,3,4,"McKinney, Collin",803289,Right,ARI_WIL,"Fitz, Jonathan",812192,Right,SAN_TOR,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.41201,-1.818534,-1.476687,2233.48026,199.56211,12:45,6.03736,0.65486,6.47,-13.40639,18.64643,6.25815,3.2489,-0.18012,84.30203,-4.422574,-0.34154,0.407478,75.70635,24.504996,161.123536,3069.907536,,,,,45.58565,,,-3.69512,10.58934,-0.55336,50,5.90286,3.20826,-134.2676,-4.59019,-6.72939,29.71805,-12.88926,ARI_WIL,SAN_TOR,UArizona,D1,BIG12,20250221-UArizona-1,fdc55a00-f0b9-11ef-a23d-a3cf1ec8c734,92.5017,20.17579,,8.10999,,,,1.01255,2.96925,0.04417,74591aa3-de38-415b-bafe-83d2bf79e221,2025-02-22,01:11:48.34,2025-02-21T18:11:48.3441152-07:00,2025-02-22T01:11:48.3441152Z,,v3,232,5320,21 February 2025 20:00-sandiego@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,db061f63-298f-463f-9a62-21dd889db512,54.02881,-135.15637,14.85903,6.03438,-4.20471,-6.44463,-0.65232,3.40952,-3.36469,287.01925,1.01025,-95.53863,7.22159,,,,,,,2.97993,45.75944,-21.29807,,,,,,,0.05858,32.28784,-10.83788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
