PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,13:59:47.47,1,1,"Chabot, Henry",1000230538,Right,CHA_UNI,"Ng, JC",1000115591,Left,POM_COL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.31826,-3.747331,-3.552132,2496.204875,224.55057,1:30,6.07943,1.62853,5.71973,-18.29532,16.19769,14.89083,1.05252,-0.44358,83.10222,-7.168214,-0.892982,0.422705,,,,,,,,,,,,-8.54327,9.56197,-1.34092,50,5.75408,7.48172,-130.78276,-9.17113,-14.88572,26.02852,-15.51341,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,2aa5a5e0-f09f-11ef-9eed-2b38f4c1a1b8,89.16968,,,7.21604,,,,,,,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,21:59:47.47,2025-02-21T13:59:47.4796032-08:00,2025-02-21T21:59:47.4796032Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,2f713602-6854-4a3b-b229-6d74ac0cdb1e,54.78061,-131.73077,13.01426,6.07782,-8.60611,-7.75671,-1.62329,8.02388,-7.44286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,14:00:01.09,1,2,"Chabot, Henry",1000230538,Right,CHA_UNI,"Ng, JC",1000115591,Left,POM_COL,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.14321,-2.424593,-2.15673,2393.680381,139.132775,10:45,6.02854,1.5667,5.56273,-34.46073,7.50418,-5.36441,0.88874,-0.89616,75.76065,-8.719894,-3.114066,0.466245,,,,,,,,,,,,2.1389,4.84922,-1.37683,50,5.79633,4.69845,-119.13719,-6.19897,3.07617,22.74573,-25.19987,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,32ccbec0-f09f-11ef-9eed-2b38f4c1a1b8,80.8425,,,6.38255,,,,,,,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,22:00:01.09,2025-02-21T14:00:01.0913280-08:00,2025-02-21T22:00:01.0913280Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,9694ac65-c736-44ab-b769-094da85a9e03,54.93674,-120.07601,11.37286,6.03073,-5.15885,-12.59993,-1.56814,4.57148,1.53809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-21,14:00:18.64,1,3,"Chabot, Henry",1000230538,Right,CHA_UNI,"Ng, JC",1000115591,Left,POM_COL,Undefined,1,Top,0,2,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.62088,1.43696,-1.671028,2357.219568,42.330669,7:30,6.36851,1.17981,5.3639,-53.1892,-4.92355,-5.75599,3.28437,-0.86722,70.89394,-8.209891,-2.694496,0.500023,,,,,,,,,,,,2.45315,-2.41154,-1.02555,50,6.45952,3.46814,-111.2903,0.99397,3.09413,18.90965,-35.21568,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,3d2c8990-f09f-11ef-9eed-2b38f4c1a1b8,75.38134,,,5.72694,,,,,,,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,22:00:18.64,2025-02-21T14:00:18.6411520-08:00,2025-02-21T22:00:18.6411520Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,5e8e4bdb-c7ca-41fa-afd7-0c52a0d63686,55.1375,-112.15983,9.45483,6.37659,2.6133,-17.60784,-1.18176,3.32586,1.54706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-21,14:00:33.36,1,4,"Chabot, Henry",1000230538,Right,CHA_UNI,"Ng, JC",1000115591,Left,POM_COL,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.61872,-2.619832,-2.686997,2482.541996,227.610826,1:30,5.98955,1.33823,5.91205,-18.19883,14.89843,15.2358,2.03706,0.11217,84.39121,-6.035417,0.046768,0.414064,,,,,,,,,,,,-8.49552,8.61626,-1.13128,50,5.76863,5.58648,-132.96976,-6.66982,-15.32822,26.44011,-16.62793,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,4606ece0-f09f-11ef-9eed-2b38f4c1a1b8,91.0305,,,7.22751,,,,,,,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,22:00:33.36,2025-02-21T14:00:33.3684736-08:00,2025-02-21T22:00:33.3684736Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,6b94d9a3-010a-4c03-b5d1-ef628262d2e9,54.58789,-133.87892,13.22006,5.98814,-6.09806,-8.31396,-1.33243,6.11355,-7.66411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-21,14:00:49.03,1,5,"Chabot, Henry",1000230538,Right,CHA_UNI,"Ng, JC",1000115591,Left,POM_COL,Undefined,1,Top,0,3,1,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,93.13654,-3.462083,-3.493311,2527.037355,233.561202,1:45,6.08675,1.16752,6.02291,-19.64788,12.273,15.34776,1.23298,-0.79301,86.03605,-7.125704,-0.735711,0.406639,,,,,,,,,,,,-8.82788,7.48863,-0.90233,50,5.80418,7.59812,-135.03456,-8.83228,-16.45523,26.78036,-18.21516,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,4f50dae0-f09f-11ef-9eed-2b38f4c1a1b8,92.69266,,,7.1005,,,,,,,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,22:00:49.03,2025-02-21T14:00:49.0322944-08:00,2025-02-21T22:00:49.0322944Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,dbdfce4d-4ad9-4771-8edb-486cbaad1e05,54.47833,-135.91981,13.39018,6.08619,-8.23016,-9.10758,-1.16248,8.14207,-8.22762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-21,14:01:19.45,2,1,"Chabot, Henry",1000230538,Right,CHA_UNI,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.60812,-3.341286,-2.573461,2457.106401,224.938004,1:30,6.06523,1.4691,5.60613,-18.41993,15.1167,14.07324,1.40455,0.23801,84.43034,-6.771485,-0.062166,0.416803,,,,,,,,,,,,-7.80433,8.83445,-1.25822,50,5.767,5.34577,-132.8193,-8.38317,-14.05017,26.36346,-16.26936,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,617bbbe0-f09f-11ef-9eed-2b38f4c1a1b8,90.4322,,,7.17778,,,,,,,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,22:01:19.45,2025-02-21T14:01:19.4530816-08:00,2025-02-21T22:01:19.4530816Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,df1df2ef-9ef8-4380-a49b-13dc9a0b9bf0,54.89383,-133.78715,13.18173,6.0638,-7.78589,-8.13468,-1.46394,5.86158,-7.02509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-21,14:01:39.68,2,2,"Chabot, Henry",1000230538,Right,CHA_UNI,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.67159,0.362437,-2.297644,2427.123708,233.07767,1:45,6.11217,1.50272,5.83077,-22.2271,11.79493,14.28808,4.5971,0.55647,82.83285,-3.802504,0.261743,0.419809,,,,,,,,,,,,-7.89004,6.24402,-1.32342,50,6.12868,4.65555,-131.65233,0.09191,-13.86778,27.56955,-21.19942,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,6d6dbf70-f09f-11ef-9eed-2b38f4c1a1b8,89.7848,,,7.83874,,,,,,,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,22:01:39.68,2025-02-21T14:01:39.6862976-08:00,2025-02-21T22:01:39.6862976Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,3b15b1d0-9551-4de3-9449-a8071133263e,54.66754,-132.62616,13.78478,6.11221,0.84073,-10.59971,-1.49651,5.1454,-6.93389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-21,14:01:58.42,2,3,"Chabot, Henry",1000230538,Right,CHA_UNI,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,0,2,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.52305,-0.433942,-1.957934,2362.904491,151.07325,11:00,6.04912,1.67891,5.3275,-38.24337,5.23284,-2.23386,2.45474,-0.34516,74.87411,-7.386054,-2.354711,0.474567,,,,,,,,,,,,0.65425,3.09748,-1.50018,50,5.98212,4.08914,-117.00204,-2.20831,0.91899,19.33054,-27.82331,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,78a4d770-f09f-11ef-9eed-2b38f4c1a1b8,79.42497,,,5.64893,,,,,,,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,22:01:58.42,2025-02-21T14:01:58.4276480-08:00,2025-02-21T22:01:58.4276480Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,b857e28b-becf-421c-b8ea-5b203cf10c3b,55.17272,-117.85356,9.66527,6.0524,-0.98269,-13.91165,-1.67941,4.04865,0.45949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-21,14:02:30.36,2,4,"Chabot, Henry",1000230538,Right,CHA_UNI,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.79232,-3.139408,-3.06664,2537.909887,230.268809,1:45,6.01313,1.50841,5.74666,-20.76525,12.30674,13.67312,1.35273,-0.20999,85.04947,-6.983697,-0.621375,0.413906,,,,,,,,,,,,-7.74619,7.33256,-1.26203,50,5.73891,6.54595,-133.16216,-8.0295,-14.08799,25.14752,-18.83833,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,8bc16b70-f09f-11ef-9eed-2b38f4c1a1b8,91.06525,,,6.74285,,,,,,,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,22:02:30.36,2025-02-21T14:02:30.3693312-08:00,2025-02-21T22:02:30.3693312Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,d974d7c6-369a-4faf-94e4-d799cac9e6e2,54.75443,-134.05703,12.57376,6.01271,-7.35915,-9.41917,-1.50389,7.04726,-7.04399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-21,14:02:48.31,2,5,"Chabot, Henry",1000230538,Right,CHA_UNI,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.41903,-2.17934,-2.911271,2491.629258,227.847133,1:30,5.94727,1.66232,5.72398,-20.34745,12.8006,13.16099,2.21818,0.04514,85.01939,-5.948664,-0.558895,0.414381,85.48872,63.23593,-43.036388,4845.854581,,,,,59.41946,,,-7.41898,7.3067,-1.42759,50,5.75237,6.19468,-132.80866,-5.76092,-13.49005,23.62505,-18.88817,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,9671ee50-f09f-11ef-9eed-2b38f4c1a1b8,90.96075,103.81505,,6.39965,,,,1.61094,1.21282,1.13922,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,22:02:48.31,2025-02-21T14:02:48.3124224-08:00,2025-02-21T22:02:48.3124224Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,adeaa7cd-2d80-4a71-9684-09e84699ef66,54.77786,-133.65588,11.81253,5.94681,-5.08357,-9.44408,-1.65842,6.67844,-6.74503,154.276075,1.61094,41.27019,-17.99622,5.55875,-0.42236,-1.20549,1.14072,-0.49207,0.08571,1.21283,111.95051,-29.896,3.75385,-0.81131,0.39045,-0.26147,0.10729,-0.01851,1.13922,-38.53303,-0.06442,1.01527,0.02613,-0.59073,0.54126,-0.23347,0.04073,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
11,2025-02-21,14:03:51.54,2,6,"Chabot, Henry",1000230538,Right,CHA_UNI,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,0,3,2,Slider,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,81.5358,2.22426,-1.261128,2320.715797,102.097757,9:30,5.96852,1.57943,5.486,-40.12392,1.9535,-3.94118,4.70736,0.07094,75.61788,-5.102817,-1.962593,0.46687,,,,,,,,,,,,1.68973,0.8361,-1.46618,50,6.1362,2.76772,-118.48567,3.20912,2.44017,19.27324,-30.96661,CHA_UNI,POM_COL,WOHartPark,D3,Team,20250221-WOHartPark-1,bc1035e0-f09f-11ef-9eed-2b38f4c1a1b8,80.73434,,,5.91792,,,,,,,39296112-768e-40d9-906b-99abefd2038d,2025-02-21,22:03:51.54,2025-02-21T14:03:51.5418112-08:00,2025-02-21T22:03:51.5418112Z,,v3,,POM_PIT,,"Beckley, Brennan",1000118419,Right,CHA_UNI,30e8ec0c-0ebf-4885-87b0-986ee233a347,55.01431,-119.29852,9.63662,5.97331,4.51514,-15.48331,-1.58074,2.6648,1.22009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
