PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,13:35:14.35,1,1,"Rodriguez, Joel",807487,Right,CHA_BUC,"Taclas, Aidan",1000132634,Left,MAN_JAS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.04861,-3.706791,-4.624264,2172.058286,212.262027,1:00,5.77103,2.35522,6.59582,-15.13308,18.15745,10.73398,1.09762,-0.99663,82.76863,-6.631709,-2.681422,0.415271,,,,,,,,,,,,-7.12343,11.05835,-2.04302,50,5.51012,10.25215,-131.71681,-8.93896,-12.4154,30.04393,-12.90045,CHA_BUC,MAN_JAS,CSUBallparkNielsen,D1,BSOU,20250222-CSUBallparkNielsen-1,c1def3b0-f14b-11ef-8f88-c7d2c90f801a,90.76583,,,8.27999,,,,,,,1ef40f33-f410-4d69-acd5-3a311fba8f94,2025-02-22,18:35:14.35,2025-02-22T13:35:14.3570000-05:00,2025-02-22T18:35:14.3570000Z,,v3,471239,471345,,"Pringle, Lucas",1000268589,Right,CHA_BUC,8efc4332-eedb-41c1-a975-0ac7674746b0,53.90946,-132.60554,15.02197,5.7689,-8.55735,-6.45023,-2.35172,10.61941,-6.2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-22,13:35:31.75,1,2,"Rodriguez, Joel",807487,Right,CHA_BUC,"Taclas, Aidan",1000132634,Left,MAN_JAS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.29759,-1.727052,-2.746895,2150.74259,220.820765,1:15,5.74113,2.26203,6.70959,-19.87761,13.4469,10.68268,2.50333,0.63886,82.44022,-5.522068,-0.801824,0.415483,,,,,,,,,,,,-6.40685,7.91949,-2.08323,50,5.6183,5.88063,-131.14157,-4.49412,-11.12663,28.4492,-18.42046,CHA_BUC,MAN_JAS,CSUBallparkNielsen,D1,BSOU,20250222-CSUBallparkNielsen-1,cc4eeb20-f14b-11ef-8f88-c7d2c90f801a,90.71959,,,7.85738,,,,,,,1ef40f33-f410-4d69-acd5-3a311fba8f94,2025-02-22,18:35:31.75,2025-02-22T13:35:31.7560000-05:00,2025-02-22T18:35:31.7560000Z,,v3,471239,471345,,"Pringle, Lucas",1000268589,Right,CHA_BUC,882660a4-a1a8-4b8d-ade5-80b291f32d15,53.7934,-131.96193,14.2246,5.74024,-3.96296,-9.21023,-2.25742,6.20147,-5.56332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,13:35:52.65,1,3,"Rodriguez, Joel",807487,Right,CHA_BUC,"Taclas, Aidan",1000132634,Left,MAN_JAS,Undefined,1,Top,0,1,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.52641,-2.984182,-2.642486,2152.65636,201.451029,12:45,5.85323,2.26028,6.28733,-25.36525,9.75044,3.40811,0.98363,0.10707,81.55975,-7.70801,-2.026474,0.426503,,,,,,,,,,,,-2.51488,6.20012,-2.06702,50,5.62033,5.80086,-128.47851,-7.48791,-4.21302,26.0583,-21.7874,CHA_BUC,MAN_JAS,CSUBallparkNielsen,D1,BSOU,20250222-CSUBallparkNielsen-1,d8b29c40-f14b-11ef-8f88-c7d2c90f801a,88.37557,,,6.96666,,,,,,,1ef40f33-f410-4d69-acd5-3a311fba8f94,2025-02-22,18:35:52.65,2025-02-22T13:35:52.6570000-05:00,2025-02-22T18:35:52.6570000Z,,v3,471239,471345,,"Pringle, Lucas",1000268589,Right,CHA_BUC,f52c946c-359d-40df-a1f4-4e2619381784,54.21839,-129.33127,13.02915,5.85371,-6.77492,-10.8937,-2.25911,5.93873,-2.10651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,13:36:13.51,1,4,"Rodriguez, Joel",807487,Right,CHA_BUC,"Taclas, Aidan",1000132634,Left,MAN_JAS,Undefined,1,Top,0,2,1,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.7609,-2.45319,-3.302827,2179.950207,185.050579,12:15,5.83102,2.33785,6.20668,-23.45797,11.62784,0.93169,1.60657,-0.63664,81.59585,-6.835948,-3.134991,0.426321,,,,,,,,,,,,-1.39941,7.03406,-2.08991,50,5.63438,7.39573,-128.77154,-6.24857,-2.35235,26.4631,-20.35002,CHA_BUC,MAN_JAS,CSUBallparkNielsen,D1,BSOU,20250222-CSUBallparkNielsen-1,e5267a00-f14b-11ef-8f88-c7d2c90f801a,88.41318,,,7.16506,,,,,,,1ef40f33-f410-4d69-acd5-3a311fba8f94,2025-02-22,18:36:13.51,2025-02-22T13:36:13.5100000-05:00,2025-02-22T18:36:13.5100000Z,,v3,471239,471345,,"Pringle, Lucas",1000268589,Right,CHA_BUC,b269875b-c4a7-4ff3-91b9-3ddf356b74d0,54.2991,-129.65202,13.23155,5.83101,-5.57149,-10.17501,-2.33728,7.474,-1.17617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,13:36:44.31,1,5,"Rodriguez, Joel",807487,Right,CHA_BUC,"Taclas, Aidan",1000132634,Left,MAN_JAS,Undefined,1,Top,0,2,2,Fastball,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,90.39382,-1.248057,-2.830679,2202.481409,190.392314,12:15,5.85065,2.28438,6.26367,-23.85442,10.11382,1.64736,2.71039,-0.19057,82.27742,-5.734592,-2.533413,0.419477,82.68156,-13.764044,2.367114,,,,,11.24521,9.77164,3.405911,0.089249,-1.69862,5.96276,-2.07511,50,5.74634,6.4173,-131.1495,-3.6074,-2.93808,29.52244,-21.8603,CHA_BUC,MAN_JAS,CSUBallparkNielsen,D1,BSOU,20250222-CSUBallparkNielsen-1,f7856350-f14b-11ef-8f88-c7d2c90f801a,89.85586,2.58144,,8.1164,,,,0.69603,2.58144,0.23281,1ef40f33-f410-4d69-acd5-3a311fba8f94,2025-02-22,18:36:44.31,2025-02-22T13:36:44.3190000-05:00,2025-02-22T18:36:44.3190000Z,GroundBall,v3,471239,471345,,"Pringle, Lucas",1000268589,Right,CHA_BUC,87c96ea8-6e51-4633-b0f4-e68cf84487e8,54.23871,-132.10021,14.76122,5.85117,-2.90343,-10.93015,-2.28329,6.51191,-1.46904,180,0.69181,117.97691,,,,,,,,2.58248,-28.9241,,,,,,,,0.23264,4.87686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-22,13:37:24.21,2,1,"Rodriguez, Joel",807487,Right,CHA_BUC,"Hansen, Trevor",10074969,Right,MAN_JAS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.06737,-1.306443,-2.165826,2138.836546,210.499742,1:00,5.93861,2.0074,6.72982,-15.2982,17.54812,9.68449,3.46869,0.83406,82.66937,-4.283244,-0.401436,0.412491,49.79106,26.392223,-1.98567,2629.433402,,,,130.69443,130.69443,1.069476,2.304268,-5.78914,10.00772,-1.86782,50,5.84602,4.63493,-132.30809,-3.38351,-10.17807,30.38146,-14.57915,CHA_BUC,MAN_JAS,CSUBallparkNielsen,D1,BSOU,20250222-CSUBallparkNielsen-1,0f5c7220-f14c-11ef-8f88-c7d2c90f801a,91.37753,20.70607,,8.398,,,,1.63805,3.49335,-0.82911,1ef40f33-f410-4d69-acd5-3a311fba8f94,2025-02-22,18:37:24.21,2025-02-22T13:37:24.2110000-05:00,2025-02-22T18:37:24.2110000Z,GroundBall,v3,471239,471345,,"Pringle, Lucas",1000268589,Right,CHA_BUC,12975ba0-cb13-48b4-8141-9a85522d712b,53.77366,-133.1718,15.19073,5.93632,-2.96904,-7.28958,-2.0037,4.92428,-5.08904,215.499853,1.63801,65.3787,-6.57823,1.72648,-0.5637,0.31778,-0.16883,0.05068,-0.00601,3.49342,32.45666,-15.79648,0.3608,0.32639,-0.39484,0.22927,-0.06448,0.00698,-0.82909,-2.2675,2.72996,-0.79967,0.25578,-0.12491,0.06238,-0.01858,0.00221,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-02-22,13:38:03.42,3,1,"Rodriguez, Joel",807487,Right,CHA_BUC,"Lewis, Andreaus",701475,Left,MAN_JAS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.61668,-2.923309,-4.170981,2135.301504,206.990525,1:00,5.84148,2.33601,6.50403,-19.17174,14.36532,6.75213,1.55112,-0.93656,82.73549,-6.564049,-2.949757,0.416806,,,,,,,,,,,,-4.79866,8.73237,-2.04673,50,5.62782,9.31805,-131.27878,-7.25943,-8.33737,28.93518,-17.00205,CHA_BUC,MAN_JAS,CSUBallparkNielsen,D1,BSOU,20250222-CSUBallparkNielsen-1,26a4ae70-f14c-11ef-8f88-c7d2c90f801a,90.43163,,,7.88119,,,,,,,1ef40f33-f410-4d69-acd5-3a311fba8f94,2025-02-22,18:38:03.42,2025-02-22T13:38:03.4270000-05:00,2025-02-22T18:38:03.4270000Z,,v3,471239,471345,,"Pringle, Lucas",1000268589,Right,CHA_BUC,84772089-3955-47f7-90ce-ee28c278260c,54.00101,-132.1577,14.46759,5.84048,-6.74298,-8.50102,-2.33361,9.5713,-4.16868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,13:38:21.91,3,2,"Rodriguez, Joel",807487,Right,CHA_BUC,"Lewis, Andreaus",701475,Left,MAN_JAS,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.9811,-2.873587,-3.466516,2183.080008,212.008617,1:00,5.77713,2.148,6.65944,-17.00454,16.14828,9.38032,1.72323,-0.24664,82.65906,-6.145683,-1.762371,0.414411,,,,,,,,,,,,-6.03508,9.74201,-1.91826,50,5.57637,7.63385,-131.89376,-7.06977,-10.53687,30.37023,-15.16515,CHA_BUC,MAN_JAS,CSUBallparkNielsen,D1,BSOU,20250222-CSUBallparkNielsen-1,31b049a0-f14c-11ef-8f88-c7d2c90f801a,90.95419,,,8.32204,,,,,,,1ef40f33-f410-4d69-acd5-3a311fba8f94,2025-02-22,18:38:21.91,2025-02-22T13:38:21.9140000-05:00,2025-02-22T18:38:21.9140000Z,,v3,471239,471345,,"Pringle, Lucas",1000268589,Right,CHA_BUC,792abbc3-c885-4d39-ac59-d5e1db26a1da,53.84459,-132.77608,15.18512,5.77535,-6.62919,-7.58258,-2.14449,7.93996,-5.26844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,13:38:45.24,3,3,"Rodriguez, Joel",807487,Right,CHA_BUC,"Lewis, Andreaus",701475,Left,MAN_JAS,Undefined,1,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,91.2322,-2.024929,-3.406832,2196.381517,200.795263,12:45,5.86516,2.22303,6.69549,-15.29733,17.63725,6.26473,2.73445,-0.37427,82.68008,-4.997836,-2.268449,0.413045,57.84047,-20.777604,-9.021305,,,,,8.52159,8.18192,-5.157437,0.090108,-4.36992,10.2819,-1.99815,50,5.72365,7.63706,-132.3221,-5.05317,-7.6675,30.96555,-14.13328,CHA_BUC,MAN_JAS,CSUBallparkNielsen,D1,BSOU,20250222-CSUBallparkNielsen-1,3fa39b70-f14c-11ef-8f88-c7d2c90f801a,91.25502,2.72724,,8.55213,,,,1.38803,2.72724,0.36106,1ef40f33-f410-4d69-acd5-3a311fba8f94,2025-02-22,18:38:45.24,2025-02-22T13:38:45.2470000-05:00,2025-02-22T18:38:45.2470000Z,GroundBall,v3,471239,471345,,"Pringle, Lucas",1000268589,Right,CHA_BUC,ba79f676-63d4-4827-b500-f2fc82850b35,53.80762,-133.21016,15.48277,5.86276,-4.64784,-7.06664,-2.22033,7.85696,-3.83375,180,1.38152,78.7836,,,,,,,,2.72974,-30.26624,,,,,,,,0.36209,-12.50813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-02-22,13:40:09.05,4,1,"Rodriguez, Joel",807487,Right,CHA_BUC,"Lordier, Ryan",1000218182,Right,MAN_JAS,Undefined,1,Top,2,0,0,ChangeUp,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.13582,-0.117597,-1.0659,2071.808609,209.960549,1:00,5.92424,1.96443,6.10707,-23.38013,13.25469,6.94725,3.86712,1.55749,79.28584,-4.532825,0.18596,0.435631,,,,,,,,,,,,-3.86752,7.23048,-1.8859,50,5.90292,2.06835,-126.54503,-0.96462,-6.24167,26.96565,-20.50502,CHA_BUC,MAN_JAS,CSUBallparkNielsen,D1,BSOU,20250222-CSUBallparkNielsen-1,71886f30-f14c-11ef-8f88-c7d2c90f801a,86.52385,,,7.84999,,,,,,,1ef40f33-f410-4d69-acd5-3a311fba8f94,2025-02-22,18:40:09.05,2025-02-22T13:40:09.0570000-05:00,2025-02-22T18:40:09.0570000Z,,v3,471239,471345,,"Pringle, Lucas",1000268589,Right,CHA_BUC,da8852a2-08c8-473f-b1f9-e37e5b3bf4b6,54.39399,-127.47791,13.48283,5.92402,-0.25524,-10.25251,-1.96119,2.28428,-3.12083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
