PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,13:02:37.74,1,1,"Bucknam, Micah",692117,Right,DAL_PAT,"Bloomer, Chase",827167,Right,SOU_COU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.70822,-2.903568,-3.977797,2293.37225,197.741809,12:30,5.83208,1.26905,5.94226,-14.55304,16.91127,5.06622,1.91704,-2.00467,86.03055,-5.682467,-3.071276,0.40372,,,,,,,,,,,,-3.74823,9.82123,-0.95422,50,5.59162,9.29477,-137.00418,-7.39048,-7.08244,31.92257,-13.61638,DAL_PAT,SOU_COU,DallasBaptist,D1,CUSA,20250222-DallasBaptist-1,9554ae80-f14f-11ef-aa91-0b13ede87a46,93.36277,,,8.67767,,,,,,,9552eb4b-dfa5-4bde-9377-378a0630ff35,2025-02-22,19:02:37.74,2025-02-22T13:02:37.7413120-06:00,2025-02-22T19:02:37.7413120Z,,v3,471502,471448,23 February 2025 13:05-silledward@dallasbapt,"Berghult, Adam",830333,Right,DAL_PAT,2e623f88-5511-4f0b-8701-8d0d387c465f,54.55566,-138.06159,15.96129,5.82896,-6.93945,-6.80819,-1.26598,9.52937,-3.54122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-22,13:02:55.04,1,2,"Bucknam, Micah",692117,Right,DAL_PAT,"Bloomer, Chase",827167,Right,SOU_COU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.09648,-2.151436,-3.009982,2313.861166,197.36938,12:30,5.78731,1.41599,5.98537,-14.80249,16.91084,4.9539,2.55594,-0.96367,85.4719,-4.984465,-2.121206,0.405315,76.94542,24.21322,150.941892,3968.232852,,,,,45.96967,,,-3.43595,9.64174,-1.18086,50,5.60898,6.95196,-136.37677,-5.56402,-6.42992,31.76625,-14.13075,DAL_PAT,SOU_COU,DallasBaptist,D1,CUSA,20250222-DallasBaptist-1,9fa66f90-f14f-11ef-aa91-0b13ede87a46,92.99551,19.65426,,8.62458,,,,0.33775,2.47571,0.89633,9552eb4b-dfa5-4bde-9377-378a0630ff35,2025-02-22,19:02:55.04,2025-02-22T13:02:55.0432256-06:00,2025-02-22T19:02:55.0432256Z,,v3,471502,471448,23 February 2025 13:05-silledward@dallasbapt,"Berghult, Adam",830333,Right,DAL_PAT,d9a12bfd-9401-478d-8701-04cad86d752b,54.51417,-137.42423,15.88312,5.78477,-5.09807,-7.06538,-1.41359,7.16398,-3.21496,,0.33362,-89.85603,8.20656,,,,,,,2.488,45.93963,-21.0722,,,,,,,0.91814,49.3744,-14.59059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2025-02-22,13:03:15.42,1,3,"Bucknam, Micah",692117,Right,DAL_PAT,"Bloomer, Chase",827167,Right,SOU_COU,Undefined,1,Top,0,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.89356,0.221776,-2.357907,2403.32924,82.890775,8:45,5.70138,1.56069,5.68136,-35.05364,0.59925,-4.01914,2.98716,-0.97351,81.48745,-6.211405,-3.075749,0.429753,70.75244,-15.379968,52.739592,,,,,11.39298,10.87386,55.269691,0.103818,1.38654,0.57075,-1.35933,50,5.69801,5.48616,-129.0427,-0.78727,2.33702,26.9526,-31.21204,DAL_PAT,SOU_COU,DallasBaptist,D1,CUSA,20250222-DallasBaptist-1,abd04c00-f14f-11ef-aa91-0b13ede87a46,87.70725,2.8684,,7.4061,,,,0.1773,2.8684,1.06377,9552eb4b-dfa5-4bde-9377-378a0630ff35,2025-02-22,19:03:15.42,2025-02-22T13:03:15.4242048-06:00,2025-02-22T19:03:15.4242048Z,GroundBall,v3,471502,471448,23 February 2025 13:05-silledward@dallasbapt,"Berghult, Adam",830333,Right,DAL_PAT,00ecc502-127a-4c60-8689-de3645a14513,54.8201,-130.04556,13.4763,5.7057,0.37407,-15.60602,-1.56184,5.3992,1.16851,180,0.17336,60.81234,,,,,,,,2.87018,-27.62896,,,,,,,,1.05859,79.94214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-02-22,13:03:40.28,1,4,"Bucknam, Micah",692117,Right,DAL_PAT,"Bloomer, Chase",827167,Right,SOU_COU,Undefined,1,Top,0,1,2,Curveball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.12728,0.215799,-0.811868,2272.590138,58.24715,8:00,5.77497,1.40145,5.47673,-43.0914,-2.09043,-5.90146,2.38598,0.14989,75.56596,-7.696395,-1.864419,0.460859,69.44823,51.27551,98.008963,5176.524344,-32.11265,63.23268,105.20826,183.45748,56.60891,113.824972,3.619409,2.69244,-0.69595,-1.32597,50,5.76477,1.97761,-121.87728,-1.09588,3.94968,29.47256,-33.19496,DAL_PAT,SOU_COU,DallasBaptist,D1,CUSA,20250222-DallasBaptist-1,baa12c90-f14f-11ef-aa91-0b13ede87a46,81.78727,64.52152,,8.56132,,,,1.65654,2.19685,-0.26796,9552eb4b-dfa5-4bde-9377-378a0630ff35,2025-02-22,19:03:40.28,2025-02-22T13:03:40.2857472-06:00,2025-02-22T19:03:40.2857472Z,Popup,v3,471502,471448,23 February 2025 13:05-silledward@dallasbapt,"Berghult, Adam",830333,Right,DAL_PAT,4a0d3505-1cbd-44df-a4e5-d99051d626d7,55.02218,-123.08576,14.73628,5.7818,0.26523,-16.59748,-1.40374,1.81566,1.97484,,1.65644,-8.8741,-6.36892,1.62741,-0.45006,0.13843,-0.0382,0.00663,-0.00048,2.19707,79.45846,-30.15875,4.03872,-0.83988,0.13735,-0.01965,0.00301,-0.00026,-0.26873,63.12469,-5.34382,0.66177,-0.499,0.33081,-0.12534,0.02319,-0.00165,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,Medium,Low,,,
5,2025-02-22,13:04:01.76,1,5,"Bucknam, Micah",692117,Right,DAL_PAT,"Bloomer, Chase",827167,Right,SOU_COU,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.84735,0.780637,-2.633815,2374.062855,20.321592,6:45,5.83107,1.25892,5.51552,-49.55763,-10.16292,-4.20815,2.43205,-1.55634,78.06116,-8.212794,-3.383736,0.451742,,,,,,,,,,,,1.37575,-4.91567,-1.0264,50,5.86611,5.84424,-123.15204,-0.18179,2.11137,24.61577,-39.71806,DAL_PAT,SOU_COU,DallasBaptist,D1,CUSA,20250222-DallasBaptist-1,c76a7d50-f14f-11ef-aa91-0b13ede87a46,83.438,,,6.78619,,,,,,,9552eb4b-dfa5-4bde-9377-378a0630ff35,2025-02-22,19:04:01.76,2025-02-22T13:04:01.7614848-06:00,2025-02-22T19:04:01.7614848Z,,v3,471502,471448,23 February 2025 13:05-silledward@dallasbapt,"Berghult, Adam",830333,Right,DAL_PAT,80e0eaf1-17b5-4adf-96fb-cfa43251dbe7,54.98756,-124.14496,12.30789,5.84113,1.42031,-19.85903,-1.26042,5.75907,1.05569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-22,13:04:19.83,1,6,"Bucknam, Micah",692117,Right,DAL_PAT,"Bloomer, Chase",827167,Right,SOU_COU,Undefined,1,Top,0,2,2,Slider,Slider,InPlay,Undefined,LineDrive,Out,1,0,,89.45395,0.061659,-1.544908,2504.097425,62.845614,8:00,5.70462,1.51247,5.75766,-35.76667,-0.53453,-3.26248,2.78148,-0.19784,81.65725,-6.516874,-2.129205,0.427209,101.92328,8.054,-13.655002,1095.067933,105.57152,7.31537,-30.8949,160.70297,147.9326,-17.685629,1.276678,1.21685,0.01476,-1.38228,50,5.68782,3.64176,-129.8867,-1.16676,2.06691,28.65312,-32.14897,DAL_PAT,SOU_COU,DallasBaptist,D1,CUSA,20250222-DallasBaptist-1,d22e3a10-f14f-11ef-aa91-0b13ede87a46,88.22941,8.5042,,7.7967,,,,1.57994,2.82252,0.19177,9552eb4b-dfa5-4bde-9377-378a0630ff35,2025-02-22,19:04:19.83,2025-02-22T13:04:19.8322688-06:00,2025-02-22T19:04:19.8322688Z,LineDrive,v3,471502,471448,23 February 2025 13:05-silledward@dallasbapt,"Berghult, Adam",830333,Right,DAL_PAT,b1554730-3bac-42c7-b28e-fe611c988ac3,54.74406,-130.92906,14.32656,5.70899,0.00278,-16.07449,-1.5134,3.56657,1.03345,86.34289,1.57994,143.82945,-24.38481,4.54741,-0.56965,-0.37467,0.39993,-0.17881,0.0322,2.82252,20.94406,-20.36973,2.18075,-0.45016,0.13212,-0.05444,0.01965,-0.00334,0.19176,-34.94135,-5.50766,2.92708,-0.26936,-0.82969,0.83221,-0.37442,0.0678,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-02-22,13:04:56.35,2,1,"Bucknam, Micah",692117,Right,DAL_PAT,"Niedzwiedz, Ryan",10285766,Left,SOU_COU,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.0324,0.936809,-0.975387,2274.074615,16.354939,6:30,5.81221,1.38986,5.61745,-51.71243,-10.80319,-3.5374,2.37738,0.18465,76.39604,-8.47395,-1.608321,0.460344,,,,,,,,,,,,1.51654,-5.34044,-1.30427,50,5.85882,2.19826,-120.65346,0.10801,2.23277,23.73979,-40.03671,DAL_PAT,SOU_COU,DallasBaptist,D1,CUSA,20250222-DallasBaptist-1,e7f63f00-f14f-11ef-aa91-0b13ede87a46,81.87894,,,6.63636,,,,,,,9552eb4b-dfa5-4bde-9377-378a0630ff35,2025-02-22,19:04:56.35,2025-02-22T13:04:56.3577344-06:00,2025-02-22T19:04:56.3577344Z,,v3,471502,471448,23 February 2025 13:05-silledward@dallasbapt,"Berghult, Adam",830333,Right,DAL_PAT,217471cc-2fed-4dd2-90fc-d50569842f43,54.88639,-121.6111,11.86989,5.82188,1.72305,-20.01835,-1.39113,2.10819,1.11638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,13:05:10.33,2,2,"Bucknam, Micah",692117,Right,DAL_PAT,"Niedzwiedz, Ryan",10285766,Left,SOU_COU,Undefined,1,Top,1,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.2361,1.76222,-0.19611,2230.871985,23.417344,6:45,5.82972,1.16179,5.46998,-53.51464,-11.35197,-5.50607,3.01993,0.51942,75.16101,-7.973562,-1.178195,0.467343,,,,,,,,,,,,2.70276,-5.77225,-1.14073,50,5.94828,0.6382,-119.38024,1.70968,3.87644,24.30265,-40.45286,DAL_PAT,SOU_COU,DallasBaptist,D1,CUSA,20250222-DallasBaptist-1,f04fd990-f14f-11ef-aa91-0b13ede87a46,80.6527,,,7.07509,,,,,,,9552eb4b-dfa5-4bde-9377-378a0630ff35,2025-02-22,19:05:10.33,2025-02-22T13:05:10.3369728-06:00,2025-02-22T19:05:10.3369728Z,,v3,471502,471448,23 February 2025 13:05-silledward@dallasbapt,"Berghult, Adam",830333,Right,DAL_PAT,e033741a-17f8-472e-a6ab-738cb044e5c8,55.03303,-120.40047,12.15132,5.84086,3.4079,-20.22643,-1.16411,0.47546,1.93822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,13:05:27.09,2,3,"Bucknam, Micah",692117,Right,DAL_PAT,"Niedzwiedz, Ryan",10285766,Left,SOU_COU,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,89.44098,-1.593824,-2.093302,1593.466892,276.039073,3:15,5.54486,1.62657,5.9615,-35.84671,-0.50374,16.64383,1.07831,1.07156,81.08368,-8.210228,0.90341,0.427881,,,,,,,,,,,,-9.17296,0.66221,-1.46935,50,5.39864,4.02608,-129.7016,-4.89443,-15.38381,31.04582,-31.06348,DAL_PAT,SOU_COU,DallasBaptist,D1,CUSA,20250222-DallasBaptist-1,fa460d20-f14f-11ef-aa91-0b13ede87a46,88.09096,,,8.3573,,,,,,,9552eb4b-dfa5-4bde-9377-378a0630ff35,2025-02-22,19:05:27.09,2025-02-22T13:05:27.0935040-06:00,2025-02-22T19:05:27.0935040Z,,v3,471502,471448,23 February 2025 13:05-silledward@dallasbapt,"Berghult, Adam",830333,Right,DAL_PAT,ac84c87a-15dc-4572-a324-9170f7165d54,54.53858,-130.78346,15.52291,5.55033,-3.81196,-15.53174,-1.61899,4.56217,-7.69191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-22,13:05:46.33,2,4,"Bucknam, Micah",692117,Right,DAL_PAT,"Niedzwiedz, Ryan",10285766,Left,SOU_COU,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.43811,-0.651539,-3.265698,2377.630137,204.682315,12:45,5.87224,1.41803,6.42808,-12.59457,19.3867,8.36142,4.22282,-0.89013,83.70728,-3.143686,-1.753697,0.407023,,,,,,,,,,,,-5.39591,10.61918,-1.1884,50,5.81954,7.36098,-135.37977,-1.8108,-9.82538,34.74857,-12.83758,DAL_PAT,SOU_COU,DallasBaptist,D1,CUSA,20250222-DallasBaptist-1,05c72670-f150-11ef-aa91-0b13ede87a46,92.60511,,,9.73083,,,,,,,9552eb4b-dfa5-4bde-9377-378a0630ff35,2025-02-22,19:05:46.33,2025-02-22T13:05:46.3335424-06:00,2025-02-22T19:05:46.3335424Z,,v3,471502,471448,23 February 2025 13:05-silledward@dallasbapt,"Berghult, Adam",830333,Right,DAL_PAT,595acb40-254e-4bf7-b5d7-9ac008184c8a,54.06789,-136.4199,17.37429,5.868,-1.42653,-6.41879,-1.41313,7.65509,-4.91269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
