PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,16:02:29.76,1,1,"Dallas, Matthew",806054,Left,WAK_DEA,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,0,0,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.83205,0.521264,2.64931,2278.847816,151.62054,11:00,5.80626,-2.60006,6.75624,-23.85604,10.50485,-5.08146,4.2949,-0.60193,80.93544,-4.019068,1.72377,0.421894,45.93107,-0.616123,168.479619,1615.017748,,,,28.99937,28.99937,167.224445,0.406147,3.42185,5.74626,2.42805,50,5.83125,-5.77578,-129.04903,0.51449,5.75235,27.64333,-22.51426,WAK_DEA,STJ_RED,David F. Couch,D1,ACC,20250222-David F. Couch-1,5439e710-f160-11ef-9b64-591fb8ae74ff,89.341,3.88939,,7.89661,,,,,,,637df3c9-1161-4062-85e4-6f2ea32eb199,2025-02-22,21:02:29.76,2025-02-22T16:02:29.7672704-05:00,2025-02-22T21:02:29.7672704Z,GroundBall,v3,471484,4285,22 February 2025 16:00-stjohns@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,d8424731-607b-4284-9fc8-17074beec82c,53.74017,-129.84773,13.82166,5.80698,1.165,-11.25713,2.59733,-5.94198,2.87617,38.624177,-1.92735,-66.14187,3.06075,,,,,,,3.89044,-0.75912,-21.72191,,,,,,,0.27193,13.49164,4.01523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
2,2025-02-22,16:02:51.70,1,2,"Dallas, Matthew",806054,Left,WAK_DEA,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.38237,0.367214,3.906137,2015.391715,116.604373,10:00,5.68574,-2.59572,6.79711,-26.34639,8.76544,-14.98603,3.82614,-0.27397,79.61386,-4.655786,1.177814,0.426479,,,,,,,,,,,,9.10678,4.90516,2.34675,50,5.69992,-8.17124,-128.1479,0.08729,14.9173,30.17317,-24.1392,WAK_DEA,STJ_RED,David F. Couch,D1,ACC,20250222-David F. Couch-1,6141a060-f160-11ef-9b64-591fb8ae74ff,88.38044,,,8.76851,,,,,,,637df3c9-1161-4062-85e4-6f2ea32eb199,2025-02-22,21:02:51.70,2025-02-22T16:02:51.7098496-05:00,2025-02-22T21:02:51.7098496Z,,v3,471484,4285,22 February 2025 16:00-stjohns@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,5806b404-b6f1-4ebf-a9f2-439dd0a68588,53.69899,-129.01591,15.08659,5.68742,0.78171,-12.0696,2.58799,-8.60038,7.45865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,16:03:08.61,1,3,"Dallas, Matthew",806054,Left,WAK_DEA,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,2,0,Cutter,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.26748,-1.766371,3.822801,2251.005183,140.210727,10:45,5.7913,-2.37844,7.04493,-25.09942,8.09461,-5.79937,2.0911,0.6159,82.05653,-6.539638,2.761704,0.414669,102.86522,2.322002,-20.127176,1165.128141,,,,76.05609,68.91682,-21.654945,0.53952,4.27729,5.21697,2.14862,50,5.67622,-8.53995,-130.9595,-4.72668,7.35178,30.31211,-23.20714,WAK_DEA,STJ_RED,David F. Couch,D1,ACC,20250222-David F. Couch-1,6b563160-f160-11ef-9b64-591fb8ae74ff,90.89767,2.56427,,8.21095,,,,0.83406,2.08339,-0.49463,637df3c9-1161-4062-85e4-6f2ea32eb199,2025-02-22,21:03:08.61,2025-02-22T16:03:08.6189568-05:00,2025-02-22T21:03:08.6189568Z,GroundBall,v3,471484,4285,22 February 2025 16:00-stjohns@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,87bd68cb-694b-4aea-a007-b4496d68b7e1,53.4528,-131.75627,15.15605,5.79244,-4.11667,-11.60357,2.37564,-8.7332,3.67589,71.563318,0.86279,140.82119,-21.22181,,,,,,,2.09891,5.72463,-17.87238,,,,,,,-0.49139,-51.95479,1.55714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
4,2025-02-22,16:03:46.77,2,1,"Dallas, Matthew",806054,Left,WAK_DEA,"Beebe, Jared",1000233854,Right,STJ_RED,Undefined,1,Top,1,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,90.04198,-1.97241,3.807288,2426.086463,171.682348,11:45,5.7811,-2.47519,6.63978,-27.38253,6.38363,-0.77236,1.68892,0.95087,82.30336,-7.106527,3.667081,0.418227,,,,,,,,,,,,1.52768,4.28599,2.21815,50,5.63665,-8.65975,-130.57442,-5.33341,2.62274,28.92719,-24.81581,WAK_DEA,STJ_RED,David F. Couch,D1,ACC,20250222-David F. Couch-1,8210fac0-f160-11ef-9b64-591fb8ae74ff,90.12434,,,7.73862,,,,,,,637df3c9-1161-4062-85e4-6f2ea32eb199,2025-02-22,21:03:46.77,2025-02-22T16:03:46.7717632-05:00,2025-02-22T21:03:46.7717632Z,,v3,471484,4285,22 February 2025 16:00-stjohns@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,1a481203-4951-4984-8292-bc08938f66df,53.85815,-131.42637,14.4636,5.78297,-4.60255,-12.40791,2.47433,-8.73699,1.31137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,16:04:03.00,2,2,"Dallas, Matthew",806054,Left,WAK_DEA,"Beebe, Jared",1000233854,Right,STJ_RED,Undefined,1,Top,1,1,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,90.59513,-1.149544,3.785126,1971.49139,122.426982,10:00,5.81111,-2.40659,6.96007,-23.42005,9.70953,-13.44579,2.81112,-0.07821,81.9378,-5.628231,1.328198,0.414266,102.47727,-1.262819,-25.119366,3374.812472,,,,36.14602,36.02498,-22.656926,0.246584,8.3717,5.88233,2.17577,50,5.73175,-8.19846,-131.44493,-3.27437,14.45114,31.33404,-22.02005,WAK_DEA,STJ_RED,David F. Couch,D1,ACC,20250222-David F. Couch-1,8bc48000-f160-11ef-9b64-591fb8ae74ff,90.98604,2.68862,,8.65733,,,,1.23013,2.68862,0.35247,637df3c9-1161-4062-85e4-6f2ea32eb199,2025-02-22,21:04:03.00,2025-02-22T16:04:03.0000128-05:00,2025-02-22T21:04:03.0000128Z,GroundBall,v3,471484,4285,22 February 2025 16:00-stjohns@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,cf91ed53-639c-4d1c-b499-52572f04be94,53.53808,-132.28565,15.66702,5.81168,-2.68355,-11.01003,2.40095,-8.58619,7.22557,320.73212,1.23211,135.94612,-23.01855,,,,,,,2.69423,-3.61636,-29.7329,,,,,,,0.34804,-63.54802,23.06153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2025-02-22,16:04:39.39,3,1,"Dallas, Matthew",806054,Left,WAK_DEA,"Rafistanger, Jayder ",1000180019,Left,STJ_RED,Undefined,1,Top,1,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,90.75105,-3.286653,4.832485,2399.368947,175.13518,11:45,5.831,-2.45171,6.563,-26.5034,7.24489,-0.51583,0.59522,1.9461,82.48264,-8.242554,4.739199,0.418116,,,,,,,,,,,,1.80508,5.20922,2.1185,50,5.5927,-11.06999,-131.17854,-8.36809,3.10331,31.20356,-23.21822,WAK_DEA,STJ_RED,David F. Couch,D1,ACC,20250222-David F. Couch-1,a18ecee0-f160-11ef-9b64-591fb8ae74ff,90.1482,,,8.26841,,,,,,,637df3c9-1161-4062-85e4-6f2ea32eb199,2025-02-22,21:04:39.39,2025-02-22T16:04:39.3932288-05:00,2025-02-22T21:04:39.3932288Z,,v3,471484,4285,22 February 2025 16:00-stjohns@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,d8218694-c9e2-49a0-a4cf-953b05641c1b,53.93397,-132.111,15.60178,5.8324,-7.67425,-11.60911,2.4507,-11.16273,1.55165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-22,16:05:00.14,3,2,"Dallas, Matthew",806054,Left,WAK_DEA,"Rafistanger, Jayder ",1000180019,Left,STJ_RED,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.32411,0.930881,4.782267,2440.890457,274.648383,3:15,5.34492,-3.0593,6.15515,-43.51491,0.4622,13.68111,2.58179,2.50934,72.61214,-7.128651,7.230837,0.477293,,,,,,,,,,,,-5.37544,0.45323,2.68886,50,5.39444,-10.23559,-116.13219,0.54947,-7.18383,26.09117,-31.56833,WAK_DEA,STJ_RED,David F. Couch,D1,ACC,20250222-David F. Couch-1,add7f320-f160-11ef-9b64-591fb8ae74ff,78.97135,,,7.71197,,,,,,,637df3c9-1161-4062-85e4-6f2ea32eb199,2025-02-22,21:05:00.14,2025-02-22T16:05:00.1460736-05:00,2025-02-22T21:05:00.1460736Z,,v3,471484,4285,22 February 2025 16:00-stjohns@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,9126dbd1-657f-413f-8161-fdf88a74977a,54.34076,-117.10336,13.04559,5.35212,1.72451,-15.78416,3.06488,-9.9682,-3.59191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,16:05:22.09,3,3,"Dallas, Matthew",806054,Left,WAK_DEA,"Rafistanger, Jayder ",1000180019,Left,STJ_RED,Undefined,1,Top,1,2,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.57641,-1.181284,3.89153,2422.439313,174.425287,11:45,5.80286,-2.57218,6.64844,-24.6271,9.9717,-0.8474,2.66675,0.92452,80.53078,-5.865321,3.737821,0.423352,,,,,,,,,,,,1.76551,6.03244,2.31002,50,5.7133,-8.79168,-129.73391,-3.38418,2.94612,32.42912,-22.10776,WAK_DEA,STJ_RED,David F. Couch,D1,ACC,20250222-David F. Couch-1,bb21be80-f160-11ef-9b64-591fb8ae74ff,89.03325,,,9.04562,,,,,,,637df3c9-1161-4062-85e4-6f2ea32eb199,2025-02-22,21:05:22.09,2025-02-22T16:05:22.0917248-05:00,2025-02-22T21:05:22.0917248Z,,v3,471484,4285,22 February 2025 16:00-stjohns@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,f08c74c0-353d-4a4e-9c4b-af5b87a3651f,53.84646,-130.69186,16.21456,5.80362,-2.73112,-11.05388,2.57101,-8.8787,1.47306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,16:05:42.56,3,4,"Dallas, Matthew",806054,Left,WAK_DEA,"Rafistanger, Jayder ",1000180019,Left,STJ_RED,Undefined,1,Top,1,2,1,Sinker,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,90.09129,-1.447343,4.254762,1997.409467,98.742458,9:15,5.84296,-2.57564,6.87041,-29.89096,4.05122,-17.98288,2.02901,-0.18927,80.95217,-7.10901,0.973493,0.419316,75.65125,-85.370675,-163.507511,,,,,0.54599,0.54599,14.048888,0.017468,10.96087,3.03736,2.31028,50,5.74061,-9.02041,-130.52119,-4.18702,18.49169,33.11163,-27.04983,WAK_DEA,STJ_RED,David F. Couch,D1,ACC,20250222-David F. Couch-1,c7279830-f160-11ef-9b64-591fb8ae74ff,89.8903,1.93655,,9.13912,,,,0.68001,1.93655,0.17705,637df3c9-1161-4062-85e4-6f2ea32eb199,2025-02-22,21:05:42.56,2025-02-22T16:05:42.5682944-05:00,2025-02-22T21:05:42.5682944Z,GroundBall,v3,471484,4285,22 February 2025 16:00-stjohns@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,e0750da4-ea5e-4a69-9c25-fb2c1f80f02f,53.62686,-131.43806,16.55581,5.84618,-3.43801,-13.52492,2.56714,-9.53245,9.24584,,0.68007,-8.60777,,,,,,,,1.93731,-110.86521,,,,,,,,0.17707,-2.54851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2025-02-22,16:06:21.39,4,1,"Dallas, Matthew",806054,Left,WAK_DEA,"Agresti, Adam",823812,Right,STJ_RED,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.92342,1.192937,1.853254,2371.515426,306.288027,4:15,5.68842,-2.78791,5.89947,-53.91672,-5.25193,9.26063,2.30356,-0.29513,69.68955,-8.698722,3.51632,0.502087,,,,,,,,,,,,-4.19284,-2.56209,2.63357,50,5.75368,-3.90075,-110.25381,0.6274,-5.13029,20.69173,-35.30897,WAK_DEA,STJ_RED,David F. Couch,D1,ACC,20250222-David F. Couch-1,de58f120-f160-11ef-9b64-591fb8ae74ff,75.07156,,,6.23387,,,,,,,637df3c9-1161-4062-85e4-6f2ea32eb199,2025-02-22,21:06:21.39,2025-02-22T16:06:21.3944320-05:00,2025-02-22T21:06:21.3944320Z,,v3,471484,4285,22 February 2025 16:00-stjohns@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,48ed6d85-852c-4399-aa4c-9d81a5467024,54.60092,-111.11392,10.34586,5.6971,2.09513,-17.65449,2.79128,-3.6875,-2.56515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
