PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,14:03:51.16,1,1,"Kinsler, Jaden",1000248614,Left,JMU_DUK,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.29329,-2.108037,1.456019,2213.451901,134.64585,10:30,5.93687,-0.98906,5.03279,-16.53989,18.54044,-17.49103,2.56813,-1.07264,82.41291,-5.229783,-1.633533,0.426288,,,,,,,,,,,,9.05662,10.18646,0.86444,50,5.72285,-2.5,-132.15676,-5.42011,15.82655,31.29267,-14.37309,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250222-EagleFieldJMU-1,c2488e20-f14f-11ef-b96a-8105152a6bab,88.42007,,,8.88038,,,,,,,3bd8dac1-08b1-46ec-92fc-8fe823876f93,2025-02-22,19:03:51.16,2025-02-22T14:03:51.1663616-05:00,2025-02-22T19:03:51.1663616Z,,v3,471327,471265,22 February 2025 14:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,9fbe1b31-35fb-4bab-bc73-dd415532c43c,55.46261,-133.44395,15.64634,5.93364,-4.82888,-7.18655,0.98066,-3.15101,7.91327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-22,14:04:03.71,1,2,"Kinsler, Jaden",1000248614,Left,JMU_DUK,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,0,0,1,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.49069,-1.717113,0.624377,2197.723097,123.057781,10:00,6.09949,-0.97974,4.93314,-21.89529,13.74568,-19.25214,2.65128,-1.9939,82.21436,-5.761774,-2.771713,0.429681,,,,,,,,,,,,9.62504,7.65528,0.93553,50,5.91488,-0.48578,-131.11835,-4.75292,16.63504,29.59154,-18.94338,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250222-EagleFieldJMU-1,c9bb4b20-f14f-11ef-b96a-8105152a6bab,87.72192,,,8.27632,,,,,,,3bd8dac1-08b1-46ec-92fc-8fe823876f93,2025-02-22,19:04:03.71,2025-02-22T14:04:03.7187584-05:00,2025-02-22T19:04:03.7187584Z,,v3,471327,471265,22 February 2025 14:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,973a484c-48f7-47d1-b4f8-54ab175c097a,55.56324,-132.36794,14.79577,6.0987,-3.95298,-9.47169,0.97088,-1.18824,8.31752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,14:04:19.61,1,3,"Kinsler, Jaden",1000248614,Left,JMU_DUK,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,0,1,1,FourSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.24235,-2.329923,1.270548,2197.423386,130.027685,10:15,6.05278,-0.98531,4.95603,-18.94458,15.90871,-17.58536,2.27098,-1.25014,83.31575,-5.841851,-1.832303,0.424906,,,,,,,,,,,,9.01465,8.8526,0.87729,50,5.8119,-2.07568,-132.23391,-6.07496,15.94528,28.4651,-16.51542,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250222-EagleFieldJMU-1,d33f8300-f14f-11ef-b96a-8105152a6bab,88.70763,,,7.9266,,,,,,,3bd8dac1-08b1-46ec-92fc-8fe823876f93,2025-02-22,19:04:19.61,2025-02-22T14:04:19.6199424-05:00,2025-02-22T19:04:19.6199424Z,,v3,471327,471265,22 February 2025 14:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,ab08f26b-6976-4bde-92f1-e14ab42d5a4b,55.54147,-133.42145,14.23255,6.05097,-5.38595,-8.25771,0.97776,-2.74091,7.97264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,14:04:36.17,1,4,"Kinsler, Jaden",1000248614,Left,JMU_DUK,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,0,1,2,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.62036,-2.631174,1.115858,2217.138763,130.33685,10:15,6.19621,-0.90598,4.96602,-18.71832,16.06761,-17.50115,2.14864,-1.3102,83.17214,-6.112708,-1.972994,0.424495,71.80525,67.490296,105.944217,4622.824376,,,,,38.66764,,,9.0576,9.10953,0.81343,50,5.92698,-1.74822,-132.68975,-6.78232,16.01175,30.63421,-16.07053,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250222-EagleFieldJMU-1,dd19f130-f14f-11ef-b96a-8105152a6bab,88.79351,76.10943,,8.44822,,,,2.4657,2.10632,0.98244,3bd8dac1-08b1-46ec-92fc-8fe823876f93,2025-02-22,19:04:36.17,2025-02-22T14:04:36.1789440-05:00,2025-02-22T19:04:36.1789440Z,,v3,471327,471265,22 February 2025 14:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,dc867dcf-2a74-472a-818c-821fd96e268a,55.53249,-133.96095,15.3171,6.19459,-6.11546,-8.03527,0.89976,-2.41265,8.00587,,2.46569,-11.07369,-7.62084,3.32746,-1.69901,1.40324,-0.66027,-0.00728,0.07369,2.10632,97.29097,-27.97853,3.42105,-0.67954,0.10065,0.08543,-0.10111,0.03159,0.98244,38.76779,-6.21282,1.44656,-0.42247,0.24583,-0.0693,-0.04306,0.02504,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2025-02-22,14:04:59.37,1,5,"Kinsler, Jaden",1000248614,Left,JMU_DUK,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,0,1,2,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.26924,-2.768279,1.006905,2160.0029,128.162434,10:15,6.06992,-1.24447,4.79033,-19.12119,15.96552,-18.84761,1.85054,-1.86076,83.35463,-6.296056,-2.309158,0.426327,,,,,,,,,,,,9.56465,8.97855,1.1614,50,5.77759,-1.40196,-132.21612,-7.1147,16.89904,28.68279,-16.3105,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250222-EagleFieldJMU-1,eaf04520-f14f-11ef-b96a-8105152a6bab,88.41208,,,7.91461,,,,,,,3bd8dac1-08b1-46ec-92fc-8fe823876f93,2025-02-22,19:04:59.37,2025-02-22T14:04:59.3734656-05:00,2025-02-22T19:04:59.3734656Z,,v3,471327,471265,22 February 2025 14:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,36dd384c-b4ef-4cf4-ab57-4909d5bb2df3,55.70816,-133.4487,14.3414,6.06827,-6.41379,-8.15525,1.23725,-2.12815,8.44952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-22,14:05:16.54,1,6,"Kinsler, Jaden",1000248614,Left,JMU_DUK,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,0,2,2,FourSeamFastBall,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.34511,-2.544183,2.362129,2152.283481,122.584622,10:00,6.06327,-1.14686,5.21347,-21.64485,14.29056,-20.56438,1.86359,-0.63816,81.8712,-6.545963,-1.282597,0.431452,,,,,,,,,,,,10.85355,8.16973,0.94438,50,5.81197,-4.38666,-129.49647,-6.53167,18.46634,26.54311,-18.27398,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250222-EagleFieldJMU-1,f52f8fa0-f14f-11ef-b96a-8105152a6bab,87.36177,,,7.47391,,,,,,,3bd8dac1-08b1-46ec-92fc-8fe823876f93,2025-02-22,19:05:16.54,2025-02-22T14:05:16.5487104-05:00,2025-02-22T19:05:16.5487104Z,,v3,471327,471265,22 February 2025 14:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,5156b3ea-43ca-4341-81f8-bb2b3f6fc816,55.28496,-130.57524,13.27155,6.06234,-5.78897,-9.13699,1.13791,-5.13717,9.23317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-22,14:05:39.33,2,1,"Kinsler, Jaden",1000248614,Left,JMU_DUK,"Glassford, Ronan",10293513,Left,CAN_GRI,Undefined,1,Top,1,0,0,FourSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.45133,-3.011809,1.292316,2189.940017,133.62162,10:30,6.29219,-0.60151,5.10335,-18.17737,17.82615,-17.49343,1.93623,-0.84142,81.9504,-6.39184,-1.802726,0.431861,,,,,,,,,,,,9.06245,10.04119,0.49397,50,5.99418,-2.11471,-129.64675,-7.45049,15.44617,26.74557,-15.05966,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250222-EagleFieldJMU-1,02bb6d10-f150-11ef-b96a-8105152a6bab,87.27912,,,7.50094,,,,,,,3bd8dac1-08b1-46ec-92fc-8fe823876f93,2025-02-22,19:05:39.33,2025-02-22T14:05:39.3339904-05:00,2025-02-22T19:05:39.3339904Z,,v3,471327,471265,22 February 2025 14:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,29dc2396-348a-4df6-800c-8c51ef3f8b5a,55.39534,-130.75504,13.37279,6.28999,-6.82644,-7.52983,0.59486,-2.75478,7.72309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,14:05:54.51,2,2,"Kinsler, Jaden",1000248614,Left,JMU_DUK,"Glassford, Ronan",10293513,Left,CAN_GRI,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.10338,-2.846933,3.36119,2429.904377,131.505787,10:30,6.19831,-0.7573,5.13551,-16.53954,17.37981,-18.42237,2.13229,0.8763,84.36914,-5.93698,0.106408,0.419175,,,,,,,,,,,,10.0669,9.7341,0.45679,50,5.91846,-6.95602,-133.36562,-7.22109,18.20486,27.5887,-14.57099,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250222-EagleFieldJMU-1,0bca74f0-f150-11ef-b96a-8105152a6bab,89.9206,,,7.73424,,,,,,,3bd8dac1-08b1-46ec-92fc-8fe823876f93,2025-02-22,19:05:54.51,2025-02-22T14:05:54.5150464-05:00,2025-02-22T19:05:54.5150464Z,,v3,471327,471265,22 February 2025 14:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,e0a2e566-e4df-48d1-8899-efcf5271fe54,55.3637,-134.47061,13.79435,6.19599,-6.63749,-7.2855,0.75,-7.68516,9.10243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,14:06:10.70,2,3,"Kinsler, Jaden",1000248614,Left,JMU_DUK,"Glassford, Ronan",10293513,Left,CAN_GRI,Undefined,1,Top,1,0,2,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.6234,-2.967158,4.266729,2258.460131,125.457608,10:15,6.09548,-0.84555,5.2164,-19.47017,14.70737,-19.14895,1.6728,1.57799,84.12041,-6.573181,0.882663,0.420767,,,,,,,,,,,,10.69505,8.44477,0.466,50,5.80623,-8.99901,-132.57281,-7.59536,19.14951,26.73257,-17.0537,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250222-EagleFieldJMU-1,157806c0-f150-11ef-b96a-8105152a6bab,89.58028,,,7.50299,,,,,,,3bd8dac1-08b1-46ec-92fc-8fe823876f93,2025-02-22,19:06:10.70,2025-02-22T14:06:10.7003392-05:00,2025-02-22T19:06:10.7003392Z,,v3,471327,471265,22 February 2025 14:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,4d825e0d-c10e-412b-8646-111148dc2b1f,55.28353,-133.63396,13.36629,6.09429,-6.91841,-8.52685,0.83831,-9.75914,9.57475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-22,14:06:29.84,2,4,"Kinsler, Jaden",1000248614,Left,JMU_DUK,"Glassford, Ronan",10293513,Left,CAN_GRI,Undefined,1,Top,1,1,2,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.3489,-1.572941,4.517265,2321.090745,129.836967,10:15,6.14645,-0.6743,5.20693,-17.58761,16.10426,-18.02032,3.1966,2.081,84.41039,-4.860085,1.336824,0.417767,,,,,,,,,,,,10.14256,8.76024,0.2696,50,5.98759,-9.69192,-133.64542,-4.29896,18.41993,27.68678,-16.26451,JMU_DUK,CAN_GRI,EagleFieldJMU,D1,SBELT,20250222-EagleFieldJMU-1,20d03b50-f150-11ef-b96a-8105152a6bab,90.22362,,,7.93852,,,,,,,3bd8dac1-08b1-46ec-92fc-8fe823876f93,2025-02-22,19:06:29.84,2025-02-22T14:06:29.8479104-05:00,2025-02-22T19:06:29.8479104Z,,v3,471327,471265,22 February 2025 14:00-canisius@jamesmad,"Cannizzaro, Jack",1000125199,Right,JMU_DUK,643cac0c-67fc-442c-a700-d68a541bf587,55.29135,-134.73715,13.84339,6.14446,-3.65763,-8.13226,0.66609,-10.41824,9.20996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
