PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,18:05:54.63,1,1,"Mercurius, LJ",702969,Right,UNL_REB,"Vidourek, Landyn",811716,Left,CIN_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.53059,-3.543261,-2.310835,2294.248888,213.54392,1:00,6.12871,1.72891,5.70886,-13.24827,20.36025,12.78997,1.71659,0.64061,83.8959,-6.073105,-0.024924,0.41725,,,,,,,,,,,,-7.19496,11.68257,-1.54366,50,5.82346,4.80367,-132.67883,-8.60727,-12.8592,27.68761,-11.29441,UNL_REB,CIN_BEA,EarlEWilsonStadium,D1,MW,20250222-EarlEWilsonStadium-1,b6a9d8e0-f18a-11ef-871d-8dd287eb52b4,90.33542,,,7.63469,,,,,,,1bea38b1-6aa0-4197-a308-dd47ee5ae6e8,2025-02-23,02:05:54.63,2025-02-22T18:05:54.6324480-08:00,2025-02-23T02:05:54.6324480Z,,v3,471376,471270,22 February 2025 21:05-cincy@unlv,"Gallegos, Chase",831021,Right,UNL_REB,0e446011-db88-4110-b8dd-b5b66a2ef4c5,54.79188,-133.67507,13.84381,6.12585,-8.20088,-5.6472,-1.72483,5.26636,-6.4296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-22,18:06:08.22,1,2,"Mercurius, LJ",702969,Right,UNL_REB,"Vidourek, Landyn",811716,Left,CIN_BEA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.53351,-1.821353,-2.059271,2408.087312,221.388322,1:30,5.89563,1.86713,5.61969,-14.47658,17.76001,14.75481,2.98782,1.17408,85.53278,-4.571504,0.574171,0.408645,,,,,,,,,,,,-8.00414,9.78875,-1.70094,50,5.73092,4.197,-135.72907,-4.76835,-14.96283,29.12143,-13.87513,UNL_REB,CIN_BEA,EarlEWilsonStadium,D1,MW,20250222-EarlEWilsonStadium-1,beca13f0-f18a-11ef-871d-8dd287eb52b4,92.23766,,,8.00073,,,,,,,1bea38b1-6aa0-4197-a308-dd47ee5ae6e8,2025-02-23,02:06:08.22,2025-02-22T18:06:08.2223616-08:00,2025-02-23T02:06:08.2223616Z,,v3,471376,471270,22 February 2025 21:05-cincy@unlv,"Gallegos, Chase",831021,Right,UNL_REB,7afc4ea4-828c-427a-a655-afc4ca572617,54.87896,-136.77187,14.56072,5.89277,-4.2715,-6.93757,-1.86082,4.73281,-7.48141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,18:06:22.19,1,3,"Mercurius, LJ",702969,Right,UNL_REB,"Vidourek, Landyn",811716,Left,CIN_BEA,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.26109,-0.391617,-1.922539,2346.556665,220.983589,1:15,5.90171,1.90828,5.6031,-13.77603,19.44851,15.96851,4.38791,1.44357,83.99806,-3.034727,0.926433,0.414859,,,,,,,,,,,,-8.57142,10.24827,-1.75399,50,5.85938,3.75651,-133.90277,-1.31422,-15.54302,29.24592,-13.59029,UNL_REB,CIN_BEA,EarlEWilsonStadium,D1,MW,20250222-EarlEWilsonStadium-1,c713d000-f18a-11ef-871d-8dd287eb52b4,90.85597,,,8.26303,,,,,,,1bea38b1-6aa0-4197-a308-dd47ee5ae6e8,2025-02-23,02:06:22.19,2025-02-22T18:06:22.1926912-08:00,2025-02-23T02:06:22.1926912Z,,v3,471376,471270,22 February 2025 21:05-cincy@unlv,"Gallegos, Chase",831021,Right,UNL_REB,2132e61f-f274-4641-8695-3a0006c7dbe0,54.8948,-134.96761,14.62296,5.89823,-0.8194,-6.79514,-1.90107,4.32243,-7.77151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,18:06:38.26,1,4,"Mercurius, LJ",702969,Right,UNL_REB,"Vidourek, Landyn",811716,Left,CIN_BEA,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.68378,-3.346799,-4.190148,2242.160355,219.452342,1:15,5.71814,1.8302,5.9342,-13.86603,19.41273,15.10509,1.44579,-0.80539,84.02028,-5.999776,-1.486625,0.415198,,,,,,,,,,,,-8.98784,11.23568,-1.50426,50,5.44239,9.10265,-132.759,-8.18279,-16.09368,27.54285,-12.05545,UNL_REB,CIN_BEA,EarlEWilsonStadium,D1,MW,20250222-EarlEWilsonStadium-1,d0b74fb0-f18a-11ef-871d-8dd287eb52b4,90.78191,,,7.66351,,,,,,,1bea38b1-6aa0-4197-a308-dd47ee5ae6e8,2025-02-23,02:06:38.26,2025-02-22T18:06:38.2611968-08:00,2025-02-23T02:06:38.2611968Z,,v3,471376,471270,22 February 2025 21:05-cincy@unlv,"Gallegos, Chase",831021,Right,UNL_REB,1c36b0d7-be5d-432b-888c-50bd48c8b331,54.56757,-133.70325,13.77143,5.71584,-7.76949,-6.02772,-1.82578,9.65439,-8.04684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,18:07:42.47,2,1,"Mercurius, LJ",702969,Right,UNL_REB,"Klingenbeck, Kory",1000138494,Left,CIN_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.21145,-3.189421,-3.873206,2545.902413,220.72385,1:15,5.71739,2.15534,6.08436,-10.98516,20.39151,16.67788,1.84153,-0.04351,86.05933,-5.332831,-0.878009,0.403157,,,,,,,,,,,,-9.73142,11.73674,-1.86497,50,5.46463,8.53161,-136.4856,-7.89881,-18.3729,29.78773,-10.01511,UNL_REB,CIN_BEA,EarlEWilsonStadium,D1,MW,20250222-EarlEWilsonStadium-1,f7005630-f18a-11ef-871d-8dd287eb52b4,93.49309,,,8.15212,,,,,,,1bea38b1-6aa0-4197-a308-dd47ee5ae6e8,2025-02-23,02:07:42.47,2025-02-22T18:07:42.4781312-08:00,2025-02-23T02:07:42.4781312Z,,v3,471376,471270,22 February 2025 21:05-cincy@unlv,"Gallegos, Chase",831021,Right,UNL_REB,b2c195fc-cdf9-4ee5-b07e-df6f1e0009ef,54.4166,-137.44614,14.89387,5.71413,-7.57586,-5.00756,-2.14963,9.12406,-9.18645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-22,18:08:07.50,2,2,"Mercurius, LJ",702969,Right,UNL_REB,"Klingenbeck, Kory",1000138494,Left,CIN_BEA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.93028,-3.20462,-3.796759,2572.392184,219.015646,1:15,5.6573,2.22812,5.94407,-10.49237,20.57064,15.85162,1.80076,0.02214,86.71437,-5.252516,-0.957354,0.401137,,,,,,,,,,,,-9.21567,11.75997,-1.93447,50,5.39548,8.4289,-137.50142,-7.98176,-17.6661,30.1199,-9.63064,UNL_REB,CIN_BEA,EarlEWilsonStadium,D1,MW,20250222-EarlEWilsonStadium-1,05e13c50-f18b-11ef-871d-8dd287eb52b4,93.96395,,,8.2159,,,,,,,1bea38b1-6aa0-4197-a308-dd47ee5ae6e8,2025-02-23,02:08:07.50,2025-02-22T18:08:07.5063808-08:00,2025-02-23T02:08:07.5063808Z,,v3,471376,471270,22 February 2025 21:05-cincy@unlv,"Gallegos, Chase",831021,Right,UNL_REB,461c5979-2a5b-466f-bc55-eca6fb648061,54.55651,-138.49593,15.05995,5.65378,-7.66377,-4.81532,-2.22241,9.01221,-8.83305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1705,2.055773,0.750182,1.305591,2.10888,1.86421,-0.03393,-1.96293,5.7363,0.21879,127.27798,-1.17815,-0.81095,-1.84113,109.98898,-8.60074,5.74109,8.80462,-10.81149,0.19396,-2.6631,1.47118,High,High,High,,,Medium,High,Medium
7,2025-02-22,18:08:45.23,2,3,"Mercurius, LJ",702969,Right,UNL_REB,"Klingenbeck, Kory",1000138494,Left,CIN_BEA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,94.76172,-1.213371,-3.976162,2513.651997,222.31216,1:30,5.79286,2.1411,5.92204,-12.7882,18.42623,15.84753,3.59833,-0.23392,86.24855,-3.682383,-1.139528,0.402114,,,,,,,,,,,,-9.17477,10.05453,-1.83112,50,5.68813,8.82188,-137.33484,-3.26692,-17.50959,30.62371,-12.98549,UNL_REB,CIN_BEA,EarlEWilsonStadium,D1,MW,20250222-EarlEWilsonStadium-1,1c6a9570-f18b-11ef-871d-8dd287eb52b4,93.73573,,,8.51317,,,,,,,1bea38b1-6aa0-4197-a308-dd47ee5ae6e8,2025-02-23,02:08:45.23,2025-02-22T18:08:45.2363776-08:00,2025-02-23T02:08:45.2363776Z,,v3,471376,471270,22 February 2025 21:05-cincy@unlv,"Gallegos, Chase",831021,Right,UNL_REB,ca5006cc-2159-4169-bda2-675a107163f2,54.57624,-138.35151,15.31185,5.78943,-2.83582,-6.49275,-2.13365,9.40318,-8.7548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,18:10:08.00,3,1,"Mercurius, LJ",702969,Right,UNL_REB,"Ford, Donavan",10075254,Right,CIN_BEA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.56145,-2.602908,-3.223046,2520.764056,224.370978,1:30,5.85347,2.02967,6.15123,-13.5067,17.55627,16.18241,2.31746,0.39709,86.26101,-5.202722,-0.309453,0.401137,73.37135,38.443734,148.898018,4739.717395,-100.55408,48.58446,44.59654,204.40569,63.96718,159.613627,3.224696,-9.31249,10.13127,-1.79273,50,5.64816,7.03098,-137.13233,-6.6204,-17.7067,30.74626,-12.91053,UNL_REB,CIN_BEA,EarlEWilsonStadium,D1,MW,20250222-EarlEWilsonStadium-1,4dadaaf0-f18b-11ef-871d-8dd287eb52b4,93.96393,48.57795,,8.30044,,,,0.95346,2.1257,-0.45482,1bea38b1-6aa0-4197-a308-dd47ee5ae6e8,2025-02-23,02:10:08.00,2025-02-22T18:10:08.0096256-08:00,2025-02-23T02:10:08.0096256Z,FlyBall,v3,471376,471270,22 February 2025 21:05-cincy@unlv,"Gallegos, Chase",831021,Right,UNL_REB,161c8746-ad13-431a-acd7-66081f7a04f0,54.34898,-138.10397,15.37313,5.85093,-6.21241,-6.45527,-2.02376,7.59055,-8.85335,311.783019,0.95392,-72.18846,1.89106,1.12627,0.05443,-0.40141,0.2207,-0.04881,0.00391,2.12578,66.90487,-28.48799,3.99724,-0.86795,0.22712,-0.07919,0.01911,-0.00182,-0.45411,43.51369,-12.98833,3.51165,-0.64927,0.06561,-0.03179,0.01504,-0.00195,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2025-02-22,18:10:33.76,3,2,"Mercurius, LJ",702969,Right,UNL_REB,"Ford, Donavan",10075254,Right,CIN_BEA,Undefined,1,Top,1,0,1,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.98692,-1.6702,-4.082514,2458.270077,10.584434,6:15,5.82395,1.97952,5.98863,-44.00935,-3.66445,-0.90075,0.60419,-1.88563,77.11934,-9.686787,-4.244217,0.457157,,,,,,,,,,,,-0.60882,-1.21406,-1.65651,50,5.66696,8.62602,-120.39556,-4.95264,-0.89797,22.30962,-33.9647,UNL_REB,CIN_BEA,EarlEWilsonStadium,D1,MW,20250222-EarlEWilsonStadium-1,5d188190-f18b-11ef-871d-8dd287eb52b4,82.44958,,,5.86758,,,,,,,1bea38b1-6aa0-4197-a308-dd47ee5ae6e8,2025-02-23,02:10:33.76,2025-02-22T18:10:33.7672192-08:00,2025-02-23T02:10:33.7672192Z,,v3,471376,471270,22 February 2025 21:05-cincy@unlv,"Gallegos, Chase",831021,Right,UNL_REB,f76c6fc5-d4a7-42d9-a07f-979c57cb8b46,54.5143,-121.22918,11.15481,5.82831,-3.68351,-16.98235,-1.97946,8.65958,-0.44898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-22,18:10:55.99,3,3,"Mercurius, LJ",702969,Right,UNL_REB,"Ford, Donavan",10075254,Right,CIN_BEA,Undefined,1,Top,1,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.14316,1.288915,-2.12662,2308.055688,56.963123,8:00,5.7135,1.96645,5.67466,-47.9314,-2.22138,-5.36433,2.92188,-0.46408,72.48048,-7.458918,-3.084979,0.486606,,,,,,,,,,,,2.20414,-1.09043,-1.78353,50,5.79174,4.41652,-113.56453,0.99595,2.90559,18.96256,-33.61149,UNL_REB,CIN_BEA,EarlEWilsonStadium,D1,MW,20250222-EarlEWilsonStadium-1,6a5af9f0-f18b-11ef-871d-8dd287eb52b4,77.45994,,,5.66268,,,,,,,1bea38b1-6aa0-4197-a308-dd47ee5ae6e8,2025-02-23,02:10:55.99,2025-02-22T18:10:55.9931392-08:00,2025-02-23T02:10:55.9931392Z,,v3,471376,471270,22 February 2025 21:05-cincy@unlv,"Gallegos, Chase",831021,Right,UNL_REB,573afd56-db2f-4ba5-b75a-793fc5cee359,54.82728,-114.36773,9.48128,5.7194,2.41963,-16.80575,-1.96799,4.29345,1.4528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
