PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,15:05:55.55,1,1,"Walton, Wade",1000335270,Right,HIG_PAN,"Konczak, Caden",1000236670,Left,TOL_ROC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.86508,-2.920099,-3.696232,2217.108479,225.461764,1:30,5.71856,2.23392,6.53211,-16.1758,16.82517,15.83524,1.68391,0.15807,82.60484,-6.057333,-0.826246,0.413461,91.46915,14.266117,20.169507,1462.101173,101.3482,19.34752,42.76122,220.15556,219.61454,25.81516,2.333044,-9.54182,10.15103,-1.98335,50,5.50817,7.9544,-132.99206,-7.20939,-16.7741,33.42657,-14.32894,HIG_PAN,TOL_ROC,HighPointUniversity,D1,BSOU,20250222-HighPointUniversity-1,6d142eb0-f158-11ef-a8d1-5b496040fc13,91.16321,19.57207,,9.26024,,,,1.77242,1.77454,-0.1459,a6701a5a-8d31-4d1e-be8a-498c8866f97c,2025-02-22,20:05:55.55,2025-02-22T15:05:55.5599360-05:00,2025-02-22T20:05:55.5599360Z,LineDrive,v3,471515,471468,22 February 2025 16:00-toledo@highpoint,"Hillier, Three",1000089637,Right,HIG_PAN,802ad4e6-7658-4fdf-b8a7-434fe6f9e599,53.96813,-133.98571,16.71329,5.71615,-6.78344,-7.16447,-2.22721,8.45304,-8.38705,234.253638,1.77242,122.0441,-25.55535,6.25075,-1.41782,0.27616,-0.04743,0.00616,-0.0004,1.77454,33.05924,-16.03901,0.54687,0.13127,-0.06716,0.01948,-0.00294,0.0002,-0.1459,44.82999,0.2989,-1.84089,0.7843,-0.23226,0.05194,-0.00756,0.00053,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-02-22,15:06:28.95,2,1,"Walton, Wade",1000335270,Right,HIG_PAN,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.4344,-2.332336,-2.589375,2091.116167,225.898658,1:30,5.66848,2.33949,6.51641,-18.2241,16.26824,15.5391,2.00622,1.25672,81.05782,-5.833705,0.2308,0.4227,,,,,,,,,,,,-8.85607,9.5765,-2.16462,50,5.49748,5.23886,-129.71877,-5.76132,-14.93735,29.69596,-16.02156,HIG_PAN,TOL_ROC,HighPointUniversity,D1,BSOU,20250222-HighPointUniversity-1,80ff5d50-f158-11ef-a8d1-5b496040fc13,89.17057,,,8.37658,,,,,,,a6701a5a-8d31-4d1e-be8a-498c8866f97c,2025-02-22,20:06:28.95,2025-02-22T15:06:28.9529344-05:00,2025-02-22T20:06:28.9529344Z,,v3,471515,471468,22 February 2025 16:00-toledo@highpoint,"Hillier, Three",1000089637,Right,HIG_PAN,f45a333d-730e-46f7-818c-35ba75caac53,53.98261,-130.62731,14.84798,5.66625,-5.27115,-8.01078,-2.33189,5.69586,-7.46867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,15:06:45.65,2,2,"Walton, Wade",1000335270,Right,HIG_PAN,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.10033,-2.32103,-1.659013,2207.420604,227.330413,1:30,5.62324,2.37401,6.39902,-18.17942,16.06434,16.08477,1.97163,2.18823,81.3729,-5.811368,1.256003,0.421174,,,,,,,,,,,,-8.80682,9.4539,-2.26119,50,5.44799,3.11037,-130.67534,-5.78336,-15.01086,31.20189,-16.06025,HIG_PAN,TOL_ROC,HighPointUniversity,D1,BSOU,20250222-HighPointUniversity-1,8af2d1c0-f158-11ef-a8d1-5b496040fc13,89.49367,,,8.72743,,,,,,,a6701a5a-8d31-4d1e-be8a-498c8866f97c,2025-02-22,20:06:45.65,2025-02-22T15:06:45.6577024-05:00,2025-02-22T20:06:45.6577024Z,,v3,471515,471468,22 February 2025 16:00-toledo@highpoint,"Hillier, Three",1000089637,Right,HIG_PAN,0a979dbf-ecc9-4369-9cd2-03f27e20c83b,54.09879,-131.65039,15.60095,5.62088,-5.28148,-8.03012,-2.36572,3.57946,-7.50543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,15:07:02.14,2,3,"Walton, Wade",1000335270,Right,HIG_PAN,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,0,2,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.11952,-1.032849,-2.63313,1370.975151,287.837513,3:30,5.47527,2.21476,6.50955,-40.83451,-1.53004,8.32965,1.1234,0.49065,76.93752,-8.593209,-1.118995,0.451224,,,,,,,,,,,,-5.09299,-0.20579,-2.03431,50,5.38537,5.2665,-120.8653,-3.40773,-7.56672,22.5953,-32.47979,HIG_PAN,TOL_ROC,HighPointUniversity,D1,BSOU,20250222-HighPointUniversity-1,94c6b040-f158-11ef-a8d1-5b496040fc13,83.53373,,,6.182,,,,,,,a6701a5a-8d31-4d1e-be8a-498c8866f97c,2025-02-22,20:07:02.14,2025-02-22T15:07:02.1432832-05:00,2025-02-22T20:07:02.1432832Z,,v3,471515,471468,22 February 2025 16:00-toledo@highpoint,"Hillier, Three",1000089637,Right,HIG_PAN,cc584b10-5466-47cf-9f39-f8354506d470,53.9946,-121.60978,11.29765,5.48002,-2.33757,-16.2399,-2.21194,5.51581,-3.78336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,15:07:19.81,2,4,"Walton, Wade",1000335270,Right,HIG_PAN,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,0,2,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.30719,-0.545376,-4.106287,1529.414373,285.710742,3:30,5.53484,2.47236,6.39832,-41.55376,-1.87421,11.14973,1.56914,-0.38148,76.43405,-8.241711,-2.089283,0.453372,,,,,,,,,,,,-7.02536,-0.47232,-2.1822,50,5.47663,8.27409,-120.87409,-2.43245,-10.36211,24.231,-32.87072,HIG_PAN,TOL_ROC,HighPointUniversity,D1,BSOU,20250222-HighPointUniversity-1,9f4f5fd0-f158-11ef-a8d1-5b496040fc13,83.138,,,6.87314,,,,,,,a6701a5a-8d31-4d1e-be8a-498c8866f97c,2025-02-22,20:07:19.81,2025-02-22T15:07:19.8194688-05:00,2025-02-22T20:07:19.8194688Z,,v3,471515,471468,22 February 2025 16:00-toledo@highpoint,"Hillier, Three",1000089637,Right,HIG_PAN,35e724a3-2652-4630-8029-b139f745ebfb,54.10516,-121.69425,12.1155,5.54013,-1.31986,-16.43536,-2.46819,8.62483,-5.18106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-22,15:07:41.26,2,5,"Walton, Wade",1000335270,Right,HIG_PAN,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,0,2,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.67685,-0.446281,-3.361179,1455.885382,222.891814,1:30,5.5097,2.38626,6.41051,-30.23029,9.12453,7.27689,2.57946,-0.10141,76.32861,-6.124626,-2.044976,0.451513,90.66019,-5.012443,71.543002,,,,,31.86567,26.85502,67.121091,0.233003,-4.80882,5.26988,-2.14878,50,5.46389,6.86798,-121.44204,-1.81859,-7.14272,24.98249,-24.3465,HIG_PAN,TOL_ROC,HighPointUniversity,D1,BSOU,20250222-HighPointUniversity-1,ac168db0-f158-11ef-a8d1-5b496040fc13,83.48026,2.71135,,7.34824,,,,2.60189,2.71135,0.03537,a6701a5a-8d31-4d1e-be8a-498c8866f97c,2025-02-22,20:07:41.26,2025-02-22T15:07:41.2609024-05:00,2025-02-22T20:07:41.2609024Z,GroundBall,v3,471515,471468,22 February 2025 16:00-toledo@highpoint,"Hillier, Three",1000089637,Right,HIG_PAN,f7c8850e-673e-43bc-9d52-3d38455d2d22,54.0911,-122.28075,12.49125,5.51122,-1.00123,-12.17325,-2.38338,7.10777,-3.57136,180,2.59934,42.00383,,,,,,,,2.71205,-11.63656,,,,,,,,0.02772,125.85004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2025-02-22,15:08:18.11,2,6,"Walton, Wade",1000335270,Right,HIG_PAN,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,0,2,2,ChangeUp,Splitter,InPlay,Undefined,FlyBall,Out,1,0,,81.18041,1.959321,-2.575699,1207.019208,290.928204,3:45,5.48496,2.29402,6.3919,-42.83829,-1.2576,6.60634,3.71981,0.47382,74.41438,-6.005679,-1.380318,0.464106,100.75673,23.328027,10.988031,1877.059597,108.45595,46.26132,18.36462,323.3333,323.03372,8.513866,4.227151,-4.17607,-0.85197,-2.11178,50,5.60621,5.07181,-117.93126,2.75736,-5.88411,22.32286,-33.37446,HIG_PAN,TOL_ROC,HighPointUniversity,D1,BSOU,20250222-HighPointUniversity-1,c215a830-f158-11ef-a8d1-5b496040fc13,81.21514,61.34942,,6.76603,,,,1.0507,3.72508,-0.46231,a6701a5a-8d31-4d1e-be8a-498c8866f97c,2025-02-22,20:08:18.11,2025-02-22T15:08:18.1162496-05:00,2025-02-22T20:08:18.1162496Z,LineDrive,v3,471515,471468,22 February 2025 16:00-toledo@highpoint,"Hillier, Three",1000089637,Right,HIG_PAN,da34c73c-980b-4fd3-8dc3-762cf24f9efa,54.11157,-118.70698,11.16143,5.49025,3.91711,-16.68723,-2.29158,5.27629,-2.94205,166.664905,1.05099,133.19973,-29.12976,7.18402,-1.58994,0.32102,-0.05177,0.00525,-0.00023,3.7245,58.53482,-15.43942,0.1309,0.14085,-0.0353,-9E-05,0.00146,-0.00017,-0.46198,25.85532,-8.83299,2.79528,-0.73435,0.16649,-0.02887,0.00314,-0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-02-22,15:08:55.51,3,1,"Walton, Wade",1000335270,Right,HIG_PAN,"Walton, Luke",10012651,Left,TOL_ROC,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.74015,1.177382,-2.159703,1191.417489,254.722141,2:30,5.57034,2.39772,6.31093,-37.82368,4.96796,12.5991,3.50391,1.45716,72.87839,-5.918059,0.118472,0.470816,,,,,,,,,,,,-7.19142,2.68421,-2.24485,50,5.63912,3.94438,-117.12934,1.29105,-9.8369,25.29634,-28.5024,HIG_PAN,TOL_ROC,HighPointUniversity,D1,BSOU,20250222-HighPointUniversity-1,d865a1d0-f158-11ef-a8d1-5b496040fc13,80.05774,,,7.86176,,,,,,,a6701a5a-8d31-4d1e-be8a-498c8866f97c,2025-02-22,20:08:55.51,2025-02-22T15:08:55.5195392-05:00,2025-02-22T20:08:55.5195392Z,,v3,471515,471468,22 February 2025 16:00-toledo@highpoint,"Hillier, Three",1000089637,Right,HIG_PAN,7b7faa35-c12a-413c-aedb-3e9f4e83be96,54.18799,-118.03035,12.64817,5.57505,2.30625,-14.2512,-2.39158,4.29475,-4.91845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,15:09:31.42,3,2,"Walton, Wade",1000335270,Right,HIG_PAN,"Walton, Luke",10012651,Left,TOL_ROC,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.87841,2.17912,-3.278973,1345.110641,251.680789,2:30,5.56695,2.32096,6.51952,-35.80616,5.64851,12.52449,4.58685,0.35269,73.56578,-4.579515,-1.010423,0.463402,,,,,,,,,,,,-7.54926,2.72662,-2.0969,50,5.70415,6.32544,-118.62299,3.49423,-10.57606,26.24749,-28.35422,HIG_PAN,TOL_ROC,HighPointUniversity,D1,BSOU,20250222-HighPointUniversity-1,edca02f0-f158-11ef-a8d1-5b496040fc13,81.33849,,,8.31263,,,,,,,a6701a5a-8d31-4d1e-be8a-498c8866f97c,2025-02-22,20:09:31.42,2025-02-22T15:09:31.4267648-05:00,2025-02-22T20:09:31.4267648Z,,v3,471515,471468,22 February 2025 16:00-toledo@highpoint,"Hillier, Three",1000089637,Right,HIG_PAN,66dc99bc-ba5a-44b1-bce2-b7cbd4b2f320,53.97846,-119.50005,13.12375,5.57157,4.44169,-14.17711,-2.31417,6.67884,-5.28803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-22,15:09:49.26,3,3,"Walton, Wade",1000335270,Right,HIG_PAN,"Walton, Luke",10012651,Left,TOL_ROC,Undefined,1,Top,1,2,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.62143,-1.085521,-3.180108,1239.548676,233.630134,1:45,5.57635,2.34271,6.38822,-33.35557,7.98012,9.01225,1.79653,0.16545,74.71536,-7.320786,-1.54908,0.462737,,,,,,,,,,,,-5.67016,4.85473,-2.1179,50,5.48266,6.26704,-118.48825,-3.20111,-8.02714,23.52597,-25.3013,HIG_PAN,TOL_ROC,HighPointUniversity,D1,BSOU,20250222-HighPointUniversity-1,f8709ac0-f158-11ef-a8d1-5b496040fc13,81.45549,,,6.90607,,,,,,,a6701a5a-8d31-4d1e-be8a-498c8866f97c,2025-02-22,20:09:49.26,2025-02-22T15:09:49.2694016-05:00,2025-02-22T20:09:49.2694016Z,,v3,471515,471468,22 February 2025 16:00-toledo@highpoint,"Hillier, Three",1000089637,Right,HIG_PAN,0514f97a-c3da-4911-85ad-56ba63f4a11f,54.11427,-119.30234,11.76299,5.57828,-2.32558,-12.65065,-2.33957,6.54482,-4.01357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
