PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,14:06:36.19,1,1,"Lim, Christian",814712,Left,STA_CAR,"DeCarlo, Samuel",1000189730,Right,WAS_HUS,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,1,,89.25134,-1.252816,3.647954,1993.415062,129.239534,10:15,5.33497,-2.07948,5.59723,-23.7434,12.03048,-13.24505,2.18413,0.22721,81.10342,-5.680189,1.289089,0.430481,101.93452,28.394983,-20.607864,3287.123989,101.74135,57.32336,-41.81665,404.23007,360.38105,-27.73111,5.273331,7.8252,6.81681,1.77547,50,5.21216,-7.66807,-129.28399,-3.64435,13.16196,28.51579,-20.70819,STA_CAR,WAS_HUS,KleinField,D1,ACC,20250222-KleinField-1,48608580-f169-11ef-af8a-e552f74b9497,87.55882,90.07926,,8.14792,,,,2.2092,2.30733,-0.23483,94e811b1-1a6e-4180-b9d0-7b02dec6f978,2025-02-22,22:06:36.19,2025-02-22T14:06:36.1991680-08:00,2025-02-22T22:06:36.1991680Z,FlyBall,v3,471454,471486,22 February 2025 17:05-washington@stanford,"Saum, Charlie",691793,Right,STA_CAR,dcf8553d-0bba-4c20-89df-60175a0ad7f4,54.90192,-130.36071,14.25789,5.335,-2.86244,-10.35409,2.07439,-8.16505,6.58098,160.614107,2.21189,123.04734,-26.18777,6.27428,-1.20183,0.19646,-0.02808,0.00295,-0.00014,2.30782,71.08255,-14.91235,-0.13345,0.38019,-0.18041,0.04602,-0.00586,0.00029,-0.23508,-46.28652,4.16511,-0.7557,0.11595,-0.01907,0.00377,-0.00052,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-02-22,14:07:19.92,2,1,"Lim, Christian",814712,Left,STA_CAR,"Guerrero, AJ",1000094166,Right,WAS_HUS,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,90.26618,-0.604456,3.166094,2118.580902,127.761041,10:15,5.43386,-2.16852,5.455,-21.84104,13.63497,-15.91028,3.04705,-0.52754,81.10315,-4.710128,0.338118,0.428686,101.25546,7.63248,-5.945313,1429.637695,,,,126.23951,126.23951,-7.021297,0.976012,9.04941,7.43213,1.90046,50,5.36595,-6.50243,-130.65856,-2.12777,15.38562,31.76413,-19.53808,STA_CAR,WAS_HUS,KleinField,D1,ACC,20250222-KleinField-1,62754f50-f169-11ef-af8a-e552f74b9497,87.9256,6.8772,,9.16304,,,,0.79373,2.95979,0.53105,94e811b1-1a6e-4180-b9d0-7b02dec6f978,2025-02-22,22:07:19.92,2025-02-22T14:07:19.9299584-08:00,2025-02-22T22:07:19.9299584Z,LineDrive,v3,471454,471486,22 February 2025 17:05-washington@stanford,"Saum, Charlie",691793,Right,STA_CAR,a87d3eec-2c98-4254-a02a-ebaaa0415917,55.04222,-131.87866,15.88207,5.43327,-1.37729,-9.76904,2.16157,-7.09341,7.69281,34.658261,0.79373,146.39999,-22.90641,4.47824,-0.87101,-0.00772,0.02896,0.11114,-0.06519,2.95979,19.7244,-26.12302,3.51309,-0.76123,0.10033,-0.01442,0.0536,-0.02843,0.53106,-15.24672,-2.40393,1.6091,-0.15506,-0.48581,0.39177,-8E-05,-0.06689,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-02-22,14:07:55.95,3,1,"Lim, Christian",814712,Left,STA_CAR,"Bower, Colton",805281,Right,WAS_HUS,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.7115,1.968415,1.378867,2571.180114,277.868978,3:15,5.34271,-2.11899,5.10278,-47.43188,-0.52602,15.14658,3.24608,0.44272,71.58591,-6.664681,4.055237,0.49293,,,,,,,,,,,,-7.06744,-0.36177,1.97665,50,5.49166,-3.37651,-114.05132,2.23419,-9.22098,22.82728,-32.64605,STA_CAR,WAS_HUS,KleinField,D1,ACC,20250222-KleinField-1,77e59750-f169-11ef-af8a-e552f74b9497,76.46615,,,7.1256,,,,,,,94e811b1-1a6e-4180-b9d0-7b02dec6f978,2025-02-22,22:07:55.95,2025-02-22T14:07:55.9537664-08:00,2025-02-22T22:07:55.9537664Z,,v3,471454,471486,22 February 2025 17:05-washington@stanford,"Saum, Charlie",691793,Right,STA_CAR,ab5786e8-d201-4a58-8c91-4e97f293d660,55.39573,-115.12621,11.41364,5.35027,3.77142,-16.32303,2.12542,-2.94231,-4.61049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,14:08:11.83,3,2,"Lim, Christian",814712,Left,STA_CAR,"Bower, Colton",805281,Right,WAS_HUS,Undefined,1,Top,0,0,1,Slider,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,78.34145,0.296218,2.563728,2550.775475,294.572591,3:45,5.30507,-2.11363,5.19285,-50.14644,-2.51941,9.27619,1.40513,1.07266,70.98981,-8.817228,4.206507,0.496705,,,,,,,,,,,,-3.80795,-0.94252,1.86822,50,5.29449,-5.44824,-113.42641,-1.15081,-4.86325,24.55486,-33.37776,STA_CAR,WAS_HUS,KleinField,D1,ACC,20250222-KleinField-1,81675e30-f169-11ef-af8a-e552f74b9497,75.88503,,,7.35165,,,,,,,94e811b1-1a6e-4180-b9d0-7b02dec6f978,2025-02-22,22:08:11.83,2025-02-22T14:08:11.8362112-08:00,2025-02-22T22:08:11.8362112Z,,v3,471454,471486,22 February 2025 17:05-washington@stanford,"Saum, Charlie",691793,Right,STA_CAR,0f6026f2-45d3-43a9-bba1-b4c435f5c3b5,55.3064,-114.5694,12.27743,5.31189,0.40287,-16.68888,2.11656,-5.22187,-2.43162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,14:09:21.28,4,1,"Lim, Christian",814712,Left,STA_CAR,"Taggart, Casen",814470,Left,WAS_HUS,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.80693,0.497643,3.521087,2132.679334,123.629881,10:00,5.51951,-2.0771,5.45533,-22.86155,12.80162,-17.36347,4.08112,-0.2238,81.00792,-3.784311,0.437407,0.429815,,,,,,,,,,,,9.74855,6.6452,1.77832,50,5.54814,-7.19681,-130.01169,0.34116,16.51745,29.82319,-20.91477,STA_CAR,WAS_HUS,KleinField,D1,ACC,20250222-KleinField-1,aad46100-f169-11ef-af8a-e552f74b9497,87.69457,,,8.79901,,,,,,,94e811b1-1a6e-4180-b9d0-7b02dec6f978,2025-02-22,22:09:21.28,2025-02-22T14:09:21.2880384-08:00,2025-02-22T22:09:21.2880384Z,,v3,471454,471486,22 February 2025 17:05-washington@stanford,"Saum, Charlie",691793,Right,STA_CAR,35faa751-8672-4ad8-88d0-89fcb53a6ad6,55.04131,-131.16301,14.91159,5.51938,1.14857,-10.45739,2.06845,-7.83446,8.25872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-22,14:09:38.71,4,2,"Lim, Christian",814712,Left,STA_CAR,"Taggart, Casen",814470,Left,WAS_HUS,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.53113,1.978606,1.269426,2509.044188,256.892344,2:30,5.38645,-1.9684,5.06688,-43.9453,3.30319,7.23441,3.59114,-0.16841,71.17331,-6.04972,2.547189,0.494727,,,,,,,,,,,,-3.16803,1.5565,1.84195,50,5.54012,-2.82532,-113.72535,2.38151,-4.10782,22.78812,-30.15579,STA_CAR,WAS_HUS,KleinField,D1,ACC,20250222-KleinField-1,b52f22c0-f169-11ef-af8a-e552f74b9497,76.1884,,,7.35782,,,,,,,94e811b1-1a6e-4180-b9d0-7b02dec6f978,2025-02-22,22:09:38.71,2025-02-22T14:09:38.7194880-08:00,2025-02-22T22:09:38.7194880Z,,v3,471454,471486,22 February 2025 17:05-washington@stanford,"Saum, Charlie",691793,Right,STA_CAR,3deea699-bff2-48d7-9709-7af950700c03,55.42916,-114.80808,11.39406,5.39292,3.8143,-15.0779,1.97156,-2.63015,-2.05391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-22,14:09:57.25,4,3,"Lim, Christian",814712,Left,STA_CAR,"Taggart, Casen",814470,Left,WAS_HUS,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.60588,-0.918625,2.84887,2123.416151,128.430561,10:15,5.55581,-1.81531,5.5815,-21.64355,14.15485,-16.17847,2.89314,-0.50075,80.59751,-4.997724,-0.035051,0.430629,,,,,,,,,,,,9.02965,7.8226,1.58075,50,5.46296,-5.71756,-129.7394,-2.79733,15.1519,31.07072,-19.04758,STA_CAR,WAS_HUS,KleinField,D1,ACC,20250222-KleinField-1,c032f5c0-f169-11ef-af8a-e552f74b9497,87.5288,,,9.00837,,,,,,,94e811b1-1a6e-4180-b9d0-7b02dec6f978,2025-02-22,22:09:57.25,2025-02-22T14:09:57.2532736-08:00,2025-02-22T22:09:57.2532736Z,,v3,471454,471486,22 February 2025 17:05-washington@stanford,"Saum, Charlie",691793,Right,STA_CAR,df10aad7-a037-473a-bdf4-2b0db425a7e3,54.91409,-130.91097,15.53536,5.5549,-2.07911,-9.52379,1.80711,-6.28888,7.57595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,14:10:19.03,4,4,"Lim, Christian",814712,Left,STA_CAR,"Taggart, Casen",814470,Left,WAS_HUS,Undefined,1,Top,0,2,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,78.16605,1.434575,1.648197,2594.894936,268.493951,3:00,5.37973,-1.83644,5.10579,-45.67121,2.05811,15.47481,2.9263,1.0065,70.90231,-6.895283,4.382507,0.497238,81.68072,49.673433,-12.898229,5426.228335,105.11212,108.20581,-32.42554,236.42962,233.47784,-21.492478,5.459709,-7.25615,0.96071,1.66804,50,5.47932,-3.87571,-113.24966,1.26481,-9.28815,23.45753,-30.94431,STA_CAR,WAS_HUS,KleinField,D1,ACC,20250222-KleinField-1,cd3530d0-f169-11ef-af8a-e552f74b9497,75.80367,113.21426,,7.26374,,,,2.08064,2.83752,-0.90581,94e811b1-1a6e-4180-b9d0-7b02dec6f978,2025-02-22,22:10:19.03,2025-02-22T14:10:19.0338560-08:00,2025-02-22T22:10:19.0338560Z,FlyBall,v3,471454,471486,22 February 2025 17:05-washington@stanford,"Saum, Charlie",691793,Right,STA_CAR,6bb56c7e-be63-43e0-b67f-0954af4a8b3e,55.39412,-114.36149,11.72876,5.38461,2.7315,-15.47216,1.84131,-3.43547,-4.64407,171.516978,2.08806,75.41811,-19.93967,5.22502,-0.63312,-0.08274,0.04485,-0.00637,0.00031,2.8335,91.39369,-22.19772,1.60249,-0.01128,-0.11347,0.04384,-0.00722,0.00043,-0.90543,-17.31046,1.89437,-0.85338,0.2376,-0.04286,0.00382,-2E-05,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-02-22,14:10:59.15,5,1,"Lim, Christian",814712,Left,STA_CAR,"Kole, Trevor",831223,Right,WAS_HUS,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.77494,-1.945093,3.200685,2174.261301,121.993832,10:00,5.39763,-1.85741,5.63132,-22.76793,12.89146,-18.51186,1.68193,-0.41061,80.82623,-6.218463,-0.102461,0.429792,63.84432,40.908019,33.952492,4544.900982,82.63915,52.05661,72.59999,196.67852,170.71188,45.264852,3.736965,10.48394,7.55052,1.59717,50,5.21755,-6.45509,-129.9416,-5.18279,17.61922,31.56171,-19.48472,STA_CAR,WAS_HUS,KleinField,D1,ACC,20250222-KleinField-1,e519fb40-f169-11ef-af8a-e552f74b9497,87.69921,52.23128,,8.94871,,,,1.73732,1.81034,0.45472,94e811b1-1a6e-4180-b9d0-7b02dec6f978,2025-02-22,22:10:59.15,2025-02-22T14:10:59.1503872-08:00,2025-02-22T22:10:59.1503872Z,Popup,v3,471454,471486,22 February 2025 17:05-washington@stanford,"Saum, Charlie",691793,Right,STA_CAR,656ed421-49c5-4855-a8ca-36aea683e6db,54.86714,-131.11845,15.78085,5.39725,-4.45625,-9.74236,1.85011,-7.11207,8.80961,229.029719,1.74374,58.52745,-11.41604,1.50271,0.90661,-0.61277,0.12023,-0.00049,-0.00141,1.81519,61.16675,-20.20179,-0.31891,2.24131,-1.55839,0.54933,-0.09635,0.00661,0.4581,39.40873,1.48118,-2.93625,2.659,-1.59719,0.56169,-0.10239,0.00742,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-02-22,14:11:46.65,5,2,"Lim, Christian",814712,Left,STA_CAR,"Kole, Trevor",831223,Right,WAS_HUS,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.05749,0.565565,2.48184,1484.66516,89.776816,9:00,5.52481,-1.91189,5.40724,-45.46455,1.47811,-18.49155,2.26652,-1.12605,71.31741,-7.748169,-0.809269,0.493123,,,,,,,,,,,,10.00575,1.05165,1.70417,50,5.54351,-4.1761,-113.21685,-0.40876,12.9188,21.68541,-30.81621,STA_CAR,WAS_HUS,KleinField,D1,ACC,20250222-KleinField-1,0174e480-f16a-11ef-af8a-e552f74b9497,76.43619,,,6.74008,,,,,,,94e811b1-1a6e-4180-b9d0-7b02dec6f978,2025-02-22,22:11:46.65,2025-02-22T14:11:46.6518528-08:00,2025-02-22T22:11:46.6518528Z,,v3,471454,471486,22 February 2025 17:05-washington@stanford,"Saum, Charlie",691793,Right,STA_CAR,42547af6-02b1-4a38-8ab2-8142a1d130c9,55.09265,-114.18812,10.84271,5.53091,0.97148,-15.4081,1.90417,-4.75472,6.4594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
