PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,14:05:30.45,1,1,"Blair, Benjamin",1000115932,Right,LIB_FLA,"Hendrickson, Carter",1000113446,Right,XAV_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.3418,-1.365239,-5.83702,2358.973641,236.193338,1:45,4.75221,2.6512,6.29327,-17.90643,13.61694,18.63501,1.9952,-1.19317,85.0134,-4.790287,-2.491478,0.404099,,,,,,,,,,,,-11.40056,7.80985,-2.22864,50,4.64257,13.1133,-136.29361,-3.79399,-21.20161,33.1228,-17.65011,LIB_FLA,XAV_MUS,Liberty,D1,CUSA,20250222-Liberty-1,fc5a4720-f14f-11ef-80e1-ff7cf59447a9,93.27528,,,9.3284,,,,,,,e251a2fd-e87b-4cfb-9a46-b1edea29dc02,2025-02-22,19:05:30.45,2025-02-22T14:05:30.4501760-05:00,2025-02-22T19:05:30.4501760Z,,v3,471336,471497,22 February 2025 14:00-xavier@liberty,"Moore, Tucker",805218,Right,LIB_FLA,38610f82-e393-455d-b807-1254a5e3ed1c,54.20308,-137.31127,16.5614,4.7508,-3.25171,-8.82506,-2.64153,13.7647,-10.6008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-22,14:05:43.75,1,2,"Blair, Benjamin",1000115932,Right,LIB_FLA,"Hendrickson, Carter",1000113446,Right,XAV_MUS,Undefined,1,Top,0,1,0,TwoSeamFastBall,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,93.44383,-1.309474,-4.291279,2283.487026,246.706299,2:15,4.83157,2.57923,6.35914,-22.06446,9.74087,20.06501,1.78414,0.29458,84.64975,-5.482916,-0.668503,0.405902,90.4591,10.821948,-34.886885,1828.228563,88.15726,9.53075,-65.78979,165.55916,165.55916,-38.118362,1.52143,-11.79808,5.79414,-2.27717,50,4.72619,9.33044,-135.42095,-3.79856,-21.70268,32.17308,-21.51565,LIB_FLA,XAV_MUS,Liberty,D1,CUSA,20250222-Liberty-1,0444cc30-f150-11ef-80e1-ff7cf59447a9,92.8609,10.42722,,8.79407,,,,2.28644,1.9783,-0.41214,e251a2fd-e87b-4cfb-9a46-b1edea29dc02,2025-02-22,19:05:43.75,2025-02-22T14:05:43.7564928-05:00,2025-02-22T19:05:43.7564928Z,LineDrive,v3,471336,471497,22 February 2025 14:00-xavier@liberty,"Moore, Tucker",805218,Right,LIB_FLA,5857e819-5ce7-4937-9a86-4e082e87a018,54.13995,-136.40097,16.08654,4.83192,-3.14318,-10.75783,-2.57145,9.99152,-10.85134,,2.28644,106.894,-19.01493,3.58311,-0.79252,0.1558,-0.0302,0.00491,-0.00043,1.9783,24.91038,-19.54399,1.97085,-0.3989,0.08793,-0.01615,0.00258,-0.00025,-0.41214,-74.53392,5.04209,0.11328,-0.14952,0.05892,-0.01436,0.00256,-0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-02-22,14:06:21.29,2,1,"Blair, Benjamin",1000115932,Right,LIB_FLA,"Anderson, Aedan",811772,Right,XAV_MUS,Undefined,1,Top,0,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.25221,0.439278,-0.433888,2430.637457,174.542869,11:45,4.75323,2.55427,5.70413,-23.25387,16.61584,-1.45988,3.22472,2.02833,76.43792,-3.947688,-0.694936,0.454457,,,,,,,,,,,,0.60764,8.69662,-2.51701,50,4.77579,0.98695,-122.24902,0.23431,0.91358,25.56552,-19.09901,LIB_FLA,XAV_MUS,Liberty,D1,CUSA,20250222-Liberty-1,1aa95f40-f150-11ef-80e1-ff7cf59447a9,82.93948,,,7.81429,,,,,,,e251a2fd-e87b-4cfb-9a46-b1edea29dc02,2025-02-22,19:06:21.29,2025-02-22T14:06:21.2913664-05:00,2025-02-22T19:06:21.2913664Z,,v3,471336,471497,22 February 2025 14:00-xavier@liberty,"Moore, Tucker",805218,Right,LIB_FLA,f7739080-f7c1-4dbd-941d-94dab459f195,54.79039,-123.24675,12.78276,4.7521,0.97967,-9.5495,-2.55483,0.9513,0.45679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,14:07:23.60,2,2,"Blair, Benjamin",1000115932,Right,LIB_FLA,"Anderson, Aedan",811772,Right,XAV_MUS,Undefined,1,Top,0,1,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.98595,-0.431384,-3.942318,2279.683062,256.126866,2:30,4.65192,2.43637,6.29499,-25.72781,6.66536,22.1734,2.10949,0.64582,83.62737,-5.280805,0.059715,0.409636,,,,,,,,,,,,-12.73024,3.95827,-2.15599,50,4.608,8.32807,-134.72616,-1.86707,-23.00689,33.83547,-25.02045,LIB_FLA,XAV_MUS,Liberty,D1,CUSA,20250222-Liberty-1,3fcd46b0-f150-11ef-80e1-ff7cf59447a9,92.01446,,,9.35858,,,,,,,e251a2fd-e87b-4cfb-9a46-b1edea29dc02,2025-02-22,19:07:23.60,2025-02-22T14:07:23.6011520-05:00,2025-02-22T19:07:23.6011520Z,,v3,471336,471497,22 February 2025 14:00-xavier@liberty,"Moore, Tucker",805218,Right,LIB_FLA,1157f208-0290-43d8-94bc-0414590868cf,54.20224,-135.77742,16.91773,4.65393,-1.08969,-12.51022,-2.42585,9.04289,-11.50345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,14:07:43.39,2,3,"Blair, Benjamin",1000115932,Right,LIB_FLA,"Anderson, Aedan",811772,Right,XAV_MUS,Undefined,1,Top,0,1,1,Cutter,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.07843,0.178935,-2.321131,2432.403999,172.564539,11:45,4.73388,2.55289,6.02048,-22.47946,16.19194,-1.94543,3.02646,0.2397,77.26524,-4.081165,-2.670532,0.447576,70.17768,22.246131,162.170473,3370.975142,-106.20347,17.79315,28.65,158.59594,47.31487,166.545874,2.03388,0.30866,8.66063,-2.37002,50,4.73573,5.08095,-123.45233,-0.26293,0.47289,26.23156,-18.9048,LIB_FLA,XAV_MUS,Liberty,D1,CUSA,20250222-Liberty-1,4b968c90-f150-11ef-80e1-ff7cf59447a9,84.21469,20.30231,,7.81319,,,,0.22461,2.90598,-0.17441,e251a2fd-e87b-4cfb-9a46-b1edea29dc02,2025-02-22,19:07:43.39,2025-02-22T14:07:43.3941504-05:00,2025-02-22T19:07:43.3941504Z,LineDrive,v3,471336,471497,22 February 2025 14:00-xavier@liberty,"Moore, Tucker",805218,Right,LIB_FLA,8c907de4-0bdf-4c1a-803b-2da9b3d08103,54.47612,-124.3998,13.11578,4.73289,0.4199,-9.4524,-2.55323,5.06387,0.23645,323.978195,0.22444,-90.67825,6.95668,0.55164,-0.91118,0.88835,-0.42288,0.09108,-0.00677,2.906,38.96443,-23.77801,2.33153,-0.03651,-0.34297,0.25627,-0.08324,0.01022,-0.17429,29.16051,-5.58862,-0.13313,0.62665,-0.65254,0.32058,-0.07222,0.00584,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,High,Low,,,
6,2025-02-22,14:08:06.48,2,4,"Blair, Benjamin",1000115932,Right,LIB_FLA,"Anderson, Aedan",811772,Right,XAV_MUS,Undefined,1,Top,0,1,2,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.89104,0.185545,-1.558399,2399.51163,186.956601,12:15,4.66472,2.47364,5.9262,-22.01773,16.16973,1.81213,3.00214,1.1783,77.67441,-3.993923,-1.233157,0.444766,,,,,,,,,,,,-1.40158,8.60284,-2.35003,50,4.66718,3.31423,-124.59435,-0.24193,-2.18054,27.43733,-18.78999,LIB_FLA,XAV_MUS,Liberty,D1,CUSA,20250222-Liberty-1,5962ce60-f150-11ef-80e1-ff7cf59447a9,84.74662,,,8.21663,,,,,,,e251a2fd-e87b-4cfb-9a46-b1edea29dc02,2025-02-22,19:08:06.48,2025-02-22T14:08:06.4831488-05:00,2025-02-22T19:08:06.4831488Z,,v3,471336,471497,22 February 2025 14:00-xavier@liberty,"Moore, Tucker",805218,Right,LIB_FLA,f0f8298a-4e64-4ce4-a8a2-e482b574d9a2,54.56818,-125.5963,13.71866,4.66348,0.44424,-9.39499,-2.47251,3.39386,-1.09027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
7,2025-02-22,14:08:27.21,2,5,"Blair, Benjamin",1000115932,Right,LIB_FLA,"Anderson, Aedan",811772,Right,XAV_MUS,Undefined,1,Top,0,2,2,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.83995,-1.57413,-3.674933,2345.950575,245.344901,2:15,4.68673,2.3385,6.21728,-20.90344,10.98674,21.38391,1.48882,0.72463,84.47431,-5.540191,0.180356,0.406443,,,,,,,,,,,,-12.22835,6.53898,-2.07316,50,4.55828,7.79897,-135.94062,-4.40702,-22.5132,34.28936,-20.13535,LIB_FLA,XAV_MUS,Liberty,D1,CUSA,20250222-Liberty-1,65b4f350-f150-11ef-80e1-ff7cf59447a9,92.73732,,,9.36564,,,,,,,e251a2fd-e87b-4cfb-9a46-b1edea29dc02,2025-02-22,19:08:27.21,2025-02-22T14:08:27.2159232-05:00,2025-02-22T19:08:27.2159232Z,,v3,471336,471497,22 February 2025 14:00-xavier@liberty,"Moore, Tucker",805218,Right,LIB_FLA,04025ddc-47e7-4f7a-8d64-afaeb73a03a5,54.27995,-137.01594,17.14468,4.68658,-3.77557,-10.06768,-2.32881,8.50499,-11.2566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,14:08:47.56,2,6,"Blair, Benjamin",1000115932,Right,LIB_FLA,"Anderson, Aedan",811772,Right,XAV_MUS,Undefined,1,Top,0,3,2,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.23446,-0.968334,-4.560933,2339.813344,235.904861,1:45,4.72634,2.37199,6.23972,-17.4528,13.3556,18.13544,2.37583,-0.33264,86.03859,-4.30293,-1.297868,0.39949,,,,,,,,,,,,-10.72327,7.52126,-2.03993,50,4.64531,10.19536,-137.89935,-2.86646,-20.45357,33.37024,-17.82802,LIB_FLA,XAV_MUS,Liberty,D1,CUSA,20250222-Liberty-1,71dcd3f0-f150-11ef-80e1-ff7cf59447a9,94.35135,,,9.19587,,,,,,,e251a2fd-e87b-4cfb-9a46-b1edea29dc02,2025-02-22,19:08:47.56,2025-02-22T14:08:47.5636736-05:00,2025-02-22T19:08:47.5636736Z,,v3,471336,471497,22 February 2025 14:00-xavier@liberty,"Moore, Tucker",805218,Right,LIB_FLA,a463a1db-e1c8-4fa4-8856-d8fc5f1bc8b7,54.25715,-138.92572,16.68512,4.72504,-2.31812,-8.91401,-2.36318,10.82445,-10.22679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,14:09:11.48,2,7,"Blair, Benjamin",1000115932,Right,LIB_FLA,"Anderson, Aedan",811772,Right,XAV_MUS,Undefined,1,Top,0,3,2,TwoSeamFastBall,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,94.64209,-0.842282,-2.94255,2156.734096,240.030651,2:00,4.72606,2.6157,6.11388,-19.30722,12.02871,18.92627,2.33727,1.46982,85.3666,-4.510487,0.465013,0.402896,,,,,,,,,,,,-10.62103,6.79004,-2.39924,50,4.65136,6.20308,-137.22729,-2.6369,-19.99035,34.0408,-19.39413,LIB_FLA,XAV_MUS,Liberty,D1,CUSA,20250222-Liberty-1,80182b40-f150-11ef-80e1-ff7cf59447a9,93.55384,,,9.27549,,,,,,,e251a2fd-e87b-4cfb-9a46-b1edea29dc02,2025-02-22,19:09:11.48,2025-02-22T14:09:11.4822656-05:00,2025-02-22T19:09:11.4822656Z,,v3,471336,471497,22 February 2025 14:00-xavier@liberty,"Moore, Tucker",805218,Right,LIB_FLA,8cdfb5b9-44b9-4c28-88dd-978152a71448,54.38259,-138.31017,17.0204,4.72543,-2.01995,-9.69707,-2.60668,6.839,-9.99518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-22,14:09:44.84,3,1,"Blair, Benjamin",1000115932,Right,LIB_FLA,"Wachsmann, Isaac",1000213858,Right,XAV_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.1678,-0.568271,-3.038275,2174.50291,248.255067,2:15,4.74228,2.39351,6.13199,-22.68147,8.94686,19.61698,2.32616,1.2174,84.97919,-4.845453,0.495204,0.404771,,,,,,,,,,,,-11.13575,5.12158,-2.17151,50,4.68715,6.40138,-136.57817,-2.11322,-20.74521,33.93446,-22.63283,LIB_FLA,XAV_MUS,Liberty,D1,CUSA,20250222-Liberty-1,93f3a270-f150-11ef-80e1-ff7cf59447a9,93.12039,,,9.18861,,,,,,,e251a2fd-e87b-4cfb-9a46-b1edea29dc02,2025-02-22,19:09:44.84,2025-02-22T14:09:44.8420864-05:00,2025-02-22T19:09:44.8420864Z,,v3,471336,471497,22 February 2025 14:00-xavier@liberty,"Moore, Tucker",805218,Right,LIB_FLA,c25be927-4d4b-4f8e-9c50-9f6f5d39bda7,54.36648,-137.6588,16.96723,4.74297,-1.39249,-11.31642,-2.38588,7.062,-10.37261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
