PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,11:05:23.51,1,1,"Clarke, Collin",822155,Right,ORE_DUC,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.89896,-1.25595,-2.639184,2275.117391,218.020446,1:15,5.90982,1.87076,5.6989,-15.95166,18.82828,13.68174,3.40874,0.54987,81.35324,-4.333019,-0.195322,0.424459,,,,,,,,,,,,-7.76122,10.32154,-1.65752,50,5.79465,5.43447,-131.56886,-3.33996,-13.33318,33.10219,-14.44242,ORE_DUC,RHO_RAM,PKPark,D1,BIG10,20250222-PKPark-1,0cec38a0-f150-11ef-9a84-afb84dd8f4a3,88.80113,,,9.54572,,,,,,,984c43b9-b0fd-4b7a-8895-30de4c6fa30e,2025-02-22,19:05:23.51,2025-02-22T11:05:23.5133952-08:00,2025-02-22T19:05:23.5133952Z,,v3,4807,471418,21 February 2025 19:05-uri@oregon,"Niclai, Coen",815515,Right,ORE_DUC,ada749ed-42ed-446c-b76a-61cf2efa07cf,54.79462,-132.76968,16.55109,5.9063,-2.81604,-7.22121,-1.86344,5.91815,-6.66659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
2,2025-02-22,11:05:43.76,1,2,"Clarke, Collin",822155,Right,ORE_DUC,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,1,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,80.53894,0.762301,-1.979816,2013.807834,353.183584,5:45,5.55469,2.01703,5.95268,-44.93691,-1.46929,0.35508,2.51738,0.20979,73.14144,-7.540116,-1.915994,0.47452,81.20343,-3.979927,10.541223,,,,,24.91487,23.83402,10.781044,0.213911,-0.80772,-0.54858,-1.85983,50,5.59036,4.02577,-116.85164,0.10981,-1.1022,24.69751,-32.92265,ORE_DUC,RHO_RAM,PKPark,D1,BIG10,20250222-PKPark-1,1906f9e0-f150-11ef-9a84-afb84dd8f4a3,79.4328,2.41481,,7.39749,,,,0.29642,2.41481,-0.15486,984c43b9-b0fd-4b7a-8895-30de4c6fa30e,2025-02-22,19:05:43.76,2025-02-22T11:05:43.7683200-08:00,2025-02-22T19:05:43.7683200Z,GroundBall,v3,4807,471418,21 February 2025 19:05-uri@oregon,"Niclai, Coen",815515,Right,ORE_DUC,4a6bf1fb-ccdc-4ff9-b8ef-8f75f56297eb,54.54503,-117.80835,12.34875,5.56141,1.38514,-16.46133,-2.0166,4.06847,-0.5511,266.881153,0.29777,116.72268,-17.31303,,,,,,,2.41531,-8.29707,-14.0078,,,,,,,-0.15543,21.77054,3.48577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-02-22,11:06:18.22,2,1,"Clarke, Collin",822155,Right,ORE_DUC,"Genther, Eric",823759,Left,RHO_RAM,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.46698,-2.640926,-3.107438,2280.472887,239.637368,2:00,5.77995,1.98939,5.8625,-22.70312,12.32359,18.70832,1.42929,0.65882,81.10006,-6.920371,0.246675,0.425962,,,,,,,,,,,,-10.64957,7.59666,-1.74835,50,5.55251,6.29025,-130.86214,-6.78153,-18.0451,33.49874,-19.30198,ORE_DUC,RHO_RAM,PKPark,D1,BIG10,20250222-PKPark-1,2d847d70-f150-11ef-9a84-afb84dd8f4a3,88.48778,,,9.36692,,,,,,,984c43b9-b0fd-4b7a-8895-30de4c6fa30e,2025-02-22,19:06:18.22,2025-02-22T11:06:18.2257664-08:00,2025-02-22T19:06:18.2257664Z,,v3,4807,471418,21 February 2025 19:05-uri@oregon,"Niclai, Coen",815515,Right,ORE_DUC,7eb4a5ff-b49d-4634-bca2-f385d85e19ed,54.63402,-132.04305,16.74937,5.77958,-6.10109,-9.65099,-1.98131,6.92638,-9.02255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,11:06:46.30,2,2,"Clarke, Collin",822155,Right,ORE_DUC,"Genther, Eric",823759,Left,RHO_RAM,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.42677,0.412427,-1.397323,1708.402902,244.339311,2:15,5.49866,2.1468,5.73269,-37.58711,6.21992,9.83725,2.75059,1.66506,73.08325,-6.549764,0.363918,0.476369,,,,,,,,,,,,-5.3813,3.5228,-2.03625,50,5.51034,2.45135,-116.67606,-0.37507,-7.35221,23.77265,-27.36103,ORE_DUC,RHO_RAM,PKPark,D1,BIG10,20250222-PKPark-1,3e48c990-f150-11ef-9a84-afb84dd8f4a3,79.1245,,,7.34351,,,,,,,984c43b9-b0fd-4b7a-8895-30de4c6fa30e,2025-02-22,19:06:46.30,2025-02-22T11:06:46.3026688-08:00,2025-02-22T19:06:46.3026688Z,,v3,4807,471418,21 February 2025 19:05-uri@oregon,"Niclai, Coen",815515,Right,ORE_DUC,44003e1f-2319-4204-b803-a292372afb63,54.76277,-117.64247,11.88633,5.50298,0.73721,-13.68052,-2.14198,2.75023,-3.67611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,11:07:01.29,2,3,"Clarke, Collin",822155,Right,ORE_DUC,"Genther, Eric",823759,Left,RHO_RAM,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.90893,-0.452271,-1.618892,1782.706035,272.25113,3:00,5.48869,2.06199,5.59217,-42.75522,0.62185,20.49859,1.50329,2.25823,74.02562,-8.281451,2.046598,0.474025,,,,,,,,,,,,-10.82418,0.90413,-1.93655,50,5.42228,2.49515,-117.45106,-2.38383,-15.02037,23.6121,-30.91943,ORE_DUC,RHO_RAM,PKPark,D1,BIG10,20250222-PKPark-1,47335980-f150-11ef-9a84-afb84dd8f4a3,79.5157,,,6.88331,,,,,,,984c43b9-b0fd-4b7a-8895-30de4c6fa30e,2025-02-22,19:07:01.29,2025-02-22T11:07:01.2961792-08:00,2025-02-22T19:07:01.2961792Z,,v3,4807,471418,21 February 2025 19:05-uri@oregon,"Niclai, Coen",815515,Right,ORE_DUC,aaa77cd1-b5aa-4c65-90ab-2cabf9283c68,54.90719,-118.43348,11.80605,5.4947,-1.09738,-15.45972,-2.05336,3.1201,-7.51018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-22,11:07:16.50,2,4,"Clarke, Collin",822155,Right,ORE_DUC,"Genther, Eric",823759,Left,RHO_RAM,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.22631,-1.342475,-2.14834,2396.309074,222.521334,1:30,5.83184,1.98436,5.80662,-13.94146,19.87336,17.19647,3.4205,1.41859,82.95027,-4.028646,0.931249,0.418528,,,,,,,,,,,,-9.33812,10.83304,-1.81814,50,5.71333,4.19873,-132.36891,-3.4839,-16.50603,29.24278,-13.02561,ORE_DUC,RHO_RAM,PKPark,D1,BIG10,20250222-PKPark-1,50401770-f150-11ef-9a84-afb84dd8f4a3,90.05947,,,8.27605,,,,,,,984c43b9-b0fd-4b7a-8895-30de4c6fa30e,2025-02-22,19:07:16.50,2025-02-22T11:07:16.5058560-08:00,2025-02-22T19:07:16.5058560Z,,v3,4807,471418,21 February 2025 19:05-uri@oregon,"Niclai, Coen",815515,Right,ORE_DUC,7ba7fc0d-395e-4f7d-bcf0-661e957776c8,54.69061,-133.40112,14.62139,5.82819,-3.02412,-6.51281,-1.97663,4.78137,-8.25301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-22,11:07:33.52,2,5,"Clarke, Collin",822155,Right,ORE_DUC,"Genther, Eric",823759,Left,RHO_RAM,Undefined,1,Top,1,3,1,Fastball,Sinker,InPlay,Undefined,Popup,Out,1,0,,91.01259,-1.607069,-3.719152,2350.914143,229.165281,1:45,5.72927,1.91686,5.90484,-16.66973,17.14962,18.57418,2.84482,0.00756,83.01808,-4.779074,-0.392618,0.418556,90.4959,71.532444,-7.191745,,,,,,39.69318,,,-10.57319,9.56579,-1.62856,50,5.59042,7.78312,-131.95777,-4.2084,-18.63498,28.19268,-15.31462,ORE_DUC,RHO_RAM,PKPark,D1,BIG10,20250222-PKPark-1,5a6a2c40-f150-11ef-9a84-afb84dd8f4a3,90.05341,133.47399,,7.99451,,,,1.21356,2.2237,0.18483,984c43b9-b0fd-4b7a-8895-30de4c6fa30e,2025-02-22,19:07:33.52,2025-02-22T11:07:33.5226880-08:00,2025-02-22T19:07:33.5226880Z,,v3,4807,471418,21 February 2025 19:05-uri@oregon,"Niclai, Coen",815515,Right,ORE_DUC,e600e0bd-256a-4da5-9acc-220033b3a4e7,54.59446,-132.93575,14.09634,5.72719,-3.67715,-7.65731,-1.90976,8.42955,-9.31749,169.694963,1.2136,41.7066,-18.96813,5.81005,-0.53299,-0.63526,0.42867,-0.11974,0.01277,2.2237,125.89375,-31.18411,4.09102,-1.00782,0.48179,-0.24038,0.07158,-0.00908,0.18485,-5.26641,-5.27061,2.0052,-0.12581,-0.33731,0.22108,-0.06315,0.00703,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2025-02-22,11:08:10.02,3,1,"Clarke, Collin",822155,Right,ORE_DUC,"Moroney, Reece",10095269,Right,RHO_RAM,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.34001,-2.040598,-3.588219,2321.963335,187.881662,12:15,5.66054,1.77265,6.18576,-28.74726,10.06827,1.23114,1.37627,-1.44225,77.77608,-7.380888,-3.366555,0.448409,,,,,,,,,,,,-1.59059,6.1317,-1.50232,50,5.49173,7.62423,-122.33128,-5.2394,-2.42084,23.14637,-22.84184,ORE_DUC,RHO_RAM,PKPark,D1,BIG10,20250222-PKPark-1,70351760-f150-11ef-9a84-afb84dd8f4a3,84.05823,,,6.56393,,,,,,,984c43b9-b0fd-4b7a-8895-30de4c6fa30e,2025-02-22,19:08:10.02,2025-02-22T11:08:10.0294656-08:00,2025-02-22T19:08:10.0294656Z,,v3,4807,471418,21 February 2025 19:05-uri@oregon,"Niclai, Coen",815515,Right,ORE_DUC,47ca414e-4ec0-41ea-89c1-50012c5f58f9,54.31214,-123.14448,11.57319,5.66171,-4.4369,-11.42092,-1.77168,7.70928,-1.21042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,11:08:26.02,3,2,"Clarke, Collin",822155,Right,ORE_DUC,"Moroney, Reece",10095269,Right,RHO_RAM,Undefined,1,Top,2,1,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.4432,-1.084726,-2.90075,2459.932965,180.506709,12:00,5.65161,1.93318,6.17955,-28.9362,10.49579,0.08272,2.23717,-0.74093,77.12851,-6.468981,-2.885845,0.451956,,,,,,,,,,,,-0.78055,6.07969,-1.71399,50,5.55483,6.13845,-121.20513,-3.16724,-1.17084,21.84082,-23.05459,ORE_DUC,RHO_RAM,PKPark,D1,BIG10,20250222-PKPark-1,79b99d60-f150-11ef-9a84-afb84dd8f4a3,83.39853,,,6.31469,,,,,,,984c43b9-b0fd-4b7a-8895-30de4c6fa30e,2025-02-22,19:08:26.02,2025-02-22T11:08:26.0218368-08:00,2025-02-22T19:08:26.0218368Z,,v3,4807,471418,21 February 2025 19:05-uri@oregon,"Niclai, Coen",815515,Right,ORE_DUC,3bdbb480-2375-4b01-b8fb-51f0c53f5944,54.31853,-121.98083,10.92041,5.65278,-2.34843,-11.52729,-1.93274,6.18004,-0.58542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-22,11:08:44.18,3,3,"Clarke, Collin",822155,Right,ORE_DUC,"Moroney, Reece",10095269,Right,RHO_RAM,Undefined,1,Top,2,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.44761,-2.346028,-3.653981,1722.785179,252.094454,2:30,5.59842,2.0121,5.83304,-36.65215,6.67933,16.46682,0.35778,-0.01665,74.19273,-9.076173,-0.702228,0.473776,,,,,,,,,,,,-9.49556,4.43331,-1.7238,50,5.38474,6.83675,-116.63012,-5.94069,-13.10239,21.57097,-26.05676,ORE_DUC,RHO_RAM,PKPark,D1,BIG10,20250222-PKPark-1,848d5fb0-f150-11ef-9a84-afb84dd8f4a3,79.55749,,,6.25489,,,,,,,984c43b9-b0fd-4b7a-8895-30de4c6fa30e,2025-02-22,19:08:44.18,2025-02-22T11:08:44.1861632-08:00,2025-02-22T19:08:44.1861632Z,,v3,4807,471418,21 February 2025 19:05-uri@oregon,"Niclai, Coen",815515,Right,ORE_DUC,642527d7-b5d3-4f84-a92a-6f6f9fdf9269,54.66756,-117.49023,10.78549,5.60091,-4.90173,-13.02838,-2.00682,7.35918,-6.55119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
