PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,13:06:20.48,1,1,"Shatwell, Kade",702514,Right,AUS_GOV,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.76209,-3.822881,-3.22061,2144.019103,205.202714,12:45,6.24582,1.62895,6.00683,-14.82603,18.56627,8.20024,1.45759,-0.6747,83.53579,-6.657278,-1.748732,0.415906,,,,,,,,,,,,-5.1715,11.018,-1.38022,50,5.93654,7.12346,-132.79723,-9.30308,-9.18572,29.85407,-12.60366,AUS_GOV,FOR_MAS,RaymondHand,D1,ASUN,20250222-RaymondHand-1,1a395f60-f150-11ef-ac79-f7e402f08916,90.6274,,,8.2263,,,,,,,80c8f7c1-f774-41f0-b70c-1e6a3db4e76b,2025-02-22,19:06:20.48,2025-02-22T13:06:20.4853248-06:00,2025-02-22T19:06:20.4853248Z,,v3,471237,471321,22 February 2025 14:00-iupufw@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,b2b287d8-e235-486f-9670-02e55302c657,54.49208,-133.80328,14.92703,6.24289,-8.87835,-6.30183,-1.62549,7.43301,-4.59286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-22,13:06:35.88,1,2,"Shatwell, Kade",702514,Right,AUS_GOV,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.90087,-2.467416,-1.964308,2222.391486,204.755588,12:45,6.271,1.49364,5.77868,-14.03875,19.0545,8.21827,2.80248,0.35005,83.53933,-5.1814,-0.493335,0.414039,,,,,,,,,,,,-4.78481,10.82619,-1.33628,50,6.05878,4.23206,-134.50196,-6.18492,-8.62294,33.58885,-12.6636,AUS_GOV,FOR_MAS,RaymondHand,D1,ASUN,20250222-RaymondHand-1,235eae60-f150-11ef-ac79-f7e402f08916,91.03599,,,9.36154,,,,,,,80c8f7c1-f774-41f0-b70c-1e6a3db4e76b,2025-02-22,19:06:35.88,2025-02-22T13:06:35.8810112-06:00,2025-02-22T19:06:35.8810112Z,,v3,471237,471321,22 February 2025 14:00-iupufw@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,48905601-7f9c-4e40-bacd-8ceb8782be64,54.71636,-135.67465,16.79442,6.26699,-5.74279,-6.3318,-1.48929,4.53311,-4.31147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,13:06:49.98,1,3,"Shatwell, Kade",702514,Right,AUS_GOV,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.72604,-2.196264,-2.513331,2183.879104,226.559489,1:30,6.33996,1.50225,5.79451,-17.0532,16.21623,15.79481,2.87294,0.4791,83.23285,-5.455061,0.314551,0.41514,,,,,,,,,,,,-8.80189,9.32863,-1.30456,50,6.14902,5.15992,-134.22238,-5.67147,-15.76119,34.04471,-15.46965,AUS_GOV,FOR_MAS,RaymondHand,D1,ASUN,20250222-RaymondHand-1,2bcba9e0-f150-11ef-ac79-f7e402f08916,90.79463,,,9.49318,,,,,,,80c8f7c1-f774-41f0-b70c-1e6a3db4e76b,2025-02-22,19:06:49.98,2025-02-22T13:06:49.9872768-06:00,2025-02-22T19:06:49.9872768Z,,v3,471237,471321,22 February 2025 14:00-iupufw@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,78717c39-b7c2-4368-80c8-d52ea20c7ca1,54.70104,-135.40953,17.02236,6.33738,-5.13204,-7.73483,-1.49407,5.70951,-7.8806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
4,2025-02-22,13:07:06.27,1,4,"Shatwell, Kade",702514,Right,AUS_GOV,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.55915,-4.133531,-1.275192,2246.184101,215.930108,1:15,6.32795,1.27069,5.58362,-13.16009,19.90686,13.49776,1.36341,1.20444,83.96472,-6.673713,1.133597,0.413874,,,,,,,,,,,,-7.19489,11.78398,-1.16988,50,5.9638,2.36648,-135.19759,-10.13623,-13.05522,34.87596,-10.79188,AUS_GOV,FOR_MAS,RaymondHand,D1,ASUN,20250222-RaymondHand-1,3584ad60-f150-11ef-ac79-f7e402f08916,91.07217,,,9.59443,,,,,,,80c8f7c1-f774-41f0-b70c-1e6a3db4e76b,2025-02-22,19:07:06.27,2025-02-22T13:07:06.2717440-06:00,2025-02-22T19:07:06.2717440Z,,v3,471237,471321,22 February 2025 14:00-iupufw@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,63b01321-2798-4cff-bf00-97101116fd0e,54.91166,-136.45873,17.43798,6.32328,-9.74599,-5.39594,-1.26399,2.83857,-6.52761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,13:07:21.14,1,5,"Shatwell, Kade",702514,Right,AUS_GOV,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.14169,-3.804606,-2.135472,2203.345426,218.948987,1:15,6.25264,1.24056,5.8602,-14.62457,18.3334,13.80304,1.49161,0.40594,83.72416,-6.618769,0.339583,0.413192,70.20953,17.408767,-129.114203,2889.017229,,,,132.28982,48.13125,-135.861783,1.685562,-7.77422,11.0026,-1.07543,50,5.93514,4.40594,-134.71162,-9.38044,-14.01538,34.43063,-12.33849,AUS_GOV,FOR_MAS,RaymondHand,D1,ASUN,20250222-RaymondHand-1,3e66b1d0-f150-11ef-ac79-f7e402f08916,91.22264,12.99985,,9.41753,,,,-0.15952,1.3614,-0.53419,80c8f7c1-f774-41f0-b70c-1e6a3db4e76b,2025-02-22,19:07:21.14,2025-02-22T13:07:21.1480000-06:00,2025-02-22T19:07:21.1480000Z,LineDrive,v3,471237,471321,22 February 2025 14:00-iupufw@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,8ab29b47-63ed-41fe-82c2-ac0d611ca42e,54.63729,-135.89168,17.21532,6.24939,-8.95756,-6.16925,-1.23467,4.88629,-7.00769,,-0.15952,-61.98725,2.2437,1.08743,-0.37804,0.11775,-0.02413,0.00379,-0.00034,1.3614,30.8084,-22.1754,2.7055,-0.56433,0.12363,-0.02022,0.0028,-0.00024,-0.53419,-76.23667,15.85969,-2.35639,0.48123,-0.06468,0.00755,-0.00129,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2025-02-22,13:07:39.06,1,6,"Shatwell, Kade",702514,Right,AUS_GOV,"Hockemeyer, Nick",828327,Left,FOR_MAS,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.40054,-4.262118,-1.848328,2277.902006,199.959331,12:45,6.30939,1.13875,5.89895,-12.21347,20.39383,6.96945,1.3254,0.00302,84.31688,-6.634991,-0.598014,0.410988,,,,,,,,,,,,-4.15681,12.14879,-0.99405,50,5.95895,4.04883,-135.0888,-10.38519,-7.57368,33.2798,-10.03912,AUS_GOV,FOR_MAS,RaymondHand,D1,ASUN,20250222-RaymondHand-1,491008c0-f150-11ef-ac79-f7e402f08916,91.71183,,,9.08365,,,,,,,80c8f7c1-f774-41f0-b70c-1e6a3db4e76b,2025-02-22,19:07:39.06,2025-02-22T13:07:39.0610000-06:00,2025-02-22T19:07:39.0610000Z,,v3,471237,471321,22 February 2025 14:00-iupufw@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,3cae1d70-e329-4dc1-88a2-6f525dc154d4,54.59846,-136.21694,16.6399,6.30522,-10.04488,-5.01956,-1.13566,4.30557,-3.78684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-22,13:08:12.00,2,1,"Shatwell, Kade",702514,Right,AUS_GOV,"Karczewski, Camden",1000133231,Right,FOR_MAS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.84155,-4.201221,-2.956293,2279.831104,200.88724,12:45,6.28393,1.1348,6.09103,-11.57875,20.2867,7.32111,1.42066,-0.99216,85.30504,-6.452987,-1.64001,0.406285,,,,,,,,,,,,-4.6461,12.0291,-0.91052,50,5.9529,6.69364,-135.77804,-10.2698,-8.62058,31.4198,-9.85482,AUS_GOV,FOR_MAS,RaymondHand,D1,ASUN,20250222-RaymondHand-1,5cb2bcb0-f150-11ef-ac79-f7e402f08916,92.77329,,,8.53651,,,,,,,80c8f7c1-f774-41f0-b70c-1e6a3db4e76b,2025-02-22,19:08:12.00,2025-02-22T13:08:12.0070000-06:00,2025-02-22T19:08:12.0070000Z,,v3,471237,471321,22 February 2025 14:00-iupufw@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,51a4dc90-5355-41d5-90bb-64dd9ea5a95d,54.40735,-136.79412,15.7099,6.27986,-9.95111,-4.92741,-1.13149,6.97241,-4.31029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,13:08:27.32,2,2,"Shatwell, Kade",702514,Right,AUS_GOV,"Karczewski, Camden",1000133231,Right,FOR_MAS,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.37809,-1.638327,-2.679543,2257.332604,195.94062,12:30,6.43012,1.28768,5.92767,-12.73528,19.82206,5.31886,3.84662,-0.75716,83.92185,-4.127269,-1.726004,0.410673,,,,,,,,,,,,-3.55764,10.97288,-1.07617,50,6.29167,6.08293,-135.22143,-4.18678,-6.48348,33.81285,-12.17699,AUS_GOV,FOR_MAS,RaymondHand,D1,ASUN,20250222-RaymondHand-1,65d7bd90-f150-11ef-ac79-f7e402f08916,91.7822,,,9.45624,,,,,,,80c8f7c1-f774-41f0-b70c-1e6a3db4e76b,2025-02-22,19:08:27.32,2025-02-22T13:08:27.3230000-06:00,2025-02-22T19:08:27.3230000Z,,v3,471237,471321,22 February 2025 14:00-iupufw@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,70481d31-81a5-42d5-b18b-66a6de9daab8,54.56672,-136.35858,16.90643,6.42559,-3.77726,-6.08849,-1.28442,6.30097,-3.24174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,13:08:41.01,2,3,"Shatwell, Kade",702514,Right,AUS_GOV,"Karczewski, Camden",1000133231,Right,FOR_MAS,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.38218,-3.246668,-3.451158,2371.931491,199.494589,12:45,6.25099,1.27423,6.06556,-18.07139,14.90583,4.86906,1.73168,-1.5178,83.85694,-6.667774,-2.576555,0.413312,,,,,,,,,,,,-3.53343,8.99252,-1.00879,50,5.98888,7.84689,-133.66793,-8.14217,-6.33724,31.14884,-16.04579,AUS_GOV,FOR_MAS,RaymondHand,D1,ASUN,20250222-RaymondHand-1,6df7f8a0-f150-11ef-ac79-f7e402f08916,91.19601,,,8.52524,,,,,,,80c8f7c1-f774-41f0-b70c-1e6a3db4e76b,2025-02-22,19:08:41.01,2025-02-22T13:08:41.0160000-06:00,2025-02-22T19:08:41.0160000Z,,v3,471237,471321,22 February 2025 14:00-iupufw@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,aed22057-3a9c-46b2-a828-55fed23b9ece,54.43068,-134.69646,15.57442,6.24899,-7.61234,-8.02289,-1.27135,8.05615,-3.16862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-22,13:08:57.58,2,4,"Shatwell, Kade",702514,Right,AUS_GOV,"Karczewski, Camden",1000133231,Right,FOR_MAS,Undefined,1,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,93.37184,-3.450797,-0.500856,2322.051079,193.775592,12:30,6.3575,1.23662,5.7157,-12.29186,20.61603,4.7489,2.11451,1.16576,83.90969,-5.844427,0.348721,0.412878,,,,,,,,,,,,-2.58162,11.98442,-1.19773,50,6.06135,0.96424,-135.1315,-8.47221,-4.68572,34.50169,-10.42192,AUS_GOV,FOR_MAS,RaymondHand,D1,ASUN,20250222-RaymondHand-1,77dbdcb0-f150-11ef-ac79-f7e402f08916,91.29201,,,9.46215,,,,,,,80c8f7c1-f774-41f0-b70c-1e6a3db4e76b,2025-02-22,19:08:57.58,2025-02-22T13:08:57.5870000-06:00,2025-02-22T19:08:57.5870000Z,,v3,471237,471321,22 February 2025 14:00-iupufw@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,1782b329-93ec-4b8d-a8c0-ff824c25620a,54.78099,-136.34672,17.25084,6.35329,-8.10513,-5.21096,-1.2346,1.12928,-2.34286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
