PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,13:59:55.93,1,1,"Foltz Jr., Michael",803189,Left,GEO_COL,"Egrie, CJ",1000095959,Right,HOL_CRU,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.77749,0.96845,2.808197,1926.273575,94.066294,9:15,4.92978,-2.39362,6.55389,-31.58856,2.34795,-17.56139,3.18655,-1.28012,81.73575,-4.95757,-0.380626,0.419281,,,,,,,,,,,,10.00111,1.29638,2.20641,50,4.98357,-5.70538,-130.41842,1.20417,17.14204,28.66534,-29.95205,GEO_COL,HOL_CRU,TuckerFieldatBarcroftPark,D1,A10,20250222-TuckerFieldatBarcroftPark-1,34f31130-f14f-11ef-9199-bb7cd7adf1f6,89.89782,,,8.04175,,,,,,,d745942b-b2e9-47dc-bf03-a34e2e21130d,2025-02-22,18:59:55.93,2025-02-22T13:59:55.9351808-05:00,2025-02-22T18:59:55.9351808Z,,v3,471301,471313,,"Clough, Jude",1000298949,Right,GEO_COL,864b5ee0-5b8a-43b2-83a7-6daceac500b8,53.94515,-131.28267,14.33267,4.93365,2.10722,-14.97602,2.38622,-6.22222,8.57102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-22,14:00:08.89,1,2,"Foltz Jr., Michael",803189,Left,GEO_COL,"Egrie, CJ",1000095959,Right,HOL_CRU,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.31363,-0.066271,2.801827,2079.991081,96.244091,9:15,5.07893,-2.25601,6.17843,-31.01297,3.02988,-17.49158,2.43324,-1.12418,82.26904,-5.842012,-0.353445,0.419937,,,,,,,,,,,,9.84717,1.93339,2.05272,50,5.05835,-5.68883,-131.12474,-1.20712,17.05349,29.09811,-28.82578,GEO_COL,HOL_CRU,TuckerFieldatBarcroftPark,D1,A10,20250222-TuckerFieldatBarcroftPark-1,3cadaca0-f14f-11ef-9199-bb7cd7adf1f6,89.75731,,,8.04459,,,,,,,d745942b-b2e9-47dc-bf03-a34e2e21130d,2025-02-22,19:00:08.89,2025-02-22T14:00:08.8979456-05:00,2025-02-22T19:00:08.8979456Z,,v3,471301,471313,,"Clough, Jude",1000298949,Right,GEO_COL,b100d40d-45de-49db-a866-b8c626631b1b,54.32036,-132.08,14.54905,5.08245,-0.2608,-14.41289,2.24867,-6.24868,8.52674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,14:00:24.32,1,3,"Foltz Jr., Michael",803189,Left,GEO_COL,"Egrie, CJ",1000095959,Right,HOL_CRU,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.26426,-0.919334,4.074126,1769.050715,91.441938,9:00,4.76594,-2.28556,6.20737,-37.41309,1.86339,-20.92025,0.79745,-0.26229,76.75629,-7.863747,0.30109,0.451063,,,,,,,,,,,,12.0841,1.63354,1.98962,50,4.67819,-7.90026,-122.16529,-3.153,18.10518,25.99804,-29.72658,GEO_COL,HOL_CRU,TuckerFieldatBarcroftPark,D1,A10,20250222-TuckerFieldatBarcroftPark-1,45e2b310-f14f-11ef-9199-bb7cd7adf1f6,83.5635,,,7.50797,,,,,,,d745942b-b2e9-47dc-bf03-a34e2e21130d,2025-02-22,19:00:24.32,2025-02-22T14:00:24.3279872-05:00,2025-02-22T19:00:24.3279872Z,,v3,471301,471313,,"Clough, Jude",1000298949,Right,GEO_COL,a1bd18ac-316a-4817-bfbd-da21f5a1ef3b,54.2924,-123.07537,12.99902,4.77035,-2.1124,-14.86329,2.27726,-8.53405,9.05259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,14:00:39.06,1,4,"Foltz Jr., Michael",803189,Left,GEO_COL,"Egrie, CJ",1000095959,Right,HOL_CRU,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,91.13068,-0.397875,3.660242,1994.155599,117.80275,10:00,5.13474,-2.22718,6.1647,-22.98521,10.71902,-18.0869,2.85103,-0.34881,82.34976,-4.741544,0.40416,0.417844,85.25735,-0.999211,24.444165,2428.180365,,,,45.11599,43.45882,25.612347,0.368516,10.50071,6.00772,1.95856,50,5.09285,-7.69347,-132.10889,-1.64666,18.34693,31.1264,-21.67729,GEO_COL,HOL_CRU,TuckerFieldatBarcroftPark,D1,A10,20250222-TuckerFieldatBarcroftPark-1,4ea65a10-f14f-11ef-9199-bb7cd7adf1f6,90.20705,2.86907,,8.78093,,,,1.24607,2.86907,0.30839,d745942b-b2e9-47dc-bf03-a34e2e21130d,2025-02-22,19:00:39.06,2025-02-22T14:00:39.0611968-05:00,2025-02-22T19:00:39.0611968Z,GroundBall,v3,471301,471313,,"Clough, Jude",1000298949,Right,GEO_COL,3222027c-c589-4f57-ac3d-f09f618ed284,54.33331,-133.12596,15.5632,5.13508,-0.93835,-10.83865,2.21974,-8.29296,9.17346,269.989327,1.25299,113.5676,-17.88046,,,,,,,2.87188,-2.28238,-14.97485,,,,,,,0.30615,51.81766,0.75897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
5,2025-02-22,14:01:40.63,2,1,"Foltz Jr., Michael",803189,Left,GEO_COL,"Scanlon, Sean",809071,Left,HOL_CRU,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.06362,0.210893,3.535389,2116.192879,117.861451,10:00,5.08563,-1.88865,6.20708,-24.35962,11.29953,-18.7595,3.25068,-0.18473,79.48274,-4.424113,0.155336,0.429791,,,,,,,,,,,,10.83213,6.16615,1.63161,50,5.08951,-7.16804,-128.94703,-0.26548,17.80815,32.70245,-22.03681,GEO_COL,HOL_CRU,TuckerFieldatBarcroftPark,D1,A10,20250222-TuckerFieldatBarcroftPark-1,7362cd20-f14f-11ef-9199-bb7cd7adf1f6,87.69954,,,9.58088,,,,,,,d745942b-b2e9-47dc-bf03-a34e2e21130d,2025-02-22,19:01:40.63,2025-02-22T14:01:40.6391808-05:00,2025-02-22T19:01:40.6391808Z,,v3,471301,471313,,"Clough, Jude",1000298949,Right,GEO_COL,b1c3ec77-5b4e-4b2b-9e9d-614ae22f7c53,54.28725,-130.02978,16.35123,5.08622,0.46415,-11.01841,1.8787,-7.75765,8.90408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-22,14:01:56.86,2,2,"Foltz Jr., Michael",803189,Left,GEO_COL,"Scanlon, Sean",809071,Left,HOL_CRU,Undefined,1,Top,0,0,1,Cutter,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.48902,-0.821851,2.105254,2330.584806,186.937928,12:15,5.44525,-1.56575,5.88073,-23.66182,12.97587,1.43449,2.70964,0.50975,79.82255,-5.255876,2.362419,0.435648,83.71245,62.115579,-55.44246,4817.237925,,,,,69.05014,,,-0.1298,7.23831,1.39487,50,5.36525,-4.72673,-126.98881,-2.57417,-0.21115,26.9397,-20.39979,GEO_COL,HOL_CRU,TuckerFieldatBarcroftPark,D1,A10,20250222-TuckerFieldatBarcroftPark-1,7d0848a0-f14f-11ef-9199-bb7cd7adf1f6,86.52044,114.61455,,7.66647,,,,2.12675,2.09337,-0.21542,d745942b-b2e9-47dc-bf03-a34e2e21130d,2025-02-22,19:01:56.86,2025-02-22T14:01:56.8660992-05:00,2025-02-22T19:01:56.8660992Z,,v3,471301,471313,,"Clough, Jude",1000298949,Right,GEO_COL,8606273a-7576-4035-ab56-0df90fb61270,54.61716,-127.96455,13.46985,5.4451,-1.8353,-10.1999,1.56593,-4.71907,-0.10558,157.878498,2.12675,32.57159,-18.91931,6.83756,-1.93345,0.48322,-0.1041,0.01637,-0.00139,2.09337,108.5226,-29.16576,3.35761,-0.41823,-0.00646,0.02158,-0.00637,0.00073,-0.21542,-47.29026,7.16063,-1.34675,0.16927,-0.0002,-0.00811,0.00236,-0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
7,2025-02-22,14:02:24.09,2,3,"Foltz Jr., Michael",803189,Left,GEO_COL,"Scanlon, Sean",809071,Left,HOL_CRU,Undefined,1,Top,0,0,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.68456,-0.761063,4.623148,1920.722557,100.24815,9:15,5.07479,-1.95206,6.38363,-28.37029,5.02701,-20.7806,2.00818,0.57826,82.20103,-6.103221,0.870549,0.415937,,,,,,,,,,,,12.35166,3.2528,1.62752,50,5.00708,-9.85923,-132.68783,-2.69258,21.55871,33.94233,-26.49656,GEO_COL,HOL_CRU,TuckerFieldatBarcroftPark,D1,A10,20250222-TuckerFieldatBarcroftPark-1,8d40f690-f14f-11ef-9199-bb7cd7adf1f6,90.62063,,,9.48353,,,,,,,d745942b-b2e9-47dc-bf03-a34e2e21130d,2025-02-22,19:02:24.09,2025-02-22T14:02:24.0996352-05:00,2025-02-22T19:02:24.0996352Z,,v3,471301,471313,,"Clough, Jude",1000298949,Right,GEO_COL,251d4f02-6a06-41b8-a5b3-a84e9d895548,54.11337,-133.73592,16.97117,5.07759,-1.87441,-13.24828,1.94223,-10.52493,10.77936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,14:03:11.52,3,1,"Foltz Jr., Michael",803189,Left,GEO_COL,"Baillargeon, Chris",809051,Right,HOL_CRU,Undefined,1,Top,1,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.10049,0.42088,3.292444,1744.796958,81.494159,8:45,4.86077,-2.04331,6.28532,-39.64656,-0.73236,-14.86217,1.94542,-0.24415,76.29302,-6.983495,0.607093,0.448978,103.27745,-15.873676,-21.532604,,,,,7.70736,7.51981,-16.022619,0.045617,8.9102,-0.14047,1.80757,50,4.87294,-6.52185,-123.32057,-0.35537,13.37921,30.22407,-32.38498,GEO_COL,HOL_CRU,TuckerFieldatBarcroftPark,D1,A10,20250222-TuckerFieldatBarcroftPark-1,a98cc4a0-f14f-11ef-9199-bb7cd7adf1f6,83.95158,1.89212,,8.80746,,,,1.21839,1.89212,0.31484,d745942b-b2e9-47dc-bf03-a34e2e21130d,2025-02-22,19:03:11.52,2025-02-22T14:03:11.5207680-05:00,2025-02-22T19:03:11.5207680Z,GroundBall,v3,471301,471313,,"Clough, Jude",1000298949,Right,GEO_COL,58e0985c-ab14-4047-ae8e-bbceee728af5,54.21243,-124.34869,15.11203,4.86629,0.74625,-16.19249,2.03716,-6.97697,6.68961,180,1.21724,135.68616,,,,,,,,1.89247,-41.47868,,,,,,,,0.3153,-53.53741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-02-22,14:03:47.87,4,1,"Foltz Jr., Michael",803189,Left,GEO_COL,"Royer, Gianni",10102058,Right,HOL_CRU,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.67611,0.806834,1.379922,1743.728749,90.645737,9:00,4.75451,-2.27031,6.21839,-39.369,1.62969,-13.0445,2.21855,-2.08375,74.57926,-6.544597,-0.977449,0.460847,,,,,,,,,,,,7.16831,1.04898,2.17306,50,4.79587,-2.38465,-119.97458,0.45633,10.26059,27.09585,-30.67259,GEO_COL,HOL_CRU,TuckerFieldatBarcroftPark,D1,A10,20250222-TuckerFieldatBarcroftPark-1,bf38b610-f14f-11ef-9199-bb7cd7adf1f6,81.78953,,,8.09685,,,,,,,d745942b-b2e9-47dc-bf03-a34e2e21130d,2025-02-22,19:03:47.87,2025-02-22T14:03:47.8736896-05:00,2025-02-22T19:03:47.8736896Z,,v3,471301,471313,,"Clough, Jude",1000298949,Right,GEO_COL,e44dd65a-7a7e-474a-8ced-a7c2a7ac763f,54.27782,-120.93686,13.54792,4.76032,1.54563,-15.33629,2.26422,-2.74904,5.1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-22,14:04:05.83,4,2,"Foltz Jr., Michael",803189,Left,GEO_COL,"Royer, Gianni",10102058,Right,HOL_CRU,Undefined,1,Top,2,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.91883,-1.042748,3.103485,2015.371961,99.288267,9:15,5.11233,-2.19652,6.16371,-29.56021,4.44599,-19.61985,1.68425,-0.96193,82.01213,-6.568787,-0.435126,0.419711,,,,,,,,,,,,11.09178,3.02075,1.9705,50,5.01841,-6.306,-131.79412,-3.4065,19.18594,32.3356,-26.9489,GEO_COL,HOL_CRU,TuckerFieldatBarcroftPark,D1,A10,20250222-TuckerFieldatBarcroftPark-1,c9e875a0-f14f-11ef-9199-bb7cd7adf1f6,89.80568,,,8.90671,,,,,,,d745942b-b2e9-47dc-bf03-a34e2e21130d,2025-02-22,19:04:05.83,2025-02-22T14:04:05.8334208-05:00,2025-02-22T19:04:05.8334208Z,,v3,471301,471313,,"Clough, Jude",1000298949,Right,GEO_COL,2c04fe90-b197-40ee-a442-d7fa1a40288d,54.33326,-132.85303,16.1678,5.11552,-2.52399,-13.47445,2.18729,-6.93429,9.59297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
