PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:01:19.29,1,1,"Thomas, Hayden",1000097180,Left,COL_CHA,"Soldra, AJ",831004,Left,SET_PIR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.84232,-1.15299,3.425102,2278.118544,140.403999,10:45,5.71264,-1.60708,5.48858,-19.64513,16.96056,-12.90509,2.99478,0.52572,79.84839,-4.874836,1.131626,0.435457,,,,,,,,,,,,7.5952,9.29961,1.3156,50,5.5986,-7.1106,-128.52997,-3.21604,12.50298,30.59897,-16.86531,COL_CHA,SET_PIR,BallparkAtPatriotPoint,D1,CAA,20250223-BallparkAtPatriotPoint-1,2eaaaab0-f210-11ef-8b2b-69eea062087e,86.55825,,,8.99392,,,,,,,dca32db4-956e-45c4-8947-ed4b9892fad2,2025-02-23,18:01:19.29,2025-02-23T13:01:19.2904704-05:00,2025-02-23T18:01:19.2904704Z,,v3,471501,471438,,"Garner, Hogan",703446,Right,COL_CHA,3226623e-f738-46b8-8955-ea1e09fdabf0,55.00963,-129.71712,15.29949,5.71068,-2.56171,-8.43266,1.60088,-7.59568,6.25149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-23,13:01:30.44,1,2,"Thomas, Hayden",1000097180,Left,COL_CHA,"Soldra, AJ",831004,Left,SET_PIR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.2612,0.268839,2.641381,2320.17002,151.228984,11:00,5.65857,-1.75855,5.54768,-18.92029,17.53418,-8.8406,4.33339,-0.02507,79.42736,-3.353894,1.06758,0.434557,,,,,,,,,,,,5.33193,9.12174,1.53546,50,5.66984,-5.54505,-129.09237,0.03222,8.7757,33.04869,-17.16074,COL_CHA,SET_PIR,BallparkAtPatriotPoint,D1,CAA,20250223-BallparkAtPatriotPoint-1,35499cf0-f210-11ef-8b2b-69eea062087e,86.7376,,,9.83384,,,,,,,dca32db4-956e-45c4-8947-ed4b9892fad2,2025-02-23,18:01:30.44,2025-02-23T13:01:30.4412672-05:00,2025-02-23T18:01:30.4412672Z,,v3,471501,471438,,"Garner, Hogan",703446,Right,COL_CHA,2e5bce0e-ef4e-4cb0-8931-a6715f587ed1,54.94679,-130.35264,16.52435,5.65613,0.68663,-8.58037,1.75329,-5.8797,4.38785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-23,13:01:43.34,1,3,"Thomas, Hayden",1000097180,Left,COL_CHA,"Soldra, AJ",831004,Left,SET_PIR,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,89.52237,-1.266357,2.093866,2340.07075,151.566041,11:00,5.66869,-1.71273,5.62165,-17.63851,18.52721,-9.24859,3.01602,-0.5285,79.7081,-4.658429,0.443572,0.432833,67.28958,4.938396,-16.300838,2809.667802,,,,70.51448,68.35554,-18.95463,0.761503,5.40918,10.22095,1.54008,50,5.54977,-4.31741,-129.52428,-3.3835,8.94479,33.75481,-15.27233,COL_CHA,SET_PIR,BallparkAtPatriotPoint,D1,CAA,20250223-BallparkAtPatriotPoint-1,3cfe1de0-f210-11ef-8b2b-69eea062087e,87.08317,4.02369,,9.81427,,,,0.95065,2.94633,0.53864,dca32db4-956e-45c4-8947-ed4b9892fad2,2025-02-23,18:01:43.34,2025-02-23T13:01:43.3427968-05:00,2025-02-23T18:01:43.3427968Z,GroundBall,v3,471501,471438,,"Garner, Hogan",703446,Right,COL_CHA,a292277c-7558-485f-9b77-dffde18816b4,54.87458,-130.78845,16.8774,5.66578,-2.81153,-7.63616,1.70805,-4.65241,4.4724,90.598672,0.9711,94.00886,-10.15217,,,,,,,2.96513,8.16502,-15.86646,,,,,,,0.55975,-27.97434,-3.76136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-02-23,13:02:18.47,2,1,"Thomas, Hayden",1000097180,Left,COL_CHA,"Ali, Marco",830991,Right,SET_PIR,Undefined,1,Top,0,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.73938,-0.187305,3.260937,1853.221398,104.658588,9:30,5.50695,-1.70323,5.56481,-38.0827,6.35422,-17.71532,2.15812,-0.12974,72.41806,-7.244224,0.103209,0.479781,,,,,,,,,,,,10.09843,3.74981,1.43365,50,5.46603,-5.94175,-116.8253,-1.63253,13.63043,26.79732,-27.11274,COL_CHA,SET_PIR,BallparkAtPatriotPoint,D1,CAA,20250223-BallparkAtPatriotPoint-1,51f03530-f210-11ef-8b2b-69eea062087e,78.56172,,,8.32132,,,,,,,dca32db4-956e-45c4-8947-ed4b9892fad2,2025-02-23,18:02:18.47,2025-02-23T13:02:18.4704512-05:00,2025-02-23T18:02:18.4704512Z,,v3,471501,471438,,"Garner, Hogan",703446,Right,COL_CHA,9b5a7c99-abde-4e91-937a-5e386f1729df,54.93459,-117.95176,13.39866,5.5107,-0.49281,-13.55637,1.69546,-6.51472,6.81522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-23,13:02:45.82,2,2,"Thomas, Hayden",1000097180,Left,COL_CHA,"Ali, Marco",830991,Right,SET_PIR,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,2,0,,76.26757,1.027289,0.802857,2288.97209,278.720639,3:15,5.49611,-1.67613,5.17622,-51.30971,-0.68953,17.26375,2.18719,0.51806,68.48704,-8.349097,3.862468,0.512075,91.54931,3.377872,-31.120122,3072.356962,,,,79.8979,75.5069,-33.997968,0.638104,-8.33272,-0.18461,1.58751,50,5.55294,-2.23354,-110.39765,0.24649,-9.99826,24.734,-32.39556,COL_CHA,SET_PIR,BallparkAtPatriotPoint,D1,CAA,20250223-BallparkAtPatriotPoint-1,62439710-f210-11ef-8b2b-69eea062087e,73.60729,3.18829,,7.78054,,,,1.15669,2.36907,-0.53397,dca32db4-956e-45c4-8947-ed4b9892fad2,2025-02-23,18:02:45.82,2025-02-23T13:02:45.8220032-05:00,2025-02-23T18:02:45.8220032Z,GroundBall,v3,471501,471438,,"Garner, Hogan",703446,Right,COL_CHA,add4543c-376e-4441-ba02-f76eaa463a88,55.32356,-111.58399,12.367,5.50386,1.80031,-16.19778,1.68314,-1.75399,-4.99913,,1.19417,113.9555,-18.92205,,,,,,,2.39072,7.45356,-17.60218,,,,,,,-0.52055,-69.56381,0.5437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-23,13:03:13.73,3,1,"Thomas, Hayden",1000097180,Left,COL_CHA,"Robbins, Aiden",828657,Right,SET_PIR,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.69064,0.700336,1.306057,1860.39076,112.938557,9:45,5.3506,-2.04807,5.62432,-34.09518,10.37725,-20.37647,3.16309,-2.52709,71.99642,-5.680768,-2.333299,0.479973,,,,,,,,,,,,10.69016,5.51425,1.94973,50,5.38905,-1.82279,-116.83134,0.34823,14.37502,27.56988,-24.75904,COL_CHA,SET_PIR,BallparkAtPatriotPoint,D1,CAA,20250223-BallparkAtPatriotPoint-1,72f1c320-f210-11ef-8b2b-69eea062087e,78.53035,,,8.69422,,,,,,,dca32db4-956e-45c4-8947-ed4b9892fad2,2025-02-23,18:03:13.73,2025-02-23T13:03:13.7360896-05:00,2025-02-23T18:03:13.7360896Z,,v3,471501,471438,,"Garner, Hogan",703446,Right,COL_CHA,edb59efb-a662-4fcc-867e-4c6d0a0f7e3e,54.87238,-117.97553,13.78494,5.35328,1.37575,-12.37952,2.03776,-2.41936,7.18751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-23,13:03:27.83,3,2,"Thomas, Hayden",1000097180,Left,COL_CHA,"Robbins, Aiden",828657,Right,SET_PIR,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,88.65712,-1.217569,3.895805,2196.111994,142.016794,10:45,5.68783,-1.54307,5.83064,-23.13041,13.4465,-9.38351,2.62567,1.30207,79.25123,-5.59291,2.218924,0.435286,65.82984,-10.328216,-46.055163,,,,,15.08028,14.81949,-47.565469,0.143027,6.12957,7.68567,1.23002,50,5.57485,-8.32143,-128.17037,-3.46116,9.95619,32.30866,-19.69028,COL_CHA,SET_PIR,BallparkAtPatriotPoint,D1,CAA,20250223-BallparkAtPatriotPoint-1,7b462d90-f210-11ef-8b2b-69eea062087e,86.59233,2.5852,,9.40589,,,,0.82889,2.5852,-1.28726,dca32db4-956e-45c4-8947-ed4b9892fad2,2025-02-23,18:03:27.83,2025-02-23T13:03:27.8302208-05:00,2025-02-23T18:03:27.8302208Z,GroundBall,v3,471501,471438,,"Garner, Hogan",703446,Right,COL_CHA,eaca1e4c-1196-4d49-80bd-e40d813851b1,54.66663,-129.34137,16.15433,5.68736,-2.74751,-9.84514,1.53816,-8.68228,4.9781,143.564048,0.82891,65.91448,-3.96532,,,,,,,2.58522,-17.31156,-5.34897,,,,,,,-1.28728,-68.38911,-2.9913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-02-23,13:04:21.04,4,1,"Thomas, Hayden",1000097180,Left,COL_CHA,"Brennan, Jimmy",822511,Right,SET_PIR,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.88998,-2.034071,3.925514,2337.654587,130.418039,10:15,5.73991,-1.27543,5.75178,-23.11438,13.3256,-13.99064,1.9148,1.21894,79.67407,-6.389966,1.427443,0.434471,,,,,,,,,,,,8.55906,7.88378,0.95803,50,5.55679,-8.22804,-128.51727,-5.32146,13.99476,32.18741,-19.28338,COL_CHA,SET_PIR,BallparkAtPatriotPoint,D1,CAA,20250223-BallparkAtPatriotPoint-1,9aff5d00-f210-11ef-8b2b-69eea062087e,86.75483,,,9.21591,,,,,,,dca32db4-956e-45c4-8947-ed4b9892fad2,2025-02-23,18:04:21.04,2025-02-23T13:04:21.0401792-05:00,2025-02-23T18:04:21.0401792Z,,v3,471501,471438,,"Garner, Hogan",703446,Right,COL_CHA,63036234-c600-46cc-845c-971da4807df1,54.74876,-129.70116,16.0937,5.73947,-4.6122,-9.64169,1.27013,-8.74278,6.99738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-23,13:04:34.45,4,2,"Thomas, Hayden",1000097180,Left,COL_CHA,"Brennan, Jimmy",822511,Right,SET_PIR,Undefined,1,Top,2,0,1,Fastball,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,2,,88.92441,-1.181527,3.119518,2255.523559,135.239801,10:30,5.6634,-1.43039,5.74451,-25.25391,10.84977,-9.46233,2.457,0.68852,80.2305,-5.907053,1.428441,0.432461,102.03292,22.732591,-33.302941,2347.302292,89.20654,40.3856,-64.35958,370.85079,268.23032,-43.237065,3.938924,5.86398,6.2737,1.17679,50,5.54972,-6.6177,-128.79832,-3.50541,9.69846,30.59936,-21.79791,COL_CHA,SET_PIR,BallparkAtPatriotPoint,D1,CAA,20250223-BallparkAtPatriotPoint-1,a2f812e0-f210-11ef-8b2b-69eea062087e,87.15794,54.23591,,8.69392,,,,2.69427,2.61771,-0.68551,dca32db4-956e-45c4-8947-ed4b9892fad2,2025-02-23,18:04:34.45,2025-02-23T13:04:34.4530944-05:00,2025-02-23T18:04:34.4530944Z,LineDrive,v3,471501,471438,,"Garner, Hogan",703446,Right,COL_CHA,fe250ba6-db30-4ab0-abd2-361f81945157,54.75594,-129.9233,15.29968,5.66387,-2.70402,-10.89895,1.42664,-6.97426,4.84923,,2.69484,115.33971,-23.61978,5.46984,-1.12791,0.2049,-0.03068,0.003,-0.00012,2.61701,57.84892,-18.10688,1.47382,-0.36126,0.0975,-0.02169,0.00345,-0.00026,-0.68519,-75.79244,4.60948,-0.69595,0.10115,-0.00449,-0.00424,0.00125,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-02-23,13:05:13.99,5,1,"Thomas, Hayden",1000097180,Left,COL_CHA,"Frontera, Ryan",1000274078,Right,SET_PIR,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.94797,-0.556701,2.728431,1891.362315,103.986653,9:30,5.40353,-1.99041,5.48813,-36.51518,6.67237,-20.13025,1.83916,-1.11336,73.59942,-7.313177,-0.858233,0.472989,,,,,,,,,,,,11.04221,4.03646,1.76512,50,5.33038,-4.81145,-118.61595,-2.38665,15.38381,27.36931,-26.55053,COL_CHA,SET_PIR,BallparkAtPatriotPoint,D1,CAA,20250223-BallparkAtPatriotPoint-1,ba99b9d0-f210-11ef-8b2b-69eea062087e,79.68994,,,8.34855,,,,,,,dca32db4-956e-45c4-8947-ed4b9892fad2,2025-02-23,18:05:13.99,2025-02-23T13:05:13.9989504-05:00,2025-02-23T18:05:13.9989504Z,,v3,471501,471438,,"Garner, Hogan",703446,Right,COL_CHA,7c3a23c2-cb11-46ca-bf2a-a0fb263509db,55.01076,-119.76654,13.68466,5.40725,-1.27048,-13.27527,1.98098,-5.45818,7.6919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
