PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,11:59:22.12,1,1,"Gleason, Joseph",10276451,Right,SHE_UNI,"Bakken, Charlie",10094216,Right,JUN_COL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.1927,-0.945256,-2.467682,2218.914133,225.426429,1:30,5.42151,1.92428,5.93589,-19.73308,16.67867,15.58068,2.89924,0.93188,79.39951,-4.711711,0.328818,0.434302,,,,,,,,,,,,-8.69878,9.2117,-1.73561,50,5.33494,4.83503,-127.81387,-2.6841,-14.17347,30.03847,-17.16482,SHE_UNI,JUN_COL,BridgeforthField,D3,Team,20250223-BridgeforthField-1,87c014e0-f207-11ef-8636-d34abe05789d,86.78847,,,8.79319,,,,,,,6fbbcde8-31a4-4b0b-b752-32629a6b739c,2025-02-23,16:59:22.12,2025-02-23T11:59:22.1254144-05:00,2025-02-23T16:59:22.1254144Z,,v3,,,,"Pickette, Brody",1000048494,Right,SHE_UNI,e425649f-311a-4569-94b6-ff0d7168f707,54.56099,-128.88132,15.01924,5.41949,-2.07412,-8.58241,-1.91638,5.3387,-7.08674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-23,11:59:39.84,1,2,"Gleason, Joseph",10276451,Right,SHE_UNI,"Bakken, Charlie",10094216,Right,JUN_COL,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.07139,-0.186119,-1.519887,2223.526649,236.935575,2:00,5.28349,1.97979,5.92925,-24.53553,11.22178,15.59954,3.06611,1.86918,80.9181,-4.767804,1.282027,0.430382,,,,,,,,,,,,-8.35894,6.13618,-1.86688,50,5.25468,2.74291,-128.01035,-1.21339,-13.94422,25.1032,-21.93776,SHE_UNI,JUN_COL,BridgeforthField,D3,Team,20250223-BridgeforthField-1,923fc3c0-f207-11ef-8636-d34abe05789d,87.57907,,,7.15328,,,,,,,6fbbcde8-31a4-4b0b-b752-32629a6b739c,2025-02-23,16:59:39.84,2025-02-23T11:59:39.8413824-05:00,2025-02-23T16:59:39.8413824Z,,v3,,,,"Pickette, Brody",1000048494,Right,SHE_UNI,0cf30fb9-03c0-440a-99f6-39443932a917,54.57136,-128.90369,12.5516,5.28397,-0.43269,-10.96888,-1.97332,3.23914,-6.97211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-23,11:59:56.62,1,3,"Gleason, Joseph",10276451,Right,SHE_UNI,"Bakken, Charlie",10094216,Right,JUN_COL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.80178,-2.291523,-2.448634,1639.66455,238.012772,2:00,5.49971,1.63992,5.96566,-34.09333,9.33339,12.92355,0.53077,0.44507,74.08707,-8.569566,-0.123915,0.474296,,,,,,,,,,,,-7.34032,5.74103,-1.4532,50,5.29845,4.49574,-115.91607,-5.67169,-10.07628,19.85635,-24.29315,SHE_UNI,JUN_COL,BridgeforthField,D3,Team,20250223-BridgeforthField-1,9c619b30-f207-11ef-8636-d34abe05789d,79.47022,,,5.71471,,,,,,,6fbbcde8-31a4-4b0b-b752-32629a6b739c,2025-02-23,16:59:56.62,2025-02-23T11:59:56.6233088-05:00,2025-02-23T16:59:56.6233088Z,,v3,,,,"Pickette, Brody",1000048494,Right,SHE_UNI,d28853b8-831b-401a-8a9a-b7c92c75e55e,54.53749,-116.69076,9.92818,5.50123,-4.72392,-12.14657,-1.63627,4.88886,-5.03814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-23,12:00:15.40,1,4,"Gleason, Joseph",10276451,Right,SHE_UNI,"Bakken, Charlie",10094216,Right,JUN_COL,Undefined,1,Top,0,2,1,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.14868,-0.242332,-2.042583,2123.75096,230.717884,1:45,5.3329,1.92003,5.99657,-21.80954,15.9315,17.91989,3.29073,1.51972,78.16951,-4.379199,1.178462,0.442159,,,,,,,,,,,,-9.70402,8.61426,-1.76828,50,5.30177,3.70802,-125.02206,-1.1641,-15.25393,26.81661,-18.63311,SHE_UNI,JUN_COL,BridgeforthField,D3,Team,20250223-BridgeforthField-1,a77d3bf0-f207-11ef-8636-d34abe05789d,85.24635,,,7.97918,,,,,,,6fbbcde8-31a4-4b0b-b752-32629a6b739c,2025-02-23,17:00:15.40,2025-02-23T12:00:15.4023424-05:00,2025-02-23T17:00:15.4023424Z,,v3,,,,"Pickette, Brody",1000048494,Right,SHE_UNI,4a645366-a79a-46e3-b6a0-0a925f3435b1,54.50137,-125.98389,13.40831,5.33154,-0.4958,-9.31656,-1.91109,4.25512,-7.62697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-23,12:00:30.34,1,5,"Gleason, Joseph",10276451,Right,SHE_UNI,"Bakken, Charlie",10094216,Right,JUN_COL,Undefined,1,Top,0,3,1,FourSeamFastBall,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,87.62529,0.802372,-0.91899,2207.673902,227.758823,1:30,5.3296,2.01088,5.85088,-21.1319,15.32292,15.61005,4.31434,2.4577,79.88509,-3.187757,1.879753,0.434559,,,,,,,,,,,,-8.16989,7.93863,-1.945,50,5.38247,1.37391,-127.26238,1.13414,-13.38428,26.37491,-19.16864,SHE_UNI,JUN_COL,BridgeforthField,D3,Team,20250223-BridgeforthField-1,b056b4e0-f207-11ef-8636-d34abe05789d,86.73721,,,7.7402,,,,,,,6fbbcde8-31a4-4b0b-b752-32629a6b739c,2025-02-23,17:00:30.34,2025-02-23T12:00:30.3411712-05:00,2025-02-23T17:00:30.3411712Z,,v3,,,,"Pickette, Brody",1000048494,Right,SHE_UNI,35cf4bf1-3a39-4700-847e-e0cbfbe62e1f,54.64802,-128.22205,13.18746,5.32851,1.83161,-9.58432,-2.00385,1.86092,-6.69214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-23,12:01:02.49,2,1,"Gleason, Joseph",10276451,Right,SHE_UNI,"Blough, Connor",10150778,Right,JUN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.76887,-0.108338,-2.383893,2028.395458,234.493242,1:45,5.31241,2.00396,6.00688,-24.71411,13.16505,16.74517,3.15244,1.18943,78.24071,-4.755455,0.626038,0.442967,,,,,,,,,,,,-9.23945,7.16355,-1.82543,50,5.29035,4.50336,-124.52885,-0.99011,-14.48296,25.41941,-20.94512,SHE_UNI,JUN_COL,BridgeforthField,D3,Team,20250223-BridgeforthField-1,c3812b90-f207-11ef-8636-d34abe05789d,85.09085,,,7.52817,,,,,,,6fbbcde8-31a4-4b0b-b752-32629a6b739c,2025-02-23,17:01:02.49,2025-02-23T12:01:02.4918528-05:00,2025-02-23T17:01:02.4918528Z,,v3,,,,"Pickette, Brody",1000048494,Right,SHE_UNI,e3480d46-651a-4ac5-912f-4958b777431a,54.4929,-125.44261,12.70971,5.31241,-0.23719,-10.47256,-1.99668,5.02398,-7.24148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-23,12:01:22.46,2,2,"Gleason, Joseph",10276451,Right,SHE_UNI,"Blough, Connor",10150778,Right,JUN_COL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.71945,0.303675,-3.844858,1661.210119,230.97947,1:45,5.36309,1.85019,6.0197,-33.83612,9.57922,10.29796,2.82534,-0.85842,73.70276,-5.968349,-1.997703,0.474234,,,,,,,,,,,,-6.23666,5.24835,-1.55405,50,5.36838,7.39732,-115.72066,-0.39908,-8.55302,19.29593,-24.97639,SHE_UNI,JUN_COL,BridgeforthField,D3,Team,20250223-BridgeforthField-1,cf970ad0-f207-11ef-8636-d34abe05789d,79.48065,,,6.0167,,,,,,,6fbbcde8-31a4-4b0b-b752-32629a6b739c,2025-02-23,17:01:22.46,2025-02-23T12:01:22.4635392-05:00,2025-02-23T17:01:22.4635392Z,,v3,,,,"Pickette, Brody",1000048494,Right,SHE_UNI,cc2d5192-8533-4ce3-8ec8-cca55274ed17,54.4814,-116.46552,9.64796,5.36518,0.56505,-12.48819,-1.84597,7.72748,-4.27651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-23,12:02:08.04,2,3,"Gleason, Joseph",10276451,Right,SHE_UNI,"Blough, Connor",10150778,Right,JUN_COL,Undefined,1,Top,0,0,2,FourSeamFastBall,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,1,0,,87.64752,-1.464075,-3.977214,2166.577211,233.02271,1:45,5.29882,1.80715,5.88259,-20.46194,16.35816,20.0084,2.23043,-0.22496,79.34881,-5.344537,-0.396139,0.436731,,,,,,,,,,,,-11.40288,9.17977,-1.49701,50,5.1686,7.97824,-126.92254,-3.86332,-18.43734,28.10923,-17.33128,SHE_UNI,JUN_COL,BridgeforthField,D3,Team,20250223-BridgeforthField-1,eab0c180-f207-11ef-8636-d34abe05789d,86.30589,,,8.29871,,,,,,,6fbbcde8-31a4-4b0b-b752-32629a6b739c,2025-02-23,17:02:08.04,2025-02-23T12:02:08.0464896-05:00,2025-02-23T17:02:08.0464896Z,,v3,,,,"Pickette, Brody",1000048494,Right,SHE_UNI,bbac14eb-73af-47c2-a86b-98ce6af33a9c,54.617,-127.94097,14.05462,5.2972,-3.23539,-8.66564,-1.79817,8.64624,-9.21867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-23,12:03:27.89,3,1,"Gleason, Joseph",10276451,Right,SHE_UNI,"Johnston, Zach",1000403704,Right,JUN_COL,Undefined,1,Top,2,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,88.53671,-1.196291,-2.693903,2227.889711,230.552967,1:45,5.42807,1.88292,5.90349,-19.41359,16.70324,18.72048,2.69836,0.94034,79.86316,-4.896426,0.663857,0.43254,62.24722,-0.55096,-44.815801,2986.778221,,,,30.67666,29.5618,-44.465824,0.334631,-10.46402,9.31126,-1.67715,50,5.3209,5.25121,-128.34567,-3.25801,-17.21147,30.01122,-16.85865,SHE_UNI,JUN_COL,BridgeforthField,D3,Team,20250223-BridgeforthField-1,1a4bcc50-f208-11ef-8636-d34abe05789d,87.14208,2.63488,,8.67355,,,,1.41282,2.63488,-0.7992,6fbbcde8-31a4-4b0b-b752-32629a6b739c,2025-02-23,17:03:27.89,2025-02-23T12:03:27.8915072-05:00,2025-02-23T17:03:27.8915072Z,GroundBall,v3,,,,"Pickette, Brody",1000048494,Right,SHE_UNI,23c5b23c-5c88-4ad8-a4ce-ef28b4e953ef,54.59626,-129.41596,15.00561,5.42637,-2.65678,-8.42932,-1.87537,5.86502,-8.60574,29.069072,1.41511,64.66852,-10.39858,,,,,,,2.63965,-1.06812,-20.42482,,,,,,,-0.80011,-64.30856,7.43104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-02-23,12:06:13.89,1,1,"Chermol, Aidan",1000097321,Right,JUN_COL,"Padilla, Jaime",1000200106,Right,SHE_UNI,Undefined,1,Bottom,0,0,0,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.28848,-1.436724,-2.125525,2138.348077,212.22145,1:00,5.54402,1.15791,6.54138,-22.84131,15.28355,8.91784,2.32167,-0.04931,77.66963,-5.761762,-0.50589,0.444402,71.12211,10.602635,167.225468,2891.037342,,,,103.06791,51.21899,170.994081,1.106318,-5.23835,8.75461,-1.01422,50,5.43441,4.22734,-122.54949,-3.68108,-8.01696,22.77659,-18.77571,SHE_UNI,JUN_COL,BridgeforthField,D3,Team,20250223-BridgeforthField-1,7d31a380-f208-11ef-8636-d34abe05789d,84.81618,6.71424,,6.61884,,,,0.06726,2.09491,0.05638,6fbbcde8-31a4-4b0b-b752-32629a6b739c,2025-02-23,17:06:13.89,2025-02-23T12:06:13.8985472-05:00,2025-02-23T17:06:13.8985472Z,GroundBall,v3,,,,"Woodrow, Joey",1000403693,Right,JUN_COL,cf21a84b-1450-4d34-ad2f-f3d32c8a9061,53.9595,-123.2832,11.3883,5.54325,-3.07626,-9.38785,-1.15455,4.48559,-4.00848,294.694393,0.06726,-99.99345,7.72302,-0.63009,0.1108,-0.00354,0.00053,-0.0002,1E-05,2.09491,19.1931,-20.75949,1.85492,-0.35883,0.07488,-0.01206,0.00209,-0.00025,0.05638,22.67122,-8.68443,1.50412,-0.32883,0.05836,-0.01052,0.00202,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
