PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,14:00:06.98,1,1,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Lowe, Logan",10090813,Right,NCA_BUL,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.31062,-1.811734,-1.885915,2136.876623,138.926666,10:45,6.54384,1.08313,6.15609,-35.09978,4.07295,-2.67882,1.94356,-0.88311,78.04915,-8.255787,-2.369562,0.450467,,,,,,,,,,,,0.96917,2.82953,-0.93846,50,6.38783,4.08888,-121.21306,-4.93834,1.46825,19.63777,-27.88745,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,65f50cb0-f218-11ef-936b-cbc2d2a9622c,83.67405,,,5.26148,,,,,,,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:00:06.98,2025-02-23T14:00:06.9890560-05:00,2025-02-23T19:00:06.9890560Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,b1bb6a13-be55-402e-b960-10b7ffb52e6e,54.34644,-121.9152,9.81889,6.54657,-3.94125,-13.94373,-1.08372,4.03638,0.73413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-23,14:00:19.70,1,2,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Lowe, Logan",10090813,Right,NCA_BUL,Undefined,1,Top,0,0,1,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.49855,-1.62791,-1.32709,2145.697591,93.248074,9:00,6.60707,0.98645,6.13127,-37.74089,1.31106,-5.448,1.95648,-0.69443,78.19803,-8.543948,-2.311005,0.449772,69.55768,-34.504523,-26.970758,,,,,4.89175,4.89175,-8.120892,0.038309,2.54343,1.32398,-0.88216,50,6.46263,3.01261,-121.53487,-4.65444,3.86681,20.14402,-30.1612,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,6d8c68b0-f218-11ef-936b-cbc2d2a9622c,83.80337,2.22116,,5.30052,,,,1.96286,2.22116,0.77448,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:00:19.70,2025-02-23T14:00:19.7037568-05:00,2025-02-23T19:00:19.7037568Z,GroundBall,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,868b40b0-1644-4254-a77a-f753c6062af0,54.37221,-122.2574,10.07201,6.61018,-3.57261,-15.0806,-0.98773,2.87391,1.93341,,1.96135,75.17325,,,,,,,,2.22234,-57.97989,,,,,,,,0.77525,-38.25437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2025-02-23,14:00:52.91,2,1,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Lanowitz, Corbin",801907,Left,NCA_BUL,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.75272,0.216241,-0.184157,2171.730491,94.066952,9:15,6.54581,1.12618,5.88705,-37.73541,1.49854,-6.38414,3.602,0.42316,77.89386,-6.711189,-1.331169,0.450819,,,,,,,,,,,,3.22288,1.0665,-1.10769,50,6.54141,0.64249,-121.8889,-0.80912,4.91841,20.72323,-30.5465,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,81589da0-f218-11ef-936b-cbc2d2a9622c,83.60875,,,5.85885,,,,,,,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:00:52.91,2025-02-23T14:00:52.9170944-05:00,2025-02-23T19:00:52.9170944Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,45b3e4f1-ed49-42c8-abb2-5a0fcd3d0681,54.61457,-122.67095,10.36162,6.5502,0.34363,-15.27325,-1.12843,0.45688,2.45921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-23,14:01:06.41,2,2,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Lanowitz, Corbin",801907,Left,NCA_BUL,Undefined,1,Top,1,1,0,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.63596,-2.276042,-1.808936,1918.562349,230.405047,1:45,6.4963,0.9109,6.29934,-22.37371,10.45654,11.36796,2.53256,0.19094,83.84598,-6.479463,0.248083,0.41239,,,,,,,,,,,,-6.46933,6.40555,-0.78343,50,6.31813,3.74672,-133.08188,-5.99289,-11.57335,29.22155,-20.71485,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,89591bb0-f218-11ef-936b-cbc2d2a9622c,91.39992,,,7.78997,,,,,,,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:01:06.41,2025-02-23T14:01:06.4130000-05:00,2025-02-23T19:01:06.4130000Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,8e70271a-38bd-4128-9b80-6f6b23a7e11c,54.20147,-134.00125,14.61077,6.49642,-5.34116,-10.35742,-0.90704,4.11084,-5.78668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-23,14:01:24.35,2,3,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Lanowitz, Corbin",801907,Left,NCA_BUL,Undefined,1,Top,1,1,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.97673,-0.697649,-1.829972,2331.821767,73.228204,8:30,6.57935,1.14441,6.04074,-39.68506,-0.71484,-5.91441,2.62594,-1.04341,78.09429,-7.976234,-2.895356,0.449302,49.29729,63.944509,-127.452669,5388.237451,,,,,23.03033,,,2.61858,0.09032,-0.99842,50,6.50315,4.12423,-122.15882,-2.78754,3.99624,21.82334,-32.03624,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,941621b0-f218-11ef-936b-cbc2d2a9622c,83.89117,39.42205,,5.88245,,,,1.81264,2.70557,1.01134,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:01:24.35,2025-02-23T14:01:24.3515392-05:00,2025-02-23T19:01:24.3515392Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,09a9fbf4-d29d-4ee3-8078-e7e95e436685,54.46219,-122.95339,10.91167,6.58341,-1.62113,-16.01812,-1.14593,3.97873,1.99812,17.919086,1.81264,-19.3124,-4.35679,1.92726,-0.52008,0.11301,-0.02385,0.0046,-0.0004,2.70557,64.9544,-24.46778,2.60047,-0.48478,0.06539,-0.01022,0.00135,-0.00012,1.01134,-25.2115,1.7601,0.20371,-0.14561,0.04622,-0.01036,0.00244,-0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2025-02-23,14:01:44.13,2,4,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Lanowitz, Corbin",801907,Left,NCA_BUL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.17872,-1.399743,-3.248942,1712.982809,247.737219,2:15,6.31234,1.37231,6.43398,-30.94671,6.35205,13.00572,2.44471,-0.53298,79.13191,-7.152109,-0.892378,0.43956,77.02183,-21.940184,62.405025,,,,,9.64577,4.30072,42.693279,0.064966,-7.67319,3.95138,-1.14704,50,6.19836,6.56989,-123.84171,-3.95436,-12.06834,21.78006,-25.95934,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,9fd7ed80-f218-11ef-936b-cbc2d2a9622c,85.75031,2.75093,,6.04681,,,,3.92613,2.75093,0.4881,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:01:44.13,2025-02-23T14:01:44.1316352-05:00,2025-02-23T19:01:44.1316352Z,GroundBall,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,1b9266ff-46bc-45a2-b9f8-9a123d497bd9,54.06938,-124.55533,10.89003,6.31399,-3.1038,-12.97967,-1.36878,6.96531,-6.03417,,3.92449,48.69408,,,,,,,,2.75235,-42.34413,,,,,,,,0.48498,93.16308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2025-02-23,14:02:04.42,2,5,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Lanowitz, Corbin",801907,Left,NCA_BUL,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,94.34029,-2.373683,-1.082414,2045.555595,207.299482,1:00,6.56861,0.88005,5.98928,-18.00343,13.80339,6.51937,2.86675,0.42003,84.9591,-5.796115,0.090285,0.405912,89.25776,-19.583998,21.192356,,,,,9.77234,9.54778,15.145026,0.066315,-3.72244,8.21934,-0.79833,50,6.37153,2.29635,-136.74757,-6.23965,-6.92328,35.15822,-16.88712,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,abee41f0-f218-11ef-936b-cbc2d2a9622c,92.8587,2.91715,,9.38118,,,,1.78788,2.91715,-0.41099,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:02:04.42,2025-02-23T14:02:04.4224000-05:00,2025-02-23T19:02:04.4224000Z,GroundBall,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,c2027dd9-899d-4dc3-a74f-3e03aaec8d1b,54.50885,-137.90193,17.57911,6.56729,-5.68519,-8.44356,-0.87746,2.52366,-3.46164,180,1.78482,115.2836,,,,,,,,2.91832,-43.98927,,,,,,,,-0.41218,44.69787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-02-23,14:02:34.01,3,1,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Stockton, Rylen",10136573,Right,NCA_BUL,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.94672,0.05242,-1.374228,2255.75167,144.674331,10:45,6.6491,0.9173,6.04362,-34.8284,5.75303,-3.13012,3.79528,-0.61612,75.63468,-6.424973,-1.937746,0.458496,,,,,,,,,,,,1.1928,3.3804,-0.80862,50,6.63473,3.01259,-120.43285,-0.99344,1.74094,24.74948,-27.24022,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,bd9d6340-f218-11ef-936b-cbc2d2a9622c,82.20895,,,7.31204,,,,,,,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:02:34.01,2025-02-23T14:02:34.0126720-05:00,2025-02-23T19:02:34.0126720Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,59f30e86-7220-4ce5-9c30-59871e1cb48d,54.45388,-121.34468,12.37474,6.65284,0.01016,-13.62011,-0.91843,2.94844,0.87047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-23,14:02:47.37,3,2,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Stockton, Rylen",10136573,Right,NCA_BUL,Undefined,1,Top,2,1,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.15211,-3.345784,-1.968574,2047.491121,219.067746,1:15,6.60267,0.83321,6.22136,-18.13017,14.81339,11.07264,1.99916,-0.06128,83.49124,-6.793614,0.031277,0.413102,68.87053,41.565701,64.280809,5573.044063,29.74286,57.68275,105.90235,194.09291,103.58715,81.717692,3.777649,-6.36008,9.07355,-0.69124,50,6.34291,4.12528,-133.5317,-8.34349,-11.3437,32.01986,-15.99072,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,c5949280-f218-11ef-936b-cbc2d2a9622c,91.24256,57.69185,,8.66087,,,,0.84868,1.85631,0.12973,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:02:47.37,2025-02-23T14:02:47.3730000-05:00,2025-02-23T19:02:47.3730000Z,Popup,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,3995504c-5b19-452a-95ea-66477dc41a75,54.27715,-134.55342,16.00993,6.601,-7.83325,-7.99536,-0.82865,4.48724,-5.67185,,0.84835,32.81521,-14.0794,4.39174,-1.7084,0.77905,-0.29194,0.06094,-0.00493,1.85282,67.12255,-24.10839,3.9468,-1.94659,0.94516,-0.28719,0.04527,-0.00282,0.12689,68.16676,-4.79142,0.48325,-0.58431,0.39099,-0.12505,0.01727,-0.00075,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2025-02-23,14:03:04.39,3,3,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Stockton, Rylen",10136573,Right,NCA_BUL,Undefined,1,Top,2,1,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.24298,-3.215012,-2.00497,2264.895055,192.494756,12:30,6.59561,0.65465,6.29741,-11.79859,20.1384,4.21961,2.64509,-0.84189,84.68716,-5.521706,-1.242543,0.406741,78.12242,20.019789,165.398188,2972.573839,,,,,48.26153,,,-2.8004,11.77091,-0.50924,50,6.35316,4.55711,-135.19698,-7.87529,-5.14364,31.5717,-10.55372,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,cfba6190-f218-11ef-936b-cbc2d2a9622c,92.66933,16.11381,,8.55582,,,,1.01015,2.59231,0.84015,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:03:04.39,2025-02-23T14:03:04.3966464-05:00,2025-02-23T19:03:04.3966464Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,f2dfbd4d-0e8a-4403-8b78-0c3d22a8c912,54.20159,-136.17462,15.78585,6.59196,-7.54848,-5.27686,-0.65281,4.71639,-2.57182,298.973546,1.00749,-104.10516,8.42705,,,,,,,2.60407,38.89586,-22.30528,,,,,,,0.85096,26.83634,-9.15919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
11,2025-02-23,14:03:25.73,3,4,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Stockton, Rylen",10136573,Right,NCA_BUL,Undefined,1,Top,2,1,2,Sweeper,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,81.18923,-0.243754,-0.145345,2615.932239,60.079603,8:00,6.42216,1.1204,5.53839,-51.58204,-8.01985,-16.59127,1.89583,-0.39805,73.88081,-9.637114,-3.112884,0.475036,85.84195,20.072281,-8.271382,1062.106967,109.67519,29.04565,-8.44654,243.08955,243.08955,-0.662082,2.84413,8.3915,-3.59784,-1.09629,50,6.36653,0.95922,-117.81568,-2.30435,11.58341,26.12306,-37.14041,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,dc6e2e80-f218-11ef-936b-cbc2d2a9622c,79.34655,30.23646,,7.30842,,,,1.762,2.03426,0.36241,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:03:25.73,2025-02-23T14:03:25.7394688-05:00,2025-02-23T19:03:25.7394688Z,LineDrive,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,e4a82385-7f5f-44a9-b721-26acd47343a3,54.9635,-118.91114,13.06153,6.43051,-0.74689,-18.5702,-1.12633,0.47347,5.79171,239.610086,1.76204,117.02304,-17.8447,3.55476,-0.5719,0.02243,0.02137,-0.00668,0.00071,2.03426,43.20865,-17.64869,0.9234,-0.11286,0.05913,-0.02864,0.00757,-0.00076,0.36248,-17.01746,11.19559,-3.60562,0.9013,-0.15275,0.01238,0.00105,-0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
12,2025-02-23,14:04:20.74,4,1,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Hemphill, Ben",1000114643,Right,NCA_BUL,Undefined,1,Top,2,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.49292,-0.591123,-1.023464,2344.565296,146.722295,11:00,6.55298,1.04793,6.00331,-33.29955,5.64681,-2.90685,3.2302,-0.1427,77.50862,-6.762609,-1.5467,0.449164,,,,,,,,,,,,1.20366,3.45843,-0.96592,50,6.48836,2.30852,-122.76025,-2.34767,1.83576,24.42711,-26.89939,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,fd3ceca0-f218-11ef-936b-cbc2d2a9622c,83.91691,,,6.98429,,,,,,,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:04:20.74,2025-02-23T14:04:20.7497216-05:00,2025-02-23T19:04:20.7497216Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,13c35a40-c6f8-43f8-a986-7bc1e66d2437,54.49559,-123.65156,12.21356,6.55612,-1.36616,-13.4497,-1.04893,2.24153,0.91788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2025-02-23,14:04:39.70,4,2,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Hemphill, Ben",1000114643,Right,NCA_BUL,Undefined,1,Top,2,0,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.16013,-0.57398,-1.605744,2361.047129,114.751756,9:45,6.53538,1.10542,5.96683,-36.97604,3.00748,-4.02591,2.92163,-0.7193,76.94876,-7.379566,-2.329802,0.455106,,,,,,,,,,,,1.6526,2.0663,-0.97592,50,6.46928,3.5448,-120.89586,-2.41931,2.46302,22.01992,-29.09444,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,0891c5d0-f219-11ef-936b-cbc2d2a9622c,82.82131,,,6.21137,,,,,,,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:04:39.70,2025-02-23T14:04:39.7024256-05:00,2025-02-23T19:04:39.7024256Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,c4b430b4-0730-4c79-94e3-0826cc186212,54.53374,-121.71883,11.00996,6.53938,-1.33194,-14.54722,-1.10668,3.45274,1.23151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2025-02-23,14:04:58.25,4,3,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Hemphill, Ben",1000114643,Right,NCA_BUL,Undefined,1,Top,2,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.54437,-2.257569,-2.845973,2366.086681,123.825623,10:15,6.47659,0.98599,6.03919,-33.55356,4.3224,-4.78634,1.58645,-2.0502,79.17829,-8.420687,-3.706943,0.442948,,,,,,,,,,,,1.73162,3.14465,-0.76121,50,6.28189,6.35591,-124.17453,-5.99457,2.71507,23.88548,-27.24344,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,138ff380-f219-11ef-936b-cbc2d2a9622c,85.09442,,,6.36608,,,,,,,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:04:58.25,2025-02-23T14:04:58.2592000-05:00,2025-02-23T19:04:58.2592000Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,5651eb01-c6d6-4845-9299-a55957f2d528,54.46245,-125.02996,11.94274,6.4791,-5.01888,-13.62172,-0.9871,6.25867,1.35753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,2025-02-23,14:05:13.00,4,4,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Hemphill, Ben",1000114643,Right,NCA_BUL,Undefined,1,Top,2,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.1522,-0.870936,-0.755054,2272.927636,215.98988,1:15,6.68975,0.80725,6.18262,-16.11143,16.2154,10.92095,4.54276,1.02005,83.75912,-3.980598,1.215952,0.409216,,,,,,,,,,,,-5.83177,8.98292,-0.75525,50,6.6157,1.29551,-135.1416,-2.50103,-10.60374,34.0682,-15.84071,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,1c5dfac0-f219-11ef-936b-cbc2d2a9622c,92.10883,,,9.39308,,,,,,,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:05:13.00,2025-02-23T14:05:13.0032128-05:00,2025-02-23T19:05:13.0032128Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,db7c2673-4ec7-46f2-969c-7a0f48ca9e59,54.31284,-136.2245,17.0341,6.6872,-1.99752,-7.92035,-0.80179,1.63256,-5.30187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
16,2025-02-23,14:05:28.73,4,5,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Hemphill, Ben",1000114643,Right,NCA_BUL,Undefined,1,Top,2,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.89197,-0.702017,-1.949174,2280.547666,108.72814,9:30,6.55706,0.89812,6.03451,-36.3762,3.14646,-5.63918,2.87523,-1.37746,77.03944,-7.42092,-2.964159,0.452475,,,,,,,,,,,,2.34725,2.21118,-0.74292,50,6.48268,4.3669,-121.84599,-2.67564,3.5228,24.31713,-28.85544,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,25c534c0-f219-11ef-936b-cbc2d2a9622c,83.30283,,,6.85253,,,,,,,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:05:28.73,2025-02-23T14:05:28.7398400-05:00,2025-02-23T19:05:28.7398400Z,,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,d7508cfb-ff6f-4fcb-b833-2ab775dcbecf,54.46503,-122.73385,12.15857,6.56114,-1.62208,-14.42772,-0.90002,4.23828,1.7614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
17,2025-02-23,14:05:49.20,4,6,"Bagwell, Cameron",1000072257,Right,UNC_SEA,"Hemphill, Ben",1000114643,Right,NCA_BUL,Undefined,1,Top,2,3,2,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.65251,-1.834141,-1.244339,2173.012228,111.874571,9:45,6.49317,1.07788,6.00714,-36.39986,3.35248,-5.27866,1.75956,-0.51505,77.06095,-8.533956,-2.195456,0.453788,85.99235,-14.391735,-33.785095,,,,,8.99662,7.21801,-23.761143,0.060326,2.38736,2.58528,-0.97718,50,6.32895,2.83977,-121.51662,-5.06618,3.56604,24.03875,-28.31237,UNC_SEA,NCA_BUL,BrooksField,D1,CAA,20250223-BrooksField-1,31f88710-f219-11ef-936b-cbc2d2a9622c,83.06179,1.89428,,6.59156,,,,2.09847,1.89428,0.48011,7dd93b58-f96f-4153-9cf1-970cc18d140d,2025-02-23,19:05:49.20,2025-02-23T14:05:49.2052480-05:00,2025-02-23T19:05:49.2052480Z,GroundBall,v3,471373,1570,,"Zelenka, Martin",1000191978,Right,UNC_SEA,1d9942b8-5413-4135-8ba8-331b8151e309,54.49391,-122.40239,12.01938,6.4964,-4.02295,-14.15618,-1.07939,2.70837,1.78302,180,2.0968,101.70623,,,,,,,,1.8948,-31.40076,,,,,,,,0.48123,-68.04808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
