PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:07:46.91,1,1,"Robinson, Caden",10012219,Right,MT,"Sullivan, Case",1000093450,Right,VAL_CRU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.4997,-2.729186,-2.365308,2012.864843,201.145323,12:45,5.97335,1.35594,7.00486,-15.6719,18.18253,6.56874,2.1824,-0.24807,81.03904,-5.792673,-1.162331,0.418773,,,,,,,,,,,,-4.22036,10.89284,-1.21288,50,5.80035,5.11911,-129.86953,-6.52268,-7.12001,30.29024,-13.79712,MT,VAL_CRU,FedExPark,D1,AMER,20250223-FedExPark-1,78163440-f219-11ef-a12a-db5be9f192cd,90.00677,,,8.46066,,,,,,,bcf9ec6f-feff-46ce-a758-0146a1bd9eef,2025-02-23,19:07:46.91,2025-02-23T13:07:46.9132800-06:00,2025-02-23T19:07:46.9132800Z,,v3,471353,471476,23 February 2025 14:05-valpo@memphis,"Sutton, Jonah",803359,Right,MT,9694ce77-9c07-40f6-8c65-6db380e6175e,53.49085,-130.68118,15.14512,5.97018,-6.15298,-6.89856,-1.35261,5.3099,-3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-23,13:08:00.46,1,2,"Robinson, Caden",10012219,Right,MT,"Sullivan, Case",1000093450,Right,VAL_CRU,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.52474,-0.167659,-2.005213,2311.365072,173.085923,11:45,5.9336,1.56848,6.45124,-23.94871,13.52146,-1.49449,3.78375,-0.39903,78.06019,-4.709302,-2.276004,0.44057,,,,,,,,,,,,0.20343,7.48162,-1.4259,50,5.91091,4.40711,-124.24806,-1.02632,0.31709,25.55549,-20.51191,MT,VAL_CRU,FedExPark,D1,AMER,20250223-FedExPark-1,80347380-f219-11ef-a12a-db5be9f192cd,85.55389,,,7.46455,,,,,,,bcf9ec6f-feff-46ce-a758-0146a1bd9eef,2025-02-23,19:08:00.46,2025-02-23T13:08:00.4698624-06:00,2025-02-23T19:08:00.4698624Z,,v3,471353,471476,23 February 2025 14:05-valpo@memphis,"Sutton, Jonah",803359,Right,MT,3040240b-cf2f-44ae-92e1-1b6e1539e0ea,54.04537,-125.07735,12.77774,5.93341,-0.3607,-10.25596,-1.56875,4.39682,0.15855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-23,13:08:14.09,1,3,"Robinson, Caden",10012219,Right,MT,"Sullivan, Case",1000093450,Right,VAL_CRU,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.7287,-1.295908,-3.270763,2067.854589,206.72499,1:00,6.02546,1.44156,7.25896,-17.14186,16.71832,7.85646,3.42256,-0.86574,80.79188,-4.639263,-1.826967,0.418809,,,,,,,,,,,,-5.15949,9.71119,-1.25735,50,5.9462,7.08917,-128.89826,-3.27346,-8.63683,28.04941,-15.91784,MT,VAL_CRU,FedExPark,D1,AMER,20250223-FedExPark-1,88528bb0-f219-11ef-a12a-db5be9f192cd,89.99911,,,7.93682,,,,,,,bcf9ec6f-feff-46ce-a758-0146a1bd9eef,2025-02-23,19:08:14.09,2025-02-23T13:08:14.0930048-06:00,2025-02-23T19:08:14.0930048Z,,v3,471353,471476,23 February 2025 14:05-valpo@memphis,"Sutton, Jonah",803359,Right,MT,a8ca6fef-c398-44c3-bfa0-cf387bbbaffd,53.2378,-129.60091,14.02471,6.02321,-2.8747,-7.95892,-1.43765,7.30554,-4.31842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-23,13:08:29.16,1,4,"Robinson, Caden",10012219,Right,MT,"Sullivan, Case",1000093450,Right,VAL_CRU,Undefined,1,Top,0,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.09929,-1.596804,-3.560189,2197.884447,201.207051,12:45,5.97695,1.486,6.53624,-29.76202,8.53174,2.77717,2.02893,-1.5523,77.04147,-7.20169,-3.056749,0.445385,,,,,,,,,,,,-2.59414,5.41784,-1.24,50,5.85364,7.56565,-123.30317,-4.30121,-3.93266,28.01489,-23.96068,MT,VAL_CRU,FedExPark,D1,AMER,20250223-FedExPark-1,914bc1a0-f219-11ef-a12a-db5be9f192cd,84.62892,,,8.05782,,,,,,,bcf9ec6f-feff-46ce-a758-0146a1bd9eef,2025-02-23,19:08:29.16,2025-02-23T13:08:29.1670528-06:00,2025-02-23T19:08:29.1670528Z,,v3,471353,471476,23 February 2025 14:05-valpo@memphis,"Sutton, Jonah",803359,Right,MT,1eabc574-ee92-4455-8eeb-8d9c5278a273,53.95881,-124.19937,14.00745,5.97897,-3.53471,-11.98034,-1.48404,7.69145,-1.96633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-23,13:08:45.24,1,5,"Robinson, Caden",10012219,Right,MT,"Sullivan, Case",1000093450,Right,VAL_CRU,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.10216,-1.186614,-2.127375,2064.770675,185.235563,12:15,6.01635,1.51273,6.99956,-16.21517,18.83036,1.60858,3.58538,-0.2882,79.32235,-4.375537,-1.832883,0.426076,,,,,,,,,,,,-1.54642,10.76965,-1.38282,50,5.93742,4.69084,-127.90135,-2.97521,-2.51779,30.5906,-14.63942,MT,VAL_CRU,FedExPark,D1,AMER,20250223-FedExPark-1,9ada0ba0-f219-11ef-a12a-db5be9f192cd,88.46403,,,8.77981,,,,,,,bcf9ec6f-feff-46ce-a758-0146a1bd9eef,2025-02-23,19:08:45.24,2025-02-23T13:08:45.2474880-06:00,2025-02-23T19:08:45.2474880Z,,v3,471353,471476,23 February 2025 14:05-valpo@memphis,"Sutton, Jonah",803359,Right,MT,6a92ea8e-b249-4a7a-a370-7aa21edc1cd9,53.49447,-128.73442,15.2953,6.01302,-2.57654,-7.31971,-1.5115,4.75941,-1.25889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-23,13:09:15.47,1,6,"Robinson, Caden",10012219,Right,MT,"Sullivan, Case",1000093450,Right,VAL_CRU,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.54417,-3.1986,-1.90667,2052.070839,187.86334,12:15,6.03089,1.34975,7.03711,-14.45465,20.01942,2.59917,1.9158,-0.16648,80.39799,-6.035918,-1.430263,0.422588,,,,,,,,,,,,-1.96654,12.0215,-1.23488,50,5.83134,4.18348,-128.50298,-7.46117,-3.25592,29.07702,-12.2707,MT,VAL_CRU,FedExPark,D1,AMER,20250223-FedExPark-1,ace02690-f219-11ef-a12a-db5be9f192cd,89.1942,,,8.14618,,,,,,,bcf9ec6f-feff-46ce-a758-0146a1bd9eef,2025-02-23,19:09:15.47,2025-02-23T13:09:15.4791936-06:00,2025-02-23T19:09:15.4791936Z,,v3,471353,471476,23 February 2025 14:05-valpo@memphis,"Sutton, Jonah",803359,Right,MT,892f342e-5794-48ad-b7ed-8c3b7d257fa2,53.45918,-129.28333,14.53851,6.02716,-7.13186,-6.13535,-1.34833,4.27086,-1.62796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-23,13:09:44.63,2,1,"Robinson, Caden",10012219,Right,MT,"Maka, Ryan",1000123462,Left,VAL_CRU,Undefined,1,Top,1,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,84.23316,-1.733912,-2.912323,1620.239706,253.406326,2:30,5.80033,1.76869,6.42693,-32.71852,6.31402,16.62485,1.47754,0.47496,76.59514,-7.85879,0.102967,0.449661,82.53631,-56.274641,153.874264,,,,,0.59668,1.55997,-4.366329,0.014707,-9.6156,4.2361,-1.56829,50,5.66203,5.60152,-122.20941,-4.67273,-14.3693,26.75431,-25.84375,MT,VAL_CRU,FedExPark,D1,AMER,20250223-FedExPark-1,be474260-f219-11ef-a12a-db5be9f192cd,83.8242,1.48308,,7.63802,,,,1.48384,1.48308,-0.48138,bcf9ec6f-feff-46ce-a758-0146a1bd9eef,2025-02-23,19:09:44.63,2025-02-23T13:09:44.6301184-06:00,2025-02-23T19:09:44.6301184Z,GroundBall,v3,471353,471476,23 February 2025 14:05-valpo@memphis,"Sutton, Jonah",803359,Right,MT,0f5219ba-fe8a-45df-beea-3f96828df7bb,54.07186,-123.0976,13.37715,5.80292,-3.81476,-12.92187,-1.76217,6.07855,-7.18465,,1.48406,-60.4382,,,,,,,,1.48345,-100.83917,,,,,,,,-0.48149,29.64204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2025-02-23,13:10:18.61,3,1,"Robinson, Caden",10012219,Right,MT,"Cooper, Thomas",10047260,Right,VAL_CRU,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.78523,-1.470467,-3.810749,2294.543497,152.563955,11:00,5.80829,1.60369,6.4135,-36.21652,5.27953,-1.84473,1.43505,-2.05871,73.7276,-8.273761,-4.144276,0.463633,,,,,,,,,,,,-0.51445,3.88685,-1.33039,50,5.68763,8.0416,-119.64189,-4.15441,-0.71934,30.66501,-26.73906,MT,VAL_CRU,FedExPark,D1,AMER,20250223-FedExPark-1,d28a2df0-f219-11ef-a12a-db5be9f192cd,81.29794,,,9.05763,,,,,,,bcf9ec6f-feff-46ce-a758-0146a1bd9eef,2025-02-23,19:10:18.61,2025-02-23T13:10:18.6180096-06:00,2025-02-23T19:10:18.6180096Z,,v3,471353,471476,23 February 2025 14:05-valpo@memphis,"Sutton, Jonah",803359,Right,MT,72387c22-645f-48ff-9d40-92e43bf186d3,54.07709,-120.68235,15.3325,5.8132,-3.24716,-13.36953,-1.60365,8.06601,-0.35967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-23,13:10:45.06,3,2,"Robinson, Caden",10012219,Right,MT,"Cooper, Thomas",10047260,Right,VAL_CRU,Undefined,1,Top,2,1,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.30641,0.020628,-2.008862,2142.360985,180.994717,12:00,5.94109,1.63453,6.48269,-26.17021,11.06745,0.17354,3.7792,-0.19623,78.64569,-4.902977,-1.977393,0.4392,46.85681,13.16121,178.367154,3063.356508,,,,65.3695,53.01018,-178.952839,1.013676,-0.60437,6.13457,-1.49346,50,5.9309,4.34519,-124.06483,-0.70252,-0.94931,23.00657,-22.53804,MT,VAL_CRU,FedExPark,D1,AMER,20250223-FedExPark-1,e25944a0-f219-11ef-a12a-db5be9f192cd,85.82064,6.59614,,6.66072,,,,,,,bcf9ec6f-feff-46ce-a758-0146a1bd9eef,2025-02-23,19:10:45.06,2025-02-23T13:10:45.0663936-06:00,2025-02-23T19:10:45.0663936Z,GroundBall,v3,471353,471476,23 February 2025 14:05-valpo@memphis,"Sutton, Jonah",803359,Right,MT,2058dff7-966a-4cdb-9eaf-38165ba4ce99,54.01561,-124.80727,11.50329,5.94183,0.02479,-11.26902,-1.63418,4.37583,-0.47466,303.170021,-2.67772,-66.89085,5.56543,-0.6789,0.06616,0.12479,-0.15278,0.08995,-0.02094,3.45839,15.64782,-20.04069,1.49276,-0.40866,0.2968,-0.26781,0.1424,-0.03112,0.38662,1.90748,-4.22536,1.12158,-0.92989,1.55304,-1.65474,0.90809,-0.20193,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-02-23,13:11:05.57,3,3,"Robinson, Caden",10012219,Right,MT,"Cooper, Thomas",10047260,Right,VAL_CRU,Undefined,1,Top,2,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.98575,0.151541,-0.011987,2125.350687,42.533616,7:30,6.13414,1.33222,6.29916,-55.64696,-7.6513,-8.48134,1.63652,0.61439,69.6582,-10.116605,-1.551315,0.498623,,,,,,,,,,,,4.43756,-3.62961,-1.32731,50,6.11869,0.30709,-110.4747,-1.31918,5.41856,21.8783,-36.60603,MT,VAL_CRU,FedExPark,D1,AMER,20250223-FedExPark-1,ee8e44a0-f219-11ef-a12a-db5be9f192cd,75.59306,,,6.32755,,,,,,,bcf9ec6f-feff-46ce-a758-0146a1bd9eef,2025-02-23,19:11:05.57,2025-02-23T13:11:05.5716352-06:00,2025-02-23T19:11:05.5716352Z,,v3,471353,471476,23 February 2025 14:05-valpo@memphis,"Sutton, Jonah",803359,Right,MT,3945abee-38e4-4fd4-a192-64a2c2f6c447,54.20214,-111.30378,10.93915,6.1424,0.06801,-18.30301,-1.33506,0.10175,2.70928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
