PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,12:03:55.04,1,1,"White, Caleb",831247,Right,GEO_PAN,"Fithian, Jalen",1000099450,Right,UTM_SKY,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.10483,-1.826075,-5.365573,2393.945904,228.785037,1:45,5.88277,3.12053,6.68857,-18.833,14.88965,15.45253,2.63527,-0.51364,81.15659,-5.479543,-2.567577,0.417958,92.41644,28.42491,31.193843,4760.002488,88.34605,49.24804,65.53585,300.62359,240.01838,45.60081,3.99489,-10.01863,8.86937,-2.76689,50,5.7528,11.74066,-131.6079,-4.69449,-17.10488,34.84509,-17.03129,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,2a803480-f208-11ef-bd3d-ff99ed65ae3f,90.18242,58.83593,,9.94824,,,,0.83614,2.56158,0.61154,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:03:55.04,2025-02-23T12:03:55.0415872-05:00,2025-02-23T17:03:55.0415872Z,FlyBall,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,35f4c809-5895-443e-9b3c-093873c7a7c9,53.80962,-132.61272,17.42255,5.8811,-4.20337,-8.51564,-3.11257,12.2339,-8.55244,,0.83758,101.9326,-23.49988,5.4646,-1.04312,0.12097,-0.01024,0.00117,-9E-05,2.56146,64.52059,-21.27074,1.88768,-0.17643,-0.04345,0.02775,-0.00535,0.00034,0.61101,61.75675,0.53272,-1.85198,0.53324,-0.02928,-0.02837,0.00828,-0.00074,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-02-23,12:04:40.56,1,2,"White, Caleb",831247,Right,GEO_PAN,"Fithian, Jalen",1000099450,Right,UTM_SKY,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.57078,-1.380169,-5.715337,2134.155156,228.123857,1:30,5.76429,3.32688,6.73775,-18.75399,14.95843,15.30178,2.93377,-0.63785,81.48708,-5.002599,-2.945251,0.417894,72.23474,38.073439,147.191554,4567.330994,,,,,59.88654,,,-9.89052,8.69445,-2.9544,50,5.66546,12.50548,-130.93386,-3.64585,-16.90906,31.56118,-17.3098,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,459d1f80-f208-11ef-bd3d-ff99ed65ae3f,90.19616,38.36874,,9.0837,,,,0.82685,2.86423,0.62782,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:04:40.56,2025-02-23T12:04:40.5676032-05:00,2025-02-23T17:04:40.5676032Z,,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,4c38e9db-7044-4e9a-960d-d0dbaa117ac0,53.76199,-131.83755,15.78059,5.76275,-3.15022,-8.6549,-3.31941,12.98964,-8.45453,317.076136,0.82684,-70.09763,2.85336,0.78305,-0.35045,0.24116,0.06712,-0.29007,0.14915,2.86423,65.33302,-28.02692,3.83905,-0.98667,0.18596,0.82082,-1.21338,0.51741,0.62782,45.1896,-10.4604,0.67213,-0.05807,-0.19559,0.4344,-0.42033,0.15055,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2025-02-23,12:05:03.78,1,3,"White, Caleb",831247,Right,GEO_PAN,"Fithian, Jalen",1000099450,Right,UTM_SKY,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.00709,-1.386974,-7.25784,2139.708891,211.976263,1:00,5.68825,3.30476,6.71894,-12.66745,21.2297,12.41595,3.35432,-2.33064,81.07166,-3.921093,-5.025364,0.419038,,,,,,,,,,,,-8.97079,11.98083,-2.82573,50,5.58992,16.17721,-131.01578,-3.41542,-15.23588,33.58271,-11.82596,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,537d1060-f208-11ef-bd3d-ff99ed65ae3f,89.95001,,,9.93542,,,,,,,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:05:03.78,2025-02-23T12:05:03.7872640-05:00,2025-02-23T17:05:03.7872640Z,,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,0fd3b420-b4dd-4dfc-844b-65409f7a0969,53.77748,-131.98049,16.79136,5.68316,-3.0757,-5.91298,-3.29673,16.61489,-7.61794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-23,12:05:21.95,1,4,"White, Caleb",831247,Right,GEO_PAN,"Fithian, Jalen",1000099450,Right,UTM_SKY,Undefined,1,Top,0,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.23463,0.469103,-2.824892,1994.846962,85.823032,8:45,5.72257,3.38249,5.91246,-45.65365,0.6528,-12.9843,2.35405,-0.32364,71.14053,-7.948326,-5.151638,0.48977,,,,,,,,,,,,5.74477,0.64902,-3.14825,50,5.73444,6.07766,-113.41866,-0.48855,7.36525,23.79359,-31.34195,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,5e508490-f208-11ef-bd3d-ff99ed65ae3f,76.95949,,,7.0941,,,,,,,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:05:21.95,2025-02-23T12:05:21.9530000-05:00,2025-02-23T17:05:21.9530000Z,,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,7e379943-223a-42fd-a8bc-12fc800c4215,54.58864,-114.37724,11.8968,5.72869,0.77413,-15.67097,-3.38713,5.78094,3.68262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.50307,2.570727,1.580493,0.990234,1.52129,2.36867,0.31423,-1.32992,5.40949,6.43371,68.52425,8.65174,56.28087,-1.26552,77.17863,-6.74997,5.4676,18.72934,-15.65015,6.44335,52.59776,-2.28869,High,High,High,,,High,Medium,High
5,2025-02-23,12:05:48.80,2,1,"White, Caleb",831247,Right,GEO_PAN,"Anderson, Garner",1000213844,Right,UTM_SKY,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.18639,-2.391404,-4.182615,2211.715755,235.391126,1:45,5.64048,3.25409,6.67363,-17.70903,14.75363,19.66899,1.96975,1.05975,83.17773,-5.808206,-0.610022,0.410075,,,,,,,,,,,,-11.74863,8.89186,-2.98087,50,5.47261,8.99701,-133.54656,-6.0579,-20.90977,32.6508,-16.34867,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,6e4572c0-f208-11ef-bd3d-ff99ed65ae3f,91.9159,,,9.00865,,,,,,,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:05:48.80,2025-02-23T12:05:48.8035840-05:00,2025-02-23T17:05:48.8035840Z,,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,dbe82b25-e57f-4f03-b240-01a9b29dc2cd,53.82824,-134.47927,16.3254,5.63899,-5.59088,-8.17433,-3.24641,9.59432,-10.45489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-23,12:06:01.90,2,2,"White, Caleb",831247,Right,GEO_PAN,"Anderson, Garner",1000213844,Right,UTM_SKY,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.12372,-1.445916,-6.226739,2196.756319,238.173576,2:00,5.67326,3.39434,6.95034,-20.32009,12.59568,18.41698,2.65597,-0.76001,82.37552,-5.353115,-2.882547,0.412927,,,,,,,,,,,,-11.68386,7.48945,-3.01106,50,5.57566,13.67636,-131.73757,-3.8664,-20.32689,30.60488,-19.14439,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,761da850-f208-11ef-bd3d-ff99ed65ae3f,91.28112,,,8.7482,,,,,,,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:06:01.90,2025-02-23T12:06:01.9092480-05:00,2025-02-23T17:06:01.9092480Z,,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,dc0e8e17-18ad-42db-8f9e-4c7c209f31e6,53.55085,-132.55993,15.30244,5.67264,-3.35199,-9.5722,-3.38588,14.22255,-10.16344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-23,12:06:16.29,2,3,"White, Caleb",831247,Right,GEO_PAN,"Anderson, Garner",1000213844,Right,UTM_SKY,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.5638,-1.476975,-5.323711,2174.601754,208.895968,1:00,5.70174,3.44268,6.7345,-11.35894,22.46076,11.68914,3.39932,-0.4622,81.09971,-3.768836,-3.207248,0.418559,,,,,,,,,,,,-7.86083,12.63701,-3.09436,50,5.59857,11.72618,-130.91469,-3.55945,-13.38779,32.44473,-10.65193,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,7eaecda0-f208-11ef-bd3d-ff99ed65ae3f,90.05297,,,9.46409,,,,,,,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:06:16.29,2025-02-23T12:06:16.2945536-05:00,2025-02-23T17:06:16.2945536Z,,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,7367eff4-4c21-4bd9-b07e-28d3d6099801,53.76258,-131.84388,16.22237,5.69614,-3.25439,-5.32596,-3.43568,12.10959,-6.69389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-23,12:06:34.42,2,4,"White, Caleb",831247,Right,GEO_PAN,"Anderson, Garner",1000213844,Right,UTM_SKY,Undefined,1,Top,1,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,93.1725,-1.655184,-5.754928,2255.314099,244.264301,2:15,5.62782,3.39777,6.54671,-20.55253,11.36213,21.23434,2.38903,-0.12837,84.26951,-5.570153,-1.921246,0.406599,71.21675,-10.316501,2.203627,,,,,12.70702,12.35601,2.218285,0.112209,-12.8828,6.7915,-3.00673,50,5.50388,12.71373,-134.73949,-4.51737,-23.46151,31.83511,-19.80567,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,897c4e60-f208-11ef-bd3d-ff99ed65ae3f,92.70169,2.37439,,8.90299,,,,1.32028,2.37439,0.0971,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:06:34.42,2025-02-23T12:06:34.4242176-05:00,2025-02-23T17:06:34.4242176Z,GroundBall,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,0050b81e-6a81-447f-b2ef-775048f8a4f7,53.95535,-135.6708,15.91755,5.62756,-3.93797,-9.90283,-3.38871,13.40009,-11.73075,23.089267,1.32028,102.68578,-11.51982,,,,,,,2.37454,-18.72285,-21.74701,,,,,,,0.09714,3.94724,-3.83116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-02-23,12:07:10.58,3,1,"White, Caleb",831247,Right,GEO_PAN,"Grines, Terence",10030323,Right,UTM_SKY,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.03802,-1.078208,-6.325945,2374.084075,233.541175,1:45,5.68081,3.44537,6.82982,-17.48914,15.19426,18.88552,3.23374,-0.77467,82.42825,-4.480668,-2.906462,0.411467,,,,,,,,,,,,-12.01375,8.73965,-3.04288,50,5.60432,13.97962,-132.91222,-2.94176,-21.10146,33.29806,-16.82334,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,9f099440-f208-11ef-bd3d-ff99ed65ae3f,91.60501,,,9.60977,,,,,,,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:07:10.58,2025-02-23T12:07:10.5862144-05:00,2025-02-23T17:07:10.5862144Z,,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,3236c790-e4db-40f0-b108-dc34a29dc644,53.66944,-133.82836,16.64903,5.67889,-2.47889,-8.41167,-3.43549,14.56018,-10.55073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-23,12:07:27.04,3,2,"White, Caleb",831247,Right,GEO_PAN,"Grines, Terence",10030323,Right,UTM_SKY,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.43585,-0.850605,-5.992295,2229.274611,208.877222,1:00,5.58923,3.44548,6.76784,-12.26788,20.98446,10.87194,3.78578,-1.14098,81.70775,-3.307253,-4.026855,0.415033,,,,,,,,,,,,-7.68666,11.66186,-3.05577,50,5.52773,13.41437,-132.03114,-2.17668,-13.29327,33.42726,-12.0061,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,a8d27640-f208-11ef-bd3d-ff99ed65ae3f,90.81792,,,9.72811,,,,,,,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:07:27.04,2025-02-23T12:07:27.0462464-05:00,2025-02-23T17:07:27.0462464Z,,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,9a109a55-6e0f-4a21-a12d-68d517d57388,53.72861,-132.97179,16.71363,5.58423,-1.83882,-6.00305,-3.43851,13.78844,-6.64663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-02-23,12:07:43.93,3,3,"White, Caleb",831247,Right,GEO_PAN,"Grines, Terence",10030323,Right,UTM_SKY,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.70753,-1.23746,-6.262065,2244.379406,205.646347,12:45,5.81442,3.29628,6.6856,-13.5354,21.14891,9.51772,3.54763,-1.66125,80.25976,-3.924708,-4.546031,0.423875,,,,,,,,,,,,-7.05902,11.87339,-2.87965,50,5.72515,13.8203,-129.44024,-3.0638,-11.7399,31.99259,-12.42742,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,b2e2c180-f208-11ef-bd3d-ff99ed65ae3f,88.92345,,,9.44778,,,,,,,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:07:43.93,2025-02-23T12:07:43.9393792-05:00,2025-02-23T17:07:43.9393792Z,,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,fd621a47-b994-4cd7-926f-1c52d5d461e9,53.81103,-130.37878,15.99629,5.80969,-2.69923,-6.21371,-3.29013,14.16471,-5.86995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
12,2025-02-23,12:07:58.76,3,4,"White, Caleb",831247,Right,GEO_PAN,"Grines, Terence",10030323,Right,UTM_SKY,Undefined,1,Top,2,2,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Triple,0,0,,90.96084,-1.602677,-5.692153,2217.840757,227.861039,1:30,5.63715,3.34329,6.79639,-17.27473,15.93607,16.30548,2.72712,-0.51055,82.1522,-4.950589,-2.736689,0.414774,91.94169,29.957809,28.191086,4643.30234,91.83345,60.1077,60.55261,327.69322,243.16329,40.901238,4.878409,-10.36178,9.26772,-2.97831,50,5.52589,12.48146,-131.56012,-4.11939,-17.96312,30.73952,-16.10761,GEO_PAN,UTM_SKY,GeorgiaState,D1,SBELT,20250223-GeorgiaState-1,bbc2ca20-f208-11ef-bd3d-ff99ed65ae3f,90.87473,78.26811,,8.80864,,,,0.07672,3.71345,1.7005,64baa3d9-2364-4594-9482-e6fbe59b9122,2025-02-23,17:07:58.76,2025-02-23T12:07:58.7654656-05:00,2025-02-23T17:07:58.7654656Z,FlyBall,v3,471304,471460,,"Griffith, Cole",807519,Right,GEO_PAN,d5b5e4a1-adf4-4329-a05e-213d5d6dcdd0,53.70415,-132.42278,15.36976,5.63515,-3.66735,-8.05381,-3.33566,12.98557,-8.98156,212.161741,0.07831,102.94473,-25.54294,6.33673,-1.21244,0.16848,-0.01907,0.0021,-0.00013,3.71498,67.29262,-15.75993,-0.26002,0.54047,-0.24549,0.06531,-0.00897,0.00048,1.70123,55.17574,-3.07074,-0.20828,0.22404,-0.06315,0.00973,-0.00074,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
