PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,12:35:26.90,1,1,"Guzman, Randy",10327800,Right,WIN_EAG,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.828,0.773799,-0.483075,2296.752223,184.372981,12:15,5.6264,1.25499,5.45142,-25.12773,16.2367,1.11913,4.25688,0.89602,74.77571,-3.976627,-0.283908,0.462898,,,,,,,,,,,,-0.72095,8.3315,-1.21314,50,5.67804,0.9732,-121.31461,0.85432,-1.04964,28.83641,-20.04428,WIN_EAG,VIL_WIL,WinthropUniversity,D1,BSOU,20250223-WinthropUniversity-1,918e5bd0-f20c-11ef-8d6f-e76844c8f2a9,81.42717,,,9.05229,,,,,,,db11ed56-079f-496a-aba1-680743e22d4e,2025-02-23,17:35:26.90,2025-02-23T12:35:26.9052928-05:00,2025-02-23T17:35:26.9052928Z,,v3,471494,471478,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,a7a1c1de-4a65-4e52-a56e-fa225684da61,55.03761,-122.50619,14.41821,5.62562,1.6826,-10.02214,-1.25425,1.01657,-0.52482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-23,12:35:45.80,1,2,"Guzman, Randy",10327800,Right,WIN_EAG,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.99559,-1.254589,-0.822463,2352.195648,233.136195,1:45,5.84365,1.00699,5.68505,-18.84572,14.22501,17.35658,3.1035,1.68674,83.68226,-4.822904,2.281697,0.413898,,,,,,,,,,,,-8.97575,7.96374,-0.94833,50,5.72653,1.1159,-134.79363,-3.5701,-16.23904,33.84826,-17.76593,WIN_EAG,VIL_WIL,WinthropUniversity,D1,BSOU,20250223-WinthropUniversity-1,9cc525b0-f20c-11ef-8d6f-e76844c8f2a9,91.06697,,,9.31333,,,,,,,db11ed56-079f-496a-aba1-680743e22d4e,2025-02-23,17:35:45.80,2025-02-23T12:35:45.8019840-05:00,2025-02-23T17:35:45.8019840Z,,v3,471494,471478,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,a61c6b4d-213d-4f79-896e-322868bf750f,54.80821,-135.99567,16.92413,5.84211,-2.93918,-8.88296,-0.9982,1.69259,-8.11952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-23,12:36:07.70,1,3,"Guzman, Randy",10327800,Right,WIN_EAG,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.54946,-1.348616,-1.973785,2412.831987,212.350448,1:00,5.7736,1.10275,5.804,-21.30119,13.00505,7.52571,2.74333,-0.10642,82.54477,-5.344236,-0.625689,0.421559,,,,,,,,,,,,-4.38213,7.35658,-0.94515,50,5.65024,4.19542,-131.37911,-3.79537,-7.63647,28.6013,-19.35417,WIN_EAG,VIL_WIL,WinthropUniversity,D1,BSOU,20250223-WinthropUniversity-1,a9d7b470-f20c-11ef-8d6f-e76844c8f2a9,89.41205,,,8.00469,,,,,,,db11ed56-079f-496a-aba1-680743e22d4e,2025-02-23,17:36:07.70,2025-02-23T12:36:07.7072896-05:00,2025-02-23T17:36:07.7072896Z,,v3,471494,471478,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,fc8404dc-faae-41e2-b6fc-88d72da4cbd7,54.6911,-132.39642,14.30065,5.773,-3.10697,-9.67708,-1.0992,4.46704,-3.81824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-23,12:36:27.21,1,4,"Guzman, Randy",10327800,Right,WIN_EAG,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.94268,-0.819671,-1.990874,2495.739914,218.510026,1:15,5.84393,1.0349,5.7005,-16.14631,15.93485,11.82095,3.73413,0.16415,85.21235,-3.889878,0.122056,0.407659,,,,,,,,,,,,-6.54796,8.63811,-0.87515,50,5.76523,4.18399,-136.26559,-2.46284,-12.23825,31.61048,-16.02922,WIN_EAG,VIL_WIL,WinthropUniversity,D1,BSOU,20250223-WinthropUniversity-1,b57aada0-f20c-11ef-8d6f-e76844c8f2a9,92.46081,,,8.73033,,,,,,,db11ed56-079f-496a-aba1-680743e22d4e,2025-02-23,17:36:27.21,2025-02-23T12:36:27.2190976-05:00,2025-02-23T17:36:27.2190976Z,,v3,471494,471478,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,ff58003d-a596-4439-9c74-79362a097d3a,54.7943,-137.37325,15.80524,5.84169,-1.90115,-8.01461,-1.02927,4.61283,-6.11912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-23,12:36:49.24,1,5,"Guzman, Randy",10327800,Right,WIN_EAG,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,3,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.57382,-1.461602,-2.617637,2404.920164,235.955656,1:45,5.78504,1.04504,5.99603,-21.04651,12.42906,16.69513,2.67509,0.00901,83.06956,-5.431551,0.383195,0.416424,78.43521,53.935217,-102.133535,4150.237599,,,,,14.94129,,,-9.34733,7.16654,-0.84789,50,5.65837,5.34832,-132.81816,-4.0678,-16.5555,30.70065,-19.4811,WIN_EAG,VIL_WIL,WinthropUniversity,D1,BSOU,20250223-WinthropUniversity-1,c2985ff0-f20c-11ef-8d6f-e76844c8f2a9,90.51465,20.91547,,8.50426,,,,0.53446,2.36388,-0.04853,db11ed56-079f-496a-aba1-680743e22d4e,2025-02-23,17:36:49.24,2025-02-23T12:36:49.2464128-05:00,2025-02-23T17:36:49.2464128Z,,v3,471494,471478,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,314376fb-0a3f-47c2-b654-9b27e4e9d076,54.50027,-133.85434,15.35033,5.78457,-3.41029,-9.74055,-1.03783,5.90709,-8.27775,,0.53367,-14.18648,10.25122,,,,,,,2.3639,92.99055,-29.05824,,,,,,,-0.04631,-66.34729,-12.57442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
6,2025-02-23,12:37:13.38,1,6,"Guzman, Randy",10327800,Right,WIN_EAG,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.57329,-0.98974,-1.901925,2378.919697,221.380688,1:30,5.79712,1.03073,5.75918,-18.32119,14.65418,11.92981,3.34854,0.25398,84.00374,-4.455136,0.233274,0.413301,77.30761,42.188595,-67.396946,4128.637766,25.81992,68.33952,-106.92672,230.06002,104.32441,-83.556807,3.988268,-6.63886,8.08607,-0.88047,50,5.70412,3.9244,-134.30733,-2.9161,-12.04238,30.97078,-17.50654,WIN_EAG,VIL_WIL,WinthropUniversity,D1,BSOU,20250223-WinthropUniversity-1,d1021a40-f20c-11ef-8d6f-e76844c8f2a9,91.19858,70.22376,,8.56955,,,,-0.55741,3.66701,-0.61522,db11ed56-079f-496a-aba1-680743e22d4e,2025-02-23,17:37:13.38,2025-02-23T12:37:13.3836800-05:00,2025-02-23T17:37:13.3836800Z,FlyBall,v3,471494,471478,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,5b5291ee-eb84-452d-ad21-9a5881549582,54.73683,-135.39522,15.48539,5.79575,-2.30116,-8.75327,-1.02575,4.34741,-6.02119,,-0.5603,32.37901,-15.15114,5.46661,-2.29977,0.96428,-0.29178,0.04881,-0.00326,3.66639,76.15841,-25.67069,2.90285,-0.49951,0.02429,0.02195,-0.00698,0.00066,-0.61585,-77.5379,6.24773,-0.07286,-0.36735,0.19838,-0.05941,0.01072,-0.00084,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2025-02-23,12:37:37.11,1,7,"Guzman, Randy",10327800,Right,WIN_EAG,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,3,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.44571,-1.349404,-2.274811,2391.48357,237.823125,2:00,5.81409,0.9049,5.86762,-22.79875,9.19264,13.02351,2.65955,-0.12394,85.58542,-5.596124,0.061351,0.407088,,,,,,,,,,,,-7.27969,5.37898,-0.72823,50,5.69154,4.81142,-135.67306,-3.99871,-13.5878,29.29235,-22.13399,WIN_EAG,VIL_WIL,WinthropUniversity,D1,BSOU,20250223-WinthropUniversity-1,df279fa0-f20c-11ef-8d6f-e76844c8f2a9,92.59047,,,7.8603,,,,,,,db11ed56-079f-496a-aba1-680743e22d4e,2025-02-23,17:37:37.11,2025-02-23T12:37:37.1142656-05:00,2025-02-23T17:37:37.1142656Z,,v3,471494,471478,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,adadc4a9-8cd1-492d-8ca8-e89194dc2a9f,54.6298,-136.66899,14.64617,5.8147,-3.24615,-11.06699,-0.89968,5.27341,-6.7939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-23,12:38:00.90,1,8,"Guzman, Randy",10327800,Right,WIN_EAG,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.94543,-1.09612,-1.596923,2415.97487,228.294331,1:30,5.87746,0.97258,5.73864,-19.27324,13.35792,13.78957,3.25021,0.63438,84.63175,-4.720794,0.871096,0.411138,92.23574,4.050923,-7.605154,1417.209763,,,,83.3626,82.37915,-9.991069,0.675336,-7.48185,7.43603,-0.84827,50,5.77455,3.14105,-134.91203,-3.22963,-13.73569,30.42212,-18.52254,WIN_EAG,VIL_WIL,WinthropUniversity,D1,BSOU,20250223-WinthropUniversity-1,ed516ac0-f20c-11ef-8d6f-e76844c8f2a9,91.67833,4.14923,,8.31368,,,,-0.36037,3.12277,-0.63237,db11ed56-079f-496a-aba1-680743e22d4e,2025-02-23,17:38:00.90,2025-02-23T12:38:00.9009664-05:00,2025-02-23T17:38:00.9009664Z,GroundBall,v3,471494,471478,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,3f30c87b-8b15-4a07-b695-9048d3a9f248,54.75811,-135.98073,15.21106,5.87658,-2.57895,-9.26127,-0.96709,3.62357,-6.86784,53.604846,-0.33023,133.15072,-16.49034,,,,,,,3.1571,8.86851,-20.1243,,,,,,,-0.61471,-18.21479,-3.42772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-02-23,12:38:44.52,2,1,"Guzman, Randy",10327800,Right,WIN_EAG,"Shaw, Tyler",1000127736,Right,VIL_WIL,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.62363,-0.024499,-0.514536,2232.559313,58.235536,8:00,5.86744,0.63025,5.38165,-53.35322,-4.56024,-9.95371,1.39838,-0.68154,70.29471,-9.712284,-2.289022,0.502748,,,,,,,,,,,,4.86083,-1.83091,-0.57695,50,5.82749,1.38092,-111.22464,-1.83675,6.03819,21.5064,-34.44844,WIN_EAG,VIL_WIL,WinthropUniversity,D1,BSOU,20250223-WinthropUniversity-1,075a4db0-f20d-11ef-8d6f-e76844c8f2a9,74.97288,,,6.32892,,,,,,,db11ed56-079f-496a-aba1-680743e22d4e,2025-02-23,17:38:44.52,2025-02-23T12:38:44.5282816-05:00,2025-02-23T17:38:44.5282816Z,,v3,471494,471478,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,69e6ac55-7dcd-4c97-9bf8-b2b6b42d1b71,55.117,-112.2097,10.7532,5.87549,-0.2589,-17.22422,-0.63386,1.10435,3.01909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-23,12:39:04.96,2,2,"Guzman, Randy",10327800,Right,WIN_EAG,"Shaw, Tyler",1000127736,Right,VIL_WIL,Undefined,1,Top,0,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.51984,-0.868681,-1.513747,2245.745293,185.177374,12:15,5.61772,1.28671,5.57789,-32.65108,9.57658,0.72658,2.08516,-0.06681,74.44023,-6.93148,-1.384045,0.467703,,,,,,,,,,,,-0.86272,5.59685,-1.15698,50,5.52211,3.1286,-119.54021,-2.88826,-1.22666,26.78193,-24.21629,WIN_EAG,VIL_WIL,WinthropUniversity,D1,BSOU,20250223-WinthropUniversity-1,1387fab0-f20d-11ef-8d6f-e76844c8f2a9,80.59062,,,8.07961,,,,,,,db11ed56-079f-496a-aba1-680743e22d4e,2025-02-23,17:39:04.96,2025-02-23T12:39:04.9628160-05:00,2025-02-23T17:39:04.9628160Z,,v3,471494,471478,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,c7f2ec75-7bab-47a4-8076-6b0d8d834173,54.91478,-120.6363,13.39096,5.62004,-1.89718,-12.10814,-1.28605,3.17881,-0.61333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
