PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-24,12:04:30.35,1,1,"Dobie, Jayce",1000219037,Right,NEV_WOL,"Mascaro, Nick",1000114484,Left,CSU_BAK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.66908,-3.287791,-3.004842,2276.462538,210.997389,1:00,5.4179,2.0146,7.10932,-16.993,15.99875,9.02989,1.0116,0.03846,82.84826,-6.548775,-1.348662,0.413403,,,,,,,,,,,,-5.63607,9.74524,-1.83865,50,5.21661,6.5301,-130.26919,-7.88796,-9.76585,25.22521,-15.28799,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250224-DonWeirField-1,8f291cc0-f2ea-11ef-9311-b7cd38a8bff0,91.17594,,,6.82082,,,,,,,1b194b5f-4a72-4305-b840-65fd5353fdaf,2025-02-24,20:04:30.35,2025-02-24T12:04:30.3522304-08:00,2025-02-24T20:04:30.3522304Z,,v3,471377,471252,24 February 2025 15:05-calstbaker@nevada,"Ratfield, Donovan",813686,Right,NEV_WOL,2765beb2-34ed-4147-b861-6e9e1fdd9ac0,53.39199,-130.92436,12.61261,5.41633,-7.49088,-7.64399,-2.01156,6.78375,-4.88293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-24,12:04:45.88,1,2,"Dobie, Jayce",1000219037,Right,NEV_WOL,"Mascaro, Nick",1000114484,Left,CSU_BAK,Undefined,1,Top,0,1,0,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.57502,-2.079266,-5.017668,1411.237216,262.138439,2:45,5.30592,1.88992,7.19287,-33.806,2.87929,14.02642,0.59731,-1.4978,79.18681,-8.400902,-2.44613,0.435931,,,,,,,,,,,,-8.79193,2.26165,-1.60286,50,5.17479,10.36441,-122.85439,-5.34194,-13.69188,20.01229,-28.65189,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250224-DonWeirField-1,98632c40-f2ea-11ef-9311-b7cd38a8bff0,86.46429,,,5.38821,,,,,,,1b194b5f-4a72-4305-b840-65fd5353fdaf,2025-02-24,20:04:45.88,2025-02-24T12:04:45.8894848-08:00,2025-02-24T20:04:45.8894848Z,,v3,471377,471252,24 February 2025 15:05-calstbaker@nevada,"Ratfield, Donovan",813686,Right,NEV_WOL,ee58f49b-15c6-44da-a889-8fc8306dd437,53.31153,-123.39265,10.00615,5.3081,-4.57132,-14.32595,-1.88658,10.73266,-6.84594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-24,12:05:06.43,1,3,"Dobie, Jayce",1000219037,Right,NEV_WOL,"Mascaro, Nick",1000114484,Left,CSU_BAK,Undefined,1,Top,0,2,0,Fastball,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,1,,88.19186,-1.984771,-3.457005,2169.172811,222.900958,1:30,5.51894,1.8411,7.01406,-21.1567,13.40324,11.41304,1.9479,-0.35372,80.58797,-6.037489,-1.368575,0.423114,106.29168,36.658102,17.23159,2850.060239,106.80327,75.67844,26.32577,407.68333,340.0162,8.245739,5.98584,-7.13052,8.08024,-1.63339,50,5.39037,7.34157,-128.07263,-4.97008,-11.80341,27.2827,-18.79855,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250224-DonWeirField-1,a4a96a50-f2ea-11ef-9311-b7cd38a8bff0,89.08335,122.78918,,7.60389,,,,,,,1b194b5f-4a72-4305-b840-65fd5353fdaf,2025-02-24,20:05:06.43,2025-02-24T12:05:06.4365056-08:00,2025-02-24T20:05:06.4365056Z,FlyBall,v3,471377,471252,24 February 2025 15:05-calstbaker@nevada,"Ratfield, Donovan",813686,Right,NEV_WOL,50bcf04a-7806-4e2f-9273-55dc2ef0dac1,53.48637,-128.81317,13.64135,5.51835,-4.45982,-9.39928,-1.83701,7.66195,-5.90171,153.676572,1.64254,119.34226,-22.60855,5.07841,-0.82042,0.07871,-0.00279,-8E-05,0,-0.73141,93.06285,-20.68809,1.58974,-0.16874,-0.01684,0.01139,-0.00175,9E-05,-1.01022,37.00862,-13.51921,3.58723,-0.6786,0.08021,-0.00435,-2E-05,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2025-02-24,12:05:53.84,2,1,"Dobie, Jayce",1000219037,Right,NEV_WOL,"Barnum, Lewis",1000098389,Right,CSU_BAK,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.47548,-3.886013,-4.011336,2091.890981,217.255605,1:15,5.53633,1.95681,6.55068,-33.34675,4.46788,2.65162,-0.82026,-1.50662,79.31488,-10.008518,-3.530118,0.442589,,,,,,,,,,,,-2.35378,3.4765,-1.68054,50,5.25214,8.50649,-122.54402,-9.3095,-3.63874,20.44202,-26.79965,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250224-DonWeirField-1,c0e1d770-f2ea-11ef-9311-b7cd38a8bff0,85.16343,,,5.1606,,,,,,,1b194b5f-4a72-4305-b840-65fd5353fdaf,2025-02-24,20:05:53.84,2025-02-24T12:05:53.8417152-08:00,2025-02-24T20:05:53.8417152Z,,v3,471377,471252,24 February 2025 15:05-calstbaker@nevada,"Ratfield, Donovan",813686,Right,NEV_WOL,be335ddf-74aa-4da6-bb70-e7107fd555a7,53.95348,-123.20175,10.22101,5.5378,-8.44721,-13.39983,-1.95613,8.62357,-1.81937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-24,12:06:12.61,2,2,"Dobie, Jayce",1000219037,Right,NEV_WOL,"Barnum, Lewis",1000098389,Right,CSU_BAK,Undefined,1,Top,0,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.84271,-0.82515,-2.24008,2284.966077,179.54191,12:00,5.47312,2.22899,6.41958,-32.55419,5.77079,-0.03819,2.0011,0.16549,78.21971,-6.863737,-2.246999,0.445566,,,,,,,,,,,,-0.49748,3.51225,-2.06907,50,5.39916,4.7748,-122.03107,-2.72701,-0.76259,20.28336,-26.79002,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250224-DonWeirField-1,cc1ee2e0-f2ea-11ef-9311-b7cd38a8bff0,84.59445,,,5.623,,,,,,,1b194b5f-4a72-4305-b840-65fd5353fdaf,2025-02-24,20:06:12.61,2025-02-24T12:06:12.6189056-08:00,2025-02-24T20:06:12.6189056Z,,v3,471377,471252,24 February 2025 15:05-calstbaker@nevada,"Ratfield, Donovan",813686,Right,NEV_WOL,0660d363-5c99-4e69-b837-156262501276,54.08251,-122.70777,10.14168,5.47523,-1.83324,-13.39501,-2.22879,4.80024,-0.38129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-24,12:06:29.50,2,3,"Dobie, Jayce",1000219037,Right,NEV_WOL,"Barnum, Lewis",1000098389,Right,CSU_BAK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,Bunt,Out,1,0,,89.43535,-0.711779,-2.121658,2347.710746,217.07681,1:15,5.53606,1.93193,7.31263,-18.77383,13.9206,9.82957,3.32787,0.83284,82.64668,-4.326664,-0.310273,0.411536,27.12786,-22.167117,-29.883002,,,,,7.94872,7.4496,-30.475378,0.181783,-5.85823,8.00457,-1.81565,50,5.49064,4.50086,-130.27562,-2.0477,-10.17124,24.7335,-18.2763,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250224-DonWeirField-1,d629afe0-f2ea-11ef-9311-b7cd38a8bff0,91.58957,3.14703,,6.78867,,,,1.0764,3.14703,-0.75918,1b194b5f-4a72-4305-b840-65fd5353fdaf,2025-02-24,20:06:29.50,2025-02-24T12:06:29.5058432-08:00,2025-02-24T20:06:29.5058432Z,GroundBall,v3,471377,471252,24 February 2025 15:05-calstbaker@nevada,"Ratfield, Donovan",813686,Right,NEV_WOL,1e90ae4f-d9d1-447a-a3ab-39b9261040b3,53.18861,-130.8796,12.36675,5.5352,-1.6014,-9.13815,-1.92859,4.74924,-5.08562,206.374806,1.07652,31.93923,-0.97068,,,,,,,3.14725,-15.02765,-12.57955,,,,,,,-0.75923,-18.35489,1.9533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2025-02-24,12:07:08.96,3,1,"Dobie, Jayce",1000219037,Right,NEV_WOL,"Hendriks, Cody",1000125319,Right,CSU_BAK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,88.92886,-1.30336,-2.886459,2197.095604,216.94732,1:15,5.48526,1.89284,7.28944,-19.11946,13.95776,9.81343,2.7119,0.09876,82.37922,-4.973335,-1.080273,0.413938,93.48116,11.159981,26.752393,4126.516306,94.37932,12.94533,56.50245,189.2196,189.2196,33.975734,1.793375,-6.03162,8.16304,-1.73282,50,5.4061,6.20768,-129.46258,-3.38971,-10.36499,23.85518,-18.14634,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250224-DonWeirField-1,edaf6a60-f2ea-11ef-9311-b7cd38a8bff0,91.05807,13.12939,,6.54963,,,,0.8766,2.53301,0.00049,1b194b5f-4a72-4305-b840-65fd5353fdaf,2025-02-24,20:07:08.96,2025-02-24T12:07:08.9651712-08:00,2025-02-24T20:07:08.9651712Z,LineDrive,v3,471377,471252,24 February 2025 15:05-calstbaker@nevada,"Ratfield, Donovan",813686,Right,NEV_WOL,c98dc593-c451-47a9-b95a-42ded0beba6f,53.21236,-130.05315,11.92759,5.48446,-2.94047,-9.07317,-1.88968,6.46428,-5.1825,,0.8766,120.11468,-26.12505,6.11032,-1.38777,0.27469,-0.05276,0.00834,-0.00071,2.53301,26.53665,-17.59792,1.2994,-0.10328,-0.00696,0.00787,-0.00162,0.00011,0.00049,60.54911,1.64702,-2.59385,1.04143,-0.313,0.07494,-0.01262,0.00106,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-02-24,12:07:49.54,4,1,"Dobie, Jayce",1000219037,Right,NEV_WOL,"Perreira, Brock",1000125317,Left,CSU_BAK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.86898,-3.289811,-4.30287,2146.617479,214.98737,1:15,5.31508,1.98926,7.16453,-17.90729,15.62745,10.25957,0.8296,-1.06273,82.25981,-6.718714,-2.423547,0.416791,,,,,,,,,,,,-6.65878,9.56174,-1.74062,50,5.11654,9.37083,-128.97327,-7.85073,-11.33217,24.2189,-15.90153,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250224-DonWeirField-1,05d4e750-f2eb-11ef-9311-b7cd38a8bff0,90.43477,,,6.60917,,,,,,,1b194b5f-4a72-4305-b840-65fd5353fdaf,2025-02-24,20:07:49.54,2025-02-24T12:07:49.5449088-08:00,2025-02-24T20:07:49.5449088Z,,v3,471377,471252,24 February 2025 15:05-calstbaker@nevada,"Ratfield, Donovan",813686,Right,NEV_WOL,6f936aad-209a-477e-80a4-8fe208df1888,53.33803,-129.59857,12.10945,5.31393,-7.44016,-7.95076,-1.98635,9.66341,-5.66608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-24,12:08:07.62,4,2,"Dobie, Jayce",1000219037,Right,NEV_WOL,"Perreira, Brock",1000125317,Left,CSU_BAK,Undefined,1,Top,1,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.70879,1.248037,-0.460571,2304.19604,352.101991,5:45,5.52896,2.07342,6.67715,-49.54148,-7.598,1.20272,2.54241,1.75232,74.44757,-7.931661,-0.241103,0.466126,,,,,,,,,,,,-0.74291,-3.9426,-2.04306,50,5.5932,0.89403,-116.1718,1.10844,-1.0307,18.6622,-37.64392,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250224-DonWeirField-1,10a54e40-f2eb-11ef-9311-b7cd38a8bff0,80.86313,,,5.26123,,,,,,,1b194b5f-4a72-4305-b840-65fd5353fdaf,2025-02-24,20:08:07.62,2025-02-24T12:08:07.6277248-08:00,2025-02-24T20:08:07.6277248Z,,v3,471377,471252,24 February 2025 15:05-calstbaker@nevada,"Ratfield, Donovan",813686,Right,NEV_WOL,0d185a0b-761d-48cc-864f-61ede797b7db,53.82682,-116.78494,9.3311,5.53647,2.3452,-18.82196,-2.07299,0.92789,-0.51535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-24,12:08:29.53,4,3,"Dobie, Jayce",1000219037,Right,NEV_WOL,"Perreira, Brock",1000125317,Left,CSU_BAK,Undefined,1,Top,1,2,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.81795,-1.289907,-2.642178,2278.57972,223.77332,1:30,5.37608,2.03771,7.22877,-19.4347,13.63658,12.23894,2.58751,0.66433,82.65147,-5.005057,-0.391083,0.413901,71.11543,52.425457,-135.491532,4250.840309,,,,,50.77519,,,-7.25185,7.94453,-1.88948,50,5.29604,5.57282,-129.37545,-3.37762,-12.50657,22.55761,-18.47287,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250224-DonWeirField-1,1dacb970-f2eb-11ef-9311-b7cd38a8bff0,91.06627,52.39049,,6.16648,,,,1.08785,2.62305,-0.67105,1b194b5f-4a72-4305-b840-65fd5353fdaf,2025-02-24,20:08:29.53,2025-02-24T12:08:29.5305728-08:00,2025-02-24T20:08:29.5305728Z,,v3,471377,471252,24 February 2025 15:05-calstbaker@nevada,"Ratfield, Donovan",813686,Right,NEV_WOL,7216ab91-59ed-4916-a838-b8152f8c650c,53.27389,-129.94502,11.27881,5.37544,-2.91118,-9.23644,-2.03417,5.8886,-6.25328,14.92413,1.08785,-45.35817,-3.29356,1.49681,-0.47669,0.28738,-0.24846,0.13781,-0.03142,2.62305,82.66607,-27.73217,3.37764,-0.74346,0.23563,-0.15035,0.07626,-0.01649,-0.67105,-44.58655,1.46538,0.28806,-0.17751,0.13651,-0.12196,0.06843,-0.01571,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
