PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-24,15:02:36.27,1,1,"Michael, Peter",813677,Right,LOU_CAR,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Double,0,0,,89.77271,-1.985303,-3.139541,2387.146749,213.284023,1:00,6.419,2.25798,5.37506,-16.72564,19.6006,11.91268,3.16042,0.30443,80.02022,-5.195538,-1.026009,0.433792,93.86011,4.181536,-37.659998,3878.975517,,,,83.76989,81.4265,-39.75768,0.670943,-7.06823,10.92784,-1.98528,50,6.22981,6.56314,-129.70819,-5.00687,-11.74238,33.41435,-14.01976,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250224-JimPatterson-1,4b20e210-f2ea-11ef-b70e-29ab4387a9e3,86.89055,4.32571,,9.75249,,,,1.08172,3.27513,-0.4252,93e2277d-2299-4343-9bfc-9009f3620ac8,2025-02-24,20:02:36.27,2025-02-24T15:02:36.2783744-05:00,2025-02-24T20:02:36.2783744Z,GroundBall,v3,471341,471491,23 February 2025 13:00-wmichigan@louisville,"Klein, Matt",702600,Right,LOU_CAR,6c4fd42e-57ff-491f-a75c-ff8c5696fb5a,55.11953,-131.0204,16.70718,6.41562,-4.4563,-7.00988,-2.25207,7.02427,-5.87119,,1.13746,107.55786,-19.89271,,,,,,,3.32223,9.08033,-21.00925,,,,,,,-0.42741,-83.84423,6.90921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-02-24,15:03:20.11,2,1,"Michael, Peter",813677,Right,LOU_CAR,"Harrity, Brendan",1000098365,Left,WMI_BRO,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.77072,-1.047756,-4.085588,2259.463588,173.321527,11:45,6.37398,2.90932,4.97391,-44.5503,3.9989,-0.22595,1.66922,-0.97491,70.07347,-9.176964,-4.12535,0.50149,,,,,,,,,,,,-1.46784,3.00177,-2.51393,50,6.23708,8.11574,-113.48523,-3.65374,-1.84479,27.77764,-28.40133,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250224-JimPatterson-1,65525ba0-f2ea-11ef-b70e-29ab4387a9e3,75.16087,,,8.69725,,,,,,,93e2277d-2299-4343-9bfc-9009f3620ac8,2025-02-24,20:03:20.11,2025-02-24T15:03:20.1118208-05:00,2025-02-24T20:03:20.1118208Z,,v3,471341,471491,23 February 2025 13:00-wmichigan@louisville,"Klein, Matt",702600,Right,LOU_CAR,01641cbc-cc66-4900-9cb1-142a61cb5b5c,55.51772,-114.82786,13.88882,6.3805,-2.28097,-14.20066,-2.90836,8.20491,-0.9224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-24,15:03:36.19,2,2,"Michael, Peter",813677,Right,LOU_CAR,"Harrity, Brendan",1000098365,Left,WMI_BRO,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.44329,0.105083,-3.872727,2301.008814,44.122571,7:30,6.42671,2.62428,4.89102,-49.86617,-1.14323,-3.00122,2.37083,-1.29482,70.24117,-8.938056,-4.40011,0.502387,,,,,,,,,,,,0.05059,0.02878,-2.24151,50,6.39585,7.78986,-113.15768,-1.60882,0.06369,26.29958,-32.13784,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250224-JimPatterson-1,6ee316a0-f2ea-11ef-b70e-29ab4387a9e3,75.02674,,,8.20212,,,,,,,93e2277d-2299-4343-9bfc-9009f3620ac8,2025-02-24,20:03:36.19,2025-02-24T15:03:36.1940992-05:00,2025-02-24T20:03:36.1940992Z,,v3,471341,471491,23 February 2025 13:00-wmichigan@louisville,"Klein, Matt",702600,Right,LOU_CAR,7fe30cc6-0549-430c-91c5-716eb6b14d7e,55.60243,-114.45236,13.14979,6.43611,-0.02672,-16.06892,-2.62491,7.78672,0.03185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-24,15:03:55.91,2,3,"Michael, Peter",813677,Right,LOU_CAR,"Harrity, Brendan",1000098365,Left,WMI_BRO,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.70533,1.137373,-3.719199,2262.20353,71.416811,8:30,6.38907,2.78817,4.88829,-45.82987,1.60677,-1.12146,3.64827,-0.82859,70.69942,-7.235617,-3.916094,0.495711,,,,,,,,,,,,-0.8624,1.0278,-2.42199,50,6.46339,7.51712,-114.86705,0.59914,-1.11363,27.91452,-30.84687,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250224-JimPatterson-1,7a9f3d20-f2ea-11ef-b70e-29ab4387a9e3,76.03717,,,9.00591,,,,,,,93e2277d-2299-4343-9bfc-9009f3620ac8,2025-02-24,20:03:55.91,2025-02-24T15:03:55.9160320-05:00,2025-02-24T20:03:55.9160320Z,,v3,471341,471491,23 February 2025 13:00-wmichigan@louisville,"Klein, Matt",702600,Right,LOU_CAR,d7fde18f-ae54-4250-ac7f-888c6883d223,55.60197,-116.22044,13.95726,6.39808,2.0947,-15.42344,-2.78776,7.57112,-0.55681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-24,15:04:15.57,2,4,"Michael, Peter",813677,Right,LOU_CAR,"Harrity, Brendan",1000098365,Left,WMI_BRO,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.92284,-1.488324,-3.817328,2429.153091,205.774663,12:45,6.39988,2.65236,5.21985,-14.01036,22.62871,10.19075,3.82959,-0.09282,79.63956,-4.227331,-2.017468,0.435656,,,,,,,,,,,,-6.38233,12.15674,-2.30731,50,6.25257,8.15555,-129.69961,-3.74412,-10.56114,34.34387,-12.05766,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250224-JimPatterson-1,865410a0-f2ea-11ef-b70e-29ab4387a9e3,86.51883,,,10.28328,,,,,,,93e2277d-2299-4343-9bfc-9009f3620ac8,2025-02-24,20:04:15.57,2025-02-24T15:04:15.5795968-05:00,2025-02-24T20:04:15.5795968Z,,v3,471341,471491,23 February 2025 13:00-wmichigan@louisville,"Klein, Matt",702600,Right,LOU_CAR,cf33c781-cf76-46ad-9c40-79a0c8c3cf14,55.27063,-131.08782,17.17194,6.39406,-3.25674,-6.02883,-2.64559,8.58244,-5.28057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-24,15:04:32.73,2,5,"Michael, Peter",813677,Right,LOU_CAR,"Harrity, Brendan",1000098365,Left,WMI_BRO,Undefined,1,Top,0,3,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,1,,89.97012,-1.987109,-3.249294,2355.361319,215.10386,1:15,6.46016,2.4183,5.31247,-17.70753,18.33367,11.92016,3.11569,0.3586,80.6858,-5.351899,-1.137094,0.432087,101.39167,17.490681,-31.202384,2059.625814,90.67591,25.12195,-62.27262,249.29747,249.29747,-37.863033,2.321611,-7.05016,10.22792,-2.13246,50,6.26756,6.83203,-130.06065,-5.08578,-11.85059,32.03069,-14.98198,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250224-JimPatterson-1,908a5a70-f2ea-11ef-b70e-29ab4387a9e3,87.23349,25.8563,,9.28431,,,,1.24149,3.09194,-0.28185,93e2277d-2299-4343-9bfc-9009f3620ac8,2025-02-24,20:04:32.73,2025-02-24T15:04:32.7344128-05:00,2025-02-24T20:04:32.7344128Z,LineDrive,v3,471341,471491,23 February 2025 13:00-wmichigan@louisville,"Klein, Matt",702600,Right,LOU_CAR,4d9db454-a35f-44c9-97eb-a1639cbfaa03,55.18335,-131.33098,16.01535,6.45748,-4.4916,-7.49099,-2.41274,7.30202,-5.92529,96.686033,1.24149,121.31472,-26.80397,7.62777,-1.93151,0.41227,-0.07325,0.00858,-0.00046,3.09194,44.69426,-24.23161,2.49573,-0.2947,0.00431,0.00787,-0.00133,5E-05,-0.28185,-73.47816,1.43939,2.05391,-1.00067,0.32511,-0.07707,0.01185,-0.00083,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-02-24,15:05:19.02,3,1,"Michael, Peter",813677,Right,LOU_CAR,"Nevar, Dylan",1000098371,Left,WMI_BRO,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.11064,0.029921,-2.883246,2351.395903,28.310237,7:00,6.48389,2.82237,4.91147,-60.68066,-11.18682,-6.94367,1.4555,-0.48495,70.49778,-10.846778,-4.108473,0.506346,,,,,,,,,,,,2.50591,-5.0624,-2.53445,50,6.4358,5.90681,-111.6532,-2.14757,3.1147,22.98786,-38.46633,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250224-JimPatterson-1,ac2eec00-f2ea-11ef-b70e-29ab4387a9e3,74.44014,,,6.61286,,,,,,,93e2277d-2299-4343-9bfc-9009f3620ac8,2025-02-24,20:05:19.02,2025-02-24T15:05:19.0246912-05:00,2025-02-24T20:05:19.0246912Z,,v3,471341,471491,23 February 2025 13:00-wmichigan@louisville,"Klein, Matt",702600,Right,LOU_CAR,070d52ca-fdf2-4bda-9485-6a8761a97e84,55.58925,-112.79808,11.49393,6.49506,-0.23181,-19.23316,-2.82477,5.75168,1.55735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-24,15:05:35.56,3,2,"Michael, Peter",813677,Right,LOU_CAR,"Nevar, Dylan",1000098371,Left,WMI_BRO,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.05834,2.33991,-1.638874,1471.400932,239.651228,2:00,6.2876,2.73786,5.64828,-32.19002,10.24784,14.96851,5.78972,2.45618,73.93113,-3.670584,1.03273,0.468865,,,,,,,,,,,,-7.96469,4.9237,-2.60791,50,6.46622,2.76535,-118.85182,3.81962,-11.25917,25.26757,-25.21372,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250224-JimPatterson-1,b5ff9630-f2ea-11ef-b70e-29ab4387a9e3,80.39078,,,8.1272,,,,,,,93e2277d-2299-4343-9bfc-9009f3620ac8,2025-02-24,20:05:35.56,2025-02-24T15:05:35.5676160-05:00,2025-02-24T20:05:35.5676160Z,,v3,471341,471491,23 February 2025 13:00-wmichigan@louisville,"Klein, Matt",702600,Right,LOU_CAR,cafbc5bb-acc5-42f3-a5c0-4febf53cf4d1,54.84566,-119.87757,12.63379,6.29039,4.84318,-12.60686,-2.72945,3.22242,-5.62959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-24,15:06:00.19,3,3,"Michael, Peter",813677,Right,LOU_CAR,"Nevar, Dylan",1000098371,Left,WMI_BRO,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.23664,-2.997169,-3.333776,2379.513906,210.293296,1:00,6.39964,2.58994,5.48334,-12.2139,24.0508,13.26469,2.57031,0.57268,80.39092,-5.388375,-0.976881,0.433425,,,,,,,,,,,,-7.64552,13.37115,-2.30625,50,6.12821,6.89865,-128.97805,-7.05045,-12.71891,29.93521,-9.93004,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250224-JimPatterson-1,c4afa850-f2ea-11ef-b70e-29ab4387a9e3,86.96425,,,8.84572,,,,,,,93e2277d-2299-4343-9bfc-9009f3620ac8,2025-02-24,20:06:00.19,2025-02-24T15:06:00.1915392-05:00,2025-02-24T20:06:00.1915392Z,,v3,471341,471491,23 February 2025 13:00-wmichigan@louisville,"Klein, Matt",702600,Right,LOU_CAR,0e8df9b7-626b-49f2-a41f-a6a80fed28a3,55.01116,-130.13592,14.96761,6.39349,-6.66636,-4.96502,-2.5826,7.3906,-6.35946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-24,15:06:14.61,3,4,"Michael, Peter",813677,Right,LOU_CAR,"Nevar, Dylan",1000098371,Left,WMI_BRO,Undefined,1,Top,0,2,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.4125,-0.426809,-2.299301,2397.661063,22.203,6:45,6.54187,2.49972,4.79396,-59.54318,-11.69733,-5.42445,1.17515,-0.1324,71.97584,-11.060947,-3.255946,0.497844,,,,,,,,,,,,1.95839,-5.16315,-2.26538,50,6.44715,4.78966,-113.61653,-3.08821,2.53135,22.98361,-38.84773,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250224-JimPatterson-1,cd4e6230-f2ea-11ef-b70e-29ab4387a9e3,75.71129,,,6.43667,,,,,,,93e2277d-2299-4343-9bfc-9009f3620ac8,2025-02-24,20:06:14.61,2025-02-24T15:06:14.6130944-05:00,2025-02-24T20:06:14.6130944Z,,v3,471341,471491,23 February 2025 13:00-wmichigan@louisville,"Klein, Matt",702600,Right,LOU_CAR,dcdaca33-aad2-4634-9f00-42bb6712e320,55.70717,-114.76523,11.4918,6.55297,-1.14663,-19.42387,-2.5016,4.66314,1.26567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
