PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-25,15:02:43.54,1,1,"Shaffner, Andrew",810836,Right,NOR_WOL,"Whitley, Aaron",1000249350,Right,RIC_SPI,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,Popup,Out,1,0,,93.44349,-2.141444,-1.674658,2421.058274,232.526463,1:45,5.68647,0.872,5.85599,-19.65761,12.35489,14.80761,2.05692,0.54958,85.62337,-5.820409,0.98215,0.407222,77.37628,78.458499,2.862229,,,,,36.96707,34.251,-11.004824,5.995058,-8.10552,7.22221,-0.74504,50,5.50104,3.32699,-135.68529,-5.74017,-15.12219,29.47766,-18.69983,NOR_WOL,RIC_SPI,DoakField,D1,ACC,20250225-DoakField-1,7e4ee550-f3b3-11ef-aca4-adbff6f7e253,92.55994,158.69303,,7.82013,,,,,,,a05fc79b-f7f3-4310-b78d-f4c5be4eb39f,2025-02-25,20:02:43.54,2025-02-25T15:02:43.5484160-05:00,2025-02-25T20:02:43.5484160Z,Popup,v3,471387,471420,25 February 2025 15:00-richmond@ncstate,"Sosa, Alex",806227,Right,NOR_WOL,a9491598-120d-490f-b667-3345a9a0aa8c,54.64476,-136.69064,14.73883,5.68593,-5.10241,-9.34991,-0.8673,3.84274,-7.5611,,6.56628,22.60967,-11.25036,3.1971,-0.48367,0.04309,-0.00435,0.00057,-3E-05,16.92609,111.01173,-27.05038,2.62723,-0.20332,-0.02176,0.0025,0.00041,-5E-05,-0.48721,1.10765,-1.50261,0.39595,-0.02178,-0.01201,0.00289,-0.00026,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-02-25,15:03:15.02,2,1,"Shaffner, Andrew",810836,Right,NOR_WOL,"Bernstein, Phillip",1000248956,Left,RIC_SPI,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.74619,-3.805759,-2.726708,2398.414201,232.593398,1:45,5.86581,0.86084,6.17873,-18.09721,13.70099,16.48564,0.83401,-0.28531,85.30179,-7.227566,0.247211,0.405857,,,,,,,,,,,,-9.34245,8.55567,-0.66283,50,5.56836,5.75939,-135.77088,-9.59762,-17.3118,31.74565,-16.32016,NOR_WOL,RIC_SPI,DoakField,D1,ACC,20250225-DoakField-1,9116c9a0-f3b3-11ef-aca4-adbff6f7e253,92.87131,,,8.4444,,,,,,,a05fc79b-f7f3-4310-b78d-f4c5be4eb39f,2025-02-25,20:03:15.02,2025-02-25T15:03:15.0269952-05:00,2025-02-25T20:03:15.0269952Z,,v3,471387,471420,25 February 2025 15:00-richmond@ncstate,"Sosa, Alex",806227,Right,NOR_WOL,8e8613f2-a637-45f0-a09b-aa658f4ee4c4,54.32008,-136.77726,15.87283,5.86442,-9.08025,-8.16008,-0.85411,6.3082,-8.6559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-25,15:03:28.79,2,2,"Shaffner, Andrew",810836,Right,NOR_WOL,"Bernstein, Phillip",1000248956,Left,RIC_SPI,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.21498,-0.766625,-1.515925,2383.495208,233.733059,1:45,5.76139,1.01802,5.75215,-20.3669,11.74926,14.71375,3.35019,0.83262,85.66107,-4.568327,1.118253,0.407881,,,,,,,,,,,,-7.8815,6.48052,-0.90122,50,5.68533,2.92488,-135.45973,-2.52013,-14.73348,27.90287,-20.05952,NOR_WOL,RIC_SPI,DoakField,D1,ACC,20250225-DoakField-1,994646f0-f3b3-11ef-aca4-adbff6f7e253,92.41042,,,7.5539,,,,,,,a05fc79b-f7f3-4310-b78d-f4c5be4eb39f,2025-02-25,20:03:28.79,2025-02-25T15:03:28.7974400-05:00,2025-02-25T20:03:28.7974400Z,,v3,471387,471420,25 February 2025 15:00-richmond@ncstate,"Sosa, Alex",806227,Right,NOR_WOL,41d6cfd5-0f25-4fc2-a208-88c60156f79d,54.74756,-136.43415,13.95143,5.76111,-1.81961,-10.02976,-1.01235,3.43941,-7.36674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-25,15:03:43.14,2,3,"Shaffner, Andrew",810836,Right,NOR_WOL,"Bernstein, Phillip",1000248956,Left,RIC_SPI,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.76591,-3.022355,-1.599936,2425.717337,228.895881,1:45,5.71862,0.9769,5.66457,-18.66426,13.36579,14.17272,1.34135,0.66571,86.06366,-6.501592,0.93415,0.407334,,,,,,,,,,,,-7.62717,7.91028,-0.85075,50,5.45115,3.15439,-136.01618,-7.82915,-14.3293,29.03349,-17.31282,NOR_WOL,RIC_SPI,DoakField,D1,ACC,20250225-DoakField-1,a1dc7550-f3b3-11ef-aca4-adbff6f7e253,92.53455,,,7.70225,,,,,,,a05fc79b-f7f3-4310-b78d-f4c5be4eb39f,2025-02-25,20:03:43.14,2025-02-25T15:03:43.1462912-05:00,2025-02-25T20:03:43.1462912Z,,v3,471387,471420,25 February 2025 15:00-richmond@ncstate,"Sosa, Alex",806227,Right,NOR_WOL,6a830bc0-1ce0-48b7-94b7-4ab817d6a957,54.83481,-137.04432,14.51675,5.71754,-7.21607,-8.65641,-0.97144,3.66182,-7.16465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-25,15:03:57.03,2,4,"Shaffner, Andrew",810836,Right,NOR_WOL,"Bernstein, Phillip",1000248956,Left,RIC_SPI,Undefined,1,Top,1,3,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,93.41922,-1.279525,-1.348613,2395.890646,234.433501,1:45,5.72419,0.94889,6.11345,-21.41611,10.01032,12.74764,2.75592,0.76401,86.26373,-5.279922,0.949887,0.403477,102.67826,-3.394749,-22.725311,,,,,29.97902,29.97902,-23.96804,0.195248,-6.97457,5.77457,-0.85224,50,5.61469,2.66915,-135.88413,-3.75015,-13.16077,27.20434,-21.27765,NOR_WOL,RIC_SPI,DoakField,D1,ACC,20250225-DoakField-1,aa2016e0-f3b3-11ef-aca4-adbff6f7e253,93.41903,2.68031,,7.15549,,,,1.35314,2.68031,-0.72271,a05fc79b-f7f3-4310-b78d-f4c5be4eb39f,2025-02-25,20:03:57.03,2025-02-25T15:03:57.0359808-05:00,2025-02-25T20:03:57.0359808Z,GroundBall,v3,471387,471420,25 February 2025 15:00-richmond@ncstate,"Sosa, Alex",806227,Right,NOR_WOL,5ffe10e5-9534-4f0f-b09c-efe4ba26f5d4,54.38789,-136.75977,13.60217,5.72437,-3.06527,-10.63883,-0.94497,3.09277,-6.58039,53.590303,1.3545,138.5678,-26.67499,,,,,,,2.6818,-9.01862,-24.19581,,,,,,,-0.72185,-58.1329,-2.80527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-25,15:04:29.95,3,1,"Shaffner, Andrew",810836,Right,NOR_WOL,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.92089,0.948087,-0.708334,2470.286077,110.861957,9:45,5.65673,0.90192,5.44322,-36.94081,5.48087,-10.84193,3.46619,-0.66483,74.85847,-5.842622,-2.637991,0.468776,,,,,,,,,,,,5.24638,2.90177,-0.83165,50,5.71521,1.91708,-118.90291,0.69827,7.49036,23.37743,-28.03114,NOR_WOL,RIC_SPI,DoakField,D1,ACC,20250225-DoakField-1,bdc34000-f3b3-11ef-aca4-adbff6f7e253,80.40609,,,7.06242,,,,,,,a05fc79b-f7f3-4310-b78d-f4c5be4eb39f,2025-02-25,20:04:29.95,2025-02-25T15:04:29.9559936-05:00,2025-02-25T20:04:29.9559936Z,,v3,471387,471420,25 February 2025 15:00-richmond@ncstate,"Sosa, Alex",806227,Right,NOR_WOL,f7dbc6b6-18c1-4646-ba05-cf0d6e2bc815,55.05512,-119.89267,11.68872,5.66052,1.88506,-14.01557,-0.9061,1.59995,3.74518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-25,15:04:44.63,3,2,"Shaffner, Andrew",810836,Right,NOR_WOL,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.45466,-2.718602,-3.676078,2493.201525,235.619998,1:45,5.76486,0.50034,5.98592,-20.46241,11.27075,15.10493,1.53285,-1.65275,86.22685,-6.532188,-0.965223,0.405441,,,,,,,,,,,,-8.68591,6.77142,-0.21817,50,5.53833,8.05422,-135.53523,-7.13824,-16.30891,27.01372,-19.45983,NOR_WOL,RIC_SPI,DoakField,D1,ACC,20250225-DoakField-1,c6856060-f3b3-11ef-aca4-adbff6f7e253,92.96642,,,7.2278,,,,,,,a05fc79b-f7f3-4310-b78d-f4c5be4eb39f,2025-02-25,20:04:44.63,2025-02-25T15:04:44.6391296-05:00,2025-02-25T20:04:44.6391296Z,,v3,471387,471420,25 February 2025 15:00-richmond@ncstate,"Sosa, Alex",806227,Right,NOR_WOL,e67bff7c-7492-445a-811c-bf4ea978070a,54.51457,-136.43206,13.50686,5.76459,-6.49219,-9.72992,-0.49455,8.59566,-8.15446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-25,15:05:03.96,3,3,"Shaffner, Andrew",810836,Right,NOR_WOL,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,2,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.42123,-1.918015,-0.805715,2393.676124,227.170312,1:30,5.9091,0.44753,5.80022,-18.34347,14.37517,14.42229,2.59572,0.89996,84.80499,-5.360287,1.779474,0.411689,82.645,-13.325119,-51.987719,,,,,13.34076,13.23639,-47.459721,0.096519,-7.62445,8.17563,-0.39025,50,5.74057,1.26269,-134.2602,-5.09995,-13.95251,28.37171,-17.21292,NOR_WOL,RIC_SPI,DoakField,D1,ACC,20250225-DoakField-1,d2047de0-f3b3-11ef-aca4-adbff6f7e253,91.55567,2.70343,,7.61624,,,,1.99073,2.70343,-0.83668,a05fc79b-f7f3-4310-b78d-f4c5be4eb39f,2025-02-25,20:05:03.96,2025-02-25T15:05:03.9697920-05:00,2025-02-25T20:05:03.9697920Z,GroundBall,v3,471387,471420,25 February 2025 15:00-richmond@ncstate,"Sosa, Alex",806227,Right,NOR_WOL,7f76676e-a167-446f-89a2-7be1ebfdadb8,54.7001,-135.24978,14.18585,5.90798,-4.49958,-8.60646,-0.44278,1.74934,-6.97626,180,1.9878,72.82583,,,,,,,,2.70456,-28.00935,,,,,,,,-0.83292,-93.17164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,Low,Low,,,
9,2025-02-25,15:05:23.57,3,4,"Shaffner, Andrew",810836,Right,NOR_WOL,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.69293,-1.609029,-1.61365,2377.881947,223.04769,1:30,5.91909,0.68379,5.8977,-15.93044,15.37674,13.38812,3.09677,0.30098,86.08329,-4.64002,0.789358,0.402711,70.31175,39.661322,147.894366,5619.274103,,,,,50.49793,,,-7.35933,8.66796,-0.56178,50,5.78054,3.27644,-137.4436,-4.36329,-13.99521,32.12702,-15.69025,NOR_WOL,RIC_SPI,DoakField,D1,ACC,20250225-DoakField-1,ddb16220-f3b3-11ef-aca4-adbff6f7e253,93.59675,36.38993,,8.60964,,,,1.04442,2.97261,-0.38026,a05fc79b-f7f3-4310-b78d-f4c5be4eb39f,2025-02-25,20:05:23.57,2025-02-25T15:05:23.5789312-05:00,2025-02-25T20:05:23.5789312Z,,v3,471387,471420,25 February 2025 15:00-richmond@ncstate,"Sosa, Alex",806227,Right,NOR_WOL,f892704d-fed6-409f-8c9d-1896ef3e9839,54.60139,-138.51499,16.06351,5.91732,-3.84005,-7.84513,-0.67883,3.74316,-6.99761,309.966028,1.04442,-67.24676,1.60032,0.70813,-0.16651,-0.3004,0.57951,-0.48315,0.16286,2.97261,65.81861,-27.51312,3.44097,-0.71048,0.05138,0.11755,-0.1141,0.03948,-0.38026,42.19337,-12.76606,2.91366,-0.54901,-0.18009,0.45462,-0.38722,0.1309,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2025-02-25,15:05:48.36,3,5,"Shaffner, Andrew",810836,Right,NOR_WOL,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,2,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,82.44841,1.101308,0.290214,2632.043313,74.263325,8:30,5.77165,0.66227,5.17434,-46.04861,-3.06559,-16.47048,2.97075,-0.43717,74.31478,-7.299882,-2.630009,0.471867,98.55067,33.80554,-11.042019,3254.073245,108.35165,71.24039,-18.97071,362.91801,362.91801,-9.859498,5.573567,8.35725,-1.50862,-0.67592,50,5.83896,0.09423,-119.46789,0.60275,11.83284,27.37737,-34.31005,NOR_WOL,RIC_SPI,DoakField,D1,ACC,20250225-DoakField-1,ec817f60-f3b3-11ef-aca4-adbff6f7e253,79.87935,104.60119,,8.13363,,,,1.88327,3.03261,0.41842,a05fc79b-f7f3-4310-b78d-f4c5be4eb39f,2025-02-25,20:05:48.36,2025-02-25T15:05:48.3615744-05:00,2025-02-25T20:05:48.3615744Z,FlyBall,v3,471387,471420,25 February 2025 15:00-richmond@ncstate,"Sosa, Alex",806227,Right,NOR_WOL,290ca645-b5ee-4623-94b0-3dd95ab6b6cb,55.32502,-120.68201,13.68868,5.77849,2.12431,-17.15502,-0.66846,-0.43053,5.91642,186.882833,1.88876,117.78047,-24.48898,5.65122,-0.98131,0.12346,-0.01172,0.00095,-5E-05,3.03094,80.43871,-17.69879,0.69609,0.1316,-0.10818,0.03049,-0.00397,0.00019,0.41676,-22.97188,6.58565,-1.91424,0.40903,-0.0637,0.00668,-0.00044,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
