PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-25,15:11:43.84,1,1,"Clancy, Kody",10084475,Right,NAV_MID,"Salva, Guriyandel",1000389488,Left,MAN_JAS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.8289,-1.220707,-1.207095,2167.268275,201.186329,12:45,5.52961,1.61138,5.59696,-14.54127,20.69088,7.46327,3.17771,1.10615,80.6157,-4.061195,0.124669,0.427209,,,,,,,,,,,,-4.14988,11.23288,-1.5126,50,5.41587,2.41399,-131.38545,-3.17908,-7.04782,35.20349,-13.09715,NAV_MID,MAN_JAS,USNavalAcademy,D1,PAT,20250225-USNavalAcademy-1,bda71000-f3b4-11ef-b3f4-7b98c1caedc1,88.2294,,,10.21321,,,,,,,342b3f2a-3f05-4e7e-827c-654ce1150a83,2025-02-25,20:11:43.84,2025-02-25T15:11:43.8477312-05:00,2025-02-25T20:11:43.8477312Z,,v3,471474,471345,,"DePerno, Ty",10277636,Right,NAV_MID,6d706111-a3b2-4c24-9f63-f7f1dffb5874,54.89451,-132.69041,17.60174,5.52472,-2.69358,-6.54858,-1.60693,2.67524,-3.52391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-25,15:11:54.82,1,2,"Clancy, Kody",10084475,Right,NAV_MID,"Salva, Guriyandel",1000389488,Left,MAN_JAS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.65516,-0.964844,-1.648059,2325.918835,197.202884,12:30,5.68488,1.18881,5.91761,-15.49635,19.94084,5.75563,3.49764,0.13854,80.22437,-3.978244,-0.615168,0.428451,,,,,,,,,,,,-3.47492,10.87835,-1.05987,50,5.5988,3.48222,-129.88537,-2.5883,-5.81214,32.5036,-13.97893,NAV_MID,MAN_JAS,USNavalAcademy,D1,PAT,20250225-USNavalAcademy-1,c425a900-f3b4-11ef-b3f4-7b98c1caedc1,87.97376,,,9.43079,,,,,,,342b3f2a-3f05-4e7e-827c-654ce1150a83,2025-02-25,20:11:54.82,2025-02-25T15:11:54.8229120-05:00,2025-02-25T20:11:54.8229120Z,,v3,471474,471345,,"DePerno, Ty",10277636,Right,NAV_MID,5808b403-1422-4f33-9479-089e06d84e1d,54.57645,-131.02562,16.2518,5.68099,-2.09792,-6.98946,-1.1856,3.68612,-2.90607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-25,15:12:08.61,1,3,"Clancy, Kody",10084475,Right,NAV_MID,"Salva, Guriyandel",1000389488,Left,MAN_JAS,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.89854,-0.471218,-0.508692,2408.139907,201.943727,12:45,5.68897,1.39888,5.58726,-13.8993,21.45422,8.04469,4.09064,1.59424,80.21925,-3.212193,0.926741,0.427945,,,,,,,,,,,,-4.2039,11.36512,-1.36035,50,5.63995,0.78556,-131.46293,-1.42585,-7.1063,36.70762,-12.96228,NAV_MID,MAN_JAS,USNavalAcademy,D1,PAT,20250225-USNavalAcademy-1,cc6b1f50-f3b4-11ef-b3f4-7b98c1caedc1,88.07784,,,10.67929,,,,,,,342b3f2a-3f05-4e7e-827c-654ce1150a83,2025-02-25,20:12:08.61,2025-02-25T15:12:08.6170112-05:00,2025-02-25T20:12:08.6170112Z,,v3,471474,471345,,"DePerno, Ty",10277636,Right,NAV_MID,ff743e19-1147-4cfa-bc8f-a7110d88d341,54.90395,-132.82517,18.35381,5.68394,-0.94482,-6.48114,-1.3944,1.04928,-3.55315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-25,15:12:19.69,1,4,"Clancy, Kody",10084475,Right,NAV_MID,"Salva, Guriyandel",1000389488,Left,MAN_JAS,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.18162,-1.861107,-1.103929,2228.256006,208.126457,1:00,5.65089,1.4519,5.44503,-15.11954,20.88371,10.368,2.64744,1.28217,80.01029,-4.799253,0.741262,0.431859,,,,,,,,,,,,-5.58693,11.56981,-1.36164,50,5.4767,2.02743,-130.39839,-4.65703,-9.32911,35.13232,-12.85475,NAV_MID,MAN_JAS,USNavalAcademy,D1,PAT,20250225-USNavalAcademy-1,d2fb4480-f3b4-11ef-b3f4-7b98c1caedc1,87.27945,,,10.17133,,,,,,,342b3f2a-3f05-4e7e-827c-654ce1150a83,2025-02-25,20:12:19.69,2025-02-25T15:12:19.6997120-05:00,2025-02-25T20:12:19.6997120Z,,v3,471474,471345,,"DePerno, Ty",10277636,Right,NAV_MID,78814844-f97d-45ff-b5cb-463c9dc89ee7,55.04855,-131.75156,17.56616,5.64654,-4.16191,-6.42737,-1.44665,2.38675,-4.66456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-25,15:12:31.98,1,5,"Clancy, Kody",10084475,Right,NAV_MID,"Salva, Guriyandel",1000389488,Left,MAN_JAS,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.96418,-1.915024,-2.370415,2444.631413,197.577332,12:30,5.6576,1.4955,6.18311,-14.32457,21.55793,6.37217,2.69335,-0.16361,79.21777,-4.741844,-1.221968,0.431134,94.76844,21.918162,18.29315,1762.916174,104.8956,37.25816,33.11887,305.98745,303.4991,15.861829,3.535148,-4.17567,12.27757,-1.31973,50,5.50586,5.07264,-128.82039,-4.64206,-6.81695,33.85867,-12.1305,NAV_MID,MAN_JAS,USNavalAcademy,D1,PAT,20250225-USNavalAcademy-1,da579350-f3b4-11ef-b3f4-7b98c1caedc1,87.4262,44.2669,,9.74641,,,,1.56835,2.71168,0.16714,342b3f2a-3f05-4e7e-827c-654ce1150a83,2025-02-25,20:12:31.98,2025-02-25T15:12:31.9803904-05:00,2025-02-25T20:12:31.9803904Z,LineDrive,v3,471474,471345,,"DePerno, Ty",10277636,Right,NAV_MID,16dd6312-f046-4517-bd5f-61ba8aca9bae,54.3137,-129.94924,16.92933,5.65388,-4.23763,-6.06525,-1.49264,5.29992,-3.40847,167.437774,1.56833,122.42669,-20.21196,4.25865,-0.6114,-0.01783,0.03458,-0.00751,0.00058,2.71181,51.88512,-18.23591,2.0124,-0.84069,0.35207,-0.09913,0.01584,-0.00107,0.16731,40.46981,-8.13686,1.71828,-0.40318,0.09393,-0.01693,0.00173,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-25,15:13:02.67,2,1,"Clancy, Kody",10084475,Right,NAV_MID,"Mayer, Dylan",1000270958,Left,MAN_JAS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.37771,-1.257848,-2.574631,2338.788601,199.515767,12:45,5.72167,1.44927,5.99141,-12.76461,21.77611,7.19685,3.49087,-0.33866,80.60334,-3.808034,-1.282618,0.422997,,,,,,,,,,,,-4.61406,11.97237,-1.24984,50,5.61532,5.60936,-132.09572,-3.16801,-7.86883,37.25586,-11.75624,NAV_MID,MAN_JAS,USNavalAcademy,D1,PAT,20250225-USNavalAcademy-1,eca78880-f3b4-11ef-b3f4-7b98c1caedc1,89.10805,,,10.77436,,,,,,,342b3f2a-3f05-4e7e-827c-654ce1150a83,2025-02-25,20:13:02.67,2025-02-25T15:13:02.6724352-05:00,2025-02-25T20:13:02.6724352Z,,v3,471474,471345,,"DePerno, Ty",10277636,Right,NAV_MID,805ea1f7-4a78-42bf-88e2-3f7bf7b32f79,54.49945,-133.35869,18.62793,5.71596,-2.76947,-5.87812,-1.44451,5.87611,-3.93441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-25,15:13:13.97,2,2,"Clancy, Kody",10084475,Right,NAV_MID,"Mayer, Dylan",1000270958,Left,MAN_JAS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.98977,-2.566301,-2.638805,2348.057882,199.499544,12:45,5.70737,1.33864,5.75824,-13.98509,21.13348,6.95729,2.14903,-0.5396,80.54971,-5.313832,-1.395178,0.42652,,,,,,,,,,,,-4.50634,12.09383,-1.12396,50,5.48622,5.73978,-131.43406,-6.24521,-7.62422,36.36478,-11.71273,NAV_MID,MAN_JAS,USNavalAcademy,D1,PAT,20250225-USNavalAcademy-1,f35e6f90-f3b4-11ef-b3f4-7b98c1caedc1,88.37196,,,10.44006,,,,,,,342b3f2a-3f05-4e7e-827c-654ce1150a83,2025-02-25,20:13:13.97,2025-02-25T15:13:13.9712000-05:00,2025-02-25T20:13:13.9712000Z,,v3,471474,471345,,"DePerno, Ty",10277636,Right,NAV_MID,948798a7-ca1b-495a-89a2-e12a08db3e75,54.73499,-132.73766,18.18239,5.70257,-5.82533,-5.85637,-1.33462,6.01309,-3.81211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-25,15:13:24.35,2,3,"Clancy, Kody",10084475,Right,NAV_MID,"Mayer, Dylan",1000270958,Left,MAN_JAS,Undefined,1,Top,1,0,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Error,0,0,,90.21377,-1.354736,-2.277958,2291.378284,200.186848,12:45,5.7477,1.04625,5.73507,-15.04528,20.48859,7.00284,3.23112,-0.49261,80.14732,-4.291397,-1.02626,0.429035,94.94635,38.012294,-26.190938,4002.217544,95.60866,81.8064,-54.39609,350.18742,210.81279,-36.618071,5.641415,-4.39335,11.31445,-0.86082,50,5.62607,4.88064,-130.52068,-3.49053,-7.35854,34.90509,-13.22322,NAV_MID,MAN_JAS,USNavalAcademy,D1,PAT,20250225-USNavalAcademy-1,f994b4f0-f3b4-11ef-b3f4-7b98c1caedc1,87.85398,112.15933,,10.06645,,,,,,,342b3f2a-3f05-4e7e-827c-654ce1150a83,2025-02-25,20:13:24.35,2025-02-25T15:13:24.3591680-05:00,2025-02-25T20:13:24.3591680Z,FlyBall,v3,471474,471345,,"DePerno, Ty",10277636,Right,NAV_MID,5063003b-f919-425d-bf31-71cfeb6ffd7b,54.76027,-131.78757,17.45255,5.74405,-3.01059,-6.61161,-1.04281,5.14772,-3.67927,154.927464,2.73275,98.28985,-22.70463,5.09627,-0.67034,-0.00234,0.01653,-0.00224,0.0001,5.28802,85.82329,-20.01726,1.52391,-0.18619,-0.01946,0.01585,-0.0027,0.00015,-0.82879,-48.40902,3.65672,-0.32691,-0.06564,0.03683,-0.00737,0.00071,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2025-02-25,15:14:09.33,3,1,"Clancy, Kody",10084475,Right,NAV_MID,"Lewis, Andreaus",701475,Left,MAN_JAS,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.35138,0.697108,-1.117583,2343.490656,139.856414,10:45,5.69284,1.61841,5.38873,-36.7975,9.09048,-5.97953,3.27992,0.0725,70.79314,-6.176182,-2.180599,0.487552,,,,,,,,,,,,2.5139,4.87229,-1.51434,50,5.73031,2.52101,-116.05631,0.19933,3.29158,29.79755,-25.79452,NAV_MID,MAN_JAS,USNavalAcademy,D1,PAT,20250225-USNavalAcademy-1,14672970-f3b5-11ef-b3f4-7b98c1caedc1,77.3096,,,9.55824,,,,,,,342b3f2a-3f05-4e7e-827c-654ce1150a83,2025-02-25,20:14:09.33,2025-02-25T15:14:09.3335552-05:00,2025-02-25T20:14:09.3335552Z,,v3,471474,471345,,"DePerno, Ty",10277636,Right,NAV_MID,6a6bf9c7-0e1f-44f9-ab7b-11a7ca134c6f,55.10128,-117.35875,14.89877,5.69696,1.32681,-12.89726,-1.62139,2.37714,1.64579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-25,15:14:24.00,3,2,"Clancy, Kody",10084475,Right,NAV_MID,"Lewis, Andreaus",701475,Left,MAN_JAS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.45054,-1.924264,-3.908274,2244.361449,204.002075,12:45,5.70424,1.5433,5.89188,-16.23438,20.00233,8.22075,2.55987,-1.40609,79.09848,-5.092164,-2.438253,0.433257,,,,,,,,,,,,-5.73902,11.42288,-1.2329,50,5.54005,8.47542,-129.17846,-4.78148,-9.3568,35.70695,-13.55039,NAV_MID,MAN_JAS,USNavalAcademy,D1,PAT,20250225-USNavalAcademy-1,1d199260-f3b5-11ef-b3f4-7b98c1caedc1,86.99786,,,10.35206,,,,,,,342b3f2a-3f05-4e7e-827c-654ce1150a83,2025-02-25,20:14:24.00,2025-02-25T15:14:24.0034816-05:00,2025-02-25T20:14:24.0034816Z,,v3,471474,471345,,"DePerno, Ty",10277636,Right,NAV_MID,ec9f7547-10eb-4e0d-b296-f2263b186602,54.60439,-130.44498,17.85348,5.70113,-4.30085,-6.77519,-1.53941,8.8073,-4.6784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
