PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-26,14:06:45.03,1,1,"Yarberry, Jackson",830352,Right,IU,"Hendrickson, Carter",1000113446,Right,XAV_MUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.99704,-1.951429,-2.147235,1972.065096,181.509772,12:00,6.17221,1.05588,7.05451,-17.51505,14.88607,0.36457,2.93846,-0.86471,83.02555,-5.333293,-2.080405,0.409686,76.1761,40.906145,158.395465,3886.831751,,,,,63.09586,,,-0.82654,8.87351,-0.92658,50,6.04849,4.94625,-132.26782,-4.92732,-1.45635,29.62455,-16.53867,IU,XAV_MUS,Bart Kaufman Field,D1,BIG10,20250226-Bart Kaufman Field-1,d26ff130-f474-11ef-927e-916ae9cab3ee,92.00317,43.27397,,7.97149,,,,1.13841,2.78218,0.7785,e6137727-20b2-4acf-8a6d-3e94369ec588,2025-02-26,19:06:45.03,2025-02-26T14:06:45.0344960-05:00,2025-02-26T19:06:45.0344960Z,,v3,4866,471497,,"Schuyler, T.J.",814104,Right,IU,25a52336-2bb8-497b-a8b3-5a40c8057e9d,53.44346,-133.03683,14.81227,6.17083,-4.498,-8.26934,-1.05547,4.98405,-0.72817,330.325557,1.13841,-78.50812,4.15301,0.79743,0.42021,-1.31559,1.43775,-0.80179,0.18585,2.78218,73.15889,-32.13063,4.55248,0.17618,-1.88843,1.99973,-1.05614,0.22969,0.7785,31.09053,-8.59868,0.66254,-0.08323,0.09889,-0.15918,0.11281,-0.03188,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,High,Undefined,,,
2,2025-02-26,14:07:02.88,1,2,"Yarberry, Jackson",830352,Right,IU,"Hendrickson, Carter",1000113446,Right,XAV_MUS,Undefined,1,Top,0,0,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.87443,-0.132548,-0.693536,2127.648556,148.91687,11:00,6.11269,1.21707,6.32133,-28.58966,10.38674,-5.53733,3.60813,0.11687,76.90834,-5.499101,-1.695707,0.449337,77.19143,58.699595,-162.048746,4250.240596,,,,,46.43555,,,2.70929,5.80347,-1.16381,50,6.08931,1.67907,-121.97031,-1.11448,4.0813,23.99205,-23.43166,IU,XAV_MUS,Bart Kaufman Field,D1,BIG10,20250226-Bart Kaufman Field-1,dd207410-f474-11ef-927e-916ae9cab3ee,83.88454,62.21452,,6.9661,,,,1.84135,3.81717,-0.15813,e6137727-20b2-4acf-8a6d-3e94369ec588,2025-02-26,19:07:02.88,2025-02-26T14:07:02.8834304-05:00,2025-02-26T19:07:02.8834304Z,,v3,4866,471497,,"Schuyler, T.J.",814104,Right,IU,33d68a40-ee51-42e3-aa9c-f0b78e99ad2f,54.17711,-122.78922,11.99603,6.1137,-0.3147,-11.71583,-1.21874,1.53977,2.04065,12.313725,1.84135,-55.95424,-0.81921,1.91667,-0.54387,-0.04414,0.22367,-0.15676,0.04171,3.81717,96.73618,-36.26822,5.73621,-1.24435,0.14106,0.10146,-0.08786,0.02417,-0.15813,-18.128,4.449,-0.70647,0.11799,-0.01649,0.00296,-0.0006,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2025-02-26,14:07:24.97,1,3,"Yarberry, Jackson",830352,Right,IU,"Hendrickson, Carter",1000113446,Right,XAV_MUS,Undefined,1,Top,0,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.91336,-2.930432,-4.334496,2139.010231,236.096747,1:45,6.02419,1.28416,6.63846,-31.57482,4.86666,5.40988,0.7003,-2.24054,79.41326,-8.820613,-3.352232,0.43448,,,,,,,,,,,,-4.17772,3.82158,-0.99306,50,5.81301,9.34067,-125.85107,-7.39293,-6.64027,27.67739,-26.09989,IU,XAV_MUS,Bart Kaufman Field,D1,BIG10,20250226-Bart Kaufman Field-1,ea45c780-f474-11ef-927e-916ae9cab3ee,86.75307,,,7.5001,,,,,,,e6137727-20b2-4acf-8a6d-3e94369ec588,2025-02-26,19:07:24.97,2025-02-26T14:07:24.9733120-05:00,2025-02-26T19:07:24.9733120Z,,v3,4866,471497,,"Schuyler, T.J.",814104,Right,IU,0adc0bd3-2c60-4682-ad61-8b871d1e9dc7,53.85919,-126.69694,13.83869,6.02676,-6.59526,-13.04994,-1.28163,9.54361,-3.32013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-26,14:07:47.57,1,4,"Yarberry, Jackson",830352,Right,IU,"Hendrickson, Carter",1000113446,Right,XAV_MUS,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.93671,-0.949973,-1.37676,2228.978456,358.680009,6:00,6.10266,1.08738,5.96151,-46.79408,-5.26055,0.15098,1.32196,-0.17688,75.52436,-9.515054,-1.34955,0.463843,,,,,,,,,,,,-0.47209,-2.07362,-0.97826,50,6.0011,2.85593,-119.06757,-3.51821,-0.67575,23.47666,-35.14233,IU,XAV_MUS,Bart Kaufman Field,D1,BIG10,20250226-Bart Kaufman Field-1,f7c1ed80-f474-11ef-927e-916ae9cab3ee,81.26123,,,6.41235,,,,,,,e6137727-20b2-4acf-8a6d-3e94369ec588,2025-02-26,19:07:47.57,2025-02-26T14:07:47.5757056-05:00,2025-02-26T19:07:47.5757056Z,,v3,4866,471497,,"Schuyler, T.J.",814104,Right,IU,71e2b83f-5bd5-4685-9dca-06ebdd3ff97e,54.5384,-119.95907,11.73833,6.10936,-2.18371,-17.57117,-1.08719,2.88159,-0.33787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-26,14:08:20.99,2,1,"Yarberry, Jackson",830352,Right,IU,"Anderson, Aedan",811772,Right,XAV_MUS,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.02421,-0.352094,-1.8313,2157.935246,9.133934,6:15,6.13818,1.2668,6.1481,-45.54514,-3.60768,-0.77791,2.01724,-0.49071,74.98135,-8.72438,-1.971823,0.466093,,,,,,,,,,,,-0.08839,-1.37634,-1.12709,50,6.08816,3.79548,-117.81427,-2.16739,-0.12468,21.64798,-34.11529,IU,XAV_MUS,Bart Kaufman Field,D1,BIG10,20250226-Bart Kaufman Field-1,0bb5a7a0-f475-11ef-927e-916ae9cab3ee,80.86894,,,6.04287,,,,,,,e6137727-20b2-4acf-8a6d-3e94369ec588,2025-02-26,19:08:20.99,2025-02-26T14:08:20.9983488-05:00,2025-02-26T19:08:20.9983488Z,,v3,4866,471497,,"Schuyler, T.J.",814104,Right,IU,fb893d73-b35d-4d92-9884-b2458ff98d1e,54.35162,-118.61117,10.82399,6.14484,-0.91154,-17.05764,-1.2669,3.80007,-0.06234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-26,14:08:37.97,2,2,"Yarberry, Jackson",830352,Right,IU,"Anderson, Aedan",811772,Right,XAV_MUS,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.1065,-0.609457,0.019846,2171.433246,43.480873,7:30,6.11228,1.1723,6.21214,-46.40207,-4.71992,-5.92489,1.68297,0.69688,74.30762,-9.198949,-1.05334,0.464672,,,,,,,,,,,,3.06969,-1.76599,-1.17099,50,6.04411,0.18366,-119.17797,-2.75091,4.31863,27.56362,-34.65852,IU,XAV_MUS,Bart Kaufman Field,D1,BIG10,20250226-Bart Kaufman Field-1,15c97550-f475-11ef-927e-916ae9cab3ee,81.11624,,,7.79888,,,,,,,e6137727-20b2-4acf-8a6d-3e94369ec588,2025-02-26,19:08:37.97,2025-02-26T14:08:37.9757568-05:00,2025-02-26T19:08:37.9757568Z,,v3,4866,471497,,"Schuyler, T.J.",814104,Right,IU,66647367-7ab4-4ec3-9104-b394f00bb78a,54.2846,-120.16484,13.78181,6.12039,-1.51003,-17.32926,-1.1748,0.02904,2.15931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-26,14:08:54.56,2,3,"Yarberry, Jackson",830352,Right,IU,"Anderson, Aedan",811772,Right,XAV_MUS,Undefined,1,Top,1,1,1,Cutter,Cutter,InPlay,Undefined,LineDrive,HomeRun,0,1,,84.99038,-0.85044,-1.085521,2096.789174,163.648129,11:30,6.064,1.34161,6.3313,-29.5625,7.57855,-1.96197,2.81718,0.17845,79.71712,-6.327433,-1.440812,0.43863,108.0969,18.592518,-25.326252,1938.672779,98.18353,33.48257,-49.59643,352.58348,340.80496,-31.184242,3.556221,0.80134,4.41902,-1.26159,50,5.98769,2.41695,-123.82685,-2.73688,1.27376,19.21062,-25.14976,IU,XAV_MUS,Bart Kaufman Field,D1,BIG10,20250226-Bart Kaufman Field-1,1fb28980-f475-11ef-927e-916ae9cab3ee,85.93218,43.76059,,5.27326,,,,0.60482,2.67686,0.09071,e6137727-20b2-4acf-8a6d-3e94369ec588,2025-02-26,19:08:54.56,2025-02-26T14:08:54.5655296-05:00,2025-02-26T19:08:54.5655296Z,LineDrive,v3,4866,471497,,"Schuyler, T.J.",814104,Right,IU,83fed104-aaa2-4a47-8308-edbb6838be99,54.16947,-124.47203,9.60531,6.06543,-1.89224,-12.57488,-1.34205,2.37417,0.63688,,0.60488,135.8178,-26.73977,6.07475,-1.12012,0.13064,-0.00159,-0.00192,0.00019,2.67687,50.55929,-17.57294,2.17847,-1.07261,0.45633,-0.1233,0.01846,-0.00116,0.0907,-64.27998,6.60514,-1.52672,0.35257,-0.07763,0.01403,-0.00164,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
8,2025-02-26,14:09:40.36,3,1,"Yarberry, Jackson",830352,Right,IU,"Wachsmann, Isaac",1000213858,Right,XAV_MUS,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.134,-1.196337,-1.626903,2206.06482,9.597563,6:15,6.14283,1.18204,6.28208,-48.00136,-6.98453,-1.40394,1.03951,-0.43479,75.51441,-10.025477,-1.881559,0.460949,,,,,,,,,,,,0.2448,-2.93563,-1.06141,50,6.03148,3.44066,-119.35722,-4.00154,0.35029,24.69235,-36.37498,IU,XAV_MUS,Bart Kaufman Field,D1,BIG10,20250226-Bart Kaufman Field-1,3b06d830-f475-11ef-927e-916ae9cab3ee,81.77147,,,6.61958,,,,,,,e6137727-20b2-4acf-8a6d-3e94369ec588,2025-02-26,19:09:40.36,2025-02-26T14:09:40.3626496-05:00,2025-02-26T19:09:40.3626496Z,,v3,4866,471497,,"Schuyler, T.J.",814104,Right,IU,4b41a5bd-044f-4e08-bca7-ce6b7c4cd9e2,54.21805,-120.22667,12.34617,6.14983,-2.72072,-18.18749,-1.18235,3.42832,0.17515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-26,14:09:57.88,3,2,"Yarberry, Jackson",830352,Right,IU,"Wachsmann, Isaac",1000213858,Right,XAV_MUS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.39166,-2.683415,-3.049846,2198.32815,193.854198,12:30,6.19615,0.9395,7.13713,-11.44501,19.62182,4.56008,2.80403,-1.44849,84.17719,-4.974347,-2.213797,0.401162,,,,,,,,,,,,-3.40803,11.67745,-0.76091,50,6.03339,7.03925,-135.43125,-6.5365,-6.22995,33.92362,-10.82737,IU,XAV_MUS,Bart Kaufman Field,D1,BIG10,20250226-Bart Kaufman Field-1,45710340-f475-11ef-927e-916ae9cab3ee,93.95814,,,9.21447,,,,,,,e6137727-20b2-4acf-8a6d-3e94369ec588,2025-02-26,19:09:57.88,2025-02-26T14:09:57.8870272-05:00,2025-02-26T19:09:57.8870272Z,,v3,4866,471497,,"Schuyler, T.J.",814104,Right,IU,acc7f27c-4923-491f-b596-27ebf750b761,53.35696,-136.26953,16.96181,6.19161,-6.26894,-5.41368,-0.93676,7.1932,-3.11497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-26,14:10:11.62,3,3,"Yarberry, Jackson",830352,Right,IU,"Wachsmann, Isaac",1000213858,Right,XAV_MUS,Undefined,1,Top,1,1,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.26786,-0.888173,-2.10837,2131.051026,109.89065,9:45,6.04607,1.30646,6.24293,-36.44994,3.11729,-4.59382,2.18876,-1.02186,76.07906,-7.684584,-2.9385,0.45273,,,,,,,,,,,,1.65138,2.38772,-1.14748,50,5.96264,4.67929,-122.1802,-3.04511,2.44558,28.62754,-28.638,IU,XAV_MUS,Bart Kaufman Field,D1,BIG10,20250226-Bart Kaufman Field-1,4da4ed60-f475-11ef-927e-916ae9cab3ee,83.25592,,,8.1888,,,,,,,e6137727-20b2-4acf-8a6d-3e94369ec588,2025-02-26,19:10:11.62,2025-02-26T14:10:11.6280832-05:00,2025-02-26T19:10:11.6280832Z,,v3,4866,471497,,"Schuyler, T.J.",814104,Right,IU,981d8a18-413c-4645-b8c3-8bb8116e4c6a,54.25122,-123.17226,14.31377,6.05097,-2.05269,-14.319,-1.30817,4.59454,1.22279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
