PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-26,18:32:12.65,1,1,"Barberi, Jackson",1000336962,Right,FLA_GAT,"Monile, Nick",10006592,Left,NOF_OSP,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.00704,-3.009997,-1.470301,2456.879602,214.25367,1:15,5.9306,1.12213,4.84281,-15.43706,17.26647,11.08969,1.79078,0.6539,86.57212,-5.870511,0.481707,0.411594,,,,,,,,,,,,-5.81701,9.55693,-0.98667,50,5.62004,2.93952,-136.26946,-7.74171,-11.03963,27.33829,-14.03674,FLA_GAT,NOF_OSP,CondronBallpark,D1,SEC,20250226-CondronBallpark-1,771b8d50-f49a-11ef-9665-21bedc71258b,91.57683,,,7.43492,,,,,,,821461ea-c1da-48d1-b04a-4d26703560b4,2025-02-26,23:32:12.65,2025-02-26T18:32:12.6558720-05:00,2025-02-26T23:32:12.6558720Z,,v3,471297,471510,,"Donay, Brody",701330,Right,FLA_GAT,d55346fa-26ad-4716-87ef-1951d92a5488,55.65569,-137.39942,13.66914,5.92803,-7.16154,-7.01837,-1.1176,3.39581,-5.51981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-26,18:32:28.05,1,2,"Barberi, Jackson",1000336962,Right,FLA_GAT,"Monile, Nick",10006592,Left,NOF_OSP,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.83438,-3.236165,-1.944461,2501.9924,209.247552,1:00,6.26598,0.65067,4.74831,-12.3602,20.78895,11.04666,2.16162,-0.27368,85.8627,-5.568857,-0.004662,0.414388,77.96194,4.712754,-166.695074,7147.865178,,,,,45.1083,,,-5.82886,11.28812,-0.46497,50,5.92982,4.025,-135.80487,-8.08067,-10.9379,28.40357,-10.99176,FLA_GAT,NOF_OSP,CondronBallpark,D1,SEC,20250226-CondronBallpark-1,8046cfc0-f49a-11ef-9665-21bedc71258b,90.95921,6.48769,,7.97168,,,,0.52262,2.22707,0.73466,821461ea-c1da-48d1-b04a-4d26703560b4,2025-02-26,23:32:28.05,2025-02-26T18:32:28.0586752-05:00,2025-02-26T23:32:28.0586752Z,,v3,471297,471510,,"Donay, Brody",701330,Right,FLA_GAT,546f241a-467d-4766-a63f-b65203494748,55.74634,-137.00144,14.20178,6.26049,-7.61761,-5.49588,-0.64424,4.48579,-5.46895,,0.52348,-110.92783,7.36979,,,,,,,2.22329,9.51557,2.20755,,,,,,,0.73718,-26.30639,-7.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
3,2025-02-26,18:32:44.62,1,3,"Barberi, Jackson",1000336962,Right,FLA_GAT,"Monile, Nick",10006592,Left,NOF_OSP,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.08973,-2.037442,-1.823938,2314.193942,212.751707,1:00,6.02864,0.88666,4.84949,-13.29532,19.66411,11.94331,2.99011,0.15469,85.58585,-4.554451,0.277475,0.413201,,,,,,,,,,,,-6.41,10.59241,-0.71734,50,5.81688,3.74017,-136.304,-5.30623,-12.02846,30.67121,-12.2973,FLA_GAT,NOF_OSP,CondronBallpark,D1,SEC,20250226-CondronBallpark-1,8a428190-f49a-11ef-9665-21bedc71258b,91.22061,,,8.50388,,,,,,,821461ea-c1da-48d1-b04a-4d26703560b4,2025-02-26,23:32:44.62,2025-02-26T18:32:44.6267392-05:00,2025-02-26T23:32:44.6267392Z,,v3,471297,471510,,"Donay, Brody",701330,Right,FLA_GAT,12a42e9f-d219-4f14-b289-57102a1c3edd,55.64844,-137.56914,15.33561,6.02529,-4.79899,-6.14865,-0.88185,4.23633,-6.01423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-26,18:33:03.14,1,4,"Barberi, Jackson",1000336962,Right,FLA_GAT,"Monile, Nick",10006592,Left,NOF_OSP,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,94.90502,-2.714208,-2.081937,2541.237151,214.735769,1:15,5.99579,0.6218,4.6942,-13.52824,19.23143,12.54312,2.28798,-0.31037,86.00666,-5.267696,0.118509,0.411947,88.57438,19.472111,-23.253615,3252.623663,97.90831,29.87182,-50.1388,266.4196,258.67763,-32.923169,3.008296,-6.78729,10.56997,-0.42259,50,5.70905,4.34782,-137.30481,-6.99613,-12.86828,32.34699,-12.13406,FLA_GAT,NOF_OSP,CondronBallpark,D1,SEC,20250226-CondronBallpark-1,954ae870-f49a-11ef-9665-21bedc71258b,91.49828,32.06217,,8.89836,,,,1.49572,2.37747,0.30109,821461ea-c1da-48d1-b04a-4d26703560b4,2025-02-26,23:33:03.14,2025-02-26T18:33:03.1424000-05:00,2025-02-26T23:33:03.1424000Z,LineDrive,v3,471297,471510,,"Donay, Brody",701330,Right,FLA_GAT,96708d09-a8ec-4457-b58b-0e9ebeecd978,55.8037,-138.66533,16.1735,5.99258,-6.48576,-6.06703,-0.61684,4.88906,-6.43414,123.630993,1.49574,112.52774,-22.23958,5.2856,-1.09526,0.1556,-0.005,-0.00347,0.00056,2.3774,43.30813,-16.77105,0.70444,-0.02991,0.04965,-0.03345,0.00995,-0.00108,0.30109,-48.35518,-2.32281,1.86886,-0.6755,0.17941,-0.03664,0.00486,-0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-02-26,18:33:33.47,2,1,"Barberi, Jackson",1000336962,Right,FLA_GAT,"White, Carter",10915195,Right,NOF_OSP,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.15599,-3.396298,-2.674673,2463.919674,214.858762,1:15,6.13502,0.65024,4.77386,-13.81627,19.27162,12.64887,1.75671,-0.83311,85.7736,-5.992379,-0.453762,0.414005,,,,,,,,,,,,-6.96138,10.74638,-0.39416,50,5.78326,5.71793,-136.16363,-8.57624,-13.05167,30.27803,-12.02603,FLA_GAT,NOF_OSP,CondronBallpark,D1,SEC,20250226-CondronBallpark-1,a763c810-f49a-11ef-9665-21bedc71258b,91.04337,,,8.38239,,,,,,,821461ea-c1da-48d1-b04a-4d26703560b4,2025-02-26,23:33:33.47,2025-02-26T18:33:33.4784000-05:00,2025-02-26T23:33:33.4784000Z,,v3,471297,471510,,"Donay, Brody",701330,Right,FLA_GAT,ec7e7d9f-0f8b-4f15-86a3-ae8df5d57ffa,55.72393,-137.43053,15.13902,6.13159,-8.07304,-6.01302,-0.64484,6.26405,-6.52583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-26,18:33:46.71,2,2,"Barberi, Jackson",1000336962,Right,FLA_GAT,"White, Carter",10915195,Right,NOF_OSP,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.29989,-3.683673,-2.60806,2555.324707,217.11634,1:15,6.02246,1.08381,4.6431,-14.08005,19.18347,13.64524,1.34016,-0.25917,85.675,-6.323708,-0.217477,0.415103,,,,,,,,,,,,-7.41977,10.77713,-0.82999,50,5.63279,5.50146,-136.26217,-9.28904,-13.89005,31.1477,-11.99898,FLA_GAT,NOF_OSP,CondronBallpark,D1,SEC,20250226-CondronBallpark-1,af42b460-f49a-11ef-9665-21bedc71258b,90.80268,,,8.62489,,,,,,,821461ea-c1da-48d1-b04a-4d26703560b4,2025-02-26,23:33:46.71,2025-02-26T18:33:46.7155456-05:00,2025-02-26T23:33:46.7155456Z,,v3,471297,471510,,"Donay, Brody",701330,Right,FLA_GAT,2f11eacf-8aa8-44f5-b891-3129ddcbbfd3,55.85431,-137.59387,15.57385,6.01897,-8.77603,-5.99949,-1.0779,6.09532,-6.94502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-26,18:34:01.33,2,3,"Barberi, Jackson",1000336962,Right,FLA_GAT,"White, Carter",10915195,Right,NOF_OSP,Undefined,1,Top,1,2,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.6429,-3.590106,-3.21603,2533.907755,218.022453,1:15,5.9605,0.96572,4.67776,-15.0058,18.65493,13.68674,1.29075,-0.9511,85.2052,-6.393298,-0.818551,0.417574,,,,,,,,,,,,-7.613,10.48914,-0.65136,50,5.58165,6.90317,-135.28965,-9.04908,-14.07295,30.23737,-12.78446,FLA_GAT,NOF_OSP,CondronBallpark,D1,SEC,20250226-CondronBallpark-1,b7fce580-f49a-11ef-9665-21bedc71258b,90.26536,,,8.43771,,,,,,,821461ea-c1da-48d1-b04a-4d26703560b4,2025-02-26,23:34:01.33,2025-02-26T18:34:01.3327872-05:00,2025-02-26T23:34:01.3327872Z,,v3,471297,471510,,"Donay, Brody",701330,Right,FLA_GAT,5794e94e-a651-45fa-bd70-41597c2671f1,55.81995,-136.58422,15.11868,5.95736,-8.50173,-6.39223,-0.95981,7.50568,-7.03647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-26,18:34:17.83,2,4,"Barberi, Jackson",1000336962,Right,FLA_GAT,"White, Carter",10915195,Right,NOF_OSP,Undefined,1,Top,1,3,0,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.75177,-2.934216,-3.968304,2605.575346,220.421788,1:15,6.00955,1.00838,4.84056,-15.18891,17.4082,13.90524,1.9565,-1.59617,86.36783,-5.772787,-1.528556,0.410923,,,,,,,,,,,,-7.93367,9.69725,-0.6279,50,5.70618,8.79232,-136.94721,-7.59297,-15.06981,30.18463,-13.75433,FLA_GAT,NOF_OSP,CondronBallpark,D1,SEC,20250226-CondronBallpark-1,c1d41f60-f49a-11ef-9665-21bedc71258b,91.7262,,,8.38394,,,,,,,821461ea-c1da-48d1-b04a-4d26703560b4,2025-02-26,23:34:17.83,2025-02-26T18:34:17.8372096-05:00,2025-02-26T23:34:17.8372096Z,,v3,471297,471510,,"Donay, Brody",701330,Right,FLA_GAT,897d6a1b-6ec7-4a52-9d8e-b7a314e0b593,55.65742,-138.18854,15.09231,6.00681,-7.02733,-6.87717,-1.00222,9.41206,-7.53491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-26,18:34:48.94,3,1,"Barberi, Jackson",1000336962,Right,FLA_GAT,"Moore, Connor",10042937,Right,NOF_OSP,Undefined,1,Top,1,0,0,ChangeUp,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.86859,-1.342957,-2.386212,2261.947503,235.822738,1:45,6.04305,1.95799,5.1105,-34.50277,4.58784,4.92788,1.90127,0.11925,78.77217,-7.614851,-1.514263,0.449995,87.37355,-18.073607,-59.48368,,,,,8.16757,7.88144,-43.968532,0.052149,-3.15138,2.98232,-1.73724,50,5.88943,4.97496,-124.50733,-4.21784,-4.9419,25.23207,-27.49722,FLA_GAT,NOF_OSP,CondronBallpark,D1,SEC,20250226-CondronBallpark-1,d45d25f0-f49a-11ef-9665-21bedc71258b,83.76192,2.07708,,7.09642,,,,2.64644,2.07708,-0.18728,821461ea-c1da-48d1-b04a-4d26703560b4,2025-02-26,23:34:48.94,2025-02-26T18:34:48.9433088-05:00,2025-02-26T23:34:48.9433088Z,GroundBall,v3,471297,471510,,"Donay, Brody",701330,Right,FLA_GAT,3f2623f0-1b48-4dba-98f0-8ff69ae307e7,55.38953,-125.5948,12.61604,6.04568,-3.03275,-13.74861,-1.95625,5.18795,-2.47095,180,2.64548,61.97461,,,,,,,,2.0777,-39.82961,,,,,,,,-0.18566,-105.14351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
10,2025-02-26,18:35:10.59,3,2,"Barberi, Jackson",1000336962,Right,FLA_GAT,"Moore, Connor",10042937,Right,NOF_OSP,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.23395,-0.963457,-3.113193,2353.162614,159.76136,11:15,5.99207,1.94911,4.8487,-31.29986,8.1154,-2.50559,2.47022,-1.20981,78.56877,-6.660367,-3.553358,0.45186,,,,,,,,,,,,0.31516,4.66996,-1.63912,50,5.87046,6.90324,-124.80185,-3.30648,0.49406,26.52136,-24.85281,FLA_GAT,NOF_OSP,CondronBallpark,D1,SEC,20250226-CondronBallpark-1,e149b620-f49a-11ef-9665-21bedc71258b,83.41623,,,7.66517,,,,,,,821461ea-c1da-48d1-b04a-4d26703560b4,2025-02-26,23:35:10.59,2025-02-26T18:35:10.5979392-05:00,2025-02-26T23:35:10.5979392Z,,v3,471297,471510,,"Donay, Brody",701330,Right,FLA_GAT,95710045-7699-40f3-89e5-c7b33cef9c7a,55.64829,-125.99644,13.26068,5.99418,-2.18705,-12.4264,-1.94956,6.88098,0.24703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
