PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-26,17:03:04.44,1,1,"Olsen, Noah",1000276245,Right,EC,"Weurth, Gabriel",1000214347,Left,GEO_COL1,Undefined,1,Top,0,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.16344,-2.225282,-1.258566,2091.160381,226.888255,1:30,5.40268,1.78224,5.91401,-24.60367,13.09985,12.68135,1.28554,1.67075,78.83222,-6.820704,1.020206,0.441939,,,,,,,,,,,,-6.86469,7.72252,-1.68858,50,5.21018,2.23346,-125.06117,-5.63104,-10.84297,25.84834,-19.97615,EC,GEO_COL1,TommyCareyField,D2,CC,20250226-TommyCareyField-1,74611420-f48d-11ef-a731-0fcdac2d26e1,85.28874,,,7.33122,,,,,,,1d7e6756-5b74-4c53-892e-b806227e5cab,2025-02-26,22:03:04.44,2025-02-26T17:03:04.4410880-05:00,2025-02-26T22:03:04.4410880Z,,v3,10000011,,,"Bergstrom, Zachary",1000138128,Right,EC,f8c36aa0-00ee-407c-896e-36af7cf5d136,54.58494,-126.00524,12.92417,5.40252,-4.90143,-9.98807,-1.77739,2.62948,-5.42149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-26,17:03:21.02,1,2,"Olsen, Noah",1000276245,Right,EC,"Weurth, Gabriel",1000214347,Left,GEO_COL1,Undefined,1,Top,0,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.31304,0.300262,-1.427168,2040.698196,231.13659,1:45,5.40415,1.69724,5.69455,-26.99809,10.87457,11.97351,3.43423,1.36473,78.64514,-4.731822,0.7138,0.442929,,,,,,,,,,,,-6.45327,5.81229,-1.58475,50,5.4127,2.60962,-125.28781,-0.24206,-10.22787,25.99222,-22.96203,EC,GEO_COL1,TommyCareyField,D2,CC,20250226-TommyCareyField-1,7e36c760-f48d-11ef-a731-0fcdac2d26e1,85.09815,,,7.6679,,,,,,,1d7e6756-5b74-4c53-892e-b806227e5cab,2025-02-26,22:03:21.02,2025-02-26T17:03:21.0241024-05:00,2025-02-26T22:03:21.0241024Z,,v3,10000011,,,"Bergstrom, Zachary",1000138128,Right,EC,962bf4d9-0ea6-4874-8969-40015415b107,54.80299,-126.2803,12.99611,5.4052,0.63473,-11.48102,-1.69185,3.00016,-5.11394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-26,17:03:37.90,1,3,"Olsen, Noah",1000276245,Right,EC,"Weurth, Gabriel",1000214347,Left,GEO_COL1,Undefined,1,Top,0,2,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.61556,-2.362491,-1.116182,2037.705011,208.215748,1:00,5.40635,1.64735,5.99843,-22.09588,14.34536,7.04426,1.37421,1.19995,79.91651,-6.516772,0.151392,0.434478,,,,,,,,,,,,-3.93776,8.42945,-1.56329,50,5.20819,2.18616,-127.12588,-5.92019,-6.41211,27.26675,-18.44789,EC,GEO_COL1,TommyCareyField,D2,CC,20250226-TommyCareyField-1,88545910-f48d-11ef-a731-0fcdac2d26e1,86.75334,,,7.69905,,,,,,,1d7e6756-5b74-4c53-892e-b806227e5cab,2025-02-26,22:03:37.90,2025-02-26T17:03:37.9087360-05:00,2025-02-26T22:03:37.9087360Z,,v3,10000011,,,"Bergstrom, Zachary",1000138128,Right,EC,d8ab137e-935c-4b63-be3a-35c34aedb176,54.49916,-128.08725,13.63338,5.40546,-5.26975,-9.22394,-1.64435,2.41224,-3.20605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-26,17:03:55.63,1,4,"Olsen, Noah",1000276245,Right,EC,"Weurth, Gabriel",1000214347,Left,GEO_COL1,Undefined,1,Top,0,3,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.38243,-1.001062,-1.324753,2118.814471,204.950121,12:45,5.48874,1.67138,5.94953,-22.77982,14.77209,6.2889,2.66161,0.96655,78.58984,-5.296385,-0.194702,0.44105,,,,,,,,,,,,-3.59992,8.24304,-1.56941,50,5.39635,2.63953,-125.37992,-2.88039,-5.69754,26.70986,-19.12793,EC,GEO_COL1,TommyCareyField,D2,CC,20250226-TommyCareyField-1,92edf890-f48d-11ef-a731-0fcdac2d26e1,85.46078,,,7.79259,,,,,,,1d7e6756-5b74-4c53-892e-b806227e5cab,2025-02-26,22:03:55.63,2025-02-26T17:03:55.6376064-05:00,2025-02-26T22:03:55.6376064Z,,v3,10000011,,,"Bergstrom, Zachary",1000138128,Right,EC,a7984440-6127-4274-953e-5bb5c34aa869,54.54731,-126.34493,13.35493,5.48793,-2.18931,-9.56396,-1.66849,2.84537,-2.84877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-26,17:04:11.36,1,5,"Olsen, Noah",1000276245,Right,EC,"Weurth, Gabriel",1000214347,Left,GEO_COL1,Undefined,1,Top,0,3,1,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.26033,-1.195562,-3.064476,2013.60345,200.437695,12:45,5.47231,1.69214,6.00803,-21.80722,14.91296,5.10796,2.54565,-0.72404,79.539,-5.308149,-2.147552,0.436138,78.09146,-1.964529,40.331971,3140.952591,,,,35.49936,35.49936,39.702055,0.307644,-3.52244,8.38016,-1.45409,50,5.36637,6.56962,-126.56457,-3.30178,-5.69115,26.77692,-18.63433,EC,GEO_COL1,TommyCareyField,D2,CC,20250226-TommyCareyField-1,9c4bbcb0-f48d-11ef-a731-0fcdac2d26e1,86.42322,2.62561,,7.72133,,,,1.22415,2.62561,0.83916,1d7e6756-5b74-4c53-892e-b806227e5cab,2025-02-26,22:04:11.36,2025-02-26T17:04:11.3644544-05:00,2025-02-26T22:04:11.3644544Z,GroundBall,v3,10000011,,,"Bergstrom, Zachary",1000138128,Right,EC,50ee04c5-ea70-46b6-b733-5d7d0d8b1856,54.49063,-127.5111,13.38846,5.47145,-2.64308,-9.31717,-1.68987,6.77079,-2.84558,,1.22546,87.20205,-7.83483,,,,,,,2.62694,-3.98317,-14.82204,,,,,,,0.84118,73.99706,-9.83724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
6,2025-02-26,17:04:44.06,2,1,"Olsen, Noah",1000276245,Right,EC,"Hamacher, Benjamin",1000051629,Right,GEO_COL1,Undefined,1,Top,1,0,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.29283,-0.044309,-1.757314,2032.369898,95.936366,9:15,5.34235,1.64531,5.20594,-44.35707,2.12225,-3.83083,1.60424,-0.32714,71.58433,-8.152443,-2.436581,0.490683,,,,,,,,,,,,1.31339,1.59756,-1.47968,50,5.30529,3.6814,-114.79493,-1.63727,1.71818,25.14025,-30.08413,EC,GEO_COL1,TommyCareyField,D2,CC,20250226-TommyCareyField-1,afce6580-f48d-11ef-a731-0fcdac2d26e1,76.81622,,,7.7085,,,,,,,1d7e6756-5b74-4c53-892e-b806227e5cab,2025-02-26,22:04:44.06,2025-02-26T17:04:44.0621056-05:00,2025-02-26T22:04:44.0621056Z,,v3,10000011,,,"Bergstrom, Zachary",1000138128,Right,EC,9c23b032-2889-47c0-b374-a04d2216eda7,55.2901,-115.94769,12.57012,5.34874,-0.25783,-15.04207,-1.64668,3.60262,0.85909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-26,17:04:59.61,2,2,"Olsen, Noah",1000276245,Right,EC,"Hamacher, Benjamin",1000051629,Right,GEO_COL1,Undefined,1,Top,1,0,1,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.944,0.133457,-1.796485,2027.058379,43.803948,7:30,5.37258,1.76489,4.89421,-49.17574,-1.87858,-3.4361,1.40091,-0.22131,71.56284,-8.765144,-2.402598,0.494981,,,,,,,,,,,,1.10996,-0.48969,-1.58578,50,5.34442,3.72986,-114.29609,-1.53196,1.44376,24.35001,-32.81098,EC,GEO_COL1,TommyCareyField,D2,CC,20250226-TommyCareyField-1,b91b39b0-f48d-11ef-a731-0fcdac2d26e1,76.14919,,,7.38117,,,,,,,1d7e6756-5b74-4c53-892e-b806227e5cab,2025-02-26,22:04:59.61,2025-02-26T17:04:59.6136448-05:00,2025-02-26T22:04:59.6136448Z,,v3,10000011,,,"Bergstrom, Zachary",1000138128,Right,EC,23c79eca-3be1-466b-9ca9-6e96d2a3bcc9,55.60386,-115.48379,12.17501,5.38011,0.06843,-16.40549,-1.76599,3.65944,0.72188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-26,17:05:17.14,2,3,"Olsen, Noah",1000276245,Right,EC,"Hamacher, Benjamin",1000051629,Right,GEO_COL1,Undefined,1,Top,1,0,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.27499,-2.880602,-3.505459,2035.411213,43.995945,7:30,5.29675,1.629,5.68426,-42.32833,0.39209,-1.17563,-0.92296,-1.74054,74.53223,-10.60644,-3.715682,0.470424,,,,,,,,,,,,-0.61976,1.54685,-1.33278,50,5.0269,7.33076,-118.92955,-7.40402,-0.86594,28.00603,-30.01273,EC,GEO_COL1,TommyCareyField,D2,CC,20250226-TommyCareyField-1,c379f310-f48d-11ef-a731-0fcdac2d26e1,80.12447,,,7.74276,,,,,,,1d7e6756-5b74-4c53-892e-b806227e5cab,2025-02-26,22:05:17.14,2025-02-26T17:05:17.1489280-05:00,2025-02-26T22:05:17.1489280Z,,v3,10000011,,,"Bergstrom, Zachary",1000138128,Right,EC,9343fdd6-eb18-4597-91d6-4c1122dccc9c,54.81545,-120.05815,14.00302,5.30091,-6.19454,-15.00637,-1.6289,7.36566,-0.43297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-26,17:05:40.64,2,4,"Olsen, Noah",1000276245,Right,EC,"Hamacher, Benjamin",1000051629,Right,GEO_COL1,Undefined,1,Top,1,1,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.22656,-0.958042,-3.678369,2151.337864,346.574962,5:30,5.38245,1.48814,5.20136,-45.77751,-0.81831,0.54878,0.66463,-1.93055,73.54167,-9.240289,-3.581244,0.482593,,,,,,,,,,,,-1.3698,0.26791,-1.14748,50,5.25879,7.44542,-116.15971,-3.56954,-1.85926,23.09802,-31.81043,EC,GEO_COL1,TommyCareyField,D2,CC,20250226-TommyCareyField-1,d1897f70-f48d-11ef-a731-0fcdac2d26e1,78.10406,,,6.68489,,,,,,,1d7e6756-5b74-4c53-892e-b806227e5cab,2025-02-26,22:05:40.64,2025-02-26T17:05:40.6485504-05:00,2025-02-26T22:05:40.6485504Z,,v3,10000011,,,"Bergstrom, Zachary",1000138128,Right,EC,136a3855-949e-4664-acb6-b3851aec1bf6,55.29873,-117.20861,11.54901,5.38809,-2.125,-15.90522,-1.4875,7.52986,-0.92963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-26,17:06:02.63,2,5,"Olsen, Noah",1000276245,Right,EC,"Hamacher, Benjamin",1000051629,Right,GEO_COL1,Undefined,1,Top,1,2,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.89001,-0.460755,-2.513265,2047.26869,213.370543,1:00,5.44184,1.45759,5.87564,-21.99052,15.14017,9.17882,3.18094,-0.11327,79.19989,-4.604599,-0.868324,0.438569,69.38961,44.490186,143.379285,4926.177838,,,,,33.03874,,,-5.43201,8.24241,-1.25973,50,5.3919,5.15982,-126.10388,-1.69064,-8.72358,26.28352,-18.93707,EC,GEO_COL1,TommyCareyField,D2,CC,20250226-TommyCareyField-1,dea4e7d0-f48d-11ef-a731-0fcdac2d26e1,85.94415,31.10909,,7.69011,,,,1.41401,3.06344,0.28694,1d7e6756-5b74-4c53-892e-b806227e5cab,2025-02-26,22:06:02.63,2025-02-26T17:06:02.6355200-05:00,2025-02-26T22:06:02.6355200Z,,v3,10000011,,,"Bergstrom, Zachary",1000138128,Right,EC,fbbb4444-a5e9-4364-ad25-e4b2faa0a774,54.62336,-127.06386,13.14176,5.44102,-0.99898,-9.46853,-1.45401,5.47844,-4.36179,,1.41985,-58.43448,2.17714,,,,,,,3.08938,70.60689,-27.853,,,,,,,0.30086,42.92489,-8.70172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
