PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-26,18:02:05.02,1,1,"Lumpkin, Reese",813609,Right,MIA_HUR,"Dempsey, Evan",1000115341,Left,FGCU,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.56535,-1.687403,-4.915157,2413.915436,249.387189,2:15,5.64115,2.10738,5.60428,-24.14387,9.41973,21.80025,2.04773,-0.67542,83.508,-6.186505,-1.03842,0.416971,,,,,,,,,,,,-12.53871,5.65063,-1.70027,50,5.48085,10.49534,-133.77003,-4.82512,-22.44097,32.16538,-22.06089,MIA_HUR,FGCU,UofMiami,D1,ACC,20250226-UofMiami-1,b426c980-f495-11ef-b45c-b74eea55b5a2,90.39584,,,9.05735,,,,,,,67adef34-0e06-4d7d-af0e-88d95d3ad6ac,2025-02-26,23:02:05.02,2025-02-26T18:02:05.0279424-05:00,2025-02-26T23:02:05.0279424Z,,v3,236,4964,26 February 2025 18:00-flgulfcst@miamifl,"Smith, Tanner",1000359694,Right,MIA_HUR,145eb590-72a2-4c47-a8cf-6f1cb9da620f,54.89272,-134.94137,16.08269,5.64193,-4.02175,-11.03045,-2.09735,11.31256,-11.22048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-26,18:02:25.87,1,2,"Lumpkin, Reese",813609,Right,MIA_HUR,"Dempsey, Evan",1000115341,Left,FGCU,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.12504,-1.809246,-3.917618,1854.335306,274.80942,3:15,5.48041,2.35803,5.71165,-38.36541,-0.41945,18.84737,0.59328,0.27326,79.38979,-8.812588,-0.546752,0.443358,,,,,,,,,,,,-10.7765,0.55169,-2.04211,50,5.30439,7.79712,-124.88979,-5.30395,-17.057,24.64657,-31.30083,MIA_HUR,FGCU,UofMiami,D1,ACC,20250226-UofMiami-1,c08a5390-f495-11ef-b45c-b74eea55b5a2,85.01586,,,6.73525,,,,,,,67adef34-0e06-4d7d-af0e-88d95d3ad6ac,2025-02-26,23:02:25.87,2025-02-26T18:02:25.8744320-05:00,2025-02-26T23:02:25.8744320Z,,v3,236,4964,26 February 2025 18:00-flgulfcst@miamifl,"Smith, Tanner",1000359694,Right,MIA_HUR,c514285c-073c-4ee2-b586-29d7b817b386,54.78978,-125.83148,12.32328,5.4842,-4.10801,-15.65042,-2.35247,8.44884,-8.5285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-26,18:02:50.68,1,3,"Lumpkin, Reese",813609,Right,MIA_HUR,"Dempsey, Evan",1000115341,Left,FGCU,Undefined,1,Top,0,0,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,86.47812,-0.100727,-3.028946,1855.249832,270.817846,3:00,5.56834,2.14048,5.5964,-36.80935,0.90622,17.74249,2.40673,0.7885,79.4149,-6.843487,0.137431,0.44201,82.33438,-16.495658,12.112946,,,,,9.93105,9.46383,5.342442,0.07099,-9.88863,0.7865,-1.89285,50,5.53548,5.90747,-125.53595,-1.54343,-15.81168,24.93743,-30.91648,MIA_HUR,FGCU,UofMiami,D1,ACC,20250226-UofMiami-1,cf5fc800-f495-11ef-b45c-b74eea55b5a2,85.27517,2.44003,,7.06322,,,,1.83166,2.44003,-0.80435,67adef34-0e06-4d7d-af0e-88d95d3ad6ac,2025-02-26,23:02:50.68,2025-02-26T18:02:50.6874368-05:00,2025-02-26T23:02:50.6874368Z,GroundBall,v3,236,4964,26 February 2025 18:00-flgulfcst@miamifl,"Smith, Tanner",1000359694,Right,MIA_HUR,7eef2dd5-ddc9-4f1a-a223-bacf979d89b1,54.90418,-126.5064,12.46872,5.57213,-0.3403,-15.45824,-2.13472,6.5228,-7.90584,180,1.82852,113.4838,,,,,,,,2.44098,-34.37133,,,,,,,,-0.80503,24.35564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-02-26,18:03:31.38,2,1,"Lumpkin, Reese",813609,Right,MIA_HUR,"Corn, Aidan",1000115256,Right,FGCU,Undefined,1,Top,1,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.10109,-1.646728,-4.076284,2298.545531,250.982485,2:15,5.51943,2.26018,5.37918,-25.3732,8.53469,21.40222,1.857,0.2161,83.68118,-6.333242,-0.279246,0.419104,,,,,,,,,,,,-12.04209,5.09906,-1.91094,50,5.3539,8.52218,-133.31871,-4.79484,-21.53538,30.364,-23.05517,MIA_HUR,FGCU,UofMiami,D1,ACC,20250226-UofMiami-1,e7a995d0-f495-11ef-b45c-b74eea55b5a2,89.93577,,,8.41991,,,,,,,67adef34-0e06-4d7d-af0e-88d95d3ad6ac,2025-02-26,23:03:31.38,2025-02-26T18:03:31.3808384-05:00,2025-02-26T23:03:31.3808384Z,,v3,236,4964,26 February 2025 18:00-flgulfcst@miamifl,"Smith, Tanner",1000359694,Right,MIA_HUR,5223e455-8754-44ae-89db-4721e4e4f2cb,55.12005,-134.47977,15.182,5.52039,-3.91325,-11.52758,-2.25255,9.34565,-10.76769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-26,18:03:56.92,2,2,"Lumpkin, Reese",813609,Right,MIA_HUR,"Corn, Aidan",1000115256,Right,FGCU,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.03777,-0.947008,-3.099975,1742.167313,264.504336,2:45,5.50692,2.15775,5.65582,-36.20907,2.97008,17.50194,1.60496,0.72243,77.73116,-7.600067,0.027881,0.450504,,,,,,,,,,,,-9.77981,2.16921,-1.90641,50,5.40373,5.95202,-123.32476,-3.30657,-14.99871,25.48187,-28.84725,MIA_HUR,FGCU,UofMiami,D1,ACC,20250226-UofMiami-1,f6dd7df0-f495-11ef-b45c-b74eea55b5a2,83.66724,,,7.30661,,,,,,,67adef34-0e06-4d7d-af0e-88d95d3ad6ac,2025-02-26,23:03:56.92,2025-02-26T18:03:56.9280512-05:00,2025-02-26T23:03:56.9280512Z,,v3,236,4964,26 February 2025 18:00-flgulfcst@miamifl,"Smith, Tanner",1000359694,Right,MIA_HUR,4a02e2f3-ce8f-4a50-ac3a-1da12493d615,54.84266,-124.32134,12.74094,5.51099,-2.17836,-14.42363,-2.15066,6.53861,-7.49935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-26,18:04:18.40,2,3,"Lumpkin, Reese",813609,Right,MIA_HUR,"Corn, Aidan",1000115256,Right,FGCU,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.30338,1.838581,-2.520398,2486.863698,88.194459,9:00,5.42914,2.08989,5.61096,-43.43613,1.22575,-12.2102,3.52779,-1.28159,72.37261,-6.171594,-4.694776,0.480994,,,,,,,,,,,,5.28977,0.52858,-1.86663,50,5.55895,5.61382,-116.24661,2.27805,7.10094,25.64869,-31.46449,MIA_HUR,FGCU,UofMiami,D1,ACC,20250226-UofMiami-1,03b0b9c0-f496-11ef-b45c-b74eea55b5a2,78.36357,,,7.93078,,,,,,,67adef34-0e06-4d7d-af0e-88d95d3ad6ac,2025-02-26,23:04:18.40,2025-02-26T18:04:18.4094208-05:00,2025-02-26T23:04:18.4094208Z,,v3,236,4964,26 February 2025 18:00-flgulfcst@miamifl,"Smith, Tanner",1000359694,Right,MIA_HUR,4524fca7-c8a9-421f-b58c-ede688b6a83d,54.88372,-117.31921,12.82434,5.43617,3.59386,-15.73224,-2.09518,5.31687,3.55047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-26,18:04:40.41,2,4,"Lumpkin, Reese",813609,Right,MIA_HUR,"Corn, Aidan",1000115256,Right,FGCU,Undefined,1,Top,1,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.22892,-2.873723,-4.836109,2350.684177,254.974592,2:30,5.557,2.01542,5.7505,-27.44127,6.20394,18.61064,0.58319,-0.94649,83.54783,-7.950037,-1.51466,0.417478,,,,,,,,,,,,-11.01741,4.40433,-1.62478,50,5.30082,10.44748,-133.24261,-7.70392,-19.56816,31.84292,-24.35142,MIA_HUR,FGCU,UofMiami,D1,ACC,20250226-UofMiami-1,10aeaf10-f496-11ef-b45c-b74eea55b5a2,90.28613,,,8.68109,,,,,,,67adef34-0e06-4d7d-af0e-88d95d3ad6ac,2025-02-26,23:04:40.41,2025-02-26T18:04:40.4107776-05:00,2025-02-26T23:04:40.4107776Z,,v3,236,4964,26 February 2025 18:00-flgulfcst@miamifl,"Smith, Tanner",1000359694,Right,MIA_HUR,78f708b2-a6a7-4ca0-9345-cb407ed4c904,54.74732,-134.37235,15.92146,5.55882,-6.83996,-12.17571,-2.00776,11.14174,-9.78408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-26,18:05:06.22,2,5,"Lumpkin, Reese",813609,Right,MIA_HUR,"Corn, Aidan",1000115256,Right,FGCU,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.27072,0.694845,-4.64803,2463.487585,97.14754,9:15,5.40308,1.95919,5.8116,-41.6388,2.83571,-10.02079,2.58145,-3.20741,72.63979,-6.983354,-6.431562,0.479984,,,,,,,,,,,,3.54677,1.7135,-1.57172,50,5.43593,9.82644,-116.03373,0.07379,4.7482,25.36723,-29.88009,MIA_HUR,FGCU,UofMiami,D1,ACC,20250226-UofMiami-1,203e24b0-f496-11ef-b45c-b74eea55b5a2,78.52849,,,7.63094,,,,,,,67adef34-0e06-4d7d-af0e-88d95d3ad6ac,2025-02-26,23:05:06.22,2025-02-26T18:05:06.2205440-05:00,2025-02-26T23:05:06.2205440Z,,v3,236,4964,26 February 2025 18:00-flgulfcst@miamifl,"Smith, Tanner",1000359694,Right,MIA_HUR,13e67da3-7a45-4046-afe1-a68c7a91fd60,54.68332,-117.05312,12.68362,5.40883,1.27452,-14.94005,-1.96277,9.63564,2.3741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-26,18:05:29.35,2,6,"Lumpkin, Reese",813609,Right,MIA_HUR,"Corn, Aidan",1000115256,Right,FGCU,Undefined,1,Top,1,3,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.95401,-1.561516,-4.774418,2321.891214,246.41798,2:15,5.57133,2.12857,5.92287,-24.55434,9.96134,19.82537,2.07077,-0.65987,81.66266,-6.176372,-1.227405,0.422844,,,,,,,,,,,,-11.65827,5.99662,-1.75676,50,5.43229,10.09953,-131.45212,-4.415,-20.03117,32.55134,-21.87068,MIA_HUR,FGCU,UofMiami,D1,ACC,20250226-UofMiami-1,2deb1eb0-f496-11ef-b45c-b74eea55b5a2,89.14039,,,9.29134,,,,,,,67adef34-0e06-4d7d-af0e-88d95d3ad6ac,2025-02-26,23:05:29.35,2025-02-26T18:05:29.3520000-05:00,2025-02-26T23:05:29.3520000Z,,v3,236,4964,26 February 2025 18:00-flgulfcst@miamifl,"Smith, Tanner",1000359694,Right,MIA_HUR,2f9455db-5aa0-4964-a840-fcd51192a106,54.57246,-132.57955,16.27567,5.57209,-3.65749,-10.93534,-2.11857,10.79333,-10.01558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.41989,3.358596,1.928909,1.429687,-0.98093,1.80619,0.70789,-1.48141,6.06344,2.44463,68.52929,6.65329,-56.25086,-1.42777,52.73993,-2.65975,6.19486,22.3926,-15.4234,2.37438,-45.08903,2.85065,High,High,High,,,High,High,High
10,2025-02-26,18:06:06.88,3,1,"Lumpkin, Reese",813609,Right,MIA_HUR,"Povey, Harrison",1000090899,Left,FGCU,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.22278,-0.891038,-3.814904,1713.49835,251.677727,2:30,5.45391,2.33921,5.65812,-31.65762,7.18989,18.01792,1.98294,0.27788,78.14137,-6.727896,-0.600505,0.448593,,,,,,,,,,,,-10.1676,4.26827,-2.02755,50,5.35835,7.48858,-123.56047,-3.00952,-15.74993,24.16136,-25.56236,MIA_HUR,FGCU,UofMiami,D1,ACC,20250226-UofMiami-1,4454bad0-f496-11ef-b45c-b74eea55b5a2,84.02362,,,7.08141,,,,,,,67adef34-0e06-4d7d-af0e-88d95d3ad6ac,2025-02-26,23:06:06.88,2025-02-26T18:06:06.8884992-05:00,2025-02-26T23:06:06.8884992Z,,v3,236,4964,26 February 2025 18:00-flgulfcst@miamifl,"Smith, Tanner",1000359694,Right,MIA_HUR,c0d4e4d8-d6fb-4ec4-9eaf-962cf82d1a35,54.84037,-124.50337,12.08068,5.45633,-2.01195,-12.78118,-2.33179,8.10323,-7.87496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
