PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-26,14:05:21.96,1,1,"Stiffler, Mac",1000181607,Right,WES_MOU,"Nelson, JR",10074669,Right,OHI_BOB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.43785,-2.8787,-4.063767,2477.447708,226.545559,1:30,6.20381,1.48887,6.47271,-16.73214,14.57831,14.36674,2.15693,-1.05211,85.81151,-6.061931,-1.464596,0.402732,,,,,,,,,,,,-8.55544,8.68044,-1.20799,50,5.99274,9.03336,-135.46139,-7.30199,-15.97939,28.15301,-15.96115,WES_MOU,OHI_BOB,WestVirginia,D1,BIG12,20250226-WestVirginia-1,a12a1c90-f474-11ef-a48f-3b261e5da7a8,93.59188,,,7.62634,,,,,,,4bfe140e-2bdb-43ab-aaaa-7284d89ee6d8,2025-02-26,19:05:21.96,2025-02-26T14:05:21.9658240-05:00,2025-02-26T19:05:21.9658240Z,,v3,5327,471399,,"Sauve, Logan",702524,Right,WES_MOU,778305ae-49d0-435b-bb79-c9a053a44754,54.02652,-136.29566,14.07651,6.20211,-6.829,-7.98058,-1.4827,9.50688,-7.9897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-26,14:05:35.00,1,2,"Stiffler, Mac",1000181607,Right,WES_MOU,"Nelson, JR",10074669,Right,OHI_BOB,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.76909,-3.92461,-2.079374,2412.12012,219.570535,1:15,5.99667,1.56153,6.18514,-14.4452,16.13477,12.59493,1.16099,0.69025,87.58037,-6.657526,0.19322,0.398006,,,,,,,,,,,,-7.06449,9.62914,-1.41095,50,5.69252,4.46271,-137.51941,-9.86919,-13.66791,27.55293,-13.54426,WES_MOU,OHI_BOB,WestVirginia,D1,BIG12,20250226-WestVirginia-1,a8efdb90-f474-11ef-a48f-3b261e5da7a8,94.70311,,,7.18872,,,,,,,4bfe140e-2bdb-43ab-aaaa-7284d89ee6d8,2025-02-26,19:05:35.00,2025-02-26T14:05:35.0042112-05:00,2025-02-26T19:05:35.0042112Z,,v3,5327,471399,,"Sauve, Logan",702524,Right,WES_MOU,b5b284d0-f14e-4032-9936-c0c17d463c23,54.3155,-138.38135,13.77647,5.99463,-9.44549,-6.77213,-1.55724,4.89029,-6.83395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
3,2025-02-26,14:05:47.88,1,3,"Stiffler, Mac",1000181607,Right,WES_MOU,"Nelson, JR",10074669,Right,OHI_BOB,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.59618,-2.339989,-2.623176,2471.550774,216.05457,1:15,6.13644,1.55028,6.28159,-14.2091,17.04174,11.72839,2.79216,0.10823,86.12596,-5.057079,-0.504999,0.402349,76.1907,64.542739,101.137986,5639.156595,,,,,13.79367,,,-6.7954,9.76394,-1.36231,50,5.95653,5.74575,-135.94949,-5.95789,-12.81008,27.77858,-13.76791,WES_MOU,OHI_BOB,WestVirginia,D1,BIG12,20250226-WestVirginia-1,b09bf810-f474-11ef-a48f-3b261e5da7a8,93.68105,32.01113,,7.47022,,,,1.02985,2.88421,-0.07472,4bfe140e-2bdb-43ab-aaaa-7284d89ee6d8,2025-02-26,19:05:47.88,2025-02-26T14:05:47.8830080-05:00,2025-02-26T19:05:47.8830080Z,,v3,5327,471399,,"Sauve, Logan",702524,Right,WES_MOU,e8feb6db-0082-4318-a028-7a6ad70e2518,54.21872,-136.80878,13.88929,6.13424,-5.53199,-6.88396,-1.54617,6.14201,-6.40504,331.836268,1.03584,-9.53395,-8.4476,,,,,,,2.88863,100.71036,-26.32558,,,,,,,-0.06885,46.87896,-12.09826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2025-02-26,14:06:06.59,1,4,"Stiffler, Mac",1000181607,Right,WES_MOU,"Nelson, JR",10074669,Right,OHI_BOB,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.48286,1.10776,0.504756,2492.18345,71.870093,8:30,6.05009,1.64593,5.50499,-47.95093,-3.73858,-16.04749,3.09036,0.78072,73.14222,-7.668119,-2.358734,0.478568,,,,,,,,,,,,8.19646,-1.72154,-1.67915,50,6.11491,-0.37042,-116.76467,0.58159,11.17784,24.48902,-34.52177,WES_MOU,OHI_BOB,WestVirginia,D1,BIG12,20250226-WestVirginia-1,bbc617c0-f474-11ef-a48f-3b261e5da7a8,78.76096,,,7.34063,,,,,,,4bfe140e-2bdb-43ab-aaaa-7284d89ee6d8,2025-02-26,19:06:06.59,2025-02-26T14:06:06.5993728-05:00,2025-02-26T19:06:06.5993728Z,,v3,5327,471399,,"Sauve, Logan",702524,Right,WES_MOU,a2ec1bb6-e671-4f60-a4e1-af000d257d74,54.99376,-117.80735,12.24451,6.05886,2.05144,-17.26089,-1.65324,-0.84635,5.58892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-26,14:06:22.39,1,5,"Stiffler, Mac",1000181607,Right,WES_MOU,"Nelson, JR",10074669,Right,OHI_BOB,Undefined,1,Top,0,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.61754,-0.600115,-0.600503,2583.50041,79.64273,8:45,6.1983,1.58047,5.63762,-43.9588,-1.47764,-15.50367,1.97516,-0.27174,74.93648,-8.628268,-3.375328,0.469104,,,,,,,,,,,,7.75063,-0.22091,-1.51912,50,6.119,1.84795,-118.55196,-2.73522,10.96512,23.91854,-32.48658,WES_MOU,OHI_BOB,WestVirginia,D1,BIG12,20250226-WestVirginia-1,c5367980-f474-11ef-a48f-3b261e5da7a8,80.34977,,,6.68106,,,,,,,4bfe140e-2bdb-43ab-aaaa-7284d89ee6d8,2025-02-26,19:06:22.39,2025-02-26T14:06:22.3912960-05:00,2025-02-26T19:06:22.3912960Z,,v3,5327,471399,,"Sauve, Logan",702524,Right,WES_MOU,eb2c786d-6c8b-44fc-9588-403b7fed3e13,54.86338,-119.52915,11.95927,6.20363,-1.40799,-16.24329,-1.58547,1.39997,5.48256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-26,14:06:44.03,1,6,"Stiffler, Mac",1000181607,Right,WES_MOU,"Nelson, JR",10074669,Right,OHI_BOB,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.24604,-1.269924,-2.937166,2374.490629,209.507052,1:00,6.1934,1.47698,6.24433,-15.42465,16.75875,8.94961,3.73498,-0.48864,84.87525,-4.21192,-1.323148,0.408308,,,,,,,,,,,,-5.36953,9.30272,-1.26241,50,6.09086,6.50063,-133.99945,-3.40642,-9.84588,26.65207,-15.116,WES_MOU,OHI_BOB,WestVirginia,D1,BIG12,20250226-WestVirginia-1,d20f81b0-f474-11ef-a48f-3b261e5da7a8,92.31382,,,7.37079,,,,,,,4bfe140e-2bdb-43ab-aaaa-7284d89ee6d8,2025-02-26,19:06:44.03,2025-02-26T14:06:44.0380000-05:00,2025-02-26T19:06:44.0380000Z,,v3,5327,471399,,"Sauve, Logan",702524,Right,WES_MOU,9507b770-4a8a-432a-8457-f62a13a20534,54.25438,-134.84298,13.32603,6.19111,-2.92801,-7.558,-1.47309,6.81225,-4.92294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.85891,,,0.967651,,,,3.88638,5.81928,3.09373,71.15994,8.80581,-53.62074,3.93741,74.62014,-5.32376,5.82578,14.30063,-11.59578,3.02546,-64.91356,6.58847,High,High,High,,,High,High,High
7,2025-02-26,14:07:07.37,2,1,"Stiffler, Mac",1000181607,Right,WES_MOU,"Ineich, Matthew",1000362757,Left,OHI_BOB,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.24695,-3.067079,-2.237324,2451.503601,228.247226,1:30,6.16704,1.42582,6.1282,-16.41095,14.54292,15.2806,1.95951,0.63007,87.02705,-6.158239,0.516931,0.400432,,,,,,,,,,,,-8.43571,8.56371,-1.2624,50,5.92353,4.68831,-136.84841,-7.84667,-16.15709,27.37038,-15.77183,WES_MOU,OHI_BOB,WestVirginia,D1,BIG12,20250226-WestVirginia-1,dffcb900-f474-11ef-a48f-3b261e5da7a8,94.12944,,,7.2199,,,,,,,4bfe140e-2bdb-43ab-aaaa-7284d89ee6d8,2025-02-26,19:07:07.37,2025-02-26T14:07:07.3788928-05:00,2025-02-26T19:07:07.3788928Z,,v3,5327,471399,,"Sauve, Logan",702524,Right,WES_MOU,a51011b9-b5e2-4316-8463-491b0c6ae8ff,54.37183,-137.72002,13.68519,6.16541,-7.34441,-7.88592,-1.41989,5.20283,-8.07855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-26,14:07:19.83,2,2,"Stiffler, Mac",1000181607,Right,WES_MOU,"Ineich, Matthew",1000362757,Left,OHI_BOB,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,94.21365,-1.710013,-1.993097,2421.7002,226.950714,1:30,6.08685,1.57268,6.33863,-18.13891,12.52012,12.46142,2.99947,0.77538,86.95131,-5.13228,0.262042,0.39852,99.02971,3.430123,-9.403555,1830.408731,,,,94.80429,90.69001,-13.747899,0.709862,-7.03914,7.23945,-1.43348,50,5.95361,4.26183,-137.01025,-4.65386,-13.50413,27.64768,-18.28565,WES_MOU,OHI_BOB,WestVirginia,D1,BIG12,20250226-WestVirginia-1,e76786c0-f474-11ef-a48f-3b261e5da7a8,94.58094,4.01479,,7.26234,,,,1.13395,3.03439,-0.83045,4bfe140e-2bdb-43ab-aaaa-7284d89ee6d8,2025-02-26,19:07:19.83,2025-02-26T14:07:19.8388736-05:00,2025-02-26T19:07:19.8388736Z,GroundBall,v3,5327,471399,,"Sauve, Logan",702524,Right,WES_MOU,ef2a6486-0012-4208-9799-aaf1b4f83b42,54.16245,-137.84765,13.82384,6.08617,-4.10002,-9.14283,-1.56876,4.67084,-6.75206,81.922496,1.17924,142.17493,-19.9603,,,,,,,3.06461,8.11379,-17.56758,,,,,,,-0.78167,-24.62659,-8.55613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-02-26,14:08:22.59,3,1,"Stiffler, Mac",1000181607,Right,WES_MOU,"Slanker, Ben",10073487,Left,OHI_BOB,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.20902,-3.184233,-1.886754,2320.325401,221.038368,1:15,6.18893,1.66848,5.96029,-16.66647,17.38217,14.24713,1.84271,1.10555,83.21564,-6.326004,0.673525,0.419973,,,,,,,,,,,,-7.78713,10.0504,-1.52659,50,5.92643,3.71458,-130.94261,-7.78453,-13.63674,25.41558,-14.57391,WES_MOU,OHI_BOB,WestVirginia,D1,BIG12,20250226-WestVirginia-1,0cd2b060-f475-11ef-a48f-3b261e5da7a8,89.74967,,,6.99337,,,,,,,4bfe140e-2bdb-43ab-aaaa-7284d89ee6d8,2025-02-26,19:08:22.59,2025-02-26T14:08:22.5927168-05:00,2025-02-26T19:08:22.5927168Z,,v3,5327,471399,,"Sauve, Logan",702524,Right,WES_MOU,7303883e-cfbc-407a-aba0-8b0df18b7288,54.53936,-131.82074,12.70779,6.18669,-7.28099,-7.28696,-1.66307,4.18574,-6.81837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-26,14:08:40.39,3,2,"Stiffler, Mac",1000181607,Right,WES_MOU,"Slanker, Ben",10073487,Left,OHI_BOB,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.79792,-4.557569,-4.611571,2525.15995,228.37048,1:30,6.21913,1.75578,6.14277,-16.02521,16.12198,17.05292,0.64943,-1.09393,85.69558,-7.579039,-1.548192,0.408078,,,,,,,,,,,,-10.02319,9.79032,-1.41273,50,5.86176,10.12605,-134.21945,-11.21452,-18.47564,26.20216,-14.12768,WES_MOU,OHI_BOB,WestVirginia,D1,BIG12,20250226-WestVirginia-1,17691b90-f475-11ef-a48f-3b261e5da7a8,92.36587,,,7.10233,,,,,,,4bfe140e-2bdb-43ab-aaaa-7284d89ee6d8,2025-02-26,19:08:40.39,2025-02-26T14:08:40.3930112-05:00,2025-02-26T19:08:40.3930112Z,,v3,5327,471399,,"Sauve, Logan",702524,Right,WES_MOU,5bb0ca72-fbb8-425a-acde-1266cc9eafef,54.3588,-135.06769,13.10108,6.21741,-10.75717,-7.06384,-1.75022,10.72416,-9.23782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
