PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-27,14:06:22.40,1,1,"Carrey, Sean",1000283767,Left,SAC_HOR,"Werk, Nick",10146259,Right,SOU_JAC,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,84.41817,0.467823,4.491002,1781.107863,92.881393,9:00,4.60407,-3.44352,5.81591,-37.61675,2.22551,-16.72151,1.90566,-0.65276,76.50441,-6.484611,1.503905,0.454301,78.36817,-7.292698,-26.716468,,,,,15.93964,15.90215,-22.237787,0.125696,9.97426,1.35303,3.08554,50,4.62005,-8.93102,-122.21798,-0.26382,14.93084,26.40885,-30.14865,SAC_HOR,SOU_JAC,Hornet Stadium,D1,WAC,20250227-Hornet Stadium-1,14517fa0-f557-11ef-b3a6-d76836a7eb52,82.96801,2.02705,,7.91376,,,,2.09413,2.02705,0.57571,9f21a377-4eaa-4e3f-9e48-e72c01ed6b31,2025-02-27,22:06:22.40,2025-02-27T14:06:22.4049664-08:00,2025-02-27T22:06:22.4049664Z,GroundBall,v3,471257,471442,,"Cortez, Jacob",1000243618,Right,SAC_HOR,54d5531b-76a8-46a1-a096-e8d66fe605a4,54.6825,-123.22562,13.20443,4.60817,0.88651,-15.07432,3.43718,-9.50072,7.46542,99.612418,2.09409,101.84219,-8.93401,,,,,,,2.02708,-14.59314,-12.20322,,,,,,,0.57578,-51.26322,-10.42037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-02-27,14:07:02.92,2,1,"Carrey, Sean",1000283767,Left,SAC_HOR,"Grawe, Nolan",10264863,Left,SOU_JAC,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.85791,0.184777,5.823809,1789.634483,95.87075,9:15,4.56462,-3.48071,5.91112,-35.49718,3.01433,-16.24977,1.7789,0.58902,77.76917,-6.383822,2.926309,0.44665,,,,,,,,,,,,10.07115,1.89205,3.02135,50,4.55944,-11.98393,-124.04874,-0.7974,15.55039,26.91831,-29.25264,SAC_HOR,SOU_JAC,Hornet Stadium,D1,WAC,20250227-Hornet Stadium-1,2c78f860-f557-11ef-b3a6-d76836a7eb52,84.3893,,,8.08875,,,,,,,9f21a377-4eaa-4e3f-9e48-e72c01ed6b31,2025-02-27,22:07:02.92,2025-02-27T14:07:02.9208576-08:00,2025-02-27T22:07:02.9208576Z,,v3,471257,471442,,"Cortez, Jacob",1000243618,Right,SAC_HOR,f7f1e801-9746-4a5e-bcfb-aae89e47b411,54.58593,-125.03992,13.45916,4.56897,0.27973,-14.62632,3.47316,-12.55653,7.7752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-27,14:07:18.70,2,2,"Carrey, Sean",1000283767,Left,SAC_HOR,"Grawe, Nolan",10264863,Left,SOU_JAC,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.39809,0.771502,6.007756,1896.283333,107.749488,9:30,4.60513,-3.49522,5.94256,-32.24411,6.98524,-17.2243,2.63774,0.66255,76.56971,-5.249238,2.938356,0.450793,,,,,,,,,,,,10.7365,3.76075,3.02449,50,4.64909,-12.25142,-123.21423,0.62098,16.22243,28.3965,-26.49172,SAC_HOR,SOU_JAC,Hornet Stadium,D1,WAC,20250227-Hornet Stadium-1,35e05970-f557-11ef-b3a6-d76836a7eb52,83.61363,,,8.82838,,,,,,,9f21a377-4eaa-4e3f-9e48-e72c01ed6b31,2025-02-27,22:07:18.70,2025-02-27T14:07:18.7095552-08:00,2025-02-27T22:07:18.7095552Z,,v3,471257,471442,,"Cortez, Jacob",1000243618,Right,SAC_HOR,c7375c6a-1965-43b1-b4d3-4abcb5635afb,54.55234,-124.25895,14.19825,4.60832,1.59563,-13.24586,3.48621,-12.84826,8.11121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-27,14:07:37.16,2,3,"Carrey, Sean",1000283767,Left,SAC_HOR,"Grawe, Nolan",10264863,Left,SOU_JAC,Undefined,1,Top,0,0,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.29981,0.713679,5.52404,1884.84832,107.641776,9:30,4.67361,-3.43782,5.87156,-31.78167,6.44162,-15.99182,2.69114,0.37627,77.87429,-5.199035,2.67423,0.444975,114.52065,-16.980183,-71.269182,,,,,9.41062,9.41062,-66.352513,0.053988,9.88469,3.46122,2.99905,50,4.71331,-11.39678,-124.69846,0.50275,15.38993,27.69704,-26.78511,SAC_HOR,SOU_JAC,Hornet Stadium,D1,WAC,20250227-Hornet Stadium-1,40f25d40-f557-11ef-b3a6-d76836a7eb52,84.70691,2.6517,,8.42552,,,,0.98604,2.6517,-0.3963,9f21a377-4eaa-4e3f-9e48-e72c01ed6b31,2025-02-27,22:07:37.16,2025-02-27T14:07:37.1684864-08:00,2025-02-27T22:07:37.1684864Z,GroundBall,v3,471257,471442,,"Cortez, Jacob",1000243618,Right,SAC_HOR,6db36bff-0604-4e94-bec6-70752d8c4ef1,54.625,-125.72153,13.84852,4.67646,1.49213,-13.39255,3.43052,-11.96525,7.69496,,0.98545,51.65332,,,,,,,,2.65225,-49.11669,,,,,,,,-0.39456,-152.33331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2025-02-27,14:07:55.65,2,4,"Carrey, Sean",1000283767,Left,SAC_HOR,"Grawe, Nolan",10264863,Left,SOU_JAC,Undefined,1,Top,0,0,2,Curveball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.61451,0.113563,4.336337,1762.82774,142.227594,10:45,4.66128,-3.44284,5.75738,-41.27758,8.00233,-4.69374,1.32749,0.21001,68.61711,-7.560259,3.499395,0.50525,68.71598,-36.202146,59.331029,,,,,4.9304,3.91575,20.761769,0.027176,3.96638,4.53937,3.08582,50,4.64591,-8.22171,-110.70288,-1.01103,4.78792,24.78279,-26.69449,SAC_HOR,SOU_JAC,Hornet Stadium,D1,WAC,20250227-Hornet Stadium-1,4be910e0-f557-11ef-b3a6-d76836a7eb52,74.60158,1.6217,,7.9974,,,,3.48011,1.6217,-0.15795,9f21a377-4eaa-4e3f-9e48-e72c01ed6b31,2025-02-27,22:07:55.65,2025-02-27T14:07:55.6533760-08:00,2025-02-27T22:07:55.6533760Z,GroundBall,v3,471257,471442,,"Cortez, Jacob",1000243618,Right,SAC_HOR,d1d5ad7b-37fc-4a05-b0ef-a9b9aac83948,54.73748,-111.75841,12.39139,4.66476,0.12593,-13.34724,3.44033,-8.42564,2.39396,,3.47966,41.58469,,,,,,,,1.62234,-59.6729,,,,,,,,-0.15871,70.12308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-02-27,14:08:28.27,2,5,"Carrey, Sean",1000283767,Left,SAC_HOR,"Grawe, Nolan",10264863,Left,SOU_JAC,Undefined,1,Top,0,1,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.80268,1.30245,5.465263,1765.975652,104.867342,9:30,4.74726,-3.36664,5.71458,-34.27285,6.24268,-18.39891,3.11024,0.20677,76.04864,-5.038035,2.195384,0.458123,,,,,,,,,,,,10.95918,3.17835,2.92007,50,4.83546,-10.84453,-121.14755,1.62571,16.21661,24.62569,-27.47099,SAC_HOR,SOU_JAC,Hornet Stadium,D1,WAC,20250227-Hornet Stadium-1,5f5ee870-f557-11ef-b3a6-d76836a7eb52,82.27579,,,7.75404,,,,,,,9f21a377-4eaa-4e3f-9e48-e72c01ed6b31,2025-02-27,22:08:28.27,2025-02-27T14:08:28.2754048-08:00,2025-02-27T22:08:28.2754048Z,,v3,471257,471442,,"Cortez, Jacob",1000243618,Right,SAC_HOR,bd8c5f8e-fa77-4166-aea4-ed059d2b6e99,54.78351,-122.11602,12.31284,4.75028,2.70608,-13.73549,3.3591,-11.4823,8.1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-27,14:08:48.71,2,6,"Carrey, Sean",1000283767,Left,SAC_HOR,"Grawe, Nolan",10264863,Left,SOU_JAC,Undefined,1,Top,0,1,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.99144,-0.548176,8.053923,1923.931195,99.251873,9:15,4.52909,-3.271,6.09159,-33.98829,4.20957,-18.02977,1.18462,2.7256,78.36754,-6.829688,4.853417,0.444827,,,,,,,,,,,,11.50312,2.73315,2.65555,50,4.46872,-16.78721,-123.7789,-2.30761,17.82892,24.93115,-27.93789,SAC_HOR,SOU_JAC,Hornet Stadium,D1,WAC,20250227-Hornet Stadium-1,6b8a99a0-f557-11ef-b3a6-d76836a7eb52,84.73511,,,7.62389,,,,,,,9f21a377-4eaa-4e3f-9e48-e72c01ed6b31,2025-02-27,22:08:48.71,2025-02-27T14:08:48.7159296-08:00,2025-02-27T22:08:48.7159296Z,,v3,471257,471442,,"Cortez, Jacob",1000243618,Right,SAC_HOR,fb7f45aa-8514-4315-83e8-3f2815fbf90c,54.40615,-124.66321,12.46557,4.533,-1.31665,-13.96895,3.26221,-17.4196,8.91446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-27,14:09:07.49,2,7,"Carrey, Sean",1000283767,Left,SAC_HOR,"Grawe, Nolan",10264863,Left,SOU_JAC,Undefined,1,Top,0,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.77226,0.120193,4.381896,1843.617846,178.631897,12:00,4.5821,-3.52613,5.84184,-40.98506,6.51185,-0.12157,1.27871,0.54392,70.83909,-7.414679,4.360194,0.496026,88.28395,21.060063,-35.167209,4147.323918,86.95086,29.11501,-67.37552,232.83016,179.05418,-42.590742,2.782176,1.23406,3.69563,3.16887,50,4.56759,-8.52339,-111.28694,-0.99598,1.55362,19.24441,-27.5214,SAC_HOR,SOU_JAC,Hornet Stadium,D1,WAC,20250227-Hornet Stadium-1,76ba5ea0-f557-11ef-b3a6-d76836a7eb52,75.98889,30.15147,,5.93317,,,,2.09719,0.95541,-0.21156,9f21a377-4eaa-4e3f-9e48-e72c01ed6b31,2025-02-27,22:09:07.49,2025-02-27T14:09:07.4931712-08:00,2025-02-27T22:09:07.4931712Z,LineDrive,v3,471257,471442,,"Cortez, Jacob",1000243618,Right,SAC_HOR,29cfb4ef-e08a-4fd1-a5c3-151416e1dbf7,54.65671,-112.08931,9.62221,4.5852,0.1515,-13.7607,3.52559,-8.58816,0.77681,,2.09721,98.77718,-22.55922,5.20632,-1.11674,0.18903,-0.01197,-0.00302,0.00052,0.95528,46.53707,-21.08023,2.76305,-1.02794,0.51856,-0.2071,0.04586,-0.0041,-0.21159,-69.59421,7.82405,-1.79581,0.3244,-0.00269,-0.02632,0.00822,-0.00084,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-02-27,14:09:49.81,2,8,"Carrey, Sean",1000283767,Left,SAC_HOR,"Grawe, Nolan",10264863,Left,SOU_JAC,Undefined,1,Top,0,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.32391,0.219636,8.067668,1752.299527,101.416153,9:30,4.56691,-3.47143,6.04189,-33.74411,4.225,-14.74013,1.96029,2.81933,78.64548,-6.010506,5.456577,0.443493,,,,,,,,,,,,9.82197,2.50016,2.84653,50,4.56611,-17.01486,-124.2435,-0.6317,15.34298,25.04,-28.26851,SAC_HOR,SOU_JAC,Hornet Stadium,D1,WAC,20250227-Hornet Stadium-1,8ff40ab0-f557-11ef-b3a6-d76836a7eb52,84.98998,,,7.67844,,,,,,,9f21a377-4eaa-4e3f-9e48-e72c01ed6b31,2025-02-27,22:09:49.81,2025-02-27T14:09:49.8158080-08:00,2025-02-27T22:09:49.8158080Z,,v3,471257,471442,,"Cortez, Jacob",1000243618,Right,SAC_HOR,8377fdf8-8b77-4259-9495-3ca618929483,54.45571,-125.13828,12.52,4.57064,0.37845,-14.13426,3.46434,-17.56313,7.67149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-27,14:10:11.83,2,9,"Carrey, Sean",1000283767,Left,SAC_HOR,"Grawe, Nolan",10264863,Left,SOU_JAC,Undefined,1,Top,0,2,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.7554,-0.562178,8.482733,1861.989143,100.847005,9:15,4.59272,-3.39841,6.02815,-34.33687,4.31681,-15.72143,1.20492,3.20504,78.05671,-6.89499,5.702081,0.447473,,,,,,,,,,,,10.4963,2.78299,2.73905,50,4.5298,-17.75264,-123.2679,-2.3488,16.10521,25.13921,-27.90392,SAC_HOR,SOU_JAC,Hornet Stadium,D1,WAC,20250227-Hornet Stadium-1,9d191000-f557-11ef-b3a6-d76836a7eb52,84.23397,,,7.69869,,,,,,,9f21a377-4eaa-4e3f-9e48-e72c01ed6b31,2025-02-27,22:10:11.83,2025-02-27T14:10:11.8326272-08:00,2025-02-27T22:10:11.8326272Z,,v3,471257,471442,,"Cortez, Jacob",1000243618,Right,SAC_HOR,5f91375b-8781-4dcd-bb35-de05d4758ca9,54.46941,-124.17604,12.56961,4.59645,-1.34078,-13.95196,3.39087,-18.33443,8.05261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
