PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,14:00:57.01,1,1,"Marose, Doug",10303186,Right,DEL_BLU,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.75612,0.920154,-0.465281,2148.956707,55.01615,7:45,5.96112,1.91636,5.69749,-61.42669,-13.19237,-21.14064,1.69983,-0.27897,70.31965,-10.263164,-4.257166,0.499861,,,,,,,,,,,,10.64922,-6.5887,-1.86373,50,5.99987,1.68663,-111.50531,-0.21631,13.21753,22.70147,-40.35175,DEL_BLU,BRY_BUL,BobHannahStadium,D1,CAA,20250301-BobHannahStadium-1,825052a0-f6cf-11ef-b6ba-c311c8297b75,75.40579,,,6.43647,,,,,,,255c5ecc-4a04-43ef-a5fe-bd3ebb78f79d,2025-03-01,19:00:57.01,2025-03-01T14:00:57.0105856-05:00,2025-03-01T19:00:57.0105856Z,,v3,471283,471248,,"Walmsley, Brett",10109573,Right,DEL_BLU,8b34a8e3-1f23-498d-8b80-bb4520ece52d,54.80785,-112.47989,11.35074,5.97198,1.51599,-20.17588,-1.92396,1.1192,6.60877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,14:01:07.74,1,2,"Marose, Doug",10303186,Right,DEL_BLU,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.03857,1.226025,0.341007,2189.976868,49.678557,7:45,5.98562,1.79881,5.5967,-55.50334,-10.57339,-13.98391,2.50523,0.95187,73.19281,-8.857971,-2.160916,0.482435,,,,,,,,,,,,7.16103,-5.24894,-1.81887,50,6.05459,-0.14132,-114.94202,0.55178,9.62055,20.46336,-39.22578,DEL_BLU,BRY_BUL,BobHannahStadium,D1,CAA,20250301-BobHannahStadium-1,88afa3d0-f6cf-11ef-b6ba-c311c8297b75,78.12949,,,5.84576,,,,,,,255c5ecc-4a04-43ef-a5fe-bd3ebb78f79d,2025-03-01,19:01:07.74,2025-03-01T14:01:07.7415424-05:00,2025-03-01T19:01:07.7415424Z,,v3,471283,471248,,"Walmsley, Brett",10109573,Right,DEL_BLU,f116fb8e-4539-4714-9ede-70505bdaf6d4,54.90837,-115.81257,10.23168,5.99562,2.22052,-19.61289,-1.80415,-0.55059,4.81028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,14:01:19.51,1,3,"Marose, Doug",10303186,Right,DEL_BLU,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.27221,-1.554792,-2.51689,1408.282846,266.787638,3:00,5.59656,2.32678,6.59296,-38.52774,2.03547,11.75772,0.95957,0.99894,75.12526,-8.744033,-0.375603,0.458393,80.98567,4.449464,12.240391,2489.581685,,,,63.96013,61.94244,13.604623,0.560272,-6.99272,1.93433,-2.15928,50,5.47434,4.84152,-119.47189,-4.35413,-9.99852,25.32081,-29.40823,DEL_BLU,BRY_BUL,BobHannahStadium,D1,CAA,20250301-BobHannahStadium-1,8fb34b50-f6cf-11ef-b6ba-c311c8297b75,82.22742,2.10462,,7.14695,,,,1.86369,1.07004,-0.99422,255c5ecc-4a04-43ef-a5fe-bd3ebb78f79d,2025-03-01,19:01:19.51,2025-03-01T14:01:19.5193344-05:00,2025-03-01T19:01:19.5193344Z,GroundBall,v3,471283,471248,,"Walmsley, Brett",10109573,Right,DEL_BLU,24b502a9-216c-43e8-b293-2f12f766f6be,53.90828,-120.29736,12.66041,5.60066,-3.39541,-14.70411,-2.32243,5.16747,-4.99926,289.097282,1.8744,115.47294,-14.06583,,,,,,,1.08498,8.8572,-19.31036,,,,,,,-1.00856,25.45175,5.75594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-03-01,14:01:48.31,2,1,"Marose, Doug",10303186,Right,DEL_BLU,"Durand, Brandyn",1000090563,Right,BRY_BUL,Undefined,1,Top,1,0,0,Curveball,Curveball,InPlay,Undefined,Bunt,Out,1,0,,76.17131,2.373234,-0.586229,2145.091292,57.633362,8:00,6.03755,1.87285,5.975,-60.55141,-12.9165,-22.44474,3.1931,-0.54103,70.75671,-8.691245,-4.624206,0.496746,22.79772,28.137953,-1.677514,1526.764782,,,,34.64993,34.51527,1.240116,1.233945,11.47615,-6.97048,-1.81362,50,6.19117,1.90901,-110.84216,2.72569,14.35123,18.8516,-40.89081,DEL_BLU,BRY_BUL,BobHannahStadium,D1,CAA,20250301-BobHannahStadium-1,a0e48a10-f6cf-11ef-b6ba-c311c8297b75,75.87876,7.37661,,5.4146,,,,2.11575,3.32978,0.46556,255c5ecc-4a04-43ef-a5fe-bd3ebb78f79d,2025-03-01,19:01:48.31,2025-03-01T14:01:48.3130880-05:00,2025-03-01T19:01:48.3130880Z,GroundBall,v3,471283,471248,,"Walmsley, Brett",10109573,Right,DEL_BLU,97f7638d-fbd1-4c9e-95b1-5f56cd510635,54.53301,-111.61046,9.4258,6.04613,4.39219,-20.44541,-1.8795,1.32412,7.17561,203.170834,2.11575,29.47246,-2.81977,0.18507,0.08908,-0.07702,0.06198,-0.02907,0.00571,3.32978,15.76853,-15.69641,0.68794,-0.04111,-0.03039,-0.00655,0.00744,-0.00168,0.46556,-0.86321,0.89625,-0.08591,0.07038,0.02424,-0.04311,0.01876,-0.00321,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-03-01,14:02:18.74,3,1,"Marose, Doug",10303186,Right,DEL_BLU,"Noriega, Gavin",1000156051,Right,BRY_BUL,Undefined,1,Top,2,0,0,Cutter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.02617,-2.359265,-2.397607,1174.978508,185.904746,12:15,5.86701,2.13177,6.65752,-30.80899,8.95268,0.78591,1.1374,0.00182,75.77261,-8.148252,-2.254471,0.453841,,,,,,,,,,,,-1.15287,5.84638,-1.97083,50,5.69586,5.01769,-120.49409,-5.81043,-1.67782,25.61771,-23.66551,DEL_BLU,BRY_BUL,BobHannahStadium,D1,CAA,20250301-BobHannahStadium-1,b2fec940-f6cf-11ef-b6ba-c311c8297b75,83.05207,,,7.25357,,,,,,,255c5ecc-4a04-43ef-a5fe-bd3ebb78f79d,2025-03-01,19:02:18.74,2025-03-01T14:02:18.7413504-05:00,2025-03-01T19:02:18.7413504Z,,v3,471283,471248,,"Walmsley, Brett",10109573,Right,DEL_BLU,0acda9f0-8c8b-4c1e-85c3-cd764a6cf827,53.84216,-121.3082,12.80886,5.86857,-5.05835,-11.83276,-2.13113,5.07101,-0.83891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-01,14:02:32.66,3,2,"Marose, Doug",10303186,Right,DEL_BLU,"Noriega, Gavin",1000156051,Right,BRY_BUL,Undefined,1,Top,2,1,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.59573,-2.224888,-3.090188,1331.851313,218.9804,1:15,5.73113,2.28921,6.52026,-32.95329,7.97815,5.44622,0.93959,-0.09507,75.34199,-8.363349,-2.101524,0.460468,,,,,,,,,,,,-3.73288,5.14114,-2.07628,50,5.5615,6.21348,-118.49027,-5.52772,-5.3194,22.14567,-24.84785,DEL_BLU,BRY_BUL,BobHannahStadium,D1,CAA,20250301-BobHannahStadium-1,bb51d420-f6cf-11ef-b6ba-c311c8297b75,81.85674,,,6.25374,,,,,,,255c5ecc-4a04-43ef-a5fe-bd3ebb78f79d,2025-03-01,19:02:32.66,2025-03-01T14:02:32.6600000-05:00,2025-03-01T19:02:32.6600000Z,,v3,471283,471248,,"Walmsley, Brett",10109573,Right,DEL_BLU,9dc99c11-a09e-436c-84d3-7bec2e2cb71e,53.98219,-119.23222,11.07283,5.73275,-4.69524,-12.42393,-2.28743,6.3917,-2.6597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,14:02:46.31,3,3,"Marose, Doug",10303186,Right,DEL_BLU,"Noriega, Gavin",1000156051,Right,BRY_BUL,Undefined,1,Top,2,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.52183,3.203032,1.874335,2195.933202,50.151391,7:45,5.9172,2.11271,5.63554,-61.39397,-12.23493,-16.33241,3.79413,2.50102,69.81412,-7.969425,-1.043361,0.50463,,,,,,,,,,,,8.71792,-6.52201,-2.26169,50,6.15072,-2.97957,-109.69029,4.12464,10.69847,18.08682,-40.17774,DEL_BLU,BRY_BUL,BobHannahStadium,D1,CAA,20250301-BobHannahStadium-1,c37172f0-f6cf-11ef-b6ba-c311c8297b75,74.6932,,,5.70771,,,,,,,255c5ecc-4a04-43ef-a5fe-bd3ebb78f79d,2025-03-01,19:02:46.31,2025-03-01T14:02:46.3101440-05:00,2025-03-01T19:02:46.3101440Z,,v3,471283,471248,,"Walmsley, Brett",10109573,Right,DEL_BLU,d9f29628-0bbf-44c3-87a3-f0d11099a935,54.87096,-110.49054,9.04341,5.92889,5.90231,-20.08887,-2.11938,-3.45293,5.34924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-01,14:02:59.75,3,4,"Marose, Doug",10303186,Right,DEL_BLU,"Noriega, Gavin",1000156051,Right,BRY_BUL,Undefined,1,Top,2,2,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.43662,-2.508794,-2.197675,2138.874606,228.331987,1:30,6.03149,1.77724,6.90866,-26.26466,7.87969,7.47044,1.55471,0.39723,80.94229,-7.492607,-0.830083,0.420563,,,,,,,,,,,,-4.69276,5.38032,-1.64127,50,5.86457,4.70406,-129.78519,-6.42041,-7.86823,31.46771,-23.15298,DEL_BLU,BRY_BUL,BobHannahStadium,D1,CAA,20250301-BobHannahStadium-1,cb6c72c0-f6cf-11ef-b6ba-c311c8297b75,89.62377,,,8.49433,,,,,,,255c5ecc-4a04-43ef-a5fe-bd3ebb78f79d,2025-03-01,19:02:59.75,2025-03-01T14:02:59.7524480-05:00,2025-03-01T19:02:59.7524480Z,,v3,471283,471248,,"Walmsley, Brett",10109573,Right,DEL_BLU,1716aa00-725d-44bb-b0dc-169771672f23,53.59013,-130.65276,15.73386,6.03278,-5.78208,-11.57649,-1.77395,4.92098,-3.93411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-01,14:03:15.08,3,5,"Marose, Doug",10303186,Right,DEL_BLU,"Noriega, Gavin",1000156051,Right,BRY_BUL,Undefined,1,Top,2,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.3102,-2.055141,-3.296989,1518.243281,235.663451,1:45,5.75642,2.25348,6.58493,-35.90482,4.96882,4.68079,0.87706,-0.3812,73.86689,-8.83103,-2.446143,0.460143,,,,,,,,,,,,-3.80764,3.90662,-2.02929,50,5.60089,6.77062,-120.49248,-5.35033,-5.36063,32.63345,-26.67404,DEL_BLU,BRY_BUL,BobHannahStadium,D1,CAA,20250301-BobHannahStadium-1,d492d330-f6cf-11ef-b6ba-c311c8297b75,81.91457,,,9.4433,,,,,,,255c5ecc-4a04-43ef-a5fe-bd3ebb78f79d,2025-03-01,19:03:15.08,2025-03-01T14:03:15.0840000-05:00,2025-03-01T19:03:15.0840000Z,,v3,471283,471248,,"Walmsley, Brett",10109573,Right,DEL_BLU,01274927-62cf-40ac-8e73-244b10ad8016,53.91162,-121.54726,16.31673,5.75989,-4.48817,-13.33702,-2.25093,6.94389,-2.68032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
10,2025-03-01,14:03:52.69,3,6,"Marose, Doug",10303186,Right,DEL_BLU,"Noriega, Gavin",1000156051,Right,BRY_BUL,Undefined,1,Top,2,2,2,FourSeamFastBall,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.53474,-1.964531,-0.885773,2163.071476,206.548468,1:00,6.23167,1.36012,6.69005,-25.19549,7.29567,3.11327,2.33441,0.80939,83.56839,-6.714396,-0.317874,0.410255,86.9455,28.763252,-72.359747,4684.402474,21.50353,47.16667,-107.87747,260.15857,116.75638,-89.76928,3.619363,-1.90744,4.75555,-1.3022,50,6.09074,1.93658,-133.02842,-5.31933,-3.39648,30.22238,-23.70603,DEL_BLU,BRY_BUL,BobHannahStadium,D1,CAA,20250301-BobHannahStadium-1,eafc9660-f6cf-11ef-b6ba-c311c8297b75,91.87558,51.39756,,7.96635,,,,1.1548,2.24989,-0.98301,255c5ecc-4a04-43ef-a5fe-bd3ebb78f79d,2025-03-01,19:03:52.69,2025-03-01T14:03:52.6907392-05:00,2025-03-01T19:03:52.6907392Z,LineDrive,v3,471283,471248,,"Walmsley, Brett",10109573,Right,DEL_BLU,928c5675-f7e5-4d0e-a591-dfbd0e349371,53.80995,-133.89119,15.11119,6.23294,-4.64258,-11.85302,-1.35887,2.03354,-1.69824,,1.15449,33.89335,-18.57021,4.83119,-1.11835,0.21304,-0.0298,0.00253,-9E-05,2.2502,61.3443,-22.02881,2.37834,-0.53666,0.13159,-0.0287,0.00427,-0.00028,-0.98311,-106.52606,17.53088,-3.93079,0.83748,-0.15655,0.02247,-0.00195,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
