PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,13:37:44.54,1,1,"McCoy, Jake",811690,Left,SOU_GAM,"Listi, Dominic",1000310911,Left,CLE_TIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.46321,0.173944,2.367709,2607.734274,153.462663,11:00,5.15584,-2.04427,5.88803,-25.46982,6.3187,-2.8,3.195,-0.07785,86.85359,-4.508512,1.865748,0.405795,,,,,,,,,,,,1.90036,3.44583,1.85497,50,5.15487,-5.44871,-134.63297,-0.50712,3.59249,21.00981,-25.65992,SOU_GAM,CLE_TIG,FluorField,D1,SEC,20250301-FluorField-1,443f86f0-f6cc-11ef-9794-cfd124cbb8c7,92.88544,,,5.60962,,,,,,,75da7a9c-bf35-4cc3-b888-88a250f68000,2025-03-01,18:37:44.54,2025-03-01T13:37:44.5400576-05:00,2025-03-01T18:37:44.5400576Z,,v3,471441,471272,,"LeCroy, Talmadge",701782,Right,SOU_GAM,3390ce01-d7f0-4dda-a9b7-d190b3a19ab5,54.61309,-135.35094,10.50491,5.15721,0.36975,-12.82996,2.04326,-5.57148,1.79625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,13:37:57.40,1,2,"McCoy, Jake",811690,Left,SOU_GAM,"Listi, Dominic",1000310911,Left,CLE_TIG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.6265,-1.221806,1.367546,2671.737411,160.906184,11:15,5.21247,-1.96798,6.10673,-18.92281,12.35709,-3.97063,2.50525,-1.03403,86.44442,-4.773952,0.65201,0.402535,,,,,,,,,,,,2.43673,6.9891,1.86518,50,5.1086,-3.09159,-136.20203,-3.52132,4.61923,27.35109,-18.925,SOU_GAM,CLE_TIG,FluorField,D1,SEC,20250301-FluorField-1,4be7abd0-f6cc-11ef-9794-cfd124cbb8c7,93.63757,,,7.18208,,,,,,,75da7a9c-bf35-4cc3-b888-88a250f68000,2025-03-01,18:37:57.40,2025-03-01T13:37:57.4079488-05:00,2025-03-01T18:37:57.4079488Z,,v3,471441,471272,,"LeCroy, Talmadge",701782,Right,SOU_GAM,b140ee08-30b8-4a41-9477-a04d6181b4be,54.3946,-137.08168,13.67555,5.21206,-2.91266,-9.4625,1.967,-3.24015,2.30962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,13:38:11.79,1,3,"McCoy, Jake",811690,Left,SOU_GAM,"Listi, Dominic",1000310911,Left,CLE_TIG,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,93.63538,-0.71196,2.224867,2619.439936,152.595853,11:00,5.12166,-2.0965,5.89254,-22.82627,8.60056,-4.01894,2.55792,-0.36468,86.79194,-4.942316,1.504025,0.40348,101.69552,10.022215,36.579826,2498.762182,84.72979,10.29061,70.14808,180.05247,176.42732,41.810916,1.432528,2.60217,4.84177,1.91966,50,5.05098,-5.11799,-136.16009,-2.50094,4.95565,25.85071,-22.9532,SOU_GAM,CLE_TIG,FluorField,D1,SEC,20250301-FluorField-1,547f87e0-f6cc-11ef-9794-cfd124cbb8c7,93.41846,10.85783,,6.84344,,,,1.687,2.91748,0.57428,75da7a9c-bf35-4cc3-b888-88a250f68000,2025-03-01,18:38:11.79,2025-03-01T13:38:11.7956096-05:00,2025-03-01T18:38:11.7956096Z,LineDrive,v3,471441,471272,,"LeCroy, Talmadge",701782,Right,SOU_GAM,934c92f9-7d02-4830-8015-6808a359fd18,54.60768,-137.03209,12.92535,5.12229,-1.72668,-11.4766,2.09511,-5.28515,2.47782,,1.687,117.94731,-22.22866,4.07856,-0.749,-0.01496,0.09621,-0.04348,0.00732,2.91748,25.95755,-22.88834,3.04407,-0.62294,0.07938,0.02451,-0.0162,0.00294,0.57428,87.52906,-1.2396,-1.76652,0.53819,-0.00689,-0.10235,0.0506,-0.00877,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
4,2025-03-01,13:39:05.79,2,1,"McCoy, Jake",811690,Left,SOU_GAM,"Paino, Josh",1000050349,Right,CLE_TIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.43141,0.170472,2.296099,2593.385321,159.589928,11:15,5.20411,-2.08263,6.0048,-22.48178,7.98772,-2.70284,3.4887,-0.1794,88.27712,-3.990546,1.810528,0.397287,,,,,,,,,,,,1.86921,4.32063,1.90364,50,5.20494,-5.3959,-137.45923,-0.38587,3.66678,23.24746,-23.69843,SOU_GAM,CLE_TIG,FluorField,D1,SEC,20250301-FluorField-1,74b73620-f6cc-11ef-9794-cfd124cbb8c7,94.8746,,,6.15428,,,,,,,75da7a9c-bf35-4cc3-b888-88a250f68000,2025-03-01,18:39:05.79,2025-03-01T13:39:05.7973248-05:00,2025-03-01T18:39:05.7973248Z,,v3,471441,471272,,"LeCroy, Talmadge",701782,Right,SOU_GAM,b1ce5c17-59b9-4f03-b7d7-49edac9d82f4,54.49562,-138.21745,11.62373,5.20492,0.38706,-11.84922,2.08158,-5.5155,1.83339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-01,13:39:24.01,2,2,"McCoy, Jake",811690,Left,SOU_GAM,"Paino, Josh",1000050349,Right,CLE_TIG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.45087,-0.791565,2.110467,2611.008789,155.883434,11:15,5.15291,-2.00349,6.05375,-23.71517,7.45402,-2.9874,2.4434,-0.29802,87.17249,-5.180644,1.572917,0.401822,85.2591,61.469978,96.56477,5380.548612,,,,,56.80826,,,2.01516,4.26729,1.84106,50,5.07836,-4.8882,-136.00833,-2.70533,3.853,24.02996,-24.01497,SOU_GAM,CLE_TIG,FluorField,D1,SEC,20250301-FluorField-1,7f8fda70-f6cc-11ef-9794-cfd124cbb8c7,93.80376,69.19977,,6.27838,,,,,,,75da7a9c-bf35-4cc3-b888-88a250f68000,2025-03-01,18:39:24.01,2025-03-01T13:39:24.0156672-05:00,2025-03-01T18:39:24.0156672Z,,v3,471441,471272,,"LeCroy, Talmadge",701782,Right,SOU_GAM,c118c378-cb42-417a-b90e-f9087ece08ed,54.4471,-136.79179,12.01498,5.1538,-1.92236,-12.00749,2.00248,-5.01382,1.9265,,2.20391,-6.82809,-0.85716,0.76557,-0.29452,0.09735,-0.02864,0.00696,-0.00096,2.40299,109.8617,-44.43657,8.7756,-2.03652,0.4316,-0.08585,0.01462,-0.00144,4.49064,59.33299,3.82559,-5.00855,2.02508,-0.68768,0.20556,-0.05061,0.00709,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
6,2025-03-01,13:39:46.79,2,3,"McCoy, Jake",811690,Left,SOU_GAM,"Paino, Josh",1000050349,Right,CLE_TIG,Undefined,1,Top,0,0,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.72142,-0.36359,1.13935,3001.573316,306.230629,4:15,4.9393,-2.1793,5.20759,-40.49514,-1.77221,3.94406,1.22271,-0.77903,79.28436,-7.692694,1.839282,0.447874,,,,,,,,,,,,-1.68197,-0.46358,2.07082,50,4.87491,-2.64789,-124.53471,-2.34085,-2.65948,23.40613,-32.90707,SOU_GAM,CLE_TIG,FluorField,D1,SEC,20250301-FluorField-1,8d2c0b90-f6cc-11ef-9794-cfd124cbb8c7,84.15861,,,6.43706,,,,,,,75da7a9c-bf35-4cc3-b888-88a250f68000,2025-03-01,18:39:46.79,2025-03-01T13:39:46.7985408-05:00,2025-03-01T18:39:46.7985408Z,,v3,471441,471272,,"LeCroy, Talmadge",701782,Right,SOU_GAM,22182abc-180e-40c6-85ab-a1b69ae6edf6,55.2923,-125.52545,11.70306,4.94451,-0.94796,-16.45353,2.18052,-2.53532,-1.32974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,13:40:04.35,2,4,"McCoy, Jake",811690,Left,SOU_GAM,"Paino, Josh",1000050349,Right,CLE_TIG,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.77587,-0.11276,3.76167,2710.671459,169.232928,11:45,5.21992,-1.99203,5.68896,-23.36438,8.0576,-1.38579,3.16757,1.40345,87.5171,-4.406532,3.514831,0.403449,,,,,,,,,,,,1.50642,4.37827,1.67621,50,5.1956,-8.89588,-136.23849,-1.13452,2.89708,23.4078,-23.75397,SOU_GAM,CLE_TIG,FluorField,D1,SEC,20250301-FluorField-1,97a1f670-f6cc-11ef-9794-cfd124cbb8c7,93.42565,,,6.25877,,,,,,,75da7a9c-bf35-4cc3-b888-88a250f68000,2025-03-01,18:40:04.35,2025-03-01T13:40:04.3589120-05:00,2025-03-01T18:40:04.3589120Z,,v3,471441,471272,,"LeCroy, Talmadge",701782,Right,SOU_GAM,be461a56-5289-4845-9ded-558af2326323,54.8111,-137.06261,11.7039,5.22082,-0.29821,-11.87699,1.99121,-8.99788,1.44854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-01,13:40:24.93,2,5,"McCoy, Jake",811690,Left,SOU_GAM,"Paino, Josh",1000050349,Right,CLE_TIG,Undefined,1,Top,0,2,2,Cutter,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.37445,-0.545065,3.810656,1869.504055,79.720948,8:45,4.72873,-2.36217,6.32368,-37.27915,-2.09673,-17.53529,1.11904,-0.30891,81.2222,-7.44349,0.639824,0.426908,,,,,,,,,,,,10.26749,-0.68043,2.09202,50,4.67095,-7.87973,-128.33518,-2.45158,17.14125,26.30212,-33.31004,SOU_GAM,CLE_TIG,FluorField,D1,SEC,20250301-FluorField-1,a3e5c380-f6cc-11ef-9794-cfd124cbb8c7,88.29173,,,7.15226,,,,,,,75da7a9c-bf35-4cc3-b888-88a250f68000,2025-03-01,18:40:24.93,2025-03-01T13:40:24.9311232-05:00,2025-03-01T18:40:24.9311232Z,,v3,471441,471272,,"LeCroy, Talmadge",701782,Right,SOU_GAM,858deed1-684f-4394-b5e0-e1a7bcb6a004,54.17801,-129.18862,13.15106,4.73296,-1.37075,-16.65502,2.35672,-8.43592,8.57063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-01,13:40:48.79,2,6,"McCoy, Jake",811690,Left,SOU_GAM,"Paino, Josh",1000050349,Right,CLE_TIG,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.66563,0.207046,2.243554,2463.048045,163.018225,11:30,5.16017,-2.06972,6.20586,-21.2308,9.76902,-2.73228,3.58219,-0.22558,86.79932,-3.763122,1.750848,0.400729,,,,,,,,,,,,1.94126,5.28347,1.90259,50,5.16489,-5.22414,-136.26118,-0.20779,3.70697,25.54759,-22.08501,SOU_GAM,CLE_TIG,FluorField,D1,SEC,20250301-FluorField-1,b210ee30-f6cc-11ef-9794-cfd124cbb8c7,94.05966,,,6.86631,,,,,,,75da7a9c-bf35-4cc3-b888-88a250f68000,2025-03-01,18:40:48.79,2025-03-01T13:40:48.7956480-05:00,2025-03-01T18:40:48.7956480Z,,v3,471441,471272,,"LeCroy, Talmadge",701782,Right,SOU_GAM,f5ed58fd-92ae-4324-a530-06eeecf15127,54.29343,-137.06379,12.7738,5.16052,0.48605,-11.04251,2.06854,-5.3406,1.85348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-01,13:41:22.56,3,1,"McCoy, Jake",811690,Left,SOU_GAM,"Cannarella, Cam",703448,Left,CLE_TIG,Undefined,1,Top,1,0,0,ChangeUp,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.97834,0.334798,2.695498,2906.423579,289.423773,3:45,4.82778,-2.28771,5.21845,-41.5477,-0.90539,6.08776,1.68061,0.75584,77.19524,-7.202738,3.773251,0.458839,,,,,,,,,,,,-2.31012,-0.20024,2.03398,50,4.82732,-5.99348,-121.81489,-0.83166,-3.473,23.81168,-32.4751,SOU_GAM,CLE_TIG,FluorField,D1,SEC,20250301-FluorField-1,c6418a40-f6cc-11ef-9794-cfd124cbb8c7,82.14737,,,6.78309,,,,,,,75da7a9c-bf35-4cc3-b888-88a250f68000,2025-03-01,18:41:22.56,2025-03-01T13:41:22.5697280-05:00,2025-03-01T18:41:22.5697280Z,,v3,471441,471272,,"LeCroy, Talmadge",701782,Right,SOU_GAM,8c1cafaf-5261-4ef5-bc32-7ca41dbe7a27,55.28091,-122.84283,11.90584,4.83297,0.57028,-16.23755,2.28948,-5.84355,-1.7365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
