PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,15:03:44.93,1,1,"Roberts, Jackson",703468,Right,CAM_CAM,"Tate, Josh",702495,Right,GEO_EAG,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.62223,-4.331746,-2.799628,2350.143469,231.506866,1:45,6.01615,1.4167,5.88202,-19.00721,18.50962,21.36828,0.39685,0.59531,78.44147,-7.957286,1.033708,0.440844,,,,,,,,,,,,-12.01178,11.45233,-1.20326,50,5.65469,5.30405,-126.54768,-10.13864,-18.97355,32.06255,-14.08421,CAM_CAM,GEO_EAG,JimPerry,D1,CAA,20250301-JimPerry-1,fa4a1570-f6d9-11ef-b203-6d5cd31610c7,85.50072,,,9.18076,,,,,,,57ce60ec-3387-4a84-b892-9a38e8b0b9c7,2025-03-01,20:03:44.93,2025-03-01T15:03:44.9351168-05:00,2025-03-01T20:03:44.9351168Z,,v3,471264,471303,01 March 2025 15:00-georgiasou@campbell,"Thompson, Jackson",810918,Right,CAM_CAM,5ce3b88b-b334-4ede-aaa4-640fc3b859f4,54.61822,-127.71241,16.03127,6.0137,-9.62701,-7.0421,-1.40846,5.99329,-9.48677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,15:04:00.01,1,2,"Roberts, Jackson",703468,Right,CAM_CAM,"Tate, Josh",702495,Right,GEO_EAG,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.66229,0.230136,-1.166013,2604.131503,52.749205,7:45,5.92182,1.51286,5.10252,-54.812,-3.67114,-6.71193,1.57105,-0.14535,69.55379,-9.630837,-2.355651,0.514702,,,,,,,,,,,,3.06606,-1.49354,-1.39728,50,5.90006,2.46261,-108.50209,-1.41911,3.68696,17.43382,-33.97003,CAM_CAM,GEO_EAG,JimPerry,D1,CAA,20250301-JimPerry-1,03572180-f6da-11ef-b203-6d5cd31610c7,73.23164,,,5.1085,,,,,,,57ce60ec-3387-4a84-b892-9a38e8b0b9c7,2025-03-01,20:04:00.01,2025-03-01T15:04:00.0162304-05:00,2025-03-01T20:04:00.0162304Z,,v3,471264,471303,01 March 2025 15:00-georgiasou@campbell,"Thompson, Jackson",810918,Right,CAM_CAM,1cda92e4-66ba-4ee6-ab8e-f6fc90a4f923,55.402,-109.36663,8.71691,5.92866,0.26545,-16.98501,-1.51487,2.27978,1.84348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,15:04:13.93,1,3,"Roberts, Jackson",703468,Right,CAM_CAM,"Tate, Josh",702495,Right,GEO_EAG,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.12517,-2.1455,-4.693702,2321.237513,232.04607,1:45,6.07048,1.60608,5.67452,-20.73584,15.69906,18.6182,2.33454,-1.22823,80.59677,-6.030357,-1.379177,0.434441,,,,,,,,,,,,-10.70154,8.90217,-1.22103,50,5.87579,9.66879,-127.53949,-5.45749,-17.66749,25.66459,-17.47719,CAM_CAM,GEO_EAG,JimPerry,D1,CAA,20250301-JimPerry-1,0b99ffc0-f6da-11ef-b203-6d5cd31610c7,86.76087,,,7.5284,,,,,,,57ce60ec-3387-4a84-b892-9a38e8b0b9c7,2025-03-01,20:04:13.93,2025-03-01T15:04:13.9389952-05:00,2025-03-01T20:04:13.9389952Z,,v3,471264,471303,01 March 2025 15:00-georgiasou@campbell,"Thompson, Jackson",810918,Right,CAM_CAM,ba94e898-b4c4-4c15-a0e9-ed47ca0598a6,54.82697,-128.50714,12.83229,6.06914,-4.79854,-8.7386,-1.59814,10.33492,-8.83375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-01,15:04:25.88,1,4,"Roberts, Jackson",703468,Right,CAM_CAM,"Tate, Josh",702495,Right,GEO_EAG,Undefined,1,Top,0,2,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,74.4884,0.336637,-1.230956,2688.591647,61.551221,8:00,5.92219,1.66198,4.88468,-51.19558,0.90476,-1.23394,1.97447,0.39436,68.84533,-8.886097,-1.448654,0.519507,95.33668,-1.43927,-38.162878,,,,,28.76605,26.96503,-34.384326,0.199716,0.28429,0.75201,-1.54001,50,5.91162,2.3709,-108.12199,-1.11599,0.33763,18.28523,-31.28101,CAM_CAM,GEO_EAG,JimPerry,D1,CAA,20250301-JimPerry-1,12bb8f80-f6da-11ef-b203-6d5cd31610c7,72.55421,2.15219,,5.64307,,,,2.4692,2.15219,-0.50718,57ce60ec-3387-4a84-b892-9a38e8b0b9c7,2025-03-01,20:04:25.88,2025-03-01T15:04:25.8849792-05:00,2025-03-01T20:04:25.8849792Z,GroundBall,v3,471264,471303,01 March 2025 15:00-georgiasou@campbell,"Thompson, Jackson",810918,Right,CAM_CAM,b026114e-03bc-4143-bf22-66b4b5f82f35,55.61847,-109.06802,9.14261,5.92749,0.50242,-15.6405,-1.66222,2.35343,0.16882,,2.46888,109.92767,-17.12883,,,,,,,2.15697,-3.83191,-35.00552,,,,,,,-0.51136,-86.09257,36.70558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
5,2025-03-01,15:04:54.94,2,1,"Roberts, Jackson",703468,Right,CAM_CAM,"Senese, Nico",804857,Right,GEO_EAG,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.77348,1.856742,-0.080415,2575.691132,61.071951,8:00,5.92439,1.75298,4.73016,-56.22019,-2.52823,-7.63548,3.00167,1.04039,67.72238,-8.263653,-1.422963,0.527383,,,,,,,,,,,,3.71729,-1.24831,-1.73768,50,6.06161,0.45615,-106.97514,1.49332,4.30276,18.64618,-33.61896,CAM_CAM,GEO_EAG,JimPerry,D1,CAA,20250301-JimPerry-1,2419f8c0-f6da-11ef-b203-6d5cd31610c7,71.47075,,,6.05111,,,,,,,57ce60ec-3387-4a84-b892-9a38e8b0b9c7,2025-03-01,20:04:54.94,2025-03-01T15:04:54.9457408-05:00,2025-03-01T20:04:54.9457408Z,,v3,471264,471303,01 March 2025 15:00-georgiasou@campbell,"Thompson, Jackson",810918,Right,CAM_CAM,14abe6d7-2d33-4058-80b5-a138d036b1ff,55.77196,-107.97653,9.32309,5.93293,3.29882,-16.80948,-1.75597,0.22508,2.15138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-01,15:05:07.81,2,2,"Roberts, Jackson",703468,Right,CAM_CAM,"Senese, Nico",804857,Right,GEO_EAG,Undefined,1,Top,1,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.41056,1.438811,-0.793099,2665.155239,60.029001,8:00,5.88644,1.77144,4.85522,-58.13235,-4.20461,-10.19662,2.4045,0.17091,67.60466,-9.02216,-2.590732,0.52854,,,,,,,,,,,,4.80555,-1.97929,-1.684,50,5.97864,1.87323,-106.5059,0.67041,5.5141,18.47115,-34.44518,CAM_CAM,GEO_EAG,JimPerry,D1,CAA,20250301-JimPerry-1,2bd27150-f6da-11ef-b203-6d5cd31610c7,71.31432,,,5.8059,,,,,,,57ce60ec-3387-4a84-b892-9a38e8b0b9c7,2025-03-01,20:05:07.81,2025-03-01T15:05:07.8191104-05:00,2025-03-01T20:05:07.8191104Z,,v3,471264,471303,01 March 2025 15:00-georgiasou@campbell,"Thompson, Jackson",810918,Right,CAM_CAM,92aca3dd-77f1-4341-a261-5b72bece1295,55.64792,-107.48095,9.23558,5.89525,2.48869,-17.22259,-1.7752,1.58216,2.75705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,15:05:20.28,2,3,"Roberts, Jackson",703468,Right,CAM_CAM,"Senese, Nico",804857,Right,GEO_EAG,Undefined,1,Top,1,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.41245,-4.407262,-4.112748,2339.660482,224.802945,1:30,6.04963,1.48719,5.69366,-15.95406,19.1634,17.99363,0.59389,-0.85295,82.68731,-7.402244,-0.904703,0.426514,,,,,,,,,,,,-10.22583,11.17103,-1.15278,50,5.6677,8.54912,-129.37531,-10.48843,-17.54676,23.85408,-13.00545,CAM_CAM,GEO_EAG,JimPerry,D1,CAA,20250301-JimPerry-1,332179b0-f6da-11ef-b203-6d5cd31610c7,88.37335,,,6.72514,,,,,,,57ce60ec-3387-4a84-b892-9a38e8b0b9c7,2025-03-01,20:05:20.28,2025-03-01T15:05:20.2897408-05:00,2025-03-01T20:05:20.2897408Z,,v3,471264,471303,01 March 2025 15:00-georgiasou@campbell,"Thompson, Jackson",810918,Right,CAM_CAM,cb8f14be-baab-4ece-98e0-04c0ef91a0d1,54.81046,-130.25923,11.92704,6.04743,-10.0065,-6.50273,-1.48162,9.19933,-8.77338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-01,15:05:33.14,2,4,"Roberts, Jackson",703468,Right,CAM_CAM,"Senese, Nico",804857,Right,GEO_EAG,Undefined,1,Top,1,2,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.25084,-0.307863,-1.025076,2691.523407,35.520173,7:15,5.94453,1.70538,4.9332,-64.78988,-10.73721,-8.8563,0.25432,-0.00171,67.95226,-11.882611,-2.593771,0.529151,,,,,,,,,,,,4.13477,-4.87244,-1.59777,50,5.85988,2.23575,-106.3474,-2.77939,4.71737,18.88137,-37.73302,CAM_CAM,GEO_EAG,JimPerry,D1,CAA,20250301-JimPerry-1,3ad7cf60-f6da-11ef-b203-6d5cd31610c7,71.23187,,,5.29858,,,,,,,57ce60ec-3387-4a84-b892-9a38e8b0b9c7,2025-03-01,20:05:33.14,2025-03-01T15:05:33.1436544-05:00,2025-03-01T20:05:33.1436544Z,,v3,471264,471303,01 March 2025 15:00-georgiasou@campbell,"Thompson, Jackson",810918,Right,CAM_CAM,7e0f9448-4746-4461-9dfc-c818f83ce8ec,55.5726,-107.33222,9.44069,5.95352,-0.81129,-18.86651,-1.70797,1.9897,2.35868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-01,15:05:48.18,2,5,"Roberts, Jackson",703468,Right,CAM_CAM,"Senese, Nico",804857,Right,GEO_EAG,Undefined,1,Top,1,3,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.99272,1.762285,-0.228957,2575.166402,57.204732,8:00,5.97028,1.72426,4.98599,-59.19495,-5.77492,-11.82556,2.70209,0.52258,67.35691,-8.949057,-2.319094,0.526046,,,,,,,,,,,,5.74882,-2.8152,-1.69214,50,6.09211,0.89851,-107.22654,1.25876,6.60824,20.7326,-35.41012,CAM_CAM,GEO_EAG,JimPerry,D1,CAA,20250301-JimPerry-1,43ce9450-f6da-11ef-b203-6d5cd31610c7,71.65241,,,6.63581,,,,,,,57ce60ec-3387-4a84-b892-9a38e8b0b9c7,2025-03-01,20:05:48.18,2025-03-01T15:05:48.1886720-05:00,2025-03-01T20:05:48.1886720Z,,v3,471264,471303,01 March 2025 15:00-georgiasou@campbell,"Thompson, Jackson",810918,Right,CAM_CAM,b68e3697-5d4b-474e-abef-8d1224b77cbd,55.51547,-108.28772,10.3663,5.98129,3.0712,-17.70506,-1.72948,0.56027,3.30412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-01,15:06:01.23,2,6,"Roberts, Jackson",703468,Right,CAM_CAM,"Senese, Nico",804857,Right,GEO_EAG,Undefined,1,Top,1,3,2,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,74.84006,1.422517,-0.829435,2755.835198,75.483603,8:30,6.00448,1.62947,4.95684,-54.29672,-1.98658,-14.67087,2.82423,-0.37684,68.0649,-8.416085,-3.418889,0.520552,88.86126,37.947804,-12.594401,4122.491477,107.04907,77.10887,-25.30576,345.32884,315.72481,-16.850655,5.317761,7.03957,-0.97894,-1.53616,50,6.0975,2.14552,-108.45051,0.83593,8.26799,21.41463,-33.32381,CAM_CAM,GEO_EAG,JimPerry,D1,CAA,20250301-JimPerry-1,4b9823e0-f6da-11ef-b203-6d5cd31610c7,72.40856,100.23394,,6.77515,,,,2.63361,3.13326,0.28531,57ce60ec-3387-4a84-b892-9a38e8b0b9c7,2025-03-01,20:06:01.23,2025-03-01T15:06:01.2393472-05:00,2025-03-01T20:06:01.2393472Z,FlyBall,v3,471264,471303,01 March 2025 15:00-georgiasou@campbell,"Thompson, Jackson",810918,Right,CAM_CAM,0162c8b3-fc64-4c21-a879-98dfa007722e,55.54533,-109.54001,10.70732,6.01184,2.53134,-16.6619,-1.63462,1.72487,4.13399,173.266364,2.63734,100.22112,-18.97747,4.33446,-0.47693,-0.05957,0.02941,-0.00386,0.00018,3.13084,80.18883,-18.47539,1.11034,-0.21033,0.03197,0.00129,-0.001,8E-05,0.28545,-22.40961,2.73921,-0.93666,0.18277,-0.01453,-0.0019,0.0005,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
