PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,14:07:39.48,1,1,"Lewis, Nick",1000242508,Left,WAS_COU,"Wilmes, Ben",1000113202,Right,IOW_HAW,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,85.96411,-1.203891,2.674683,1769.187556,138.091424,10:30,5.684,-1.65878,6.16677,-23.70375,13.83615,-11.31863,2.59531,-0.12968,78.45666,-5.673544,0.634487,0.440979,108.09773,13.090323,-26.027633,1838.613813,96.15026,20.60813,-53.43297,276.48616,262.2872,-34.583226,2.384109,6.68233,7.87823,1.46198,50,5.58059,-5.39705,-124.7972,-3.32265,10.50029,25.96488,-19.79458,WAS_COU,IOW_HAW,LaModernaField,D1,MW,20250301-LaModernaField-1,d415ebf0-f6d8-11ef-842e-59e698d5d618,85.47443,22.26445,,7.50745,,,,2.32266,2.76585,0.15396,f4e274df-1f3c-498f-b80a-ed6660e9bf19,2025-03-01,20:07:39.48,2025-03-01T14:07:39.4834432-06:00,2025-03-01T20:07:39.4834432Z,LineDrive,v3,4505,1232,,"Thein, Noah",1000110181,Right,WAS_COU,f7e92abf-d4b8-49d6-8443-ad4458a8ef33,54.33217,-125.69531,12.98244,5.68367,-2.63797,-9.89729,1.65494,-5.76025,5.25014,110.632416,2.32266,138.76278,-29.16118,6.99438,-1.59165,0.31815,-0.05603,0.00715,-0.00045,2.76585,35.90737,-17.43547,0.80515,0.05553,-0.05184,0.01562,-0.00229,0.00014,0.15396,-67.7607,-2.20694,2.66817,-1.04544,0.30212,-0.06612,0.00957,-0.00067,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-03-01,14:08:25.57,2,1,"Lewis, Nick",1000242508,Left,WAS_COU,"Mitchell, Gable",1000236672,Left,IOW_HAW,Undefined,1,Top,0,0,0,Curveball,Slider,InPlay,Undefined,Bunt,Sacrifice,1,0,,76.91521,1.495109,0.822045,1190.943487,260.081495,2:45,5.74215,-1.78811,6.16175,-45.17656,1.93016,1.99642,3.35901,-0.86232,69.99083,-6.907277,1.182342,0.493984,35.78989,0.425356,11.513812,3423.593578,,,,24.71264,24.28463,12.140676,0.470394,-0.7813,1.00181,1.72478,50,5.83265,-1.67299,-111.68629,1.59545,-0.97718,21.95564,-30.92107,WAS_COU,IOW_HAW,LaModernaField,D1,MW,20250301-LaModernaField-1,ef8eb290-f6d8-11ef-842e-59e698d5d618,76.30295,3.27123,,6.92438,,,,0.82658,3.26911,0.84644,f4e274df-1f3c-498f-b80a-ed6660e9bf19,2025-03-01,20:08:25.57,2025-03-01T14:08:25.5797248-06:00,2025-03-01T20:08:25.5797248Z,GroundBall,v3,4505,1232,,"Thein, Noah",1000110181,Right,WAS_COU,bf02b4e9-7cf5-4ba9-a5b5-4f7223c8ecde,54.33587,-112.53542,10.97782,5.74782,2.79131,-15.46054,1.78875,-1.63519,-0.48859,92.774695,0.82796,51.39361,-3.81657,,,,,,,3.27306,0.27865,-15.40217,,,,,,,0.84793,10.434,-2.53086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2025-03-01,14:08:56.32,3,1,"Lewis, Nick",1000242508,Left,WAS_COU,"Risley, Miles",10326210,Right,IOW_HAW,Undefined,1,Top,1,0,0,Curveball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.24819,-0.453093,2.049771,1828.174676,124.127311,10:15,5.35601,-2.23684,6.19072,-35.62482,10.79934,-13.69894,1.96867,-1.48515,70.68128,-7.109917,-0.42373,0.490392,,,,,,,,,,,,7.65717,6.19248,2.08895,50,5.30401,-3.52789,-112.18554,-1.88295,9.72317,20.98118,-24.31078,WAS_COU,IOW_HAW,LaModernaField,D1,MW,20250301-LaModernaField-1,01e3b0d0-f6d9-11ef-842e-59e698d5d618,76.86185,,,6.56691,,,,,,,f4e274df-1f3c-498f-b80a-ed6660e9bf19,2025-03-01,20:08:56.32,2025-03-01T14:08:56.3282944-06:00,2025-03-01T20:08:56.3282944Z,,v3,4505,1232,,"Thein, Noah",1000110181,Right,WAS_COU,813729bb-2927-44ca-a929-05daddcccd5a,54.30622,-112.98804,10.49059,5.35824,-0.95311,-12.15539,2.23099,-3.89979,4.86158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-01,14:09:10.04,3,2,"Lewis, Nick",1000242508,Left,WAS_COU,"Risley, Miles",10326210,Right,IOW_HAW,Undefined,1,Top,1,1,0,Curveball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.48617,0.117029,2.507595,1957.475357,125.776138,10:15,5.39349,-2.33617,6.15727,-33.23474,11.89465,-14.42831,2.73215,-1.22044,71.53145,-6.115677,-0.093407,0.483505,,,,,,,,,,,,8.12638,6.57914,2.15255,50,5.38553,-4.45548,-113.91319,-0.7047,10.62465,21.89938,-23.57233,WAS_COU,IOW_HAW,LaModernaField,D1,MW,20250301-LaModernaField-1,0a12b8f0-f6d9-11ef-842e-59e698d5d618,77.95662,,,6.95472,,,,,,,f4e274df-1f3c-498f-b80a-ed6660e9bf19,2025-03-01,20:09:10.04,2025-03-01T14:09:10.0490240-06:00,2025-03-01T20:09:10.0490240Z,,v3,4505,1232,,"Thein, Noah",1000110181,Right,WAS_COU,ffcca130-5c42-428f-be94-0677543acd73,54.33859,-114.74423,10.94969,5.39529,0.18983,-11.78617,2.32928,-4.85867,5.31232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-01,14:09:24.36,3,3,"Lewis, Nick",1000242508,Left,WAS_COU,"Risley, Miles",10326210,Right,IOW_HAW,Undefined,1,Top,1,1,1,Curveball,Slider,InPlay,Undefined,GroundBall,Out,1,1,,77.60304,0.413907,1.310863,1164.069857,30.63252,7:00,5.65847,-1.83133,6.39827,-46.76534,-0.7139,-1.37508,2.14211,-0.7402,70.52821,-8.298294,1.061322,0.48842,96.3309,-5.17733,-26.866098,,,,,23.4985,21.46562,-23.529541,0.161652,1.14831,-0.10713,1.73796,50,5.66683,-2.53312,-112.72792,-0.51097,1.45442,23.49382,-32.30973,WAS_COU,IOW_HAW,LaModernaField,D1,MW,20250301-LaModernaField-1,1296e5f0-f6d9-11ef-842e-59e698d5d618,77.17226,2.32508,,7.07482,,,,1.82953,2.32508,0.80619,f4e274df-1f3c-498f-b80a-ed6660e9bf19,2025-03-01,20:09:24.36,2025-03-01T14:09:24.3687424-06:00,2025-03-01T20:09:24.3687424Z,GroundBall,v3,4505,1232,,"Thein, Noah",1000110181,Right,WAS_COU,c38d772b-dbdf-42ba-8d3b-1eed594e4277,54.1005,-113.57929,11.74691,5.66413,0.65988,-16.15487,1.83071,-2.58583,0.72721,114.377961,1.8304,125.44981,-21.64902,,,,,,,2.3251,-12.75105,-10.09884,,,,,,,0.80617,-63.58581,3.50079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-03-01,14:10:00.02,4,1,"Lewis, Nick",1000242508,Left,WAS_COU,"Wulf, Caleb",10074496,Left,IOW_HAW,Undefined,1,Top,2,0,0,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.66921,0.390427,2.500708,1483.878976,349.888069,5:45,5.66628,-1.69476,6.53565,-47.01148,-1.22287,0.50224,2.10712,0.64228,70.6234,-8.378966,2.591965,0.487024,,,,,,,,,,,,0.54177,-0.23756,1.52118,50,5.67419,-4.94133,-112.74536,-0.55946,0.68702,23.33325,-32.47532,WAS_COU,IOW_HAW,LaModernaField,D1,MW,20250301-LaModernaField-1,27daedd0-f6d9-11ef-842e-59e698d5d618,77.39343,,,7.04581,,,,,,,f4e274df-1f3c-498f-b80a-ed6660e9bf19,2025-03-01,20:10:00.02,2025-03-01T14:10:00.0217600-06:00,2025-03-01T20:10:00.0217600Z,,v3,4505,1232,,"Thein, Noah",1000110181,Right,WAS_COU,2b8d6d65-3f7c-4ab5-a644-62fb65a387b8,53.96108,-113.56217,11.66662,5.67388,0.57738,-16.23766,1.69458,-4.96538,0.34351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,14:10:29.70,4,2,"Lewis, Nick",1000242508,Left,WAS_COU,"Wulf, Caleb",10074496,Left,IOW_HAW,Undefined,1,Top,2,0,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.09556,1.427439,2.160733,1523.908398,354.409752,5:45,5.71777,-1.78655,6.24321,-50.72719,-4.40284,0.56811,2.8083,0.25466,70.98664,-7.941639,2.263372,0.489865,68.08065,16.275185,-141.278029,3876.185586,,,,108.3594,42.82234,-147.61193,1.346169,0.30417,-2.23764,1.62545,50,5.79938,-4.24695,-112.03842,1.28754,0.38678,20.17754,-35.01921,WAS_COU,IOW_HAW,LaModernaField,D1,MW,20250301-LaModernaField-1,3987c530-f6d9-11ef-842e-59e698d5d618,76.94459,10.52963,,6.10892,,,,-0.44327,2.50913,-0.22911,f4e274df-1f3c-498f-b80a-ed6660e9bf19,2025-03-01,20:10:29.70,2025-03-01T14:10:29.7046528-06:00,2025-03-01T20:10:29.7046528Z,LineDrive,v3,4505,1232,,"Thein, Noah",1000110181,Right,WAS_COU,07039470-b137-455a-b611-bedf4d95fc1a,54.2568,-112.80244,10.08877,5.72553,2.61355,-17.50961,1.78654,-4.26159,0.19339,,-0.39684,-75.29362,5.63667,,,,,,,2.80019,24.94128,-20.21077,,,,,,,-0.46786,-57.44096,11.00806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-03-01,14:10:48.53,4,3,"Lewis, Nick",1000242508,Left,WAS_COU,"Wulf, Caleb",10074496,Left,IOW_HAW,Undefined,1,Top,2,0,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.71851,-0.50715,2.809384,1645.916954,118.812845,10:00,5.5529,-1.90307,6.23491,-28.9721,8.65229,-13.52765,2.67014,-0.43669,78.31028,-5.931881,0.367354,0.441475,80.2147,-18.687454,-22.626354,,,,,6.55354,6.08823,-20.594241,0.064642,7.79796,5.00422,1.69984,50,5.50077,-5.57891,-124.45759,-1.99323,12.20225,25.52664,-24.3434,WAS_COU,IOW_HAW,LaModernaField,D1,MW,20250301-LaModernaField-1,44bce160-f6d9-11ef-842e-59e698d5d618,85.37845,2.44303,,7.40822,,,,-0.53219,2.44303,0.47358,f4e274df-1f3c-498f-b80a-ed6660e9bf19,2025-03-01,20:10:48.53,2025-03-01T14:10:48.5313536-06:00,2025-03-01T20:10:48.5313536Z,GroundBall,v3,4505,1232,,"Thein, Noah",1000110181,Right,WAS_COU,58c0bf21-125e-4999-b3e5-c651f0b859cb,54.26289,-125.32887,12.76332,5.55462,-1.16233,-12.1717,1.89737,-5.9954,6.10113,180,-0.53497,103.13542,,,,,,,,2.44406,-37.79305,,,,,,,,0.47474,-42.9868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-03-01,14:13:47.17,1,1,"Savary, Aaron",808860,Right,IOW_HAW,"Hartman, Max",692160,Left,WAS_COU,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.19877,0.363742,-4.250223,2012.851779,266.032133,2:45,5.18555,2.45239,6.96822,-31.79451,2.3928,17.16765,2.86782,0.00956,80.60977,-5.65565,-1.114447,0.420827,,,,,,,,,,,,-10.44579,1.53965,-2.19394,50,5.19787,8.97571,-129.38689,-0.10004,-17.47067,30.36824,-29.599,WAS_COU,IOW_HAW,LaModernaField,D1,MW,20250301-LaModernaField-1,af36b930-f6d9-11ef-842e-59e698d5d618,89.56751,,,8.589,,,,,,,f4e274df-1f3c-498f-b80a-ed6660e9bf19,2025-03-01,20:13:47.17,2025-03-01T14:13:47.1772672-06:00,2025-03-01T20:13:47.1772672Z,,v3,4505,1232,,"Rogers, Daniel",1000121686,Right,IOW_HAW,7c2ba6d2-088f-4e0b-9626-dbb1ffd6cc9b,53.52957,-130.21268,15.18412,5.18965,0.70483,-14.7995,-2.44447,9.45078,-8.73533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-01,14:14:02.61,1,2,"Savary, Aaron",808860,Right,IOW_HAW,"Hartman, Max",692160,Left,WAS_COU,Undefined,1,Bottom,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.94316,2.853927,-0.989719,2536.240765,57.227389,8:00,5.8588,2.14866,6.36112,-55.98027,-8.05272,-14.91461,3.82276,-0.00513,69.34328,-7.524534,-3.68975,0.498269,,,,,,,,,,,,7.39516,-4.47402,-2.07094,50,6.04066,2.42637,-110.29292,3.85581,9.03158,21.17809,-37.6381,WAS_COU,IOW_HAW,LaModernaField,D1,MW,20250301-LaModernaField-1,b87b7710-f6d9-11ef-842e-59e698d5d618,75.64675,,,6.59988,,,,,,,f4e274df-1f3c-498f-b80a-ed6660e9bf19,2025-03-01,20:14:02.61,2025-03-01T14:14:02.6182144-06:00,2025-03-01T20:14:02.6182144Z,,v3,4505,1232,,"Rogers, Daniel",1000121686,Right,IOW_HAW,4c205e1d-6ce8-4283-accd-cd6bcf9006cc,54.13903,-111.08484,10.58904,5.87016,5.26323,-18.81905,-2.15535,2.08865,4.51579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
