PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,13:06:27.93,1,1,"Gonzalez, Jonathan",1000099916,Left,STE_HAT,"Wiggins, Andrew",806000,Left,IU,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.66137,-0.586856,3.806501,1858.946723,115.707456,9:45,5.66735,-2.22083,6.06136,-28.59029,9.0967,-15.98639,2.74046,-0.02481,77.9444,-5.958323,0.934327,0.441842,,,,,,,,,,,,9.40989,5.29465,1.93311,50,5.60674,-7.68063,-125.46336,-2.19496,14.73736,29.51186,-23.88178,STE_HAT,IU,MelchingFielda,D1,ASUN,20250301-MelchingFielda-1,cf0d87f0-f6c7-11ef-ac57-7fe235499704,85.3075,,,8.71697,,,,,,,8e92ed95-18c5-4304-bbd6-61177e1d294b,2025-03-01,18:06:27.93,2025-03-01T13:06:27.9379968-05:00,2025-03-01T18:06:27.9379968Z,,v3,471456,4866,01 March 2025 13:00-indiana@stetson,"Alvarez, Salvador ",1000361547,Right,STE_HAT,77c9f389-3e2c-4c07-a56b-14107a74b905,54.43459,-126.50218,14.75593,5.6692,-1.35432,-11.94089,2.2126,-8.19939,7.36868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,13:06:53.22,1,2,"Gonzalez, Jonathan",1000099916,Left,STE_HAT,"Wiggins, Andrew",806000,Left,IU,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.82536,-2.331261,3.734726,1957.13541,119.740999,10:00,5.79062,-2.00605,5.82007,-23.80446,12.33764,-19.2717,1.63364,-0.13478,80.18207,-6.798156,0.285872,0.432691,,,,,,,,,,,,10.94146,7.42394,1.71125,50,5.58553,-7.54324,-128.50465,-6.01657,18.03933,30.11314,-19.93411,STE_HAT,IU,MelchingFielda,D1,ASUN,20250301-MelchingFielda-1,de1caa00-f6c7-11ef-ac57-7fe235499704,87.11164,,,8.64329,,,,,,,8e92ed95-18c5-4304-bbd6-61177e1d294b,2025-03-01,18:06:53.22,2025-03-01T13:06:53.2298240-05:00,2025-03-01T18:06:53.2298240Z,,v3,471456,4866,01 March 2025 13:00-indiana@stetson,"Alvarez, Salvador ",1000361547,Right,STE_HAT,8b974a29-533d-4574-8da9-b36299187a4a,54.6766,-129.59591,15.05657,5.79048,-5.29419,-9.96705,1.99645,-8.19696,9.01967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,13:07:07.84,1,3,"Gonzalez, Jonathan",1000099916,Left,STE_HAT,"Wiggins, Andrew",806000,Left,IU,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.17552,-0.724654,4.696435,2028.364748,79.897341,8:45,5.4875,-2.1721,5.90292,-47.81282,-1.06732,-15.76895,0.8281,0.88327,70.73687,-9.528346,1.870949,0.492086,,,,,,,,,,,,9.66205,0.18528,1.80299,50,5.40191,-8.70134,-113.0614,-2.93186,12.26247,24.36538,-31.93891,STE_HAT,IU,MelchingFielda,D1,ASUN,20250301-MelchingFielda-1,e6d813a0-f6c7-11ef-ac57-7fe235499704,76.59723,,,7.43864,,,,,,,8e92ed95-18c5-4304-bbd6-61177e1d294b,2025-03-01,18:07:07.84,2025-03-01T13:07:07.8405632-05:00,2025-03-01T18:07:07.8405632Z,,v3,471456,4866,01 March 2025 13:00-indiana@stetson,"Alvarez, Salvador ",1000361547,Right,STE_HAT,cd840e17-5667-41ee-b8f5-9db3f48ea4fe,54.59606,-114.04758,12.18269,5.49441,-1.63915,-15.96946,2.16522,-9.19766,6.13124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-01,13:07:23.00,1,4,"Gonzalez, Jonathan",1000099916,Left,STE_HAT,"Wiggins, Andrew",806000,Left,IU,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.82848,-0.453513,3.159643,1990.355507,146.684749,11:00,5.70162,-2.20721,6.05072,-18.41092,18.03206,-11.00953,3.74691,-0.19678,79.30294,-3.985004,1.181982,0.434489,,,,,,,,,,,,6.58311,9.76347,1.96673,50,5.65632,-6.55984,-127.28442,-1.51219,10.68415,28.74112,-16.32833,STE_HAT,IU,MelchingFielda,D1,ASUN,20250301-MelchingFielda-1,efe1c450-f6c7-11ef-ac57-7fe235499704,86.75129,,,8.52554,,,,,,,8e92ed95-18c5-4304-bbd6-61177e1d294b,2025-03-01,18:07:23.00,2025-03-01T13:07:23.0080512-05:00,2025-03-01T18:07:23.0080512Z,,v3,471456,4866,01 March 2025 13:00-indiana@stetson,"Alvarez, Salvador ",1000361547,Right,STE_HAT,c75c3a97-1a32-4afa-90dc-5cd94ba043d5,54.44456,-128.28409,14.37056,5.69904,-0.94427,-8.16417,2.20136,-6.93146,5.34208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-01,13:07:39.40,1,5,"Gonzalez, Jonathan",1000099916,Left,STE_HAT,"Wiggins, Andrew",806000,Left,IU,Undefined,1,Top,0,2,2,Fastball,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,87.71174,-3.569998,3.771597,1890.658939,119.464232,10:00,5.71209,-1.95173,6.00286,-26.17344,10.29008,-16.07926,0.21172,0.20795,80.33135,-8.42874,0.882661,0.434611,,,,,,,,,,,,9.37981,6.67378,1.66373,50,5.41611,-7.72138,-126.96337,-8.78015,15.27079,26.62463,-21.30883,STE_HAT,IU,MelchingFielda,D1,ASUN,20250301-MelchingFielda-1,f9a2de20-f6c7-11ef-ac57-7fe235499704,86.72683,,,7.38039,,,,,,,8e92ed95-18c5-4304-bbd6-61177e1d294b,2025-03-01,18:07:39.40,2025-03-01T13:07:39.4044416-05:00,2025-03-01T18:07:39.4044416Z,,v3,471456,4866,01 March 2025 13:00-indiana@stetson,"Alvarez, Salvador ",1000361547,Right,STE_HAT,345699ec-53ed-4b62-9138-5904979f4775,54.49705,-127.90294,13.31231,5.71269,-8.02818,-10.65442,1.94573,-8.26028,7.63539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-01,13:07:59.80,1,6,"Gonzalez, Jonathan",1000099916,Left,STE_HAT,"Wiggins, Andrew",806000,Left,IU,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,86.64047,0.051738,3.186428,1853.546029,116.173631,9:45,5.61089,-2.24654,6.14507,-29.9595,7.31874,-12.2619,3.16215,-0.32085,78.45833,-5.56064,0.978547,0.43944,102.49978,33.71586,0.911199,3724.99316,109.93647,73.20746,-3.72608,372.37043,372.37043,-10.651801,5.685923,7.33544,4.13803,2.00995,50,5.59949,-6.50671,-125.64846,-0.83511,11.5966,28.09707,-25.63223,STE_HAT,IU,MelchingFielda,D1,ASUN,20250301-MelchingFielda-1,05cb5b00-f6c8-11ef-ac57-7fe235499704,85.77389,110.86406,,8.18214,,,,0.55512,2.87046,0.30972,8e92ed95-18c5-4304-bbd6-61177e1d294b,2025-03-01,18:07:59.80,2025-03-01T13:07:59.8045184-05:00,2025-03-01T18:07:59.8045184Z,FlyBall,v3,471456,4866,01 March 2025 13:00-indiana@stetson,"Alvarez, Salvador ",1000361547,Right,STE_HAT,ea65c6cd-a913-4897-9d17-1376039948eb,54.35332,-126.61819,14.04854,5.61304,0.04955,-12.81612,2.24143,-6.90695,5.7983,159.799094,0.55862,124.97111,-28.4762,7.24045,-1.55668,0.29014,-0.04274,0.00406,-0.00017,2.87251,83.39903,-17.57605,0.20911,0.43125,-0.20217,0.04538,-0.00506,0.00022,0.31058,1.97357,-6.82365,1.7941,-0.39455,0.07368,-0.01062,0.00098,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2025-03-01,13:08:35.68,2,1,"Gonzalez, Jonathan",1000099916,Left,STE_HAT,"Taylor, Devin",805127,Left,IU,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,88.97656,-0.929398,2.509737,1867.666127,104.008765,9:30,5.71469,-1.98939,5.98332,-30.16384,5.37185,-16.59379,2.33869,-1.04446,80.7094,-6.543118,-0.474385,0.429046,,,,,,,,,,,,9.29981,3.41071,1.80023,50,5.62469,-4.9612,-129.07403,-3.12127,15.51413,29.65901,-26.48421,STE_HAT,IU,MelchingFielda,D1,ASUN,20250301-MelchingFielda-1,1b2c60c0-f6c8-11ef-ac57-7fe235499704,87.85179,,,8.26717,,,,,,,8e92ed95-18c5-4304-bbd6-61177e1d294b,2025-03-01,18:08:35.68,2025-03-01T13:08:35.6829184-05:00,2025-03-01T18:08:35.6829184Z,,v3,471456,4866,01 March 2025 13:00-indiana@stetson,"Alvarez, Salvador ",1000361547,Right,STE_HAT,fbe3e1d0-f24e-4b7e-af20-10e66a459182,54.51541,-130.10745,14.82951,5.71737,-2.19846,-13.2421,1.98252,-5.50177,7.75707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-01,13:09:12.83,3,1,"Gonzalez, Jonathan",1000099916,Left,STE_HAT,"Dickerson, Korbyn",702668,Right,IU,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.05048,-1.920977,2.420253,1842.470693,129.234139,10:15,5.80349,-1.91126,6.07324,-24.40702,11.92619,-12.99363,1.9898,-0.75323,79.55815,-6.518639,0.080407,0.433834,,,,,,,,,,,,7.413,7.14678,1.73036,50,5.64184,-4.84632,-127.60315,-5.04094,12.04649,29.78271,-20.56017,STE_HAT,IU,MelchingFielda,D1,ASUN,20250301-MelchingFielda-1,315b8bf0-f6c8-11ef-ac57-7fe235499704,86.88221,,,8.49232,,,,,,,8e92ed95-18c5-4304-bbd6-61177e1d294b,2025-03-01,18:09:12.83,2025-03-01T13:09:12.8360448-05:00,2025-03-01T18:09:12.8360448Z,,v3,471456,4866,01 March 2025 13:00-indiana@stetson,"Alvarez, Salvador ",1000361547,Right,STE_HAT,532dde1f-32bc-45b9-83f6-1147d6f206c3,54.42257,-128.63124,14.89136,5.8036,-4.33121,-10.28008,1.90483,-5.26217,6.02324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-01,13:09:26.69,3,2,"Gonzalez, Jonathan",1000099916,Left,STE_HAT,"Dickerson, Korbyn",702668,Right,IU,Undefined,1,Top,2,1,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,77.23416,1.06064,2.798688,1965.296255,83.08938,8:45,5.51991,-2.25977,5.94769,-47.63928,0.18409,-13.5456,2.53502,-0.79069,69.38652,-7.780243,0.365414,0.497727,95.67418,-1.141154,-13.541335,2437.10636,,,,41.63165,38.54446,-13.293538,0.300096,7.92044,0.23772,2.04452,50,5.57801,-4.96829,-111.87403,0.61677,9.79826,24.67534,-31.87996,STE_HAT,IU,MelchingFielda,D1,ASUN,20250301-MelchingFielda-1,399f7ba0-f6c8-11ef-ac57-7fe235499704,75.72909,2.5579,,7.84764,,,,1.78145,2.5579,0.79764,8e92ed95-18c5-4304-bbd6-61177e1d294b,2025-03-01,18:09:26.69,2025-03-01T13:09:26.6979840-05:00,2025-03-01T18:09:26.6979840Z,GroundBall,v3,471456,4866,01 March 2025 13:00-indiana@stetson,"Alvarez, Salvador ",1000361547,Right,STE_HAT,116dc0a9-d0d1-422f-b946-2f7c4067b5db,54.55,-112.87313,12.33767,5.5269,1.90759,-15.93998,2.25372,-5.36502,4.89913,70.851579,1.78672,136.16011,-23.72728,,,,,,,2.56123,-2.94275,-18.66954,,,,,,,0.80074,-32.98792,-5.29574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-03-01,13:12:24.89,1,1,"Gilley, Cole",809126,Right,IU,"Meola, Lorenzo",823768,Right,STE_HAT,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.94572,-3.046973,-3.2513,2146.979768,211.74284,1:00,6.23763,0.86059,5.09249,-12.46638,21.38261,12.46831,2.31984,-1.16782,83.90428,-5.445982,-1.051486,0.41874,,,,,,,,,,,,-7.12461,11.85662,-0.56306,50,5.93989,7.00621,-134.29595,-7.52385,-12.88356,31.75324,-10.73352,STE_HAT,IU,MelchingFielda,D1,ASUN,20250301-MelchingFielda-1,a3cedcf0-f6c8-11ef-ac57-7fe235499704,90.01398,,,9.04145,,,,,,,8e92ed95-18c5-4304-bbd6-61177e1d294b,2025-03-01,18:12:24.89,2025-03-01T13:12:24.8992256-05:00,2025-03-01T18:12:24.8992256Z,,v3,471456,4866,01 March 2025 13:00-indiana@stetson,"Schuyler, T.J.",814104,Right,IU,977aea68-6d2d-48c9-af8b-81f29626d928,55.40283,-135.56739,15.87662,6.23255,-7.09407,-5.36676,-0.85392,7.52208,-6.44178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
