PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,16:02:40.17,1,1,"Maddox, Riley",1000119598,Right,OLE_REB,"Peltier, JP",1000270400,Right,WRI_RAI,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.74883,-1.910587,-3.408482,2254.399318,240.719646,2:00,5.54911,1.79663,5.93732,-21.81663,13.7102,21.95182,1.95477,0.4601,80.2168,-6.054058,0.530108,0.428992,,,,,,,,,,,,-12.32075,8.07524,-1.53624,50,5.3843,6.762,-129.82865,-5.01483,-20.52862,33.20884,-18.7192,OLE_REB,WRI_RAI,OleMiss,D1,SEC,20250301-OleMiss-1,e272e1c0-f6e8-11ef-9541-4fcc8d428827,87.86271,,,9.53203,,,,,,,42c30549-dfd0-49a9-b2ac-644c1a7b15a8,2025-03-01,22:02:40.17,2025-03-01T16:02:40.1745408-06:00,2025-03-01T22:02:40.1745408Z,,v3,5322,471496,01 March 2025 17:00-wrightst@olemiss,"Smithwick, Campbell",805802,Right,OLE_REB,282de8b0-ff22-4abd-a867-76538e18658e,54.55986,-130.98982,16.60442,5.5482,-4.3603,-9.3596,-1.78522,7.4798,-10.26431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,16:03:02.49,1,2,"Maddox, Riley",1000119598,Right,OLE_REB,"Peltier, JP",1000270400,Right,WRI_RAI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.02317,-2.729458,-3.412868,2348.506289,201.943108,12:45,5.75791,1.71063,5.78275,-11.67197,21.38938,8.12032,2.23928,-0.79183,83.64105,-5.020739,-1.962624,0.413839,,,,,,,,,,,,-5.20508,12.09028,-1.43361,50,5.52532,7.64695,-134.51315,-6.70265,-9.39034,33.35398,-10.36221,OLE_REB,WRI_RAI,OleMiss,D1,SEC,20250301-OleMiss-1,efc78290-f6e8-11ef-9541-4fcc8d428827,91.0799,,,9.38213,,,,,,,42c30549-dfd0-49a9-b2ac-644c1a7b15a8,2025-03-01,22:03:02.49,2025-03-01T16:03:02.4963072-06:00,2025-03-01T22:03:02.4963072Z,,v3,5322,471496,01 March 2025 17:00-wrightst@olemiss,"Smithwick, Campbell",805802,Right,OLE_REB,eedb7c3d-b348-429d-b051-20218b092264,54.71397,-135.677,16.67699,5.75289,-6.34107,-5.18111,-1.70615,7.97461,-4.69517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,16:03:19.66,1,3,"Maddox, Riley",1000119598,Right,OLE_REB,"Peltier, JP",1000270400,Right,WRI_RAI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.81944,-1.162022,-2.786848,2315.084908,213.623035,1:00,5.96751,1.53206,5.97119,-14.23583,18.60694,11.57709,3.70242,-0.08899,83.48371,-3.924925,-0.709188,0.412469,,,,,,,,,,,,-6.86044,10.27859,-1.31771,50,5.86764,6.04146,-134.51714,-3.12118,-12.37255,33.46298,-13.637,OLE_REB,WRI_RAI,OleMiss,D1,SEC,20250301-OleMiss-1,f9f78ad0-f6e8-11ef-9541-4fcc8d428827,91.38245,,,9.33573,,,,,,,42c30549-dfd0-49a9-b2ac-644c1a7b15a8,2025-03-01,22:03:19.66,2025-03-01T16:03:19.6679168-06:00,2025-03-01T22:03:19.6679168Z,,v3,5322,471496,01 March 2025 17:00-wrightst@olemiss,"Smithwick, Campbell",805802,Right,OLE_REB,a13e3faa-4cb9-4115-a742-4c52602f4bc9,54.52793,-135.63885,16.73149,5.9646,-2.66406,-6.8185,-1.52718,6.4562,-6.18628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-01,16:03:49.40,1,4,"Maddox, Riley",1000119598,Right,OLE_REB,"Peltier, JP",1000270400,Right,WRI_RAI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.44226,0.104017,-3.416906,2346.60068,223.174751,1:30,5.9207,1.6589,5.74662,-17.52651,15.32265,13.21764,4.55718,-0.42472,83.59426,-3.246832,-1.057062,0.412509,,,,,,,,,,,,-7.78575,8.08272,-1.38245,50,5.91888,7.44989,-135.21363,-0.30318,-14.14294,34.65088,-17.49165,OLE_REB,WRI_RAI,OleMiss,D1,SEC,20250301-OleMiss-1,0b9ac540-f6e9-11ef-9541-4fcc8d428827,91.37362,,,9.848,,,,,,,42c30549-dfd0-49a9-b2ac-644c1a7b15a8,2025-03-01,22:03:49.40,2025-03-01T16:03:49.4096384-06:00,2025-03-01T22:03:49.4096384Z,,v3,5322,471496,01 March 2025 17:00-wrightst@olemiss,"Smithwick, Campbell",805802,Right,OLE_REB,c88d2c9a-e8cb-4b0c-b3ff-0fd2beb2f780,54.74943,-136.42533,17.32544,5.91879,0.30848,-8.74583,-1.65161,7.94445,-7.07147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-01,16:04:05.10,1,5,"Maddox, Riley",1000119598,Right,OLE_REB,"Peltier, JP",1000270400,Right,WRI_RAI,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.5398,-2.014138,-2.516042,1479.663701,63.275555,8:00,5.81607,1.73443,5.42731,-49.58959,-7.64961,-18.33875,-0.20548,-2.1519,75.60498,-10.976235,-5.783931,0.466107,,,,,,,,,,,,8.3993,-2.75606,-1.49781,50,5.60272,6.0671,-120.86287,-6.05158,12.0506,30.15303,-36.12823,OLE_REB,WRI_RAI,OleMiss,D1,SEC,20250301-OleMiss-1,1519f410-f6e9-11ef-9541-4fcc8d428827,80.86652,,,7.93482,,,,,,,42c30549-dfd0-49a9-b2ac-644c1a7b15a8,2025-03-01,22:04:05.10,2025-03-01T16:04:05.1099136-06:00,2025-03-01T22:04:05.1099136Z,,v3,5322,471496,01 March 2025 17:00-wrightst@olemiss,"Smithwick, Campbell",805802,Right,OLE_REB,9351121d-60ea-4b47-9e2c-ae882d065e93,55.07419,-122.12222,15.07652,5.82396,-4.54267,-18.06412,-1.74069,5.5638,6.0253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-01,16:04:21.03,1,6,"Maddox, Riley",1000119598,Right,OLE_REB,"Peltier, JP",1000270400,Right,WRI_RAI,Undefined,1,Top,0,2,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.7558,-1.973297,-2.474842,2334.455934,246.892628,2:15,5.5746,1.78094,6.18847,-22.65804,10.51788,21.93682,1.86199,1.32247,83.18755,-6.241763,1.484989,0.414556,,,,,,,,,,,,-12.04985,6.39953,-1.6046,50,5.41424,4.81282,-133.09691,-5.31281,-21.37785,31.49355,-20.82052,OLE_REB,WRI_RAI,OleMiss,D1,SEC,20250301-OleMiss-1,1e929330-f6e9-11ef-9541-4fcc8d428827,90.9225,,,8.56825,,,,,,,42c30549-dfd0-49a9-b2ac-644c1a7b15a8,2025-03-01,22:04:21.03,2025-03-01T16:04:21.0369024-06:00,2025-03-01T22:04:21.0369024Z,,v3,5322,471496,01 March 2025 17:00-wrightst@olemiss,"Smithwick, Campbell",805802,Right,OLE_REB,469c7c4c-7e1a-4952-a39d-4d94cbd5ff66,54.31163,-134.11326,15.74678,5.57485,-4.64091,-10.41026,-1.77105,5.50271,-10.68892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,16:04:40.69,1,7,"Maddox, Riley",1000119598,Right,OLE_REB,"Peltier, JP",1000270400,Right,WRI_RAI,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,92.67407,-2.21942,-3.573858,2384.483923,228.308951,1:30,5.78853,1.50169,6.25619,-18.61477,13.68383,14.15898,2.18564,-0.61833,84.42822,-5.751475,-1.020412,0.409038,71.72729,-37.631575,-57.020318,,,,,4.48437,3.14562,-24.026095,0.036134,-8.42965,8.0752,-1.24303,50,5.61423,7.80974,-134.36971,-5.77925,-15.34625,30.27173,-17.47309,OLE_REB,WRI_RAI,OleMiss,D1,SEC,20250301-OleMiss-1,2a3e17e0-f6e9-11ef-9541-4fcc8d428827,92.14907,2.32851,,8.24585,,,,2.45183,2.32851,0.70771,42c30549-dfd0-49a9-b2ac-644c1a7b15a8,2025-03-01,22:04:40.69,2025-03-01T16:04:40.6904832-06:00,2025-03-01T22:04:40.6904832Z,GroundBall,v3,5322,471496,01 March 2025 17:00-wrightst@olemiss,"Smithwick, Campbell",805802,Right,OLE_REB,f398068d-b578-4fd9-be1f-f278596d4da8,54.24528,-135.32274,15.13587,5.78751,-5.22915,-8.73655,-1.49651,8.29288,-7.67312,,2.45097,45.49802,,,,,,,,2.32972,-64.44143,,,,,,,,0.70903,-70.11523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2025-03-01,16:05:27.21,2,1,"Maddox, Riley",1000119598,Right,OLE_REB,"Smith, Boston",1000077197,Left,WRI_RAI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,93.03352,-2.37285,-3.381899,2399.230597,229.311709,1:45,5.63369,1.77823,5.8273,-18.69064,13.80166,14.82379,1.86512,-0.13406,84.96346,-5.885795,-0.729065,0.410262,95.70038,47.014591,-27.103495,4412.743418,87.91628,110.27237,-66.11131,267.31799,128.8664,-46.567527,5.822025,-8.55075,8.03796,-1.51061,50,5.42839,7.31742,-134.84298,-6.21409,-15.72827,29.58436,-17.38901,OLE_REB,WRI_RAI,OleMiss,D1,SEC,20250301-OleMiss-1,45fee400-f6e9-11ef-9541-4fcc8d428827,91.87401,128.14194,,8.07006,,,,0.48427,2.57626,-0.24161,42c30549-dfd0-49a9-b2ac-644c1a7b15a8,2025-03-01,22:05:27.21,2025-03-01T16:05:27.2110592-06:00,2025-03-01T22:05:27.2110592Z,FlyBall,v3,5322,471496,01 March 2025 17:00-wrightst@olemiss,"Smithwick, Campbell",805802,Right,OLE_REB,987788d2-b633-42ad-a89b-aaf8c4455bf8,54.6741,-135.8646,14.79218,5.63261,-5.61361,-8.69451,-1.77267,7.86055,-7.86413,151.597744,0.50304,84.79505,-28.09218,6.56947,-0.18948,-0.43783,0.13653,-0.01706,0.00079,2.55356,103.04973,-26.488,3.51797,-0.97753,0.22526,-0.02623,0.00084,4E-05,-0.2311,-43.78768,1.47404,0.2916,0.11157,-0.11198,0.02964,-0.00343,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2025-03-01,16:05:58.56,3,1,"Maddox, Riley",1000119598,Right,OLE_REB,"Fultz, Patrick",1000238608,Left,WRI_RAI,Undefined,1,Top,2,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.10805,-1.679573,-2.987465,2360.396742,239.051808,2:00,5.65171,1.70785,5.8784,-20.93359,11.49831,17.37733,2.34477,0.37884,84.76297,-5.606286,0.127796,0.409881,,,,,,,,,,,,-9.70666,6.68973,-1.47607,50,5.50371,6.26465,-135.01279,-4.67141,-17.84308,30.52402,-19.87681,OLE_REB,WRI_RAI,OleMiss,D1,SEC,20250301-OleMiss-1,58aeac70-f6e9-11ef-9541-4fcc8d428827,91.95948,,,8.34508,,,,,,,42c30549-dfd0-49a9-b2ac-644c1a7b15a8,2025-03-01,22:05:58.56,2025-03-01T16:05:58.5673728-06:00,2025-03-01T22:05:58.5673728Z,,v3,5322,471496,01 March 2025 17:00-wrightst@olemiss,"Smithwick, Campbell",805802,Right,OLE_REB,e3c230a4-4873-47d8-ac19-5197a4b77acd,54.6216,-136.05364,15.26201,5.65145,-3.99362,-9.93841,-1.70006,6.87309,-8.92154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-01,16:06:12.47,3,2,"Maddox, Riley",1000119598,Right,OLE_REB,"Fultz, Patrick",1000238608,Left,WRI_RAI,Undefined,1,Top,2,0,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.31531,-2.38019,-3.964541,2265.363139,242.956141,2:00,5.66425,1.67483,5.82606,-21.77418,9.99087,17.47946,1.63037,-0.56013,85.86599,-6.443755,-0.837929,0.405645,92.37718,33.09256,-42.566773,4240.43638,74.77475,60.12348,-80.67667,242.0604,200.78601,-52.284827,4.346455,-10.08249,6.11197,-1.36078,50,5.45634,8.6768,-136.56843,-6.45542,-18.9553,31.35156,-20.68336,OLE_REB,WRI_RAI,OleMiss,D1,SEC,20250301-OleMiss-1,60f75710-f6e9-11ef-9541-4fcc8d428827,92.91975,70.13949,,8.44932,,,,0.55253,1.61307,0.63649,42c30549-dfd0-49a9-b2ac-644c1a7b15a8,2025-03-01,22:06:12.47,2025-03-01T16:06:12.4744704-06:00,2025-03-01T22:06:12.4744704Z,FlyBall,v3,5322,471496,01 March 2025 17:00-wrightst@olemiss,"Smithwick, Campbell",805802,Right,OLE_REB,84da87c9-56c2-44ef-bf0b-f67bacbfd97f,54.67494,-137.63746,15.67578,5.66443,-5.75015,-10.34168,-1.66766,9.32314,-9.47765,133.076318,0.55382,83.56691,-24.70304,6.66322,-1.56942,0.29648,-0.05296,0.00758,-0.00048,1.61195,73.99969,-24.30814,3.16873,-0.68055,0.12683,-0.01107,-0.00081,0.00016,0.63443,-76.7339,7.75365,0.98172,-0.961,0.38887,-0.08965,0.01173,-0.00067,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
