PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-17,16:32:32.83,1,1,"Bremner, Tyler",803285,Right,SAN_GAU,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.38851,-2.989088,-3.520095,2228.369783,199.684195,12:45,6.05989,2.19934,5.52781,-9.07249,22.63812,7.67993,2.50178,-0.45544,85.8511,-4.798091,-2.155469,0.405297,,,,,,,,,,,,-4.95985,12.66012,-1.8983,50,5.79379,8.10634,-137.85636,-7.40223,-9.41811,34.43884,-8.13411,SAN_GAU,CAL_MUS,CaesarUyesaka,D1,BW,20250417-CaesarUyesaka-1,1c385540-1be5-11f0-a363-0167f296f452,92.99949,,,9.53742,,,,,,,fe4f4ab4-a5e7-4753-8a5f-da2c72fb4984,2025-04-17,23:32:32.83,2025-04-17T16:32:32.8346624-07:00,2025-04-17T23:32:32.8346624Z,,v3,471258,471251,17 April 2025 19:35-calpoly@ucsb,"Fernandez, Ian",10001973,Right,SAN_GAU,ee1231c0-11bb-487a-a5f2-7145fed64ca8,54.96601,-139.09142,17.21942,6.05402,-7.11053,-4.06705,-2.19507,8.4441,-4.70905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-17,16:32:48.64,1,2,"Bremner, Tyler",803285,Right,SAN_GAU,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.77101,-2.325477,-1.645324,2306.567522,215.191239,1:15,6.02375,2.47045,5.50821,-9.61012,22.00131,14.64674,3.04614,2.15196,85.54399,-4.245032,0.963532,0.404663,,,,,,,,,,,,-7.85465,12.16308,-2.33667,50,5.81465,3.24989,-138.56041,-5.83362,-14.94034,37.19599,-9.03867,SAN_GAU,CAL_MUS,CaesarUyesaka,D1,BW,20250417-CaesarUyesaka-1,25acd5b0-1be5-11f0-a363-0167f296f452,93.14526,,,10.22702,,,,,,,fe4f4ab4-a5e7-4753-8a5f-da2c72fb4984,2025-04-17,23:32:48.64,2025-04-17T16:32:48.6480384-07:00,2025-04-17T23:32:48.6480384Z,,v3,471258,471251,17 April 2025 19:35-calpoly@ucsb,"Fernandez, Ian",10001973,Right,SAN_GAU,581ef4d3-062b-47c2-a380-021d9ee377c2,54.98419,-139.892,18.598,6.0177,-5.51004,-4.51934,-2.46259,3.78474,-7.47017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-17,16:33:04.11,1,3,"Bremner, Tyler",803285,Right,SAN_GAU,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.31258,-1.63439,-3.801155,2308.813473,250.210369,2:15,5.6706,2.64167,5.52153,-34.62722,6.72847,14.67135,1.25319,0.30528,75.74177,-8.004748,-1.189218,0.462849,,,,,,,,,,,,-8.59654,4.31418,-2.32074,50,5.50508,7.40703,-120.58166,-4.62876,-12.52918,25.65466,-25.88629,SAN_GAU,CAL_MUS,CaesarUyesaka,D1,BW,20250417-CaesarUyesaka-1,2ee42610-1be5-11f0-a363-0167f296f452,81.43579,,,7.57081,,,,,,,fe4f4ab4-a5e7-4753-8a5f-da2c72fb4984,2025-04-17,23:33:04.11,2025-04-17T16:33:04.1199104-07:00,2025-04-17T23:33:04.1199104Z,,v3,471258,471251,17 April 2025 19:35-calpoly@ucsb,"Fernandez, Ian",10001973,Right,SAN_GAU,0283593f-37c0-4662-aa90-56b3673c0b46,54.97553,-121.63564,12.82733,5.6734,-3.56527,-12.94315,-2.63562,7.92177,-6.26459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-17,16:33:22.84,1,4,"Bremner, Tyler",803285,Right,SAN_GAU,"Vachini, Dante",10281096,Left,CAL_MUS,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,85.55916,-1.56012,-4.690385,2388.731541,247.711129,2:15,5.65169,2.57691,5.66154,-32.00112,7.12591,13.99678,1.5249,-0.64017,77.58204,-7.473536,-2.197742,0.450205,,,,,,,,,,,,-8.55,4.50799,-2.18852,50,5.49928,9.56081,-123.70074,-4.47228,-13.10331,27.19104,-25.2653,SAN_GAU,CAL_MUS,CaesarUyesaka,D1,BW,20250417-CaesarUyesaka-1,3a0b86a0-1be5-11f0-a363-0167f296f452,83.72292,,,7.97712,,,,,,,fe4f4ab4-a5e7-4753-8a5f-da2c72fb4984,2025-04-17,23:33:22.84,2025-04-17T16:33:22.8461568-07:00,2025-04-17T23:33:22.8461568Z,,v3,471258,471251,17 April 2025 19:35-calpoly@ucsb,"Fernandez, Ian",10001973,Right,SAN_GAU,4a036044-fdd4-43b0-ab41-6f93b4c0dc7d,54.83479,-124.75896,13.59552,5.6542,-3.489,-12.63265,-2.57053,10.07077,-6.55166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-17,16:33:55.92,2,1,"Bremner, Tyler",803285,Right,SAN_GAU,"Fenn, Ryan",809917,Right,CAL_MUS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.69471,-2.310768,-4.259817,2309.804656,212.791773,1:00,6.03422,2.389,5.68279,-10.96158,20.70025,12.51981,2.95974,-0.54562,85.20259,-4.484386,-2.030913,0.404985,,,,,,,,,,,,-7.60741,11.48764,-2.03662,50,5.83183,9.63811,-138.06185,-5.81716,-14.35844,37.07722,-10.49188,SAN_GAU,CAL_MUS,CaesarUyesaka,D1,BW,20250417-CaesarUyesaka-1,4da3da50-1be5-11f0-a363-0167f296f452,93.07109,,,10.49212,,,,,,,fe4f4ab4-a5e7-4753-8a5f-da2c72fb4984,2025-04-17,23:33:55.92,2025-04-17T16:33:55.9258624-07:00,2025-04-17T23:33:55.9258624Z,,v3,471258,471251,17 April 2025 19:35-calpoly@ucsb,"Fernandez, Ian",10001973,Right,SAN_GAU,b0794fcc-b32d-4e6d-ba6f-a219571fc2db,54.8046,-139.34618,18.53861,6.02704,-5.45373,-5.24594,-2.37909,10.13547,-7.17922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-17,16:34:16.01,2,2,"Bremner, Tyler",803285,Right,SAN_GAU,"Fenn, Ryan",809917,Right,CAL_MUS,Undefined,1,Top,1,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.2178,-0.611817,-4.331022,2323.627245,249.428323,2:15,5.60325,2.73416,5.61133,-33.82022,7.41363,15.97505,2.2122,0.01531,75.63058,-6.859316,-1.486919,0.462166,,,,,,,,,,,,-9.43654,4.33563,-2.37429,50,5.52907,8.47672,-120.46322,-2.41921,-13.75767,25.11257,-25.85307,SAN_GAU,CAL_MUS,CaesarUyesaka,D1,BW,20250417-CaesarUyesaka-1,59bb8e50-1be5-11f0-a363-0167f296f452,81.55598,,,7.58721,,,,,,,fe4f4ab4-a5e7-4753-8a5f-da2c72fb4984,2025-04-17,23:34:16.01,2025-04-17T16:34:16.0156672-07:00,2025-04-17T23:34:16.0156672Z,,v3,471258,471251,17 April 2025 19:35-calpoly@ucsb,"Fernandez, Ian",10001973,Right,SAN_GAU,267bd9dd-f653-4eda-9166-4c5c20eb0e82,54.8865,-121.47762,12.55628,5.6057,-1.3749,-12.92654,-2.72792,9.03245,-6.87884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-17,16:34:37.93,2,3,"Bremner, Tyler",803285,Right,SAN_GAU,"Fenn, Ryan",809917,Right,CAL_MUS,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.41388,0.49471,-3.406356,2229.807495,212.487956,1:00,5.97671,2.34087,5.62803,-11.3841,20.30914,12.16827,5.49045,0.1728,85.13515,-1.751151,-1.238919,0.405186,,,,,,,,,,,,-7.23705,10.3954,-2.05823,50,6.01185,7.61919,-138.00802,0.91363,-13.67688,36.47304,-12.52841,SAN_GAU,CAL_MUS,CaesarUyesaka,D1,BW,20250417-CaesarUyesaka-1,66abef10-1be5-11f0-a363-0167f296f452,93.02495,,,10.27873,,,,,,,fe4f4ab4-a5e7-4753-8a5f-da2c72fb4984,2025-04-17,23:34:37.93,2025-04-17T16:34:37.9333120-07:00,2025-04-17T23:34:37.9333120Z,,v3,471258,471251,17 April 2025 19:35-calpoly@ucsb,"Fernandez, Ian",10001973,Right,SAN_GAU,cbe7397a-b0d9-4ed2-8ae3-10ed6d3dee8b,54.86436,-139.28765,18.23652,5.97209,1.35317,-6.2642,-2.33397,8.09904,-6.83844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-17,16:34:55.09,2,4,"Bremner, Tyler",803285,Right,SAN_GAU,"Fenn, Ryan",809917,Right,CAL_MUS,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,96.10541,-1.418839,-3.414648,2305.772247,211.432869,1:00,6.022,2.22452,5.53838,-10.16355,20.89647,12.09753,3.84633,0.03744,86.65519,-3.419591,-1.263325,0.401118,,,,,,,,,,,,-7.11957,11.27048,-1.93626,50,5.89234,7.7104,-139.11655,-3.70416,-13.80763,34.23255,-10.31611,SAN_GAU,CAL_MUS,CaesarUyesaka,D1,BW,20250417-CaesarUyesaka-1,70ff36c0-1be5-11f0-a363-0167f296f452,93.96844,,,9.45021,,,,,,,fe4f4ab4-a5e7-4753-8a5f-da2c72fb4984,2025-04-17,23:34:55.09,2025-04-17T16:34:55.0920000-07:00,2025-04-17T23:34:55.0920000Z,,v3,471258,471251,17 April 2025 19:35-calpoly@ucsb,"Fernandez, Ian",10001973,Right,SAN_GAU,ea3fde3c-1ea5-405c-a56a-cffebab6ec2f,54.95646,-140.33089,17.11628,6.01725,-3.33822,-5.15805,-2.21846,8.2002,-6.90382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.15039,2.761467,1.752678,1.008789,-1.28861,3.68152,0.01966,-4.96212,6.99315,4.62247,66.64397,7.23663,58.12738,-4.90065,76.71984,-5.74009,7.01651,13.17939,-12.84428,4.65755,56.44844,-3.40988,High,High,High,,,High,High,High
9,2025-04-17,16:35:29.54,3,1,"Bremner, Tyler",803285,Right,SAN_GAU,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.92546,-1.279858,-4.275966,2289.010864,206.725075,1:00,5.90666,2.47225,5.57062,-9.38973,21.79111,10.41607,3.92517,-0.66121,86.49667,-3.143802,-2.426139,0.401897,,,,,,,,,,,,-6.53548,11.68166,-2.11014,50,5.79021,9.86663,-138.73295,-3.31808,-12.61354,33.85186,-9.62836,SAN_GAU,CAL_MUS,CaesarUyesaka,D1,BW,20250417-CaesarUyesaka-1,856d02e0-1be5-11f0-a363-0167f296f452,93.78621,,,9.42879,,,,,,,fe4f4ab4-a5e7-4753-8a5f-da2c72fb4984,2025-04-17,23:35:29.54,2025-04-17T16:35:29.5479296-07:00,2025-04-17T23:35:29.5479296Z,,v3,471258,471251,17 April 2025 19:35-calpoly@ucsb,"Fernandez, Ian",10001973,Right,SAN_GAU,3ddb0e41-2963-4ded-bc59-42de2a375dc6,54.92399,-139.92929,16.92593,5.90146,-2.97782,-4.81418,-2.46671,10.3124,-6.30677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-17,16:35:49.68,3,2,"Bremner, Tyler",803285,Right,SAN_GAU,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.0306,-1.358967,-5.341837,2313.958377,209.98141,1:00,6.02029,2.28328,5.56078,-8.07512,23.1982,12.72914,4.07199,-1.66101,86.34664,-2.99468,-3.087476,0.402493,,,,,,,,,,,,-8.03985,12.40981,-1.82935,50,5.89746,12.34109,-138.64177,-3.44467,-15.46985,34.3017,-8.29575,SAN_GAU,CAL_MUS,CaesarUyesaka,D1,BW,20250417-CaesarUyesaka-1,918af870-1be5-11f0-a363-0167f296f452,93.64742,,,9.68397,,,,,,,fe4f4ab4-a5e7-4753-8a5f-da2c72fb4984,2025-04-17,23:35:49.68,2025-04-17T16:35:49.6889856-07:00,2025-04-17T23:35:49.6889856Z,,v3,471258,471251,17 April 2025 19:35-calpoly@ucsb,"Fernandez, Ian",10001973,Right,SAN_GAU,ca7ce81b-4148-4044-9668-1ab8c736ac52,54.93375,-139.85712,17.15085,6.0143,-3.15074,-4.14788,-2.27632,12.8892,-7.73493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
