PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,Runner1st,Runner2nd,Runner3rd,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/2/25,06:31.8,1,1,"Ries, Nathan",10089073,Right,CSD_TRI,"Cross, Kerrington",701136,Right,CIN_BEA,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,0,0,0,,86.67524,-2.209243,-1.288371,1824.187291,195.505164,12:30,5.73203,1.39082,6.51889,-19.15694,17.51029,4.50307,2.10704,0.58375,78.63731,-5.888906,-0.470466,0.435823,,,,,,,,,,,,-2.77835,10.26367,-1.30302,50,5.56976,2.66315,-125.84006,-5.34322,-4.40463,28.23904,-15.90253,CSD_TRI,CIN_BEA,UCSanDiego,D1,WCC,20250302-UCSanDiego-1,127a0580-f791-11ef-bf2a-bd1b278e8e17,86.48563,,,8.03794,,,,,,,2c4487bd-8ad1-4d2d-a735-02290c9d47fb,3/2/25,06:31.8,2025-03-02T10:06:31.7794816-08:00,2025-03-02T18:06:31.7794816Z,,v3,,471270,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,b0e2926a-6a50-4c5b-9954-a620701b2b90,53.97925,-126.72988,14.11952,5.73023,-4.84213,-7.95126,-1.38912,2.80194,-2.20231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,3/2/25,06:54.3,1,2,"Ries, Nathan",10089073,Right,CSD_TRI,"Cross, Kerrington",701136,Right,CIN_BEA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,0,0,0,,78.90454,0.29726,-0.350075,1515.435667,218.580046,1:15,5.81182,0.83914,5.92221,-30.07281,15.2328,10.88418,3.5816,1.4213,71.40245,-5.365642,1.604668,0.484448,,,,,,,,,,,,-5.75465,8.17252,-0.81761,50,5.81871,0.30285,-114.5302,-0.25944,-7.5384,23.86923,-21.46828,CSD_TRI,CIN_BEA,UCSanDiego,D1,WCC,20250302-UCSanDiego-1,1fe5d7d0-f791-11ef-bf2a-bd1b278e8e17,77.80488,,,7.50209,,,,,,,2c4487bd-8ad1-4d2d-a735-02290c9d47fb,3/2/25,06:54.4,2025-03-02T10:06:54.3541248-08:00,2025-03-02T18:06:54.3541248Z,,v3,,471270,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,ecb0e55a-0ab4-4466-b716-ee73819c296e,54.57608,-115.47996,11.93461,5.81204,0.59479,-10.73414,-0.83562,0.60281,-3.7692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,3/2/25,07:48.0,2,1,"Ries, Nathan",10089073,Right,CSD_TRI,"O'Connor, Tommy",803051,Left,CIN_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,86.04223,-0.178156,-0.336127,1907.939395,199.198972,12:45,5.6553,1.34506,6.40174,-20.62237,16.57324,5.33992,3.77294,1.48095,78.15181,-4.127099,0.631595,0.438952,,,,,,,,,,,,-2.8691,9.05898,-1.32317,50,5.63288,0.52547,-125.01328,-0.93196,-4.50884,26.84065,-17.93776,CSD_TRI,CIN_BEA,UCSanDiego,D1,WCC,20250302-UCSanDiego-1,3fe6e5b0-f791-11ef-bf2a-bd1b278e8e17,85.86914,,,7.89042,,,,,,,2c4487bd-8ad1-4d2d-a735-02290c9d47fb,3/2/25,07:48.0,2025-03-02T10:07:47.9884800-08:00,2025-03-02T18:07:47.9884800Z,,v3,,471270,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,0f9fc109-dc5a-47f0-be6a-f36085667e2d,54.09427,-125.88926,13.42033,5.65375,-0.34654,-8.96888,-1.34272,0.67262,-2.25442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,3/2/25,08:07.4,2,2,"Ries, Nathan",10089073,Right,CSD_TRI,"O'Connor, Tommy",803051,Left,CIN_BEA,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,0,0,0,1,0,,86.05805,-1.033896,-2.62022,1802.819695,202.678639,12:45,5.52774,1.40401,6.51747,-21.17773,15.93312,6.13382,2.81317,-0.49073,78.18992,-5.084455,-1.507773,0.438452,64.21841,-20.329657,14.232272,,,,,8.6365,8.6143,15.639216,0.084294,-4.01221,9.04091,-1.22395,50,5.44636,5.48878,-124.93705,-2.81161,-6.29074,27.05911,-17.99878,CSD_TRI,CIN_BEA,UCSanDiego,D1,WCC,20250302-UCSanDiego-1,4b7b8700-f791-11ef-bf2a-bd1b278e8e17,85.9671,2.77127,,7.86814,,,,1.06652,2.77127,0.48928,2c4487bd-8ad1-4d2d-a735-02290c9d47fb,3/2/25,08:07.4,2025-03-02T10:08:07.4246656-08:00,2025-03-02T18:08:07.4246656Z,GroundBall,v3,,471270,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,001f4ac1-5752-43a5-8545-2c5a54601774,53.98023,-125.79614,13.52956,5.52655,-2.24017,-8.99939,-1.40138,5.68851,-3.14537,180,1.06106,86.01119,,,,,,,,2.77336,-32.8762,,,,,,,,0.48789,21.81573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,3/2/25,08:54.7,3,1,"Ries, Nathan",10089073,Right,CSD_TRI,"Natili, Jackson",1000091481,Right,CIN_BEA,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,74.90318,1.378804,-1.290826,1481.877218,197.096603,12:30,5.77611,1.10746,5.98,-31.69273,18.72115,5.19748,4.41369,0.34386,67.41373,-4.631305,-0.357179,0.51103,,,,,,,,,,,,-3.06843,9.67808,-1.00824,50,5.86779,2.25803,-108.56644,1.7899,-3.60358,21.84676,-20.80801,CSD_TRI,CIN_BEA,UCSanDiego,D1,WCC,20250302-UCSanDiego-1,67bddf30-f791-11ef-bf2a-bd1b278e8e17,73.75777,,,7.48945,,,,,,,2c4487bd-8ad1-4d2d-a735-02290c9d47fb,3/2/25,08:54.7,2025-03-02T10:08:54.7266048-08:00,2025-03-02T18:08:54.7266048Z,,v3,,471270,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,824bded4-9056-485e-8887-da3b09e5853d,54.51353,-109.47093,10.92338,5.77585,2.65138,-10.404,-1.10481,2.40722,-1.80179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,3/2/25,09:15.1,3,2,"Ries, Nathan",10089073,Right,CSD_TRI,"Natili, Jackson",1000091481,Right,CIN_BEA,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,86.543,-2.014986,-2.899994,1835.076741,199.194922,12:45,5.68248,1.29277,6.51481,-21.6784,15.01087,4.79851,2.02385,-0.97069,78.86839,-6.138501,-2.029892,0.435954,,,,,,,,,,,,-3.36851,8.83276,-1.09245,50,5.5323,6.17938,-125.56371,-5.00453,-5.34578,26.83735,-18.15649,CSD_TRI,CIN_BEA,UCSanDiego,D1,WCC,20250302-UCSanDiego-1,73c3b8e0-f791-11ef-bf2a-bd1b278e8e17,86.45961,,,7.67461,,,,,,,2c4487bd-8ad1-4d2d-a735-02290c9d47fb,3/2/25,09:15.1,2025-03-02T10:09:15.0547968-08:00,2025-03-02T18:09:15.0547968Z,,v3,,471270,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,1b2270e2-d619-4cf9-8865-c181eab83af1,53.98245,-126.41203,13.41867,5.68143,-4.43061,-9.07825,-1.29045,6.34836,-2.67289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,3/2/25,09:33.4,3,3,"Ries, Nathan",10089073,Right,CSD_TRI,"Natili, Jackson",1000091481,Right,CIN_BEA,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,0,0,0,,86.75001,-1.364286,-2.312975,1954.017231,194.781681,12:30,5.57628,1.34222,6.48318,-18.18001,18.44733,4.53508,2.80739,-0.40469,78.66327,-4.870747,-1.490829,0.435586,76.38804,39.608769,134.544744,4273.891641,,,,,45.09557,,,-3.08795,10.4543,-1.18159,50,5.47219,4.91435,-125.92379,-3.45318,-4.90939,27.92135,-15.55323,CSD_TRI,CIN_BEA,UCSanDiego,D1,WCC,20250302-UCSanDiego-1,7ec12340-f791-11ef-bf2a-bd1b278e8e17,86.53269,33.64197,,8.08673,,,,1.06257,2.65035,0.65892,2c4487bd-8ad1-4d2d-a735-02290c9d47fb,3/2/25,09:33.4,2025-03-02T10:09:33.3981184-08:00,2025-03-02T18:09:33.3981184Z,,v3,,471270,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,ab5c7184-8084-47cd-bc8c-c40ee4a3ecf9,54.01416,-126.81074,13.96067,5.57403,-2.95912,-7.77661,-1.34018,5.0703,-2.45469,,1.06257,-60.54633,0.01926,2.31249,-0.86166,0.25199,-0.02934,-0.02622,0.01593,2.65035,71.4274,-30.01467,4.57342,-1.00888,0.2549,-0.18643,0.183,-0.08049,0.65892,61.51623,-10.72369,2.19606,-0.46294,0.12288,-0.14443,0.15649,-0.06953,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,3/2/25,09:56.9,3,4,"Ries, Nathan",10089073,Right,CSD_TRI,"Natili, Jackson",1000091481,Right,CIN_BEA,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,80.397,-1.699459,-1.72671,1988.325447,159.606166,11:15,5.71954,1.11153,6.24428,-37.10915,6.12697,-1.70835,1.05848,-0.62391,73.10689,-8.607589,-2.03573,0.473254,,,,,,,,,,,,0.33307,4.16725,-0.98222,50,5.57494,3.57805,-116.63997,-4.55106,0.45189,25.04023,-26.52006,CSD_TRI,CIN_BEA,UCSanDiego,D1,WCC,20250302-UCSanDiego-1,8ccabc30-f791-11ef-bf2a-bd1b278e8e17,79.64519,,,7.29011,,,,,,,2c4487bd-8ad1-4d2d-a735-02290c9d47fb,3/2/25,09:56.9,2025-03-02T10:09:56.9491968-08:00,2025-03-02T18:09:56.9491968Z,,v3,,471270,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,96bbad4d-efc7-498d-b92a-547da8d97f44,54.25312,-117.54949,12.52012,5.72275,-3.5878,-13.26003,-1.11188,3.56164,0.22594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,3/2/25,10:14.7,3,5,"Ries, Nathan",10089073,Right,CSD_TRI,"Natili, Jackson",1000091481,Right,CIN_BEA,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,0,0,0,,87.40498,-1.42367,-2.879325,1990.981641,182.709737,12:00,5.64509,1.34803,6.53267,-19.01568,16.81568,0.74095,2.75261,-1.23364,79.7756,-5.062508,-2.745008,0.430827,76.67759,8.346053,167.403604,1860.52851,,,,134.67233,46.11245,172.968832,1.438816,-1.1948,9.52827,-1.14839,50,5.53745,6.34855,-126.82216,-3.63521,-1.94273,26.33561,-16.68134,CSD_TRI,CIN_BEA,UCSanDiego,D1,WCC,20250302-UCSanDiego-1,97693db0-f791-11ef-bf2a-bd1b278e8e17,87.48856,7.95026,,7.62938,,,,1.85685,2.8155,0.9385,2c4487bd-8ad1-4d2d-a735-02290c9d47fb,3/2/25,10:14.7,2025-03-02T10:10:14.7109376-08:00,2025-03-02T18:10:14.7109376Z,GroundBall,v3,,471270,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,b201eb7f-32ce-40df-83a2-4a6ae96ff473,53.96058,-127.64196,13.16781,5.64253,-3.11594,-8.34067,-1.34696,6.40903,-0.97136,,1.69259,-107.01639,9.06676,,,,,,,2.85995,15.92166,-12.46935,,,,,,,1.18194,21.88809,-7.92056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,3/2/25,10:36.5,3,6,"Ries, Nathan",10089073,Right,CSD_TRI,"Natili, Jackson",1000091481,Right,CIN_BEA,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,80.39106,0.114751,-3.29997,1994.793347,247.926538,2:15,5.61175,1.35201,6.10358,-40.86246,2.80177,3.0065,2.31284,-1.45259,72.66545,-7.482438,-2.759081,0.475592,,,,,,,,,,,,-2.62961,1.90004,-1.09965,50,5.59964,6.60139,-116.46995,-1.02582,-3.54904,25.43623,-29.60965,CSD_TRI,CIN_BEA,UCSanDiego,D1,WCC,20250302-UCSanDiego-1,a469a400-f791-11ef-bf2a-bd1b278e8e17,79.25376,,,7.72561,,,,,,,2c4487bd-8ad1-4d2d-a735-02290c9d47fb,3/2/25,10:36.5,2025-03-02T10:10:36.5277696-08:00,2025-03-02T18:10:36.5277696Z,,v3,,471270,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,8e03a235-9ee2-4742-adf8-549209a48933,54.39247,-117.42532,12.71812,5.61728,0.0863,-14.80483,-1.35009,6.73469,-1.77452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
