PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,Runner1st,Runner2nd,Runner3rd,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/23/25,07:36.2,1,1,"Murdock, Steele",10323102,Right,CSD_TRI,"Champagne, Alex",811562,Left,LON_DIR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,93.53402,-3.809283,-1.292874,2454.33364,203.30758,12:45,5.96942,1.25078,6.59822,-16.1582,15.36418,6.13748,1.12698,0.57757,84.78682,-6.912255,-0.176064,0.404093,,,,,,,,,,,,-3.65792,9.62997,-1.16501,50,5.70227,2.81787,-135.61189,-9.46255,-6.72384,33.23575,-14.47271,CSD_TRI,LON_DIR,UCSanDiego,D1,BW,20250323-UCSanDiego-2,771cc5d0-0822-11f0-a210-2344a8369a27,93.27676,,,8.74719,,,,,,,577dbc4a-62eb-4ec2-8d33-cdd3771affb9,3/23/25,07:36.2,2025-03-23T13:07:36.1687040-07:00,2025-03-23T20:07:36.1687040Z,,v3,,471255,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,13896561-f228-4ba2-9b14-57c54f78d999,53.90013,-136.56439,16.61788,5.96752,-9.04778,-7.23636,-1.24853,3.01057,-3.36192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,3/23/25,07:53.0,1,2,"Murdock, Steele",10323102,Right,CSD_TRI,"Champagne, Alex",811562,Left,LON_DIR,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,93.81397,-2.009597,-1.253393,2374.474624,212.313569,1:00,5.91434,1.32723,6.58594,-14.88119,16.32942,9.64323,2.83152,0.98208,84.96663,-4.894521,0.500307,0.402089,,,,,,,,,,,,-5.425,9.50583,-1.24492,50,5.77016,2.58119,-136.21712,-5.15626,-10.08369,32.91837,-14.50516,CSD_TRI,LON_DIR,UCSanDiego,D1,BW,20250323-UCSanDiego-2,811f2e60-0822-11f0-a210-2344a8369a27,93.74148,,,8.84735,,,,,,,577dbc4a-62eb-4ec2-8d33-cdd3771affb9,3/23/25,07:53.0,2025-03-23T13:07:52.9754112-07:00,2025-03-23T20:07:52.9754112Z,,v3,,471255,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,892097bf-e760-480c-9d94-4a5fdeb58724,53.91061,-137.15891,16.45918,5.91174,-4.74127,-7.25258,-1.3229,2.86968,-5.04185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,3/23/25,08:08.6,1,3,"Murdock, Steele",10323102,Right,CSD_TRI,"Champagne, Alex",811562,Left,LON_DIR,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,93.675,-3.336749,-0.972483,2497.413554,207.70561,1:00,5.86214,1.50563,6.36017,-15.39017,16.05584,7.88422,1.50488,1.26758,85.46353,-6.279338,0.455672,0.403603,,,,,,,,,,,,-4.38839,9.65075,-1.43871,50,5.61299,1.97854,-135.92155,-8.35236,-8.17489,30.96659,-14.19609,CSD_TRI,LON_DIR,UCSanDiego,D1,BW,20250323-UCSanDiego-2,8a841e70-0822-11f0-a210-2344a8369a27,93.38998,,,8.21147,,,,,,,577dbc4a-62eb-4ec2-8d33-cdd3771affb9,3/23/25,08:08.6,2025-03-23T13:08:08.6496768-07:00,2025-03-23T20:08:08.6496768Z,,v3,,471255,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,e77e7766-cda5-4955-b34a-44e3d7d0fcc9,54.13779,-136.861,15.48329,5.85984,-7.92168,-7.09804,-1.5025,2.22655,-4.08745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,3/23/25,08:25.9,1,4,"Murdock, Steele",10323102,Right,CSD_TRI,"Champagne, Alex",811562,Left,LON_DIR,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,0,0,0,,94.19018,-3.277651,-1.416192,2428.787474,211.626145,1:00,5.9379,1.48488,6.51313,-14.89583,16.01265,9.23331,1.68469,0.9545,85.95227,-6.137437,0.260822,0.400138,69.73677,36.040362,-71.106358,4351.938589,18.69546,47.41077,-108.3996,188.04429,85.28277,-89.481951,3.451405,-5.2604,9.65922,-1.3899,50,5.70244,3.00449,-136.70781,-8.23022,-9.91476,31.27851,-13.96841,CSD_TRI,LON_DIR,UCSanDiego,D1,BW,20250323-UCSanDiego-2,94c564c0-0822-11f0-a210-2344a8369a27,94.19854,47.41311,,8.2379,,,,1.00681,1.46959,-0.75215,577dbc4a-62eb-4ec2-8d33-cdd3771affb9,3/23/25,08:25.9,2025-03-23T13:08:25.8747392-07:00,2025-03-23T20:08:25.8747392Z,FlyBall,v3,,471255,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,6acc317b-1539-4105-ab50-e1345d53b486,53.98553,-137.61667,15.63926,5.9357,-7.82434,-6.98421,-1.48139,3.29258,-4.95738,126.670112,1.00773,26.74906,-13.27837,2.7653,-0.2235,-0.20011,0.08824,-0.01442,0.00087,1.46939,60.18324,-22.71629,2.55301,-0.54688,0.10143,-0.00689,-0.00148,0.00023,-0.75323,-78.21247,7.34419,0.39482,-0.74517,0.42252,-0.11975,0.01717,-0.00099,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,3/23/25,08:48.5,1,5,"Murdock, Steele",10323102,Right,CSD_TRI,"Champagne, Alex",811562,Left,LON_DIR,Undefined,1,Top,0,2,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,0,0,0,,85.11197,-0.010338,0.071974,2220.550849,69.291083,8:15,5.87421,1.50904,6.01363,-39.77919,-1.34768,-6.78445,2.5497,1.01034,77.97511,-7.348935,-1.150515,0.446185,,,,,,,,,,,,3.50756,-0.31075,-1.51104,50,5.85185,0.11436,-123.69887,-1.36573,5.4151,25.50593,-32.65381,CSD_TRI,LON_DIR,UCSanDiego,D1,BW,20250323-UCSanDiego-2,a241d8e0-0822-11f0-a210-2344a8369a27,84.47709,,,7.13687,,,,,,,577dbc4a-62eb-4ec2-8d33-cdd3771affb9,3/23/25,08:48.5,2025-03-23T13:08:48.4850000-07:00,2025-03-23T20:08:48.4850000Z,,v3,,471255,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,20ba6ae3-7114-4be7-9f97-af428742f4fa,54.48563,-124.62035,12.75297,5.87988,-0.18602,-16.3269,-1.51164,-0.08128,2.70755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.45373,3.013091,1.61065,1.402441,-0.56219,2.28922,-0.9698,-2.28993,4.96993,0.30353,75.16535,7.0371,-49.6263,-2.24011,59.32036,-2.943,5.086,22.6696,-15.17065,0.18954,-41.21963,4.06362,High,High,High,,,High,High,High
6,3/23/25,09:30.8,2,1,"Murdock, Steele",10323102,Right,CSD_TRI,"Lina, Dylan",1000047663,Right,LON_DIR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,0,0,0,,94.35069,-3.224754,-2.715564,2363.04504,195.051147,12:30,5.93149,1.24293,6.69243,-14.94438,15.51824,3.9178,1.73063,-0.91586,86.58178,-6.089123,-2.002718,0.397242,81.98511,16.450116,40.496821,4877.660367,76.87251,22.95212,78.67954,236.37172,195.69245,50.793854,2.687931,-2.81622,9.37733,-1.06345,50,5.71012,6.34217,-136.94344,-8.11628,-5.35826,29.69758,-14.33243,CSD_TRI,LON_DIR,UCSanDiego,D1,BW,20250323-UCSanDiego-2,bb6760b0-0822-11f0-a210-2344a8369a27,94.8854,23.50969,,7.76891,,,,0.26498,1.64801,0.95568,577dbc4a-62eb-4ec2-8d33-cdd3771affb9,3/23/25,09:30.8,2025-03-23T13:09:30.7652096-07:00,2025-03-23T20:09:30.7652096Z,LineDrive,v3,,471255,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,3e84fd7a-1a5c-431f-b56f-0f19728fddfd,53.80693,-137.76653,14.84879,5.92956,-7.71905,-7.16622,-1.24128,6.49068,-2.67913,,0.26497,87.69747,-19.84741,4.66818,-0.98062,0.17878,-0.02842,0.00354,-0.00022,1.64802,34.04911,-13.27401,-0.19867,0.23569,-0.07073,0.01527,-0.00171,7.00E-05,0.95569,74.89023,-3.11046,0.00246,0.14661,-0.05248,0.01119,-0.00135,7.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
7,3/23/25,09:54.8,2,2,"Murdock, Steele",10323102,Right,CSD_TRI,"Lina, Dylan",1000047663,Right,LON_DIR,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,82.55167,-1.174228,-1.593636,2344.838366,59.309001,8:00,5.82993,1.483,5.8903,-46.48176,-4.8276,-10.60977,0.8656,-0.88124,75.12105,-9.691888,-3.502215,0.464516,,,,,,,,,,,,4.94567,-1.71992,-1.34831,50,5.7085,3.74063,-119.75853,-4.00662,7.04833,27.15822,-34.62521,CSD_TRI,LON_DIR,UCSanDiego,D1,BW,20250323-UCSanDiego-2,c9becb80-0822-11f0-a210-2344a8369a27,81.14346,,,7.43062,,,,,,,577dbc4a-62eb-4ec2-8d33-cdd3771affb9,3/23/25,09:54.8,2025-03-23T13:09:54.7656192-07:00,2025-03-23T20:09:54.7656192Z,,v3,,471255,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,9325e32f-b85a-48d5-8f8b-f3018c13bef2,54.60937,-120.7993,13.57911,5.83662,-2.6797,-17.3126,-1.48648,3.47052,3.52416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,3/23/25,10:10.9,2,3,"Murdock, Steele",10323102,Right,CSD_TRI,"Lina, Dylan",1000047663,Right,LON_DIR,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,94.9799,-3.247869,-1.084586,2238.925843,205.422762,12:45,5.86632,1.40536,6.33738,-15.05064,15.66072,6.94591,1.61803,0.98548,86.35404,-6.131517,0.172962,0.39886,,,,,,,,,,,,-3.94087,9.44225,-1.32953,50,5.62245,2.31307,-137.77434,-8.24238,-7.51645,32.80841,-14.16471,CSD_TRI,LON_DIR,UCSanDiego,D1,BW,20250323-UCSanDiego-2,d3546880-0822-11f0-a210-2344a8369a27,94.50036,,,8.62585,,,,,,,577dbc4a-62eb-4ec2-8d33-cdd3771affb9,3/23/25,10:10.9,2025-03-23T13:10:10.9018624-07:00,2025-03-23T20:10:10.9018624Z,,v3,,471255,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,bd8174ea-30fe-4662-8ee1-4cfc03325526,54.16022,-138.76148,16.4042,5.86404,-7.81619,-7.08236,-1.40253,2.53923,-3.75822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,3/23/25,10:32.9,2,4,"Murdock, Steele",10323102,Right,CSD_TRI,"Lina, Dylan",1000047663,Right,LON_DIR,Undefined,1,Top,1,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,85.50887,-0.743186,-0.5599,2289.564976,31.51228,7:00,5.82826,1.35789,5.92061,-43.89113,-4.95075,-3.92425,1.48094,0.51128,77.16153,-8.828216,-1.266593,0.449129,,,,,,,,,,,,1.81504,-1.84917,-1.31087,50,5.74424,1.37276,-124.01458,-3.13958,2.76081,30.18716,-34.9868,CSD_TRI,LON_DIR,UCSanDiego,D1,BW,20250323-UCSanDiego-2,e084b870-0822-11f0-a210-2344a8369a27,83.92334,,,8.34733,,,,,,,577dbc4a-62eb-4ec2-8d33-cdd3771affb9,3/23/25,10:32.9,2025-03-23T13:10:32.8876032-07:00,2025-03-23T20:10:32.8876032Z,,v3,,471255,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,3181392d-7ff8-4977-80b4-e4131d29f649,54.57669,-125.12367,15.09358,5.83598,-1.85416,-17.4934,-1.35944,1.27133,1.3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,3/23/25,10:51.3,2,5,"Murdock, Steele",10323102,Right,CSD_TRI,"Lina, Dylan",1000047663,Right,LON_DIR,Undefined,1,Top,1,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,0,0,0,,85.96083,-1.515413,-1.077334,2354.993662,22.280963,6:45,5.84207,1.39274,6.07809,-44.90243,-7.25028,-3.45536,0.69752,0.1079,79.12733,-9.736583,-1.701844,0.441638,,,,,,,,,,,,1.4828,-3.02339,-1.3076,50,5.70086,2.48212,-124.91777,-4.83117,2.33001,26.46489,-36.92487,CSD_TRI,LON_DIR,UCSanDiego,D1,BW,20250323-UCSanDiego-2,eb6c50e0-0822-11f0-a210-2344a8369a27,85.34691,,,6.8335,,,,,,,577dbc4a-62eb-4ec2-8d33-cdd3771affb9,3/23/25,10:51.3,2025-03-23T13:10:51.2965632-07:00,2025-03-23T20:10:51.2965632Z,,v3,,471255,,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,55909be3-b1b1-491b-ae75-557038c43bc2,54.42336,-125.8514,13.23244,5.84832,-3.52852,-18.46243,-1.39371,2.39992,1.16501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
