PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,Runner1st,Runner2nd,Runner3rd,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/15/25,05:58.5,1,1,"McBean, Alito",830544,Left,SAN_AZT,"Potestio, Anthony",1000091515,Left,CSD_TRI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,84.89713,-1.902938,2.209144,2198.994634,143.602538,10:45,6.10616,-1.63614,5.97195,-22.20033,16.62729,-11.3065,2.4899,-0.52916,77.44368,-6.090683,0.177601,0.448479,,,,,,,,,,,,6.4037,9.46252,1.46715,50,5.94293,-4.29199,-123.15249,-4.74,9.80111,25.23567,-17.69132,SAN_AZT,CSD_TRI,TonyGwynnStadium,D1,MW,20250415-TonyGwynnStadium-1,f3410ce0-1a5e-11f0-bbef-99c3985c925b,84.04511,,,7.45345,,,,,,,82bbc970-8647-4ad2-aad9-5f9652687a7d,4/16/25,05:58.5,2025-04-15T18:05:58.4943104-07:00,2025-04-16T01:05:58.4943104Z,,v3,471432,,,"Farnum, Xavier",814730,Right,SAN_AZT,565f900f-4c1d-4a65-94ff-9b73b69c8a62,54.52761,-124.0768,12.61783,6.10467,-4.09202,-8.84566,1.63093,-4.65097,4.90055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,4/15/25,06:12.4,1,2,"McBean, Alito",830544,Left,SAN_AZT,"Potestio, Anthony",1000091515,Left,CSD_TRI,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,84.95532,-1.321403,2.545034,2170.739647,147.311909,11:00,6.11268,-1.56309,5.80989,-26.54635,12.91016,-7.36126,2.6702,0.19182,76.68428,-6.30118,1.226877,0.452096,,,,,,,,,,,,4.55331,7.4302,1.35852,50,5.98863,-5.16279,-123.06006,-3.67394,6.87691,27.86082,-20.95215,SAN_AZT,CSD_TRI,TonyGwynnStadium,D1,MW,20250415-TonyGwynnStadium-1,fb9e7800-1a5e-11f0-bbef-99c3985c925b,83.37261,,,8.27104,,,,,,,82bbc970-8647-4ad2-aad9-5f9652687a7d,4/16/25,06:12.3,2025-04-15T18:06:12.3563008-07:00,2025-04-16T01:06:12.3563008Z,,v3,471432,,,"Farnum, Xavier",814730,Right,SAN_AZT,ddcacd88-9922-46b2-93ec-01bb04e2d86d,54.68807,-124.1169,13.93041,6.11292,-2.87917,-10.47607,1.55931,-5.42365,3.43845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,4/15/25,07:01.7,1,3,"McBean, Alito",830544,Left,SAN_AZT,"Potestio, Anthony",1000091515,Left,CSD_TRI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,0,0,0,,86.165,-2.441815,3.416381,2320.722325,175.558674,11:45,6.1493,-1.44336,5.88679,-18.63249,19.48777,-1.41036,2.32366,1.6154,78.20383,-5.984442,3.164063,0.444375,84.18903,17.824882,-11.951675,1735.668526,105.73259,22.77908,-30.34145,222.16456,222.16456,-18.445309,2.433131,1.7687,11.12493,1.16822,50,5.94127,-7.39001,-124.74854,-5.85271,2.76095,27.3001,-14.808,SAN_AZT,CSD_TRI,TonyGwynnStadium,D1,MW,20250415-TonyGwynnStadium-1,18fb40e0-1a5f-11f0-bbef-99c3985c925b,84.8213,22.87242,,7.96117,,,,0.76493,2.29235,-1.60814,82bbc970-8647-4ad2-aad9-5f9652687a7d,4/16/25,07:01.7,2025-04-15T18:07:01.6667136-07:00,2025-04-16T01:07:01.6667136Z,LineDrive,v3,471432,,,"Farnum, Xavier",814730,Right,SAN_AZT,9989b549-aee1-44c4-af4e-9c3caa5ebcfd,54.61343,-125.75409,13.65005,6.1468,-5.30728,-7.404,1.44229,-7.49171,1.38048,110.483912,0.76496,114.99989,-17.94379,3.91355,-0.71987,0.01343,0.05384,-0.02078,0.0028,2.29233,37.79897,-18.83147,1.53207,-0.26495,0.1275,-0.0653,0.02029,-0.00255,-1.60814,-24.34307,-4.69957,2.49567,-0.8271,0.21089,-0.04522,0.00674,-0.00049,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,4/15/25,07:37.5,2,1,"McBean, Alito",830544,Left,SAN_AZT,"Crossland, Michael",10130838,Right,CSD_TRI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,0,0,0,,82.76334,-2.06028,2.169025,2158.401123,165.427077,11:30,6.18486,-1.76067,5.85022,-22.2417,19.23859,-4.6089,2.41465,-0.1282,74.78501,-6.28023,1.342993,0.463545,,,,,,,,,,,,3.02315,10.90256,1.58681,50,6.00426,-4.35234,-119.86963,-4.9338,4.33859,26.12253,-16.52756,SAN_AZT,CSD_TRI,TonyGwynnStadium,D1,MW,20250415-TonyGwynnStadium-1,2e3f6fd0-1a5f-11f0-bbef-99c3985c925b,81.31337,,,7.97833,,,,,,,82bbc970-8647-4ad2-aad9-5f9652687a7d,4/16/25,07:37.5,2025-04-15T18:07:37.5197184-07:00,2025-04-16T01:07:37.5197184Z,,v3,471432,,,"Farnum, Xavier",814730,Right,SAN_AZT,b421eafe-fe6f-4a08-a921-d3b40cc6d068,54.64666,-120.87801,13.06127,6.1824,-4.29581,-8.26378,1.75805,-4.51981,2.16929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,4/15/25,07:56.2,2,2,"McBean, Alito",830544,Left,SAN_AZT,"Crossland, Michael",10130838,Right,CSD_TRI,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,85.32965,-1.267945,-0.286528,2225.071451,142.821972,10:45,6.13238,-1.64868,5.72763,-26.10289,12.98091,-8.79292,2.77597,-2.6483,77.23169,-6.153404,-1.86072,0.449956,,,,,,,,,,,,4.34378,7.41178,1.6779,50,6.01075,0.99289,-123.72612,-3.57275,6.64673,27.64999,-20.83282,SAN_AZT,CSD_TRI,TonyGwynnStadium,D1,MW,20250415-TonyGwynnStadium-1,395f5650-1a5f-11f0-bbef-99c3985c925b,83.76922,,,8.09796,,,,,,,82bbc970-8647-4ad2-aad9-5f9652687a7d,4/16/25,07:56.2,2025-04-15T18:07:56.1869824-07:00,2025-04-16T01:07:56.1869824Z,,v3,471432,,,"Farnum, Xavier",814730,Right,SAN_AZT,bec19a0c-f73b-49d3-98c9-4fd6ac668e15,54.77003,-124.78756,13.825,6.13255,-2.77301,-10.41641,1.64468,0.73773,3.32337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,4/15/25,08:14.7,2,3,"McBean, Alito",830544,Left,SAN_AZT,"Crossland, Michael",10130838,Right,CSD_TRI,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,73.97956,-1.07959,0.771861,2172.220985,316.79255,4:30,5.99739,-1.49757,5.61376,-60.76802,-8.86162,9.89784,-0.07449,0.04774,68.3859,-12.074672,2.548283,0.51854,,,,,,,,,,,,-4.82906,-3.7654,1.42496,50,5.8655,-1.79697,-107.44377,-3.93142,-5.59259,20.23026,-36.53479,SAN_AZT,CSD_TRI,TonyGwynnStadium,D1,MW,20250415-TonyGwynnStadium-1,44800020-1a5f-11f0-bbef-99c3985c925b,72.6896,,,5.59367,,,,,,,82bbc970-8647-4ad2-aad9-5f9652687a7d,4/16/25,08:14.6,2025-04-15T18:08:14.6503680-07:00,2025-04-16T01:08:14.6503680Z,,v3,471432,,,"Farnum, Xavier",814730,Right,SAN_AZT,77116ef6-654b-4d0f-b9ed-312a9a543b6e,54.89147,-108.36086,10.11513,6.00618,-2.27522,-18.26739,1.50067,-1.54344,-2.79629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,4/15/25,09:00.5,2,4,"McBean, Alito",830544,Left,SAN_AZT,"Crossland, Michael",10130838,Right,CSD_TRI,Undefined,1,Top,0,2,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,81.6958,-3.317373,1.895146,2295.018683,130.977772,10:15,5.99031,-1.76482,6.21796,-28.30651,13.51883,-13.88146,0.56492,-1.17206,74.50702,-8.614691,-0.614487,0.465469,,,,,,,,,,,,7.74284,8.46284,1.62933,50,5.72738,-3.39597,-118.40053,-7.6685,10.88802,24.58867,-20.27358,SAN_AZT,CSD_TRI,TonyGwynnStadium,D1,MW,20250415-TonyGwynnStadium-1,5fd2ef40-1a5f-11f0-bbef-99c3985c925b,80.97726,,,7.18877,,,,,,,82bbc970-8647-4ad2-aad9-5f9652687a7d,4/16/25,09:00.4,2025-04-15T18:09:00.4551680-07:00,2025-04-16T01:09:00.4551680Z,,v3,471432,,,"Farnum, Xavier",814730,Right,SAN_AZT,0f1f8fb2-3cd0-4ec2-8f7d-18191a64dfb2,54.2818,-119.28643,12.29434,5.99051,-6.93806,-10.13679,1.75875,-3.78825,5.44401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,4/15/25,09:40.5,2,5,"McBean, Alito",830544,Left,SAN_AZT,"Crossland, Michael",10130838,Right,CSD_TRI,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,0,0,0,,86.76138,-1.906175,1.036964,2328.978019,177.164473,12:00,6.03527,-1.46404,5.98192,-16.2665,21.00852,-0.97717,2.91184,-0.58414,78.74894,-5.036344,0.861327,0.439421,,,,,,,,,,,,0.81902,11.77138,1.38264,50,5.87573,-2.23958,-125.89975,-4.61991,1.30328,27.61308,-13.44286,SAN_AZT,CSD_TRI,TonyGwynnStadium,D1,MW,20250415-TonyGwynnStadium-1,77a80240-1a5f-11f0-bbef-99c3985c925b,85.7776,,,8.01244,,,,,,,82bbc970-8647-4ad2-aad9-5f9652687a7d,4/16/25,09:40.5,2025-04-15T18:09:40.5449728-07:00,2025-04-16T01:09:40.5449728Z,,v3,471432,,,"Farnum, Xavier",814730,Right,SAN_AZT,8d22a7b7-89bc-4da6-8d2c-794097ee9a26,54.51885,-126.88698,13.80654,6.03231,-4.1393,-6.72143,1.46354,-2.28617,0.65164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,4/15/25,11:03.7,2,6,"McBean, Alito",830544,Left,SAN_AZT,"Crossland, Michael",10130838,Right,CSD_TRI,Undefined,1,Top,0,3,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,0,0,0,1,0,,86.09818,-2.296635,2.220391,2161.865496,148.640378,11:00,6.07538,-1.84083,5.86273,-24.78978,12.9917,-7.1843,1.87315,-0.37565,78.95705,-6.914385,0.931768,0.442396,82.37522,-45.063346,-55.614235,,,,,3.8742,2.5648,-18.919872,0.023415,4.31851,7.65245,1.66498,50,5.87444,-4.5561,-124.92329,-5.79942,6.82401,25.1761,-20.08183,SAN_AZT,CSD_TRI,TonyGwynnStadium,D1,MW,20250415-TonyGwynnStadium-1,a93985e0-1a5f-11f0-bbef-99c3985c925b,85.20072,2.00684,,7.14113,,,,2.534,2.00684,0.3963,82bbc970-8647-4ad2-aad9-5f9652687a7d,4/16/25,11:03.6,2025-04-15T18:11:03.6564480-07:00,2025-04-16T01:11:03.6564480Z,GroundBall,v3,471432,,,"Farnum, Xavier",814730,Right,SAN_AZT,dbe2bd03-29a7-47dd-bf64-86cae58f15a5,54.6394,-125.85481,12.58805,6.07528,-5.05639,-10.04092,1.83823,-4.80859,3.412,,2.53362,48.29675,,,,,,,,2.00752,-85.70631,,,,,,,,0.39687,-70.57324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,4/15/25,11:43.7,3,1,"McBean, Alito",830544,Left,SAN_AZT,"Gonzalez, Emiliano",1000081438,Right,CSD_TRI,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,0,0,0,,75.91668,0.447936,-0.574106,2215.902884,303.258254,4:00,6.07496,-1.43531,5.66241,-55.7644,-6.92701,12.84296,1.84568,-0.90046,70.1045,-9.70758,1.727943,0.502976,,,,,,,,,,,,-6.66658,-3.14721,1.47573,50,6.07768,0.62862,-110.34302,-0.94382,-8.20887,19.86576,-36.04933,SAN_AZT,CSD_TRI,TonyGwynnStadium,D1,MW,20250415-TonyGwynnStadium-1,c10c27e0-1a5f-11f0-bbef-99c3985c925b,74.9388,,,5.81218,,,,,,,82bbc970-8647-4ad2-aad9-5f9652687a7d,4/16/25,11:43.7,2025-04-15T18:11:43.7363712-07:00,2025-04-16T01:11:43.7363712Z,,v3,471432,,,"Farnum, Xavier",814730,Right,SAN_AZT,46366750-1570-4da9-88d3-73bd82c56fb8,54.84217,-111.21137,9.93288,6.0845,0.63193,-18.02466,1.44041,0.98744,-4.10443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
