,Pitcher,cluster,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,VertApprAngle,HorzApprAngle,p_Changeup,p_Curveball,p_Cutter,p_Four-Seam,p_Sinker,p_Slider,p_Splitter
0,"Cazares, Julian",0,88.90612281553398,2152.6318463495145,167.6430306893204,18.784274077669902,3.805254368932039,-5.1847382427184465,0.5193187766990291,0.0,0.0,0.0011941747572815533,0.9972330097087378,0.0011941747572815533,0.0,0.0
1,"Cazares, Julian",1,80.31228855072465,2396.450490884058,277.7344884637681,0.6211663768115941,-5.380870434782609,-7.870543782608695,-0.624311536231884,0.0,0.22105797101449276,2.8985507246376814e-05,0.0,0.0,0.7783188405797101,0.0
2,"Cazares, Julian",2,80.4997923076923,1797.1928396923079,93.89228115384616,3.4676330769230765,19.273394615384618,-7.6653927692307695,0.7160286153846153,0.962076923076923,0.00015384615384615385,0.0006923076923076923,0.0016923076923076922,0.03053846153846154,0.0003846153846153846,0.004384615384615384
3,"Cazares, Julian",3,87.67540512195121,2150.195215,152.41093936585366,17.684005609756095,8.451060731707317,-5.044000219512196,1.5792882195121951,0.0,0.0,0.0012682926829268293,0.9959756097560976,0.002048780487804878,9.75609756097561e-05,0.0
4,"Davidson, Garrett",0,85.80449124463519,2170.3946878669526,152.3912390386266,16.392289527896995,7.989558798283261,-5.4846050300429185,-0.7601942746781116,0.0007982832618025751,0.0,0.002068669527896996,0.9812489270386267,0.015356223175965664,3.862660944206009e-05,3.433476394849785e-05
5,"Davidson, Garrett",1,77.72992006410256,1510.8503842115383,92.4925710128205,2.1683328205128207,11.738393846153846,-8.334424166666667,-1.5527580256410256,0.9998397435897436,2.5641025641025643e-05,0.0,0.0,0.0,0.0,0.0
6,"Davidson, Garrett",2,73.18885701298701,2433.936952668831,304.5049436298701,-6.857064805194806,-13.505329415584415,-9.104975214285714,-3.2077783766233763,0.0,0.9976363636363637,0.0,0.0,0.0,0.002266233766233766,0.0
7,"Davidson, Garrett",3,77.11780979209979,1492.2312435717256,93.06679958835758,2.5721997920997923,16.253712432432433,-8.025523671517671,-0.1193681787941788,0.9998419958419958,0.0,0.0,0.0,0.0,0.0,0.0
8,"Davidson, Garrett",4,83.81008085714285,2097.8814792714284,178.71149995714285,11.131470285714284,0.9113885714285713,-6.312895500000001,-2.1098353571428574,0.0009,7.142857142857143e-05,0.3537,0.44332857142857146,0.0201,0.18157142857142855,7.142857142857143e-05
9,"Gregson, Niccolas",0,85.18398770833333,2405.8465440416667,164.54443095833332,10.144170833333334,-2.4264252083333333,-5.656381875,-2.971227416666667,0.0,0.0,0.366125,0.09150000000000001,0.0,0.542,0.0
10,"Gregson, Niccolas",1,75.94539689655173,2755.2798464482757,13.873122448275863,-11.196137586206897,-2.4575775862068965,-9.293822103448276,-2.152512620689655,0.0,0.8493793103448276,0.0,0.0,0.0,0.15058620689655172,0.0
11,"Gregson, Niccolas",2,90.67099751396648,2286.004556282123,204.22055571787712,19.835158687150837,8.32965622905028,-4.888826326815642,-0.9164350502793297,0.0,0.0,0.0,0.9999944134078212,5.58659217877095e-06,0.0,0.0
12,"Gregson, Niccolas",3,74.80475578512396,2814.8825804132234,29.028574561983472,-14.695533719008264,-9.06760396694215,-8.782680826446281,-2.6461008099173555,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,"Gregson, Niccolas",4,89.84956340425532,2244.4767621223405,192.83340062765959,18.87735106382979,3.996487127659574,-5.322344845744681,-1.3536918723404254,0.0,0.0,0.004654255319148936,0.995345744680851,0.0,0.0,0.0
14,"Gregson, Niccolas",5,80.01956,1619.4102684285715,225.2368507142857,13.87548,12.528881428571427,-7.252950571428571,-1.260911714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"King, Devon",0,77.80450071428571,2772.638572,71.24316208928572,-4.794152946428571,-19.365128125000002,-8.319940419642858,-3.591886910714286,0.0,0.5566071428571429,0.0,0.0,0.0,0.4431875,0.0
16,"King, Devon",1,83.39118625,2643.2961495390623,172.9807113125,11.6999269140625,-1.3414034375000001,-6.11439079296875,-1.953894546875,3.90625e-06,0.0,0.35080078124999997,0.01932421875,0.0,0.6297890625,0.0
17,"King, Devon",2,90.04188725490197,2281.228657254902,209.72303364705883,15.565306862745098,8.022632156862745,-5.033919882352941,-1.0980442156862744,0.05876470588235294,0.0,7.843137254901961e-05,0.9327450980392157,0.00827450980392157,0.0,5.882352941176471e-05
18,"King, Devon",3,82.60391293650794,2635.8352831428574,124.2566985079365,7.078697857142857,-8.325811111111111,-6.902314492063493,-2.2152988174603174,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,"King, Devon",4,90.86420687943263,2460.1875376595744,212.17472266666667,20.071162411347515,11.846577304964539,-4.855297673758866,-0.23121232624113475,0.0,0.0,0.0,0.9731843971631206,0.02681560283687943,0.0,0.0
20,"Murdock, Steele",0,85.05354840375587,2313.5632112253525,136.34395701877935,3.372982863849765,-1.981488544600939,-7.839863629107982,-2.3290569530516434,0.0,0.0,3.755868544600939e-05,0.0,0.0,0.9999624413145539,0.0
21,"Murdock, Steele",1,93.22326613114754,2399.3312668065573,203.7750510901639,17.600996573770495,7.31286475409836,-5.519099168852459,-0.962522231147541,0.0,0.0,0.0,0.9999983606557378,1.639344262295082e-06,0.0,0.0
22,"Murdock, Steele",2,86.42388355400696,1895.5563696271777,240.9756091219512,9.594012404181186,15.105392717770034,-7.060704459930314,-0.3541521324041812,0.4654599303135888,0.0,0.0,0.027965156794425086,0.5065609756097561,0.0,0.0
23,"Murdock, Steele",3,84.08241741721854,2289.7218193013246,65.87747352649006,-1.0754091721854304,-5.594518774834437,-8.319601917218543,-2.4593951953642383,0.0,0.011490066225165563,0.0,0.0,0.0,0.9884205298013244,0.0
24,"Pelzman, Harry",0,86.87288184782608,2048.550088293478,149.21124183695653,13.348112282608694,7.238838478260869,-6.69492020652174,-1.3117130326086957,0.0006304347826086957,0.00018478260869565218,0.15731521739130433,0.7884565217391304,0.05234782608695652,0.00036956521739130437,0.00017391304347826088
25,"Pelzman, Harry",1,76.97626454545455,1723.9462667272726,247.8983311818182,2.9926136363636364,-3.2226863636363636,-8.498142818181817,-1.8841585454545453,0.09090909090909091,0.3009090909090909,0.00036363636363636367,0.0,0.0,0.6066363636363636,0.0
26,"Pelzman, Harry",2,87.23297562500001,2115.8488622375,134.78034267499999,14.633590250000001,13.4971475,-6.2609226125,0.178821125,0.0002375,0.0,0.00022500000000000002,0.6025625,0.3966,0.0,0.0
27,"Pelzman, Harry",3,87.5227465625,2153.60475234375,161.25041378125,19.006773229166665,5.925763854166667,-5.193040333333333,-1.19254325,0.0,0.0,0.0,0.9988333333333334,0.0007395833333333333,0.0,0.0
28,"Pelzman, Harry",4,74.48573615384615,1933.5912263076923,299.9153415384615,-3.04641,-7.906856923076924,-8.109993307692308,-1.3390451538461539,0.0,0.9843846153846154,0.0,0.0,0.0,0.015538461538461537,0.0
