Date,away_team,away_score,home_team,home_score,innings
2025-02-14 00:00:00,Cal Poly,2.0,UCLA,3.0,9.0
2025-02-14 00:00:00,UCSD,1.0,Pacific,2.0,9.0
2025-02-14 00:00:00,CSUN,4.0,Santa Clara,5.0,9.0
2025-02-15 00:00:00,Cal Poly,2.0,UCLA,18.0,9.0
2025-02-15 00:00:00,UCSD,11.0,Pacific,4.0,9.0
2025-02-15 00:00:00,CSUN,11.0,Santa Clara,9.0,9.0
2025-02-16 00:00:00,Cal Poly,0.0,UCLA,16.0,9.0
2025-02-16 00:00:00,UCSD,3.0,Pacific,6.0,9.0
2025-02-16 00:00:00,CSUN,3.0,Santa Clara,8.0,9.0
2025-02-17 00:00:00,Cal Poly,9.0,LMU,1.0,9.0
2025-02-18 00:00:00,USC,5.0,UCI,2.0,9.0
2025-02-18 00:00:00,LBSU,4.0,LMU,7.0,9.0
2025-02-18 00:00:00,SDSU,10.0,UCSD,7.0,9.0
2025-02-19 00:00:00,Bakersfield,0.0,USC,7.0,9.0
2025-02-21 00:00:00,Fullerton,4.0,Fresno St,7.0,9.0
2025-02-21 00:00:00,UCR,3.0,Utah Tech,12.0,9.0
2025-02-21 00:00:00,Bakersfield,4.0,Nevada,7.0,9.0
2025-02-21 00:00:00,Pepperdine,1.0,UCSD,18.0,9.0
2025-02-22 00:00:00,Fullerton,14.0,Fresno St,3.0,9.0
2025-02-22 00:00:00,UCR,5.0,Utah Tech,4.0,9.0
2025-02-22 00:00:00,UCR,8.0,Utah Tech,6.0,9.0
2025-02-22 00:00:00,Bakersfield,16.0,Nevada,2.0,9.0
2025-02-22 00:00:00,LBSU,3.0,Pepperdine,2.0,9.0
2025-02-22 00:00:00,UCSB,7.0,SDSU,5.0,9.0
2025-02-23 00:00:00,Fullerton,7.0,Fresno St,13.0,9.0
2025-02-23 00:00:00,UCR,4.0,Utah Tech,0.0,9.0
2025-02-23 00:00:00,Bakersfield,4.0,Nevada,12.0,9.0
2025-02-24 00:00:00,Bakersfield,4.0,Nevada,7.0,9.0
2025-02-25 00:00:00,USC,5.0,Fullerton,3.0,9.0
2025-02-25 00:00:00,UCSB,13.0,Pepperdine,2.0,9.0
